ID;Functions;Financing;Periods;HealthAndSocialCareExpenditure_1
62;Total expenditure on health and care;HF1: Government, comp. contr. schemes;2010;72396.0
63;Total expenditure on health and care;HF1: Government, comp. contr. schemes;2011;73646.0
64;Total expenditure on health and care;HF1: Government, comp. contr. schemes;2012;74998.0
65;Total expenditure on health and care;HF1: Government, comp. contr. schemes;2013;74394.0
66;Total expenditure on health and care;HF1: Government, comp. contr. schemes;2014;75304.0
67;Total expenditure on health and care;HF1: Government, comp. contr. schemes;2015;75763.0
68;Total expenditure on health and care;HF1: Government, comp. contr. schemes;2016;77812.0
69;Total expenditure on health and care;HF1: Government, comp. contr. schemes;2017;79985.0
70;Total expenditure on health and care;HF1: Government, comp. contr. schemes;2018;83710.0
71;Total expenditure on health and care;HF1: Government, comp. contr. schemes;2019;89613.0
72;Total expenditure on health and care;HF1: Government, comp. contr. schemes;2020;99535.0
73;Total expenditure on health and care;HF1: Government, comp. contr. schemes;2021;106541.0
74;Total expenditure on health and care;HF1: Government, comp. contr. schemes;2022;107661.0
75;Total expenditure on health and care;HF11: Government schemes;1998;5481.0
76;Total expenditure on health and care;HF11: Government schemes;1999;6132.0
77;Total expenditure on health and care;HF11: Government schemes;2000;6604.0
78;Total expenditure on health and care;HF11: Government schemes;2001;7516.0
79;Total expenditure on health and care;HF11: Government schemes;2002;8060.0
80;Total expenditure on health and care;HF11: Government schemes;2003;8380.0
81;Total expenditure on health and care;HF11: Government schemes;2004;8136.0
82;Total expenditure on health and care;HF11: Government schemes;2005;8934.0
83;Total expenditure on health and care;HF11: Government schemes;2006;9327.0
84;Total expenditure on health and care;HF11: Government schemes;2007;12519.0
85;Total expenditure on health and care;HF11: Government schemes;2008;13639.0
86;Total expenditure on health and care;HF11: Government schemes;2009;14974.0
87;Total expenditure on health and care;HF11: Government schemes;2010;15393.0
88;Total expenditure on health and care;HF11: Government schemes;2011;15260.0
89;Total expenditure on health and care;HF11: Government schemes;2012;14674.0
90;Total expenditure on health and care;HF11: Government schemes;2013;13078.0
91;Total expenditure on health and care;HF11: Government schemes;2014;12944.0
92;Total expenditure on health and care;HF11: Government schemes;2015;17159.0
93;Total expenditure on health and care;HF11: Government schemes;2016;17935.0
94;Total expenditure on health and care;HF11: Government schemes;2017;18478.0
95;Total expenditure on health and care;HF11: Government schemes;2018;19647.0
96;Total expenditure on health and care;HF11: Government schemes;2019;21082.0
97;Total expenditure on health and care;HF11: Government schemes;2020;27366.0
98;Total expenditure on health and care;HF11: Government schemes;2021;30357.0
99;Total expenditure on health and care;HF11: Government schemes;2022;28007.0
100;Total expenditure on health and care;HF12: Compulsory contributory schemes;1998;22931.0
101;Total expenditure on health and care;HF12: Compulsory contributory schemes;1999;24237.0
102;Total expenditure on health and care;HF12: Compulsory contributory schemes;2000;26017.0
103;Total expenditure on health and care;HF12: Compulsory contributory schemes;2001;29277.0
104;Total expenditure on health and care;HF12: Compulsory contributory schemes;2002;32892.0
105;Total expenditure on health and care;HF12: Compulsory contributory schemes;2003;35621.0
106;Total expenditure on health and care;HF12: Compulsory contributory schemes;2004;36433.0
107;Total expenditure on health and care;HF12: Compulsory contributory schemes;2005;37702.0
108;Total expenditure on health and care;HF12: Compulsory contributory schemes;2006;47970.0
109;Total expenditure on health and care;HF12: Compulsory contributory schemes;2007;49101.0
110;Total expenditure on health and care;HF12: Compulsory contributory schemes;2008;51472.0
111;Total expenditure on health and care;HF12: Compulsory contributory schemes;2009;54456.0
112;Total expenditure on health and care;HF12: Compulsory contributory schemes;2010;57003.0
113;Total expenditure on health and care;HF12: Compulsory contributory schemes;2011;58387.0
114;Total expenditure on health and care;HF12: Compulsory contributory schemes;2012;60324.0
115;Total expenditure on health and care;HF12: Compulsory contributory schemes;2013;61316.0
116;Total expenditure on health and care;HF12: Compulsory contributory schemes;2014;62360.0
117;Total expenditure on health and care;HF12: Compulsory contributory schemes;2015;58604.0
118;Total expenditure on health and care;HF12: Compulsory contributory schemes;2016;59877.0
119;Total expenditure on health and care;HF12: Compulsory contributory schemes;2017;61506.0
120;Total expenditure on health and care;HF12: Compulsory contributory schemes;2018;64063.0
121;Total expenditure on health and care;HF12: Compulsory contributory schemes;2019;68531.0
122;Total expenditure on health and care;HF12: Compulsory contributory schemes;2020;72168.0
123;Total expenditure on health and care;HF12: Compulsory contributory schemes;2021;76184.0
124;Total expenditure on health and care;HF12: Compulsory contributory schemes;2022;79654.0
125;Total expenditure on health and care;HF121a: Long-term care insurance;1998;11385.0
126;Total expenditure on health and care;HF121a: Long-term care insurance;1999;12205.0
127;Total expenditure on health and care;HF121a: Long-term care insurance;2000;13202.0
128;Total expenditure on health and care;HF121a: Long-term care insurance;2001;14863.0
129;Total expenditure on health and care;HF121a: Long-term care insurance;2002;17010.0
130;Total expenditure on health and care;HF121a: Long-term care insurance;2003;18679.0
131;Total expenditure on health and care;HF121a: Long-term care insurance;2004;19388.0
132;Total expenditure on health and care;HF121a: Long-term care insurance;2005;20169.0
133;Total expenditure on health and care;HF121a: Long-term care insurance;2006;21425.0
134;Total expenditure on health and care;HF121a: Long-term care insurance;2007;21450.0
135;Total expenditure on health and care;HF121a: Long-term care insurance;2008;20231.0
136;Total expenditure on health and care;HF121a: Long-term care insurance;2009;21509.0
137;Total expenditure on health and care;HF121a: Long-term care insurance;2010;22522.0
138;Total expenditure on health and care;HF121a: Long-term care insurance;2011;23275.0
139;Total expenditure on health and care;HF121a: Long-term care insurance;2012;25590.0
140;Total expenditure on health and care;HF121a: Long-term care insurance;2013;24968.0
141;Total expenditure on health and care;HF121a: Long-term care insurance;2014;25194.0
142;Total expenditure on health and care;HF121a: Long-term care insurance;2015;17887.0
143;Total expenditure on health and care;HF121a: Long-term care insurance;2016;18145.0
144;Total expenditure on health and care;HF121a: Long-term care insurance;2017;18612.0
145;Total expenditure on health and care;HF121a: Long-term care insurance;2018;19562.0
146;Total expenditure on health and care;HF121a: Long-term care insurance;2019;21758.0
147;Total expenditure on health and care;HF121a: Long-term care insurance;2020;23912.0
148;Total expenditure on health and care;HF121a: Long-term care insurance;2021;26171.0
149;Total expenditure on health and care;HF121a: Long-term care insurance;2022;27865.0
150;Total expenditure on health and care;HF121b: Health Insurance Fund;1998;11545.0
151;Total expenditure on health and care;HF121b: Health Insurance Fund;1999;12032.0
152;Total expenditure on health and care;HF121b: Health Insurance Fund;2000;12816.0
153;Total expenditure on health and care;HF121b: Health Insurance Fund;2001;14414.0
154;Total expenditure on health and care;HF121b: Health Insurance Fund;2002;15883.0
155;Total expenditure on health and care;HF121b: Health Insurance Fund;2003;16942.0
156;Total expenditure on health and care;HF121b: Health Insurance Fund;2004;17045.0
157;Total expenditure on health and care;HF121b: Health Insurance Fund;2005;17533.0
158;Total expenditure on health and care;HF121b: Health Insurance Fund;2006;
159;Total expenditure on health and care;HF121b: Health Insurance Fund;2007;
160;Total expenditure on health and care;HF121b: Health Insurance Fund;2008;
161;Total expenditure on health and care;HF121b: Health Insurance Fund;2009;
162;Total expenditure on health and care;HF121b: Health Insurance Fund;2010;
163;Total expenditure on health and care;HF121b: Health Insurance Fund;2011;
164;Total expenditure on health and care;HF121b: Health Insurance Fund;2012;
165;Total expenditure on health and care;HF121b: Health Insurance Fund;2013;
166;Total expenditure on health and care;HF121b: Health Insurance Fund;2014;
167;Total expenditure on health and care;HF121b: Health Insurance Fund;2015;
168;Total expenditure on health and care;HF121b: Health Insurance Fund;2016;
169;Total expenditure on health and care;HF121b: Health Insurance Fund;2017;
170;Total expenditure on health and care;HF121b: Health Insurance Fund;2018;
171;Total expenditure on health and care;HF121b: Health Insurance Fund;2019;
172;Total expenditure on health and care;HF121b: Health Insurance Fund;2020;
173;Total expenditure on health and care;HF121b: Health Insurance Fund;2021;
174;Total expenditure on health and care;HF121b: Health Insurance Fund;2022;
175;Total expenditure on health and care;HF122: Compulsory private insurance;1998;
176;Total expenditure on health and care;HF122: Compulsory private insurance;1999;
177;Total expenditure on health and care;HF122: Compulsory private insurance;2000;
178;Total expenditure on health and care;HF122: Compulsory private insurance;2001;
179;Total expenditure on health and care;HF122: Compulsory private insurance;2002;
180;Total expenditure on health and care;HF122: Compulsory private insurance;2003;
181;Total expenditure on health and care;HF122: Compulsory private insurance;2004;
182;Total expenditure on health and care;HF122: Compulsory private insurance;2005;
183;Total expenditure on health and care;HF122: Compulsory private insurance;2006;26546.0
184;Total expenditure on health and care;HF122: Compulsory private insurance;2007;27651.0
185;Total expenditure on health and care;HF122: Compulsory private insurance;2008;31240.0
186;Total expenditure on health and care;HF122: Compulsory private insurance;2009;32947.0
187;Total expenditure on health and care;HF122: Compulsory private insurance;2010;34481.0
188;Total expenditure on health and care;HF122: Compulsory private insurance;2011;35112.0
189;Total expenditure on health and care;HF122: Compulsory private insurance;2012;34735.0
190;Total expenditure on health and care;HF122: Compulsory private insurance;2013;36348.0
191;Total expenditure on health and care;HF122: Compulsory private insurance;2014;37166.0
192;Total expenditure on health and care;HF122: Compulsory private insurance;2015;40718.0
193;Total expenditure on health and care;HF122: Compulsory private insurance;2016;41732.0
194;Total expenditure on health and care;HF122: Compulsory private insurance;2017;42894.0
195;Total expenditure on health and care;HF122: Compulsory private insurance;2018;44501.0
196;Total expenditure on health and care;HF122: Compulsory private insurance;2019;46773.0
197;Total expenditure on health and care;HF122: Compulsory private insurance;2020;48256.0
198;Total expenditure on health and care;HF122: Compulsory private insurance;2021;50013.0
199;Total expenditure on health and care;HF122: Compulsory private insurance;2022;51789.0
200;Total expenditure on health and care;Voluntary schemes (incl. OOP);1998;10846.0
201;Total expenditure on health and care;Voluntary schemes (incl. OOP);1999;11900.0
202;Total expenditure on health and care;Voluntary schemes (incl. OOP);2000;12610.0
203;Total expenditure on health and care;Voluntary schemes (incl. OOP);2001;13839.0
204;Total expenditure on health and care;Voluntary schemes (incl. OOP);2002;15546.0
205;Total expenditure on health and care;Voluntary schemes (incl. OOP);2003;16730.0
206;Total expenditure on health and care;Voluntary schemes (incl. OOP);2004;18271.0
207;Total expenditure on health and care;Voluntary schemes (incl. OOP);2005;18616.0
208;Total expenditure on health and care;Voluntary schemes (incl. OOP);2006;11033.0
209;Total expenditure on health and care;Voluntary schemes (incl. OOP);2007;10928.0
210;Total expenditure on health and care;Voluntary schemes (incl. OOP);2008;12428.0
211;Total expenditure on health and care;Voluntary schemes (incl. OOP);2009;12686.0
212;Total expenditure on health and care;Voluntary schemes (incl. OOP);2010;13203.0
213;Total expenditure on health and care;Voluntary schemes (incl. OOP);2011;14275.0
214;Total expenditure on health and care;Voluntary schemes (incl. OOP);2012;15411.0
215;Total expenditure on health and care;Voluntary schemes (incl. OOP);2013;16354.0
216;Total expenditure on health and care;Voluntary schemes (incl. OOP);2014;16427.0
217;Total expenditure on health and care;Voluntary schemes (incl. OOP);2015;16352.0
218;Total expenditure on health and care;Voluntary schemes (incl. OOP);2016;16822.0
219;Total expenditure on health and care;Voluntary schemes (incl. OOP);2017;16777.0
220;Total expenditure on health and care;Voluntary schemes (incl. OOP);2018;17102.0
221;Total expenditure on health and care;Voluntary schemes (incl. OOP);2019;17586.0
222;Total expenditure on health and care;Voluntary schemes (incl. OOP);2020;16625.0
223;Total expenditure on health and care;Voluntary schemes (incl. OOP);2021;18031.0
224;Total expenditure on health and care;Voluntary schemes (incl. OOP);2022;19391.0
225;Total expenditure on health and care;HF2: Voluntary schemes;1998;6601.0
226;Total expenditure on health and care;HF2: Voluntary schemes;1999;7315.0
227;Total expenditure on health and care;HF2: Voluntary schemes;2000;7772.0
228;Total expenditure on health and care;HF2: Voluntary schemes;2001;8734.0
229;Total expenditure on health and care;HF2: Voluntary schemes;2002;10184.0
230;Total expenditure on health and care;HF2: Voluntary schemes;2003;11029.0
231;Total expenditure on health and care;HF2: Voluntary schemes;2004;12057.0
232;Total expenditure on health and care;HF2: Voluntary schemes;2005;12300.0
233;Total expenditure on health and care;HF2: Voluntary schemes;2006;5324.0
234;Total expenditure on health and care;HF2: Voluntary schemes;2007;4973.0
235;Total expenditure on health and care;HF2: Voluntary schemes;2008;5017.0
236;Total expenditure on health and care;HF2: Voluntary schemes;2009;5401.0
237;Total expenditure on health and care;HF2: Voluntary schemes;2010;5473.0
238;Total expenditure on health and care;HF2: Voluntary schemes;2011;5826.0
239;Total expenditure on health and care;HF2: Voluntary schemes;2012;5996.0
240;Total expenditure on health and care;HF2: Voluntary schemes;2013;5714.0
241;Total expenditure on health and care;HF2: Voluntary schemes;2014;5858.0
242;Total expenditure on health and care;HF2: Voluntary schemes;2015;5864.0
243;Total expenditure on health and care;HF2: Voluntary schemes;2016;6184.0
244;Total expenditure on health and care;HF2: Voluntary schemes;2017;6145.0
245;Total expenditure on health and care;HF2: Voluntary schemes;2018;6249.0
246;Total expenditure on health and care;HF2: Voluntary schemes;2019;6395.0
247;Total expenditure on health and care;HF2: Voluntary schemes;2020;5944.0
248;Total expenditure on health and care;HF2: Voluntary schemes;2021;6418.0
249;Total expenditure on health and care;HF2: Voluntary schemes;2022;6512.0
250;Total expenditure on health and care;HF21: Voluntary health insurance schemes;1998;5439.0
251;Total expenditure on health and care;HF21: Voluntary health insurance schemes;1999;6004.0
252;Total expenditure on health and care;HF21: Voluntary health insurance schemes;2000;6263.0
253;Total expenditure on health and care;HF21: Voluntary health insurance schemes;2001;7016.0
254;Total expenditure on health and care;HF21: Voluntary health insurance schemes;2002;8051.0
255;Total expenditure on health and care;HF21: Voluntary health insurance schemes;2003;8688.0
256;Total expenditure on health and care;HF21: Voluntary health insurance schemes;2004;9649.0
257;Total expenditure on health and care;HF21: Voluntary health insurance schemes;2005;10159.0
258;Total expenditure on health and care;HF21: Voluntary health insurance schemes;2006;3414.0
259;Total expenditure on health and care;HF21: Voluntary health insurance schemes;2007;3663.0
260;Total expenditure on health and care;HF21: Voluntary health insurance schemes;2008;3668.0
261;Total expenditure on health and care;HF21: Voluntary health insurance schemes;2009;3943.0
262;Total expenditure on health and care;HF21: Voluntary health insurance schemes;2010;3986.0
263;Total expenditure on health and care;HF21: Voluntary health insurance schemes;2011;4337.0
264;Total expenditure on health and care;HF21: Voluntary health insurance schemes;2012;4452.0
265;Total expenditure on health and care;HF21: Voluntary health insurance schemes;2013;4251.0
266;Total expenditure on health and care;HF21: Voluntary health insurance schemes;2014;4303.0
267;Total expenditure on health and care;HF21: Voluntary health insurance schemes;2015;4225.0
268;Total expenditure on health and care;HF21: Voluntary health insurance schemes;2016;4464.0
269;Total expenditure on health and care;HF21: Voluntary health insurance schemes;2017;4356.0
270;Total expenditure on health and care;HF21: Voluntary health insurance schemes;2018;4360.0
271;Total expenditure on health and care;HF21: Voluntary health insurance schemes;2019;4357.0
272;Total expenditure on health and care;HF21: Voluntary health insurance schemes;2020;3848.0
273;Total expenditure on health and care;HF21: Voluntary health insurance schemes;2021;4120.0
274;Total expenditure on health and care;HF21: Voluntary health insurance schemes;2022;4130.0
275;Total expenditure on health and care;HF22: Financing schemes NPISH;1998;0.0
276;Total expenditure on health and care;HF22: Financing schemes NPISH;1999;0.0
277;Total expenditure on health and care;HF22: Financing schemes NPISH;2000;0.0
278;Total expenditure on health and care;HF22: Financing schemes NPISH;2001;0.0
279;Total expenditure on health and care;HF22: Financing schemes NPISH;2002;0.0
280;Total expenditure on health and care;HF22: Financing schemes NPISH;2003;0.0
281;Total expenditure on health and care;HF22: Financing schemes NPISH;2004;0.0
282;Total expenditure on health and care;HF22: Financing schemes NPISH;2005;0.0
283;Total expenditure on health and care;HF22: Financing schemes NPISH;2006;0.0
284;Total expenditure on health and care;HF22: Financing schemes NPISH;2007;0.0
285;Total expenditure on health and care;HF22: Financing schemes NPISH;2008;0.0
286;Total expenditure on health and care;HF22: Financing schemes NPISH;2009;0.0
287;Total expenditure on health and care;HF22: Financing schemes NPISH;2010;0.0
288;Total expenditure on health and care;HF22: Financing schemes NPISH;2011;0.0
289;Total expenditure on health and care;HF22: Financing schemes NPISH;2012;0.0
290;Total expenditure on health and care;HF22: Financing schemes NPISH;2013;0.0
291;Total expenditure on health and care;HF22: Financing schemes NPISH;2014;0.0
292;Total expenditure on health and care;HF22: Financing schemes NPISH;2015;0.0
293;Total expenditure on health and care;HF22: Financing schemes NPISH;2016;0.0
294;Total expenditure on health and care;HF22: Financing schemes NPISH;2017;0.0
295;Total expenditure on health and care;HF22: Financing schemes NPISH;2018;0.0
296;Total expenditure on health and care;HF22: Financing schemes NPISH;2019;0.0
297;Total expenditure on health and care;HF22: Financing schemes NPISH;2020;0.0
298;Total expenditure on health and care;HF22: Financing schemes NPISH;2021;0.0
299;Total expenditure on health and care;HF22: Financing schemes NPISH;2022;0.0
300;Total expenditure on health and care;HF23: Enterprise financing schemes;1998;1162.0
301;Total expenditure on health and care;HF23: Enterprise financing schemes;1999;1310.0
302;Total expenditure on health and care;HF23: Enterprise financing schemes;2000;1509.0
303;Total expenditure on health and care;HF23: Enterprise financing schemes;2001;1718.0
304;Total expenditure on health and care;HF23: Enterprise financing schemes;2002;2134.0
305;Total expenditure on health and care;HF23: Enterprise financing schemes;2003;2341.0
306;Total expenditure on health and care;HF23: Enterprise financing schemes;2004;2407.0
307;Total expenditure on health and care;HF23: Enterprise financing schemes;2005;2141.0
308;Total expenditure on health and care;HF23: Enterprise financing schemes;2006;1910.0
309;Total expenditure on health and care;HF23: Enterprise financing schemes;2007;1310.0
310;Total expenditure on health and care;HF23: Enterprise financing schemes;2008;1348.0
311;Total expenditure on health and care;HF23: Enterprise financing schemes;2009;1458.0
312;Total expenditure on health and care;HF23: Enterprise financing schemes;2010;1487.0
313;Total expenditure on health and care;HF23: Enterprise financing schemes;2011;1489.0
314;Total expenditure on health and care;HF23: Enterprise financing schemes;2012;1544.0
315;Total expenditure on health and care;HF23: Enterprise financing schemes;2013;1464.0
316;Total expenditure on health and care;HF23: Enterprise financing schemes;2014;1555.0
317;Total expenditure on health and care;HF23: Enterprise financing schemes;2015;1639.0
318;Total expenditure on health and care;HF23: Enterprise financing schemes;2016;1720.0
319;Total expenditure on health and care;HF23: Enterprise financing schemes;2017;1788.0
320;Total expenditure on health and care;HF23: Enterprise financing schemes;2018;1889.0
321;Total expenditure on health and care;HF23: Enterprise financing schemes;2019;2038.0
322;Total expenditure on health and care;HF23: Enterprise financing schemes;2020;2096.0
323;Total expenditure on health and care;HF23: Enterprise financing schemes;2021;2298.0
324;Total expenditure on health and care;HF23: Enterprise financing schemes;2022;2382.0
325;Total expenditure on health and care;HF3: Household out-of-pocket payments;1998;4245.0
326;Total expenditure on health and care;HF3: Household out-of-pocket payments;1999;4586.0
327;Total expenditure on health and care;HF3: Household out-of-pocket payments;2000;4838.0
328;Total expenditure on health and care;HF3: Household out-of-pocket payments;2001;5105.0
329;Total expenditure on health and care;HF3: Household out-of-pocket payments;2002;5361.0
330;Total expenditure on health and care;HF3: Household out-of-pocket payments;2003;5701.0
331;Total expenditure on health and care;HF3: Household out-of-pocket payments;2004;6215.0
332;Total expenditure on health and care;HF3: Household out-of-pocket payments;2005;6317.0
333;Total expenditure on health and care;HF3: Household out-of-pocket payments;2006;5708.0
334;Total expenditure on health and care;HF3: Household out-of-pocket payments;2007;5955.0
335;Total expenditure on health and care;HF3: Household out-of-pocket payments;2008;7411.0
336;Total expenditure on health and care;HF3: Household out-of-pocket payments;2009;7285.0
337;Total expenditure on health and care;HF3: Household out-of-pocket payments;2010;7730.0
338;Total expenditure on health and care;HF3: Household out-of-pocket payments;2011;8449.0
339;Total expenditure on health and care;HF3: Household out-of-pocket payments;2012;9415.0
340;Total expenditure on health and care;HF3: Household out-of-pocket payments;2013;10640.0
341;Total expenditure on health and care;HF3: Household out-of-pocket payments;2014;10568.0
342;Total expenditure on health and care;HF3: Household out-of-pocket payments;2015;10488.0
343;Total expenditure on health and care;HF3: Household out-of-pocket payments;2016;10639.0
344;Total expenditure on health and care;HF3: Household out-of-pocket payments;2017;10632.0
345;Total expenditure on health and care;HF3: Household out-of-pocket payments;2018;10853.0
346;Total expenditure on health and care;HF3: Household out-of-pocket payments;2019;11191.0
347;Total expenditure on health and care;HF3: Household out-of-pocket payments;2020;10681.0
348;Total expenditure on health and care;HF3: Household out-of-pocket payments;2021;11613.0
349;Total expenditure on health and care;HF3: Household out-of-pocket payments;2022;12879.0
350;Total expenditure on health and care;HF31: Out-of-pocket excl cost sharing;1998;2637.0
351;Total expenditure on health and care;HF31: Out-of-pocket excl cost sharing;1999;2912.0
352;Total expenditure on health and care;HF31: Out-of-pocket excl cost sharing;2000;3153.0
353;Total expenditure on health and care;HF31: Out-of-pocket excl cost sharing;2001;3391.0
354;Total expenditure on health and care;HF31: Out-of-pocket excl cost sharing;2002;3585.0
355;Total expenditure on health and care;HF31: Out-of-pocket excl cost sharing;2003;3915.0
356;Total expenditure on health and care;HF31: Out-of-pocket excl cost sharing;2004;4265.0
357;Total expenditure on health and care;HF31: Out-of-pocket excl cost sharing;2005;4313.0
358;Total expenditure on health and care;HF31: Out-of-pocket excl cost sharing;2006;3798.0
359;Total expenditure on health and care;HF31: Out-of-pocket excl cost sharing;2007;4095.0
360;Total expenditure on health and care;HF31: Out-of-pocket excl cost sharing;2008;4175.0
361;Total expenditure on health and care;HF31: Out-of-pocket excl cost sharing;2009;3886.0
362;Total expenditure on health and care;HF31: Out-of-pocket excl cost sharing;2010;4208.0
363;Total expenditure on health and care;HF31: Out-of-pocket excl cost sharing;2011;4696.0
364;Total expenditure on health and care;HF31: Out-of-pocket excl cost sharing;2012;5237.0
365;Total expenditure on health and care;HF31: Out-of-pocket excl cost sharing;2013;5329.0
366;Total expenditure on health and care;HF31: Out-of-pocket excl cost sharing;2014;5109.0
367;Total expenditure on health and care;HF31: Out-of-pocket excl cost sharing;2015;5247.0
368;Total expenditure on health and care;HF31: Out-of-pocket excl cost sharing;2016;5329.0
369;Total expenditure on health and care;HF31: Out-of-pocket excl cost sharing;2017;5388.0
370;Total expenditure on health and care;HF31: Out-of-pocket excl cost sharing;2018;5626.0
371;Total expenditure on health and care;HF31: Out-of-pocket excl cost sharing;2019;5948.0
372;Total expenditure on health and care;HF31: Out-of-pocket excl cost sharing;2020;5496.0
373;Total expenditure on health and care;HF31: Out-of-pocket excl cost sharing;2021;6249.0
374;Total expenditure on health and care;HF31: Out-of-pocket excl cost sharing;2022;7285.0
375;Total expenditure on health and care;HF32: Cost sharing;1998;1608.0
376;Total expenditure on health and care;HF32: Cost sharing;1999;1674.0
377;Total expenditure on health and care;HF32: Cost sharing;2000;1685.0
378;Total expenditure on health and care;HF32: Cost sharing;2001;1714.0
379;Total expenditure on health and care;HF32: Cost sharing;2002;1776.0
380;Total expenditure on health and care;HF32: Cost sharing;2003;1786.0
381;Total expenditure on health and care;HF32: Cost sharing;2004;1950.0
382;Total expenditure on health and care;HF32: Cost sharing;2005;2004.0
383;Total expenditure on health and care;HF32: Cost sharing;2006;1911.0
384;Total expenditure on health and care;HF32: Cost sharing;2007;1860.0
385;Total expenditure on health and care;HF32: Cost sharing;2008;3237.0
386;Total expenditure on health and care;HF32: Cost sharing;2009;3398.0
387;Total expenditure on health and care;HF32: Cost sharing;2010;3523.0
388;Total expenditure on health and care;HF32: Cost sharing;2011;3752.0
389;Total expenditure on health and care;HF32: Cost sharing;2012;4178.0
390;Total expenditure on health and care;HF32: Cost sharing;2013;5311.0
391;Total expenditure on health and care;HF32: Cost sharing;2014;5459.0
392;Total expenditure on health and care;HF32: Cost sharing;2015;5241.0
393;Total expenditure on health and care;HF32: Cost sharing;2016;5310.0
394;Total expenditure on health and care;HF32: Cost sharing;2017;5244.0
395;Total expenditure on health and care;HF32: Cost sharing;2018;5228.0
396;Total expenditure on health and care;HF32: Cost sharing;2019;5243.0
