ID;OverheidNaarSubsector;Perioden;OverheidssaldoInPercentageBBP_1;OverheidssaldoInAbsoluteWaarde_2;OverheidsschuldInPercentageBBP_3;TotaleOverheidsschuld_4;ChartaalGeld_5;KortlopendeWaardepapieren_6;Obligaties_7;KortlopendeLeningen_8;LanglopendeLeningen_9
50;Lokale overheid;1998;0.0;13;11.7;42525.0;-18.0;94.0;1398.0;3461.0;37590.0
51;Lokale overheid;1999;0.1;304;10.4;40068.0;-18.0;38.0;1471.0;3550.0;35027.0
52;Lokale overheid;2000;0.0;63;9.0;37604.0;-20.0;-31.0;1543.0;2439.0;33673.0
53;Lokale overheid;2001;-0.1;-379;8.3;36940.0;-18.0;-111.0;1689.0;2528.0;32852.0
54;Lokale overheid;2002;-0.5;-2255;8.2;38030.0;-12.0;-60.0;1587.0;3447.0;33068.0
55;Lokale overheid;2003;-0.3;-1548;7.9;37762.0;-16.0;-96.0;1478.0;3214.0;33182.0
56;Lokale overheid;2004;-0.2;-966;7.8;38211.0;-11.0;-96.0;1194.0;3620.0;33504.0
57;Lokale overheid;2005;-0.2;-874;7.7;39317.0;-11.0;-96.0;868.0;3159.0;35397.0
58;Lokale overheid;2006;0.0;-256;7.2;38976.0;-11.0;-96.0;612.0;2939.0;35532.0
59;Lokale overheid;2007;-0.2;-1158;6.8;38706.0;-13.0;-96.0;341.0;3277.0;35197.0
60;Lokale overheid;2008;-0.4;-2634;7.0;41662.0;-15.0;-95.0;11.0;4703.0;37058.0
61;Lokale overheid;2009;-0.6;-3456;7.4;42438.0;-21.0;-42.0;-1756.0;6136.0;38121.0
62;Lokale overheid;2010;-0.8;-4651;7.5;44240.0;-17.0;-68.0;-2869.0;5825.0;41369.0
63;Wettelijke soc. verzekeringsinstellingen;1990;-0.2;-517;;;;;;;
64;Wettelijke soc. verzekeringsinstellingen;1991;0.3;718;;;;;;;
65;Wettelijke soc. verzekeringsinstellingen;1992;0.0;52;;;;;;;
66;Wettelijke soc. verzekeringsinstellingen;1993;-0.6;-1546;;;;;;;
67;Wettelijke soc. verzekeringsinstellingen;1994;-0.3;-819;;;;;;;
68;Wettelijke soc. verzekeringsinstellingen;1995;-0.8;-2423;0.8;2421.0;-6.0;;-550.0;3055.0;-78.0
69;Wettelijke soc. verzekeringsinstellingen;1996;-0.5;-1740;1.0;3314.0;-3.0;;-662.0;4004.0;-25.0
70;Wettelijke soc. verzekeringsinstellingen;1997;0.0;-54;0.7;2330.0;-5.0;;-9.0;2326.0;18.0
71;Wettelijke soc. verzekeringsinstellingen;1998;0.3;990;0.4;1408.0;-5.0;;-160.0;1516.0;57.0
72;Wettelijke soc. verzekeringsinstellingen;1999;1.2;4653;-0.9;-3618.0;-5.0;;-319.0;-3356.0;62.0
73;Wettelijke soc. verzekeringsinstellingen;2000;1.6;6525;-2.3;-9474.0;-3.0;;-315.0;-9287.0;131.0
74;Wettelijke soc. verzekeringsinstellingen;2001;0.1;235;-2.2;-10064.0;-2.0;;-317.0;-9882.0;137.0
75;Wettelijke soc. verzekeringsinstellingen;2002;-0.4;-2079;-2.0;-9161.0;-1.0;;-84.0;-9136.0;60.0
76;Wettelijke soc. verzekeringsinstellingen;2003;0.0;106;-1.6;-7477.0;-2.0;;-92.0;-7458.0;75.0
77;Wettelijke soc. verzekeringsinstellingen;2004;0.1;729;-1.7;-8542.0;0.0;;-53.0;-8537.0;48.0
78;Wettelijke soc. verzekeringsinstellingen;2005;-0.1;-753;-1.5;-7734.0;-2.0;;-51.0;-7773.0;92.0
79;Wettelijke soc. verzekeringsinstellingen;2006;-0.3;-1465;-1.4;-7724.0;0.0;;0.0;-7724.0;0.0
80;Wettelijke soc. verzekeringsinstellingen;2007;-0.1;-626;-1.3;-7707.0;0.0;;0.0;-7707.0;0.0
81;Wettelijke soc. verzekeringsinstellingen;2008;0.6;3320;-0.8;-4612.0;0.0;;0.0;-4612.0;0.0
82;Wettelijke soc. verzekeringsinstellingen;2009;-1.4;-8194;0.6;3516.0;0.0;;0.0;3516.0;0.0
83;Wettelijke soc. verzekeringsinstellingen;2010;-0.4;-2104;0.6;3289.0;0.0;;0.0;3289.0;0.0
