ID;SBI93;Bedrijfsgrootte;VerlagingTransactiekosten_1;LagereInkoopprijzen_2;ToegankelijkheidLeveranciers_3;VerminderenVoorraden_4;VersnellingBedrijfsprocessen_5;PROverweging_6;Kostenverlaging_7;VersnellingBedrijfsprocessen_8;NieuweGoederenDiensten_9;ConcurrentieVoorblijven_10;NieuweKlanten_11;VergrotingAfzetmarkt_12;VerbeteringDienstverlening_13
58;6;4;14.0;22.0;31.0;9.0;40.0;39.0;11.0;39.0;24.0;19.0;29.0;0.0;33.0
59;6;5;;;;;;;;;;;;;
60;6;6;;;;;;;;;;;;;
61;6;7;;;;;;;;;;;;;
62;6;8;;;;;;;;;;;;;
63;6;9;;;;;;;;;;;;;
64;6;200 tot 500 werknemers;;;;;;;;;;;;;
65;6;500 en meer werknemers;;;;;;;;;;;;;
66;7;1;21.0;21.0;33.0;17.0;39.0;49.0;18.0;24.0;20.0;31.0;37.0;21.0;31.0
67;7;2;19.0;24.0;30.0;16.0;30.0;51.0;20.0;25.0;22.0;32.0;39.0;23.0;31.0
68;7;3;25.0;14.0;40.0;20.0;57.0;41.0;9.0;17.0;15.0;26.0;34.0;13.0;31.0
69;7;4;27.0;21.0;36.0;27.0;51.0;48.0;33.0;53.0;20.0;39.0;28.0;17.0;51.0
70;7;5;;;;;;;;;;;;;
71;7;6;;;;;;;;;;;;;
72;7;7;;;;;;;;;;;;;
73;7;8;;;;;;;;;;;;;
74;7;9;;;;;;;;;;;;;
75;7;200 tot 500 werknemers;;;;;;;;;;;;;
76;7;500 en meer werknemers;;;;;;;;;;;;;
77;8;1;17.0;20.0;28.0;3.0;39.0;32.0;17.0;24.0;11.0;15.0;24.0;12.0;24.0
78;8;2;20.0;20.0;41.0;2.0;42.0;32.0;18.0;19.0;13.0;13.0;30.0;6.0;18.0
79;8;3;15.0;22.0;16.0;1.0;37.0;31.0;13.0;26.0;8.0;14.0;16.0;19.0;29.0
80;8;4;17.0;11.0;30.0;12.0;39.0;41.0;38.0;51.0;11.0;29.0;27.0;12.0;44.0
81;8;5;;;;;;;;;;;;;
82;8;6;;;;;;;;;;;;;
83;8;7;;;;;;;;;;;;;
84;8;8;;;;;;;;;;;;;
85;8;9;;;;;;;;;;;;;
86;8;200 tot 500 werknemers;;;;;;;;;;;;;
87;8;500 en meer werknemers;;;;;;;;;;;;;
88;9;1;11.0;13.0;28.0;5.0;39.0;50.0;16.0;35.0;25.0;30.0;40.0;15.0;44.0
89;9;2;11.0;11.0;28.0;4.0;41.0;45.0;15.0;38.0;25.0;28.0;40.0;15.0;42.0
90;9;3;11.0;17.0;27.0;5.0;35.0;59.0;20.0;27.0;27.0;33.0;40.0;16.0;48.0
91;9;4;11.0;18.0;28.0;9.0;40.0;63.0;20.0;33.0;24.0;41.0;43.0;14.0;47.0
92;9;5;;;;;;;;;;;;;
93;9;6;;;;;;;;;;;;;
94;9;7;;;;;;;;;;;;;
95;9;8;;;;;;;;;;;;;
96;9;9;;;;;;;;;;;;;
97;9;200 tot 500 werknemers;;;;;;;;;;;;;
98;9;500 en meer werknemers;;;;;;;;;;;;;
99;80.4  t/m 92 Overige dienstverlening;1;7.0;18.0;24.0;4.0;36.0;71.0;9.0;18.0;35.0;13.0;43.0;14.0;44.0
100;80.4  t/m 92 Overige dienstverlening;2;5.0;20.0;24.0;4.0;38.0;72.0;6.0;11.0;40.0;12.0;45.0;10.0;41.0
101;80.4  t/m 92 Overige dienstverlening;3;12.0;23.0;23.0;6.0;35.0;64.0;17.0;39.0;22.0;16.0;36.0;25.0;54.0
102;80.4  t/m 92 Overige dienstverlening;4;6.0;7.0;23.0;3.0;33.0;74.0;10.0;16.0;20.0;17.0;42.0;8.0;41.0
103;80.4  t/m 92 Overige dienstverlening;5;;;;;;;;;;;;;
104;80.4  t/m 92 Overige dienstverlening;6;;;;;;;;;;;;;
105;80.4  t/m 92 Overige dienstverlening;7;;;;;;;;;;;;;
106;80.4  t/m 92 Overige dienstverlening;8;;;;;;;;;;;;;
107;80.4  t/m 92 Overige dienstverlening;9;;;;;;;;;;;;;
108;80.4  t/m 92 Overige dienstverlening;200 tot 500 werknemers;;;;;;;;;;;;;
109;80.4  t/m 92 Overige dienstverlening;500 en meer werknemers;;;;;;;;;;;;;
