ID;Transactions;FunctionsOfGeneralGovernment;InstitutionalSectors;Periods;GovernmentExpenditureAndConsumption_1
82;Total government expenditure;Total;The State;2019;203597.0
83;Total government expenditure;Total;The State;2020;243935.0
84;Total government expenditure;Total;The State;2021;264005.0
85;Total government expenditure;Total;The State;2022;279532.0
86;Total government expenditure;Total;The State;2023;306525.0
87;Total government expenditure;Total;Other central government;1995;10624.0
88;Total government expenditure;Total;Other central government;1996;11127.0
89;Total government expenditure;Total;Other central government;1997;11628.0
90;Total government expenditure;Total;Other central government;1998;12395.0
91;Total government expenditure;Total;Other central government;1999;13683.0
92;Total government expenditure;Total;Other central government;2000;14426.0
93;Total government expenditure;Total;Other central government;2001;16215.0
94;Total government expenditure;Total;Other central government;2002;16817.0
95;Total government expenditure;Total;Other central government;2003;16631.0
96;Total government expenditure;Total;Other central government;2004;16616.0
97;Total government expenditure;Total;Other central government;2005;16679.0
98;Total government expenditure;Total;Other central government;2006;16789.0
99;Total government expenditure;Total;Other central government;2007;16759.0
100;Total government expenditure;Total;Other central government;2008;18134.0
101;Total government expenditure;Total;Other central government;2009;18603.0
102;Total government expenditure;Total;Other central government;2010;19042.0
103;Total government expenditure;Total;Other central government;2011;19144.0
104;Total government expenditure;Total;Other central government;2012;19317.0
105;Total government expenditure;Total;Other central government;2013;25004.0
106;Total government expenditure;Total;Other central government;2014;25611.0
107;Total government expenditure;Total;Other central government;2015;25726.0
108;Total government expenditure;Total;Other central government;2016;26407.0
109;Total government expenditure;Total;Other central government;2017;26647.0
110;Total government expenditure;Total;Other central government;2018;27722.0
111;Total government expenditure;Total;Other central government;2019;29321.0
112;Total government expenditure;Total;Other central government;2020;30448.0
113;Total government expenditure;Total;Other central government;2021;32763.0
114;Total government expenditure;Total;Other central government;2022;35983.0
115;Total government expenditure;Total;Other central government;2023;40049.0
116;Total government expenditure;Total;Local government;1995;69990.0
117;Total government expenditure;Total;Local government;1996;52750.0
118;Total government expenditure;Total;Local government;1997;53556.0
119;Total government expenditure;Total;Local government;1998;56436.0
120;Total government expenditure;Total;Local government;1999;59764.0
121;Total government expenditure;Total;Local government;2000;63936.0
122;Total government expenditure;Total;Local government;2001;68148.0
123;Total government expenditure;Total;Local government;2002;73535.0
124;Total government expenditure;Total;Local government;2003;78830.0
125;Total government expenditure;Total;Local government;2004;78598.0
126;Total government expenditure;Total;Local government;2005;79957.0
127;Total government expenditure;Total;Local government;2006;81638.0
128;Total government expenditure;Total;Local government;2007;87347.0
129;Total government expenditure;Total;Local government;2008;93282.0
130;Total government expenditure;Total;Local government;2009;99751.0
131;Total government expenditure;Total;Local government;2010;100610.0
132;Total government expenditure;Total;Local government;2011;98134.0
133;Total government expenditure;Total;Local government;2012;95601.0
134;Total government expenditure;Total;Local government;2013;91016.0
135;Total government expenditure;Total;Local government;2014;90654.0
136;Total government expenditure;Total;Local government;2015;96672.0
137;Total government expenditure;Total;Local government;2016;96217.0
138;Total government expenditure;Total;Local government;2017;97447.0
139;Total government expenditure;Total;Local government;2018;101143.0
140;Total government expenditure;Total;Local government;2019;105196.0
141;Total government expenditure;Total;Local government;2020;111726.0
142;Total government expenditure;Total;Local government;2021;116340.0
143;Total government expenditure;Total;Local government;2022;124618.0
144;Total government expenditure;Total;Local government;2023;135527.0
145;Total government expenditure;Total;Social security funds;1995;55260.0
146;Total government expenditure;Total;Social security funds;1996;54977.0
147;Total government expenditure;Total;Social security funds;1997;57873.0
148;Total government expenditure;Total;Social security funds;1998;58851.0
149;Total government expenditure;Total;Social security funds;1999;61094.0
150;Total government expenditure;Total;Social security funds;2000;64037.0
151;Total government expenditure;Total;Social security funds;2001;71044.0
152;Total government expenditure;Total;Social security funds;2002;76449.0
153;Total government expenditure;Total;Social security funds;2003;82808.0
154;Total government expenditure;Total;Social security funds;2004;83636.0
155;Total government expenditure;Total;Social security funds;2005;87343.0
156;Total government expenditure;Total;Social security funds;2006;97591.0
157;Total government expenditure;Total;Social security funds;2007;98741.0
158;Total government expenditure;Total;Social security funds;2008;99155.0
159;Total government expenditure;Total;Social security funds;2009;108867.0
160;Total government expenditure;Total;Social security funds;2010;115268.0
161;Total government expenditure;Total;Social security funds;2011;115174.0
162;Total government expenditure;Total;Social security funds;2012;120367.0
163;Total government expenditure;Total;Social security funds;2013;123556.0
164;Total government expenditure;Total;Social security funds;2014;126734.0
165;Total government expenditure;Total;Social security funds;2015;121097.0
166;Total government expenditure;Total;Social security funds;2016;120246.0
167;Total government expenditure;Total;Social security funds;2017;123871.0
168;Total government expenditure;Total;Social security funds;2018;127657.0
169;Total government expenditure;Total;Social security funds;2019;134692.0
170;Total government expenditure;Total;Social security funds;2020;153507.0
171;Total government expenditure;Total;Social security funds;2021;154668.0
172;Total government expenditure;Total;Social security funds;2022;151721.0
173;Total government expenditure;Total;Social security funds;2023;165892.0
174;Total government expenditure;1. General public services;General government;1995;30191.0
175;Total government expenditure;1. General public services;General government;1996;29909.0
176;Total government expenditure;1. General public services;General government;1997;30353.0
177;Total government expenditure;1. General public services;General government;1998;31044.0
178;Total government expenditure;1. General public services;General government;1999;31693.0
179;Total government expenditure;1. General public services;General government;2000;32045.0
180;Total government expenditure;1. General public services;General government;2001;32548.0
181;Total government expenditure;1. General public services;General government;2002;32371.0
182;Total government expenditure;1. General public services;General government;2003;31610.0
183;Total government expenditure;1. General public services;General government;2004;31878.0
184;Total government expenditure;1. General public services;General government;2005;33070.0
185;Total government expenditure;1. General public services;General government;2006;33544.0
186;Total government expenditure;1. General public services;General government;2007;34211.0
187;Total government expenditure;1. General public services;General government;2008;37484.0
188;Total government expenditure;1. General public services;General government;2009;34263.0
189;Total government expenditure;1. General public services;General government;2010;36377.0
190;Total government expenditure;1. General public services;General government;2011;35175.0
191;Total government expenditure;1. General public services;General government;2012;33802.0
192;Total government expenditure;1. General public services;General government;2013;33901.0
193;Total government expenditure;1. General public services;General government;2014;35262.0
194;Total government expenditure;1. General public services;General government;2015;33624.0
195;Total government expenditure;1. General public services;General government;2016;30330.0
196;Total government expenditure;1. General public services;General government;2017;30433.0
197;Total government expenditure;1. General public services;General government;2018;31224.0
198;Total government expenditure;1. General public services;General government;2019;31941.0
199;Total government expenditure;1. General public services;General government;2020;34028.0
200;Total government expenditure;1. General public services;General government;2021;33997.0
201;Total government expenditure;1. General public services;General government;2022;36190.0
202;Total government expenditure;1. General public services;General government;2023;38198.0
203;Total government expenditure;1. General public services;Central government;1995;33765.0
204;Total government expenditure;1. General public services;Central government;1996;34077.0
205;Total government expenditure;1. General public services;Central government;1997;36770.0
206;Total government expenditure;1. General public services;Central government;1998;36373.0
207;Total government expenditure;1. General public services;Central government;1999;37249.0
208;Total government expenditure;1. General public services;Central government;2000;38230.0
209;Total government expenditure;1. General public services;Central government;2001;39677.0
210;Total government expenditure;1. General public services;Central government;2002;39919.0
211;Total government expenditure;1. General public services;Central government;2003;41614.0
212;Total government expenditure;1. General public services;Central government;2004;39911.0
213;Total government expenditure;1. General public services;Central government;2005;41419.0
214;Total government expenditure;1. General public services;Central government;2006;43818.0
215;Total government expenditure;1. General public services;Central government;2007;46643.0
216;Total government expenditure;1. General public services;Central government;2008;50688.0
217;Total government expenditure;1. General public services;Central government;2009;49064.0
218;Total government expenditure;1. General public services;Central government;2010;52333.0
219;Total government expenditure;1. General public services;Central government;2011;51449.0
220;Total government expenditure;1. General public services;Central government;2012;48678.0
221;Total government expenditure;1. General public services;Central government;2013;48735.0
222;Total government expenditure;1. General public services;Central government;2014;50580.0
223;Total government expenditure;1. General public services;Central government;2015;59275.0
224;Total government expenditure;1. General public services;Central government;2016;57174.0
225;Total government expenditure;1. General public services;Central government;2017;58366.0
226;Total government expenditure;1. General public services;Central government;2018;60380.0
227;Total government expenditure;1. General public services;Central government;2019;62117.0
228;Total government expenditure;1. General public services;Central government;2020;66692.0
229;Total government expenditure;1. General public services;Central government;2021;67705.0
230;Total government expenditure;1. General public services;Central government;2022;76517.0
231;Total government expenditure;1. General public services;Central government;2023;78294.0
232;Total government expenditure;1. General public services;The State;1995;32921.0
233;Total government expenditure;1. General public services;The State;1996;33293.0
234;Total government expenditure;1. General public services;The State;1997;35802.0
235;Total government expenditure;1. General public services;The State;1998;35530.0
236;Total government expenditure;1. General public services;The State;1999;36313.0
237;Total government expenditure;1. General public services;The State;2000;37532.0
238;Total government expenditure;1. General public services;The State;2001;38953.0
239;Total government expenditure;1. General public services;The State;2002;39384.0
240;Total government expenditure;1. General public services;The State;2003;41107.0
241;Total government expenditure;1. General public services;The State;2004;39461.0
242;Total government expenditure;1. General public services;The State;2005;41219.0
243;Total government expenditure;1. General public services;The State;2006;43481.0
244;Total government expenditure;1. General public services;The State;2007;46387.0
245;Total government expenditure;1. General public services;The State;2008;50456.0
246;Total government expenditure;1. General public services;The State;2009;48797.0
247;Total government expenditure;1. General public services;The State;2010;52180.0
248;Total government expenditure;1. General public services;The State;2011;51308.0
249;Total government expenditure;1. General public services;The State;2012;48487.0
250;Total government expenditure;1. General public services;The State;2013;48336.0
251;Total government expenditure;1. General public services;The State;2014;50225.0
252;Total government expenditure;1. General public services;The State;2015;59095.0
253;Total government expenditure;1. General public services;The State;2016;57132.0
254;Total government expenditure;1. General public services;The State;2017;58302.0
255;Total government expenditure;1. General public services;The State;2018;60317.0
256;Total government expenditure;1. General public services;The State;2019;62098.0
257;Total government expenditure;1. General public services;The State;2020;66449.0
258;Total government expenditure;1. General public services;The State;2021;67472.0
259;Total government expenditure;1. General public services;The State;2022;76433.0
260;Total government expenditure;1. General public services;The State;2023;78687.0
261;Total government expenditure;1. General public services;Other central government;1995;2344.0
262;Total government expenditure;1. General public services;Other central government;1996;2360.0
263;Total government expenditure;1. General public services;Other central government;1997;2500.0
264;Total government expenditure;1. General public services;Other central government;1998;2682.0
265;Total government expenditure;1. General public services;Other central government;1999;2981.0
266;Total government expenditure;1. General public services;Other central government;2000;2861.0
267;Total government expenditure;1. General public services;Other central government;2001;3156.0
268;Total government expenditure;1. General public services;Other central government;2002;3199.0
269;Total government expenditure;1. General public services;Other central government;2003;3196.0
270;Total government expenditure;1. General public services;Other central government;2004;3462.0
271;Total government expenditure;1. General public services;Other central government;2005;3521.0
272;Total government expenditure;1. General public services;Other central government;2006;3557.0
273;Total government expenditure;1. General public services;Other central government;2007;3549.0
274;Total government expenditure;1. General public services;Other central government;2008;3729.0
275;Total government expenditure;1. General public services;Other central government;2009;3915.0
276;Total government expenditure;1. General public services;Other central government;2010;4040.0
277;Total government expenditure;1. General public services;Other central government;2011;4006.0
278;Total government expenditure;1. General public services;Other central government;2012;4004.0
279;Total government expenditure;1. General public services;Other central government;2013;4044.0
280;Total government expenditure;1. General public services;Other central government;2014;4159.0
281;Total government expenditure;1. General public services;Other central government;2015;4243.0
282;Total government expenditure;1. General public services;Other central government;2016;4121.0
283;Total government expenditure;1. General public services;Other central government;2017;4284.0
284;Total government expenditure;1. General public services;Other central government;2018;4387.0
285;Total government expenditure;1. General public services;Other central government;2019;4613.0
286;Total government expenditure;1. General public services;Other central government;2020;4764.0
287;Total government expenditure;1. General public services;Other central government;2021;5081.0
288;Total government expenditure;1. General public services;Other central government;2022;5414.0
289;Total government expenditure;1. General public services;Other central government;2023;5942.0
290;Total government expenditure;1. General public services;Local government;1995;7550.0
291;Total government expenditure;1. General public services;Local government;1996;6100.0
292;Total government expenditure;1. General public services;Local government;1997;5883.0
293;Total government expenditure;1. General public services;Local government;1998;5885.0
294;Total government expenditure;1. General public services;Local government;1999;6392.0
295;Total government expenditure;1. General public services;Local government;2000;6766.0
296;Total government expenditure;1. General public services;Local government;2001;6424.0
297;Total government expenditure;1. General public services;Local government;2002;6892.0
298;Total government expenditure;1. General public services;Local government;2003;7165.0
299;Total government expenditure;1. General public services;Local government;2004;6935.0
300;Total government expenditure;1. General public services;Local government;2005;6962.0
301;Total government expenditure;1. General public services;Local government;2006;6839.0
302;Total government expenditure;1. General public services;Local government;2007;6977.0
303;Total government expenditure;1. General public services;Local government;2008;7220.0
304;Total government expenditure;1. General public services;Local government;2009;7509.0
305;Total government expenditure;1. General public services;Local government;2010;7530.0
306;Total government expenditure;1. General public services;Local government;2011;7245.0
307;Total government expenditure;1. General public services;Local government;2012;6693.0
308;Total government expenditure;1. General public services;Local government;2013;6647.0
309;Total government expenditure;1. General public services;Local government;2014;6453.0
310;Total government expenditure;1. General public services;Local government;2015;5755.0
311;Total government expenditure;1. General public services;Local government;2016;5854.0
312;Total government expenditure;1. General public services;Local government;2017;5624.0
313;Total government expenditure;1. General public services;Local government;2018;5598.0
314;Total government expenditure;1. General public services;Local government;2019;5735.0
315;Total government expenditure;1. General public services;Local government;2020;5536.0
316;Total government expenditure;1. General public services;Local government;2021;5630.0
317;Total government expenditure;1. General public services;Local government;2022;5730.0
318;Total government expenditure;1. General public services;Local government;2023;6788.0
319;Total government expenditure;1. General public services;Social security funds;1995;190.0
320;Total government expenditure;1. General public services;Social security funds;1996;212.0
321;Total government expenditure;1. General public services;Social security funds;1997;223.0
322;Total government expenditure;1. General public services;Social security funds;1998;166.0
323;Total government expenditure;1. General public services;Social security funds;1999;114.0
324;Total government expenditure;1. General public services;Social security funds;2000;130.0
325;Total government expenditure;1. General public services;Social security funds;2001;104.0
326;Total government expenditure;1. General public services;Social security funds;2002;104.0
327;Total government expenditure;1. General public services;Social security funds;2003;31.0
328;Total government expenditure;1. General public services;Social security funds;2004;31.0
329;Total government expenditure;1. General public services;Social security funds;2005;28.0
330;Total government expenditure;1. General public services;Social security funds;2006;180.0
331;Total government expenditure;1. General public services;Social security funds;2007;311.0
332;Total government expenditure;1. General public services;Social security funds;2008;485.0
333;Total government expenditure;1. General public services;Social security funds;2009;131.0
334;Total government expenditure;1. General public services;Social security funds;2010;99.0
335;Total government expenditure;1. General public services;Social security funds;2011;217.0
336;Total government expenditure;1. General public services;Social security funds;2012;68.0
337;Total government expenditure;1. General public services;Social security funds;2013;39.0
338;Total government expenditure;1. General public services;Social security funds;2014;1062.0
339;Total government expenditure;1. General public services;Social security funds;2015;2.0
340;Total government expenditure;1. General public services;Social security funds;2016;0.0
341;Total government expenditure;1. General public services;Social security funds;2017;1.0
342;Total government expenditure;1. General public services;Social security funds;2018;1.0
343;Total government expenditure;1. General public services;Social security funds;2019;1.0
344;Total government expenditure;1. General public services;Social security funds;2020;0.0
345;Total government expenditure;1. General public services;Social security funds;2021;1.0
346;Total government expenditure;1. General public services;Social security funds;2022;71.0
347;Total government expenditure;1. General public services;Social security funds;2023;195.0
348;Total government expenditure;1.1 Executive and legislative organs, ..;General government;1995;6443.0
349;Total government expenditure;1.1 Executive and legislative organs, ..;General government;1996;6353.0
350;Total government expenditure;1.1 Executive and legislative organs, ..;General government;1997;7202.0
351;Total government expenditure;1.1 Executive and legislative organs, ..;General government;1998;7527.0
352;Total government expenditure;1.1 Executive and legislative organs, ..;General government;1999;7864.0
353;Total government expenditure;1.1 Executive and legislative organs, ..;General government;2000;9246.0
354;Total government expenditure;1.1 Executive and legislative organs, ..;General government;2001;9853.0
355;Total government expenditure;1.1 Executive and legislative organs, ..;General government;2002;10291.0
356;Total government expenditure;1.1 Executive and legislative organs, ..;General government;2003;10723.0
357;Total government expenditure;1.1 Executive and legislative organs, ..;General government;2004;10721.0
358;Total government expenditure;1.1 Executive and legislative organs, ..;General government;2005;11329.0
359;Total government expenditure;1.1 Executive and legislative organs, ..;General government;2006;11735.0
360;Total government expenditure;1.1 Executive and legislative organs, ..;General government;2007;11895.0
361;Total government expenditure;1.1 Executive and legislative organs, ..;General government;2008;12483.0
362;Total government expenditure;1.1 Executive and legislative organs, ..;General government;2009;9955.0
363;Total government expenditure;1.1 Executive and legislative organs, ..;General government;2010;12252.0
364;Total government expenditure;1.1 Executive and legislative organs, ..;General government;2011;11939.0
365;Total government expenditure;1.1 Executive and legislative organs, ..;General government;2012;11780.0
366;Total government expenditure;1.1 Executive and legislative organs, ..;General government;2013;12085.0
367;Total government expenditure;1.1 Executive and legislative organs, ..;General government;2014;13657.0
368;Total government expenditure;1.1 Executive and legislative organs, ..;General government;2015;13143.0
369;Total government expenditure;1.1 Executive and legislative organs, ..;General government;2016;10608.0
370;Total government expenditure;1.1 Executive and legislative organs, ..;General government;2017;10823.0
371;Total government expenditure;1.1 Executive and legislative organs, ..;General government;2018;12409.0
372;Total government expenditure;1.1 Executive and legislative organs, ..;General government;2019;13480.0
373;Total government expenditure;1.1 Executive and legislative organs, ..;General government;2020;14642.0
374;Total government expenditure;1.1 Executive and legislative organs, ..;General government;2021;15714.0
375;Total government expenditure;1.1 Executive and legislative organs, ..;General government;2022;16327.0
376;Total government expenditure;1.1 Executive and legislative organs, ..;General government;2023;16620.0
377;Total government expenditure;1.1 Executive and legislative organs, ..;Central government;1995;4640.0
378;Total government expenditure;1.1 Executive and legislative organs, ..;Central government;1996;4566.0
379;Total government expenditure;1.1 Executive and legislative organs, ..;Central government;1997;5445.0
380;Total government expenditure;1.1 Executive and legislative organs, ..;Central government;1998;5643.0
381;Total government expenditure;1.1 Executive and legislative organs, ..;Central government;1999;5776.0
382;Total government expenditure;1.1 Executive and legislative organs, ..;Central government;2000;6831.0
383;Total government expenditure;1.1 Executive and legislative organs, ..;Central government;2001;7261.0
384;Total government expenditure;1.1 Executive and legislative organs, ..;Central government;2002;7292.0
385;Total government expenditure;1.1 Executive and legislative organs, ..;Central government;2003;7436.0
386;Total government expenditure;1.1 Executive and legislative organs, ..;Central government;2004;7673.0
387;Total government expenditure;1.1 Executive and legislative organs, ..;Central government;2005;8248.0
388;Total government expenditure;1.1 Executive and legislative organs, ..;Central government;2006;8722.0
389;Total government expenditure;1.1 Executive and legislative organs, ..;Central government;2007;8771.0
390;Total government expenditure;1.1 Executive and legislative organs, ..;Central government;2008;9237.0
391;Total government expenditure;1.1 Executive and legislative organs, ..;Central government;2009;6513.0
392;Total government expenditure;1.1 Executive and legislative organs, ..;Central government;2010;8734.0
393;Total government expenditure;1.1 Executive and legislative organs, ..;Central government;2011;8567.0
394;Total government expenditure;1.1 Executive and legislative organs, ..;Central government;2012;8754.0
395;Total government expenditure;1.1 Executive and legislative organs, ..;Central government;2013;8957.0
396;Total government expenditure;1.1 Executive and legislative organs, ..;Central government;2014;10522.0
397;Total government expenditure;1.1 Executive and legislative organs, ..;Central government;2015;10612.0
398;Total government expenditure;1.1 Executive and legislative organs, ..;Central government;2016;7975.0
399;Total government expenditure;1.1 Executive and legislative organs, ..;Central government;2017;8278.0
400;Total government expenditure;1.1 Executive and legislative organs, ..;Central government;2018;9845.0
401;Total government expenditure;1.1 Executive and legislative organs, ..;Central government;2019;10706.0
402;Total government expenditure;1.1 Executive and legislative organs, ..;Central government;2020;11960.0
403;Total government expenditure;1.1 Executive and legislative organs, ..;Central government;2021;13228.0
404;Total government expenditure;1.1 Executive and legislative organs, ..;Central government;2022;13341.0
405;Total government expenditure;1.1 Executive and legislative organs, ..;Central government;2023;13584.0
406;Total government expenditure;1.1 Executive and legislative organs, ..;The State;1995;4658.0
407;Total government expenditure;1.1 Executive and legislative organs, ..;The State;1996;4584.0
408;Total government expenditure;1.1 Executive and legislative organs, ..;The State;1997;5457.0
409;Total government expenditure;1.1 Executive and legislative organs, ..;The State;1998;5656.0
410;Total government expenditure;1.1 Executive and legislative organs, ..;The State;1999;5792.0
411;Total government expenditure;1.1 Executive and legislative organs, ..;The State;2000;6849.0
412;Total government expenditure;1.1 Executive and legislative organs, ..;The State;2001;7283.0
413;Total government expenditure;1.1 Executive and legislative organs, ..;The State;2002;7316.0
414;Total government expenditure;1.1 Executive and legislative organs, ..;The State;2003;7464.0
415;Total government expenditure;1.1 Executive and legislative organs, ..;The State;2004;7711.0
416;Total government expenditure;1.1 Executive and legislative organs, ..;The State;2005;8270.0
417;Total government expenditure;1.1 Executive and legislative organs, ..;The State;2006;8744.0
418;Total government expenditure;1.1 Executive and legislative organs, ..;The State;2007;8794.0
419;Total government expenditure;1.1 Executive and legislative organs, ..;The State;2008;9255.0
420;Total government expenditure;1.1 Executive and legislative organs, ..;The State;2009;6529.0
421;Total government expenditure;1.1 Executive and legislative organs, ..;The State;2010;8745.0
422;Total government expenditure;1.1 Executive and legislative organs, ..;The State;2011;8567.0
423;Total government expenditure;1.1 Executive and legislative organs, ..;The State;2012;8765.0
424;Total government expenditure;1.1 Executive and legislative organs, ..;The State;2013;8980.0
425;Total government expenditure;1.1 Executive and legislative organs, ..;The State;2014;10539.0
426;Total government expenditure;1.1 Executive and legislative organs, ..;The State;2015;10630.0
427;Total government expenditure;1.1 Executive and legislative organs, ..;The State;2016;7993.0
428;Total government expenditure;1.1 Executive and legislative organs, ..;The State;2017;8305.0
429;Total government expenditure;1.1 Executive and legislative organs, ..;The State;2018;9873.0
430;Total government expenditure;1.1 Executive and legislative organs, ..;The State;2019;10744.0
431;Total government expenditure;1.1 Executive and legislative organs, ..;The State;2020;12004.0
432;Total government expenditure;1.1 Executive and legislative organs, ..;The State;2021;13292.0
433;Total government expenditure;1.1 Executive and legislative organs, ..;The State;2022;13428.0
434;Total government expenditure;1.1 Executive and legislative organs, ..;The State;2023;13640.0
435;Total government expenditure;1.1 Executive and legislative organs, ..;Other central government;1995;0.0
436;Total government expenditure;1.1 Executive and legislative organs, ..;Other central government;1996;0.0
437;Total government expenditure;1.1 Executive and legislative organs, ..;Other central government;1997;0.0
438;Total government expenditure;1.1 Executive and legislative organs, ..;Other central government;1998;0.0
439;Total government expenditure;1.1 Executive and legislative organs, ..;Other central government;1999;0.0
440;Total government expenditure;1.1 Executive and legislative organs, ..;Other central government;2000;0.0
441;Total government expenditure;1.1 Executive and legislative organs, ..;Other central government;2001;0.0
442;Total government expenditure;1.1 Executive and legislative organs, ..;Other central government;2002;0.0
443;Total government expenditure;1.1 Executive and legislative organs, ..;Other central government;2003;0.0
444;Total government expenditure;1.1 Executive and legislative organs, ..;Other central government;2004;0.0
445;Total government expenditure;1.1 Executive and legislative organs, ..;Other central government;2005;0.0
446;Total government expenditure;1.1 Executive and legislative organs, ..;Other central government;2006;0.0
447;Total government expenditure;1.1 Executive and legislative organs, ..;Other central government;2007;0.0
448;Total government expenditure;1.1 Executive and legislative organs, ..;Other central government;2008;0.0
449;Total government expenditure;1.1 Executive and legislative organs, ..;Other central government;2009;0.0
450;Total government expenditure;1.1 Executive and legislative organs, ..;Other central government;2010;0.0
451;Total government expenditure;1.1 Executive and legislative organs, ..;Other central government;2011;0.0
452;Total government expenditure;1.1 Executive and legislative organs, ..;Other central government;2012;0.0
453;Total government expenditure;1.1 Executive and legislative organs, ..;Other central government;2013;0.0
454;Total government expenditure;1.1 Executive and legislative organs, ..;Other central government;2014;0.0
455;Total government expenditure;1.1 Executive and legislative organs, ..;Other central government;2015;0.0
456;Total government expenditure;1.1 Executive and legislative organs, ..;Other central government;2016;0.0
457;Total government expenditure;1.1 Executive and legislative organs, ..;Other central government;2017;0.0
458;Total government expenditure;1.1 Executive and legislative organs, ..;Other central government;2018;0.0
459;Total government expenditure;1.1 Executive and legislative organs, ..;Other central government;2019;0.0
460;Total government expenditure;1.1 Executive and legislative organs, ..;Other central government;2020;0.0
461;Total government expenditure;1.1 Executive and legislative organs, ..;Other central government;2021;0.0
462;Total government expenditure;1.1 Executive and legislative organs, ..;Other central government;2022;0.0
463;Total government expenditure;1.1 Executive and legislative organs, ..;Other central government;2023;0.0
464;Total government expenditure;1.1 Executive and legislative organs, ..;Local government;1995;1814.0
465;Total government expenditure;1.1 Executive and legislative organs, ..;Local government;1996;1799.0
466;Total government expenditure;1.1 Executive and legislative organs, ..;Local government;1997;1766.0
467;Total government expenditure;1.1 Executive and legislative organs, ..;Local government;1998;1894.0
