ID;SIC2008;Periods;NumberOfEnterprises_1;Jobs_2;EmployeesInFTE_3;WagesInclExtraS_4;TotalOperatingReturns_5;NetTurnover_6;TotalOtherRevenues_7;Subsidies_8;OtherRevenuesNotBeforeMentioned_9;TotalOperatingCosts_10;TotalLabourCosts_11;WagesAndSalaries_12;SocialSecurityContributions_13;RemunerationOfSelfEmplMedSpec_14;DepreciationFixedAssetsIncluding_15;TotalOtherOperatingCosts_16;OtherPersonnelCosts_17;OperatingCostsNotBeforeMentioned_18;OperatingResults_19;OperatingSurplus_20;ExceptionalResults_21;PreTaxResults_22;TotalAssets_23;IntangibleFixedAssets_24;TangibleFixedAssets_25;FinancialAssets_26;Stock_27;ShortTermClaims_28;Securities_29;LiquidAssets_30;TotalLiabilities_31;Equity_32;Provisions_33;LongTermLoans_34;ShortTermLoans_35;NumberOfSmallEnterprises_36;JobsSmallEnterprises_37;EmployeesInFTESmallEnt_38;WagesInclExtraSSmallEnt_39;SelfEmployedWorkersSmallEnt_40;ProfitSelfEmplWorkersSmallEnt_41
12;86102 General hospitals ;2018;59;191550;140800;7772;18653;17305;1348;728;619;18086;8325;6746;1579;2120;1149;6492;839;5653;566;-264;;302;15990;316;10311;140;568;3202;65;1389;15990;4498;866;6524;4102;0.0;;;;;
13;86102 General hospitals ;2019;57;194100;142850;7929;19398;17980;1418;768;650;18839;8738;7058;1680;2201;1162;6738;868;5870;559;-262;;298;16198;318;10255;133;541;3281;22;1648;16198;4795;739;6237;4428;0.0;;;;;
14;86102 General hospitals ;2020;57;195650;144050;8603;20401;18540;1861;1164;697;19817;9399;7552;1847;2245;1192;6981;943;6038;584;-250;;334;16309;290;10180;143;572;3444;4;1676;16309;5083;669;5833;4725;0.0;;;;;
15;86102 General hospitals ;2021;57;201300;147750;8805;20953;19329;1624;967;656;20352;9562;7734;1828;2299;1193;7299;969;6329;601;-221;;380;16765;281;10181;143;736;3916;5;1503;16765;5497;692;5653;4923;0.0;;;;;
16;86102 General hospitals ;2022;58;201950;148300;9182;21585;19959;1626;949;677;21102;9867;7927;1940;2358;1206;7671;976;6695;483;-188;;295;17279;296;10178;166;788;4058;2;1791;17279;5808;765;5394;5312;0.0;;;;;
17;86102 General hospitals ;2023;58;201900;148700;9583;22948;21177;1771;1037;735;22540;10475;8462;2013;2511;1227;8328;1080;7247;408;-153;;255;17622;288;10276;165;753;4100;2;2039;17622;6088;823;5187;5523;0.0;;;;;
18;86103 Specialised hospitals (not mental);2015;21;15250;11450;638;1259;999;260;133;126;1195;691;561;130;9;69;426;81;345;64;-16;1.0;50;1251;1;691;6;18;381;5;149;1251;341;50;417;443;0.0;;;;;
19;86103 Specialised hospitals (not mental);2016;20;15200;11450;652;1267;1052;215;127;88;1228;709;573;136;10;69;441;76;366;39;-14;;25;1253;6;732;6;22;276;4;208;1253;373;55;422;403;0.0;;;;;
20;86103 Specialised hospitals (not mental);2017;19;15300;11400;663;1277;1067;209;133;76;1245;722;588;133;10;67;447;80;368;31;-12;;19;1293;4;800;4;35;243;4;203;1293;381;62;438;412;0.0;;;;;
21;86103 Specialised hospitals (not mental);2018;18;15650;11800;702;1423;1190;232;142;90;1391;769;625;143;10;87;525;100;425;32;-14;;18;1348;3;830;4;52;250;3;206;1348;395;63;463;427;0.0;;;;;
22;86103 Specialised hospitals (not mental);2019;17;16200;12250;739;1509;1282;227;148;79;1462;821;665;156;11;80;549;98;450;47;-16;;32;1398;5;863;4;50;253;10;212;1398;432;28;466;473;0.0;;;;;
23;86103 Specialised hospitals (not mental);2020;17;16600;12600;823;1568;1315;254;177;76;1541;886;717;169;12;82;561;100;461;28;-13;;15;1393;11;847;5;45;288;11;186;1393;447;26;410;510;0.0;;;;;
24;86103 Specialised hospitals (not mental);2021;17;16900;12900;840;1635;1365;270;171;98;1606;925;748;177;12;87;582;90;491;29;-12;;17;1431;16;831;5;55;354;12;157;1431;472;30;379;551;0.0;;;;;
25;86103 Specialised hospitals (not mental);2022;17;17300;13250;894;1690;1412;278;182;96;1666;958;772;186;13;89;607;103;504;24;-11;;13;1467;16;825;5;71;348;15;186;1467;484;31;346;605;0.0;;;;;
26;86103 Specialised hospitals (not mental);2023;17;17300;13200;938;1822;1530;292;192;101;1794;1022;825;197;14;98;661;116;545;28;-6;;22;1545;22;817;8;76;387;16;219;1545;502;36;319;689;0.0;;;;;
27;86104 Mental health hospitals;2015;121;82100;64300;3333;5454;5041;413;237;175;5286;3540;2854;686;0;279;1467;344;1123;168;-74;0.0;94;4787;7;2738;46;312;1016;1;667;4787;1299;315;1850;1323;100.0;150.0;100.0;4.0;50.0;3.0
28;86104 Mental health hospitals;2016;131;82250;64350;3415;5574;5192;383;236;147;5470;3695;2985;710;1;255;1520;385;1135;104;-77;;27;4756;12;2594;41;359;1001;0;749;4756;1341;313;1681;1422;100.0;200.0;150.0;6.0;100.0;4.0
29;86104 Mental health hospitals;2017;137;81800;63250;3472;5666;5242;425;254;170;5522;3718;3005;713;0;253;1551;429;1122;144;-67;;77;4650;20;2447;30;270;1139;0;744;4650;1385;257;1564;1444;150.0;100.0;100.0;3.0;100.0;6.0
30;86104 Mental health hospitals;2018;139;84300;65200;3637;5882;5450;431;268;163;5804;3910;3154;756;0;237;1658;514;1144;77;-59;;18;4507;22;2370;38;324;1071;0;683;4507;1419;236;1473;1380;150.0;150.0;100.0;4.0;150.0;7.0
31;86104 Mental health hospitals;2019;136;86800;67300;3822;6328;5839;489;273;216;6131;4133;3315;819;0;233;1765;574;1191;197;-61;;136;4479;19;2332;42;392;975;0;720;4479;1597;212;1308;1362;200.0;150.0;100.0;5.0;150.0;7.0
32;86104 Mental health hospitals;2020;139;88000;68500;4039;6663;6093;570;427;143;6533;4470;3601;869;0;230;1833;596;1237;130;-48;;81;4743;20;2300;29;444;1065;1;884;4743;1660;217;1234;1631;200.0;200.0;150.0;7.0;100.0;7.0
33;86104 Mental health hospitals;2021;150;90750;70800;4365;7004;6475;529;363;166;6783;4629;3725;903;0;231;1924;635;1289;221;-46;;175;4936;18;2236;30;5;1507;3;1137;4936;1835;219;1265;1618;250.0;150.0;100.0;5.0;150.0;8.0
34;86104 Mental health hospitals;2022;147;91400;71150;4506;7326;6796;529;373;157;7244;4856;3870;985;1;233;2154;722;1432;82;-40;;43;5115;30;2253;33;6;1816;3;973;5115;1868;223;1222;1801;300.0;250.0;200.0;10.0;200.0;8.0
35;86104 Mental health hospitals;2023;159;92600;72150;4751;7937;7403;534;375;159;7781;5092;4063;1029;1;231;2457;851;1606;156;-29;;128;5055;31;2275;36;8;1376;9;1320;5055;2008;215;1125;1707;300.0;200.0;150.0;8.0;;
36;Care for disabled persons;2015;304;175150;117300;4831;8709;8172;537;347;190;8404;5394;4341;1053;0;487;2523;540;1983;305;-93;1.0;214;7239;13;4952;64;20;590;6;1595;7239;2516;562;2499;1663;1150.0;1650.0;900.0;31.0;1300.0;53.0
37;Care for disabled persons;2016;357;177100;119400;5035;9157;8573;584;381;203;8908;5678;4563;1115;0;466;2764;622;2143;249;-94;;155;7528;8;4987;57;20;649;7;1801;7528;2690;623;2516;1699;1400.0;2200.0;1200.0;44.0;1350.0;62.0
38;Care for disabled persons;2017;393;181950;121250;5349;9455;8891;563;377;186;9146;5844;4701;1144;0;462;2840;664;2176;308;-90;;218;7530;12;5033;41;21;662;7;1754;7530;2921;504;2435;1669;1500.0;2300.0;1300.0;46.0;1600.0;77.0
39;Care for disabled persons;2018;411;187000;125700;5542;9883;9289;594;394;200;9651;6140;4922;1217;0;436;3076;810;2266;232;-82;;150;7684;15;5142;41;23;671;6;1785;7684;3080;456;2414;1734;1600.0;2500.0;1450.0;54.0;1650.0;84.0
40;Care for disabled persons;2019;459;191450;129850;6006;10589;9963;626;426;200;10399;6559;5240;1318;0;462;3378;955;2423;190;-80;;110;7851;20;5328;38;22;674;4;1764;7851;3224;361;2313;1954;1850.0;2600.0;1500.0;59.0;1800.0;90.0
41;Care for disabled persons;2020;507;194750;133100;6381;11515;10506;1009;787;222;11181;7247;5772;1475;0;467;3468;987;2481;334;-78;;256;8433;19;5433;35;23;791;4;2128;8433;3509;331;2282;2311;1950.0;2750.0;1550.0;67.0;1900.0;99.0
42;Care for disabled persons;2021;523;196450;134800;6660;11745;11003;743;529;214;11395;7275;5841;1434;0;479;3641;1087;2554;350;-78;;272;8556;16;5490;36;13;752;3;2245;8556;3773;347;2233;2203;2100.0;3100.0;1850.0;79.0;1900.0;104.0
43;Care for disabled persons;2022;563;195500;134500;6892;12304;11571;732;470;262;12102;7541;6018;1523;0;500;4061;1382;2679;202;-52;;150;8892;17;5594;42;14;778;23;2423;8892;3969;329;2175;2419;2200.0;3150.0;1850.0;82.0;2000.0;106.0
44;Care for disabled persons;2023;586;194250;134100;7255;13180;12395;785;489;296;13020;7995;6386;1610;0;491;4533;1603;2930;159;-30;;129;9150;18;5780;32;14;871;25;2410;9150;4096;361;2075;2618;2150.0;3200.0;1950.0;91.0;;
45;87901 Residential care for children;2015;59;19650;15850;790;1389;1112;278;207;71;1367;874;694;180;0;36;458;97;360;22;-8;0.0;15;965;1;480;5;17;149;1;313;965;251;104;326;284;350.0;250.0;150.0;5.0;350.0;13.0
46;87901 Residential care for children;2016;68;17950;14450;732;1317;1096;222;151;71;1290;803;637;165;0;27;460;108;352;28;-7;;20;853;2;355;6;15;197;0;279;853;267;93;220;273;400.0;200.0;100.0;4.0;450.0;18.0
47;87901 Residential care for children;2017;86;19200;15000;791;1417;1201;217;144;73;1381;872;693;179;0;25;484;125;359;36;-6;;30;875;3;347;10;14;265;0;237;875;321;88;206;261;500.0;300.0;150.0;7.0;550.0;22.0
48;87901 Residential care for children;2018;114;21050;16400;872;1504;1273;231;162;69;1496;940;748;193;0;29;526;141;386;8;-3;;5;907;3;337;13;20;264;1;270;907;342;71;195;300;650.0;350.0;150.0;7.0;650.0;28.0
49;87901 Residential care for children;2019;119;20200;15650;859;1465;1219;246;162;83;1474;926;729;197;0;30;519;140;379;-9;-4;;-13;787;3;290;11;9;238;2;234;787;287;47;162;292;900.0;500.0;300.0;14.0;900.0;40.0
50;87901 Residential care for children;2020;132;21150;16300;920;1595;1328;268;170;97;1570;1002;793;209;0;28;540;135;405;25;-5;;20;866;4;312;7;5;254;2;282;866;322;44;173;327;1000.0;450.0;250.0;12.0;1050.0;50.0
51;87901 Residential care for children;2021;145;21150;16400;933;1639;1383;256;157;99;1622;1009;799;210;0;26;587;163;424;16;-6;;11;855;3;313;7;0;255;2;274;855;318;49;164;325;1200.0;500.0;250.0;13.0;1200.0;58.0
52;87901 Residential care for children;2022;149;21350;16500;1013;1755;1479;276;164;112;1765;1071;841;230;0;29;665;213;453;-10;-5;;-15;859;3;307;8;0;274;2;265;859;305;45;168;342;1350.0;600.0;350.0;16.0;1350.0;69.0
53;87901 Residential care for children;2023;156;21250;16450;1023;1910;1607;302;178;124;1885;1101;865;235;0;31;753;236;517;25;-4;;20;874;4;305;9;0;274;2;280;874;310;49;157;358;1450.0;750.0;450.0;24.0;;
54;87902 Residential care for other persons;2015;49;15250;12650;580;1699;645;1054;985;69;1665;643;515;128;0;63;959;158;801;33;-3;3.0;33;927;16;511;13;3;204;0;180;927;281;61;102;484;100.0;100.0;50.0;3.0;50.0;2.0
55;87902 Residential care for other persons;2016;48;16450;13800;674;2015;726;1289;1220;69;2027;724;578;146;0;96;1208;257;951;-12;-3;;-15;1078;14;650;7;2;147;0;258;1078;271;81;342;384;100.0;100.0;50.0;3.0;50.0;2.0
56;87902 Residential care for other persons;2017;49;16450;13200;659;1759;777;982;911;71;1716;728;584;145;0;112;876;171;704;43;-2;;41;1082;3;567;5;3;146;0;358;1082;322;127;317;315;100.0;100.0;50.0;3.0;50.0;2.0
57;87902 Residential care for other persons;2018;52;16900;13550;689;1676;857;819;751;67;1620;765;613;152;0;78;777;160;617;55;-3;;52;1029;3;530;6;4;162;0;324;1029;349;97;311;273;100.0;100.0;50.0;4.0;50.0;2.0
58;87902 Residential care for other persons;2019;53;17400;13950;731;1740;884;856;783;73;1744;808;644;165;0;67;869;181;688;-4;-3;;-7;956;2;522;4;3;168;0;256;956;314;94;282;266;100.0;150.0;100.0;5.0;100.0;3.0
59;87902 Residential care for other persons;2020;56;18200;14650;797;1926;961;964;879;85;1861;868;688;180;0;57;936;200;736;65;-2;;62;1014;5;562;4;3;167;0;273;1014;295;93;263;363;150.0;150.0;100.0;4.0;100.0;4.0
60;87902 Residential care for other persons;2021;55;18750;15100;837;2134;1042;1092;1007;84;2013;901;713;188;0;57;1054;231;823;121;-5;;115;1137;4;627;4;1;145;0;355;1137;324;87;366;359;150.0;200.0;150.0;7.0;100.0;4.0
61;87902 Residential care for other persons;2022;58;19800;16000;929;2977;1115;1862;1757;105;2978;991;778;213;0;68;1919;332;1587;-1;-6;;-7;1357;3;734;2;0;263;0;356;1357;309;101;355;592;150.0;200.0;100.0;6.0;100.0;4.0
62;87902 Residential care for other persons;2023;60;22000;17950;1102;4273;1228;3045;2930;115;4265;1183;931;252;0;101;2981;452;2530;8;-2;;6;1569;1;923;2;0;395;0;248;1569;322;102;432;712;200.0;200.0;150.0;7.0;;
63;88991 Social work for children;2015;33;9250;7650;427;631;528;103;83;20;627;442;352;90;0;9;176;45;131;3;0;2.0;6;213;2;27;0;2;55;0;127;213;54;23;5;131;;;;;;
64;88991 Social work for children;2016;36;9350;7750;435;711;526;185;167;18;699;441;350;91;0;9;250;48;201;12;0;;12;219;3;23;0;2;71;0;120;219;63;23;4;129;;;;;;
65;88991 Social work for children;2017;47;9650;7800;450;725;543;183;161;22;728;452;360;92;0;7;269;72;197;-3;1;;-2;233;4;20;0;1;78;0;129;233;61;24;4;145;;;;;;
66;88991 Social work for children;2018;59;9300;7550;432;718;560;158;137;21;710;448;356;92;0;8;255;76;178;8;2;;10;253;4;19;0;2;76;0;152;253;69;22;3;159;;;;;;
67;88991 Social work for children;2019;68;9600;7750;466;747;614;133;110;23;736;481;379;102;0;6;249;86;163;11;0;;10;259;4;19;0;2;65;0;169;259;75;20;3;161;;;;;;
68;88991 Social work for children;2020;89;9950;8200;498;811;683;128;105;24;804;527;416;110;0;7;270;91;179;7;0;;7;262;4;22;0;3;74;0;159;262;81;18;5;158;;;;;;
69;88991 Social work for children;2021;113;10950;8850;539;899;759;140;110;30;874;566;447;119;0;8;301;103;198;25;-1;;25;299;4;22;2;0;90;0;182;299;103;20;4;172;;;;;;
70;88991 Social work for children;2022;128;11300;9200;599;1003;806;196;165;31;1001;619;483;137;0;8;374;116;257;1;-1;;1;333;6;25;3;2;100;0;196;333;102;17;6;208;;;;;;
71;88991 Social work for children;2023;157;13400;10500;680;1358;1037;321;287;33;1334;725;565;161;0;12;597;158;438;24;2;;27;466;14;35;8;2;128;0;280;466;128;22;9;307;;;;;;
72;Residential and home care ;2015;782;410900;255050;10071;16812;15754;1058;303;755;16491;10919;8784;2135;22;880;4671;1127;3544;322;-242;-3.0;77;14429;28;9857;150;74;1440;3;2876;14429;4530;839;5607;3453;13650.0;1850.0;900.0;34.0;7650.0;200.0
73;Residential and home care ;2016;852;405800;248500;10149;17047;16012;1035;301;734;16885;11223;9032;2190;23;843;4796;1272;3524;163;-234;;-71;14388;26;9630;108;79;1435;1;3108;14388;4462;756;5615;3555;14950.0;1900.0;1000.0;38.0;8250.0;234.0
74;Residential and home care ;2017;913;410950;245050;10633;17467;16441;1026;289;737;16963;11213;9040;2173;22;845;4883;1351;3532;504;-230;;275;13660;23;9312;110;95;1392;1;2728;13660;4696;613;5277;3074;16500.0;1850.0;1000.0;39.0;9350.0;288.0
75;Residential and home care ;2018;977;420500;251300;10805;18377;17329;1048;324;724;17785;11695;9396;2300;24;801;5266;1549;3717;592;-194;;398;13823;21;9212;125;98;1438;1;2928;13823;5117;535;5146;3025;19150.0;2200.0;1250.0;51.0;11250.0;359.0
76;Residential and home care ;2019;992;442500;264700;11779;19850;18807;1043;342;700;19304;12734;10176;2559;25;801;5744;1815;3929;546;-181;;365;14177;29;9282;127;101;1623;1;3014;14177;5546;456;4961;3215;22000.0;2750.0;1600.0;67.0;13000.0;438.0
77;Residential and home care ;2020;1006;453350;272500;12419;21930;20186;1744;1147;597;21220;13885;11070;2814;25;819;6491;2331;4160;710;-176;;534;15204;32;9216;153;87;2143;11;3562;15204;6024;470;4837;3873;24000.0;2750.0;1550.0;70.0;14200.0;501.0
78;Residential and home care ;2021;1064;462450;279300;13063;22566;21374;1191;615;576;21883;14208;11425;2784;28;850;6797;2407;4390;682;-169;;513;15928;26;9443;161;108;2302;14;3872;15928;6564;722;4735;3907;26450.0;3050.0;1800.0;83.0;15650.0;565.0
79;Residential and home care ;2022;1037;464250;280500;13762;22952;21885;1067;465;602;22575;14731;11746;2985;41;843;6960;2334;4626;377;-148;;228;16287;34;9430;188;102;2023;7;4501;16287;6732;738;4617;4200;31950.0;3500.0;2050.0;99.0;18500.0;657.0
80;Residential and home care ;2023;1039;460100;276950;14191;24628;23559;1068;439;629;24080;15467;12396;3072;52;862;7698;2453;5245;548;-90;;458;16735;61;9537;198;98;1849;13;4980;16735;7162;762;4415;4395;35300.0;3150.0;1950.0;97.0;;
