ID;KenmerkenWerknemers;Marges;Perioden;ErgSnelWerken_1;HeelVeelWerkDoen_2;ExtraHardWerken_3;ZelfBeslissen_4;VolgordeWerkzaamhedenBepalen_5;WerktempoBepalen_6;OplossingenBedenken_7;VerlofNemen_8;WerktijdenBepalen_9;WerkplekBepalen_10;EmotioneelMoeilijkeWerksituaties_11;EmotioneelVeeleisendWerk_12;EmotioneelBetrokkenBijWerk_13;VanKlantenTot2022_14;VanLeidinggevendenOfCollegaS_15;DoorKlantenTot2022_16;DoorLeidinggevendenOfCollegaS_17;DoorKlantenTot2022_18;DoorLeidinggevendenOfCollegaS_19;DoorKlantenTot2022_20;DoorLeidinggevendenOfCollegaS_21;VanKlantLeidinggevendeOfCollega_22;VanKlantenVanaf2022_23;VanLeidinggevenden_24;VanCollegaS_25;DoorKlantLeidinggevendeOfCollega_26;DoorKlantenVanaf2022_27;DoorLeidinggevenden_28;DoorCollegaS_29;DoorKlantLeidinggevendeOfCollega_30;DoorKlantenVanaf2022_31;DoorLeidinggevenden_32;DoorCollegaS_33;DoorKlantLeidinggevendeOfCollega_34;DoorKlantenVanaf2022_35;DoorLeidinggevenden_36;DoorCollegaS_37;PsychischeVermoeidheidDoorHetWerk_38;EmotioneelUitgeput_39;LeegVoelen_40;SOchtendsMoeVoelen_41;VergtVeelOmMetMensenTeWerken_42;UitgeputDoorWerk_43
10;Totaal;Ondergrens 95%-interval;2015;35.8;44.9;30.2;59.4;61.6;56.1;67.2;48.2;22.9;;7.1;11.4;12.6;4.9;1.7;18.1;10.8;5.5;0.3;4.8;7.8;;;;;;;;;;;;;;;;;13.1;12.0;27.4;16.9;9.5;12.4
11;Totaal;Ondergrens 95%-interval;2016;35.6;44.6;30.1;59.3;60.9;55.3;67.3;47.7;23.5;;7.7;11.8;12.7;5.2;1.9;18.8;10.8;5.6;0.4;5.3;8.0;;;;;;;;;;;;;;;;;14.3;13.2;29.5;18.5;10.4;13.0
12;Totaal;Ondergrens 95%-interval;2017;36.2;45.7;31.7;59.1;60.2;54.6;67.3;48.2;24.1;;8.4;12.6;13.8;5.8;2.0;18.8;11.0;5.6;0.4;5.2;8.0;;;;;;;;;;;;;;;;;15.6;14.2;29.8;19.1;11.7;14.1
13;Totaal;Ondergrens 95%-interval;2018;35.9;45.9;30.2;59.7;60.8;55.7;67.1;50.0;25.6;;8.4;12.6;14.4;5.1;2.1;18.4;10.4;5.6;0.5;5.6;7.8;;;;;;;;;;;;;;;;;16.9;17.3;31.5;20.1;13.2;14.9
14;Totaal;Ondergrens 95%-interval;2019;35.0;45.2;29.8;60.3;61.2;56.4;67.3;51.4;26.6;;8.6;13.1;14.8;8.2;3.0;23.2;12.9;7.1;0.7;7.7;9.9;;;;;;;;;;;;;;;;;16.7;15.8;30.6;20.2;13.6;15.1
15;Totaal;Ondergrens 95%-interval;2020;31.8;42.0;26.8;61.3;62.5;59.0;67.2;52.9;28.1;;7.7;11.8;14.9;4.4;1.7;17.2;8.2;4.8;0.4;5.1;6.4;;;;;;;;;;;;;;;;;15.4;15.6;29.7;18.9;12.6;13.3
16;Totaal;Ondergrens 95%-interval;2021;33.1;44.4;29.3;60.2;61.6;56.9;66.5;52.1;28.0;;8.8;12.9;15.6;5.8;2.0;18.0;8.5;5.3;0.5;5.7;6.7;;;;;;;;;;;;;;;;;16.9;16.2;30.5;21.0;14.1;15.1
17;Totaal;Ondergrens 95%-interval;2022;30.9;41.9;26.8;61.9;61.6;57.4;65.1;54.3;28.5;27.1;6.2;10.6;12.1;;;;;;;;;4.2;2.8;0.3;0.9;10.9;7.9;1.4;1.3;2.8;2.4;0.0;0.1;4.6;1.0;1.1;2.4;19.7;19.9;33.9;22.7;16.6;16.0
18;Totaal;Bovengrens 95%-interval;2014;37.1;45.8;31.2;61.0;62.9;56.5;68.5;48.5;23.5;;8.0;12.4;13.8;5.6;2.0;19.3;12.0;6.1;0.6;5.8;8.1;;;;;;;;;;;;;;;;;14.8;14.2;31.1;18.8;10.6;13.4
19;Totaal;Bovengrens 95%-interval;2015;36.7;45.9;31.1;60.4;62.6;57.1;68.1;49.1;23.7;;7.7;12.0;13.2;5.3;1.9;18.8;11.4;5.9;0.5;5.3;8.3;;;;;;;;;;;;;;;;;13.8;12.7;28.3;17.7;10.1;13.0
20;Totaal;Bovengrens 95%-interval;2016;36.5;45.5;31.0;60.3;61.9;56.2;68.2;48.6;24.4;;8.2;12.5;13.4;5.7;2.2;19.6;11.4;6.1;0.5;5.8;8.6;;;;;;;;;;;;;;;;;15.0;13.9;30.4;19.3;11.0;13.7
21;Totaal;Bovengrens 95%-interval;2017;37.2;46.7;32.6;60.0;61.1;55.6;68.3;49.2;25.0;;8.9;13.3;14.5;6.3;2.3;19.5;11.7;6.0;0.5;5.7;8.5;;;;;;;;;;;;;;;;;16.3;14.9;30.7;19.9;12.4;14.8
22;Totaal;Bovengrens 95%-interval;2018;36.8;46.8;30.9;60.6;61.6;56.5;67.9;50.8;26.4;;8.9;13.2;15.0;5.5;2.4;19.0;10.9;6.0;0.7;6.0;8.2;;;;;;;;;;;;;;;;;17.6;18.0;32.3;20.8;13.8;15.6
23;Totaal;Bovengrens 95%-interval;2019;35.8;46.1;30.6;61.1;62.0;57.2;68.1;52.2;27.4;;9.1;13.6;15.4;8.7;3.3;24.0;13.5;7.5;0.9;8.2;10.4;;;;;;;;;;;;;;;;;17.4;16.5;31.4;20.9;14.2;15.8
24;Totaal;Bovengrens 95%-interval;2020;32.7;42.9;27.6;62.1;63.4;59.8;68.0;53.8;28.8;;8.2;12.4;15.5;4.8;1.9;17.9;8.7;5.2;0.6;5.5;6.9;;;;;;;;;;;;;;;;;16.1;16.3;30.5;19.6;13.2;13.9
25;Totaal;Bovengrens 95%-interval;2021;34.0;45.4;30.2;61.2;62.5;57.8;67.4;53.0;28.9;;9.4;13.5;16.3;6.3;2.3;18.7;9.1;5.7;0.6;6.2;7.2;;;;;;;;;;;;;;;;;17.6;16.9;31.4;21.8;14.7;15.8
26;Totaal;Bovengrens 95%-interval;2022;31.7;42.8;27.6;62.7;62.5;58.3;65.9;55.1;29.3;27.8;6.9;11.4;12.9;;;;;;;;;4.7;3.2;0.5;1.2;11.7;8.6;1.7;1.6;3.2;2.8;0.1;0.3;5.2;1.3;1.4;2.8;20.4;20.6;34.8;23.5;17.3;16.7
27;Migratieachtergrond: Nederland;Waarde;2014;36.3;45.1;30.2;62.0;63.9;56.6;69.8;49.7;23.6;;7.4;12.1;13.3;5.4;1.7;19.6;12.0;6.1;0.4;5.2;7.3;;;;;;;;;;;;;;;;;13.1;12.9;29.7;16.9;9.4;11.7
28;Migratieachtergrond: Nederland;Waarde;2015;36.4;45.6;30.4;61.3;63.5;56.9;69.5;50.0;23.7;;7.0;11.7;12.9;5.2;1.7;19.5;11.2;6.1;0.3;4.9;7.4;;;;;;;;;;;;;;;;;12.3;11.5;27.1;16.0;9.1;11.5
29;Migratieachtergrond: Nederland;Waarde;2016;36.0;45.1;30.2;61.7;63.1;56.4;69.5;50.0;24.4;;7.5;12.1;13.1;5.4;1.9;20.2;11.2;6.2;0.4;5.3;7.6;;;;;;;;;;;;;;;;;13.4;12.5;29.1;17.3;9.8;12.1
30;Migratieachtergrond: Nederland;Waarde;2017;36.6;46.3;31.9;61.2;62.5;55.8;69.7;50.4;25.3;;8.0;12.6;13.8;6.1;2.0;20.0;11.4;6.2;0.4;5.2;7.5;;;;;;;;;;;;;;;;;14.5;13.2;29.2;17.9;11.1;13.0
31;Migratieachtergrond: Nederland;Waarde;2018;36.4;46.5;30.2;62.2;63.2;56.9;69.4;52.0;26.9;;7.9;12.7;14.4;5.2;2.0;19.5;10.5;6.1;0.4;5.4;7.1;;;;;;;;;;;;;;;;;15.5;16.2;30.7;18.5;12.2;13.6
32;Migratieachtergrond: Nederland;Waarde;2019;35.5;45.7;29.8;62.8;63.7;57.8;70.0;53.5;27.5;;8.2;13.2;14.9;8.4;2.7;24.8;13.1;7.7;0.6;7.5;9.3;;;;;;;;;;;;;;;;;15.3;14.8;29.8;18.6;12.8;13.7
33;Migratieachtergrond: Nederland;Waarde;2020;32.2;42.2;26.6;64.0;65.1;60.5;69.7;55.4;29.2;;7.2;11.8;14.9;4.6;1.6;18.5;8.3;5.3;0.3;4.8;5.8;;;;;;;;;;;;;;;;;14.1;14.6;29.1;17.4;11.7;11.9
34;Migratieachtergrond: Nederland;Waarde;2021;33.4;44.7;28.9;63.2;64.4;58.7;69.3;54.5;29.3;;8.1;12.8;15.5;6.1;1.9;19.4;8.4;5.8;0.4;5.7;6.1;;;;;;;;;;;;;;;;;15.4;14.9;29.6;19.2;12.9;13.4
35;Migratieachtergrond: Nederland;Waarde;2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
36;Migratieachtergrond: Nederland;Ondergrens 95%-interval;2014;35.7;44.6;29.6;61.5;63.3;56.1;69.3;49.1;23.2;;7.1;11.7;12.9;5.1;1.5;19.1;11.6;5.9;0.3;4.9;7.0;;;;;;;;;;;;;;;;;12.7;12.5;29.1;16.5;9.0;11.4
37;Migratieachtergrond: Nederland;Ondergrens 95%-interval;2015;35.8;45.1;29.9;60.8;63.0;56.4;69.0;49.5;23.3;;6.7;11.4;12.6;5.0;1.5;19.0;10.9;5.8;0.3;4.7;7.2;;;;;;;;;;;;;;;;;12.0;11.2;26.7;15.7;8.8;11.2
38;Migratieachtergrond: Nederland;Ondergrens 95%-interval;2016;35.4;44.5;29.8;61.2;62.6;55.9;69.0;49.5;24.0;;7.2;11.8;12.8;5.2;1.8;19.7;10.9;5.9;0.3;5.0;7.3;;;;;;;;;;;;;;;;;13.0;12.1;28.6;16.9;9.5;11.7
39;Migratieachtergrond: Nederland;Ondergrens 95%-interval;2017;36.1;45.8;31.4;60.7;62.0;55.3;69.2;49.9;24.8;;7.7;12.2;13.4;5.9;1.8;19.6;11.0;6.0;0.3;5.0;7.2;;;;;;;;;;;;;;;;;14.1;12.8;28.8;17.5;10.8;12.6
40;Migratieachtergrond: Nederland;Ondergrens 95%-interval;2018;35.9;46.0;29.8;61.8;62.7;56.4;69.0;51.5;26.5;;7.6;12.4;14.1;5.0;1.8;19.2;10.2;5.9;0.4;5.2;6.9;;;;;;;;;;;;;;;;;15.2;15.9;30.3;18.1;11.9;13.3
41;Migratieachtergrond: Nederland;Ondergrens 95%-interval;2019;35.0;45.2;29.3;62.4;63.3;57.3;69.5;53.0;27.1;;7.9;12.9;14.5;8.1;2.6;24.4;12.8;7.5;0.5;7.2;9.0;;;;;;;;;;;;;;;;;15.0;14.5;29.3;18.3;12.5;13.4
42;Migratieachtergrond: Nederland;Ondergrens 95%-interval;2020;31.7;41.7;26.2;63.5;64.6;60.0;69.2;54.9;28.7;;7.0;11.5;14.6;4.4;1.5;18.2;8.1;5.1;0.3;4.6;5.6;;;;;;;;;;;;;;;;;13.8;14.2;28.7;17.0;11.4;11.6
43;Migratieachtergrond: Nederland;Ondergrens 95%-interval;2021;32.9;44.2;28.4;62.7;64.0;58.2;68.8;54.0;28.9;;7.8;12.4;15.1;5.9;1.8;19.0;8.1;5.6;0.3;5.4;5.8;;;;;;;;;;;;;;;;;15.0;14.6;29.2;18.8;12.5;13.0
44;Migratieachtergrond: Nederland;Ondergrens 95%-interval;2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45;Migratieachtergrond: Nederland;Bovengrens 95%-interval;2014;36.9;45.7;30.7;62.6;64.4;57.2;70.4;50.2;24.1;;7.7;12.5;13.7;5.6;1.9;20.1;12.4;6.4;0.5;5.5;7.6;;;;;;;;;;;;;;;;;13.5;13.3;30.2;17.3;9.7;12.1
46;Migratieachtergrond: Nederland;Bovengrens 95%-interval;2015;36.9;46.1;30.9;61.8;64.0;57.5;69.9;50.5;24.2;;7.3;12.0;13.3;5.5;1.8;19.9;11.6;6.3;0.4;5.1;7.7;;;;;;;;;;;;;;;;;12.7;11.9;27.6;16.4;9.4;11.9
47;Migratieachtergrond: Nederland;Bovengrens 95%-interval;2016;36.5;45.6;30.7;62.2;63.6;57.0;70.0;50.5;24.9;;7.8;12.5;13.5;5.7;2.1;20.6;11.5;6.5;0.5;5.6;7.9;;;;;;;;;;;;;;;;;13.7;12.8;29.6;17.7;10.2;12.4
48;Migratieachtergrond: Nederland;Bovengrens 95%-interval;2017;37.2;46.9;32.4;61.8;63.0;56.4;70.2;50.9;25.7;;8.3;12.9;14.2;6.4;2.1;20.4;11.7;6.5;0.4;5.5;7.8;;;;;;;;;;;;;;;;;14.9;13.6;29.7;18.3;11.4;13.4
49;Migratieachtergrond: Nederland;Bovengrens 95%-interval;2018;36.8;46.9;30.6;62.7;63.6;57.3;69.8;52.4;27.2;;8.1;13.0;14.7;5.4;2.1;19.9;10.8;6.3;0.5;5.6;7.4;;;;;;;;;;;;;;;;;15.8;16.6;31.1;18.8;12.5;13.9
50;Migratieachtergrond: Nederland;Bovengrens 95%-interval;2019;35.9;46.2;30.2;63.3;64.2;58.2;70.4;53.9;27.9;;8.4;13.5;15.2;8.6;2.9;25.2;13.4;8.0;0.7;7.7;9.6;;;;;;;;;;;;;;;;;15.7;15.2;30.2;19.0;13.1;14.1
51;Migratieachtergrond: Nederland;Bovengrens 95%-interval;2020;32.6;42.7;27.0;64.5;65.6;61.0;70.1;55.9;29.6;;7.5;12.1;15.3;4.8;1.7;18.9;8.6;5.5;0.4;5.0;6.0;;;;;;;;;;;;;;;;;14.5;14.9;29.5;17.7;12.0;12.2
52;Migratieachtergrond: Nederland;Bovengrens 95%-interval;2021;33.9;45.2;29.4;63.7;64.9;59.2;69.8;55.0;29.8;;8.4;13.1;15.8;6.4;2.1;19.8;8.7;6.1;0.4;5.9;6.3;;;;;;;;;;;;;;;;;15.7;15.3;30.1;19.6;13.2;13.7
53;Migratieachtergrond: Nederland;Bovengrens 95%-interval;2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
54;Migratieachtergrond: westers;Waarde;2014;39.4;48.9;33.4;61.3;61.6;56.6;66.4;45.4;23.6;;9.5;13.0;16.4;4.6;2.5;16.8;11.1;4.7;0.6;6.6;9.1;;;;;;;;;;;;;;;;;17.6;16.2;34.1;22.2;12.6;16.0
55;Migratieachtergrond: westers;Waarde;2015;37.9;48.2;32.9;60.0;60.9;57.9;66.2;48.1;23.6;;9.7;13.0;15.7;4.4;2.4;15.4;11.5;4.2;0.6;5.1;10.9;;;;;;;;;;;;;;;;;17.4;15.1;29.8;21.4;12.5;15.6
56;Migratieachtergrond: westers;Waarde;2016;37.3;47.1;31.9;58.6;59.5;55.1;65.3;44.2;24.8;;10.2;13.0;14.7;5.3;2.8;16.6;11.1;4.4;0.5;5.7;10.0;;;;;;;;;;;;;;;;;18.4;16.9;33.4;23.8;13.8;17.1
57;Migratieachtergrond: westers;Waarde;2017;37.5;48.4;34.3;59.3;59.2;54.6;65.2;46.1;22.7;;11.9;15.5;18.3;5.1;2.5;16.5;11.8;4.3;0.5;6.0;10.5;;;;;;;;;;;;;;;;;19.9;19.4;33.3;23.8;15.4;17.1
58;Migratieachtergrond: westers;Waarde;2018;38.9;48.8;33.1;56.5;57.7;54.7;65.5;47.9;23.6;;12.8;15.1;19.4;5.3;3.6;15.8;12.0;4.8;1.4;6.8;11.0;;;;;;;;;;;;;;;;;23.9;23.3;37.0;26.8;19.2;19.8
59;Migratieachtergrond: westers;Waarde;2019;36.2;49.0;33.1;58.4;59.8;56.2;65.6;50.4;27.3;;12.9;15.5;19.4;8.3;4.6;19.8;14.4;5.5;1.4;8.0;12.7;;;;;;;;;;;;;;;;;22.1;20.6;34.9;25.7;18.1;19.8
60;Migratieachtergrond: westers;Waarde;2020;34.6;45.9;30.0;59.4;59.7;58.4;66.0;48.8;27.0;;11.2;14.6;18.4;3.9;2.4;14.2;10.0;4.0;1.0;6.6;9.3;;;;;;;;;;;;;;;;;20.9;20.5;33.1;25.8;16.8;18.1
61;Migratieachtergrond: westers;Waarde;2021;34.5;48.1;33.8;58.0;58.9;57.6;65.5;49.9;26.9;;12.8;15.5;20.5;5.1;3.3;14.7;11.7;3.7;1.1;5.9;9.8;;;;;;;;;;;;;;;;;23.7;21.8;36.0;28.2;19.2;20.7
62;Migratieachtergrond: westers;Waarde;2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
63;Migratieachtergrond: westers;Ondergrens 95%-interval;2014;37.5;46.9;31.6;59.3;59.7;54.6;64.4;43.4;22.0;;8.4;11.7;15.0;3.8;2.0;15.4;10.0;3.9;0.4;5.7;8.0;;;;;;;;;;;;;;;;;16.1;14.7;32.2;20.6;11.3;14.6
64;Migratieachtergrond: westers;Ondergrens 95%-interval;2015;36.2;46.4;31.2;58.2;59.1;56.1;64.4;46.3;22.1;;8.6;11.8;14.4;3.7;1.9;14.2;10.4;3.6;0.4;4.4;9.8;;;;;;;;;;;;;;;;;16.0;13.8;28.1;19.9;11.4;14.3
65;Migratieachtergrond: westers;Ondergrens 95%-interval;2016;35.5;45.3;30.2;56.8;57.7;53.3;63.6;42.5;23.3;;9.1;11.9;13.5;4.5;2.3;15.4;10.0;3.7;0.3;4.9;9.0;;;;;;;;;;;;;;;;;17.0;15.6;31.8;22.2;12.6;15.8
66;Migratieachtergrond: westers;Ondergrens 95%-interval;2017;35.7;46.5;32.6;57.4;57.4;52.7;63.4;44.3;21.3;;10.7;14.3;16.9;4.4;2.0;15.3;10.7;3.6;0.3;5.2;9.4;;;;;;;;;;;;;;;;;18.5;18.0;31.5;22.3;14.0;15.7
67;Migratieachtergrond: westers;Ondergrens 95%-interval;2018;37.3;47.2;31.5;54.8;56.1;53.1;63.9;46.3;22.3;;11.7;13.9;18.1;4.6;3.0;14.7;11.0;4.2;1.0;6.0;10.0;;;;;;;;;;;;;;;;;22.5;21.9;35.4;25.4;17.9;18.5
68;Migratieachtergrond: westers;Ondergrens 95%-interval;2019;34.7;47.3;31.6;56.8;58.2;54.5;64.1;48.7;25.9;;11.8;14.3;18.1;7.5;3.9;18.6;13.3;4.8;1.0;7.2;11.7;;;;;;;;;;;;;;;;;20.7;19.3;33.3;24.2;16.9;18.5
69;Migratieachtergrond: westers;Ondergrens 95%-interval;2020;33.1;44.3;28.6;57.8;58.1;56.8;64.5;47.2;25.7;;10.2;13.5;17.2;3.3;2.0;13.2;9.1;3.4;0.7;5.9;8.4;;;;;;;;;;;;;;;;;19.6;19.2;31.6;24.4;15.6;16.8
70;Migratieachtergrond: westers;Ondergrens 95%-interval;2021;32.9;46.4;32.2;56.3;57.2;55.8;63.8;48.2;25.4;;11.6;14.3;19.2;4.4;2.7;13.5;10.6;3.2;0.7;5.1;8.8;;;;;;;;;;;;;;;;;22.3;20.4;34.4;26.7;17.8;19.3
71;Migratieachtergrond: westers;Ondergrens 95%-interval;2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
72;Migratieachtergrond: westers;Bovengrens 95%-interval;2014;41.3;50.9;35.3;63.2;63.6;58.6;68.3;47.3;25.2;;10.8;14.4;17.9;5.5;3.2;18.3;12.4;5.6;1.1;7.6;10.3;;;;;;;;;;;;;;;;;19.2;17.7;36.0;23.9;14.0;17.6
73;Migratieachtergrond: westers;Bovengrens 95%-interval;2015;39.7;50.0;34.6;61.8;62.7;59.7;67.9;49.9;25.2;;10.9;14.2;17.0;5.1;3.1;16.7;12.7;5.0;1.0;6.0;12.2;;;;;;;;;;;;;;;;;18.8;16.4;31.5;23.0;13.8;17.0
74;Migratieachtergrond: westers;Bovengrens 95%-interval;2016;39.0;48.9;33.6;60.3;61.3;56.9;67.0;46.0;26.4;;11.3;14.3;16.1;6.1;3.5;18.0;12.2;5.1;0.9;6.6;11.2;;;;;;;;;;;;;;;;;19.8;18.2;35.2;25.3;15.1;18.5
75;Migratieachtergrond: westers;Bovengrens 95%-interval;2017;39.3;50.2;36.1;61.1;61.0;56.4;66.9;47.9;24.3;;13.1;16.9;19.8;6.0;3.2;17.9;13.0;5.1;0.9;6.9;11.7;;;;;;;;;;;;;;;;;21.5;20.9;35.0;25.5;16.8;18.6
76;Migratieachtergrond: westers;Bovengrens 95%-interval;2018;40.5;50.5;34.6;58.1;59.4;56.4;67.0;49.5;25.0;;14.0;16.3;20.7;6.1;4.4;17.0;13.1;5.6;1.9;7.7;12.1;;;;;;;;;;;;;;;;;25.4;24.8;38.6;28.3;20.6;21.2
77;Migratieachtergrond: westers;Bovengrens 95%-interval;2019;37.8;50.6;34.7;60.0;61.4;57.8;67.2;52.0;28.7;;14.0;16.7;20.7;9.2;5.4;21.0;15.6;6.3;1.9;8.9;13.8;;;;;;;;;;;;;;;;;23.5;22.0;36.4;27.1;19.4;21.1
78;Migratieachtergrond: westers;Bovengrens 95%-interval;2020;36.1;47.5;31.5;61.0;61.3;60.0;67.6;50.4;28.5;;12.3;15.7;19.7;4.6;3.0;15.3;11.0;4.7;1.4;7.5;10.3;;;;;;;;;;;;;;;;;22.2;21.8;34.6;27.3;18.0;19.3
79;Migratieachtergrond: westers;Bovengrens 95%-interval;2021;36.2;49.8;35.5;59.7;60.6;59.2;67.1;51.7;28.4;;14.0;16.8;22.0;5.9;4.0;15.9;12.8;4.4;1.5;6.8;10.9;;;;;;;;;;;;;;;;;25.3;23.3;37.7;29.8;20.6;22.2
80;Migratieachtergrond: westers;Bovengrens 95%-interval;2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
81;Migratieachtergrond: 1e gen westers;Waarde;2014;41.2;51.4;34.8;56.9;57.2;54.1;62.4;41.0;20.0;;12.3;14.2;17.7;4.8;2.6;11.6;9.6;3.9;0.8;7.1;10.3;;;;;;;;;;;;;;;;;20.4;20.2;37.4;25.9;16.5;19.4
82;Migratieachtergrond: 1e gen westers;Waarde;2015;38.2;48.7;34.0;56.8;56.1;58.0;62.4;46.7;20.5;;11.9;13.5;17.5;3.8;3.0;10.7;9.8;3.5;0.9;6.1;13.2;;;;;;;;;;;;;;;;;20.9;17.4;31.9;25.0;14.3;18.1
83;Migratieachtergrond: 1e gen westers;Waarde;2016;36.7;46.7;31.1;55.4;55.5;53.8;62.0;40.1;23.4;;13.4;13.8;16.6;4.7;3.0;11.6;10.0;2.7;0.7;5.6;12.2;;;;;;;;;;;;;;;;;21.5;19.4;35.4;26.2;16.4;19.6
84;Migratieachtergrond: 1e gen westers;Waarde;2017;37.0;49.2;34.7;56.0;54.9;54.1;61.1;42.4;19.9;;14.4;16.1;21.4;4.0;2.3;11.4;10.7;3.6;0.6;6.0;12.1;;;;;;;;;;;;;;;;;24.9;23.3;36.7;27.5;19.1;20.5
85;Migratieachtergrond: 1e gen westers;Waarde;2018;39.8;49.9;33.9;52.0;53.2;52.6;62.3;43.5;19.6;;16.3;16.7;23.5;5.4;4.9;11.9;11.4;3.9;2.1;7.3;13.0;;;;;;;;;;;;;;;;;29.3;28.0;40.6;30.9;23.9;23.6
86;Migratieachtergrond: 1e gen westers;Waarde;2019;37.3;51.1;34.5;54.9;55.8;54.7;62.4;48.4;24.6;;17.1;17.4;23.1;7.6;5.4;14.8;14.4;4.6;2.1;8.4;14.2;;;;;;;;;;;;;;;;;25.4;24.4;37.5;29.6;20.6;23.4
87;Migratieachtergrond: 1e gen westers;Waarde;2020;35.5;47.4;31.1;56.1;55.2;56.1;62.9;46.4;23.1;;14.1;16.0;20.8;4.0;3.0;10.0;10.2;3.3;1.3;7.8;11.6;;;;;;;;;;;;;;;;;25.0;24.4;36.2;30.6;19.8;22.5
