ID;InstitutionalSectors;Periods;Balance_1;Revenue_2;Expenditure_3;MaastrichtDebt_4;ChangeInMaastrichtDebt_5;DeficitEMU_6;NetAcquisitionOfFinancialAssets_7;TransactionsInOtherLiabilities_8;ValuationEffects_9;StatisticalDiscrepancy_10;ContributionToGeneralGovernmentDebt_11;Balance_12;MaastrichtDebt_13;ContributionToGeneralGovernmentDebt_14
24;General government;2003 1st quarter;-2849;53758;-56607;252629.0;7376.0;2849;3494.0;-1628.0;2222.0;439.0;252629.0;-2.4;49.8;49.8
25;General government;2003 2nd quarter;-4918;56453;-61371;251443.0;-1186.0;4918;-2526.0;-1081.0;-2609.0;112.0;251443.0;-2.7;49.4;49.4
26;General government;2003 3rd quarter;-6332;50169;-56501;257349.0;5906.0;6332;608.0;-4130.0;3815.0;-719.0;257349.0;-3.2;50.3;50.3
27;General government;2003 4th quarter;-2336;58763;-61099;256822.0;-527.0;2336;-2456.0;2908.0;-2766.0;-549.0;256822.0;-3.2;49.9;49.9
28;General government;2003;-16435;219143;-235578;256822.0;11569.0;16435;-880.0;-3931.0;662.0;-717.0;256822.0;-3.2;49.9;49.9
29;General government;2004 1st quarter;-2923;54398;-57321;263389.0;6567.0;2923;2651.0;-764.0;1792.0;-35.0;263389.0;-3.2;50.8;50.8
30;General government;2004 2nd quarter;-3849;57918;-61767;267289.0;3900.0;3849;3514.0;-2209.0;-2550.0;1296.0;267289.0;-3.0;51.1;51.1
31;General government;2004 3rd quarter;-2645;53778;-56423;271687.0;4398.0;2645;-2624.0;2105.0;3565.0;-1293.0;271687.0;-2.2;51.6;51.6
32;General government;2004 4th quarter;-284;61675;-61959;266661.0;-5026.0;284;-5669.0;2172.0;-2670.0;857.0;266661.0;-1.8;50.2;50.2
33;General government;2004;-9701;227769;-237470;266661.0;9839.0;9701;-2128.0;1304.0;137.0;825.0;266661.0;-1.8;50.2;50.2
34;General government;2005 1st quarter;-577;56288;-56865;267909.0;1248.0;577;3647.0;-3680.0;2094.0;-1390.0;267909.0;-1.4;50.0;50.0
35;General government;2005 2nd quarter;-3096;58897;-61993;282521.0;14612.0;3096;13122.0;3623.0;-2278.0;-2951.0;282521.0;-1.2;52.2;52.2
36;General government;2005 3rd quarter;-564;56371;-56935;276313.0;-6208.0;564;-8822.0;-2796.0;3091.0;1755.0;276313.0;-0.8;50.5;50.5
37;General government;2005 4th quarter;1390;65764;-64374;274598.0;-1715.0;-1390;-2145.0;2610.0;-2314.0;1524.0;274598.0;-0.5;49.6;49.6
38;General government;2005;-2847;237320;-240167;274598.0;7937.0;2847;5802.0;-243.0;593.0;-1062.0;274598.0;-0.5;49.6;49.6
39;General government;2006 1st quarter;-175;61470;-61645;275419.0;821.0;175;867.0;-3071.0;2401.0;449.0;275419.0;-0.4;49.0;49.0
40;General government;2006 2nd quarter;-2121;64698;-66819;276036.0;617.0;2121;480.0;1515.0;-2112.0;-1387.0;276036.0;-0.3;48.4;48.4
41;General government;2006 3rd quarter;-569;61142;-61711;273409.0;-2627.0;569;-7861.0;919.0;3029.0;717.0;273409.0;-0.3;47.3;47.3
42;General government;2006 4th quarter;3036;71113;-68077;264472.0;-8937.0;-3036;-1713.0;-3658.0;-2320.0;1790.0;264472.0;0.0;45.0;45.0
43;General government;2006;171;258423;-258252;264472.0;-10126.0;-171;-8227.0;-4295.0;998.0;1569.0;264472.0;0.0;45.0;45.0
44;General government;2007 1st quarter;1036;65792;-64756;269603.0;5131.0;-1036;3233.0;1767.0;1642.0;-475.0;269603.0;0.2;45.2;45.2
45;General government;2007 2nd quarter;-3386;66362;-69748;274766.0;5163.0;3386;5672.0;-2256.0;-1986.0;347.0;274766.0;0.0;45.4;45.4
46;General government;2007 3rd quarter;-3666;60347;-64013;272239.0;-2527.0;3666;-4408.0;-4609.0;2523.0;301.0;272239.0;-0.5;44.4;44.4
47;General government;2007 4th quarter;4398;75347;-70949;266545.0;-5694.0;-4398;1179.0;287.0;-2006.0;-756.0;266545.0;-0.3;42.8;42.8
48;General government;2007;-1618;267848;-269466;266545.0;2073.0;1618;5676.0;-4811.0;173.0;-583.0;266545.0;-0.3;42.8;42.8
49;General government;2008 1st quarter;1924;72319;-70395;275484.0;8939.0;-1924;7638.0;1872.0;966.0;387.0;275484.0;-0.1;43.7;43.7
50;General government;2008 2nd quarter;-2906;71506;-74412;278532.0;3048.0;2906;8877.0;-5696.0;-1363.0;-1676.0;278532.0;0.0;43.6;43.6
51;General government;2008 3rd quarter;-2100;65395;-67495;284034.0;5502.0;2100;-3421.0;2444.0;3671.0;708.0;284034.0;0.2;43.9;43.9
52;General government;2008 4th quarter;3059;79017;-75958;353866.0;69832.0;-3059;68448.0;5940.0;-1703.0;206.0;353866.0;0.0;54.3;54.3
53;General government;2008;-23;288237;-288260;353866.0;87321.0;23;81542.0;4560.0;1571.0;-375.0;353866.0;0.0;54.3;54.3
54;General government;2009 1st quarter;-3637;70367;-74004;370131.0;16265.0;3637;16134.0;-2822.0;-244.0;-440.0;370131.0;-0.9;57.1;57.1
55;General government;2009 2nd quarter;-9502;67246;-76748;361160.0;-8971.0;9502;-15905.0;2551.0;-3457.0;-1662.0;361160.0;-1.9;56.3;56.3
56;General government;2009 3rd quarter;-11807;62281;-74088;360691.0;-469.0;11807;-8899.0;-5778.0;2348.0;53.0;360691.0;-3.4;56.8;56.8
57;General government;2009 4th quarter;-7202;73134;-80336;355057.0;-5634.0;7202;-17640.0;6652.0;-3174.0;1326.0;355057.0;-5.1;56.3;56.3
58;General government;2009;-32148;273028;-305176;355057.0;1191.0;32148;-26310.0;603.0;-4527.0;-723.0;355057.0;-5.1;56.3;56.3
59;General government;2010 1st quarter;-5837;70155;-75992;359585.0;4528.0;5837;1113.0;-3870.0;1384.0;64.0;359585.0;-5.5;57.2;57.2
60;General government;2010 2nd quarter;-10777;71175;-81952;372655.0;13070.0;10777;1500.0;-2447.0;192.0;3048.0;372655.0;-5.6;58.8;58.8
61;General government;2010 3rd quarter;-13108;62043;-75151;374439.0;1784.0;13108;-13694.0;1942.0;1276.0;-848.0;374439.0;-5.8;58.7;58.7
62;General government;2010 4th quarter;-4210;76918;-81128;379043.0;4604.0;4210;6208.0;-554.0;-3336.0;-1924.0;379043.0;-5.3;58.9;58.9
63;General government;2010;-33932;280291;-314223;379043.0;23986.0;33932;-4873.0;-4929.0;-484.0;340.0;379043.0;-5.3;58.9;58.9
64;General government;2011 1st quarter;-2286;74184;-76470;383083.0;4040.0;2286;2808.0;-2559.0;773.0;732.0;383083.0;-4.7;59.1;59.1
65;General government;2011 2nd quarter;-11243;70330;-81573;391178.0;8095.0;11243;28.0;-400.0;-2461.0;-315.0;391178.0;-4.7;60.0;60.0
66;General government;2011 3rd quarter;-9230;65822;-75052;396899.0;5721.0;9230;-6369.0;-740.0;3669.0;-69.0;396899.0;-4.1;60.6;60.6
67;General government;2011 4th quarter;-6236;74085;-80321;401579.0;4680.0;6236;-4377.0;3989.0;-2294.0;1126.0;401579.0;-4.4;61.2;61.2
68;General government;2011;-28995;284421;-313416;401579.0;22536.0;28995;-7910.0;290.0;-313.0;1474.0;401579.0;-4.4;61.2;61.2
69;General government;2012 1st quarter;-590;74756;-75346;407271.0;5692.0;590;7395.0;-2842.0;922.0;-373.0;407271.0;-4.2;62.0;62.0
70;General government;2012 2nd quarter;-9496;72547;-82043;417361.0;10090.0;9496;6242.0;1765.0;-2632.0;-4781.0;417361.0;-3.9;63.5;63.5
71;General government;2012 3rd quarter;-11018;64569;-75587;423367.0;6006.0;11018;-9944.0;-2427.0;2917.0;4442.0;423367.0;-4.2;64.4;64.4
72;General government;2012 4th quarter;-4152;76470;-80622;432723.0;9356.0;4152;4661.0;3883.0;-3477.0;137.0;432723.0;-3.8;65.7;65.7
73;General government;2012;-25256;288342;-313598;432723.0;31144.0;25256;8354.0;379.0;-2270.0;-575.0;432723.0;-3.8;65.7;65.7
74;General government;2013 1st quarter;1166;78121;-76955;435759.0;3036.0;-1166;8736.0;-5251.0;1590.0;-873.0;435759.0;-3.6;66.2;66.2
75;General government;2013 2nd quarter;-7201;75161;-82362;447515.0;11756.0;7201;5199.0;2659.0;-2527.0;-776.0;447515.0;-3.2;67.8;67.8
76;General government;2013 3rd quarter;-8326;68108;-76434;446725.0;-790.0;8326;-7204.0;-3191.0;2511.0;-1232.0;446725.0;-2.8;67.3;67.3
77;General government;2013 4th quarter;-4681;75993;-80674;447293.0;568.0;4681;-11523.0;1858.0;2321.0;3231.0;447293.0;-2.9;67.2;67.2
78;General government;2013;-19042;297383;-316425;447293.0;14570.0;19042;-4792.0;-3925.0;3895.0;350.0;447293.0;-2.9;67.2;67.2
79;General government;2014 1st quarter;-21;77545;-77566;445641.0;-1652.0;21;-3037.0;119.0;1842.0;-597.0;445641.0;-3.0;66.6;66.6
80;General government;2014 2nd quarter;-6702;76612;-83314;456277.0;10636.0;6702;5326.0;2370.0;-2596.0;-1166.0;456277.0;-2.9;68.0;68.0
81;General government;2014 3rd quarter;-6324;69109;-75433;454726.0;-1551.0;6324;-8609.0;-4568.0;3386.0;1916.0;454726.0;-2.6;67.4;67.4
82;General government;2014 4th quarter;-2166;78707;-80873;456083.0;1357.0;2166;438.0;1243.0;-2501.0;11.0;456083.0;-2.2;67.2;67.2
83;General government;2014;-15213;301973;-317186;456083.0;8790.0;15213;-5882.0;-836.0;131.0;164.0;456083.0;-2.2;67.2;67.2
84;General government;2015 1st quarter;2210;79682;-77472;464680.0;8597.0;-2210;11082.0;-1336.0;2035.0;-974.0;464680.0;-1.9;68.2;68.2
85;General government;2015 2nd quarter;-6767;76208;-82975;453523.0;-11157.0;6767;-14804.0;-685.0;-2867.0;432.0;453523.0;-1.9;66.0;66.0
86;General government;2015 3rd quarter;-6397;69192;-75589;451711.0;-1812.0;6397;-7497.0;-3241.0;2925.0;-396.0;451711.0;-1.9;65.1;65.1
87;General government;2015 4th quarter;-1480;78873;-80353;446274.0;-5437.0;1480;-7202.0;1582.0;-2051.0;754.0;446274.0;-1.8;63.8;63.8
88;General government;2015;-12434;303955;-316389;446274.0;-9809.0;12434;-18421.0;-3680.0;42.0;-184.0;446274.0;-1.8;63.8;63.8
89;General government;2016 1st quarter;3963;81337;-77374;446777.0;503.0;-3963;1569.0;568.0;1856.0;473.0;446777.0;-1.5;63.4;63.4
90;General government;2016 2nd quarter;-2036;81394;-83430;442413.0;-4364.0;2036;-1327.0;298.0;-2451.0;-2920.0;442413.0;-0.8;62.3;62.3
91;General government;2016 3rd quarter;-2475;74151;-76626;433617.0;-8796.0;2475;-11363.0;1275.0;-769.0;-414.0;433617.0;-0.3;60.7;60.7
92;General government;2016 4th quarter;2183;81032;-78849;438495.0;4878.0;-2183;7055.0;-141.0;-1766.0;1913.0;438495.0;0.2;60.9;60.9
93;General government;2016;1635;317914;-316279;438495.0;-7779.0;-1635;-4066.0;2000.0;-3130.0;-948.0;438495.0;0.2;60.9;60.9
94;General government;2017 1st quarter;8466;86264;-77798;427110.0;-11385.0;-8466;-1835.0;-3533.0;2638.0;-189.0;427110.0;0.8;58.7;58.7
95;General government;2017 2nd quarter;-1209;82912;-84121;426353.0;-757.0;1209;-969.0;1856.0;-2373.0;-480.0;426353.0;0.9;58.0;58.0
96;General government;2017 3rd quarter;-672;76714;-77386;417885.0;-8468.0;672;-10087.0;-952.0;1559.0;340.0;417885.0;1.2;56.2;56.2
97;General government;2017 4th quarter;3299;85053;-81754;420444.0;2559.0;-3299;6540.0;700.0;-1631.0;249.0;420444.0;1.3;56.0;56.0
98;General government;2017;9884;330943;-321059;420444.0;-18051.0;-9884;-6351.0;-1929.0;193.0;-80.0;420444.0;1.3;56.0;56.0
99;General government;2018 1st quarter;11876;91780;-79904;413087.0;-7357.0;-11876;6298.0;-4273.0;2207.0;287.0;413087.0;1.7;54.3;54.3
100;General government;2018 2nd quarter;180;87169;-86989;409359.0;-3728.0;-180;-91.0;-504.0;-1517.0;-1436.0;409359.0;1.9;53.2;53.2
101;General government;2018 3rd quarter;-105;80215;-80320;406097.0;-3262.0;105;-4426.0;1715.0;1082.0;-1738.0;406097.0;2.0;52.2;52.2
102;General government;2018 4th quarter;-348;86582;-86930;406040.0;-57.0;348;-1377.0;599.0;-2269.0;2642.0;406040.0;1.5;51.6;51.6
103;General government;2018;11603;345746;-334143;406040.0;-14404.0;-11603;404.0;-2463.0;-497.0;-245.0;406040.0;1.5;51.6;51.6
104;General government;2019 1st quarter;13057;97746;-84689;398836.0;-7204.0;-13057;6498.0;-2790.0;2309.0;-164.0;398836.0;1.6;50.0;50.0
105;General government;2019 2nd quarter;412;90868;-90456;404379.0;5543.0;-412;7575.0;1059.0;-1586.0;-1093.0;404379.0;1.6;50.0;50.0
106;General government;2019 3rd quarter;-1194;83878;-85072;395734.0;-8645.0;1194;-11280.0;531.0;1170.0;-260.0;395734.0;1.5;48.3;48.3
107;General government;2019 4th quarter;2510;91611;-89101;395441.0;-293.0;-2510;-490.0;3520.0;-2428.0;1615.0;395441.0;1.8;47.7;47.7
108;General government;2019;14785;364103;-349318;395441.0;-10599.0;-14785;2303.0;2320.0;-535.0;98.0;395441.0;1.8;47.7;47.7
109;General government;2020 1st quarter;9423;98148;-88725;404095.0;8654.0;-9423;21495.0;-5681.0;1804.0;459.0;404095.0;1.3;48.4;48.4
110;General government;2020 2nd quarter;-20112;84375;-104487;442586.0;38491.0;20112;20530.0;403.0;-2724.0;170.0;442586.0;-1.1;54.0;54.0
111;General government;2020 3rd quarter;-9359;83727;-93086;442261.0;-325.0;9359;-10473.0;-225.0;978.0;36.0;442261.0;-2.1;54.1;54.1
112;General government;2020 4th quarter;-9409;94670;-104079;436123.0;-6138.0;9409;-12290.0;-1176.0;-1309.0;-772.0;436123.0;-3.6;53.4;53.4
113;General government;2020;-29457;360920;-390377;436123.0;40682.0;29457;19262.0;-6679.0;-1251.0;-107.0;436123.0;-3.6;53.4;53.4
114;General government;2021 1st quarter;-164;98856;-99020;440700.0;4577.0;164;4669.0;-2515.0;1248.0;1011.0;440700.0;-4.8;53.8;53.8
115;General government;2021 2nd quarter;-9150;96255;-105405;448677.0;7977.0;9150;4802.0;-2086.0;-3611.0;-278.0;448677.0;-3.3;52.9;52.9
116;General government;2021 3rd quarter;-7140;90143;-97283;443873.0;-4804.0;7140;-11193.0;698.0;-1283.0;-166.0;443873.0;-3.0;51.0;51.0
117;General government;2021 4th quarter;-3145;104318;-107463;450239.0;6366.0;3145;9331.0;-3343.0;-2244.0;-523.0;450239.0;-2.2;50.5;50.5
118;General government;2021;-19599;389572;-409171;450239.0;14116.0;19599;7609.0;-7246.0;-5890.0;44.0;450239.0;-2.2;50.5;50.5
119;General government;2022 1st quarter;6369;105701;-99332;447671.0;-2568.0;-6369;-297.0;856.0;2988.0;254.0;447671.0;-1.4;48.7;48.7
120;General government;2022 2nd quarter;3076;111007;-107931;458820.0;11149.0;-3076;15111.0;-1912.0;849.0;177.0;458820.0;-0.1;48.6;48.6
121;General government;2022 3rd quarter;-6982;99115;-106097;451646.0;-7174.0;6982;-14031.0;-1393.0;896.0;372.0;451646.0;-0.1;46.7;46.7
122;General government;2022 4th quarter;-2348;114038;-116386;481145.0;29499.0;2348;26450.0;1290.0;152.0;-741.0;481145.0;0.0;48.4;48.4
123;General government;2022;115;429861;-429746;481145.0;30906.0;-115;27233.0;-1159.0;4885.0;62.0;481145.0;0.0;48.4;48.4
124;General government;2023 1st quarter;2793;111204;-108411;475134.0;-6011.0;-2793;-10510.0;1602.0;5668.0;22.0;475134.0;-0.3;46.8;46.8
125;General government;2023 2nd quarter;-52;119572;-119624;470879.0;-4255.0;52;-1458.0;-827.0;653.0;-2675.0;470879.0;-0.6;45.5;45.5
126;General government;2023 3rd quarter;-5797;106308;-112105;468102.0;-2777.0;5797;-15014.0;2990.0;463.0;2987.0;468102.0;-0.5;44.5;44.5
127;General government;2023 4th quarter;-764;120313;-121077;482228.0;14126.0;764;14347.0;201.0;-859.0;-327.0;482228.0;-0.4;45.2;45.2
128;General government;2023;-3820;457397;-461217;482228.0;1083.0;3820;-12635.0;3966.0;5925.0;7.0;482228.0;-0.4;45.2;45.2
129;General government;2024 1st quarter;2731;117135;-114404;476519.0;-5709.0;-2731;-5316.0;-1117.0;3119.0;336.0;476519.0;-0.4;44.0;44.0
130;General government;2024 2nd quarter;-395;129268;-129663;475929.0;-590.0;395;4748.0;-5696.0;432.0;-469.0;475929.0;-0.4;43.3;43.3
131;General government;2024 3rd quarter;-4590;116141;-120731;470240.0;-5689.0;4590;-13124.0;2092.0;1028.0;-275.0;470240.0;-0.3;42.2;42.2
132;General government;2024 4th quarter;-7830;124792;-132622;491585.0;21345.0;7830;15111.0;-795.0;-1157.0;356.0;491585.0;-0.9;43.3;43.3
133;General government;2024;-10084;487336;-497420;491585.0;9357.0;10084;1419.0;-5516.0;3422.0;-52.0;491585.0;-0.9;43.3;43.3
134;Central government;1995;-26539;84734;-111273;191090.0;;26539;-9956.0;-2855.0;;323.0;190792.0;-8.0;57.9;57.8
135;Central government;1996;-5625;91434;-97059;195314.0;4224.0;5625;65.0;-1427.0;-255.0;216.0;194925.0;-1.6;56.6;56.5
136;Central government;1997;-8822;94234;-103056;195220.0;-94.0;8822;-6604.0;-932.0;-74.0;-1306.0;195014.0;-2.4;52.8;52.8
137;Central government;1998;-6261;98274;-104535;202602.0;7382.0;6261;5231.0;-4447.0;940.0;-603.0;199989.0;-1.6;51.3;50.7
138;Central government;1999 1st quarter;-2089;25083;-27172;;;2089;-2956.0;1173.0;;1351.0;;;;
139;Central government;1999 2nd quarter;-1435;25303;-26738;;;1435;-332.0;2464.0;;1660.0;;;;
140;Central government;1999 3rd quarter;-990;25175;-26165;;;990;-446.0;-5347.0;;-2525.0;;;;
141;Central government;1999 4th quarter;1007;29238;-28231;207233.0;;-1007;1501.0;1430.0;;-246.0;205685.0;-0.8;49.3;49.0
142;Central government;1999;-3507;104799;-108306;207233.0;4631.0;3507;-2233.0;-280.0;3397.0;240.0;205685.0;-0.8;49.3;49.0
143;Central government;2000 1st quarter;-2032;25742;-27774;218164.0;10931.0;2032;4126.0;-1635.0;2233.0;4175.0;217021.0;-0.8;51.0;50.7
144;Central government;2000 2nd quarter;-669;28414;-29083;211287.0;-6877.0;669;-7450.0;2592.0;-2928.0;240.0;210487.0;-0.6;48.4;48.2
145;Central government;2000 3rd quarter;-586;26362;-26948;212874.0;1587.0;586;3689.0;-6732.0;4195.0;-151.0;212336.0;-0.5;47.9;47.8
146;Central government;2000 4th quarter;1937;32170;-30233;203457.0;-9417.0;-1937;-2541.0;2237.0;-3388.0;-3788.0;203048.0;-0.3;45.0;44.9
147;Central government;2000;-1350;112688;-114038;203457.0;-3776.0;1350;-2176.0;-3538.0;112.0;476.0;203048.0;-0.3;45.0;44.9
148;Central government;2001 1st quarter;-2234;28336;-30570;207527.0;4070.0;2234;643.0;-1485.0;2122.0;556.0;207117.0;-0.3;45.0;44.9
149;Central government;2001 2nd quarter;-618;31752;-32370;215151.0;7624.0;618;6549.0;2452.0;-2619.0;624.0;214740.0;-0.3;45.8;45.7
150;Central government;2001 3rd quarter;-570;30016;-30586;213670.0;-1481.0;570;-2965.0;-2275.0;4240.0;-1051.0;213258.0;-0.3;44.8;44.7
151;Central government;2001 4th quarter;1866;35420;-33554;207859.0;-5811.0;-1866;-3872.0;2346.0;-3159.0;740.0;207447.0;-0.3;43.0;43.0
152;Central government;2001;-1556;125524;-127080;207859.0;4402.0;1556;355.0;1038.0;584.0;869.0;207447.0;-0.3;43.0;43.0
153;Central government;2002 1st quarter;-3148;29630;-32778;213894.0;6035.0;3148;1429.0;-979.0;1475.0;962.0;213175.0;-0.5;43.9;43.7
154;Central government;2002 2nd quarter;-830;33763;-34593;213766.0;-128.0;830;710.0;2580.0;-2628.0;-1620.0;212380.0;-0.5;43.4;43.1
155;Central government;2002 3rd quarter;-3442;28975;-32417;215497.0;1731.0;3442;-1779.0;-4358.0;3572.0;854.0;213393.0;-1.1;43.3;42.8
156;Central government;2002 4th quarter;718;35369;-34651;215005.0;-492.0;-718;1078.0;2253.0;-2813.0;-292.0;212022.0;-1.3;42.8;42.2
157;Central government;2002;-6702;127737;-134439;215005.0;7146.0;6702;1438.0;-504.0;-394.0;-96.0;212022.0;-1.3;42.8;42.2
158;Central government;2003 1st quarter;-4863;29808;-34671;222670.0;7665.0;4863;1694.0;-1053.0;1953.0;208.0;220439.0;-1.7;43.9;43.5
159;Central government;2003 2nd quarter;-4971;32128;-37099;222069.0;-601.0;4971;-2250.0;-251.0;-2459.0;-612.0;219622.0;-2.5;43.6;43.1
160;Central government;2003 3rd quarter;-4807;29168;-33975;229015.0;6946.0;4807;1475.0;-2834.0;3986.0;-488.0;225845.0;-2.7;44.8;44.1
161;Central government;2003 4th quarter;403;36311;-35908;226971.0;-2044.0;-403;662.0;108.0;-2653.0;242.0;221861.0;-2.8;44.1;43.1
162;Central government;2003;-14238;127415;-141653;226971.0;11966.0;14238;1581.0;-4030.0;827.0;-650.0;221861.0;-2.8;44.1;43.1
163;Central government;2004 1st quarter;-5465;30168;-35633;233789.0;6818.0;5465;934.0;-1562.0;1511.0;470.0;230055.0;-2.9;45.1;44.4
164;Central government;2004 2nd quarter;-2632;34420;-37052;236894.0;3105.0;2632;4935.0;-2476.0;-2448.0;462.0;230562.0;-2.4;45.3;44.1
165;Central government;2004 3rd quarter;-1807;31167;-32974;241155.0;4261.0;1807;-4629.0;4397.0;3678.0;-992.0;236912.0;-1.8;45.8;45.0
166;Central government;2004 4th quarter;1181;36545;-35364;236325.0;-4830.0;-1181;-2350.0;422.0;-2570.0;849.0;232088.0;-1.6;44.5;43.7
167;Central government;2004;-8723;132300;-141023;236325.0;9354.0;8723;-1110.0;781.0;171.0;789.0;232088.0;-1.6;44.5;43.7
168;Central government;2005 1st quarter;-2957;32015;-34972;240460.0;4135.0;2957;2554.0;-1477.0;1746.0;-1645.0;234218.0;-1.2;44.9;43.7
169;Central government;2005 2nd quarter;-1546;35674;-37220;256199.0;15739.0;1546;15583.0;3383.0;-2202.0;-2571.0;247700.0;-0.9;47.3;45.8
170;Central government;2005 3rd quarter;61;33493;-33432;246817.0;-9382.0;-61;-10536.0;-3200.0;3181.0;1234.0;240789.0;-0.6;45.1;44.0
171;Central government;2005 4th quarter;3961;41637;-37676;242706.0;-4111.0;-3961;-1729.0;1642.0;-2248.0;2185.0;238667.0;-0.1;43.9;43.1
172;Central government;2005;-481;142819;-143300;242706.0;6381.0;481;5872.0;348.0;477.0;-797.0;238667.0;-0.1;43.9;43.1
173;Central government;2006 1st quarter;-403;35114;-35517;244228.0;1522.0;403;1794.0;-2893.0;2223.0;-5.0;235819.0;0.4;43.5;42.0
174;Central government;2006 2nd quarter;-2559;38802;-41361;244490.0;262.0;2559;1410.0;-423.0;-1928.0;-1356.0;238043.0;0.2;42.9;41.7
175;Central government;2006 3rd quarter;755;36146;-35391;242810.0;-1680.0;-755;-4022.0;-1195.0;3212.0;1080.0;237444.0;0.3;42.0;41.0
176;Central government;2006 4th quarter;5693;45395;-39702;232097.0;-10713.0;-5693;-5239.0;134.0;-2162.0;2247.0;229109.0;0.6;39.5;39.0
177;Central government;2006;3486;155457;-151971;232097.0;-10609.0;-3486;-6057.0;-4377.0;1345.0;1966.0;229109.0;0.6;39.5;39.0
178;Central government;2007 1st quarter;-1009;38423;-39432;238062.0;5965.0;1009;5659.0;-2096.0;1387.0;6.0;231334.0;0.5;39.9;38.8
179;Central government;2007 2nd quarter;-11;40522;-40533;245682.0;7620.0;11;6093.0;2726.0;-1812.0;602.0;239387.0;0.9;40.6;39.6
180;Central government;2007 3rd quarter;-4088;35596;-39684;244098.0;-1584.0;4088;-4234.0;-4291.0;2694.0;159.0;237956.0;0.1;39.8;38.8
181;Central government;2007 4th quarter;6305;48353;-42048;236926.0;-7172.0;-6305;1761.0;416.0;-1865.0;-1179.0;232150.0;0.2;38.0;37.3
