ID;Geslacht;Leeftijd;Herkomstgroeperingen;Perioden;TotaalAantalPersonen_1;AantalPersonenBijGeweldsdelicten_2;AantalPersonenBijVerkeersongevallen_3;AantalPersonenBijVermogensdelicten_4;AantalPersonenBijZedendelicten_5;AantalPersonenOverigeDelicten_6;TotaalAantalPersonen_7;AantalPersonenBijGeweldsdelicten_8;AantalPersonenBijVerkeersongevallen_9;AantalPersonenBijVermogensdelicten_10;AantalPersonenBijZedendelicten_11;AantalPersonenOverigeDelicten_12;TotaalAantalPersonen_13;AantalPersonenBijGeweldsdelicten_14;AantalPersonenBijVerkeersongevallen_15;AantalPersonenBijVermogensdelicten_16;AantalPersonenBijZedendelicten_17;AantalPersonenOverigeDelicten_18;TotaalAantalPersonen_19;AantalPersonenBijGeweldsdelicten_20;AantalPersonenBijVerkeersongevallen_21;AantalPersonenBijVermogensdelicten_22;AantalPersonenBijZedendelicten_23;AantalPersonenOverigeDelicten_24
24;Mannen en vrouwen;1;Totaal allochtonen;2006;3260.0;2100.0;620.0;140.0;320.0;90.0;387.0;249.0;74.0;16.0;37.0;10.0;2260.0;1430.0;430.0;70.0;260.0;70.0;268.0;169.0;51.0;9.0;31.0;8.0
25;Mannen en vrouwen;1;Totaal allochtonen;2007;4390.0;2880.0;850.0;200.0;400.0;60.0;520.0;341.0;101.0;24.0;47.0;7.0;3010.0;1950.0;580.0;130.0;300.0;50.0;356.0;231.0;69.0;15.0;36.0;6.0
26;Mannen en vrouwen;1;Totaal niet-westerse allochtonen;2006;2180.0;1430.0;400.0;100.0;190.0;60.0;364.0;239.0;67.0;17.0;32.0;9.0;1470.0;950.0;270.0;50.0;160.0;40.0;245.0;158.0;45.0;9.0;26.0;7.0
27;Mannen en vrouwen;1;Totaal niet-westerse allochtonen;2007;3060.0;2070.0;570.0;130.0;250.0;40.0;510.0;345.0;95.0;21.0;42.0;7.0;2030.0;1360.0;370.0;80.0;180.0;30.0;338.0;226.0;62.0;13.0;31.0;6.0
28;Mannen en vrouwen;1;Marokko;2006;470.0;330.0;100.0;10.0;20.0;;366.0;253.0;80.0;9.0;18.0;;320.0;220.0;70.0;;20.0;;249.0;170.0;53.0;;16.0;
29;Mannen en vrouwen;1;Marokko;2007;670.0;450.0;150.0;20.0;40.0;;515.0;348.0;118.0;12.0;31.0;;410.0;270.0;100.0;10.0;20.0;;315.0;207.0;76.0;8.0;18.0;
30;Mannen en vrouwen;1;Turkije;2006;380.0;250.0;90.0;20.0;20.0;10.0;292.0;191.0;69.0;11.0;13.0;8.0;260.0;170.0;60.0;;10.0;;201.0;132.0;47.0;;9.0;
31;Mannen en vrouwen;1;Turkije;2007;560.0;370.0;120.0;30.0;30.0;;429.0;284.0;95.0;24.0;21.0;;400.0;270.0;80.0;20.0;20.0;;305.0;206.0;63.0;15.0;17.0;
32;Mannen en vrouwen;1;Suriname;2006;430.0;300.0;50.0;20.0;60.0;10.0;444.0;306.0;50.0;21.0;57.0;10.0;290.0;190.0;40.0;;50.0;;300.0;200.0;36.0;;47.0;
33;Mannen en vrouwen;1;Suriname;2007;640.0;450.0;100.0;20.0;70.0;10.0;680.0;471.0;104.0;24.0;71.0;11.0;430.0;300.0;60.0;20.0;50.0;;454.0;315.0;61.0;16.0;54.0;
34;Mannen en vrouwen;1;Nederlandse Antillen en Aruba;2006;200.0;120.0;20.0;10.0;30.0;;446.0;273.0;55.0;25.0;77.0;;120.0;70.0;20.0;;30.0;;282.0;162.0;39.0;;57.0;
35;Mannen en vrouwen;1;Nederlandse Antillen en Aruba;2007;270.0;190.0;30.0;10.0;30.0;;614.0;436.0;71.0;25.0;66.0;;190.0;130.0;20.0;;20.0;;422.0;301.0;46.0;;50.0;
36;Mannen en vrouwen;1;Overige niet-westerse allochtonen;2006;700.0;440.0;130.0;40.0;60.0;20.0;353.0;222.0;68.0;21.0;32.0;11.0;470.0;290.0;90.0;30.0;50.0;20.0;237.0;146.0;44.0;13.0;27.0;8.0
37;Mannen en vrouwen;1;Overige niet-westerse allochtonen;2007;910.0;610.0;160.0;50.0;90.0;;457.0;303.0;81.0;22.0;45.0;;600.0;390.0;110.0;30.0;70.0;;300.0;194.0;57.0;13.0;32.0;
38;Mannen en vrouwen;1;Westerse allochtonen;2006;1080.0;670.0;220.0;40.0;120.0;30.0;443.0;273.0;92.0;15.0;50.0;13.0;790.0;480.0;160.0;20.0;110.0;30.0;324.0;197.0;65.0;9.0;44.0;10.0
39;Mannen en vrouwen;1;Westerse allochtonen;2007;1330.0;810.0;290.0;70.0;140.0;20.0;543.0;331.0;117.0;30.0;59.0;7.0;980.0;590.0;210.0;50.0;120.0;20.0;403.0;242.0;86.0;20.0;49.0;6.0
40;Mannen en vrouwen;2;Alle herkomstgroeperingen;2006;18240.0;9370.0;4010.0;3070.0;960.0;820.0;933.0;479.0;205.0;157.0;49.0;42.0;12590.0;6710.0;2640.0;1750.0;820.0;660.0;644.0;343.0;135.0;90.0;42.0;34.0
41;Mannen en vrouwen;2;Alle herkomstgroeperingen;2007;19960.0;10690.0;4380.0;3320.0;930.0;640.0;1016.0;544.0;223.0;169.0;47.0;33.0;13820.0;7550.0;2950.0;2020.0;770.0;530.0;703.0;384.0;150.0;103.0;39.0;27.0
42;Mannen en vrouwen;2;Autochtoon;2006;13290.0;6430.0;3260.0;2230.0;760.0;610.0;916.0;443.0;225.0;154.0;53.0;42.0;9230.0;4670.0;2140.0;1280.0;650.0;500.0;636.0;322.0;147.0;88.0;45.0;34.0
43;Mannen en vrouwen;2;Autochtoon;2007;14280.0;7270.0;3490.0;2330.0;720.0;470.0;982.0;500.0;240.0;160.0;50.0;32.0;9950.0;5190.0;2380.0;1380.0;610.0;390.0;684.0;357.0;164.0;95.0;42.0;27.0
44;Mannen en vrouwen;2;Totaal allochtonen;2006;4950.0;2950.0;760.0;840.0;200.0;210.0;981.0;584.0;150.0;166.0;40.0;42.0;3360.0;2040.0;500.0;480.0;170.0;170.0;666.0;405.0;100.0;95.0;33.0;33.0
45;Mannen en vrouwen;2;Totaal allochtonen;2007;5690.0;3420.0;890.0;990.0;210.0;170.0;1113.0;669.0;175.0;194.0;41.0;34.0;3870.0;2360.0;560.0;640.0;170.0;140.0;757.0;463.0;110.0;124.0;32.0;27.0
46;Mannen en vrouwen;2;Totaal niet-westerse allochtonen;2006;3430.0;2160.0;470.0;560.0;100.0;140.0;1061.0;668.0;145.0;175.0;31.0;43.0;2330.0;1490.0;320.0;320.0;90.0;110.0;720.0;462.0;99.0;99.0;26.0;34.0
47;Mannen en vrouwen;2;Totaal niet-westerse allochtonen;2007;4020.0;2500.0;590.0;690.0;130.0;110.0;1238.0;770.0;181.0;214.0;39.0;33.0;2740.0;1730.0;360.0;460.0;110.0;90.0;842.0;532.0;110.0;141.0;33.0;27.0
48;Mannen en vrouwen;2;Marokko;2006;800.0;520.0;110.0;120.0;20.0;30.0;1313.0;853.0;176.0;199.0;28.0;56.0;530.0;350.0;70.0;80.0;10.0;30.0;871.0;570.0;112.0;125.0;21.0;43.0
49;Mannen en vrouwen;2;Marokko;2007;930.0;570.0;160.0;150.0;30.0;30.0;1564.0;948.0;270.0;251.0;50.0;45.0;600.0;380.0;90.0;90.0;20.0;20.0;1001.0;631.0;149.0;146.0;40.0;35.0
50;Mannen en vrouwen;2;Turkije;2006;670.0;400.0;110.0;120.0;10.0;20.0;987.0;595.0;166.0;178.0;18.0;31.0;460.0;280.0;90.0;70.0;;20.0;674.0;412.0;126.0;102.0;;22.0
51;Mannen en vrouwen;2;Turkije;2007;740.0;430.0;120.0;160.0;20.0;20.0;1115.0;639.0;182.0;233.0;29.0;33.0;530.0;300.0;70.0;120.0;20.0;20.0;794.0;449.0;111.0;180.0;24.0;30.0
52;Mannen en vrouwen;2;Suriname;2006;580.0;360.0;70.0;80.0;20.0;40.0;1040.0;648.0;128.0;148.0;43.0;72.0;420.0;270.0;50.0;40.0;20.0;40.0;757.0;484.0;94.0;78.0;38.0;63.0
53;Mannen en vrouwen;2;Suriname;2007;760.0;510.0;90.0;120.0;30.0;20.0;1354.0;900.0;162.0;206.0;55.0;30.0;530.0;360.0;60.0;70.0;30.0;10.0;950.0;641.0;110.0;130.0;48.0;21.0
54;Mannen en vrouwen;2;Nederlandse Antillen en Aruba;2006;300.0;180.0;30.0;60.0;20.0;10.0;1100.0;659.0;116.0;214.0;72.0;40.0;200.0;120.0;20.0;30.0;20.0;;731.0;445.0;76.0;105.0;72.0;
55;Mannen en vrouwen;2;Nederlandse Antillen en Aruba;2007;390.0;250.0;50.0;50.0;20.0;10.0;1368.0;900.0;167.0;181.0;71.0;50.0;270.0;180.0;30.0;30.0;20.0;10.0;950.0;638.0;106.0;106.0;60.0;39.0
56;Mannen en vrouwen;2;Overige niet-westerse allochtonen;2006;1080.0;700.0;150.0;180.0;30.0;30.0;970.0;624.0;130.0;163.0;24.0;29.0;720.0;480.0;90.0;100.0;20.0;20.0;645.0;426.0;84.0;92.0;21.0;21.0
57;Mannen en vrouwen;2;Overige niet-westerse allochtonen;2007;1200.0;750.0;170.0;220.0;30.0;30.0;1049.0;658.0;147.0;195.0;25.0;25.0;810.0;510.0;100.0;150.0;20.0;20.0;708.0;450.0;89.0;129.0;19.0;20.0
58;Mannen en vrouwen;2;Westerse allochtonen;2006;1520.0;790.0;290.0;270.0;100.0;70.0;839.0;434.0;159.0;151.0;55.0;40.0;1030.0;550.0;180.0;160.0;80.0;60.0;569.0;305.0;101.0;87.0;45.0;31.0
59;Mannen en vrouwen;2;Westerse allochtonen;2007;1670.0;910.0;310.0;300.0;80.0;70.0;896.0;492.0;165.0;160.0;44.0;36.0;1130.0;630.0;210.0;180.0;60.0;50.0;608.0;341.0;111.0;96.0;32.0;28.0
60;Mannen en vrouwen;3;Alle herkomstgroeperingen;2006;16710.0;7350.0;3580.0;4090.0;630.0;1060.0;702.0;309.0;151.0;172.0;26.0;45.0;11910.0;5590.0;2380.0;2500.0;550.0;900.0;500.0;235.0;100.0;105.0;23.0;38.0
61;Mannen en vrouwen;3;Alle herkomstgroeperingen;2007;17780.0;8080.0;3750.0;4460.0;700.0;790.0;768.0;349.0;162.0;193.0;30.0;34.0;12470.0;5910.0;2550.0;2780.0;580.0;640.0;539.0;255.0;110.0;120.0;25.0;28.0
62;Mannen en vrouwen;3;Autochtoon;2006;11860.0;4750.0;2810.0;3000.0;490.0;800.0;645.0;259.0;153.0;163.0;27.0;43.0;8430.0;3630.0;1850.0;1850.0;430.0;670.0;459.0;198.0;101.0;101.0;23.0;37.0
63;Mannen en vrouwen;3;Autochtoon;2007;12290.0;5150.0;2870.0;3130.0;540.0;600.0;693.0;290.0;162.0;176.0;31.0;34.0;8630.0;3800.0;1970.0;1920.0;450.0;490.0;487.0;214.0;111.0;108.0;25.0;28.0
64;Mannen en vrouwen;3;Totaal allochtonen;2006;4860.0;2600.0;770.0;1090.0;140.0;270.0;895.0;478.0;142.0;200.0;25.0;49.0;3490.0;1960.0;530.0;650.0;120.0;230.0;642.0;361.0;98.0;119.0;23.0;42.0
65;Mannen en vrouwen;3;Totaal allochtonen;2007;5490.0;2930.0;870.0;1330.0;160.0;190.0;1012.0;541.0;161.0;246.0;29.0;35.0;3850.0;2120.0;580.0;860.0;130.0;150.0;709.0;390.0;107.0;159.0;24.0;28.0
66;Mannen en vrouwen;3;Totaal niet-westerse allochtonen;2006;3220.0;1830.0;440.0;720.0;80.0;160.0;1032.0;586.0;141.0;229.0;25.0;51.0;2310.0;1370.0;300.0;440.0;70.0;130.0;739.0;440.0;97.0;140.0;21.0;41.0
67;Mannen en vrouwen;3;Totaal niet-westerse allochtonen;2007;3710.0;2090.0;530.0;900.0;80.0;110.0;1182.0;665.0;169.0;288.0;26.0;34.0;2600.0;1500.0;350.0;600.0;60.0;90.0;830.0;477.0;113.0;192.0;20.0;29.0
68;Mannen en vrouwen;3;Marokko;2006;690.0;400.0;100.0;150.0;10.0;30.0;1206.0;696.0;175.0;268.0;21.0;46.0;490.0;300.0;70.0;90.0;;20.0;866.0;529.0;121.0;159.0;;40.0
69;Mannen en vrouwen;3;Marokko;2007;770.0;440.0;120.0;190.0;10.0;10.0;1314.0;755.0;198.0;321.0;17.0;22.0;510.0;300.0;70.0;120.0;;10.0;865.0;519.0;111.0;200.0;;21.0
70;Mannen en vrouwen;3;Turkije;2006;690.0;380.0;110.0;180.0;;20.0;979.0;539.0;150.0;248.0;;34.0;500.0;290.0;70.0;120.0;;20.0;708.0;408.0;104.0;165.0;;24.0
71;Mannen en vrouwen;3;Turkije;2007;800.0;420.0;120.0;240.0;10.0;20.0;1109.0;575.0;161.0;325.0;18.0;30.0;580.0;310.0;80.0;160.0;;20.0;800.0;425.0;111.0;226.0;;26.0
72;Mannen en vrouwen;3;Suriname;2006;600.0;360.0;60.0;130.0;20.0;40.0;1050.0;627.0;101.0;222.0;38.0;61.0;430.0;270.0;40.0;70.0;20.0;30.0;744.0;476.0;61.0;127.0;33.0;47.0
73;Mannen en vrouwen;3;Suriname;2007;770.0;450.0;90.0;180.0;20.0;30.0;1358.0;799.0;159.0;311.0;28.0;60.0;550.0;330.0;60.0;110.0;10.0;30.0;967.0;584.0;106.0;202.0;21.0;55.0
74;Mannen en vrouwen;3;Nederlandse Antillen en Aruba;2006;250.0;150.0;30.0;40.0;10.0;20.0;1159.0;686.0;132.0;189.0;62.0;90.0;170.0;100.0;20.0;20.0;10.0;20.0;795.0;487.0;80.0;95.0;52.0;80.0
75;Mannen en vrouwen;3;Nederlandse Antillen en Aruba;2007;270.0;170.0;40.0;40.0;10.0;;1296.0;809.0;194.0;203.0;47.0;;190.0;120.0;30.0;20.0;;;917.0;586.0;132.0;113.0;;
76;Mannen en vrouwen;3;Overige niet-westerse allochtonen;2006;990.0;540.0;150.0;220.0;20.0;50.0;937.0;514.0;141.0;208.0;23.0;51.0;710.0;400.0;110.0;140.0;20.0;40.0;677.0;383.0;102.0;128.0;22.0;42.0
77;Mannen en vrouwen;3;Overige niet-westerse allochtonen;2007;1100.0;610.0;170.0;260.0;30.0;30.0;1041.0;576.0;160.0;247.0;29.0;29.0;780.0;430.0;120.0;180.0;30.0;20.0;740.0;409.0;114.0;175.0;24.0;18.0
78;Mannen en vrouwen;3;Westerse allochtonen;2006;1640.0;770.0;330.0;370.0;60.0;110.0;710.0;333.0;142.0;161.0;26.0;47.0;1180.0;590.0;230.0;210.0;60.0;100.0;512.0;255.0;98.0;91.0;25.0;42.0
79;Mannen en vrouwen;3;Westerse allochtonen;2007;1780.0;850.0;340.0;430.0;80.0;80.0;779.0;370.0;150.0;189.0;34.0;36.0;1240.0;620.0;230.0;260.0;70.0;60.0;543.0;272.0;100.0;113.0;30.0;28.0
80;Mannen en vrouwen;4;Alle herkomstgroeperingen;2006;16750.0;6840.0;3660.0;4600.0;570.0;1080.0;658.0;269.0;144.0;181.0;22.0;42.0;12400.0;5400.0;2580.0;3000.0;510.0;920.0;488.0;212.0;101.0;118.0;20.0;36.0
81;Mannen en vrouwen;4;Alle herkomstgroeperingen;2007;18200.0;7780.0;4090.0;4810.0;650.0;870.0;712.0;305.0;160.0;188.0;25.0;34.0;13270.0;5970.0;2890.0;3130.0;560.0;720.0;519.0;233.0;113.0;122.0;22.0;28.0
82;Mannen en vrouwen;4;Autochtoon;2006;13120.0;5040.0;3060.0;3660.0;490.0;870.0;635.0;244.0;148.0;177.0;24.0;42.0;9680.0;3980.0;2140.0;2390.0;430.0;750.0;468.0;193.0;103.0;116.0;21.0;36.0
83;Mannen en vrouwen;4;Autochtoon;2007;13860.0;5580.0;3390.0;3660.0;530.0;690.0;671.0;270.0;164.0;177.0;26.0;34.0;10090.0;4310.0;2370.0;2370.0;460.0;570.0;488.0;209.0;115.0;115.0;22.0;28.0
84;Mannen en vrouwen;4;Totaal allochtonen;2006;3640.0;1800.0;600.0;950.0;90.0;200.0;761.0;377.0;125.0;198.0;18.0;42.0;2730.0;1430.0;440.0;610.0;80.0;170.0;571.0;298.0;93.0;128.0;16.0;36.0
85;Mannen en vrouwen;4;Totaal allochtonen;2007;4340.0;2200.0;700.0;1150.0;120.0;180.0;888.0;450.0;143.0;235.0;24.0;36.0;3180.0;1650.0;520.0;760.0;100.0;150.0;650.0;338.0;106.0;155.0;21.0;31.0
86;Mannen en vrouwen;4;Totaal niet-westerse allochtonen;2006;2140.0;1140.0;310.0;540.0;40.0;110.0;868.0;463.0;127.0;217.0;17.0;43.0;1590.0;900.0;230.0;330.0;40.0;90.0;645.0;366.0;92.0;134.0;15.0;38.0
87;Mannen en vrouwen;4;Totaal niet-westerse allochtonen;2007;2600.0;1430.0;370.0;670.0;60.0;80.0;1025.0;564.0;144.0;265.0;22.0;30.0;1890.0;1060.0;270.0;450.0;50.0;60.0;745.0;420.0;106.0;176.0;18.0;25.0
88;Mannen en vrouwen;4;Marokko;2006;330.0;170.0;60.0;80.0;;20.0;909.0;464.0;157.0;221.0;;50.0;250.0;140.0;40.0;50.0;;20.0;699.0;383.0;120.0;140.0;;42.0
89;Mannen en vrouwen;4;Marokko;2007;310.0;170.0;50.0;80.0;;;820.0;452.0;122.0;219.0;;;220.0;120.0;30.0;60.0;;;574.0;325.0;79.0;148.0;;
90;Mannen en vrouwen;4;Turkije;2006;390.0;200.0;60.0;110.0;;20.0;790.0;406.0;117.0;218.0;;46.0;290.0;160.0;40.0;70.0;;20.0;588.0;315.0;85.0;148.0;;38.0
91;Mannen en vrouwen;4;Turkije;2007;440.0;230.0;70.0;120.0;;10.0;855.0;449.0;133.0;235.0;;27.0;330.0;180.0;50.0;80.0;;10.0;630.0;341.0;100.0;152.0;;25.0
92;Mannen en vrouwen;4;Suriname;2006;540.0;300.0;70.0;130.0;20.0;20.0;941.0;523.0;126.0;223.0;28.0;42.0;420.0;250.0;60.0;80.0;10.0;20.0;723.0;429.0;103.0;131.0;24.0;37.0
93;Mannen en vrouwen;4;Suriname;2007;760.0;420.0;100.0;190.0;20.0;30.0;1306.0;732.0;164.0;326.0;38.0;45.0;580.0;330.0;80.0;120.0;20.0;20.0;995.0;575.0;133.0;214.0;31.0;41.0
94;Mannen en vrouwen;4;Nederlandse Antillen en Aruba;2006;190.0;110.0;30.0;40.0;;10.0;1103.0;615.0;144.0;241.0;;63.0;130.0;80.0;20.0;20.0;;;770.0;460.0;92.0;126.0;;
95;Mannen en vrouwen;4;Nederlandse Antillen en Aruba;2007;220.0;130.0;30.0;50.0;;;1275.0;723.0;176.0;290.0;;;160.0;90.0;20.0;40.0;;;922.0;524.0;125.0;205.0;;
96;Mannen en vrouwen;4;Overige niet-westerse allochtonen;2006;690.0;370.0;100.0;180.0;10.0;30.0;798.0;425.0;118.0;207.0;13.0;36.0;500.0;280.0;70.0;110.0;10.0;30.0;578.0;326.0;77.0;129.0;13.0;34.0
97;Mannen en vrouwen;4;Overige niet-westerse allochtonen;2007;870.0;480.0;120.0;230.0;10.0;30.0;979.0;538.0;140.0;256.0;16.0;28.0;610.0;340.0;90.0;150.0;10.0;20.0;687.0;384.0;98.0;172.0;11.0;21.0
98;Mannen en vrouwen;4;Westerse allochtonen;2006;1500.0;660.0;290.0;410.0;40.0;100.0;647.0;286.0;123.0;177.0;19.0;41.0;1140.0;530.0;220.0;280.0;40.0;80.0;491.0;226.0;94.0;120.0;17.0;34.0
99;Mannen en vrouwen;4;Westerse allochtonen;2007;1740.0;770.0;330.0;480.0;60.0;100.0;740.0;327.0;142.0;202.0;26.0;43.0;1290.0;590.0;250.0;310.0;60.0;90.0;549.0;250.0;107.0;131.0;24.0;37.0
100;Mannen en vrouwen;5;Alle herkomstgroeperingen;2006;14910.0;4880.0;3690.0;5200.0;230.0;910.0;473.0;155.0;117.0;165.0;7.0;29.0;11050.0;3940.0;2620.0;3520.0;210.0;780.0;351.0;125.0;83.0;112.0;7.0;25.0
101;Mannen en vrouwen;5;Alle herkomstgroeperingen;2007;16120.0;5670.0;4180.0;5350.0;260.0;660.0;502.0;177.0;130.0;166.0;8.0;21.0;11950.0;4480.0;3000.0;3700.0;220.0;560.0;372.0;139.0;93.0;115.0;7.0;17.0
102;Mannen en vrouwen;5;Autochtoon;2006;12380.0;3910.0;3180.0;4330.0;200.0;770.0;463.0;146.0;119.0;162.0;8.0;29.0;9170.0;3170.0;2230.0;2940.0;180.0;650.0;343.0;118.0;83.0;110.0;7.0;24.0
