ID;Geslacht;Arbeidspositie;ArbeidspositiePartner;AanwezigheidKinderen;CaribischNederland;Perioden;PartnerInPaar_1
32;Totaal mannen en vrouwen;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;Partner in paar met kind;Sint Eustatius;2018;520
33;Totaal mannen en vrouwen;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;Partner in paar met kind;Sint Eustatius;2020;460
34;Totaal mannen en vrouwen;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;Partner in paar met kind;Sint Eustatius;2022;490
35;Totaal mannen en vrouwen;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;Partner in paar met kind;Saba;2014;250
36;Totaal mannen en vrouwen;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;Partner in paar met kind;Saba;2016;280
37;Totaal mannen en vrouwen;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;Partner in paar met kind;Saba;2018;340
38;Totaal mannen en vrouwen;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;Partner in paar met kind;Saba;2020;370
39;Totaal mannen en vrouwen;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;Partner in paar met kind;Saba;2022;270
40;Totaal mannen en vrouwen;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;Jongste kind jonger dan 12 jaar;Caribisch Nederland;2014;2790
41;Totaal mannen en vrouwen;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;Jongste kind jonger dan 12 jaar;Caribisch Nederland;2016;3090
42;Totaal mannen en vrouwen;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;Jongste kind jonger dan 12 jaar;Caribisch Nederland;2018;2660
43;Totaal mannen en vrouwen;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;Jongste kind jonger dan 12 jaar;Caribisch Nederland;2020;3300
44;Totaal mannen en vrouwen;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;Jongste kind jonger dan 12 jaar;Caribisch Nederland;2022;3400
45;Totaal mannen en vrouwen;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;Jongste kind jonger dan 12 jaar;Bonaire;2014;2280
46;Totaal mannen en vrouwen;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;Jongste kind jonger dan 12 jaar;Bonaire;2016;2530
47;Totaal mannen en vrouwen;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;Jongste kind jonger dan 12 jaar;Bonaire;2018;2090
48;Totaal mannen en vrouwen;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;Jongste kind jonger dan 12 jaar;Bonaire;2020;2670
49;Totaal mannen en vrouwen;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;Jongste kind jonger dan 12 jaar;Bonaire;2022;2850
50;Totaal mannen en vrouwen;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;Jongste kind jonger dan 12 jaar;Sint Eustatius;2014;370
51;Totaal mannen en vrouwen;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;Jongste kind jonger dan 12 jaar;Sint Eustatius;2016;370
52;Totaal mannen en vrouwen;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;Jongste kind jonger dan 12 jaar;Sint Eustatius;2018;310
53;Totaal mannen en vrouwen;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;Jongste kind jonger dan 12 jaar;Sint Eustatius;2020;350
54;Totaal mannen en vrouwen;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;Jongste kind jonger dan 12 jaar;Sint Eustatius;2022;320
55;Totaal mannen en vrouwen;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;Jongste kind jonger dan 12 jaar;Saba;2014;140
56;Totaal mannen en vrouwen;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;Jongste kind jonger dan 12 jaar;Saba;2016;200
57;Totaal mannen en vrouwen;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;Jongste kind jonger dan 12 jaar;Saba;2018;260
58;Totaal mannen en vrouwen;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;Jongste kind jonger dan 12 jaar;Saba;2020;280
59;Totaal mannen en vrouwen;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;Jongste kind jonger dan 12 jaar;Saba;2022;220
60;Totaal mannen en vrouwen;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;Jongste kind 12 jaar of ouder;Caribisch Nederland;2014;2320
61;Totaal mannen en vrouwen;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;Jongste kind 12 jaar of ouder;Caribisch Nederland;2016;2140
62;Totaal mannen en vrouwen;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;Jongste kind 12 jaar of ouder;Caribisch Nederland;2018;1950
63;Totaal mannen en vrouwen;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;Jongste kind 12 jaar of ouder;Caribisch Nederland;2020;2060
64;Totaal mannen en vrouwen;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;Jongste kind 12 jaar of ouder;Caribisch Nederland;2022;2300
65;Totaal mannen en vrouwen;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;Jongste kind 12 jaar of ouder;Bonaire;2014;1900
66;Totaal mannen en vrouwen;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;Jongste kind 12 jaar of ouder;Bonaire;2016;1840
67;Totaal mannen en vrouwen;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;Jongste kind 12 jaar of ouder;Bonaire;2018;1660
68;Totaal mannen en vrouwen;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;Jongste kind 12 jaar of ouder;Bonaire;2020;1860
69;Totaal mannen en vrouwen;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;Jongste kind 12 jaar of ouder;Bonaire;2022;2080
70;Totaal mannen en vrouwen;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;Jongste kind 12 jaar of ouder;Sint Eustatius;2014;310
71;Totaal mannen en vrouwen;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;Jongste kind 12 jaar of ouder;Sint Eustatius;2016;220
72;Totaal mannen en vrouwen;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;Jongste kind 12 jaar of ouder;Sint Eustatius;2018;210
73;Totaal mannen en vrouwen;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;Jongste kind 12 jaar of ouder;Sint Eustatius;2020;110
74;Totaal mannen en vrouwen;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;Jongste kind 12 jaar of ouder;Sint Eustatius;2022;170
75;Totaal mannen en vrouwen;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;Jongste kind 12 jaar of ouder;Saba;2014;110
76;Totaal mannen en vrouwen;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;Jongste kind 12 jaar of ouder;Saba;2016;80
77;Totaal mannen en vrouwen;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;Jongste kind 12 jaar of ouder;Saba;2018;80
78;Totaal mannen en vrouwen;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;Jongste kind 12 jaar of ouder;Saba;2020;90
79;Totaal mannen en vrouwen;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;Jongste kind 12 jaar of ouder;Saba;2022;50
80;Totaal mannen en vrouwen;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;Jongste kind leeftijd onbekend;Caribisch Nederland;2014;20
81;Totaal mannen en vrouwen;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;Jongste kind leeftijd onbekend;Caribisch Nederland;2016;20
82;Totaal mannen en vrouwen;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;Jongste kind leeftijd onbekend;Caribisch Nederland;2018;20
83;Totaal mannen en vrouwen;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;Jongste kind leeftijd onbekend;Caribisch Nederland;2020;0
84;Totaal mannen en vrouwen;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;Jongste kind leeftijd onbekend;Caribisch Nederland;2022;0
85;Totaal mannen en vrouwen;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;Jongste kind leeftijd onbekend;Bonaire;2014;20
86;Totaal mannen en vrouwen;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;Jongste kind leeftijd onbekend;Bonaire;2016;10
87;Totaal mannen en vrouwen;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;Jongste kind leeftijd onbekend;Bonaire;2018;10
88;Totaal mannen en vrouwen;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;Jongste kind leeftijd onbekend;Bonaire;2020;0
89;Totaal mannen en vrouwen;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;Jongste kind leeftijd onbekend;Bonaire;2022;0
90;Totaal mannen en vrouwen;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;Jongste kind leeftijd onbekend;Sint Eustatius;2014;0
91;Totaal mannen en vrouwen;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;Jongste kind leeftijd onbekend;Sint Eustatius;2016;0
92;Totaal mannen en vrouwen;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;Jongste kind leeftijd onbekend;Sint Eustatius;2018;10
93;Totaal mannen en vrouwen;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;Jongste kind leeftijd onbekend;Sint Eustatius;2020;0
94;Totaal mannen en vrouwen;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;Jongste kind leeftijd onbekend;Sint Eustatius;2022;0
95;Totaal mannen en vrouwen;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;Jongste kind leeftijd onbekend;Saba;2014;0
96;Totaal mannen en vrouwen;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;Jongste kind leeftijd onbekend;Saba;2016;10
97;Totaal mannen en vrouwen;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;Jongste kind leeftijd onbekend;Saba;2018;0
98;Totaal mannen en vrouwen;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;Jongste kind leeftijd onbekend;Saba;2020;0
99;Totaal mannen en vrouwen;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;Jongste kind leeftijd onbekend;Saba;2022;0
100;Totaal mannen en vrouwen;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;Partner in paar, geen kind;Caribisch Nederland;2014;3590
101;Totaal mannen en vrouwen;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;Partner in paar, geen kind;Caribisch Nederland;2016;4320
102;Totaal mannen en vrouwen;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;Partner in paar, geen kind;Caribisch Nederland;2018;4690
103;Totaal mannen en vrouwen;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;Partner in paar, geen kind;Caribisch Nederland;2020;4890
104;Totaal mannen en vrouwen;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;Partner in paar, geen kind;Caribisch Nederland;2022;4580
105;Totaal mannen en vrouwen;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;Partner in paar, geen kind;Bonaire;2014;2820
106;Totaal mannen en vrouwen;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;Partner in paar, geen kind;Bonaire;2016;3580
107;Totaal mannen en vrouwen;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;Partner in paar, geen kind;Bonaire;2018;3820
108;Totaal mannen en vrouwen;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;Partner in paar, geen kind;Bonaire;2020;4230
109;Totaal mannen en vrouwen;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;Partner in paar, geen kind;Bonaire;2022;3800
110;Totaal mannen en vrouwen;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;Partner in paar, geen kind;Sint Eustatius;2014;460
111;Totaal mannen en vrouwen;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;Partner in paar, geen kind;Sint Eustatius;2016;430
112;Totaal mannen en vrouwen;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;Partner in paar, geen kind;Sint Eustatius;2018;440
113;Totaal mannen en vrouwen;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;Partner in paar, geen kind;Sint Eustatius;2020;360
114;Totaal mannen en vrouwen;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;Partner in paar, geen kind;Sint Eustatius;2022;430
115;Totaal mannen en vrouwen;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;Partner in paar, geen kind;Saba;2014;310
116;Totaal mannen en vrouwen;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;Partner in paar, geen kind;Saba;2016;310
117;Totaal mannen en vrouwen;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;Partner in paar, geen kind;Saba;2018;420
118;Totaal mannen en vrouwen;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;Partner in paar, geen kind;Saba;2020;310
119;Totaal mannen en vrouwen;Beroeps- en niet-beroepsbevolking;Beroeps- en niet-beroepsbevolking;Partner in paar, geen kind;Saba;2022;360
120;Totaal mannen en vrouwen;Beroeps- en niet-beroepsbevolking;Werkzame beroepsbevolking;Partner in paar;Caribisch Nederland;2014;5880
121;Totaal mannen en vrouwen;Beroeps- en niet-beroepsbevolking;Werkzame beroepsbevolking;Partner in paar;Caribisch Nederland;2016;7140
122;Totaal mannen en vrouwen;Beroeps- en niet-beroepsbevolking;Werkzame beroepsbevolking;Partner in paar;Caribisch Nederland;2018;6970
123;Totaal mannen en vrouwen;Beroeps- en niet-beroepsbevolking;Werkzame beroepsbevolking;Partner in paar;Caribisch Nederland;2020;7260
124;Totaal mannen en vrouwen;Beroeps- en niet-beroepsbevolking;Werkzame beroepsbevolking;Partner in paar;Caribisch Nederland;2022;7470
125;Totaal mannen en vrouwen;Beroeps- en niet-beroepsbevolking;Werkzame beroepsbevolking;Partner in paar;Bonaire;2014;4780
126;Totaal mannen en vrouwen;Beroeps- en niet-beroepsbevolking;Werkzame beroepsbevolking;Partner in paar;Bonaire;2016;5990
127;Totaal mannen en vrouwen;Beroeps- en niet-beroepsbevolking;Werkzame beroepsbevolking;Partner in paar;Bonaire;2018;5740
128;Totaal mannen en vrouwen;Beroeps- en niet-beroepsbevolking;Werkzame beroepsbevolking;Partner in paar;Bonaire;2020;6160
129;Totaal mannen en vrouwen;Beroeps- en niet-beroepsbevolking;Werkzame beroepsbevolking;Partner in paar;Bonaire;2022;6310
130;Totaal mannen en vrouwen;Beroeps- en niet-beroepsbevolking;Werkzame beroepsbevolking;Partner in paar;Sint Eustatius;2014;730
131;Totaal mannen en vrouwen;Beroeps- en niet-beroepsbevolking;Werkzame beroepsbevolking;Partner in paar;Sint Eustatius;2016;740
132;Totaal mannen en vrouwen;Beroeps- en niet-beroepsbevolking;Werkzame beroepsbevolking;Partner in paar;Sint Eustatius;2018;700
133;Totaal mannen en vrouwen;Beroeps- en niet-beroepsbevolking;Werkzame beroepsbevolking;Partner in paar;Sint Eustatius;2020;590
134;Totaal mannen en vrouwen;Beroeps- en niet-beroepsbevolking;Werkzame beroepsbevolking;Partner in paar;Sint Eustatius;2022;720
135;Totaal mannen en vrouwen;Beroeps- en niet-beroepsbevolking;Werkzame beroepsbevolking;Partner in paar;Saba;2014;370
136;Totaal mannen en vrouwen;Beroeps- en niet-beroepsbevolking;Werkzame beroepsbevolking;Partner in paar;Saba;2016;410
137;Totaal mannen en vrouwen;Beroeps- en niet-beroepsbevolking;Werkzame beroepsbevolking;Partner in paar;Saba;2018;520
138;Totaal mannen en vrouwen;Beroeps- en niet-beroepsbevolking;Werkzame beroepsbevolking;Partner in paar;Saba;2020;520
139;Totaal mannen en vrouwen;Beroeps- en niet-beroepsbevolking;Werkzame beroepsbevolking;Partner in paar;Saba;2022;430
140;Totaal mannen en vrouwen;Beroeps- en niet-beroepsbevolking;Werkzame beroepsbevolking;Partner in paar met kind;Caribisch Nederland;2014;3940
141;Totaal mannen en vrouwen;Beroeps- en niet-beroepsbevolking;Werkzame beroepsbevolking;Partner in paar met kind;Caribisch Nederland;2016;4320
142;Totaal mannen en vrouwen;Beroeps- en niet-beroepsbevolking;Werkzame beroepsbevolking;Partner in paar met kind;Caribisch Nederland;2018;3810
143;Totaal mannen en vrouwen;Beroeps- en niet-beroepsbevolking;Werkzame beroepsbevolking;Partner in paar met kind;Caribisch Nederland;2020;4190
144;Totaal mannen en vrouwen;Beroeps- en niet-beroepsbevolking;Werkzame beroepsbevolking;Partner in paar met kind;Caribisch Nederland;2022;4710
145;Totaal mannen en vrouwen;Beroeps- en niet-beroepsbevolking;Werkzame beroepsbevolking;Partner in paar met kind;Bonaire;2014;3220
146;Totaal mannen en vrouwen;Beroeps- en niet-beroepsbevolking;Werkzame beroepsbevolking;Partner in paar met kind;Bonaire;2016;3600
147;Totaal mannen en vrouwen;Beroeps- en niet-beroepsbevolking;Werkzame beroepsbevolking;Partner in paar met kind;Bonaire;2018;3140
148;Totaal mannen en vrouwen;Beroeps- en niet-beroepsbevolking;Werkzame beroepsbevolking;Partner in paar met kind;Bonaire;2020;3500
149;Totaal mannen en vrouwen;Beroeps- en niet-beroepsbevolking;Werkzame beroepsbevolking;Partner in paar met kind;Bonaire;2022;4070
150;Totaal mannen en vrouwen;Beroeps- en niet-beroepsbevolking;Werkzame beroepsbevolking;Partner in paar met kind;Sint Eustatius;2014;510
151;Totaal mannen en vrouwen;Beroeps- en niet-beroepsbevolking;Werkzame beroepsbevolking;Partner in paar met kind;Sint Eustatius;2016;490
152;Totaal mannen en vrouwen;Beroeps- en niet-beroepsbevolking;Werkzame beroepsbevolking;Partner in paar met kind;Sint Eustatius;2018;400
153;Totaal mannen en vrouwen;Beroeps- en niet-beroepsbevolking;Werkzame beroepsbevolking;Partner in paar met kind;Sint Eustatius;2020;360
154;Totaal mannen en vrouwen;Beroeps- en niet-beroepsbevolking;Werkzame beroepsbevolking;Partner in paar met kind;Sint Eustatius;2022;430
155;Totaal mannen en vrouwen;Beroeps- en niet-beroepsbevolking;Werkzame beroepsbevolking;Partner in paar met kind;Saba;2014;210
156;Totaal mannen en vrouwen;Beroeps- en niet-beroepsbevolking;Werkzame beroepsbevolking;Partner in paar met kind;Saba;2016;230
157;Totaal mannen en vrouwen;Beroeps- en niet-beroepsbevolking;Werkzame beroepsbevolking;Partner in paar met kind;Saba;2018;260
158;Totaal mannen en vrouwen;Beroeps- en niet-beroepsbevolking;Werkzame beroepsbevolking;Partner in paar met kind;Saba;2020;330
159;Totaal mannen en vrouwen;Beroeps- en niet-beroepsbevolking;Werkzame beroepsbevolking;Partner in paar met kind;Saba;2022;210
160;Totaal mannen en vrouwen;Beroeps- en niet-beroepsbevolking;Werkzame beroepsbevolking;Jongste kind jonger dan 12 jaar;Caribisch Nederland;2014;2260
161;Totaal mannen en vrouwen;Beroeps- en niet-beroepsbevolking;Werkzame beroepsbevolking;Jongste kind jonger dan 12 jaar;Caribisch Nederland;2016;2700
162;Totaal mannen en vrouwen;Beroeps- en niet-beroepsbevolking;Werkzame beroepsbevolking;Jongste kind jonger dan 12 jaar;Caribisch Nederland;2018;2270
163;Totaal mannen en vrouwen;Beroeps- en niet-beroepsbevolking;Werkzame beroepsbevolking;Jongste kind jonger dan 12 jaar;Caribisch Nederland;2020;2640
164;Totaal mannen en vrouwen;Beroeps- en niet-beroepsbevolking;Werkzame beroepsbevolking;Jongste kind jonger dan 12 jaar;Caribisch Nederland;2022;3030
165;Totaal mannen en vrouwen;Beroeps- en niet-beroepsbevolking;Werkzame beroepsbevolking;Jongste kind jonger dan 12 jaar;Bonaire;2014;1840
166;Totaal mannen en vrouwen;Beroeps- en niet-beroepsbevolking;Werkzame beroepsbevolking;Jongste kind jonger dan 12 jaar;Bonaire;2016;2210
167;Totaal mannen en vrouwen;Beroeps- en niet-beroepsbevolking;Werkzame beroepsbevolking;Jongste kind jonger dan 12 jaar;Bonaire;2018;1820
168;Totaal mannen en vrouwen;Beroeps- en niet-beroepsbevolking;Werkzame beroepsbevolking;Jongste kind jonger dan 12 jaar;Bonaire;2020;2090
169;Totaal mannen en vrouwen;Beroeps- en niet-beroepsbevolking;Werkzame beroepsbevolking;Jongste kind jonger dan 12 jaar;Bonaire;2022;2560
170;Totaal mannen en vrouwen;Beroeps- en niet-beroepsbevolking;Werkzame beroepsbevolking;Jongste kind jonger dan 12 jaar;Sint Eustatius;2014;300
171;Totaal mannen en vrouwen;Beroeps- en niet-beroepsbevolking;Werkzame beroepsbevolking;Jongste kind jonger dan 12 jaar;Sint Eustatius;2016;320
172;Totaal mannen en vrouwen;Beroeps- en niet-beroepsbevolking;Werkzame beroepsbevolking;Jongste kind jonger dan 12 jaar;Sint Eustatius;2018;250
173;Totaal mannen en vrouwen;Beroeps- en niet-beroepsbevolking;Werkzame beroepsbevolking;Jongste kind jonger dan 12 jaar;Sint Eustatius;2020;300
174;Totaal mannen en vrouwen;Beroeps- en niet-beroepsbevolking;Werkzame beroepsbevolking;Jongste kind jonger dan 12 jaar;Sint Eustatius;2022;290
175;Totaal mannen en vrouwen;Beroeps- en niet-beroepsbevolking;Werkzame beroepsbevolking;Jongste kind jonger dan 12 jaar;Saba;2014;130
176;Totaal mannen en vrouwen;Beroeps- en niet-beroepsbevolking;Werkzame beroepsbevolking;Jongste kind jonger dan 12 jaar;Saba;2016;170
177;Totaal mannen en vrouwen;Beroeps- en niet-beroepsbevolking;Werkzame beroepsbevolking;Jongste kind jonger dan 12 jaar;Saba;2018;190
