ID;Nationaliteit;Perioden;DerdelandersAantoonbaarVertrek_1
89;Bengalees;2023;15
90;Burger van Bosnië-Herzegovina;2015;105
91;Burger van Bosnië-Herzegovina;2016;250
92;Burger van Bosnië-Herzegovina;2017;75
93;Burger van Bosnië-Herzegovina;2018;55
94;Burger van Bosnië-Herzegovina;2019;90
95;Burger van Bosnië-Herzegovina;2020;30
96;Burger van Bosnië-Herzegovina;2021;15
97;Burger van Bosnië-Herzegovina;2022;15
98;Burger van Bosnië-Herzegovina;2023;15
99;Braziliaans;2015;280
100;Braziliaans;2016;315
101;Braziliaans;2017;215
102;Braziliaans;2018;320
103;Braziliaans;2019;500
104;Braziliaans;2020;875
105;Braziliaans;2021;210
106;Braziliaans;2022;355
107;Braziliaans;2023;405
108;Canadees;2015;45
109;Canadees;2016;25
110;Canadees;2017;15
111;Canadees;2018;5
112;Canadees;2019;20
113;Canadees;2020;45
114;Canadees;2021;25
115;Canadees;2022;5
116;Canadees;2023;20
117;Chileens;2015;65
118;Chileens;2016;45
119;Chileens;2017;30
120;Chileens;2018;45
121;Chileens;2019;55
122;Chileens;2020;55
123;Chileens;2021;10
124;Chileens;2022;50
125;Chileens;2023;20
126;Chinees;2015;425
127;Chinees;2016;355
128;Chinees;2017;215
129;Chinees;2018;170
130;Chinees;2019;315
131;Chinees;2020;330
132;Chinees;2021;70
133;Chinees;2022;170
134;Chinees;2023;205
135;Colombiaans;2015;120
136;Colombiaans;2016;210
137;Colombiaans;2017;170
138;Colombiaans;2018;340
139;Colombiaans;2019;490
140;Colombiaans;2020;450
141;Colombiaans;2021;150
142;Colombiaans;2022;215
143;Colombiaans;2023;275
144;Burger van Congo;2015;15
145;Burger van Congo;2016;20
146;Burger van Congo;2017;10
147;Burger van Congo;2018;10
148;Burger van Congo;2019;10
149;Burger van Congo;2020;10
150;Burger van Congo;2021;0
151;Burger van Congo;2022;0
152;Burger van Congo;2023;10
153;Cubaans;2015;15
154;Cubaans;2016;15
155;Cubaans;2017;25
156;Cubaans;2018;60
157;Cubaans;2019;25
158;Cubaans;2020;5
159;Cubaans;2021;0
160;Cubaans;2022;5
161;Cubaans;2023;0
162;Ecuadoraans;2015;60
163;Ecuadoraans;2016;45
164;Ecuadoraans;2017;25
165;Ecuadoraans;2018;35
166;Ecuadoraans;2019;55
167;Ecuadoraans;2020;50
168;Ecuadoraans;2021;10
169;Ecuadoraans;2022;25
170;Ecuadoraans;2023;20
171;Egyptisch;2015;100
172;Egyptisch;2016;75
173;Egyptisch;2017;80
174;Egyptisch;2018;120
175;Egyptisch;2019;90
176;Egyptisch;2020;75
177;Egyptisch;2021;25
178;Egyptisch;2022;20
179;Egyptisch;2023;40
180;Eritrees;2015;90
181;Eritrees;2016;140
182;Eritrees;2017;140
183;Eritrees;2018;150
184;Eritrees;2019;135
185;Eritrees;2020;55
186;Eritrees;2021;5
187;Eritrees;2022;10
188;Eritrees;2023;15
189;Ethiopisch;2015;20
190;Ethiopisch;2016;30
191;Ethiopisch;2017;55
192;Ethiopisch;2018;60
193;Ethiopisch;2019;40
194;Ethiopisch;2020;25
195;Ethiopisch;2021;5
196;Ethiopisch;2022;5
197;Ethiopisch;2023;5
198;Filippijns;2015;130
199;Filippijns;2016;115
200;Filippijns;2017;70
201;Filippijns;2018;120
202;Filippijns;2019;140
203;Filippijns;2020;130
204;Filippijns;2021;40
205;Filippijns;2022;75
206;Filippijns;2023;80
207;Gambiaans;2015;10
208;Gambiaans;2016;30
209;Gambiaans;2017;65
210;Gambiaans;2018;60
211;Gambiaans;2019;155
212;Gambiaans;2020;70
213;Gambiaans;2021;5
214;Gambiaans;2022;10
215;Gambiaans;2023;35
216;Georgisch;2015;130
217;Georgisch;2016;165
218;Georgisch;2017;270
219;Georgisch;2018;175
220;Georgisch;2019;335
221;Georgisch;2020;495
222;Georgisch;2021;175
223;Georgisch;2022;215
224;Georgisch;2023;205
225;Ghanees;2015;110
226;Ghanees;2016;125
227;Ghanees;2017;75
228;Ghanees;2018;130
229;Ghanees;2019;150
230;Ghanees;2020;85
231;Ghanees;2021;45
232;Ghanees;2022;35
233;Ghanees;2023;80
234;Guinees;2015;25
235;Guinees;2016;30
236;Guinees;2017;65
237;Guinees;2018;60
238;Guinees;2019;60
239;Guinees;2020;45
240;Guinees;2021;5
241;Guinees;2022;10
242;Guinees;2023;20
243;Hondurees;2015;170
244;Hondurees;2016;180
245;Hondurees;2017;140
246;Hondurees;2018;140
247;Hondurees;2019;65
248;Hondurees;2020;75
249;Hondurees;2021;90
250;Hondurees;2022;50
251;Hondurees;2023;10
252;Indiaas;2015;95
253;Indiaas;2016;230
254;Indiaas;2017;125
255;Indiaas;2018;130
256;Indiaas;2019;170
257;Indiaas;2020;105
258;Indiaas;2021;60
259;Indiaas;2022;125
260;Indiaas;2023;1850
261;Indonesisch;2015;165
262;Indonesisch;2016;185
263;Indonesisch;2017;135
264;Indonesisch;2018;115
265;Indonesisch;2019;165
266;Indonesisch;2020;220
267;Indonesisch;2021;55
268;Indonesisch;2022;85
269;Indonesisch;2023;90
270;Iraaks;2015;345
271;Iraaks;2016;780
272;Iraaks;2017;520
273;Iraaks;2018;325
274;Iraaks;2019;245
275;Iraaks;2020;160
276;Iraaks;2021;45
277;Iraaks;2022;45
278;Iraaks;2023;65
279;Iraans;2015;140
280;Iraans;2016;530
281;Iraans;2017;195
282;Iraans;2018;165
283;Iraans;2019;255
284;Iraans;2020;160
285;Iraans;2021;30
286;Iraans;2022;35
287;Iraans;2023;40
288;Israëlisch;2015;25
289;Israëlisch;2016;30
290;Israëlisch;2017;25
291;Israëlisch;2018;20
292;Israëlisch;2019;35
293;Israëlisch;2020;25
294;Israëlisch;2021;5
295;Israëlisch;2022;5
296;Israëlisch;2023;5
297;Ivoriaans;2015;20
298;Ivoriaans;2016;15
299;Ivoriaans;2017;10
300;Ivoriaans;2018;10
301;Ivoriaans;2019;20
302;Ivoriaans;2020;5
303;Ivoriaans;2021;0
304;Ivoriaans;2022;0
305;Ivoriaans;2023;5
306;Kameroens;2015;30
307;Kameroens;2016;15
308;Kameroens;2017;15
309;Kameroens;2018;15
310;Kameroens;2019;15
311;Kameroens;2020;15
312;Kameroens;2021;0
313;Kameroens;2022;5
314;Kameroens;2023;5
315;Kosovaars;2015;215
316;Kosovaars;2016;285
317;Kosovaars;2017;45
318;Kosovaars;2018;25
319;Kosovaars;2019;25
320;Kosovaars;2020;15
321;Kosovaars;2021;15
322;Kosovaars;2022;10
323;Kosovaars;2023;5
324;Libanees;2015;35
325;Libanees;2016;55
326;Libanees;2017;30
327;Libanees;2018;40
328;Libanees;2019;35
329;Libanees;2020;25
330;Libanees;2021;5
331;Libanees;2022;10
332;Libanees;2023;10
333;Libisch;2015;50
334;Libisch;2016;45
335;Libisch;2017;115
336;Libisch;2018;125
337;Libisch;2019;140
338;Libisch;2020;50
339;Libisch;2021;10
340;Libisch;2022;10
341;Libisch;2023;25
342;Macedonisch;2015;60
343;Macedonisch;2016;235
344;Macedonisch;2017;85
345;Macedonisch;2018;90
346;Macedonisch;2019;95
347;Macedonisch;2020;130
348;Macedonisch;2021;45
349;Macedonisch;2022;25
350;Macedonisch;2023;15
351;Maleisisch;2015;15
352;Maleisisch;2016;15
353;Maleisisch;2017;5
354;Maleisisch;2018;10
355;Maleisisch;2019;20
356;Maleisisch;2020;20
357;Maleisisch;2021;10
358;Maleisisch;2022;5
359;Maleisisch;2023;10
360;Marokkaans;2015;150
361;Marokkaans;2016;280
362;Marokkaans;2017;445
363;Marokkaans;2018;365
364;Marokkaans;2019;380
365;Marokkaans;2020;270
366;Marokkaans;2021;60
367;Marokkaans;2022;125
368;Marokkaans;2023;550
369;Mexicaans;2015;45
370;Mexicaans;2016;30
371;Mexicaans;2017;35
372;Mexicaans;2018;30
373;Mexicaans;2019;45
374;Mexicaans;2020;105
375;Mexicaans;2021;35
376;Mexicaans;2022;40
377;Mexicaans;2023;35
378;Moldavisch;2015;15
379;Moldavisch;2016;25
380;Moldavisch;2017;140
381;Moldavisch;2018;415
382;Moldavisch;2019;680
383;Moldavisch;2020;295
384;Moldavisch;2021;35
385;Moldavisch;2022;30
386;Moldavisch;2023;90
387;Mongools;2015;560
388;Mongools;2016;425
389;Mongools;2017;65
390;Mongools;2018;30
391;Mongools;2019;25
392;Mongools;2020;15
393;Mongools;2021;5
394;Mongools;2022;10
395;Mongools;2023;20
396;Nepalees;2015;45
397;Nepalees;2016;20
398;Nepalees;2017;15
399;Nepalees;2018;15
400;Nepalees;2019;15
401;Nepalees;2020;15
402;Nepalees;2021;0
403;Nepalees;2022;0
404;Nepalees;2023;10
405;Nicaraguaans;2015;110
406;Nicaraguaans;2016;105
407;Nicaraguaans;2017;110
408;Nicaraguaans;2018;110
409;Nicaraguaans;2019;125
410;Nicaraguaans;2020;45
411;Nicaraguaans;2021;160
412;Nicaraguaans;2022;50
413;Nicaraguaans;2023;30
414;Nigeriaans;2015;240
415;Nigeriaans;2016;220
416;Nigeriaans;2017;155
417;Nigeriaans;2018;110
418;Nigeriaans;2019;380
419;Nigeriaans;2020;250
420;Nigeriaans;2021;30
421;Nigeriaans;2022;80
422;Nigeriaans;2023;185
423;Oekraïens;2015;530
424;Oekraïens;2016;650
425;Oekraïens;2017;190
426;Oekraïens;2018;255
427;Oekraïens;2019;290
428;Oekraïens;2020;275
429;Oekraïens;2021;85
430;Oekraïens;2022;15
431;Oekraïens;2023;10
432;Pakistaans;2015;100
433;Pakistaans;2016;60
434;Pakistaans;2017;100
435;Pakistaans;2018;75
436;Pakistaans;2019;150
437;Pakistaans;2020;90
438;Pakistaans;2021;15
439;Pakistaans;2022;5
440;Pakistaans;2023;25
441;Peruaans;2015;60
442;Peruaans;2016;100
443;Peruaans;2017;130
444;Peruaans;2018;200
445;Peruaans;2019;305
446;Peruaans;2020;340
447;Peruaans;2021;230
448;Peruaans;2022;350
449;Peruaans;2023;145
450;Russisch;2015;145
451;Russisch;2016;140
452;Russisch;2017;200
453;Russisch;2018;155
454;Russisch;2019;225
455;Russisch;2020;120
456;Russisch;2021;30
457;Russisch;2022;20
458;Russisch;2023;20
459;Salvadoraans;2015;100
460;Salvadoraans;2016;105
461;Salvadoraans;2017;25
462;Salvadoraans;2018;25
463;Salvadoraans;2019;50
464;Salvadoraans;2020;20
465;Salvadoraans;2021;30
466;Salvadoraans;2022;30
467;Salvadoraans;2023;20
468;Saoedi-Arabisch;2015;20
469;Saoedi-Arabisch;2016;20
470;Saoedi-Arabisch;2017;10
471;Saoedi-Arabisch;2018;15
472;Saoedi-Arabisch;2019;35
473;Saoedi-Arabisch;2020;10
474;Saoedi-Arabisch;2021;5
475;Saoedi-Arabisch;2022;5
476;Saoedi-Arabisch;2023;5
477;Servisch;2015;245
478;Servisch;2016;610
479;Servisch;2017;170
480;Servisch;2018;130
481;Servisch;2019;225
482;Servisch;2020;110
483;Servisch;2021;40
484;Servisch;2022;45
485;Servisch;2023;40
486;Sierra Leoons;2015;5
487;Sierra Leoons;2016;20
488;Sierra Leoons;2017;20
489;Sierra Leoons;2018;25
490;Sierra Leoons;2019;30
491;Sierra Leoons;2020;10
492;Sierra Leoons;2021;0
493;Sierra Leoons;2022;5
494;Sierra Leoons;2023;10
495;Soedanees;2015;45
496;Soedanees;2016;50
497;Soedanees;2017;65
498;Soedanees;2018;70
499;Soedanees;2019;105
500;Soedanees;2020;70
501;Soedanees;2021;5
502;Soedanees;2022;0
503;Soedanees;2023;5
504;Somalisch;2015;55
505;Somalisch;2016;70
506;Somalisch;2017;50
507;Somalisch;2018;45
508;Somalisch;2019;65
509;Somalisch;2020;35
510;Somalisch;2021;5
511;Somalisch;2022;10
512;Somalisch;2023;40
513;Sri Lankaans;2015;5
514;Sri Lankaans;2016;5
515;Sri Lankaans;2017;15
516;Sri Lankaans;2018;15
517;Sri Lankaans;2019;20
518;Sri Lankaans;2020;10
519;Sri Lankaans;2021;5
520;Sri Lankaans;2022;5
521;Sri Lankaans;2023;5
522;Surinaams;2015;310
523;Surinaams;2016;250
524;Surinaams;2017;210
525;Surinaams;2018;225
526;Surinaams;2019;210
527;Surinaams;2020;200
528;Surinaams;2021;65
529;Surinaams;2022;75
530;Surinaams;2023;90
531;Syrisch;2015;220
532;Syrisch;2016;570
533;Syrisch;2017;230
534;Syrisch;2018;240
535;Syrisch;2019;180
536;Syrisch;2020;110
537;Syrisch;2021;10
538;Syrisch;2022;20
539;Syrisch;2023;30
540;Taiwanees;2015;5
541;Taiwanees;2016;20
542;Taiwanees;2017;20
543;Taiwanees;2018;20
544;Taiwanees;2019;5
545;Taiwanees;2020;15
546;Taiwanees;2021;0
547;Taiwanees;2022;0
548;Taiwanees;2023;5
549;Thais;2015;55
550;Thais;2016;35
551;Thais;2017;15
552;Thais;2018;35
553;Thais;2019;70
554;Thais;2020;65
555;Thais;2021;25
556;Thais;2022;40
557;Thais;2023;50
558;Tunesisch;2015;30
559;Tunesisch;2016;40
560;Tunesisch;2017;85
561;Tunesisch;2018;100
562;Tunesisch;2019;90
563;Tunesisch;2020;35
564;Tunesisch;2021;5
565;Tunesisch;2022;15
566;Tunesisch;2023;65
567;Turks;2015;300
568;Turks;2016;290
569;Turks;2017;215
570;Turks;2018;235
571;Turks;2019;320
572;Turks;2020;290
573;Turks;2021;105
574;Turks;2022;155
575;Turks;2023;325
576;Ugandees;2015;35
577;Ugandees;2016;15
578;Ugandees;2017;25
579;Ugandees;2018;30
580;Ugandees;2019;25
581;Ugandees;2020;30
582;Ugandees;2021;10
583;Ugandees;2022;15
584;Ugandees;2023;15
585;Venezolaans;2015;55
586;Venezolaans;2016;80
587;Venezolaans;2017;70
588;Venezolaans;2018;105
589;Venezolaans;2019;115
590;Venezolaans;2020;65
591;Venezolaans;2021;30
592;Venezolaans;2022;30
593;Venezolaans;2023;35
594;Vietnamees;2015;35
595;Vietnamees;2016;40
596;Vietnamees;2017;30
597;Vietnamees;2018;15
598;Vietnamees;2019;35
599;Vietnamees;2020;20
600;Vietnamees;2021;5
601;Vietnamees;2022;10
602;Vietnamees;2023;25
603;Belarussisch;2015;30
604;Belarussisch;2016;45
605;Belarussisch;2017;50
606;Belarussisch;2018;90
607;Belarussisch;2019;135
608;Belarussisch;2020;95
609;Belarussisch;2021;10
610;Belarussisch;2022;10
611;Belarussisch;2023;10
612;Zuid-Afrikaans;2015;40
613;Zuid-Afrikaans;2016;35
614;Zuid-Afrikaans;2017;25
615;Zuid-Afrikaans;2018;5
616;Zuid-Afrikaans;2019;25
617;Zuid-Afrikaans;2020;35
618;Zuid-Afrikaans;2021;0
619;Zuid-Afrikaans;2022;10
620;Zuid-Afrikaans;2023;15
621;Zuid-Koreaans;2015;15
622;Zuid-Koreaans;2016;5
623;Zuid-Koreaans;2017;10
624;Zuid-Koreaans;2018;10
625;Zuid-Koreaans;2019;20
626;Zuid-Koreaans;2020;50
627;Zuid-Koreaans;2021;10
628;Zuid-Koreaans;2022;5
629;Zuid-Koreaans;2023;5
630;Staatloos;2015;45
631;Staatloos;2016;95
632;Staatloos;2017;15
633;Staatloos;2018;30
634;Staatloos;2019;25
635;Staatloos;2020;15
636;Staatloos;2021;0
637;Staatloos;2022;0
638;Staatloos;2023;0
639;Onbekend;2015;120
640;Onbekend;2016;145
641;Onbekend;2017;110
642;Onbekend;2018;90
643;Onbekend;2019;190
644;Onbekend;2020;65
645;Onbekend;2021;0
646;Onbekend;2022;0
647;Onbekend;2023;0
