ID;TypeZelfstandige;Persoonskenmerken;BedrijfstakkenBranchesSBI2008;Perioden;Personen_1;PersonenMetBedrijfsvermogen_2;GemiddeldPersoonlijkInkomen_3;MediaanPersoonlijkInkomen_4;GemiddeldInkomenAlsZelfstandige_5;MediaanInkomenAlsZelfstandige_6;GemiddeldGestandaardiseerdInkomen_7;MediaanGestandaardiseerdInkomen_8;MediaanVermogenHuishoudens_9;MediaanBedrijfsvermogen_10;Personen_11;PersonenMetBedrijfsvermogen_12;GemiddeldPersoonlijkInkomen_13;MediaanPersoonlijkInkomen_14;GemiddeldInkomenAlsZelfstandige_15;MediaanInkomenAlsZelfstandige_16;GemiddeldGestandaardiseerdInkomen_17;MediaanGestandaardiseerdInkomen_18;MediaanVermogenHuishoudens_19;MediaanBedrijfsvermogen_20;ZelfstandigeAlleInkomensbronnen_21
27;Zelfstandige;Totaal personen;B-E Nijverheid (geen bouw) en energie;2007;40.2;31.7;43.5;36.6;42.2;36.0;35.3;28.4;281.6;48.7;47.5;37.1;42.2;34.6;36.4;29.2;34.5;27.7;274.7;41.1;48.4
28;Zelfstandige;Totaal personen;B-E Nijverheid (geen bouw) en energie;2008;41.3;37.0;44.2;37.5;43.3;37.2;32.8;28.6;272.4;43.9;48.8;43.4;43.0;35.7;37.3;30.0;32.4;28.1;264.6;36.8;49.7
29;Zelfstandige;Totaal personen;B-E Nijverheid (geen bouw) en energie;2009;41.5;38.6;40.1;33.8;39.3;33.6;30.3;27.0;235.1;37.0;49.5;45.7;39.7;32.9;33.4;26.3;30.2;26.7;231.5;30.8;50.1
30;Zelfstandige;Totaal personen;B-E Nijverheid (geen bouw) en energie;2010;44.3;39.3;41.5;34.9;40.4;34.3;31.0;27.1;227.1;41.1;53.3;46.8;40.8;33.6;34.3;26.6;30.8;26.7;220.0;34.1;53.9
31;Zelfstandige;Totaal personen;B-E Nijverheid (geen bouw) en energie;2011;45.5;40.6;41.6;35.8;40.5;35.0;35.7;30.2;212.9;37.4;54.8;48.0;41.1;34.8;34.1;27.3;35.2;29.8;206.9;31.2;55.5
32;Zelfstandige;Totaal personen;B-E Nijverheid (geen bouw) en energie;2012;45.6;41.0;41.2;34.8;40.0;34.0;35.6;30.0;188.1;36.9;55.2;48.6;40.7;33.9;33.3;26.4;35.2;29.6;182.8;30.5;55.9
33;Zelfstandige;Totaal personen;B-E Nijverheid (geen bouw) en energie;2013;45.4;41.0;40.9;34.0;39.4;33.2;35.0;29.5;155.4;35.3;54.9;48.8;40.9;33.5;33.2;25.5;34.6;29.4;151.5;29.3;55.6
34;Zelfstandige;Totaal personen;B-E Nijverheid (geen bouw) en energie;2014;46.3;42.2;42.4;35.9;40.9;34.9;40.7;31.1;151.3;34.0;56.1;50.3;42.7;35.1;34.6;27.0;40.3;31.0;148.1;28.5;56.8
35;Zelfstandige;Totaal personen;B-E Nijverheid (geen bouw) en energie;2015;47.3;43.1;40.8;34.2;39.2;33.5;39.3;30.8;161.3;34.8;57.9;51.4;41.3;34.0;33.0;25.9;38.9;30.8;155.2;28.8;58.9
36;Zelfstandige;Totaal personen;B Delfstoffenwinning;2007;0.1;0.1;56.4;43.3;51.7;41.2;39.6;33.0;362.0;;0.1;0.1;60.9;43.9;46.0;35.5;43.6;33.3;364.2;81.3;0.2
37;Zelfstandige;Totaal personen;B Delfstoffenwinning;2008;0.1;0.1;70.9;50.1;65.1;48.2;43.6;35.6;384.1;73.7;0.1;0.1;68.8;51.1;54.8;42.0;42.5;35.2;406.0;73.7;0.2
38;Zelfstandige;Totaal personen;B Delfstoffenwinning;2009;0.1;0.1;;;;;;;;;0.1;0.1;72.5;52.2;50.2;40.4;42.3;35.0;387.4;;0.1
39;Zelfstandige;Totaal personen;B Delfstoffenwinning;2010;0.1;0.1;65.1;51.0;57.5;47.8;42.5;35.4;400.4;120.3;0.2;0.1;86.8;53.0;50.7;40.0;56.1;37.7;499.3;103.1;0.2
40;Zelfstandige;Totaal personen;B Delfstoffenwinning;2011;0.1;0.1;67.2;53.9;60.6;48.7;53.7;40.0;278.3;68.6;0.2;0.1;80.1;60.6;51.0;43.3;58.6;41.9;329.0;68.6;0.2
41;Zelfstandige;Totaal personen;B Delfstoffenwinning;2012;0.1;0.1;68.9;61.9;60.3;56.7;46.5;42.7;259.9;80.3;0.2;0.1;76.5;67.2;48.9;45.2;52.0;44.4;290.8;80.0;0.2
42;Zelfstandige;Totaal personen;B Delfstoffenwinning;2013;0.2;0.1;76.9;66.0;69.6;60.0;67.3;40.1;178.0;61.2;0.2;0.2;85.9;69.8;62.3;49.4;68.4;42.1;199.1;56.4;0.2
43;Zelfstandige;Totaal personen;B Delfstoffenwinning;2014;0.2;0.2;81.2;69.4;74.6;60.0;79.4;45.5;149.6;55.8;0.2;0.2;89.5;71.3;63.1;48.0;79.3;48.3;210.6;55.8;0.2
44;Zelfstandige;Totaal personen;B Delfstoffenwinning;2015;0.2;0.2;80.7;64.0;75.5;55.1;79.0;42.1;250.6;66.3;0.2;0.2;88.5;64.4;65.5;46.7;77.8;44.6;272.3;63.5;0.2
45;Zelfstandige;Totaal personen;C Industrie;2007;39.2;31.0;43.0;36.3;41.8;35.8;35.1;28.3;278.9;47.8;46.3;36.2;41.6;34.3;36.0;29.0;34.3;27.6;271.7;40.3;47.1
46;Zelfstandige;Totaal personen;C Industrie;2008;40.3;36.1;43.6;37.2;42.8;36.9;32.5;28.5;269.0;43.0;47.5;42.3;42.3;35.3;37.0;30.0;32.0;27.9;260.9;36.1;48.3
47;Zelfstandige;Totaal personen;C Industrie;2009;40.1;37.4;39.7;33.8;38.9;33.6;30.1;26.9;232.1;36.5;47.2;43.8;38.8;32.5;33.6;26.8;29.8;26.5;227.1;31.0;47.6
48;Zelfstandige;Totaal personen;C Industrie;2010;43.2;38.4;40.9;34.5;39.8;34.0;30.7;26.9;223.5;40.0;51.8;45.5;40.0;33.2;33.9;26.5;30.4;26.5;215.7;33.4;52.3
49;Zelfstandige;Totaal personen;C Industrie;2011;44.4;39.6;41.0;35.5;39.9;34.7;35.4;30.1;210.3;36.6;53.2;46.6;40.3;34.3;34.0;27.2;34.8;29.6;202.7;30.9;53.8
50;Zelfstandige;Totaal personen;C Industrie;2012;44.4;39.9;40.6;34.3;39.4;33.6;35.2;29.8;185.3;35.8;53.4;47.1;40.1;33.5;33.4;26.2;34.9;29.4;179.3;29.9;54.0
51;Zelfstandige;Totaal personen;C Industrie;2013;44.1;39.9;40.3;33.6;38.9;32.8;34.6;29.4;153.1;34.2;53.1;47.3;40.0;33.0;33.1;25.3;34.2;29.2;148.6;28.7;53.7
52;Zelfstandige;Totaal personen;C Industrie;2014;44.9;41.0;41.7;35.5;40.3;34.5;40.3;31.0;149.6;33.2;54.0;48.5;41.3;34.6;34.3;26.9;39.6;30.8;145.1;28.2;54.6
53;Zelfstandige;Totaal personen;C Industrie;2015;45.6;41.6;40.2;34.0;38.7;33.1;38.8;30.7;159.1;34.0;55.3;49.3;40.1;33.6;32.8;26.0;38.3;30.6;151.0;28.4;56.2
54;Zelfstandige;Totaal personen;D Energievoorziening;2007;0.3;0.2;80.0;46.1;83.9;39.9;53.2;36.1;562.3;144.4;0.4;0.3;81.9;49.6;60.6;27.0;52.4;36.1;557.5;72.1;0.4
55;Zelfstandige;Totaal personen;D Energievoorziening;2008;0.3;0.3;84.9;56.9;81.5;51.3;58.1;47.1;735.3;154.4;0.6;0.5;87.2;61.5;47.4;21.6;55.5;45.6;652.9;45.0;0.7
56;Zelfstandige;Totaal personen;D Energievoorziening;2009;0.5;0.4;78.4;54.1;76.4;51.0;48.5;42.2;716.5;93.6;1.0;0.8;83.4;68.3;30.5;3.7;48.3;43.2;668.6;41.0;1.2
57;Zelfstandige;Totaal personen;D Energievoorziening;2010;0.3;0.3;80.1;46.9;78.2;43.9;52.7;36.7;628.8;176.0;0.6;0.5;76.1;53.4;41.0;15.3;48.2;38.4;629.7;50.5;0.7
58;Zelfstandige;Totaal personen;D Energievoorziening;2011;0.3;0.3;76.9;50.6;72.8;48.0;52.9;41.2;588.0;132.7;0.7;0.6;71.2;54.8;27.3;9.9;47.1;40.6;582.8;24.2;0.8
59;Zelfstandige;Totaal personen;D Energievoorziening;2012;0.4;0.3;72.0;49.8;70.1;45.6;57.0;42.7;679.1;242.5;0.7;0.7;58.9;51.8;6.7;12.2;44.0;40.4;589.8;32.6;0.8
60;Zelfstandige;Totaal personen;D Energievoorziening;2013;0.4;0.4;66.1;52.3;63.0;47.7;50.7;43.7;668.3;175.3;0.8;0.7;76.0;55.8;21.4;12.0;49.8;42.6;541.0;36.5;0.9
61;Zelfstandige;Totaal personen;D Energievoorziening;2014;0.5;0.4;66.8;51.5;64.5;48.6;52.3;43.0;463.8;143.3;0.8;0.7;85.9;52.1;35.6;14.5;56.1;40.9;428.5;48.7;0.9
62;Zelfstandige;Totaal personen;D Energievoorziening;2015;0.6;0.5;62.0;45.2;60.1;40.6;50.2;39.8;465.2;101.7;1.2;0.9;70.7;47.7;31.3;12.1;49.5;38.7;393.4;41.5;1.4
63;Zelfstandige;Totaal personen;E Waterbedrijven en afvalbeheer;2007;0.5;0.4;57.3;48.5;53.5;43.5;42.6;33.3;384.3;119.6;0.6;0.5;55.2;45.8;46.3;39.6;42.0;33.0;368.2;113.0;0.6
64;Zelfstandige;Totaal personen;E Waterbedrijven en afvalbeheer;2008;0.5;0.4;60.2;50.2;57.7;47.4;38.6;33.2;377.6;130.1;0.5;0.5;55.5;46.6;49.0;41.6;36.8;32.2;355.0;113.4;0.6
65;Zelfstandige;Totaal personen;E Waterbedrijven en afvalbeheer;2009;0.8;0.7;37.7;27.7;35.6;25.6;28.9;25.2;206.9;32.4;1.1;1.0;35.4;25.6;26.3;11.5;27.7;24.3;159.9;14.3;1.1
66;Zelfstandige;Totaal personen;E Waterbedrijven en afvalbeheer;2010;0.6;0.5;59.2;50.9;57.0;47.8;38.8;33.1;372.0;128.0;0.7;0.6;57.2;47.9;48.2;42.5;37.7;32.2;346.1;114.3;0.8
67;Zelfstandige;Totaal personen;E Waterbedrijven en afvalbeheer;2011;0.7;0.5;59.8;50.3;56.3;46.2;46.8;35.0;301.7;114.4;0.8;0.6;60.4;48.5;49.3;41.5;46.5;34.7;295.4;102.0;0.8
68;Zelfstandige;Totaal personen;E Waterbedrijven en afvalbeheer;2012;0.7;0.6;56.8;48.3;53.2;46.2;45.2;33.7;243.3;116.5;0.8;0.7;56.8;46.6;44.9;42.0;44.3;32.9;240.1;104.0;0.8
69;Zelfstandige;Totaal personen;E Waterbedrijven en afvalbeheer;2013;0.7;0.6;54.9;45.4;52.4;43.5;40.0;31.7;197.4;100.3;0.8;0.7;56.4;44.7;47.6;41.0;40.2;31.3;197.4;92.6;0.9
70;Zelfstandige;Totaal personen;E Waterbedrijven en afvalbeheer;2014;0.8;0.7;56.3;45.3;52.7;44.0;53.1;32.1;170.9;64.8;1.1;0.9;71.2;49.9;41.7;33.1;56.0;35.9;192.3;32.8;1.1
71;Zelfstandige;Totaal personen;E Waterbedrijven en afvalbeheer;2015;0.9;0.7;48.7;42.0;46.1;40.0;48.6;30.9;141.5;54.6;1.1;0.9;58.0;44.0;35.9;29.9;49.2;32.9;163.1;33.0;1.2
72;Zelfstandige;Totaal personen;F Bouwnijverheid;2007;101.3;80.6;40.4;36.9;40.6;37.7;29.3;26.0;180.8;22.1;113.7;89.3;39.1;35.6;36.7;34.5;29.1;25.9;183.3;21.5;114.1
73;Zelfstandige;Totaal personen;F Bouwnijverheid;2008;112.8;102.2;41.1;37.8;41.3;38.4;28.6;26.4;155.6;19.1;126.0;112.9;39.8;36.6;37.5;35.2;28.4;26.2;159.4;18.6;126.5
74;Zelfstandige;Totaal personen;F Bouwnijverheid;2009;117.7;111.7;36.9;34.1;37.5;35.1;26.3;24.6;122.0;15.2;131.5;123.7;36.0;33.2;34.0;31.8;26.3;24.6;126.6;14.9;131.0
75;Zelfstandige;Totaal personen;F Bouwnijverheid;2010;122.8;109.6;35.5;32.2;35.7;32.7;25.8;23.9;117.3;15.5;140.1;123.4;34.9;31.5;31.8;29.0;25.7;23.8;118.7;14.8;139.8
76;Zelfstandige;Totaal personen;F Bouwnijverheid;2011;128.4;114.4;37.4;34.9;37.4;35.1;29.9;27.4;110.4;14.7;145.3;126.7;37.0;34.2;33.6;31.6;29.7;27.3;112.2;14.2;145.1
77;Zelfstandige;Totaal personen;F Bouwnijverheid;2012;129.0;115.7;34.5;31.6;34.5;31.8;28.5;26.2;89.1;14.8;146.5;128.8;34.4;31.3;31.0;28.3;28.5;26.2;92.1;14.3;146.2
78;Zelfstandige;Totaal personen;F Bouwnijverheid;2013;128.6;116.0;34.6;31.7;34.3;31.8;28.2;26.2;63.7;13.3;145.9;129.2;34.6;31.4;30.9;28.3;28.3;26.3;66.9;12.9;145.6
79;Zelfstandige;Totaal personen;F Bouwnijverheid;2014;132.3;120.8;36.2;33.3;35.9;33.2;30.9;27.8;62.1;13.1;150.0;134.3;36.0;32.9;32.3;29.8;30.9;27.7;65.1;12.7;149.5
80;Zelfstandige;Totaal personen;F Bouwnijverheid;2015;137.0;125.2;35.9;33.0;35.5;33.1;30.6;27.9;65.1;13.7;154.9;138.6;35.8;32.8;32.1;30.0;30.7;27.9;67.7;13.3;155.1
81;Zelfstandige;Totaal personen;G-N Commerciële dienstverlening;2007;473.3;364.9;44.5;35.9;42.4;34.2;36.0;28.6;253.2;44.7;618.3;448.1;43.7;34.8;33.5;23.2;35.0;27.9;238.5;35.6;594.0
82;Zelfstandige;Totaal personen;G-N Commerciële dienstverlening;2008;497.7;434.8;45.5;37.0;43.9;35.7;33.3;28.7;241.7;41.3;654.9;534.9;44.8;36.0;34.5;23.9;32.8;28.2;225.8;32.7;629.1
83;Zelfstandige;Totaal personen;G-N Commerciële dienstverlening;2009;504.7;460.1;42.7;34.9;41.3;33.6;31.5;27.8;211.5;37.8;659.9;567.1;42.6;34.5;32.6;22.6;31.4;27.6;199.4;29.8;626.0
84;Zelfstandige;Totaal personen;G-N Commerciële dienstverlening;2010;522.1;452.4;42.5;33.7;40.9;32.0;31.7;27.6;191.8;36.8;710.4;570.3;42.6;33.9;31.2;20.3;31.4;27.3;176.5;27.7;675.5
85;Zelfstandige;Totaal personen;G-N Commerciële dienstverlening;2011;551.0;477.5;42.7;34.0;41.0;32.3;36.4;30.7;179.3;33.7;749.0;596.1;43.2;34.5;31.2;20.5;35.8;30.3;167.3;26.3;715.4
86;Zelfstandige;Totaal personen;G-N Commerciële dienstverlening;2012;560.0;488.3;42.1;33.1;40.3;31.5;36.3;30.5;154.4;33.5;761.9;610.4;42.9;34.0;30.8;19.9;35.8;30.2;143.7;26.0;727.5
87;Zelfstandige;Totaal personen;G-N Commerciële dienstverlening;2013;562.3;493.0;42.1;32.5;39.9;30.7;35.1;30.0;122.8;32.6;763.6;617.4;43.3;33.7;30.7;19.6;35.1;30.1;114.1;25.5;730.3
88;Zelfstandige;Totaal personen;G-N Commerciële dienstverlening;2014;574.0;505.9;43.8;34.2;41.6;32.3;41.8;31.9;119.8;31.6;781.1;632.1;45.0;35.0;32.0;20.5;41.1;31.7;110.5;24.7;741.4
89;Zelfstandige;Totaal personen;G-N Commerciële dienstverlening;2015;588.4;518.7;43.4;34.2;41.2;32.4;40.7;32.0;126.8;32.5;799.9;648.2;44.5;35.0;31.8;21.1;40.2;31.9;115.3;25.2;773.3
90;Zelfstandige;Totaal personen;G-I Handel, vervoer en horeca;2007;237.1;180.7;34.6;27.1;33.7;26.1;30.2;25.5;233.1;38.6;292.7;215.7;33.7;26.6;27.7;19.8;29.4;24.8;221.9;32.2;289.2
91;Zelfstandige;Totaal personen;G-I Handel, vervoer en horeca;2008;239.3;211.4;34.6;27.1;33.8;26.2;28.7;25.6;225.2;35.1;298.4;253.7;34.0;26.9;27.5;19.6;28.2;25.1;212.8;28.9;294.8
92;Zelfstandige;Totaal personen;G-I Handel, vervoer en horeca;2009;234.5;218.3;31.8;25.3;31.0;24.6;26.7;24.5;194.6;31.0;290.7;262.6;31.5;25.5;25.3;18.4;26.4;24.2;183.6;25.7;284.3
93;Zelfstandige;Totaal personen;G-I Handel, vervoer en horeca;2010;248.0;217.9;33.2;25.7;32.2;24.9;27.6;24.7;177.4;33.7;314.4;265.3;32.8;25.9;25.7;18.0;27.1;24.2;163.0;27.0;308.0
94;Zelfstandige;Totaal personen;G-I Handel, vervoer en horeca;2011;257.9;229.2;33.0;25.9;31.9;24.9;31.2;27.4;166.0;30.7;325.8;275.5;33.1;26.4;25.5;18.0;30.6;27.0;153.8;25.1;319.4
95;Zelfstandige;Totaal personen;G-I Handel, vervoer en horeca;2012;257.0;229.2;31.7;24.6;30.4;23.6;30.5;26.8;144.2;30.4;327.6;276.4;32.2;25.7;24.1;16.7;30.1;26.6;134.2;24.9;321.0
96;Zelfstandige;Totaal personen;G-I Handel, vervoer en horeca;2013;254.1;228.0;31.7;24.2;30.2;23.2;29.8;26.5;115.7;29.0;322.1;274.8;32.4;25.5;24.2;16.7;29.7;26.5;107.7;24.0;317.0
97;Zelfstandige;Totaal personen;G-I Handel, vervoer en horeca;2014;255.2;231.3;33.8;26.2;32.3;25.0;34.6;28.3;112.4;27.8;322.6;278.2;34.2;27.0;26.1;18.1;34.1;28.0;103.3;23.1;316.4
98;Zelfstandige;Totaal personen;G-I Handel, vervoer en horeca;2015;258.1;233.4;33.8;26.9;32.2;25.6;34.2;28.6;118.1;29.1;327.4;281.4;34.3;27.6;26.0;18.5;33.9;28.5;107.2;23.9;324.3
99;Zelfstandige;Totaal personen;G Handel;2007;161.8;124.2;34.9;27.1;33.8;26.0;30.7;25.6;267.4;45.8;199.5;150.1;33.8;26.5;27.8;19.4;29.7;24.8;247.9;36.6;198.8
100;Zelfstandige;Totaal personen;G Handel;2008;162.3;143.9;35.1;27.2;34.1;26.3;29.0;25.7;260.8;42.5;201.6;174.9;34.1;26.9;27.9;19.4;28.3;25.1;239.7;33.4;201.2
101;Zelfstandige;Totaal personen;G Handel;2009;158.7;147.9;32.9;26.0;32.0;25.2;27.5;25.0;232.5;38.4;196.8;180.2;32.4;26.1;26.1;18.4;27.1;24.6;213.5;30.3;194.8
102;Zelfstandige;Totaal personen;G Handel;2010;167.3;148.1;34.7;26.6;33.5;25.4;28.5;25.2;216.7;42.2;212.3;182.3;33.9;26.6;26.7;18.0;27.9;24.6;192.6;32.2;210.6
103;Zelfstandige;Totaal personen;G Handel;2011;171.9;154.0;33.7;26.1;32.4;25.0;32.1;27.9;204.7;38.7;218.2;187.9;33.5;26.6;25.8;17.5;31.4;27.3;182.0;30.0;216.9
104;Zelfstandige;Totaal personen;G Handel;2012;169.7;152.5;32.3;24.7;30.9;23.6;31.4;27.2;181.1;38.3;216.2;187.0;32.5;25.7;24.6;16.2;30.8;26.8;159.9;29.5;214.5
105;Zelfstandige;Totaal personen;G Handel;2013;166.9;150.7;32.0;24.0;30.3;22.8;30.5;26.7;149.8;36.7;212.6;184.8;32.5;25.3;24.2;15.7;30.2;26.6;130.3;28.6;210.8
106;Zelfstandige;Totaal personen;G Handel;2014;167.0;152.1;33.9;25.7;32.2;24.4;35.7;28.5;145.6;35.2;213.5;186.6;34.2;26.7;25.7;16.8;35.0;28.2;126.7;27.2;211.1
107;Zelfstandige;Totaal personen;G Handel;2015;168.8;153.1;34.3;26.7;32.5;25.3;35.3;28.9;151.6;36.3;216.8;188.7;34.6;27.6;25.9;17.3;34.7;28.7;130.1;27.7;216.8
108;Zelfstandige;Totaal personen;H Vervoer en opslag;2007;27.9;21.3;39.8;33.2;39.2;32.5;33.2;27.7;203.3;43.0;37.3;24.9;39.2;32.0;30.1;22.3;32.4;26.8;206.1;37.9;34.4
109;Zelfstandige;Totaal personen;H Vervoer en opslag;2008;28.9;25.0;39.0;32.2;38.6;31.6;31.3;27.3;186.4;34.9;40.0;29.4;39.3;31.8;28.6;20.2;31.0;26.8;192.9;30.8;36.7
110;Zelfstandige;Totaal personen;H Vervoer en opslag;2009;28.9;26.0;31.3;26.2;30.9;25.6;25.5;24.2;145.2;26.4;38.3;30.6;31.8;26.3;23.7;17.5;25.6;23.9;144.8;23.0;34.3
111;Zelfstandige;Totaal personen;H Vervoer en opslag;2010;30.8;25.8;32.9;26.9;32.2;26.1;26.5;24.5;125.7;26.2;41.7;30.9;33.6;27.1;24.0;17.8;26.5;24.1;126.0;21.9;37.5
