ID;Geslacht;Leeftijd;TypeMisdrijf;Perioden;RegistratiesVanVerdachten_1;UniekeVerdachtenVanMisdrijven_2
37;Totaal mannen en vrouwen;Totaal;11 Diefstal/verduistering en inbraak;2017;78360;51630
38;Totaal mannen en vrouwen;Totaal;11 Diefstal/verduistering en inbraak;2018;75450;48580
39;Totaal mannen en vrouwen;Totaal;11 Diefstal/verduistering en inbraak;2019;76490;48480
40;Totaal mannen en vrouwen;Totaal;11 Diefstal/verduistering en inbraak;2020;65500;41170
41;Totaal mannen en vrouwen;Totaal;11 Diefstal/verduistering en inbraak;2021;54660;34850
42;Totaal mannen en vrouwen;Totaal;11 Diefstal/verduistering en inbraak;2022;65800;41630
43;Totaal mannen en vrouwen;Totaal;11 Diefstal/verduistering en inbraak;2023;66130;41620
44;Totaal mannen en vrouwen;Totaal;11 Diefstal/verduistering en inbraak;2024;54830;35030
45;Totaal mannen en vrouwen;Totaal;Diefstal van fiets;2010;6160;5110
46;Totaal mannen en vrouwen;Totaal;Diefstal van fiets;2011;5710;4730
47;Totaal mannen en vrouwen;Totaal;Diefstal van fiets;2012;5750;4600
48;Totaal mannen en vrouwen;Totaal;Diefstal van fiets;2013;6250;4940
49;Totaal mannen en vrouwen;Totaal;Diefstal van fiets;2014;6920;5390
50;Totaal mannen en vrouwen;Totaal;Diefstal van fiets;2015;6330;4770
51;Totaal mannen en vrouwen;Totaal;Diefstal van fiets;2016;5480;3990
52;Totaal mannen en vrouwen;Totaal;Diefstal van fiets;2017;4150;3180
53;Totaal mannen en vrouwen;Totaal;Diefstal van fiets;2018;3690;2660
54;Totaal mannen en vrouwen;Totaal;Diefstal van fiets;2019;3330;2450
55;Totaal mannen en vrouwen;Totaal;Diefstal van fiets;2020;2850;2110
56;Totaal mannen en vrouwen;Totaal;Diefstal van fiets;2021;2760;1880
57;Totaal mannen en vrouwen;Totaal;Diefstal van fiets;2022;3110;2100
58;Totaal mannen en vrouwen;Totaal;Diefstal van fiets;2023;3400;2190
59;Totaal mannen en vrouwen;Totaal;Diefstal van fiets;2024;3110;2040
60;Totaal mannen en vrouwen;Totaal;Diefstal van bromfiets/snorfiets;2010;2990;2490
61;Totaal mannen en vrouwen;Totaal;Diefstal van bromfiets/snorfiets;2011;2520;2170
62;Totaal mannen en vrouwen;Totaal;Diefstal van bromfiets/snorfiets;2012;2510;2080
63;Totaal mannen en vrouwen;Totaal;Diefstal van bromfiets/snorfiets;2013;2080;1700
64;Totaal mannen en vrouwen;Totaal;Diefstal van bromfiets/snorfiets;2014;2240;1880
65;Totaal mannen en vrouwen;Totaal;Diefstal van bromfiets/snorfiets;2015;2080;1710
66;Totaal mannen en vrouwen;Totaal;Diefstal van bromfiets/snorfiets;2016;1580;1340
67;Totaal mannen en vrouwen;Totaal;Diefstal van bromfiets/snorfiets;2017;1390;1100
68;Totaal mannen en vrouwen;Totaal;Diefstal van bromfiets/snorfiets;2018;1610;1240
69;Totaal mannen en vrouwen;Totaal;Diefstal van bromfiets/snorfiets;2019;1780;1360
70;Totaal mannen en vrouwen;Totaal;Diefstal van bromfiets/snorfiets;2020;1420;1130
71;Totaal mannen en vrouwen;Totaal;Diefstal van bromfiets/snorfiets;2021;960;770
72;Totaal mannen en vrouwen;Totaal;Diefstal van bromfiets/snorfiets;2022;1150;890
73;Totaal mannen en vrouwen;Totaal;Diefstal van bromfiets/snorfiets;2023;760;610
74;Totaal mannen en vrouwen;Totaal;Diefstal van bromfiets/snorfiets;2024;710;590
75;Totaal mannen en vrouwen;Totaal;Diefstal van motor/scooter;2010;320;280
76;Totaal mannen en vrouwen;Totaal;Diefstal van motor/scooter;2011;320;300
77;Totaal mannen en vrouwen;Totaal;Diefstal van motor/scooter;2012;240;200
78;Totaal mannen en vrouwen;Totaal;Diefstal van motor/scooter;2013;290;210
79;Totaal mannen en vrouwen;Totaal;Diefstal van motor/scooter;2014;250;220
80;Totaal mannen en vrouwen;Totaal;Diefstal van motor/scooter;2015;220;190
81;Totaal mannen en vrouwen;Totaal;Diefstal van motor/scooter;2016;170;160
82;Totaal mannen en vrouwen;Totaal;Diefstal van motor/scooter;2017;160;140
83;Totaal mannen en vrouwen;Totaal;Diefstal van motor/scooter;2018;210;150
84;Totaal mannen en vrouwen;Totaal;Diefstal van motor/scooter;2019;190;150
85;Totaal mannen en vrouwen;Totaal;Diefstal van motor/scooter;2020;160;130
86;Totaal mannen en vrouwen;Totaal;Diefstal van motor/scooter;2021;180;130
87;Totaal mannen en vrouwen;Totaal;Diefstal van motor/scooter;2022;170;110
88;Totaal mannen en vrouwen;Totaal;Diefstal van motor/scooter;2023;180;130
89;Totaal mannen en vrouwen;Totaal;Diefstal van motor/scooter;2024;150;120
90;Totaal mannen en vrouwen;Totaal;Diefstal van personenauto;2010;2360;1970
91;Totaal mannen en vrouwen;Totaal;Diefstal van personenauto;2011;2230;1850
92;Totaal mannen en vrouwen;Totaal;Diefstal van personenauto;2012;1820;1550
93;Totaal mannen en vrouwen;Totaal;Diefstal van personenauto;2013;1720;1400
94;Totaal mannen en vrouwen;Totaal;Diefstal van personenauto;2014;1510;1180
95;Totaal mannen en vrouwen;Totaal;Diefstal van personenauto;2015;1230;1060
96;Totaal mannen en vrouwen;Totaal;Diefstal van personenauto;2016;1150;900
97;Totaal mannen en vrouwen;Totaal;Diefstal van personenauto;2017;880;750
98;Totaal mannen en vrouwen;Totaal;Diefstal van personenauto;2018;750;680
99;Totaal mannen en vrouwen;Totaal;Diefstal van personenauto;2019;750;630
100;Totaal mannen en vrouwen;Totaal;Diefstal van personenauto;2020;750;640
101;Totaal mannen en vrouwen;Totaal;Diefstal van personenauto;2021;580;500
102;Totaal mannen en vrouwen;Totaal;Diefstal van personenauto;2022;620;510
103;Totaal mannen en vrouwen;Totaal;Diefstal van personenauto;2023;710;530
104;Totaal mannen en vrouwen;Totaal;Diefstal van personenauto;2024;500;460
105;Totaal mannen en vrouwen;Totaal;Diefstal van vervoermiddel (overig);2010;640;560
106;Totaal mannen en vrouwen;Totaal;Diefstal van vervoermiddel (overig);2011;580;530
107;Totaal mannen en vrouwen;Totaal;Diefstal van vervoermiddel (overig);2012;470;400
108;Totaal mannen en vrouwen;Totaal;Diefstal van vervoermiddel (overig);2013;670;570
109;Totaal mannen en vrouwen;Totaal;Diefstal van vervoermiddel (overig);2014;620;490
110;Totaal mannen en vrouwen;Totaal;Diefstal van vervoermiddel (overig);2015;450;370
111;Totaal mannen en vrouwen;Totaal;Diefstal van vervoermiddel (overig);2016;380;330
112;Totaal mannen en vrouwen;Totaal;Diefstal van vervoermiddel (overig);2017;390;300
113;Totaal mannen en vrouwen;Totaal;Diefstal van vervoermiddel (overig);2018;310;250
114;Totaal mannen en vrouwen;Totaal;Diefstal van vervoermiddel (overig);2019;280;240
115;Totaal mannen en vrouwen;Totaal;Diefstal van vervoermiddel (overig);2020;300;250
116;Totaal mannen en vrouwen;Totaal;Diefstal van vervoermiddel (overig);2021;330;260
117;Totaal mannen en vrouwen;Totaal;Diefstal van vervoermiddel (overig);2022;270;250
118;Totaal mannen en vrouwen;Totaal;Diefstal van vervoermiddel (overig);2023;270;220
119;Totaal mannen en vrouwen;Totaal;Diefstal van vervoermiddel (overig);2024;300;270
120;Totaal mannen en vrouwen;Totaal;Diefstal van vaartuig;2010;220;200
121;Totaal mannen en vrouwen;Totaal;Diefstal van vaartuig;2011;240;210
122;Totaal mannen en vrouwen;Totaal;Diefstal van vaartuig;2012;210;160
123;Totaal mannen en vrouwen;Totaal;Diefstal van vaartuig;2013;220;180
124;Totaal mannen en vrouwen;Totaal;Diefstal van vaartuig;2014;150;140
125;Totaal mannen en vrouwen;Totaal;Diefstal van vaartuig;2015;130;120
126;Totaal mannen en vrouwen;Totaal;Diefstal van vaartuig;2016;130;110
127;Totaal mannen en vrouwen;Totaal;Diefstal van vaartuig;2017;130;110
128;Totaal mannen en vrouwen;Totaal;Diefstal van vaartuig;2018;130;110
129;Totaal mannen en vrouwen;Totaal;Diefstal van vaartuig;2019;90;80
130;Totaal mannen en vrouwen;Totaal;Diefstal van vaartuig;2020;110;90
131;Totaal mannen en vrouwen;Totaal;Diefstal van vaartuig;2021;80;70
132;Totaal mannen en vrouwen;Totaal;Diefstal van vaartuig;2022;60;50
133;Totaal mannen en vrouwen;Totaal;Diefstal van vaartuig;2023;40;40
134;Totaal mannen en vrouwen;Totaal;Diefstal van vaartuig;2024;40;40
135;Totaal mannen en vrouwen;Totaal;Diefstal uit/vanaf personenauto;2010;4950;3010
136;Totaal mannen en vrouwen;Totaal;Diefstal uit/vanaf personenauto;2011;4660;2960
137;Totaal mannen en vrouwen;Totaal;Diefstal uit/vanaf personenauto;2012;4050;2560
138;Totaal mannen en vrouwen;Totaal;Diefstal uit/vanaf personenauto;2013;4010;2460
139;Totaal mannen en vrouwen;Totaal;Diefstal uit/vanaf personenauto;2014;3300;2070
140;Totaal mannen en vrouwen;Totaal;Diefstal uit/vanaf personenauto;2015;3130;1910
141;Totaal mannen en vrouwen;Totaal;Diefstal uit/vanaf personenauto;2016;3080;1720
142;Totaal mannen en vrouwen;Totaal;Diefstal uit/vanaf personenauto;2017;2390;1480
143;Totaal mannen en vrouwen;Totaal;Diefstal uit/vanaf personenauto;2018;2270;1310
144;Totaal mannen en vrouwen;Totaal;Diefstal uit/vanaf personenauto;2019;2060;1260
145;Totaal mannen en vrouwen;Totaal;Diefstal uit/vanaf personenauto;2020;2110;1180
146;Totaal mannen en vrouwen;Totaal;Diefstal uit/vanaf personenauto;2021;2070;1180
147;Totaal mannen en vrouwen;Totaal;Diefstal uit/vanaf personenauto;2022;1940;1080
148;Totaal mannen en vrouwen;Totaal;Diefstal uit/vanaf personenauto;2023;2060;1130
149;Totaal mannen en vrouwen;Totaal;Diefstal uit/vanaf personenauto;2024;1730;940
150;Totaal mannen en vrouwen;Totaal;Diefstal uit/vanaf vervoermiddel(overig);2010;1040;910
151;Totaal mannen en vrouwen;Totaal;Diefstal uit/vanaf vervoermiddel(overig);2011;1070;960
152;Totaal mannen en vrouwen;Totaal;Diefstal uit/vanaf vervoermiddel(overig);2012;990;880
153;Totaal mannen en vrouwen;Totaal;Diefstal uit/vanaf vervoermiddel(overig);2013;1010;840
154;Totaal mannen en vrouwen;Totaal;Diefstal uit/vanaf vervoermiddel(overig);2014;1070;840
155;Totaal mannen en vrouwen;Totaal;Diefstal uit/vanaf vervoermiddel(overig);2015;800;660
156;Totaal mannen en vrouwen;Totaal;Diefstal uit/vanaf vervoermiddel(overig);2016;750;600
157;Totaal mannen en vrouwen;Totaal;Diefstal uit/vanaf vervoermiddel(overig);2017;730;560
158;Totaal mannen en vrouwen;Totaal;Diefstal uit/vanaf vervoermiddel(overig);2018;790;520
159;Totaal mannen en vrouwen;Totaal;Diefstal uit/vanaf vervoermiddel(overig);2019;850;560
160;Totaal mannen en vrouwen;Totaal;Diefstal uit/vanaf vervoermiddel(overig);2020;700;540
161;Totaal mannen en vrouwen;Totaal;Diefstal uit/vanaf vervoermiddel(overig);2021;670;520
162;Totaal mannen en vrouwen;Totaal;Diefstal uit/vanaf vervoermiddel(overig);2022;690;530
163;Totaal mannen en vrouwen;Totaal;Diefstal uit/vanaf vervoermiddel(overig);2023;700;550
164;Totaal mannen en vrouwen;Totaal;Diefstal uit/vanaf vervoermiddel(overig);2024;800;630
165;Totaal mannen en vrouwen;Totaal;Diefstal uit/vanaf vaartuig;2010;280;220
166;Totaal mannen en vrouwen;Totaal;Diefstal uit/vanaf vaartuig;2011;220;190
167;Totaal mannen en vrouwen;Totaal;Diefstal uit/vanaf vaartuig;2012;290;200
168;Totaal mannen en vrouwen;Totaal;Diefstal uit/vanaf vaartuig;2013;220;170
169;Totaal mannen en vrouwen;Totaal;Diefstal uit/vanaf vaartuig;2014;180;120
170;Totaal mannen en vrouwen;Totaal;Diefstal uit/vanaf vaartuig;2015;140;110
171;Totaal mannen en vrouwen;Totaal;Diefstal uit/vanaf vaartuig;2016;170;120
172;Totaal mannen en vrouwen;Totaal;Diefstal uit/vanaf vaartuig;2017;100;80
173;Totaal mannen en vrouwen;Totaal;Diefstal uit/vanaf vaartuig;2018;140;90
174;Totaal mannen en vrouwen;Totaal;Diefstal uit/vanaf vaartuig;2019;140;80
175;Totaal mannen en vrouwen;Totaal;Diefstal uit/vanaf vaartuig;2020;140;100
176;Totaal mannen en vrouwen;Totaal;Diefstal uit/vanaf vaartuig;2021;110;50
177;Totaal mannen en vrouwen;Totaal;Diefstal uit/vanaf vaartuig;2022;70;50
178;Totaal mannen en vrouwen;Totaal;Diefstal uit/vanaf vaartuig;2023;60;50
179;Totaal mannen en vrouwen;Totaal;Diefstal uit/vanaf vaartuig;2024;60;30
180;Totaal mannen en vrouwen;Totaal;Diefstal van dier;2010;0;0
181;Totaal mannen en vrouwen;Totaal;Diefstal van dier;2011;0;0
182;Totaal mannen en vrouwen;Totaal;Diefstal van dier;2012;0;0
183;Totaal mannen en vrouwen;Totaal;Diefstal van dier;2013;0;0
184;Totaal mannen en vrouwen;Totaal;Diefstal van dier;2014;0;0
185;Totaal mannen en vrouwen;Totaal;Diefstal van dier;2015;0;0
186;Totaal mannen en vrouwen;Totaal;Diefstal van dier;2016;0;0
187;Totaal mannen en vrouwen;Totaal;Diefstal van dier;2017;0;0
188;Totaal mannen en vrouwen;Totaal;Diefstal van dier;2018;0;0
189;Totaal mannen en vrouwen;Totaal;Diefstal van dier;2019;0;0
190;Totaal mannen en vrouwen;Totaal;Diefstal van dier;2020;0;0
191;Totaal mannen en vrouwen;Totaal;Diefstal van dier;2021;0;0
192;Totaal mannen en vrouwen;Totaal;Diefstal van dier;2022;0;0
193;Totaal mannen en vrouwen;Totaal;Diefstal van dier;2023;0;0
194;Totaal mannen en vrouwen;Totaal;Diefstal van dier;2024;0;0
195;Totaal mannen en vrouwen;Totaal;Straatroof;2010;3970;3290
196;Totaal mannen en vrouwen;Totaal;Straatroof;2011;4090;3450
197;Totaal mannen en vrouwen;Totaal;Straatroof;2012;3920;3270
198;Totaal mannen en vrouwen;Totaal;Straatroof;2013;3300;2770
199;Totaal mannen en vrouwen;Totaal;Straatroof;2014;2450;2030
200;Totaal mannen en vrouwen;Totaal;Straatroof;2015;2180;1800
201;Totaal mannen en vrouwen;Totaal;Straatroof;2016;1830;1550
202;Totaal mannen en vrouwen;Totaal;Straatroof;2017;1620;1360
203;Totaal mannen en vrouwen;Totaal;Straatroof;2018;1740;1420
204;Totaal mannen en vrouwen;Totaal;Straatroof;2019;2080;1670
205;Totaal mannen en vrouwen;Totaal;Straatroof;2020;1910;1520
206;Totaal mannen en vrouwen;Totaal;Straatroof;2021;1520;1200
207;Totaal mannen en vrouwen;Totaal;Straatroof;2022;1570;1320
208;Totaal mannen en vrouwen;Totaal;Straatroof;2023;1520;1270
209;Totaal mannen en vrouwen;Totaal;Straatroof;2024;1600;1350
210;Totaal mannen en vrouwen;Totaal;Zakkenrollerij;2010;1530;1210
211;Totaal mannen en vrouwen;Totaal;Zakkenrollerij;2011;1510;1190
212;Totaal mannen en vrouwen;Totaal;Zakkenrollerij;2012;1540;1170
213;Totaal mannen en vrouwen;Totaal;Zakkenrollerij;2013;2040;1470
214;Totaal mannen en vrouwen;Totaal;Zakkenrollerij;2014;1390;990
215;Totaal mannen en vrouwen;Totaal;Zakkenrollerij;2015;1340;990
216;Totaal mannen en vrouwen;Totaal;Zakkenrollerij;2016;1180;930
217;Totaal mannen en vrouwen;Totaal;Zakkenrollerij;2017;1160;900
218;Totaal mannen en vrouwen;Totaal;Zakkenrollerij;2018;1130;840
219;Totaal mannen en vrouwen;Totaal;Zakkenrollerij;2019;1100;800
220;Totaal mannen en vrouwen;Totaal;Zakkenrollerij;2020;600;470
221;Totaal mannen en vrouwen;Totaal;Zakkenrollerij;2021;440;350
222;Totaal mannen en vrouwen;Totaal;Zakkenrollerij;2022;1020;740
223;Totaal mannen en vrouwen;Totaal;Zakkenrollerij;2023;1030;760
224;Totaal mannen en vrouwen;Totaal;Zakkenrollerij;2024;650;490
225;Totaal mannen en vrouwen;Totaal;Totaal diefstal uit woning/schuur/e.d.;2010;12690;8930
226;Totaal mannen en vrouwen;Totaal;Totaal diefstal uit woning/schuur/e.d.;2011;13670;9240
227;Totaal mannen en vrouwen;Totaal;Totaal diefstal uit woning/schuur/e.d.;2012;13780;9340
228;Totaal mannen en vrouwen;Totaal;Totaal diefstal uit woning/schuur/e.d.;2013;13980;9180
229;Totaal mannen en vrouwen;Totaal;Totaal diefstal uit woning/schuur/e.d.;2014;10750;7420
230;Totaal mannen en vrouwen;Totaal;Totaal diefstal uit woning/schuur/e.d.;2015;10340;6690
231;Totaal mannen en vrouwen;Totaal;Totaal diefstal uit woning/schuur/e.d.;2016;8300;5550
232;Totaal mannen en vrouwen;Totaal;Totaal diefstal uit woning/schuur/e.d.;2017;7480;4800
233;Totaal mannen en vrouwen;Totaal;Totaal diefstal uit woning/schuur/e.d.;2018;6400;4250
234;Totaal mannen en vrouwen;Totaal;Totaal diefstal uit woning/schuur/e.d.;2019;5700;3750
235;Totaal mannen en vrouwen;Totaal;Totaal diefstal uit woning/schuur/e.d.;2020;5040;3340
236;Totaal mannen en vrouwen;Totaal;Totaal diefstal uit woning/schuur/e.d.;2021;4040;2700
237;Totaal mannen en vrouwen;Totaal;Totaal diefstal uit woning/schuur/e.d.;2022;3870;2640
238;Totaal mannen en vrouwen;Totaal;Totaal diefstal uit woning/schuur/e.d.;2023;3660;2490
239;Totaal mannen en vrouwen;Totaal;Totaal diefstal uit woning/schuur/e.d.;2024;3130;2260
240;Totaal mannen en vrouwen;Totaal;Diefstal/inbraak uit woning;2010;11190;8020
241;Totaal mannen en vrouwen;Totaal;Diefstal/inbraak uit woning;2011;12200;8330
242;Totaal mannen en vrouwen;Totaal;Diefstal/inbraak uit woning;2012;12330;8390
243;Totaal mannen en vrouwen;Totaal;Diefstal/inbraak uit woning;2013;12240;8100
244;Totaal mannen en vrouwen;Totaal;Diefstal/inbraak uit woning;2014;9260;6530
245;Totaal mannen en vrouwen;Totaal;Diefstal/inbraak uit woning;2015;8930;5840
246;Totaal mannen en vrouwen;Totaal;Diefstal/inbraak uit woning;2016;7160;4800
247;Totaal mannen en vrouwen;Totaal;Diefstal/inbraak uit woning;2017;6410;4150
248;Totaal mannen en vrouwen;Totaal;Diefstal/inbraak uit woning;2018;5510;3680
249;Totaal mannen en vrouwen;Totaal;Diefstal/inbraak uit woning;2019;4740;3250
250;Totaal mannen en vrouwen;Totaal;Diefstal/inbraak uit woning;2020;3950;2760
251;Totaal mannen en vrouwen;Totaal;Diefstal/inbraak uit woning;2021;3010;2170
252;Totaal mannen en vrouwen;Totaal;Diefstal/inbraak uit woning;2022;3090;2190
253;Totaal mannen en vrouwen;Totaal;Diefstal/inbraak uit woning;2023;2970;2060
254;Totaal mannen en vrouwen;Totaal;Diefstal/inbraak uit woning;2024;2500;1880
255;Totaal mannen en vrouwen;Totaal;Diefstal/inbraak uit schuur/garage/e.d.;2010;1490;1130
256;Totaal mannen en vrouwen;Totaal;Diefstal/inbraak uit schuur/garage/e.d.;2011;1470;1160
257;Totaal mannen en vrouwen;Totaal;Diefstal/inbraak uit schuur/garage/e.d.;2012;1450;1170
258;Totaal mannen en vrouwen;Totaal;Diefstal/inbraak uit schuur/garage/e.d.;2013;1730;1340
259;Totaal mannen en vrouwen;Totaal;Diefstal/inbraak uit schuur/garage/e.d.;2014;1480;1130
260;Totaal mannen en vrouwen;Totaal;Diefstal/inbraak uit schuur/garage/e.d.;2015;1410;1050
261;Totaal mannen en vrouwen;Totaal;Diefstal/inbraak uit schuur/garage/e.d.;2016;1130;900
262;Totaal mannen en vrouwen;Totaal;Diefstal/inbraak uit schuur/garage/e.d.;2017;1070;790
263;Totaal mannen en vrouwen;Totaal;Diefstal/inbraak uit schuur/garage/e.d.;2018;890;680
264;Totaal mannen en vrouwen;Totaal;Diefstal/inbraak uit schuur/garage/e.d.;2019;960;620
265;Totaal mannen en vrouwen;Totaal;Diefstal/inbraak uit schuur/garage/e.d.;2020;1090;720
266;Totaal mannen en vrouwen;Totaal;Diefstal/inbraak uit schuur/garage/e.d.;2021;1040;650
267;Totaal mannen en vrouwen;Totaal;Diefstal/inbraak uit schuur/garage/e.d.;2022;780;550
268;Totaal mannen en vrouwen;Totaal;Diefstal/inbraak uit schuur/garage/e.d.;2023;690;540
269;Totaal mannen en vrouwen;Totaal;Diefstal/inbraak uit schuur/garage/e.d.;2024;620;460
270;Totaal mannen en vrouwen;Totaal;Winkeldiefstal;2010;41760;30990
271;Totaal mannen en vrouwen;Totaal;Winkeldiefstal;2011;42190;31040
272;Totaal mannen en vrouwen;Totaal;Winkeldiefstal;2012;41170;30370
273;Totaal mannen en vrouwen;Totaal;Winkeldiefstal;2013;42120;30590
274;Totaal mannen en vrouwen;Totaal;Winkeldiefstal;2014;40530;29530
275;Totaal mannen en vrouwen;Totaal;Winkeldiefstal;2015;38760;28450
276;Totaal mannen en vrouwen;Totaal;Winkeldiefstal;2016;37530;27920
277;Totaal mannen en vrouwen;Totaal;Winkeldiefstal;2017;36390;27090
278;Totaal mannen en vrouwen;Totaal;Winkeldiefstal;2018;36610;26610
279;Totaal mannen en vrouwen;Totaal;Winkeldiefstal;2019;38480;27500
280;Totaal mannen en vrouwen;Totaal;Winkeldiefstal;2020;32570;22970
281;Totaal mannen en vrouwen;Totaal;Winkeldiefstal;2021;27190;19880
282;Totaal mannen en vrouwen;Totaal;Winkeldiefstal;2022;36980;26690
283;Totaal mannen en vrouwen;Totaal;Winkeldiefstal;2023;38840;28110
284;Totaal mannen en vrouwen;Totaal;Winkeldiefstal;2024;31290;22500
285;Totaal mannen en vrouwen;Totaal;Diefstal/inbraak uit winkel/bedrijf/e.d.;2010;6210;5020
286;Totaal mannen en vrouwen;Totaal;Diefstal/inbraak uit winkel/bedrijf/e.d.;2011;5850;4590
287;Totaal mannen en vrouwen;Totaal;Diefstal/inbraak uit winkel/bedrijf/e.d.;2012;5800;4680
288;Totaal mannen en vrouwen;Totaal;Diefstal/inbraak uit winkel/bedrijf/e.d.;2013;6350;5020
289;Totaal mannen en vrouwen;Totaal;Diefstal/inbraak uit winkel/bedrijf/e.d.;2014;5430;4270
290;Totaal mannen en vrouwen;Totaal;Diefstal/inbraak uit winkel/bedrijf/e.d.;2015;5890;4660
291;Totaal mannen en vrouwen;Totaal;Diefstal/inbraak uit winkel/bedrijf/e.d.;2016;5280;4120
292;Totaal mannen en vrouwen;Totaal;Diefstal/inbraak uit winkel/bedrijf/e.d.;2017;4870;3820
293;Totaal mannen en vrouwen;Totaal;Diefstal/inbraak uit winkel/bedrijf/e.d.;2018;4440;3490
294;Totaal mannen en vrouwen;Totaal;Diefstal/inbraak uit winkel/bedrijf/e.d.;2019;4440;3380
295;Totaal mannen en vrouwen;Totaal;Diefstal/inbraak uit winkel/bedrijf/e.d.;2020;3770;2810
296;Totaal mannen en vrouwen;Totaal;Diefstal/inbraak uit winkel/bedrijf/e.d.;2021;2980;2220
297;Totaal mannen en vrouwen;Totaal;Diefstal/inbraak uit winkel/bedrijf/e.d.;2022;3470;2620
298;Totaal mannen en vrouwen;Totaal;Diefstal/inbraak uit winkel/bedrijf/e.d.;2023;3340;2510
299;Totaal mannen en vrouwen;Totaal;Diefstal/inbraak uit winkel/bedrijf/e.d.;2024;3000;2340
300;Totaal mannen en vrouwen;Totaal;Diefstal/inbraak uit hotel/pension;2010;100;90
301;Totaal mannen en vrouwen;Totaal;Diefstal/inbraak uit hotel/pension;2011;140;140
302;Totaal mannen en vrouwen;Totaal;Diefstal/inbraak uit hotel/pension;2012;160;150
303;Totaal mannen en vrouwen;Totaal;Diefstal/inbraak uit hotel/pension;2013;130;110
304;Totaal mannen en vrouwen;Totaal;Diefstal/inbraak uit hotel/pension;2014;150;110
305;Totaal mannen en vrouwen;Totaal;Diefstal/inbraak uit hotel/pension;2015;130;110
306;Totaal mannen en vrouwen;Totaal;Diefstal/inbraak uit hotel/pension;2016;100;90
307;Totaal mannen en vrouwen;Totaal;Diefstal/inbraak uit hotel/pension;2017;110;110
308;Totaal mannen en vrouwen;Totaal;Diefstal/inbraak uit hotel/pension;2018;150;130
309;Totaal mannen en vrouwen;Totaal;Diefstal/inbraak uit hotel/pension;2019;140;130
310;Totaal mannen en vrouwen;Totaal;Diefstal/inbraak uit hotel/pension;2020;90;90
311;Totaal mannen en vrouwen;Totaal;Diefstal/inbraak uit hotel/pension;2021;90;80
