ID;Geslacht;PositieInDeWerkkring;Persoonskenmerken;Perioden;Totaal_1;RegelmatigOfSomsOverwerken_2;RegelmatigOverwerken_3;SomsOverwerken_4;NietOverwerken_5;Onbekend_6;GemiddeldAantalOverwerkuren_7
34;Totaal mannen en vrouwen;Totaal;Arbeidsduur: deeltijd;2023;4116;2605;675;1929;1350;161;1.1
35;Totaal mannen en vrouwen;Totaal;Arbeidsduur: deeltijd;2024;4134;2587;628;1959;1381;166;1.0
36;Totaal mannen en vrouwen;Totaal;Arbeidsduur: minder dan 12 uur per week;2022;680;319;73;246;315;47;0.9
37;Totaal mannen en vrouwen;Totaal;Arbeidsduur: minder dan 12 uur per week;2023;689;333;71;262;310;45;0.9
38;Totaal mannen en vrouwen;Totaal;Arbeidsduur: minder dan 12 uur per week;2024;690;328;71;257;318;44;0.9
39;Totaal mannen en vrouwen;Totaal;Arbeidsduur: minder dan 20 uur per week;2022;1346;702;175;527;562;81;1.0
40;Totaal mannen en vrouwen;Totaal;Arbeidsduur: minder dan 20 uur per week;2023;1351;714;160;554;556;80;1.0
41;Totaal mannen en vrouwen;Totaal;Arbeidsduur: minder dan 20 uur per week;2024;1345;702;165;536;561;82;1.0
42;Totaal mannen en vrouwen;Totaal;Arbeidsduur: 12 tot 20 uur per week;2022;665;383;101;281;248;35;1.1
43;Totaal mannen en vrouwen;Totaal;Arbeidsduur: 12 tot 20 uur per week;2023;662;381;89;292;246;35;1.1
44;Totaal mannen en vrouwen;Totaal;Arbeidsduur: 12 tot 20 uur per week;2024;655;374;95;279;243;38;1.0
45;Totaal mannen en vrouwen;Totaal;Arbeidsduur: 20 tot 35 uur per week;2022;2675;1827;543;1285;763;85;1.1
46;Totaal mannen en vrouwen;Totaal;Arbeidsduur: 20 tot 35 uur per week;2023;2765;1890;515;1376;794;80;1.1
47;Totaal mannen en vrouwen;Totaal;Arbeidsduur: 20 tot 35 uur per week;2024;2790;1885;463;1422;821;84;1.0
48;Totaal mannen en vrouwen;Totaal;Arbeidsduur: voltijd;2022;3989;2950;1097;1854;921;117;1.6
49;Totaal mannen en vrouwen;Totaal;Arbeidsduur: voltijd;2023;4036;2940;1066;1874;986;110;1.5
50;Totaal mannen en vrouwen;Totaal;Arbeidsduur: voltijd;2024;4048;2902;991;1911;1034;113;1.5
51;Totaal mannen en vrouwen;Totaal;01 Pedagogische beroepen;2022;635;442;185;256;169;24;1.6
52;Totaal mannen en vrouwen;Totaal;01 Pedagogische beroepen;2023;628;451;189;262;158;19;1.5
53;Totaal mannen en vrouwen;Totaal;01 Pedagogische beroepen;2024;625;447;175;273;160;19;1.5
54;Totaal mannen en vrouwen;Totaal;02 Creatieve en taalkundige beroepen;2022;112;79;22;57;29;4;1.2
55;Totaal mannen en vrouwen;Totaal;02 Creatieve en taalkundige beroepen;2023;108;75;20;55;28;5;1.2
56;Totaal mannen en vrouwen;Totaal;02 Creatieve en taalkundige beroepen;2024;103;71;16;55;28;4;1.2
57;Totaal mannen en vrouwen;Totaal;03 Commerciële beroepen;2022;933;631;181;450;270;32;1.3
58;Totaal mannen en vrouwen;Totaal;03 Commerciële beroepen;2023;946;641;169;472;279;27;1.2
59;Totaal mannen en vrouwen;Totaal;03 Commerciële beroepen;2024;936;618;156;462;290;28;1.2
60;Totaal mannen en vrouwen;Totaal;04 Bedrijfseconomische en administrat...;2022;1606;1091;317;774;464;51;1.2
61;Totaal mannen en vrouwen;Totaal;04 Bedrijfseconomische en administrat...;2023;1583;1039;274;765;493;51;1.1
62;Totaal mannen en vrouwen;Totaal;04 Bedrijfseconomische en administrat...;2024;1587;1020;252;768;520;46;1.0
63;Totaal mannen en vrouwen;Totaal;05 Managers;2022;374;327;165;162;38;9;2.7
64;Totaal mannen en vrouwen;Totaal;05 Managers;2023;403;352;188;164;44;7;2.5
65;Totaal mannen en vrouwen;Totaal;05 Managers;2024;442;381;180;201;50;11;2.3
66;Totaal mannen en vrouwen;Totaal;06 Openbaar bestuur, veiligheid en ju...;2022;292;207;76;131;78;7;1.6
67;Totaal mannen en vrouwen;Totaal;06 Openbaar bestuur, veiligheid en ju...;2023;304;225;80;145;74;5;1.5
68;Totaal mannen en vrouwen;Totaal;06 Openbaar bestuur, veiligheid en ju...;2024;296;209;67;141;82;6;1.4
69;Totaal mannen en vrouwen;Totaal;07 Technische beroepen;2022;1042;681;180;501;329;32;1.1
70;Totaal mannen en vrouwen;Totaal;07 Technische beroepen;2023;1068;695;182;513;342;32;1.1
71;Totaal mannen en vrouwen;Totaal;07 Technische beroepen;2024;1104;700;183;517;368;36;1.1
72;Totaal mannen en vrouwen;Totaal;08 ICT beroepen;2022;452;291;70;221;149;12;1.0
73;Totaal mannen en vrouwen;Totaal;08 ICT beroepen;2023;438;268;59;209;156;14;0.9
74;Totaal mannen en vrouwen;Totaal;08 ICT beroepen;2024;462;287;57;230;167;9;0.9
75;Totaal mannen en vrouwen;Totaal;09 Agrarische beroepen;2022;92;51;13;38;33;8;1.3
76;Totaal mannen en vrouwen;Totaal;09 Agrarische beroepen;2023;94;50;13;37;37;7;1.3
77;Totaal mannen en vrouwen;Totaal;09 Agrarische beroepen;2024;87;45;13;33;30;12;1.3
78;Totaal mannen en vrouwen;Totaal;10 Zorg en welzijn beroepen;2022;1149;870;327;543;236;43;1.5
79;Totaal mannen en vrouwen;Totaal;10 Zorg en welzijn beroepen;2023;1220;928;308;619;257;36;1.4
80;Totaal mannen en vrouwen;Totaal;10 Zorg en welzijn beroepen;2024;1218;919;279;641;262;37;1.3
81;Totaal mannen en vrouwen;Totaal;11 Dienstverlenende beroepen;2022;648;373;109;264;241;33;1.2
82;Totaal mannen en vrouwen;Totaal;11 Dienstverlenende beroepen;2023;674;390;105;285;251;33;1.1
83;Totaal mannen en vrouwen;Totaal;11 Dienstverlenende beroepen;2024;701;397;98;300;264;40;1.0
84;Totaal mannen en vrouwen;Totaal;12 Transport en logistiek beroepen;2022;594;396;158;238;181;17;1.8
85;Totaal mannen en vrouwen;Totaal;12 Transport en logistiek beroepen;2023;597;393;148;245;187;17;1.8
86;Totaal mannen en vrouwen;Totaal;12 Transport en logistiek beroepen;2024;569;372;139;233;177;20;1.7
87;Totaal mannen en vrouwen;Totaal;13 Beroepsklasse overig;2022;80;41;12;29;27;12;1.1
88;Totaal mannen en vrouwen;Totaal;13 Beroepsklasse overig;2023;88;39;8;31;33;16;1.2
89;Totaal mannen en vrouwen;Totaal;13 Beroepsklasse overig;2024;51;22;6;16;18;12;
90;Totaal mannen en vrouwen;Werknemer met vaste arbeidsrelatie;Totaal personen;2022;5318;3994;1404;2590;1236;88;1.5
91;Totaal mannen en vrouwen;Werknemer met vaste arbeidsrelatie;Totaal personen;2023;5416;4025;1356;2669;1305;86;1.4
92;Totaal mannen en vrouwen;Werknemer met vaste arbeidsrelatie;Totaal personen;2024;5500;4013;1253;2761;1397;90;1.3
93;Totaal mannen en vrouwen;Werknemer met vaste arbeidsrelatie;Leeftijd: 15 tot 25 jaar;2022;274;206;71;135;63;5;1.5
94;Totaal mannen en vrouwen;Werknemer met vaste arbeidsrelatie;Leeftijd: 15 tot 25 jaar;2023;282;209;72;138;64;8;1.4
95;Totaal mannen en vrouwen;Werknemer met vaste arbeidsrelatie;Leeftijd: 15 tot 25 jaar;2024;278;204;65;139;63;11;1.5
96;Totaal mannen en vrouwen;Werknemer met vaste arbeidsrelatie;Leeftijd: 25 tot 35 jaar;2022;1137;875;296;578;249;13;1.4
97;Totaal mannen en vrouwen;Werknemer met vaste arbeidsrelatie;Leeftijd: 25 tot 35 jaar;2023;1147;867;279;587;265;15;1.4
98;Totaal mannen en vrouwen;Werknemer met vaste arbeidsrelatie;Leeftijd: 25 tot 35 jaar;2024;1203;890;256;634;293;20;1.2
99;Totaal mannen en vrouwen;Werknemer met vaste arbeidsrelatie;Leeftijd: 35 tot 45 jaar;2022;1220;931;327;604;268;21;1.4
100;Totaal mannen en vrouwen;Werknemer met vaste arbeidsrelatie;Leeftijd: 35 tot 45 jaar;2023;1238;948;303;644;273;17;1.4
101;Totaal mannen en vrouwen;Werknemer met vaste arbeidsrelatie;Leeftijd: 35 tot 45 jaar;2024;1265;945;284;661;303;18;1.3
102;Totaal mannen en vrouwen;Werknemer met vaste arbeidsrelatie;Leeftijd: 45 tot 55 jaar;2022;1364;1059;394;665;281;24;1.6
103;Totaal mannen en vrouwen;Werknemer met vaste arbeidsrelatie;Leeftijd: 45 tot 55 jaar;2023;1347;1030;384;646;294;23;1.5
104;Totaal mannen en vrouwen;Werknemer met vaste arbeidsrelatie;Leeftijd: 45 tot 55 jaar;2024;1314;1002;344;658;292;20;1.5
105;Totaal mannen en vrouwen;Werknemer met vaste arbeidsrelatie;Leeftijd: 55 tot 65 jaar;2022;1226;869;298;571;333;23;1.4
106;Totaal mannen en vrouwen;Werknemer met vaste arbeidsrelatie;Leeftijd: 55 tot 65 jaar;2023;1274;898;295;602;356;20;1.4
107;Totaal mannen en vrouwen;Werknemer met vaste arbeidsrelatie;Leeftijd: 55 tot 65 jaar;2024;1303;892;278;615;392;19;1.3
108;Totaal mannen en vrouwen;Werknemer met vaste arbeidsrelatie;Leeftijd: 65 tot 75 jaar;2022;96;53;17;36;42;1;1.0
109;Totaal mannen en vrouwen;Werknemer met vaste arbeidsrelatie;Leeftijd: 65 tot 75 jaar;2023;128;74;22;52;51;3;1.1
110;Totaal mannen en vrouwen;Werknemer met vaste arbeidsrelatie;Leeftijd: 65 tot 75 jaar;2024;136;80;26;54;54;3;1.0
111;Totaal mannen en vrouwen;Werknemer met vaste arbeidsrelatie;1 Basisonderwijs, vmbo, mbo1;2022;792;502;153;349;270;20;1.3
112;Totaal mannen en vrouwen;Werknemer met vaste arbeidsrelatie;1 Basisonderwijs, vmbo, mbo1;2023;837;519;142;377;297;20;1.2
113;Totaal mannen en vrouwen;Werknemer met vaste arbeidsrelatie;1 Basisonderwijs, vmbo, mbo1;2024;848;511;141;370;307;30;1.2
114;Totaal mannen en vrouwen;Werknemer met vaste arbeidsrelatie;2 Havo, vwo, mbo2-4;2022;2031;1516;505;1011;482;34;1.4
115;Totaal mannen en vrouwen;Werknemer met vaste arbeidsrelatie;2 Havo, vwo, mbo2-4;2023;2074;1530;489;1041;509;36;1.4
116;Totaal mannen en vrouwen;Werknemer met vaste arbeidsrelatie;2 Havo, vwo, mbo2-4;2024;2072;1505;434;1071;533;34;1.3
117;Totaal mannen en vrouwen;Werknemer met vaste arbeidsrelatie;3 Hbo, wo;2022;2469;1961;742;1219;475;32;1.6
118;Totaal mannen en vrouwen;Werknemer met vaste arbeidsrelatie;3 Hbo, wo;2023;2484;1967;723;1244;489;28;1.5
119;Totaal mannen en vrouwen;Werknemer met vaste arbeidsrelatie;3 Hbo, wo;2024;2554;1983;675;1308;546;25;1.4
120;Totaal mannen en vrouwen;Werknemer met vaste arbeidsrelatie;Onderwijsniveau: weet niet of onbekend;2022;26;15;4;11;9;2;
121;Totaal mannen en vrouwen;Werknemer met vaste arbeidsrelatie;Onderwijsniveau: weet niet of onbekend;2023;21;9;2;7;10;2;
122;Totaal mannen en vrouwen;Werknemer met vaste arbeidsrelatie;Onderwijsniveau: weet niet of onbekend;2024;25;14;2;11;11;1;
123;Totaal mannen en vrouwen;Werknemer met vaste arbeidsrelatie;Arbeidsduur: deeltijd;2022;2262;1622;493;1129;600;40;1.1
124;Totaal mannen en vrouwen;Werknemer met vaste arbeidsrelatie;Arbeidsduur: deeltijd;2023;2309;1647;462;1185;620;43;1.1
125;Totaal mannen en vrouwen;Werknemer met vaste arbeidsrelatie;Arbeidsduur: deeltijd;2024;2339;1637;422;1214;661;42;1.0
126;Totaal mannen en vrouwen;Werknemer met vaste arbeidsrelatie;Arbeidsduur: minder dan 12 uur per week;2022;112;60;17;43;47;5;1.1
127;Totaal mannen en vrouwen;Werknemer met vaste arbeidsrelatie;Arbeidsduur: minder dan 12 uur per week;2023;109;63;16;48;40;6;1.2
128;Totaal mannen en vrouwen;Werknemer met vaste arbeidsrelatie;Arbeidsduur: minder dan 12 uur per week;2024;102;55;17;38;41;6;1.0
129;Totaal mannen en vrouwen;Werknemer met vaste arbeidsrelatie;Arbeidsduur: minder dan 20 uur per week;2022;375;237;68;168;128;11;1.2
130;Totaal mannen en vrouwen;Werknemer met vaste arbeidsrelatie;Arbeidsduur: minder dan 20 uur per week;2023;374;239;61;177;120;16;1.1
131;Totaal mannen en vrouwen;Werknemer met vaste arbeidsrelatie;Arbeidsduur: minder dan 20 uur per week;2024;354;220;60;160;120;14;1.1
132;Totaal mannen en vrouwen;Werknemer met vaste arbeidsrelatie;Arbeidsduur: 12 tot 20 uur per week;2022;263;176;51;125;81;6;1.2
133;Totaal mannen en vrouwen;Werknemer met vaste arbeidsrelatie;Arbeidsduur: 12 tot 20 uur per week;2023;265;175;46;130;80;10;1.1
134;Totaal mannen en vrouwen;Werknemer met vaste arbeidsrelatie;Arbeidsduur: 12 tot 20 uur per week;2024;252;165;43;121;79;9;1.1
135;Totaal mannen en vrouwen;Werknemer met vaste arbeidsrelatie;Arbeidsduur: 20 tot 35 uur per week;2022;1887;1385;425;961;473;29;1.1
136;Totaal mannen en vrouwen;Werknemer met vaste arbeidsrelatie;Arbeidsduur: 20 tot 35 uur per week;2023;1935;1408;400;1008;500;27;1.1
137;Totaal mannen en vrouwen;Werknemer met vaste arbeidsrelatie;Arbeidsduur: 20 tot 35 uur per week;2024;1985;1417;362;1054;541;28;1.0
138;Totaal mannen en vrouwen;Werknemer met vaste arbeidsrelatie;Arbeidsduur: voltijd;2022;3056;2372;911;1461;636;48;1.7
139;Totaal mannen en vrouwen;Werknemer met vaste arbeidsrelatie;Arbeidsduur: voltijd;2023;3107;2378;894;1484;685;44;1.6
140;Totaal mannen en vrouwen;Werknemer met vaste arbeidsrelatie;Arbeidsduur: voltijd;2024;3161;2377;830;1547;736;48;1.5
141;Totaal mannen en vrouwen;Werknemer met vaste arbeidsrelatie;01 Pedagogische beroepen;2022;421;329;150;179;82;9;1.8
142;Totaal mannen en vrouwen;Werknemer met vaste arbeidsrelatie;01 Pedagogische beroepen;2023;419;334;152;182;78;6;1.8
143;Totaal mannen en vrouwen;Werknemer met vaste arbeidsrelatie;01 Pedagogische beroepen;2024;424;336;139;197;83;5;1.7
144;Totaal mannen en vrouwen;Werknemer met vaste arbeidsrelatie;02 Creatieve en taalkundige beroepen;2022;74;58;16;42;16;1;1.2
145;Totaal mannen en vrouwen;Werknemer met vaste arbeidsrelatie;02 Creatieve en taalkundige beroepen;2023;72;54;14;40;18;0;1.2
146;Totaal mannen en vrouwen;Werknemer met vaste arbeidsrelatie;02 Creatieve en taalkundige beroepen;2024;68;50;11;39;18;0;1.2
147;Totaal mannen en vrouwen;Werknemer met vaste arbeidsrelatie;03 Commerciële beroepen;2022;544;403;125;278;133;8;1.3
148;Totaal mannen en vrouwen;Werknemer met vaste arbeidsrelatie;03 Commerciële beroepen;2023;540;397;113;284;134;8;1.3
149;Totaal mannen en vrouwen;Werknemer met vaste arbeidsrelatie;03 Commerciële beroepen;2024;536;389;103;286;137;10;1.3
150;Totaal mannen en vrouwen;Werknemer met vaste arbeidsrelatie;04 Bedrijfseconomische en administrat...;2022;1183;867;267;600;292;24;1.2
151;Totaal mannen en vrouwen;Werknemer met vaste arbeidsrelatie;04 Bedrijfseconomische en administrat...;2023;1184;838;234;604;323;23;1.1
152;Totaal mannen en vrouwen;Werknemer met vaste arbeidsrelatie;04 Bedrijfseconomische en administrat...;2024;1212;828;216;612;362;23;1.0
153;Totaal mannen en vrouwen;Werknemer met vaste arbeidsrelatie;05 Managers;2022;333;298;153;145;30;5;2.8
154;Totaal mannen en vrouwen;Werknemer met vaste arbeidsrelatie;05 Managers;2023;359;319;173;147;36;5;2.5
155;Totaal mannen en vrouwen;Werknemer met vaste arbeidsrelatie;05 Managers;2024;394;346;165;180;42;6;2.4
156;Totaal mannen en vrouwen;Werknemer met vaste arbeidsrelatie;06 Openbaar bestuur, veiligheid en ju...;2022;221;168;62;106;50;3;1.6
157;Totaal mannen en vrouwen;Werknemer met vaste arbeidsrelatie;06 Openbaar bestuur, veiligheid en ju...;2023;240;188;69;120;50;2;1.6
158;Totaal mannen en vrouwen;Werknemer met vaste arbeidsrelatie;06 Openbaar bestuur, veiligheid en ju...;2024;229;172;58;114;56;1;1.5
159;Totaal mannen en vrouwen;Werknemer met vaste arbeidsrelatie;07 Technische beroepen;2022;754;530;148;381;213;11;1.1
160;Totaal mannen en vrouwen;Werknemer met vaste arbeidsrelatie;07 Technische beroepen;2023;755;530;147;383;216;9;1.1
161;Totaal mannen en vrouwen;Werknemer met vaste arbeidsrelatie;07 Technische beroepen;2024;801;546;149;397;244;11;1.2
162;Totaal mannen en vrouwen;Werknemer met vaste arbeidsrelatie;08 ICT beroepen;2022;340;241;63;178;97;3;1.1
163;Totaal mannen en vrouwen;Werknemer met vaste arbeidsrelatie;08 ICT beroepen;2023;337;225;54;171;107;5;0.9
164;Totaal mannen en vrouwen;Werknemer met vaste arbeidsrelatie;08 ICT beroepen;2024;368;245;51;194;120;3;0.9
165;Totaal mannen en vrouwen;Werknemer met vaste arbeidsrelatie;09 Agrarische beroepen;2022;42;26;8;18;15;1;
166;Totaal mannen en vrouwen;Werknemer met vaste arbeidsrelatie;09 Agrarische beroepen;2023;50;32;9;22;17;2;
167;Totaal mannen en vrouwen;Werknemer met vaste arbeidsrelatie;09 Agrarische beroepen;2024;46;29;10;19;14;3;
168;Totaal mannen en vrouwen;Werknemer met vaste arbeidsrelatie;10 Zorg en welzijn beroepen;2022;836;683;258;424;145;8;1.5
169;Totaal mannen en vrouwen;Werknemer met vaste arbeidsrelatie;10 Zorg en welzijn beroepen;2023;890;722;246;476;159;8;1.5
170;Totaal mannen en vrouwen;Werknemer met vaste arbeidsrelatie;10 Zorg en welzijn beroepen;2024;896;718;220;498;171;8;1.3
171;Totaal mannen en vrouwen;Werknemer met vaste arbeidsrelatie;11 Dienstverlenende beroepen;2022;288;182;56;126;97;9;1.3
172;Totaal mannen en vrouwen;Werknemer met vaste arbeidsrelatie;11 Dienstverlenende beroepen;2023;285;184;53;131;92;8;1.2
173;Totaal mannen en vrouwen;Werknemer met vaste arbeidsrelatie;11 Dienstverlenende beroepen;2024;283;177;46;131;96;10;1.0
174;Totaal mannen en vrouwen;Werknemer met vaste arbeidsrelatie;12 Transport en logistiek beroepen;2022;240;182;88;94;54;3;2.6
175;Totaal mannen en vrouwen;Werknemer met vaste arbeidsrelatie;12 Transport en logistiek beroepen;2023;243;181;86;94;58;5;2.5
176;Totaal mannen en vrouwen;Werknemer met vaste arbeidsrelatie;12 Transport en logistiek beroepen;2024;224;168;82;87;50;6;2.5
177;Totaal mannen en vrouwen;Werknemer met vaste arbeidsrelatie;13 Beroepsklasse overig;2022;42;27;9;18;12;3;
178;Totaal mannen en vrouwen;Werknemer met vaste arbeidsrelatie;13 Beroepsklasse overig;2023;42;19;5;15;18;5;
179;Totaal mannen en vrouwen;Werknemer met vaste arbeidsrelatie;13 Beroepsklasse overig;2024;19;9;3;6;7;3;
180;Totaal mannen en vrouwen;Werknemer met flexibele arbeidsrelatie;Totaal personen;2022;2692;1486;410;1075;1010;196;1.2
181;Totaal mannen en vrouwen;Werknemer met flexibele arbeidsrelatie;Totaal personen;2023;2735;1520;385;1134;1032;184;1.1
182;Totaal mannen en vrouwen;Werknemer met flexibele arbeidsrelatie;Totaal personen;2024;2682;1475;366;1109;1018;189;1.0
183;Totaal mannen en vrouwen;Werknemer met flexibele arbeidsrelatie;Leeftijd: 15 tot 25 jaar;2022;1259;666;173;493;476;117;1.1
184;Totaal mannen en vrouwen;Werknemer met flexibele arbeidsrelatie;Leeftijd: 15 tot 25 jaar;2023;1282;697;166;530;475;110;1.0
185;Totaal mannen en vrouwen;Werknemer met flexibele arbeidsrelatie;Leeftijd: 15 tot 25 jaar;2024;1279;692;166;526;474;113;1.0
186;Totaal mannen en vrouwen;Werknemer met flexibele arbeidsrelatie;Leeftijd: 25 tot 35 jaar;2022;622;378;104;275;216;27;1.2
187;Totaal mannen en vrouwen;Werknemer met flexibele arbeidsrelatie;Leeftijd: 25 tot 35 jaar;2023;637;387;107;280;220;30;1.1
188;Totaal mannen en vrouwen;Werknemer met flexibele arbeidsrelatie;Leeftijd: 25 tot 35 jaar;2024;612;361;91;270;220;30;1.0
189;Totaal mannen en vrouwen;Werknemer met flexibele arbeidsrelatie;Leeftijd: 35 tot 45 jaar;2022;317;180;51;130;117;20;1.1
190;Totaal mannen en vrouwen;Werknemer met flexibele arbeidsrelatie;Leeftijd: 35 tot 45 jaar;2023;317;185;45;140;117;15;1.1
191;Totaal mannen en vrouwen;Werknemer met flexibele arbeidsrelatie;Leeftijd: 35 tot 45 jaar;2024;314;185;49;137;117;12;1.1
192;Totaal mannen en vrouwen;Werknemer met flexibele arbeidsrelatie;Leeftijd: 45 tot 55 jaar;2022;247;146;48;98;86;15;1.3
193;Totaal mannen en vrouwen;Werknemer met flexibele arbeidsrelatie;Leeftijd: 45 tot 55 jaar;2023;238;135;33;102;90;14;1.2
194;Totaal mannen en vrouwen;Werknemer met flexibele arbeidsrelatie;Leeftijd: 45 tot 55 jaar;2024;218;122;31;91;83;14;1.1
195;Totaal mannen en vrouwen;Werknemer met flexibele arbeidsrelatie;Leeftijd: 55 tot 65 jaar;2022;176;92;29;63;73;12;1.5
196;Totaal mannen en vrouwen;Werknemer met flexibele arbeidsrelatie;Leeftijd: 55 tot 65 jaar;2023;180;93;28;65;77;10;1.3
197;Totaal mannen en vrouwen;Werknemer met flexibele arbeidsrelatie;Leeftijd: 55 tot 65 jaar;2024;171;88;25;63;69;13;1.2
198;Totaal mannen en vrouwen;Werknemer met flexibele arbeidsrelatie;Leeftijd: 65 tot 75 jaar;2022;71;23;6;17;42;6;
199;Totaal mannen en vrouwen;Werknemer met flexibele arbeidsrelatie;Leeftijd: 65 tot 75 jaar;2023;81;24;6;18;53;5;1.0
200;Totaal mannen en vrouwen;Werknemer met flexibele arbeidsrelatie;Leeftijd: 65 tot 75 jaar;2024;89;27;6;22;55;7;1.0
201;Totaal mannen en vrouwen;Werknemer met flexibele arbeidsrelatie;1 Basisonderwijs, vmbo, mbo1;2022;795;397;100;297;323;75;1.0
202;Totaal mannen en vrouwen;Werknemer met flexibele arbeidsrelatie;1 Basisonderwijs, vmbo, mbo1;2023;858;435;95;339;350;74;1.0
203;Totaal mannen en vrouwen;Werknemer met flexibele arbeidsrelatie;1 Basisonderwijs, vmbo, mbo1;2024;848;422;99;324;349;77;0.9
204;Totaal mannen en vrouwen;Werknemer met flexibele arbeidsrelatie;2 Havo, vwo, mbo2-4;2022;1071;590;166;424;404;78;1.2
205;Totaal mannen en vrouwen;Werknemer met flexibele arbeidsrelatie;2 Havo, vwo, mbo2-4;2023;1071;601;159;442;398;72;1.2
206;Totaal mannen en vrouwen;Werknemer met flexibele arbeidsrelatie;2 Havo, vwo, mbo2-4;2024;1037;578;142;436;387;72;1.1
207;Totaal mannen en vrouwen;Werknemer met flexibele arbeidsrelatie;3 Hbo, wo;2022;807;491;142;349;275;41;1.2
208;Totaal mannen en vrouwen;Werknemer met flexibele arbeidsrelatie;3 Hbo, wo;2023;786;476;129;347;274;36;1.1
209;Totaal mannen en vrouwen;Werknemer met flexibele arbeidsrelatie;3 Hbo, wo;2024;778;466;125;342;275;37;1.1
