ID;CountryOfUltimateControllingInstance;CharacteristicsOfCompanies;EducationLevelOfEducation;CharacteristicsOfJobsAndEmployees;Periods;EmployeeJobs_1
50;Total domestic and foreign;Total Jobs;Total;Age: 15 to 34 years;2010;2961.0
51;Total domestic and foreign;Total Jobs;Total;Age: 15 to 34 years;2011;2999.0
52;Total domestic and foreign;Total Jobs;Total;Age: 15 to 34 years;2012;2959.0
53;Total domestic and foreign;Total Jobs;Total;Age: 15 to 34 years;2013;2886.0
54;Total domestic and foreign;Total Jobs;Total;Age: 15 to 34 years;2014;2898.0
55;Total domestic and foreign;Total Jobs;Total;Age: 15 to 34 years;2015;2951.0
56;Total domestic and foreign;Total Jobs;Total;Age: 35 to 54 years;2008;3730.0
57;Total domestic and foreign;Total Jobs;Total;Age: 35 to 54 years;2009;3667.0
58;Total domestic and foreign;Total Jobs;Total;Age: 35 to 54 years;2010;3639.0
59;Total domestic and foreign;Total Jobs;Total;Age: 35 to 54 years;2011;3649.0
60;Total domestic and foreign;Total Jobs;Total;Age: 35 to 54 years;2012;3580.0
61;Total domestic and foreign;Total Jobs;Total;Age: 35 to 54 years;2013;3481.0
62;Total domestic and foreign;Total Jobs;Total;Age: 35 to 54 years;2014;3423.0
63;Total domestic and foreign;Total Jobs;Total;Age: 35 to 54 years;2015;3397.0
64;Total domestic and foreign;Total Jobs;Total;Age: 55 years or older;2008;1167.0
65;Total domestic and foreign;Total Jobs;Total;Age: 55 years or older;2009;1208.0
66;Total domestic and foreign;Total Jobs;Total;Age: 55 years or older;2010;1262.0
67;Total domestic and foreign;Total Jobs;Total;Age: 55 years or older;2011;1351.0
68;Total domestic and foreign;Total Jobs;Total;Age: 55 years or older;2012;1387.0
69;Total domestic and foreign;Total Jobs;Total;Age: 55 years or older;2013;1415.0
70;Total domestic and foreign;Total Jobs;Total;Age: 55 years or older;2014;1452.0
71;Total domestic and foreign;Total Jobs;Total;Age: 55 years or older;2015;1514.0
72;Total domestic and foreign;Total Jobs;Total;Wage: low (among lowest 30 percent);2008;2335.0
73;Total domestic and foreign;Total Jobs;Total;Wage: low (among lowest 30 percent);2009;2302.0
74;Total domestic and foreign;Total Jobs;Total;Wage: low (among lowest 30 percent);2010;2309.0
75;Total domestic and foreign;Total Jobs;Total;Wage: low (among lowest 30 percent);2011;2348.0
76;Total domestic and foreign;Total Jobs;Total;Wage: low (among lowest 30 percent);2012;2328.0
77;Total domestic and foreign;Total Jobs;Total;Wage: low (among lowest 30 percent);2013;2287.0
78;Total domestic and foreign;Total Jobs;Total;Wage: low (among lowest 30 percent);2014;2287.0
79;Total domestic and foreign;Total Jobs;Total;Wage: low (among lowest 30 percent);2015;2310.0
80;Total domestic and foreign;Total Jobs;Total;Wage: middle;2008;4058.0
81;Total domestic and foreign;Total Jobs;Total;Wage: middle;2009;4001.0
82;Total domestic and foreign;Total Jobs;Total;Wage: middle;2010;4013.0
83;Total domestic and foreign;Total Jobs;Total;Wage: middle;2011;4085.0
84;Total domestic and foreign;Total Jobs;Total;Wage: middle;2012;4047.0
85;Total domestic and foreign;Total Jobs;Total;Wage: middle;2013;3971.0
86;Total domestic and foreign;Total Jobs;Total;Wage: middle;2014;3962.0
87;Total domestic and foreign;Total Jobs;Total;Wage: middle;2015;4012.0
88;Total domestic and foreign;Total Jobs;Total;Wage: high (among highest 20 percent);2008;1557.0
89;Total domestic and foreign;Total Jobs;Total;Wage: high (among highest 20 percent);2009;1535.0
90;Total domestic and foreign;Total Jobs;Total;Wage: high (among highest 20 percent);2010;1539.0
91;Total domestic and foreign;Total Jobs;Total;Wage: high (among highest 20 percent);2011;1566.0
92;Total domestic and foreign;Total Jobs;Total;Wage: high (among highest 20 percent);2012;1552.0
93;Total domestic and foreign;Total Jobs;Total;Wage: high (among highest 20 percent);2013;1524.0
94;Total domestic and foreign;Total Jobs;Total;Wage: high (among highest 20 percent);2014;1525.0
95;Total domestic and foreign;Total Jobs;Total;Wage: high (among highest 20 percent);2015;1540.0
96;Total domestic and foreign;Total Jobs;Total;Nationality: Dutch;2008;7514.0
97;Total domestic and foreign;Total Jobs;Total;Nationality: Dutch;2009;7416.0
98;Total domestic and foreign;Total Jobs;Total;Nationality: Dutch;2010;7426.0
99;Total domestic and foreign;Total Jobs;Total;Nationality: Dutch;2011;7537.0
100;Total domestic and foreign;Total Jobs;Total;Nationality: Dutch;2012;7463.0
101;Total domestic and foreign;Total Jobs;Total;Nationality: Dutch;2013;7316.0
102;Total domestic and foreign;Total Jobs;Total;Nationality: Dutch;2014;7300.0
103;Total domestic and foreign;Total Jobs;Total;Nationality: Dutch;2015;7357.0
104;Total domestic and foreign;Total Jobs;Total;Nationality: Belgian;2008;28.0
105;Total domestic and foreign;Total Jobs;Total;Nationality: Belgian;2009;28.0
106;Total domestic and foreign;Total Jobs;Total;Nationality: Belgian;2010;28.0
107;Total domestic and foreign;Total Jobs;Total;Nationality: Belgian;2011;28.0
108;Total domestic and foreign;Total Jobs;Total;Nationality: Belgian;2012;28.0
109;Total domestic and foreign;Total Jobs;Total;Nationality: Belgian;2013;27.0
110;Total domestic and foreign;Total Jobs;Total;Nationality: Belgian;2014;27.0
111;Total domestic and foreign;Total Jobs;Total;Nationality: Belgian;2015;27.0
112;Total domestic and foreign;Total Jobs;Total;Nationality: British;2008;25.0
113;Total domestic and foreign;Total Jobs;Total;Nationality: British;2009;24.0
114;Total domestic and foreign;Total Jobs;Total;Nationality: British;2010;23.0
115;Total domestic and foreign;Total Jobs;Total;Nationality: British;2011;24.0
116;Total domestic and foreign;Total Jobs;Total;Nationality: British;2012;23.0
117;Total domestic and foreign;Total Jobs;Total;Nationality: British;2013;23.0
118;Total domestic and foreign;Total Jobs;Total;Nationality: British;2014;23.0
119;Total domestic and foreign;Total Jobs;Total;Nationality: British;2015;23.0
120;Total domestic and foreign;Total Jobs;Total;Nationality: German;2008;70.0
121;Total domestic and foreign;Total Jobs;Total;Nationality: German;2009;60.0
122;Total domestic and foreign;Total Jobs;Total;Nationality: German;2010;57.0
123;Total domestic and foreign;Total Jobs;Total;Nationality: German;2011;57.0
124;Total domestic and foreign;Total Jobs;Total;Nationality: German;2012;52.0
125;Total domestic and foreign;Total Jobs;Total;Nationality: German;2013;49.0
126;Total domestic and foreign;Total Jobs;Total;Nationality: German;2014;45.0
127;Total domestic and foreign;Total Jobs;Total;Nationality: German;2015;44.0
128;Total domestic and foreign;Total Jobs;Total;Nationality: Polish;2008;90.0
129;Total domestic and foreign;Total Jobs;Total;Nationality: Polish;2009;98.0
130;Total domestic and foreign;Total Jobs;Total;Nationality: Polish;2010;109.0
131;Total domestic and foreign;Total Jobs;Total;Nationality: Polish;2011;127.0
132;Total domestic and foreign;Total Jobs;Total;Nationality: Polish;2012;137.0
133;Total domestic and foreign;Total Jobs;Total;Nationality: Polish;2013;146.0
134;Total domestic and foreign;Total Jobs;Total;Nationality: Polish;2014;148.0
135;Total domestic and foreign;Total Jobs;Total;Nationality: Polish;2015;164.0
136;Total domestic and foreign;Total Jobs;Total;Nationality: Indian;2008;4.0
137;Total domestic and foreign;Total Jobs;Total;Nationality: Indian;2009;4.0
138;Total domestic and foreign;Total Jobs;Total;Nationality: Indian;2010;5.0
139;Total domestic and foreign;Total Jobs;Total;Nationality: Indian;2011;6.0
140;Total domestic and foreign;Total Jobs;Total;Nationality: Indian;2012;6.0
141;Total domestic and foreign;Total Jobs;Total;Nationality: Indian;2013;6.0
142;Total domestic and foreign;Total Jobs;Total;Nationality: Indian;2014;7.0
143;Total domestic and foreign;Total Jobs;Total;Nationality: Indian;2015;8.0
144;Total domestic and foreign;Total Jobs;Total;Nationality: other;2008;218.0
145;Total domestic and foreign;Total Jobs;Total;Nationality: other;2009;207.0
146;Total domestic and foreign;Total Jobs;Total;Nationality: other;2010;213.0
147;Total domestic and foreign;Total Jobs;Total;Nationality: other;2011;221.0
148;Total domestic and foreign;Total Jobs;Total;Nationality: other;2012;218.0
149;Total domestic and foreign;Total Jobs;Total;Nationality: other;2013;216.0
150;Total domestic and foreign;Total Jobs;Total;Nationality: other;2014;223.0
151;Total domestic and foreign;Total Jobs;Total;Nationality: other;2015;238.0
152;Total domestic and foreign;Total Jobs;100 Lower education;Total ;2008;2209.0
153;Total domestic and foreign;Total Jobs;100 Lower education;Total ;2009;2105.0
154;Total domestic and foreign;Total Jobs;100 Lower education;Total ;2010;2061.0
155;Total domestic and foreign;Total Jobs;100 Lower education;Total ;2011;2043.0
156;Total domestic and foreign;Total Jobs;100 Lower education;Total ;2012;1951.0
157;Total domestic and foreign;Total Jobs;100 Lower education;Total ;2013;1837.0
158;Total domestic and foreign;Total Jobs;100 Lower education;Total ;2014;1781.0
159;Total domestic and foreign;Total Jobs;100 Lower education;Total ;2015;
160;Total domestic and foreign;Total Jobs;100 Lower education;Type of contract: specified time;2008;773.0
161;Total domestic and foreign;Total Jobs;100 Lower education;Type of contract: specified time;2009;758.0
162;Total domestic and foreign;Total Jobs;100 Lower education;Type of contract: specified time;2010;744.0
163;Total domestic and foreign;Total Jobs;100 Lower education;Type of contract: specified time;2011;755.0
164;Total domestic and foreign;Total Jobs;100 Lower education;Type of contract: specified time;2012;732.0
165;Total domestic and foreign;Total Jobs;100 Lower education;Type of contract: specified time;2013;704.0
166;Total domestic and foreign;Total Jobs;100 Lower education;Type of contract: specified time;2014;710.0
167;Total domestic and foreign;Total Jobs;100 Lower education;Type of contract: specified time;2015;
168;Total domestic and foreign;Total Jobs;100 Lower education;Type of contract: unspecified time;2008;1407.0
169;Total domestic and foreign;Total Jobs;100 Lower education;Type of contract: unspecified time;2009;1317.0
170;Total domestic and foreign;Total Jobs;100 Lower education;Type of contract: unspecified time;2010;1289.0
171;Total domestic and foreign;Total Jobs;100 Lower education;Type of contract: unspecified time;2011;1261.0
172;Total domestic and foreign;Total Jobs;100 Lower education;Type of contract: unspecified time;2012;1193.0
173;Total domestic and foreign;Total Jobs;100 Lower education;Type of contract: unspecified time;2013;1109.0
174;Total domestic and foreign;Total Jobs;100 Lower education;Type of contract: unspecified time;2014;1048.0
175;Total domestic and foreign;Total Jobs;100 Lower education;Type of contract: unspecified time;2015;
176;Total domestic and foreign;Total Jobs;100 Lower education;Type of contract: other;2008;30.0
177;Total domestic and foreign;Total Jobs;100 Lower education;Type of contract: other;2009;27.0
178;Total domestic and foreign;Total Jobs;100 Lower education;Type of contract: other;2010;26.0
179;Total domestic and foreign;Total Jobs;100 Lower education;Type of contract: other;2011;29.0
180;Total domestic and foreign;Total Jobs;100 Lower education;Type of contract: other;2012;29.0
181;Total domestic and foreign;Total Jobs;100 Lower education;Type of contract: other;2013;27.0
182;Total domestic and foreign;Total Jobs;100 Lower education;Type of contract: other;2014;26.0
183;Total domestic and foreign;Total Jobs;100 Lower education;Type of contract: other;2015;
184;Total domestic and foreign;Total Jobs;100 Lower education;Sex: Male;2008;1238.0
185;Total domestic and foreign;Total Jobs;100 Lower education;Sex: Male;2009;1166.0
186;Total domestic and foreign;Total Jobs;100 Lower education;Sex: Male;2010;1133.0
187;Total domestic and foreign;Total Jobs;100 Lower education;Sex: Male;2011;1123.0
188;Total domestic and foreign;Total Jobs;100 Lower education;Sex: Male;2012;1066.0
189;Total domestic and foreign;Total Jobs;100 Lower education;Sex: Male;2013;1008.0
190;Total domestic and foreign;Total Jobs;100 Lower education;Sex: Male;2014;979.0
191;Total domestic and foreign;Total Jobs;100 Lower education;Sex: Male;2015;
192;Total domestic and foreign;Total Jobs;100 Lower education;Sex: Female;2008;971.0
193;Total domestic and foreign;Total Jobs;100 Lower education;Sex: Female;2009;939.0
194;Total domestic and foreign;Total Jobs;100 Lower education;Sex: Female;2010;927.0
195;Total domestic and foreign;Total Jobs;100 Lower education;Sex: Female;2011;920.0
196;Total domestic and foreign;Total Jobs;100 Lower education;Sex: Female;2012;885.0
197;Total domestic and foreign;Total Jobs;100 Lower education;Sex: Female;2013;830.0
198;Total domestic and foreign;Total Jobs;100 Lower education;Sex: Female;2014;802.0
199;Total domestic and foreign;Total Jobs;100 Lower education;Sex: Female;2015;
200;Total domestic and foreign;Total Jobs;100 Lower education;Age: 15 to 34 years;2008;879.0
201;Total domestic and foreign;Total Jobs;100 Lower education;Age: 15 to 34 years;2009;826.0
202;Total domestic and foreign;Total Jobs;100 Lower education;Age: 15 to 34 years;2010;803.0
203;Total domestic and foreign;Total Jobs;100 Lower education;Age: 15 to 34 years;2011;799.0
204;Total domestic and foreign;Total Jobs;100 Lower education;Age: 15 to 34 years;2012;759.0
205;Total domestic and foreign;Total Jobs;100 Lower education;Age: 15 to 34 years;2013;707.0
206;Total domestic and foreign;Total Jobs;100 Lower education;Age: 15 to 34 years;2014;693.0
207;Total domestic and foreign;Total Jobs;100 Lower education;Age: 15 to 34 years;2015;
208;Total domestic and foreign;Total Jobs;100 Lower education;Age: 35 to 54 years;2008;910.0
209;Total domestic and foreign;Total Jobs;100 Lower education;Age: 35 to 54 years;2009;852.0
210;Total domestic and foreign;Total Jobs;100 Lower education;Age: 35 to 54 years;2010;820.0
211;Total domestic and foreign;Total Jobs;100 Lower education;Age: 35 to 54 years;2011;789.0
212;Total domestic and foreign;Total Jobs;100 Lower education;Age: 35 to 54 years;2012;741.0
213;Total domestic and foreign;Total Jobs;100 Lower education;Age: 35 to 54 years;2013;689.0
214;Total domestic and foreign;Total Jobs;100 Lower education;Age: 35 to 54 years;2014;653.0
215;Total domestic and foreign;Total Jobs;100 Lower education;Age: 35 to 54 years;2015;
216;Total domestic and foreign;Total Jobs;100 Lower education;Age: 55 years or older;2008;420.0
217;Total domestic and foreign;Total Jobs;100 Lower education;Age: 55 years or older;2009;426.0
218;Total domestic and foreign;Total Jobs;100 Lower education;Age: 55 years or older;2010;438.0
219;Total domestic and foreign;Total Jobs;100 Lower education;Age: 55 years or older;2011;454.0
220;Total domestic and foreign;Total Jobs;100 Lower education;Age: 55 years or older;2012;452.0
221;Total domestic and foreign;Total Jobs;100 Lower education;Age: 55 years or older;2013;442.0
222;Total domestic and foreign;Total Jobs;100 Lower education;Age: 55 years or older;2014;436.0
223;Total domestic and foreign;Total Jobs;100 Lower education;Age: 55 years or older;2015;
224;Total domestic and foreign;Total Jobs;100 Lower education;Wage: low (among lowest 30 percent);2008;1112.0
225;Total domestic and foreign;Total Jobs;100 Lower education;Wage: low (among lowest 30 percent);2009;1072.0
226;Total domestic and foreign;Total Jobs;100 Lower education;Wage: low (among lowest 30 percent);2010;1044.0
227;Total domestic and foreign;Total Jobs;100 Lower education;Wage: low (among lowest 30 percent);2011;1037.0
228;Total domestic and foreign;Total Jobs;100 Lower education;Wage: low (among lowest 30 percent);2012;995.0
229;Total domestic and foreign;Total Jobs;100 Lower education;Wage: low (among lowest 30 percent);2013;941.0
230;Total domestic and foreign;Total Jobs;100 Lower education;Wage: low (among lowest 30 percent);2014;923.0
231;Total domestic and foreign;Total Jobs;100 Lower education;Wage: low (among lowest 30 percent);2015;
232;Total domestic and foreign;Total Jobs;100 Lower education;Wage: middle;2008;971.0
233;Total domestic and foreign;Total Jobs;100 Lower education;Wage: middle;2009;921.0
234;Total domestic and foreign;Total Jobs;100 Lower education;Wage: middle;2010;907.0
235;Total domestic and foreign;Total Jobs;100 Lower education;Wage: middle;2011;894.0
236;Total domestic and foreign;Total Jobs;100 Lower education;Wage: middle;2012;852.0
237;Total domestic and foreign;Total Jobs;100 Lower education;Wage: middle;2013;802.0
238;Total domestic and foreign;Total Jobs;100 Lower education;Wage: middle;2014;769.0
239;Total domestic and foreign;Total Jobs;100 Lower education;Wage: middle;2015;
240;Total domestic and foreign;Total Jobs;100 Lower education;Wage: high (among highest 20 percent);2008;126.0
241;Total domestic and foreign;Total Jobs;100 Lower education;Wage: high (among highest 20 percent);2009;111.0
242;Total domestic and foreign;Total Jobs;100 Lower education;Wage: high (among highest 20 percent);2010;109.0
243;Total domestic and foreign;Total Jobs;100 Lower education;Wage: high (among highest 20 percent);2011;112.0
244;Total domestic and foreign;Total Jobs;100 Lower education;Wage: high (among highest 20 percent);2012;104.0
245;Total domestic and foreign;Total Jobs;100 Lower education;Wage: high (among highest 20 percent);2013;94.0
246;Total domestic and foreign;Total Jobs;100 Lower education;Wage: high (among highest 20 percent);2014;89.0
247;Total domestic and foreign;Total Jobs;100 Lower education;Wage: high (among highest 20 percent);2015;
248;Total domestic and foreign;Total Jobs;100 Lower education;Nationality: Dutch;2008;2062.0
249;Total domestic and foreign;Total Jobs;100 Lower education;Nationality: Dutch;2009;1967.0
250;Total domestic and foreign;Total Jobs;100 Lower education;Nationality: Dutch;2010;1920.0
251;Total domestic and foreign;Total Jobs;100 Lower education;Nationality: Dutch;2011;1898.0
252;Total domestic and foreign;Total Jobs;100 Lower education;Nationality: Dutch;2012;1812.0
253;Total domestic and foreign;Total Jobs;100 Lower education;Nationality: Dutch;2013;1702.0
254;Total domestic and foreign;Total Jobs;100 Lower education;Nationality: Dutch;2014;1646.0
255;Total domestic and foreign;Total Jobs;100 Lower education;Nationality: Dutch;2015;
256;Total domestic and foreign;Total Jobs;100 Lower education;Nationality: Belgian;2008;5.0
257;Total domestic and foreign;Total Jobs;100 Lower education;Nationality: Belgian;2009;5.0
258;Total domestic and foreign;Total Jobs;100 Lower education;Nationality: Belgian;2010;5.0
259;Total domestic and foreign;Total Jobs;100 Lower education;Nationality: Belgian;2011;5.0
260;Total domestic and foreign;Total Jobs;100 Lower education;Nationality: Belgian;2012;5.0
261;Total domestic and foreign;Total Jobs;100 Lower education;Nationality: Belgian;2013;4.0
262;Total domestic and foreign;Total Jobs;100 Lower education;Nationality: Belgian;2014;4.0
263;Total domestic and foreign;Total Jobs;100 Lower education;Nationality: Belgian;2015;
264;Total domestic and foreign;Total Jobs;100 Lower education;Nationality: British;2008;5.0
265;Total domestic and foreign;Total Jobs;100 Lower education;Nationality: British;2009;5.0
266;Total domestic and foreign;Total Jobs;100 Lower education;Nationality: British;2010;4.0
267;Total domestic and foreign;Total Jobs;100 Lower education;Nationality: British;2011;4.0
268;Total domestic and foreign;Total Jobs;100 Lower education;Nationality: British;2012;4.0
269;Total domestic and foreign;Total Jobs;100 Lower education;Nationality: British;2013;4.0
270;Total domestic and foreign;Total Jobs;100 Lower education;Nationality: British;2014;4.0
271;Total domestic and foreign;Total Jobs;100 Lower education;Nationality: British;2015;
272;Total domestic and foreign;Total Jobs;100 Lower education;Nationality: German;2008;12.0
273;Total domestic and foreign;Total Jobs;100 Lower education;Nationality: German;2009;10.0
274;Total domestic and foreign;Total Jobs;100 Lower education;Nationality: German;2010;9.0
275;Total domestic and foreign;Total Jobs;100 Lower education;Nationality: German;2011;9.0
276;Total domestic and foreign;Total Jobs;100 Lower education;Nationality: German;2012;8.0
277;Total domestic and foreign;Total Jobs;100 Lower education;Nationality: German;2013;8.0
278;Total domestic and foreign;Total Jobs;100 Lower education;Nationality: German;2014;7.0
279;Total domestic and foreign;Total Jobs;100 Lower education;Nationality: German;2015;
280;Total domestic and foreign;Total Jobs;100 Lower education;Nationality: Polish;2008;26.0
281;Total domestic and foreign;Total Jobs;100 Lower education;Nationality: Polish;2009;30.0
282;Total domestic and foreign;Total Jobs;100 Lower education;Nationality: Polish;2010;40.0
283;Total domestic and foreign;Total Jobs;100 Lower education;Nationality: Polish;2011;50.0
284;Total domestic and foreign;Total Jobs;100 Lower education;Nationality: Polish;2012;53.0
285;Total domestic and foreign;Total Jobs;100 Lower education;Nationality: Polish;2013;60.0
286;Total domestic and foreign;Total Jobs;100 Lower education;Nationality: Polish;2014;61.0
287;Total domestic and foreign;Total Jobs;100 Lower education;Nationality: Polish;2015;
288;Total domestic and foreign;Total Jobs;100 Lower education;Nationality: Indian;2008;
289;Total domestic and foreign;Total Jobs;100 Lower education;Nationality: Indian;2009;
290;Total domestic and foreign;Total Jobs;100 Lower education;Nationality: Indian;2010;
291;Total domestic and foreign;Total Jobs;100 Lower education;Nationality: Indian;2011;
292;Total domestic and foreign;Total Jobs;100 Lower education;Nationality: Indian;2012;
293;Total domestic and foreign;Total Jobs;100 Lower education;Nationality: Indian;2013;
294;Total domestic and foreign;Total Jobs;100 Lower education;Nationality: Indian;2014;
295;Total domestic and foreign;Total Jobs;100 Lower education;Nationality: Indian;2015;
296;Total domestic and foreign;Total Jobs;100 Lower education;Nationality: other;2008;101.0
297;Total domestic and foreign;Total Jobs;100 Lower education;Nationality: other;2009;93.0
298;Total domestic and foreign;Total Jobs;100 Lower education;Nationality: other;2010;95.0
299;Total domestic and foreign;Total Jobs;100 Lower education;Nationality: other;2011;96.0
300;Total domestic and foreign;Total Jobs;100 Lower education;Nationality: other;2012;90.0
301;Total domestic and foreign;Total Jobs;100 Lower education;Nationality: other;2013;85.0
302;Total domestic and foreign;Total Jobs;100 Lower education;Nationality: other;2014;85.0
303;Total domestic and foreign;Total Jobs;100 Lower education;Nationality: other;2015;
304;Total domestic and foreign;Total Jobs;200 Intermediate education;Total ;2008;3654.0
305;Total domestic and foreign;Total Jobs;200 Intermediate education;Total ;2009;3623.0
306;Total domestic and foreign;Total Jobs;200 Intermediate education;Total ;2010;3652.0
307;Total domestic and foreign;Total Jobs;200 Intermediate education;Total ;2011;3737.0
308;Total domestic and foreign;Total Jobs;200 Intermediate education;Total ;2012;3723.0
309;Total domestic and foreign;Total Jobs;200 Intermediate education;Total ;2013;3676.0
310;Total domestic and foreign;Total Jobs;200 Intermediate education;Total ;2014;3686.0
311;Total domestic and foreign;Total Jobs;200 Intermediate education;Total ;2015;
312;Total domestic and foreign;Total Jobs;200 Intermediate education;Type of contract: specified time;2008;1000.0
313;Total domestic and foreign;Total Jobs;200 Intermediate education;Type of contract: specified time;2009;1008.0
314;Total domestic and foreign;Total Jobs;200 Intermediate education;Type of contract: specified time;2010;1036.0
315;Total domestic and foreign;Total Jobs;200 Intermediate education;Type of contract: specified time;2011;1091.0
316;Total domestic and foreign;Total Jobs;200 Intermediate education;Type of contract: specified time;2012;1117.0
317;Total domestic and foreign;Total Jobs;200 Intermediate education;Type of contract: specified time;2013;1131.0
318;Total domestic and foreign;Total Jobs;200 Intermediate education;Type of contract: specified time;2014;1185.0
319;Total domestic and foreign;Total Jobs;200 Intermediate education;Type of contract: specified time;2015;
320;Total domestic and foreign;Total Jobs;200 Intermediate education;Type of contract: unspecified time;2008;2564.0
321;Total domestic and foreign;Total Jobs;200 Intermediate education;Type of contract: unspecified time;2009;2519.0
322;Total domestic and foreign;Total Jobs;200 Intermediate education;Type of contract: unspecified time;2010;2524.0
323;Total domestic and foreign;Total Jobs;200 Intermediate education;Type of contract: unspecified time;2011;2551.0
324;Total domestic and foreign;Total Jobs;200 Intermediate education;Type of contract: unspecified time;2012;2513.0
325;Total domestic and foreign;Total Jobs;200 Intermediate education;Type of contract: unspecified time;2013;2454.0
326;Total domestic and foreign;Total Jobs;200 Intermediate education;Type of contract: unspecified time;2014;2411.0
327;Total domestic and foreign;Total Jobs;200 Intermediate education;Type of contract: unspecified time;2015;
328;Total domestic and foreign;Total Jobs;200 Intermediate education;Type of contract: other;2008;89.0
329;Total domestic and foreign;Total Jobs;200 Intermediate education;Type of contract: other;2009;85.0
330;Total domestic and foreign;Total Jobs;200 Intermediate education;Type of contract: other;2010;85.0
331;Total domestic and foreign;Total Jobs;200 Intermediate education;Type of contract: other;2011;94.0
332;Total domestic and foreign;Total Jobs;200 Intermediate education;Type of contract: other;2012;93.0
333;Total domestic and foreign;Total Jobs;200 Intermediate education;Type of contract: other;2013;91.0
334;Total domestic and foreign;Total Jobs;200 Intermediate education;Type of contract: other;2014;90.0
335;Total domestic and foreign;Total Jobs;200 Intermediate education;Type of contract: other;2015;
336;Total domestic and foreign;Total Jobs;200 Intermediate education;Sex: Male;2008;1939.0
337;Total domestic and foreign;Total Jobs;200 Intermediate education;Sex: Male;2009;1905.0
