ID;GeboortelandGroep;Geslacht;JaarVanVestigingInNederland;Perioden;TotaalNietNederlandseImmigranten_1;WerknemersZelfstandigen_2;WerkloosheidsOfBijstandsuitkering_3;ArbeidsongeschiktheidsOverigeUitkering_4;OverigeNietNederlandseImmigranten_5
724;3;Mannen;Vestigingsjaar 1994;2003;100.0;69.0;5.0;0.0;26.0
725;3;Mannen;Vestigingsjaar 1995;1999;100.0;55.0;7.0;0.0;37.0
726;3;Mannen;Vestigingsjaar 1995;2000;100.0;64.0;6.0;1.0;29.0
727;3;Mannen;Vestigingsjaar 1995;2001;100.0;67.0;7.0;0.0;26.0
728;3;Mannen;Vestigingsjaar 1995;2002;100.0;70.0;4.0;1.0;25.0
729;3;Mannen;Vestigingsjaar 1995;2003;100.0;71.0;4.0;0.0;24.0
730;3;Mannen;Vestigingsjaar 1996;1999;100.0;46.0;11.0;0.0;42.0
731;3;Mannen;Vestigingsjaar 1996;2000;100.0;55.0;9.0;0.0;36.0
732;3;Mannen;Vestigingsjaar 1996;2001;100.0;58.0;9.0;0.0;33.0
733;3;Mannen;Vestigingsjaar 1996;2002;100.0;61.0;8.0;1.0;30.0
734;3;Mannen;Vestigingsjaar 1996;2003;100.0;66.0;6.0;1.0;27.0
735;3;Mannen;Vestigingsjaar 1997;1999;100.0;26.0;21.0;1.0;51.0
736;3;Mannen;Vestigingsjaar 1997;2000;100.0;42.0;19.0;0.0;39.0
737;3;Mannen;Vestigingsjaar 1997;2001;100.0;56.0;9.0;0.0;34.0
738;3;Mannen;Vestigingsjaar 1997;2002;100.0;63.0;6.0;1.0;30.0
739;3;Mannen;Vestigingsjaar 1997;2003;100.0;68.0;5.0;0.0;28.0
740;3;Mannen;Vestigingsjaar 1998;1999;100.0;27.0;9.0;0.0;63.0
741;3;Mannen;Vestigingsjaar 1998;2000;100.0;32.0;17.0;0.0;51.0
742;3;Mannen;Vestigingsjaar 1998;2001;100.0;47.0;9.0;1.0;43.0
743;3;Mannen;Vestigingsjaar 1998;2002;100.0;56.0;5.0;1.0;37.0
744;3;Mannen;Vestigingsjaar 1998;2003;100.0;65.0;3.0;0.0;31.0
745;3;Mannen;Vestigingsjaar 1999;1999;100.0;20.0;1.0;0.0;79.0
746;3;Mannen;Vestigingsjaar 1999;2000;100.0;29.0;3.0;0.0;67.0
747;3;Mannen;Vestigingsjaar 1999;2001;100.0;30.0;7.0;0.0;62.0
748;3;Mannen;Vestigingsjaar 1999;2002;100.0;40.0;7.0;0.0;53.0
749;3;Mannen;Vestigingsjaar 1999;2003;100.0;47.0;6.0;0.0;47.0
750;3;Mannen;Vestigingsjaar 2000;1999;;;;;
751;3;Mannen;Vestigingsjaar 2000;2000;100.0;15.0;2.0;0.0;83.0
752;3;Mannen;Vestigingsjaar 2000;2001;100.0;30.0;3.0;0.0;67.0
753;3;Mannen;Vestigingsjaar 2000;2002;100.0;35.0;5.0;0.0;61.0
754;3;Mannen;Vestigingsjaar 2000;2003;100.0;37.0;8.0;1.0;54.0
755;3;Mannen;Vestigingsjaar 2001;1999;;;;;
756;3;Mannen;Vestigingsjaar 2001;2000;;;;;
757;3;Mannen;Vestigingsjaar 2001;2001;100.0;21.0;1.0;0.0;79.0
758;3;Mannen;Vestigingsjaar 2001;2002;100.0;39.0;2.0;0.0;59.0
759;3;Mannen;Vestigingsjaar 2001;2003;100.0;43.0;3.0;0.0;54.0
760;3;Mannen;Vestigingsjaar 2002;1999;;;;;
761;3;Mannen;Vestigingsjaar 2002;2000;;;;;
762;3;Mannen;Vestigingsjaar 2002;2001;;;;;
763;3;Mannen;Vestigingsjaar 2002;2002;100.0;20.0;1.0;0.0;80.0
764;3;Mannen;Vestigingsjaar 2002;2003;100.0;38.0;1.0;0.0;61.0
765;3;Mannen;Vestigingsjaar 2003;1999;;;;;
766;3;Mannen;Vestigingsjaar 2003;2000;;;;;
767;3;Mannen;Vestigingsjaar 2003;2001;;;;;
768;3;Mannen;Vestigingsjaar 2003;2002;;;;;
769;3;Mannen;Vestigingsjaar 2003;2003;100.0;24.0;1.0;0.0;75.0
770;3;Vrouwen;Vestigingsjaar 1990;1999;100.0;;;;
771;3;Vrouwen;Vestigingsjaar 1990;2000;100.0;;;;
772;3;Vrouwen;Vestigingsjaar 1990;2001;100.0;;;;
773;3;Vrouwen;Vestigingsjaar 1990;2002;100.0;;;;
774;3;Vrouwen;Vestigingsjaar 1990;2003;100.0;;;;
775;3;Vrouwen;Vestigingsjaar 1991;1999;100.0;46.0;24.0;1.0;28.0
776;3;Vrouwen;Vestigingsjaar 1991;2000;100.0;47.0;23.0;2.0;27.0
777;3;Vrouwen;Vestigingsjaar 1991;2001;100.0;48.0;24.0;2.0;25.0
778;3;Vrouwen;Vestigingsjaar 1991;2002;100.0;48.0;21.0;4.0;26.0
779;3;Vrouwen;Vestigingsjaar 1991;2003;100.0;55.0;22.0;3.0;20.0
780;3;Vrouwen;Vestigingsjaar 1992;1999;100.0;36.0;18.0;0.0;46.0
781;3;Vrouwen;Vestigingsjaar 1992;2000;100.0;43.0;16.0;1.0;40.0
782;3;Vrouwen;Vestigingsjaar 1992;2001;100.0;45.0;18.0;0.0;37.0
783;3;Vrouwen;Vestigingsjaar 1992;2002;100.0;46.0;21.0;1.0;31.0
784;3;Vrouwen;Vestigingsjaar 1992;2003;100.0;48.0;20.0;2.0;31.0
785;3;Vrouwen;Vestigingsjaar 1993;1999;100.0;44.0;10.0;1.0;45.0
786;3;Vrouwen;Vestigingsjaar 1993;2000;100.0;45.0;15.0;1.0;39.0
787;3;Vrouwen;Vestigingsjaar 1993;2001;100.0;49.0;12.0;1.0;37.0
788;3;Vrouwen;Vestigingsjaar 1993;2002;100.0;50.0;14.0;1.0;35.0
789;3;Vrouwen;Vestigingsjaar 1993;2003;100.0;46.0;17.0;1.0;36.0
790;3;Vrouwen;Vestigingsjaar 1994;1999;100.0;47.0;14.0;0.0;39.0
791;3;Vrouwen;Vestigingsjaar 1994;2000;100.0;48.0;15.0;1.0;36.0
792;3;Vrouwen;Vestigingsjaar 1994;2001;100.0;49.0;17.0;2.0;32.0
793;3;Vrouwen;Vestigingsjaar 1994;2002;100.0;52.0;15.0;2.0;32.0
794;3;Vrouwen;Vestigingsjaar 1994;2003;100.0;54.0;16.0;2.0;29.0
795;3;Vrouwen;Vestigingsjaar 1995;1999;100.0;42.0;15.0;1.0;42.0
796;3;Vrouwen;Vestigingsjaar 1995;2000;100.0;50.0;16.0;1.0;34.0
797;3;Vrouwen;Vestigingsjaar 1995;2001;100.0;53.0;15.0;1.0;31.0
798;3;Vrouwen;Vestigingsjaar 1995;2002;100.0;53.0;14.0;2.0;31.0
799;3;Vrouwen;Vestigingsjaar 1995;2003;100.0;55.0;14.0;1.0;31.0
800;3;Vrouwen;Vestigingsjaar 1996;1999;100.0;45.0;13.0;1.0;41.0
801;3;Vrouwen;Vestigingsjaar 1996;2000;100.0;51.0;11.0;0.0;37.0
802;3;Vrouwen;Vestigingsjaar 1996;2001;100.0;58.0;11.0;0.0;31.0
803;3;Vrouwen;Vestigingsjaar 1996;2002;100.0;55.0;11.0;1.0;33.0
804;3;Vrouwen;Vestigingsjaar 1996;2003;100.0;55.0;14.0;1.0;29.0
805;3;Vrouwen;Vestigingsjaar 1997;1999;100.0;30.0;18.0;0.0;52.0
806;3;Vrouwen;Vestigingsjaar 1997;2000;100.0;38.0;21.0;0.0;41.0
807;3;Vrouwen;Vestigingsjaar 1997;2001;100.0;49.0;17.0;1.0;33.0
808;3;Vrouwen;Vestigingsjaar 1997;2002;100.0;54.0;16.0;1.0;30.0
809;3;Vrouwen;Vestigingsjaar 1997;2003;100.0;53.0;16.0;1.0;30.0
810;3;Vrouwen;Vestigingsjaar 1998;1999;100.0;26.0;9.0;0.0;64.0
811;3;Vrouwen;Vestigingsjaar 1998;2000;100.0;33.0;15.0;1.0;51.0
812;3;Vrouwen;Vestigingsjaar 1998;2001;100.0;42.0;15.0;0.0;43.0
813;3;Vrouwen;Vestigingsjaar 1998;2002;100.0;47.0;14.0;0.0;39.0
814;3;Vrouwen;Vestigingsjaar 1998;2003;100.0;48.0;16.0;0.0;36.0
815;3;Vrouwen;Vestigingsjaar 1999;1999;100.0;13.0;1.0;0.0;85.0
816;3;Vrouwen;Vestigingsjaar 1999;2000;100.0;26.0;5.0;1.0;68.0
817;3;Vrouwen;Vestigingsjaar 1999;2001;100.0;32.0;9.0;1.0;58.0
818;3;Vrouwen;Vestigingsjaar 1999;2002;100.0;38.0;12.0;0.0;50.0
819;3;Vrouwen;Vestigingsjaar 1999;2003;100.0;41.0;14.0;1.0;44.0
820;3;Vrouwen;Vestigingsjaar 2000;1999;;;;;
821;3;Vrouwen;Vestigingsjaar 2000;2000;100.0;14.0;1.0;0.0;85.0
822;3;Vrouwen;Vestigingsjaar 2000;2001;100.0;32.0;2.0;0.0;65.0
823;3;Vrouwen;Vestigingsjaar 2000;2002;100.0;37.0;5.0;0.0;58.0
824;3;Vrouwen;Vestigingsjaar 2000;2003;100.0;37.0;7.0;1.0;55.0
825;3;Vrouwen;Vestigingsjaar 2001;1999;;;;;
826;3;Vrouwen;Vestigingsjaar 2001;2000;;;;;
827;3;Vrouwen;Vestigingsjaar 2001;2001;100.0;15.0;1.0;0.0;84.0
828;3;Vrouwen;Vestigingsjaar 2001;2002;100.0;39.0;2.0;0.0;59.0
829;3;Vrouwen;Vestigingsjaar 2001;2003;100.0;40.0;3.0;0.0;57.0
830;3;Vrouwen;Vestigingsjaar 2002;1999;;;;;
831;3;Vrouwen;Vestigingsjaar 2002;2000;;;;;
832;3;Vrouwen;Vestigingsjaar 2002;2001;;;;;
833;3;Vrouwen;Vestigingsjaar 2002;2002;100.0;12.0;1.0;0.0;87.0
834;3;Vrouwen;Vestigingsjaar 2002;2003;100.0;35.0;1.0;0.0;64.0
835;3;Vrouwen;Vestigingsjaar 2003;1999;;;;;
836;3;Vrouwen;Vestigingsjaar 2003;2000;;;;;
837;3;Vrouwen;Vestigingsjaar 2003;2001;;;;;
838;3;Vrouwen;Vestigingsjaar 2003;2002;;;;;
839;3;Vrouwen;Vestigingsjaar 2003;2003;100.0;15.0;1.0;0.0;84.0
840;4;Totaal mannen en vrouwen;Vestigingsjaar 1990;1999;100.0;44.0;6.0;3.0;47.0
841;4;Totaal mannen en vrouwen;Vestigingsjaar 1990;2000;100.0;47.0;5.0;4.0;45.0
842;4;Totaal mannen en vrouwen;Vestigingsjaar 1990;2001;100.0;49.0;5.0;4.0;43.0
843;4;Totaal mannen en vrouwen;Vestigingsjaar 1990;2002;100.0;50.0;4.0;4.0;41.0
844;4;Totaal mannen en vrouwen;Vestigingsjaar 1990;2003;100.0;51.0;5.0;4.0;40.0
845;4;Totaal mannen en vrouwen;Vestigingsjaar 1991;1999;100.0;42.0;6.0;3.0;49.0
846;4;Totaal mannen en vrouwen;Vestigingsjaar 1991;2000;100.0;44.0;5.0;3.0;48.0
847;4;Totaal mannen en vrouwen;Vestigingsjaar 1991;2001;100.0;46.0;4.0;4.0;46.0
848;4;Totaal mannen en vrouwen;Vestigingsjaar 1991;2002;100.0;46.0;5.0;5.0;45.0
849;4;Totaal mannen en vrouwen;Vestigingsjaar 1991;2003;100.0;46.0;6.0;5.0;43.0
850;4;Totaal mannen en vrouwen;Vestigingsjaar 1992;1999;100.0;36.0;4.0;2.0;58.0
851;4;Totaal mannen en vrouwen;Vestigingsjaar 1992;2000;100.0;38.0;4.0;2.0;56.0
852;4;Totaal mannen en vrouwen;Vestigingsjaar 1992;2001;100.0;40.0;4.0;3.0;53.0
853;4;Totaal mannen en vrouwen;Vestigingsjaar 1992;2002;100.0;41.0;4.0;4.0;51.0
854;4;Totaal mannen en vrouwen;Vestigingsjaar 1992;2003;100.0;42.0;5.0;4.0;50.0
855;4;Totaal mannen en vrouwen;Vestigingsjaar 1993;1999;100.0;33.0;5.0;2.0;60.0
856;4;Totaal mannen en vrouwen;Vestigingsjaar 1993;2000;100.0;38.0;4.0;2.0;56.0
857;4;Totaal mannen en vrouwen;Vestigingsjaar 1993;2001;100.0;40.0;4.0;3.0;54.0
858;4;Totaal mannen en vrouwen;Vestigingsjaar 1993;2002;100.0;40.0;4.0;3.0;52.0
859;4;Totaal mannen en vrouwen;Vestigingsjaar 1993;2003;100.0;41.0;5.0;4.0;49.0
860;4;Totaal mannen en vrouwen;Vestigingsjaar 1994;1999;100.0;33.0;3.0;2.0;62.0
861;4;Totaal mannen en vrouwen;Vestigingsjaar 1994;2000;100.0;35.0;4.0;2.0;59.0
862;4;Totaal mannen en vrouwen;Vestigingsjaar 1994;2001;100.0;39.0;3.0;3.0;55.0
863;4;Totaal mannen en vrouwen;Vestigingsjaar 1994;2002;100.0;40.0;4.0;3.0;52.0
864;4;Totaal mannen en vrouwen;Vestigingsjaar 1994;2003;100.0;41.0;5.0;3.0;50.0
865;4;Totaal mannen en vrouwen;Vestigingsjaar 1995;1999;100.0;37.0;3.0;1.0;59.0
866;4;Totaal mannen en vrouwen;Vestigingsjaar 1995;2000;100.0;40.0;3.0;1.0;56.0
867;4;Totaal mannen en vrouwen;Vestigingsjaar 1995;2001;100.0;43.0;3.0;2.0;52.0
868;4;Totaal mannen en vrouwen;Vestigingsjaar 1995;2002;100.0;42.0;4.0;3.0;51.0
869;4;Totaal mannen en vrouwen;Vestigingsjaar 1995;2003;100.0;43.0;4.0;3.0;50.0
870;4;Totaal mannen en vrouwen;Vestigingsjaar 1996;1999;100.0;41.0;3.0;1.0;55.0
871;4;Totaal mannen en vrouwen;Vestigingsjaar 1996;2000;100.0;43.0;3.0;1.0;53.0
872;4;Totaal mannen en vrouwen;Vestigingsjaar 1996;2001;100.0;46.0;3.0;2.0;50.0
873;4;Totaal mannen en vrouwen;Vestigingsjaar 1996;2002;100.0;46.0;4.0;3.0;48.0
874;4;Totaal mannen en vrouwen;Vestigingsjaar 1996;2003;100.0;47.0;4.0;3.0;45.0
875;4;Totaal mannen en vrouwen;Vestigingsjaar 1997;1999;100.0;42.0;2.0;1.0;55.0
876;4;Totaal mannen en vrouwen;Vestigingsjaar 1997;2000;100.0;45.0;2.0;2.0;51.0
877;4;Totaal mannen en vrouwen;Vestigingsjaar 1997;2001;100.0;47.0;2.0;2.0;49.0
878;4;Totaal mannen en vrouwen;Vestigingsjaar 1997;2002;100.0;47.0;3.0;2.0;48.0
879;4;Totaal mannen en vrouwen;Vestigingsjaar 1997;2003;100.0;47.0;4.0;3.0;46.0
880;4;Totaal mannen en vrouwen;Vestigingsjaar 1998;1999;100.0;45.0;1.0;1.0;53.0
881;4;Totaal mannen en vrouwen;Vestigingsjaar 1998;2000;100.0;46.0;2.0;1.0;51.0
882;4;Totaal mannen en vrouwen;Vestigingsjaar 1998;2001;100.0;47.0;2.0;1.0;49.0
883;4;Totaal mannen en vrouwen;Vestigingsjaar 1998;2002;100.0;47.0;2.0;2.0;49.0
884;4;Totaal mannen en vrouwen;Vestigingsjaar 1998;2003;100.0;48.0;4.0;3.0;46.0
885;4;Totaal mannen en vrouwen;Vestigingsjaar 1999;1999;100.0;44.0;1.0;0.0;54.0
886;4;Totaal mannen en vrouwen;Vestigingsjaar 1999;2000;100.0;51.0;1.0;1.0;47.0
887;4;Totaal mannen en vrouwen;Vestigingsjaar 1999;2001;100.0;53.0;1.0;1.0;45.0
888;4;Totaal mannen en vrouwen;Vestigingsjaar 1999;2002;100.0;51.0;2.0;2.0;45.0
889;4;Totaal mannen en vrouwen;Vestigingsjaar 1999;2003;100.0;52.0;3.0;2.0;44.0
890;4;Totaal mannen en vrouwen;Vestigingsjaar 2000;1999;;;;;
891;4;Totaal mannen en vrouwen;Vestigingsjaar 2000;2000;100.0;51.0;1.0;0.0;48.0
892;4;Totaal mannen en vrouwen;Vestigingsjaar 2000;2001;100.0;56.0;1.0;1.0;43.0
893;4;Totaal mannen en vrouwen;Vestigingsjaar 2000;2002;100.0;53.0;1.0;1.0;45.0
894;4;Totaal mannen en vrouwen;Vestigingsjaar 2000;2003;100.0;54.0;2.0;2.0;42.0
895;4;Totaal mannen en vrouwen;Vestigingsjaar 2001;1999;;;;;
896;4;Totaal mannen en vrouwen;Vestigingsjaar 2001;2000;;;;;
897;4;Totaal mannen en vrouwen;Vestigingsjaar 2001;2001;100.0;51.0;1.0;0.0;48.0
898;4;Totaal mannen en vrouwen;Vestigingsjaar 2001;2002;100.0;54.0;2.0;1.0;44.0
899;4;Totaal mannen en vrouwen;Vestigingsjaar 2001;2003;100.0;53.0;2.0;1.0;43.0
900;4;Totaal mannen en vrouwen;Vestigingsjaar 2002;1999;;;;;
901;4;Totaal mannen en vrouwen;Vestigingsjaar 2002;2000;;;;;
902;4;Totaal mannen en vrouwen;Vestigingsjaar 2002;2001;;;;;
903;4;Totaal mannen en vrouwen;Vestigingsjaar 2002;2002;100.0;49.0;2.0;1.0;49.0
904;4;Totaal mannen en vrouwen;Vestigingsjaar 2002;2003;100.0;52.0;2.0;1.0;45.0
905;4;Totaal mannen en vrouwen;Vestigingsjaar 2003;1999;;;;;
906;4;Totaal mannen en vrouwen;Vestigingsjaar 2003;2000;;;;;
907;4;Totaal mannen en vrouwen;Vestigingsjaar 2003;2001;;;;;
908;4;Totaal mannen en vrouwen;Vestigingsjaar 2003;2002;;;;;
909;4;Totaal mannen en vrouwen;Vestigingsjaar 2003;2003;100.0;47.0;2.0;1.0;51.0
910;4;Mannen;Vestigingsjaar 1990;1999;100.0;45.0;5.0;4.0;46.0
911;4;Mannen;Vestigingsjaar 1990;2000;100.0;46.0;4.0;4.0;46.0
912;4;Mannen;Vestigingsjaar 1990;2001;100.0;48.0;4.0;4.0;44.0
913;4;Mannen;Vestigingsjaar 1990;2002;100.0;50.0;4.0;4.0;42.0
914;4;Mannen;Vestigingsjaar 1990;2003;100.0;49.0;6.0;4.0;41.0
915;4;Mannen;Vestigingsjaar 1991;1999;100.0;44.0;5.0;3.0;49.0
916;4;Mannen;Vestigingsjaar 1991;2000;100.0;45.0;3.0;2.0;49.0
917;4;Mannen;Vestigingsjaar 1991;2001;100.0;47.0;4.0;3.0;47.0
918;4;Mannen;Vestigingsjaar 1991;2002;100.0;46.0;5.0;4.0;46.0
919;4;Mannen;Vestigingsjaar 1991;2003;100.0;46.0;6.0;5.0;44.0
920;4;Mannen;Vestigingsjaar 1992;1999;100.0;37.0;3.0;2.0;59.0
921;4;Mannen;Vestigingsjaar 1992;2000;100.0;39.0;3.0;3.0;56.0
922;4;Mannen;Vestigingsjaar 1992;2001;100.0;40.0;4.0;3.0;53.0
923;4;Mannen;Vestigingsjaar 1992;2002;100.0;40.0;4.0;3.0;53.0
924;4;Mannen;Vestigingsjaar 1992;2003;100.0;39.0;5.0;3.0;53.0
925;4;Mannen;Vestigingsjaar 1993;1999;100.0;34.0;4.0;1.0;61.0
926;4;Mannen;Vestigingsjaar 1993;2000;100.0;38.0;4.0;2.0;57.0
927;4;Mannen;Vestigingsjaar 1993;2001;100.0;40.0;3.0;2.0;55.0
928;4;Mannen;Vestigingsjaar 1993;2002;100.0;40.0;3.0;3.0;54.0
929;4;Mannen;Vestigingsjaar 1993;2003;100.0;43.0;4.0;4.0;49.0
930;4;Mannen;Vestigingsjaar 1994;1999;100.0;33.0;3.0;2.0;62.0
931;4;Mannen;Vestigingsjaar 1994;2000;100.0;34.0;4.0;2.0;60.0
932;4;Mannen;Vestigingsjaar 1994;2001;100.0;38.0;3.0;3.0;57.0
933;4;Mannen;Vestigingsjaar 1994;2002;100.0;39.0;4.0;3.0;54.0
934;4;Mannen;Vestigingsjaar 1994;2003;100.0;39.0;6.0;3.0;52.0
935;4;Mannen;Vestigingsjaar 1995;1999;100.0;39.0;3.0;1.0;57.0
936;4;Mannen;Vestigingsjaar 1995;2000;100.0;42.0;3.0;2.0;54.0
937;4;Mannen;Vestigingsjaar 1995;2001;100.0;44.0;3.0;2.0;51.0
938;4;Mannen;Vestigingsjaar 1995;2002;100.0;44.0;3.0;3.0;50.0
939;4;Mannen;Vestigingsjaar 1995;2003;100.0;44.0;3.0;3.0;49.0
940;4;Mannen;Vestigingsjaar 1996;1999;100.0;45.0;3.0;1.0;51.0
941;4;Mannen;Vestigingsjaar 1996;2000;100.0;47.0;2.0;1.0;50.0
942;4;Mannen;Vestigingsjaar 1996;2001;100.0;49.0;2.0;2.0;47.0
943;4;Mannen;Vestigingsjaar 1996;2002;100.0;48.0;4.0;3.0;45.0
944;4;Mannen;Vestigingsjaar 1996;2003;100.0;49.0;5.0;4.0;42.0
945;4;Mannen;Vestigingsjaar 1997;1999;100.0;46.0;2.0;1.0;51.0
946;4;Mannen;Vestigingsjaar 1997;2000;100.0;50.0;1.0;2.0;47.0
947;4;Mannen;Vestigingsjaar 1997;2001;100.0;51.0;2.0;2.0;45.0
948;4;Mannen;Vestigingsjaar 1997;2002;100.0;50.0;2.0;2.0;46.0
949;4;Mannen;Vestigingsjaar 1997;2003;100.0;50.0;3.0;4.0;43.0
950;4;Mannen;Vestigingsjaar 1998;1999;100.0;48.0;2.0;1.0;49.0
951;4;Mannen;Vestigingsjaar 1998;2000;100.0;50.0;2.0;1.0;47.0
952;4;Mannen;Vestigingsjaar 1998;2001;100.0;51.0;2.0;2.0;46.0
953;4;Mannen;Vestigingsjaar 1998;2002;100.0;50.0;2.0;2.0;46.0
954;4;Mannen;Vestigingsjaar 1998;2003;100.0;49.0;4.0;3.0;43.0
955;4;Mannen;Vestigingsjaar 1999;1999;100.0;51.0;1.0;1.0;47.0
956;4;Mannen;Vestigingsjaar 1999;2000;100.0;55.0;1.0;1.0;43.0
957;4;Mannen;Vestigingsjaar 1999;2001;100.0;56.0;1.0;1.0;41.0
958;4;Mannen;Vestigingsjaar 1999;2002;100.0;54.0;2.0;2.0;43.0
959;4;Mannen;Vestigingsjaar 1999;2003;100.0;54.0;3.0;2.0;41.0
960;4;Mannen;Vestigingsjaar 2000;1999;100.0;;;;
961;4;Mannen;Vestigingsjaar 2000;2000;100.0;60.0;1.0;0.0;39.0
962;4;Mannen;Vestigingsjaar 2000;2001;100.0;62.0;1.0;1.0;36.0
963;4;Mannen;Vestigingsjaar 2000;2002;100.0;59.0;1.0;1.0;39.0
964;4;Mannen;Vestigingsjaar 2000;2003;100.0;59.0;3.0;2.0;37.0
965;4;Mannen;Vestigingsjaar 2001;1999;;;;;
966;4;Mannen;Vestigingsjaar 2001;2000;;;;;
967;4;Mannen;Vestigingsjaar 2001;2001;100.0;60.0;1.0;0.0;39.0
968;4;Mannen;Vestigingsjaar 2001;2002;100.0;60.0;1.0;1.0;38.0
969;4;Mannen;Vestigingsjaar 2001;2003;100.0;59.0;2.0;1.0;38.0
970;4;Mannen;Vestigingsjaar 2002;1999;;;;;
971;4;Mannen;Vestigingsjaar 2002;2000;;;;;
972;4;Mannen;Vestigingsjaar 2002;2001;;;;;
973;4;Mannen;Vestigingsjaar 2002;2002;100.0;56.0;1.0;1.0;42.0
974;4;Mannen;Vestigingsjaar 2002;2003;100.0;58.0;3.0;1.0;39.0
975;4;Mannen;Vestigingsjaar 2003;1999;;;;;
976;4;Mannen;Vestigingsjaar 2003;2000;;;;;
977;4;Mannen;Vestigingsjaar 2003;2001;;;;;
978;4;Mannen;Vestigingsjaar 2003;2002;;;;;
979;4;Mannen;Vestigingsjaar 2003;2003;100.0;54.0;2.0;1.0;43.0
980;4;Vrouwen;Vestigingsjaar 1990;1999;100.0;43.0;6.0;3.0;48.0
981;4;Vrouwen;Vestigingsjaar 1990;2000;100.0;48.0;5.0;4.0;43.0
982;4;Vrouwen;Vestigingsjaar 1990;2001;100.0;49.0;5.0;4.0;42.0
983;4;Vrouwen;Vestigingsjaar 1990;2002;100.0;51.0;5.0;4.0;40.0
984;4;Vrouwen;Vestigingsjaar 1990;2003;100.0;52.0;5.0;4.0;39.0
985;4;Vrouwen;Vestigingsjaar 1991;1999;100.0;41.0;6.0;4.0;49.0
986;4;Vrouwen;Vestigingsjaar 1991;2000;100.0;43.0;6.0;4.0;47.0
987;4;Vrouwen;Vestigingsjaar 1991;2001;100.0;46.0;5.0;4.0;45.0
988;4;Vrouwen;Vestigingsjaar 1991;2002;100.0;46.0;5.0;6.0;44.0
989;4;Vrouwen;Vestigingsjaar 1991;2003;100.0;47.0;6.0;5.0;43.0
990;4;Vrouwen;Vestigingsjaar 1992;1999;100.0;36.0;5.0;2.0;57.0
991;4;Vrouwen;Vestigingsjaar 1992;2000;100.0;37.0;5.0;2.0;56.0
992;4;Vrouwen;Vestigingsjaar 1992;2001;100.0;39.0;5.0;3.0;53.0
993;4;Vrouwen;Vestigingsjaar 1992;2002;100.0;41.0;4.0;4.0;50.0
994;4;Vrouwen;Vestigingsjaar 1992;2003;100.0;43.0;5.0;4.0;47.0
995;4;Vrouwen;Vestigingsjaar 1993;1999;100.0;33.0;6.0;2.0;59.0
996;4;Vrouwen;Vestigingsjaar 1993;2000;100.0;37.0;4.0;3.0;56.0
997;4;Vrouwen;Vestigingsjaar 1993;2001;100.0;40.0;4.0;3.0;53.0
998;4;Vrouwen;Vestigingsjaar 1993;2002;100.0;40.0;5.0;4.0;51.0
999;4;Vrouwen;Vestigingsjaar 1993;2003;100.0;40.0;6.0;4.0;49.0
1000;4;Vrouwen;Vestigingsjaar 1994;1999;100.0;34.0;3.0;2.0;61.0
1001;4;Vrouwen;Vestigingsjaar 1994;2000;100.0;35.0;4.0;2.0;59.0
1002;4;Vrouwen;Vestigingsjaar 1994;2001;100.0;39.0;4.0;3.0;54.0
1003;4;Vrouwen;Vestigingsjaar 1994;2002;100.0;41.0;5.0;3.0;51.0
1004;4;Vrouwen;Vestigingsjaar 1994;2003;100.0;43.0;4.0;4.0;49.0
1005;4;Vrouwen;Vestigingsjaar 1995;1999;100.0;35.0;3.0;1.0;61.0
1006;4;Vrouwen;Vestigingsjaar 1995;2000;100.0;39.0;3.0;1.0;57.0
1007;4;Vrouwen;Vestigingsjaar 1995;2001;100.0;42.0;3.0;2.0;53.0
1008;4;Vrouwen;Vestigingsjaar 1995;2002;100.0;41.0;4.0;3.0;52.0
1009;4;Vrouwen;Vestigingsjaar 1995;2003;100.0;43.0;5.0;3.0;50.0
1010;4;Vrouwen;Vestigingsjaar 1996;1999;100.0;38.0;3.0;1.0;57.0
1011;4;Vrouwen;Vestigingsjaar 1996;2000;100.0;40.0;3.0;2.0;55.0
1012;4;Vrouwen;Vestigingsjaar 1996;2001;100.0;43.0;3.0;2.0;52.0
1013;4;Vrouwen;Vestigingsjaar 1996;2002;100.0;44.0;4.0;2.0;50.0
1014;4;Vrouwen;Vestigingsjaar 1996;2003;100.0;45.0;4.0;2.0;48.0
1015;4;Vrouwen;Vestigingsjaar 1997;1999;100.0;38.0;3.0;1.0;58.0
1016;4;Vrouwen;Vestigingsjaar 1997;2000;100.0;41.0;3.0;1.0;54.0
1017;4;Vrouwen;Vestigingsjaar 1997;2001;100.0;43.0;3.0;2.0;52.0
1018;4;Vrouwen;Vestigingsjaar 1997;2002;100.0;45.0;3.0;2.0;49.0
1019;4;Vrouwen;Vestigingsjaar 1997;2003;100.0;45.0;4.0;3.0;48.0
1020;4;Vrouwen;Vestigingsjaar 1998;1999;100.0;42.0;1.0;1.0;56.0
1021;4;Vrouwen;Vestigingsjaar 1998;2000;100.0;44.0;1.0;1.0;54.0
1022;4;Vrouwen;Vestigingsjaar 1998;2001;100.0;44.0;2.0;1.0;52.0
1023;4;Vrouwen;Vestigingsjaar 1998;2002;100.0;45.0;3.0;2.0;51.0
1024;4;Vrouwen;Vestigingsjaar 1998;2003;100.0;47.0;4.0;2.0;47.0
1025;4;Vrouwen;Vestigingsjaar 1999;1999;100.0;38.0;1.0;0.0;60.0
