ID;Geslacht;Arbeidsduur;Persoonskenmerken;PositieInDeWerkkring;Perioden;WerkzameBeroepsbevolking_1;WerkzameBeroepsbevolkingMetInkomen_2;GemiddeldPersoonlijkPrimairInkomen_3;GemiddeldPersoonlijkInkomen_4;GemiddeldGestandaardiseerdInkomen_5;WerkzameBeroepsbevolkingInkOnbekend_6
24;Totaal mannen en vrouwen;Totaal;Totaal personen;Werknemer met vaste arbeidsrelatie;2013;4723.0;4604.0;50.7;41.8;31.0;119.0
25;Totaal mannen en vrouwen;Totaal;Totaal personen;Werknemer met vaste arbeidsrelatie;2014;4613.0;4461.0;52.0;42.7;32.3;152.0
26;Totaal mannen en vrouwen;Totaal;Totaal personen;Werknemer met vaste arbeidsrelatie;2015;4608.0;4481.0;52.1;43.9;32.9;127.0
27;Totaal mannen en vrouwen;Totaal;Totaal personen;Werknemer met vaste arbeidsrelatie;2016;4622.0;4456.0;53.2;44.7;34.4;166.0
28;Totaal mannen en vrouwen;Totaal;Totaal personen;Werknemer met vaste arbeidsrelatie;2017;4672.0;4418.0;54.0;45.3;35.3;254.0
29;Totaal mannen en vrouwen;Totaal;Totaal personen;Werknemer met vaste arbeidsrelatie;2018;4814.0;4589.0;55.0;46.0;35.5;225.0
30;Totaal mannen en vrouwen;Totaal;Totaal personen;Werknemer met vaste arbeidsrelatie;2019;4996.0;4767.0;56.9;47.2;38.3;229.0
31;Totaal mannen en vrouwen;Totaal;Totaal personen;Werknemer met vaste arbeidsrelatie;2020;5158.0;4865.0;58.4;48.5;39.1;293.0
32;Totaal mannen en vrouwen;Totaal;Totaal personen;Werknemer met vaste arbeidsrelatie;2021;5230.0;5225.0;60.8;50.8;41.6;6.0
33;Totaal mannen en vrouwen;Totaal;Totaal personen;Werknemer met vaste arbeidsrelatie;2022;5318.0;5312.0;64.7;53.3;43.8;6.0
34;Totaal mannen en vrouwen;Totaal;Totaal personen;Werknemer met vaste arbeidsrelatie;2023;5416.0;5409.0;68.4;55.9;46.8;7.0
35;Totaal mannen en vrouwen;Totaal;Totaal personen;Werknemer met vaste arbeidsrelatie;2024;5500.0;;;;;
36;Totaal mannen en vrouwen;Totaal;Totaal personen;Werknemer met flexibele arbeidsrelatie;2013;2476.0;2394.0;20.5;20.8;26.1;81.0
37;Totaal mannen en vrouwen;Totaal;Totaal personen;Werknemer met flexibele arbeidsrelatie;2014;2519.0;2412.0;20.8;21.2;27.6;107.0
38;Totaal mannen en vrouwen;Totaal;Totaal personen;Werknemer met flexibele arbeidsrelatie;2015;2583.0;2497.0;21.0;21.1;27.2;86.0
39;Totaal mannen en vrouwen;Totaal;Totaal personen;Werknemer met flexibele arbeidsrelatie;2016;2647.0;2538.0;21.4;21.4;28.5;110.0
40;Totaal mannen en vrouwen;Totaal;Totaal personen;Werknemer met flexibele arbeidsrelatie;2017;2751.0;2572.0;22.5;22.0;29.4;179.0
41;Totaal mannen en vrouwen;Totaal;Totaal personen;Werknemer met flexibele arbeidsrelatie;2018;2791.0;2639.0;23.0;22.1;29.8;152.0
42;Totaal mannen en vrouwen;Totaal;Totaal personen;Werknemer met flexibele arbeidsrelatie;2019;2765.0;2603.0;23.5;22.6;31.4;161.0
43;Totaal mannen en vrouwen;Totaal;Totaal personen;Werknemer met flexibele arbeidsrelatie;2020;2545.0;2361.0;25.2;23.6;33.4;183.0
44;Totaal mannen en vrouwen;Totaal;Totaal personen;Werknemer met flexibele arbeidsrelatie;2021;2580.0;2567.0;25.9;23.7;36.6;13.0
45;Totaal mannen en vrouwen;Totaal;Totaal personen;Werknemer met flexibele arbeidsrelatie;2022;2692.0;2680.0;28.1;25.3;38.4;12.0
46;Totaal mannen en vrouwen;Totaal;Totaal personen;Werknemer met flexibele arbeidsrelatie;2023;2735.0;2723.0;29.4;26.6;41.3;13.0
47;Totaal mannen en vrouwen;Totaal;Totaal personen;Werknemer met flexibele arbeidsrelatie;2024;2682.0;;;;;
48;Totaal mannen en vrouwen;Totaal;Totaal personen;Werknemer tijdelijk, uitzicht op vast;2013;387.0;377.0;35.9;31.3;27.8;10.0
49;Totaal mannen en vrouwen;Totaal;Totaal personen;Werknemer tijdelijk, uitzicht op vast;2014;370.0;357.0;37.8;33.0;29.0;13.0
50;Totaal mannen en vrouwen;Totaal;Totaal personen;Werknemer tijdelijk, uitzicht op vast;2015;411.0;400.0;36.9;32.4;29.2;11.0
51;Totaal mannen en vrouwen;Totaal;Totaal personen;Werknemer tijdelijk, uitzicht op vast;2016;443.0;427.0;37.5;33.1;30.7;16.0
52;Totaal mannen en vrouwen;Totaal;Totaal personen;Werknemer tijdelijk, uitzicht op vast;2017;523.0;492.0;38.1;33.5;31.5;31.0
53;Totaal mannen en vrouwen;Totaal;Totaal personen;Werknemer tijdelijk, uitzicht op vast;2018;586.0;559.0;37.8;32.9;31.4;27.0
54;Totaal mannen en vrouwen;Totaal;Totaal personen;Werknemer tijdelijk, uitzicht op vast;2019;589.0;564.0;38.7;33.4;32.6;25.0
55;Totaal mannen en vrouwen;Totaal;Totaal personen;Werknemer tijdelijk, uitzicht op vast;2020;565.0;529.0;42.1;35.7;34.8;36.0
56;Totaal mannen en vrouwen;Totaal;Totaal personen;Werknemer tijdelijk, uitzicht op vast;2021;520.0;516.0;45.3;38.0;39.3;3.0
57;Totaal mannen en vrouwen;Totaal;Totaal personen;Werknemer tijdelijk, uitzicht op vast;2022;602.0;599.0;47.6;39.4;40.4;2.0
58;Totaal mannen en vrouwen;Totaal;Totaal personen;Werknemer tijdelijk, uitzicht op vast;2023;643.0;640.0;49.4;40.8;42.8;3.0
59;Totaal mannen en vrouwen;Totaal;Totaal personen;Werknemer tijdelijk, uitzicht op vast;2024;626.0;;;;;
60;Totaal mannen en vrouwen;Totaal;Totaal personen;Werknemer tijdelijk >= 1 jaar;2013;306.0;298.0;32.2;29.3;28.1;8.0
61;Totaal mannen en vrouwen;Totaal;Totaal personen;Werknemer tijdelijk >= 1 jaar;2014;317.0;303.0;31.7;29.2;29.4;13.0
62;Totaal mannen en vrouwen;Totaal;Totaal personen;Werknemer tijdelijk >= 1 jaar;2015;294.0;285.0;30.8;27.7;29.1;9.0
63;Totaal mannen en vrouwen;Totaal;Totaal personen;Werknemer tijdelijk >= 1 jaar;2016;270.0;261.0;31.3;28.5;30.5;9.0
64;Totaal mannen en vrouwen;Totaal;Totaal personen;Werknemer tijdelijk >= 1 jaar;2017;259.0;243.0;32.6;29.4;31.9;17.0
65;Totaal mannen en vrouwen;Totaal;Totaal personen;Werknemer tijdelijk >= 1 jaar;2018;257.0;245.0;33.2;29.8;31.7;12.0
66;Totaal mannen en vrouwen;Totaal;Totaal personen;Werknemer tijdelijk >= 1 jaar;2019;231.0;218.0;33.5;29.7;32.7;12.0
67;Totaal mannen en vrouwen;Totaal;Totaal personen;Werknemer tijdelijk >= 1 jaar;2020;245.0;230.0;36.9;32.6;35.0;15.0
68;Totaal mannen en vrouwen;Totaal;Totaal personen;Werknemer tijdelijk >= 1 jaar;2021;353.0;351.0;36.8;32.2;38.2;2.0
69;Totaal mannen en vrouwen;Totaal;Totaal personen;Werknemer tijdelijk >= 1 jaar;2022;401.0;400.0;39.4;34.0;39.6;1.0
70;Totaal mannen en vrouwen;Totaal;Totaal personen;Werknemer tijdelijk >= 1 jaar;2023;387.0;384.0;40.5;35.3;42.0;2.0
71;Totaal mannen en vrouwen;Totaal;Totaal personen;Werknemer tijdelijk >= 1 jaar;2024;377.0;;;;;
72;Totaal mannen en vrouwen;Totaal;Totaal personen;Werknemer tijdelijk < 1 jaar;2013;258.0;249.0;17.6;18.7;24.7;9.0
73;Totaal mannen en vrouwen;Totaal;Totaal personen;Werknemer tijdelijk < 1 jaar;2014;253.0;243.0;19.3;20.4;27.0;10.0
74;Totaal mannen en vrouwen;Totaal;Totaal personen;Werknemer tijdelijk < 1 jaar;2015;258.0;248.0;18.7;19.5;26.3;9.0
75;Totaal mannen en vrouwen;Totaal;Totaal personen;Werknemer tijdelijk < 1 jaar;2016;278.0;264.0;17.8;19.0;27.9;15.0
76;Totaal mannen en vrouwen;Totaal;Totaal personen;Werknemer tijdelijk < 1 jaar;2017;299.0;281.0;19.6;20.0;27.9;18.0
77;Totaal mannen en vrouwen;Totaal;Totaal personen;Werknemer tijdelijk < 1 jaar;2018;267.0;253.0;18.9;19.3;28.6;14.0
78;Totaal mannen en vrouwen;Totaal;Totaal personen;Werknemer tijdelijk < 1 jaar;2019;278.0;262.0;19.5;19.7;28.9;16.0
79;Totaal mannen en vrouwen;Totaal;Totaal personen;Werknemer tijdelijk < 1 jaar;2020;249.0;232.0;21.3;21.4;32.0;17.0
80;Totaal mannen en vrouwen;Totaal;Totaal personen;Werknemer tijdelijk < 1 jaar;2021;263.0;262.0;19.5;19.5;33.1;1.0
81;Totaal mannen en vrouwen;Totaal;Totaal personen;Werknemer tijdelijk < 1 jaar;2022;273.0;271.0;20.9;19.8;35.4;1.0
82;Totaal mannen en vrouwen;Totaal;Totaal personen;Werknemer tijdelijk < 1 jaar;2023;278.0;276.0;21.3;20.6;37.8;2.0
83;Totaal mannen en vrouwen;Totaal;Totaal personen;Werknemer tijdelijk < 1 jaar;2024;260.0;;;;;
84;Totaal mannen en vrouwen;Totaal;Totaal personen;Oproep/-invalkracht;2013;1186.0;1140.0;12.6;14.9;26.1;45.0
85;Totaal mannen en vrouwen;Totaal;Totaal personen;Oproep/-invalkracht;2014;1205.0;1150.0;11.9;14.5;27.7;55.0
86;Totaal mannen en vrouwen;Totaal;Totaal personen;Oproep/-invalkracht;2015;1223.0;1181.0;12.3;14.6;26.9;43.0
87;Totaal mannen en vrouwen;Totaal;Totaal personen;Oproep/-invalkracht;2016;1221.0;1166.0;12.6;14.6;28.1;55.0
88;Totaal mannen en vrouwen;Totaal;Totaal personen;Oproep/-invalkracht;2017;1241.0;1153.0;12.9;14.8;29.2;87.0
89;Totaal mannen en vrouwen;Totaal;Totaal personen;Oproep/-invalkracht;2018;1240.0;1161.0;13.0;14.3;29.9;79.0
90;Totaal mannen en vrouwen;Totaal;Totaal personen;Oproep/-invalkracht;2019;1242.0;1158.0;13.6;15.2;32.3;84.0
91;Totaal mannen en vrouwen;Totaal;Totaal personen;Oproep/-invalkracht;2020;1142.0;1051.0;13.4;14.7;33.7;91.0
92;Totaal mannen en vrouwen;Totaal;Totaal personen;Oproep/-invalkracht;2021;940.0;937.0;11.7;12.8;36.7;3.0
93;Totaal mannen en vrouwen;Totaal;Totaal personen;Oproep/-invalkracht;2022;923.0;921.0;11.1;12.4;38.7;3.0
94;Totaal mannen en vrouwen;Totaal;Totaal personen;Oproep/-invalkracht;2023;962.0;959.0;11.7;13.4;42.2;3.0
95;Totaal mannen en vrouwen;Totaal;Totaal personen;Oproep/-invalkracht;2024;967.0;;;;;
96;Totaal mannen en vrouwen;Totaal;Totaal personen;Uitzendkracht;2013;339.0;329.0;21.8;23.1;23.1;10.0
97;Totaal mannen en vrouwen;Totaal;Totaal personen;Uitzendkracht;2014;375.0;358.0;24.6;24.9;24.8;17.0
98;Totaal mannen en vrouwen;Totaal;Totaal personen;Uitzendkracht;2015;397.0;383.0;25.5;25.6;25.2;14.0
99;Totaal mannen en vrouwen;Totaal;Totaal personen;Uitzendkracht;2016;436.0;420.0;25.8;25.3;26.3;16.0
100;Totaal mannen en vrouwen;Totaal;Totaal personen;Uitzendkracht;2017;428.0;403.0;26.6;25.7;27.2;25.0
101;Totaal mannen en vrouwen;Totaal;Totaal personen;Uitzendkracht;2018;441.0;421.0;27.3;26.4;27.2;20.0
102;Totaal mannen en vrouwen;Totaal;Totaal personen;Uitzendkracht;2019;426.0;402.0;28.1;26.7;28.2;24.0
103;Totaal mannen en vrouwen;Totaal;Totaal personen;Uitzendkracht;2020;343.0;320.0;30.3;28.0;30.1;24.0
104;Totaal mannen en vrouwen;Totaal;Totaal personen;Uitzendkracht;2021;423.0;421.0;32.1;29.0;33.7;3.0
105;Totaal mannen en vrouwen;Totaal;Totaal personen;Uitzendkracht;2022;407.0;403.0;35.8;31.9;35.4;4.0
106;Totaal mannen en vrouwen;Totaal;Totaal personen;Uitzendkracht;2023;379.0;377.0;39.9;35.3;38.7;2.0
107;Totaal mannen en vrouwen;Totaal;Totaal personen;Uitzendkracht;2024;362.0;;;;;
108;Totaal mannen en vrouwen;Totaal;Totaal personen;Werknemer flex, contract onbekend;2013;;;;;;
109;Totaal mannen en vrouwen;Totaal;Totaal personen;Werknemer flex, contract onbekend;2014;;;;;;
110;Totaal mannen en vrouwen;Totaal;Totaal personen;Werknemer flex, contract onbekend;2015;;;;;;
111;Totaal mannen en vrouwen;Totaal;Totaal personen;Werknemer flex, contract onbekend;2016;;;;;;
112;Totaal mannen en vrouwen;Totaal;Totaal personen;Werknemer flex, contract onbekend;2017;;;;;;
113;Totaal mannen en vrouwen;Totaal;Totaal personen;Werknemer flex, contract onbekend;2018;;;;;;
114;Totaal mannen en vrouwen;Totaal;Totaal personen;Werknemer flex, contract onbekend;2019;;;;;;
115;Totaal mannen en vrouwen;Totaal;Totaal personen;Werknemer flex, contract onbekend;2020;;;;;;
116;Totaal mannen en vrouwen;Totaal;Totaal personen;Werknemer flex, contract onbekend;2021;81.0;80.0;8.0;8.9;36.9;1.0
117;Totaal mannen en vrouwen;Totaal;Totaal personen;Werknemer flex, contract onbekend;2022;85.0;85.0;8.0;8.8;39.0;0.0
118;Totaal mannen en vrouwen;Totaal;Totaal personen;Werknemer flex, contract onbekend;2023;87.0;86.0;9.5;10.6;39.6;0.0
119;Totaal mannen en vrouwen;Totaal;Totaal personen;Werknemer flex, contract onbekend;2024;90.0;;;;;
120;Totaal mannen en vrouwen;Totaal;Totaal personen;Zelfstandige;2013;1234.0;1196.0;35.8;37.4;31.9;39.0
121;Totaal mannen en vrouwen;Totaal;Totaal personen;Zelfstandige;2014;1251.0;1208.0;37.5;39.0;35.6;42.0
122;Totaal mannen en vrouwen;Totaal;Totaal personen;Zelfstandige;2015;1267.0;1227.0;36.7;38.1;34.0;39.0
123;Totaal mannen en vrouwen;Totaal;Totaal personen;Zelfstandige;2016;1300.0;1250.0;39.2;40.6;36.5;50.0
124;Totaal mannen en vrouwen;Totaal;Totaal personen;Zelfstandige;2017;1322.0;1246.0;41.0;43.6;38.6;77.0
125;Totaal mannen en vrouwen;Totaal;Totaal personen;Zelfstandige;2018;1335.0;1261.0;42.1;43.5;38.9;74.0
126;Totaal mannen en vrouwen;Totaal;Totaal personen;Zelfstandige;2019;1356.0;1283.0;44.0;45.1;44.5;73.0
127;Totaal mannen en vrouwen;Totaal;Totaal personen;Zelfstandige;2020;1413.0;1318.0;43.8;45.7;43.1;95.0
128;Totaal mannen en vrouwen;Totaal;Totaal personen;Zelfstandige;2021;1445.0;1440.0;47.6;50.0;46.0;5.0
129;Totaal mannen en vrouwen;Totaal;Totaal personen;Zelfstandige;2022;1539.0;1534.0;51.1;52.8;50.5;5.0
130;Totaal mannen en vrouwen;Totaal;Totaal personen;Zelfstandige;2023;1586.0;1574.0;52.8;54.4;51.6;12.0
131;Totaal mannen en vrouwen;Totaal;Totaal personen;Zelfstandige;2024;1615.0;;;;;
132;Totaal mannen en vrouwen;Totaal;Totaal personen;Zzp-eigen arbeid;2013;701.0;680.0;30.4;33.1;30.5;21.0
133;Totaal mannen en vrouwen;Totaal;Totaal personen;Zzp-eigen arbeid;2014;709.0;683.0;32.9;35.8;33.8;26.0
134;Totaal mannen en vrouwen;Totaal;Totaal personen;Zzp-eigen arbeid;2015;721.0;695.0;32.5;34.7;32.7;26.0
135;Totaal mannen en vrouwen;Totaal;Totaal personen;Zzp-eigen arbeid;2016;744.0;717.0;34.0;36.4;34.5;27.0
136;Totaal mannen en vrouwen;Totaal;Totaal personen;Zzp-eigen arbeid;2017;766.0;725.0;35.6;38.7;36.2;42.0
137;Totaal mannen en vrouwen;Totaal;Totaal personen;Zzp-eigen arbeid;2018;799.0;752.0;37.3;39.5;37.1;47.0
138;Totaal mannen en vrouwen;Totaal;Totaal personen;Zzp-eigen arbeid;2019;823.0;777.0;39.1;41.0;40.0;46.0
139;Totaal mannen en vrouwen;Totaal;Totaal personen;Zzp-eigen arbeid;2020;853.0;794.0;39.4;42.3;40.3;59.0
140;Totaal mannen en vrouwen;Totaal;Totaal personen;Zzp-eigen arbeid;2021;895.0;893.0;40.9;44.5;43.2;2.0
141;Totaal mannen en vrouwen;Totaal;Totaal personen;Zzp-eigen arbeid;2022;991.0;987.0;46.0;48.6;47.3;4.0
142;Totaal mannen en vrouwen;Totaal;Totaal personen;Zzp-eigen arbeid;2023;1037.0;1027.0;46.6;49.1;47.8;10.0
143;Totaal mannen en vrouwen;Totaal;Totaal personen;Zzp-eigen arbeid;2024;1079.0;;;;;
144;Totaal mannen en vrouwen;Totaal;Totaal personen;Zzp-producten;2013;194.0;186.0;22.7;24.9;28.4;8.0
145;Totaal mannen en vrouwen;Totaal;Totaal personen;Zzp-producten;2014;207.0;201.0;23.6;26.2;30.0;5.0
146;Totaal mannen en vrouwen;Totaal;Totaal personen;Zzp-producten;2015;215.0;211.0;24.5;27.1;30.3;4.0
147;Totaal mannen en vrouwen;Totaal;Totaal personen;Zzp-producten;2016;216.0;207.0;28.1;30.2;33.6;9.0
148;Totaal mannen en vrouwen;Totaal;Totaal personen;Zzp-producten;2017;219.0;207.0;31.1;33.9;35.5;13.0
149;Totaal mannen en vrouwen;Totaal;Totaal personen;Zzp-producten;2018;200.0;190.0;30.0;32.6;33.7;10.0
150;Totaal mannen en vrouwen;Totaal;Totaal personen;Zzp-producten;2019;196.0;187.0;32.9;34.7;38.1;10.0
151;Totaal mannen en vrouwen;Totaal;Totaal personen;Zzp-producten;2020;201.0;189.0;29.7;32.7;38.3;12.0
152;Totaal mannen en vrouwen;Totaal;Totaal personen;Zzp-producten;2021;183.0;182.0;32.0;34.7;38.2;2.0
153;Totaal mannen en vrouwen;Totaal;Totaal personen;Zzp-producten;2022;184.0;184.0;36.9;39.4;47.0;0.0
154;Totaal mannen en vrouwen;Totaal;Totaal personen;Zzp-producten;2023;192.0;191.0;41.1;43.2;46.6;1.0
155;Totaal mannen en vrouwen;Totaal;Totaal personen;Zzp-producten;2024;183.0;;;;;
156;Totaal mannen en vrouwen;Totaal;Totaal personen;Meewerkend gezinslid;2013;38.0;36.0;21.9;21.7;30.8;2.0
157;Totaal mannen en vrouwen;Totaal;Totaal personen;Meewerkend gezinslid;2014;36.0;35.0;18.9;19.0;32.3;1.0
158;Totaal mannen en vrouwen;Totaal;Totaal personen;Meewerkend gezinslid;2015;40.0;40.0;16.1;17.3;27.5;1.0
159;Totaal mannen en vrouwen;Totaal;Totaal personen;Meewerkend gezinslid;2016;34.0;32.0;19.0;20.0;30.7;2.0
160;Totaal mannen en vrouwen;Totaal;Totaal personen;Meewerkend gezinslid;2017;26.0;24.0;23.5;22.9;37.1;1.0
161;Totaal mannen en vrouwen;Totaal;Totaal personen;Meewerkend gezinslid;2018;26.0;25.0;22.6;22.6;40.0;1.0
162;Totaal mannen en vrouwen;Totaal;Totaal personen;Meewerkend gezinslid;2019;27.0;24.0;23.5;24.6;44.0;3.0
163;Totaal mannen en vrouwen;Totaal;Totaal personen;Meewerkend gezinslid;2020;30.0;28.0;32.5;33.5;46.1;2.0
164;Totaal mannen en vrouwen;Totaal;Totaal personen;Meewerkend gezinslid;2021;33.0;33.0;21.8;25.5;43.4;1.0
165;Totaal mannen en vrouwen;Totaal;Totaal personen;Meewerkend gezinslid;2022;32.0;32.0;21.0;26.2;47.4;0.0
166;Totaal mannen en vrouwen;Totaal;Totaal personen;Meewerkend gezinslid;2023;29.0;29.0;20.8;27.5;49.6;0.0
167;Totaal mannen en vrouwen;Totaal;Totaal personen;Meewerkend gezinslid;2024;25.0;;;;;
168;Totaal mannen en vrouwen;Totaal;Totaal personen;Zelfstandige met personeel;2013;302.0;294.0;58.5;57.1;37.7;8.0
169;Totaal mannen en vrouwen;Totaal;Totaal personen;Zelfstandige met personeel;2014;299.0;289.0;60.3;58.0;44.2;10.0
170;Totaal mannen en vrouwen;Totaal;Totaal personen;Zelfstandige met personeel;2015;290.0;282.0;59.1;57.6;40.7;8.0
171;Totaal mannen en vrouwen;Totaal;Totaal personen;Zelfstandige met personeel;2016;306.0;294.0;62.1;60.5;43.8;12.0
172;Totaal mannen en vrouwen;Totaal;Totaal personen;Zelfstandige met personeel;2017;311.0;290.0;63.2;64.5;46.6;21.0
173;Totaal mannen en vrouwen;Totaal;Totaal personen;Zelfstandige met personeel;2018;310.0;294.0;64.1;62.4;46.7;16.0
174;Totaal mannen en vrouwen;Totaal;Totaal personen;Zelfstandige met personeel;2019;310.0;295.0;65.7;64.0;60.4;15.0
175;Totaal mannen en vrouwen;Totaal;Totaal personen;Zelfstandige met personeel;2020;329.0;307.0;64.9;63.9;53.3;22.0
176;Totaal mannen en vrouwen;Totaal;Totaal personen;Zelfstandige met personeel;2021;334.0;333.0;76.5;75.3;57.9;1.0
177;Totaal mannen en vrouwen;Totaal;Totaal personen;Zelfstandige met personeel;2022;331.0;330.0;77.3;75.8;62.5;1.0
178;Totaal mannen en vrouwen;Totaal;Totaal personen;Zelfstandige met personeel;2023;327.0;326.0;81.7;80.0;66.6;1.0
179;Totaal mannen en vrouwen;Totaal;Totaal personen;Zelfstandige met personeel;2024;328.0;;;;;
180;Totaal mannen en vrouwen;Totaal;Totaal personen;Zelfstandige zonder personeel (zzp);2013;894.0;866.0;28.7;31.3;30.1;29.0
181;Totaal mannen en vrouwen;Totaal;Totaal personen;Zelfstandige zonder personeel (zzp);2014;916.0;884.0;30.8;33.7;33.0;32.0
182;Totaal mannen en vrouwen;Totaal;Totaal personen;Zelfstandige zonder personeel (zzp);2015;936.0;906.0;30.7;33.0;32.2;30.0
183;Totaal mannen en vrouwen;Totaal;Totaal personen;Zelfstandige zonder personeel (zzp);2016;960.0;924.0;32.7;35.0;34.3;36.0
184;Totaal mannen en vrouwen;Totaal;Totaal personen;Zelfstandige zonder personeel (zzp);2017;986.0;931.0;34.6;37.7;36.1;54.0
185;Totaal mannen en vrouwen;Totaal;Totaal personen;Zelfstandige zonder personeel (zzp);2018;999.0;942.0;35.8;38.1;36.4;57.0
186;Totaal mannen en vrouwen;Totaal;Totaal personen;Zelfstandige zonder personeel (zzp);2019;1019.0;963.0;37.9;39.8;39.6;56.0
187;Totaal mannen en vrouwen;Totaal;Totaal personen;Zelfstandige zonder personeel (zzp);2020;1054.0;983.0;37.5;40.4;39.9;71.0
188;Totaal mannen en vrouwen;Totaal;Totaal personen;Zelfstandige zonder personeel (zzp);2021;1078.0;1074.0;39.4;42.9;42.4;4.0
189;Totaal mannen en vrouwen;Totaal;Totaal personen;Zelfstandige zonder personeel (zzp);2022;1176.0;1172.0;44.5;47.1;47.2;4.0
190;Totaal mannen en vrouwen;Totaal;Totaal personen;Zelfstandige zonder personeel (zzp);2023;1230.0;1219.0;45.8;48.2;47.6;11.0
191;Totaal mannen en vrouwen;Totaal;Totaal personen;Zelfstandige zonder personeel (zzp);2024;1262.0;;;;;
192;Totaal mannen en vrouwen;Totaal;1 Basisonderwijs, vmbo, mbo1;Totaal;2013;1882.0;1835.0;23.9;22.3;26.4;48.0
193;Totaal mannen en vrouwen;Totaal;1 Basisonderwijs, vmbo, mbo1;Totaal;2014;1856.0;1790.0;24.5;22.7;27.8;66.0
194;Totaal mannen en vrouwen;Totaal;1 Basisonderwijs, vmbo, mbo1;Totaal;2015;1854.0;1792.0;23.9;22.4;27.8;63.0
195;Totaal mannen en vrouwen;Totaal;1 Basisonderwijs, vmbo, mbo1;Totaal;2016;1849.0;1781.0;24.3;22.7;29.1;68.0
196;Totaal mannen en vrouwen;Totaal;1 Basisonderwijs, vmbo, mbo1;Totaal;2017;1834.0;1729.0;24.7;23.1;30.1;105.0
197;Totaal mannen en vrouwen;Totaal;1 Basisonderwijs, vmbo, mbo1;Totaal;2018;1864.0;1774.0;25.4;23.5;30.6;90.0
198;Totaal mannen en vrouwen;Totaal;1 Basisonderwijs, vmbo, mbo1;Totaal;2019;1867.0;1778.0;26.0;23.9;32.4;89.0
199;Totaal mannen en vrouwen;Totaal;1 Basisonderwijs, vmbo, mbo1;Totaal;2020;1779.0;1663.0;27.7;25.4;33.8;116.0
200;Totaal mannen en vrouwen;Totaal;1 Basisonderwijs, vmbo, mbo1;Totaal;2021;1792.0;1785.0;29.6;27.3;36.2;7.0
