ID;Geslacht;Cijfersoort;Perioden;Overgewicht_1;ErnstigOvergewicht_2
48;Totaal jongens en meisjes;Standaardfout;2000;0.7;0.3
49;Totaal jongens en meisjes;Standaardfout;2001;0.7;0.4
50;Totaal jongens en meisjes;Standaardfout;2002;0.7;0.4
51;Totaal jongens en meisjes;Standaardfout;2003;0.7;0.4
52;Totaal jongens en meisjes;Standaardfout;2004;0.7;0.4
53;Totaal jongens en meisjes;Standaardfout;2005;0.7;0.3
54;Totaal jongens en meisjes;Standaardfout;2006;0.7;0.4
55;Totaal jongens en meisjes;Standaardfout;2007;0.7;0.4
56;Totaal jongens en meisjes;Standaardfout;2008;0.8;0.4
57;Totaal jongens en meisjes;Standaardfout;2009;0.8;0.3
58;Jongens;Percentages;1981;11.7;3.1
59;Jongens;Percentages;1982;8.5;2.5
60;Jongens;Percentages;1983;10.3;2.9
61;Jongens;Percentages;1984;8.9;2.1
62;Jongens;Percentages;1985;8.3;1.6
63;Jongens;Percentages;1986;7.9;1.5
64;Jongens;Percentages;1987;8.7;1.8
65;Jongens;Percentages;1988;8.7;1.6
66;Jongens;Percentages;1989;9.6;2.4
67;Jongens;Percentages;1990;12.2;4.1
68;Jongens;Percentages;1991;11.7;2.2
69;Jongens;Percentages;1992;11.7;3.0
70;Jongens;Percentages;1993;12.1;4.0
71;Jongens;Percentages;1994;10.9;3.4
72;Jongens;Percentages;1995;9.0;2.5
73;Jongens;Percentages;1996;10.9;2.4
74;Jongens;Percentages;1997;11.4;3.2
75;Jongens;Percentages;1998;11.3;2.1
76;Jongens;Percentages;1999;12.6;3.0
77;Jongens;Percentages;2000;10.7;1.8
78;Jongens;Percentages;2001;11.4;3.0
79;Jongens;Percentages;2002;13.3;3.6
80;Jongens;Percentages;2003;11.5;3.0
81;Jongens;Percentages;2004;13.2;3.6
82;Jongens;Percentages;2005;11.8;1.3
83;Jongens;Percentages;2006;12.3;2.6
84;Jongens;Percentages;2007;10.9;2.5
85;Jongens;Percentages;2008;13.5;3.1
86;Jongens;Percentages;2009;12.6;1.6
87;Jongens;Standaardfout;1981;0.9;0.5
88;Jongens;Standaardfout;1982;0.8;0.4
89;Jongens;Standaardfout;1983;0.9;0.5
90;Jongens;Standaardfout;1984;0.8;0.4
91;Jongens;Standaardfout;1985;0.8;0.4
92;Jongens;Standaardfout;1986;0.8;0.4
93;Jongens;Standaardfout;1987;0.9;0.4
94;Jongens;Standaardfout;1988;0.9;0.4
95;Jongens;Standaardfout;1989;1.0;0.5
96;Jongens;Standaardfout;1990;1.1;0.7
97;Jongens;Standaardfout;1991;1.2;0.5
98;Jongens;Standaardfout;1992;1.0;0.6
99;Jongens;Standaardfout;1993;1.1;0.7
100;Jongens;Standaardfout;1994;1.0;0.6
101;Jongens;Standaardfout;1995;0.9;0.5
102;Jongens;Standaardfout;1996;1.0;0.5
103;Jongens;Standaardfout;1997;0.9;0.5
104;Jongens;Standaardfout;1998;1.0;0.5
105;Jongens;Standaardfout;1999;1.0;0.5
106;Jongens;Standaardfout;2000;1.0;0.4
107;Jongens;Standaardfout;2001;1.0;0.5
108;Jongens;Standaardfout;2002;1.1;0.6
109;Jongens;Standaardfout;2003;1.0;0.5
110;Jongens;Standaardfout;2004;1.0;0.5
111;Jongens;Standaardfout;2005;1.0;0.4
112;Jongens;Standaardfout;2006;1.0;0.5
113;Jongens;Standaardfout;2007;1.0;0.5
114;Jongens;Standaardfout;2008;1.1;0.6
115;Jongens;Standaardfout;2009;1.1;0.4
116;Meisjes;Percentages;1981;10.9;3.1
117;Meisjes;Percentages;1982;9.7;2.2
118;Meisjes;Percentages;1983;8.6;2.5
119;Meisjes;Percentages;1984;8.1;1.7
120;Meisjes;Percentages;1985;9.9;2.5
121;Meisjes;Percentages;1986;7.5;1.9
122;Meisjes;Percentages;1987;9.2;1.6
123;Meisjes;Percentages;1988;8.4;1.6
124;Meisjes;Percentages;1989;9.6;1.4
125;Meisjes;Percentages;1990;10.3;2.9
126;Meisjes;Percentages;1991;13.5;3.4
127;Meisjes;Percentages;1992;12.1;2.4
128;Meisjes;Percentages;1993;13.2;3.4
129;Meisjes;Percentages;1994;12.4;4.2
130;Meisjes;Percentages;1995;10.5;2.7
131;Meisjes;Percentages;1996;12.5;4.3
132;Meisjes;Percentages;1997;12.3;2.7
133;Meisjes;Percentages;1998;11.3;2.5
134;Meisjes;Percentages;1999;11.4;2.8
135;Meisjes;Percentages;2000;11.7;2.3
136;Meisjes;Percentages;2001;12.5;2.7
137;Meisjes;Percentages;2002;11.2;2.4
138;Meisjes;Percentages;2003;9.6;2.9
139;Meisjes;Percentages;2004;12.4;2.9
140;Meisjes;Percentages;2005;13.5;3.4
141;Meisjes;Percentages;2006;11.1;3.0
142;Meisjes;Percentages;2007;11.5;2.5
143;Meisjes;Percentages;2008;12.9;3.0
144;Meisjes;Percentages;2009;13.4;2.6
145;Meisjes;Standaardfout;1981;0.9;0.5
146;Meisjes;Standaardfout;1982;0.9;0.4
147;Meisjes;Standaardfout;1983;0.8;0.5
148;Meisjes;Standaardfout;1984;0.8;0.4
149;Meisjes;Standaardfout;1985;0.9;0.5
150;Meisjes;Standaardfout;1986;0.8;0.4
151;Meisjes;Standaardfout;1987;0.9;0.4
152;Meisjes;Standaardfout;1988;0.9;0.4
153;Meisjes;Standaardfout;1989;1.0;0.4
154;Meisjes;Standaardfout;1990;1.1;0.6
155;Meisjes;Standaardfout;1991;1.3;0.7
156;Meisjes;Standaardfout;1992;1.1;0.5
157;Meisjes;Standaardfout;1993;1.1;0.6
158;Meisjes;Standaardfout;1994;1.1;0.7
159;Meisjes;Standaardfout;1995;1.0;0.5
160;Meisjes;Standaardfout;1996;1.1;0.7
161;Meisjes;Standaardfout;1997;1.0;0.5
162;Meisjes;Standaardfout;1998;1.0;0.5
163;Meisjes;Standaardfout;1999;1.0;0.5
164;Meisjes;Standaardfout;2000;1.0;0.5
165;Meisjes;Standaardfout;2001;1.1;0.5
166;Meisjes;Standaardfout;2002;1.0;0.5
167;Meisjes;Standaardfout;2003;0.9;0.5
168;Meisjes;Standaardfout;2004;1.0;0.5
169;Meisjes;Standaardfout;2005;1.1;0.6
170;Meisjes;Standaardfout;2006;1.0;0.5
171;Meisjes;Standaardfout;2007;1.1;0.5
172;Meisjes;Standaardfout;2008;1.1;0.6
173;Meisjes;Standaardfout;2009;1.2;0.5
