ID;Geslacht;TypeZelfstandigeOpStopmoment;SociaaleconomischePositieBijUitstroom;Persoonskenmerken;BedrijfstakkenBranchesSBI2008;Perioden;StoppendeZelfstandigen_1
17;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;B-E Nijverheid (geen bouw) en energie;2015;3.2
18;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;B-E Nijverheid (geen bouw) en energie;2016;3.5
19;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;B-E Nijverheid (geen bouw) en energie;2017;3.2
20;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;B-F Nijverheid en energie;2008;8.6
21;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;B-F Nijverheid en energie;2009;9.0
22;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;B-F Nijverheid en energie;2010;10.2
23;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;B-F Nijverheid en energie;2011;9.8
24;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;B-F Nijverheid en energie;2012;12.1
25;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;B-F Nijverheid en energie;2013;14.3
26;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;B-F Nijverheid en energie;2014;11.7
27;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;B-F Nijverheid en energie;2015;11.0
28;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;B-F Nijverheid en energie;2016;11.6
29;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;B-F Nijverheid en energie;2017;12.0
30;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;G-I Handel, vervoer en horeca;2008;21.9
31;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;G-I Handel, vervoer en horeca;2009;22.0
32;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;G-I Handel, vervoer en horeca;2010;18.6
33;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;G-I Handel, vervoer en horeca;2011;21.7
34;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;G-I Handel, vervoer en horeca;2012;26.7
35;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;G-I Handel, vervoer en horeca;2013;30.5
36;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;G-I Handel, vervoer en horeca;2014;26.8
37;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;G-I Handel, vervoer en horeca;2015;25.9
38;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;G-I Handel, vervoer en horeca;2016;27.2
39;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;G-I Handel, vervoer en horeca;2017;26.5
40;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;G-N Commerciële dienstverlening;2008;48.0
41;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;G-N Commerciële dienstverlening;2009;49.8
42;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;G-N Commerciële dienstverlening;2010;47.1
43;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;G-N Commerciële dienstverlening;2011;51.6
44;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;G-N Commerciële dienstverlening;2012;62.0
45;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;G-N Commerciële dienstverlening;2013;68.5
46;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;G-N Commerciële dienstverlening;2014;64.0
47;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;G-N Commerciële dienstverlening;2015;66.1
48;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;G-N Commerciële dienstverlening;2016;68.7
49;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;G-N Commerciële dienstverlening;2017;69.1
50;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;M-N Zakelijke dienstverlening;2008;16.6
51;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;M-N Zakelijke dienstverlening;2009;17.6
52;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;M-N Zakelijke dienstverlening;2010;17.9
53;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;M-N Zakelijke dienstverlening;2011;19.7
54;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;M-N Zakelijke dienstverlening;2012;23.3
55;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;M-N Zakelijke dienstverlening;2013;25.1
56;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;M-N Zakelijke dienstverlening;2014;25.1
57;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;M-N Zakelijke dienstverlening;2015;27.0
58;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;M-N Zakelijke dienstverlening;2016;28.5
59;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;M-N Zakelijke dienstverlening;2017;29.3
60;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;O-Q Overheid en zorg;2008;24.2
61;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;O-Q Overheid en zorg;2009;30.2
62;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;O-Q Overheid en zorg;2010;54.1
63;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;O-Q Overheid en zorg;2011;31.2
64;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;O-Q Overheid en zorg;2012;31.5
65;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;O-Q Overheid en zorg;2013;36.9
66;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;O-Q Overheid en zorg;2014;39.6
67;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;O-Q Overheid en zorg;2015;50.5
68;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;O-Q Overheid en zorg;2016;46.6
69;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;O-Q Overheid en zorg;2017;46.3
70;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;O-U Niet-commerciële dienstverlening;2008;30.8
71;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;O-U Niet-commerciële dienstverlening;2009;37.0
72;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;O-U Niet-commerciële dienstverlening;2010;60.7
73;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;O-U Niet-commerciële dienstverlening;2011;38.7
74;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;O-U Niet-commerciële dienstverlening;2012;40.8
75;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;O-U Niet-commerciële dienstverlening;2013;47.0
76;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;O-U Niet-commerciële dienstverlening;2014;49.3
77;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;O-U Niet-commerciële dienstverlening;2015;60.9
78;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;O-U Niet-commerciële dienstverlening;2016;58.1
79;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;O-U Niet-commerciële dienstverlening;2017;57.7
80;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;R-U Cultuur, recreatie, overige diensten;2008;6.5
81;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;R-U Cultuur, recreatie, overige diensten;2009;6.8
82;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;R-U Cultuur, recreatie, overige diensten;2010;6.6
83;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;R-U Cultuur, recreatie, overige diensten;2011;7.5
84;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;R-U Cultuur, recreatie, overige diensten;2012;9.3
85;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;R-U Cultuur, recreatie, overige diensten;2013;10.1
86;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;R-U Cultuur, recreatie, overige diensten;2014;9.7
87;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;R-U Cultuur, recreatie, overige diensten;2015;10.5
88;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;R-U Cultuur, recreatie, overige diensten;2016;11.5
89;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;R-U Cultuur, recreatie, overige diensten;2017;11.4
90;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;A Landbouw, bosbouw en visserij;2008;5.1
91;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;A Landbouw, bosbouw en visserij;2009;5.3
92;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;A Landbouw, bosbouw en visserij;2010;5.3
93;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;A Landbouw, bosbouw en visserij;2011;3.9
94;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;A Landbouw, bosbouw en visserij;2012;4.6
95;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;A Landbouw, bosbouw en visserij;2013;4.7
96;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;A Landbouw, bosbouw en visserij;2014;4.1
97;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;A Landbouw, bosbouw en visserij;2015;4.1
98;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;A Landbouw, bosbouw en visserij;2016;3.8
99;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;A Landbouw, bosbouw en visserij;2017;3.7
100;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;B Delfstoffenwinning;2008;0.0
101;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;B Delfstoffenwinning;2009;0.0
102;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;B Delfstoffenwinning;2010;0.0
103;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;B Delfstoffenwinning;2011;0.0
104;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;B Delfstoffenwinning;2012;0.0
105;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;B Delfstoffenwinning;2013;0.0
106;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;B Delfstoffenwinning;2014;0.0
107;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;B Delfstoffenwinning;2015;0.0
108;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;B Delfstoffenwinning;2016;0.0
109;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;B Delfstoffenwinning;2017;0.0
110;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;C Industrie;2008;2.6
111;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;C Industrie;2009;2.5
112;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;C Industrie;2010;2.4
113;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;C Industrie;2011;2.5
114;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;C Industrie;2012;3.2
115;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;C Industrie;2013;3.5
116;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;C Industrie;2014;3.0
117;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;C Industrie;2015;2.9
118;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;C Industrie;2016;3.2
119;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;C Industrie;2017;3.1
120;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;D Energievoorziening;2008;0.0
121;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;D Energievoorziening;2009;0.0
122;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;D Energievoorziening;2010;0.2
123;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;D Energievoorziening;2011;0.0
124;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;D Energievoorziening;2012;0.0
125;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;D Energievoorziening;2013;0.0
126;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;D Energievoorziening;2014;0.1
127;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;D Energievoorziening;2015;0.1
128;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;D Energievoorziening;2016;0.2
129;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;D Energievoorziening;2017;0.0
130;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;E Waterbedrijven en afvalbeheer;2008;0.0
131;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;E Waterbedrijven en afvalbeheer;2009;0.0
132;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;E Waterbedrijven en afvalbeheer;2010;0.1
133;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;E Waterbedrijven en afvalbeheer;2011;0.0
134;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;E Waterbedrijven en afvalbeheer;2012;0.0
135;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;E Waterbedrijven en afvalbeheer;2013;0.1
136;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;E Waterbedrijven en afvalbeheer;2014;0.1
137;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;E Waterbedrijven en afvalbeheer;2015;0.1
138;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;E Waterbedrijven en afvalbeheer;2016;0.1
139;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;E Waterbedrijven en afvalbeheer;2017;0.1
140;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;F Bouwnijverheid;2008;5.9
141;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;F Bouwnijverheid;2009;6.4
142;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;F Bouwnijverheid;2010;7.4
143;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;F Bouwnijverheid;2011;7.2
144;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;F Bouwnijverheid;2012;8.8
145;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;F Bouwnijverheid;2013;10.7
146;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;F Bouwnijverheid;2014;8.6
147;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;F Bouwnijverheid;2015;7.8
148;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;F Bouwnijverheid;2016;8.1
149;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;F Bouwnijverheid;2017;8.8
150;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;G Handel;2008;14.4
151;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;G Handel;2009;13.4
152;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;G Handel;2010;11.9
153;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;G Handel;2011;13.7
154;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;G Handel;2012;16.9
155;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;G Handel;2013;18.4
156;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;G Handel;2014;17.0
157;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;G Handel;2015;16.4
158;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;G Handel;2016;17.6
159;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;G Handel;2017;16.4
160;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;H Vervoer en opslag;2008;3.4
161;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;H Vervoer en opslag;2009;4.7
162;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;H Vervoer en opslag;2010;3.3
163;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;H Vervoer en opslag;2011;4.1
164;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;H Vervoer en opslag;2012;4.8
165;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;H Vervoer en opslag;2013;6.7
166;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;H Vervoer en opslag;2014;4.5
167;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;H Vervoer en opslag;2015;4.4
168;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;H Vervoer en opslag;2016;4.3
169;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;H Vervoer en opslag;2017;4.6
170;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;I Horeca;2008;4.1
171;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;I Horeca;2009;3.9
172;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;I Horeca;2010;3.4
173;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;I Horeca;2011;4.0
174;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;I Horeca;2012;5.0
175;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;I Horeca;2013;5.4
176;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;I Horeca;2014;5.3
177;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;I Horeca;2015;5.1
178;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;I Horeca;2016;5.3
179;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;I Horeca;2017;5.4
180;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;J Informatie en communicatie;2008;3.1
181;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;J Informatie en communicatie;2009;3.5
182;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;J Informatie en communicatie;2010;4.3
183;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;J Informatie en communicatie;2011;4.3
184;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;J Informatie en communicatie;2012;5.2
185;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;J Informatie en communicatie;2013;5.7
186;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;J Informatie en communicatie;2014;5.4
187;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;J Informatie en communicatie;2015;5.5
188;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;J Informatie en communicatie;2016;7.0
189;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;J Informatie en communicatie;2017;6.6
190;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;K Financiële dienstverlening;2008;5.2
191;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;K Financiële dienstverlening;2009;5.5
192;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;K Financiële dienstverlening;2010;5.1
193;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;K Financiële dienstverlening;2011;4.4
194;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;K Financiële dienstverlening;2012;5.4
195;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;K Financiële dienstverlening;2013;5.8
196;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;K Financiële dienstverlening;2014;5.4
197;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;K Financiële dienstverlening;2015;6.4
198;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;K Financiële dienstverlening;2016;4.8
199;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;K Financiële dienstverlening;2017;5.6
200;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;L Verhuur en handel van onroerend goed;2008;1.2
201;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;L Verhuur en handel van onroerend goed;2009;1.2
202;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;L Verhuur en handel van onroerend goed;2010;1.2
203;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;L Verhuur en handel van onroerend goed;2011;1.3
204;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;L Verhuur en handel van onroerend goed;2012;1.4
205;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;L Verhuur en handel van onroerend goed;2013;1.4
206;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;L Verhuur en handel van onroerend goed;2014;1.3
207;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;L Verhuur en handel van onroerend goed;2015;1.1
208;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;L Verhuur en handel van onroerend goed;2016;1.1
209;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;L Verhuur en handel van onroerend goed;2017;1.2
210;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;M Specialistische zakelijke diensten;2008;11.3
211;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;M Specialistische zakelijke diensten;2009;11.5
212;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;M Specialistische zakelijke diensten;2010;12.2
213;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;M Specialistische zakelijke diensten;2011;13.5
214;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;M Specialistische zakelijke diensten;2012;16.3
215;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;M Specialistische zakelijke diensten;2013;18.1
216;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;M Specialistische zakelijke diensten;2014;17.5
217;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;M Specialistische zakelijke diensten;2015;19.1
218;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;M Specialistische zakelijke diensten;2016;21.0
219;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;M Specialistische zakelijke diensten;2017;21.6
220;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;N Verhuur en overige zakelijke diensten;2008;5.3
221;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;N Verhuur en overige zakelijke diensten;2009;6.1
222;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;N Verhuur en overige zakelijke diensten;2010;5.7
223;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;N Verhuur en overige zakelijke diensten;2011;6.2
224;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;N Verhuur en overige zakelijke diensten;2012;7.0
225;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;N Verhuur en overige zakelijke diensten;2013;7.0
226;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;N Verhuur en overige zakelijke diensten;2014;7.6
227;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;N Verhuur en overige zakelijke diensten;2015;7.9
228;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;N Verhuur en overige zakelijke diensten;2016;7.6
229;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;N Verhuur en overige zakelijke diensten;2017;7.7
230;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;O Openbaar bestuur en overheidsdiensten;2008;3.8
231;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;O Openbaar bestuur en overheidsdiensten;2009;1.3
232;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;O Openbaar bestuur en overheidsdiensten;2010;2.3
233;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;O Openbaar bestuur en overheidsdiensten;2011;4.2
234;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;O Openbaar bestuur en overheidsdiensten;2012;3.3
235;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;O Openbaar bestuur en overheidsdiensten;2013;5.9
236;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;O Openbaar bestuur en overheidsdiensten;2014;1.5
237;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;O Openbaar bestuur en overheidsdiensten;2015;4.7
238;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;O Openbaar bestuur en overheidsdiensten;2016;4.3
239;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;O Openbaar bestuur en overheidsdiensten;2017;2.8
240;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;P Onderwijs;2008;5.0
241;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;P Onderwijs;2009;5.5
242;Totaal mannen en vrouwen;Zelfstandige;Totaal;Totaal personen;P Onderwijs;2010;5.7
