ID;Nationaliteit;Perioden;TotaalVerblijfsvergunningenAsiel_1;VerblijfsvergunningVoorBepaaldeTijd_2;VerblijfsvergunningVoorOnbepaaldeTijd_3
271;57;2008;325;260;65
272;57;2009;380;310;70
273;57;2010;420;245;170
274;57;2011;665;400;265
275;Overige nationaliteiten;2001;370;330;40
276;Overige nationaliteiten;2002;610;550;60
277;Overige nationaliteiten;2003;470;410;65
278;Overige nationaliteiten;2004;835;455;380
279;Overige nationaliteiten;2005;1590;1040;550
280;Overige nationaliteiten;2006;1470;955;515
281;Overige nationaliteiten;2007;1060;725;335
282;Overige nationaliteiten;2008;390;355;40
283;Overige nationaliteiten;2009;575;480;95
284;Overige nationaliteiten;2010;750;495;255
285;Overige nationaliteiten;2011;835;425;410
