ID;Sex;Age;CausesOfDeath;Periods;Deaths_1
40;Total male and female;Total;A00-B99 Total infectious disease;2008;2013
41;Total male and female;Total;A00-B99 Total infectious disease;2009;2022
42;Total male and female;Total;A00-B99 Total infectious disease;2010;2104
43;Total male and female;Total;A00-B99 Total infectious disease;2011;2104
44;Total male and female;Total;A00-B99 Total infectious disease;2012;2231
45;Total male and female;Total;A00-B99 Total infectious disease;2013;3192
46;Total male and female;Total;A00-B99 Total infectious disease;2014;3104
47;Total male and female;Total;A00-B99 Total infectious disease;2015;3497
48;Total male and female;Total;A00-B99 Total infectious disease;2016;3054
49;Total male and female;Total;A00-B99 Total infectious disease;2017;3132
50;Total male and female;Total;A00-B99 Total infectious disease;2018;3323
51;Total male and female;Total;A00-B99 Total infectious disease;2019;3307
52;Total male and female;Total;A00-B99 Total infectious disease;2020;2974
53;Total male and female;Total;A00-B99 Total infectious disease;2021;2974
54;Total male and female;Total;A00-B99 Total infectious disease;2022;3115
55;Total male and female;Total;A00-B99 Total infectious disease;2023;3906
56;Total male and female;Total;A00 Cholera;1996;0
57;Total male and female;Total;A00 Cholera;1997;0
58;Total male and female;Total;A00 Cholera;1998;0
59;Total male and female;Total;A00 Cholera;1999;0
60;Total male and female;Total;A00 Cholera;2000;0
61;Total male and female;Total;A00 Cholera;2001;0
62;Total male and female;Total;A00 Cholera;2002;0
63;Total male and female;Total;A00 Cholera;2003;0
64;Total male and female;Total;A00 Cholera;2004;0
65;Total male and female;Total;A00 Cholera;2005;0
66;Total male and female;Total;A00 Cholera;2006;0
67;Total male and female;Total;A00 Cholera;2007;0
68;Total male and female;Total;A00 Cholera;2008;0
69;Total male and female;Total;A00 Cholera;2009;0
70;Total male and female;Total;A00 Cholera;2010;0
71;Total male and female;Total;A00 Cholera;2011;0
72;Total male and female;Total;A00 Cholera;2012;0
73;Total male and female;Total;A00 Cholera;2013;0
74;Total male and female;Total;A00 Cholera;2014;0
75;Total male and female;Total;A00 Cholera;2015;0
76;Total male and female;Total;A00 Cholera;2016;0
77;Total male and female;Total;A00 Cholera;2017;0
78;Total male and female;Total;A00 Cholera;2018;0
79;Total male and female;Total;A00 Cholera;2019;0
80;Total male and female;Total;A00 Cholera;2020;0
81;Total male and female;Total;A00 Cholera;2021;0
82;Total male and female;Total;A00 Cholera;2022;0
83;Total male and female;Total;A00 Cholera;2023;0
84;Total male and female;Total;A01 Typhus abdominalis en paratyfus;1996;0
85;Total male and female;Total;A01 Typhus abdominalis en paratyfus;1997;1
86;Total male and female;Total;A01 Typhus abdominalis en paratyfus;1998;1
87;Total male and female;Total;A01 Typhus abdominalis en paratyfus;1999;1
88;Total male and female;Total;A01 Typhus abdominalis en paratyfus;2000;0
89;Total male and female;Total;A01 Typhus abdominalis en paratyfus;2001;0
90;Total male and female;Total;A01 Typhus abdominalis en paratyfus;2002;0
91;Total male and female;Total;A01 Typhus abdominalis en paratyfus;2003;0
92;Total male and female;Total;A01 Typhus abdominalis en paratyfus;2004;0
93;Total male and female;Total;A01 Typhus abdominalis en paratyfus;2005;0
94;Total male and female;Total;A01 Typhus abdominalis en paratyfus;2006;0
95;Total male and female;Total;A01 Typhus abdominalis en paratyfus;2007;0
96;Total male and female;Total;A01 Typhus abdominalis en paratyfus;2008;0
97;Total male and female;Total;A01 Typhus abdominalis en paratyfus;2009;0
98;Total male and female;Total;A01 Typhus abdominalis en paratyfus;2010;0
99;Total male and female;Total;A01 Typhus abdominalis en paratyfus;2011;0
100;Total male and female;Total;A01 Typhus abdominalis en paratyfus;2012;0
101;Total male and female;Total;A01 Typhus abdominalis en paratyfus;2013;0
102;Total male and female;Total;A01 Typhus abdominalis en paratyfus;2014;0
103;Total male and female;Total;A01 Typhus abdominalis en paratyfus;2015;0
104;Total male and female;Total;A01 Typhus abdominalis en paratyfus;2016;0
105;Total male and female;Total;A01 Typhus abdominalis en paratyfus;2017;0
106;Total male and female;Total;A01 Typhus abdominalis en paratyfus;2018;0
107;Total male and female;Total;A01 Typhus abdominalis en paratyfus;2019;1
108;Total male and female;Total;A01 Typhus abdominalis en paratyfus;2020;0
109;Total male and female;Total;A01 Typhus abdominalis en paratyfus;2021;0
110;Total male and female;Total;A01 Typhus abdominalis en paratyfus;2022;0
111;Total male and female;Total;A01 Typhus abdominalis en paratyfus;2023;1
112;Total male and female;Total;A02 Other Salmonella infections;1996;7
113;Total male and female;Total;A02 Other Salmonella infections;1997;11
114;Total male and female;Total;A02 Other Salmonella infections;1998;5
115;Total male and female;Total;A02 Other Salmonella infections;1999;7
116;Total male and female;Total;A02 Other Salmonella infections;2000;8
117;Total male and female;Total;A02 Other Salmonella infections;2001;10
118;Total male and female;Total;A02 Other Salmonella infections;2002;6
119;Total male and female;Total;A02 Other Salmonella infections;2003;9
120;Total male and female;Total;A02 Other Salmonella infections;2004;8
121;Total male and female;Total;A02 Other Salmonella infections;2005;3
122;Total male and female;Total;A02 Other Salmonella infections;2006;6
123;Total male and female;Total;A02 Other Salmonella infections;2007;5
124;Total male and female;Total;A02 Other Salmonella infections;2008;3
125;Total male and female;Total;A02 Other Salmonella infections;2009;8
126;Total male and female;Total;A02 Other Salmonella infections;2010;4
127;Total male and female;Total;A02 Other Salmonella infections;2011;7
128;Total male and female;Total;A02 Other Salmonella infections;2012;6
129;Total male and female;Total;A02 Other Salmonella infections;2013;3
130;Total male and female;Total;A02 Other Salmonella infections;2014;2
131;Total male and female;Total;A02 Other Salmonella infections;2015;5
132;Total male and female;Total;A02 Other Salmonella infections;2016;3
133;Total male and female;Total;A02 Other Salmonella infections;2017;5
134;Total male and female;Total;A02 Other Salmonella infections;2018;2
135;Total male and female;Total;A02 Other Salmonella infections;2019;3
136;Total male and female;Total;A02 Other Salmonella infections;2020;4
137;Total male and female;Total;A02 Other Salmonella infections;2021;4
138;Total male and female;Total;A02 Other Salmonella infections;2022;1
139;Total male and female;Total;A02 Other Salmonella infections;2023;5
140;Total male and female;Total;A03 Shigellosis;1996;1
141;Total male and female;Total;A03 Shigellosis;1997;0
142;Total male and female;Total;A03 Shigellosis;1998;0
143;Total male and female;Total;A03 Shigellosis;1999;0
144;Total male and female;Total;A03 Shigellosis;2000;0
145;Total male and female;Total;A03 Shigellosis;2001;1
146;Total male and female;Total;A03 Shigellosis;2002;0
147;Total male and female;Total;A03 Shigellosis;2003;0
148;Total male and female;Total;A03 Shigellosis;2004;0
149;Total male and female;Total;A03 Shigellosis;2005;0
150;Total male and female;Total;A03 Shigellosis;2006;0
151;Total male and female;Total;A03 Shigellosis;2007;1
152;Total male and female;Total;A03 Shigellosis;2008;0
153;Total male and female;Total;A03 Shigellosis;2009;0
154;Total male and female;Total;A03 Shigellosis;2010;0
155;Total male and female;Total;A03 Shigellosis;2011;0
156;Total male and female;Total;A03 Shigellosis;2012;0
157;Total male and female;Total;A03 Shigellosis;2013;0
158;Total male and female;Total;A03 Shigellosis;2014;0
159;Total male and female;Total;A03 Shigellosis;2015;0
160;Total male and female;Total;A03 Shigellosis;2016;0
161;Total male and female;Total;A03 Shigellosis;2017;0
162;Total male and female;Total;A03 Shigellosis;2018;0
163;Total male and female;Total;A03 Shigellosis;2019;0
164;Total male and female;Total;A03 Shigellosis;2020;0
165;Total male and female;Total;A03 Shigellosis;2021;1
166;Total male and female;Total;A03 Shigellosis;2022;0
167;Total male and female;Total;A03 Shigellosis;2023;0
168;Total male and female;Total;A04 Oth. bacterial intestinal infections;1996;4
169;Total male and female;Total;A04 Oth. bacterial intestinal infections;1997;0
170;Total male and female;Total;A04 Oth. bacterial intestinal infections;1998;5
171;Total male and female;Total;A04 Oth. bacterial intestinal infections;1999;2
172;Total male and female;Total;A04 Oth. bacterial intestinal infections;2000;4
173;Total male and female;Total;A04 Oth. bacterial intestinal infections;2001;4
174;Total male and female;Total;A04 Oth. bacterial intestinal infections;2002;2
175;Total male and female;Total;A04 Oth. bacterial intestinal infections;2003;10
176;Total male and female;Total;A04 Oth. bacterial intestinal infections;2004;11
177;Total male and female;Total;A04 Oth. bacterial intestinal infections;2005;12
178;Total male and female;Total;A04 Oth. bacterial intestinal infections;2006;16
179;Total male and female;Total;A04 Oth. bacterial intestinal infections;2007;19
180;Total male and female;Total;A04 Oth. bacterial intestinal infections;2008;29
181;Total male and female;Total;A04 Oth. bacterial intestinal infections;2009;23
182;Total male and female;Total;A04 Oth. bacterial intestinal infections;2010;28
183;Total male and female;Total;A04 Oth. bacterial intestinal infections;2011;32
184;Total male and female;Total;A04 Oth. bacterial intestinal infections;2012;23
185;Total male and female;Total;A04 Oth. bacterial intestinal infections;2013;25
186;Total male and female;Total;A04 Oth. bacterial intestinal infections;2014;26
187;Total male and female;Total;A04 Oth. bacterial intestinal infections;2015;15
188;Total male and female;Total;A04 Oth. bacterial intestinal infections;2016;19
189;Total male and female;Total;A04 Oth. bacterial intestinal infections;2017;20
190;Total male and female;Total;A04 Oth. bacterial intestinal infections;2018;24
191;Total male and female;Total;A04 Oth. bacterial intestinal infections;2019;17
192;Total male and female;Total;A04 Oth. bacterial intestinal infections;2020;20
193;Total male and female;Total;A04 Oth. bacterial intestinal infections;2021;23
194;Total male and female;Total;A04 Oth. bacterial intestinal infections;2022;17
195;Total male and female;Total;A04 Oth. bacterial intestinal infections;2023;18
196;Total male and female;Total;A05 Oth. bacterial foodborne intoxic.;1996;0
197;Total male and female;Total;A05 Oth. bacterial foodborne intoxic.;1997;1
198;Total male and female;Total;A05 Oth. bacterial foodborne intoxic.;1998;1
199;Total male and female;Total;A05 Oth. bacterial foodborne intoxic.;1999;1
200;Total male and female;Total;A05 Oth. bacterial foodborne intoxic.;2000;0
201;Total male and female;Total;A05 Oth. bacterial foodborne intoxic.;2001;0
202;Total male and female;Total;A05 Oth. bacterial foodborne intoxic.;2002;1
203;Total male and female;Total;A05 Oth. bacterial foodborne intoxic.;2003;3
204;Total male and female;Total;A05 Oth. bacterial foodborne intoxic.;2004;1
205;Total male and female;Total;A05 Oth. bacterial foodborne intoxic.;2005;1
206;Total male and female;Total;A05 Oth. bacterial foodborne intoxic.;2006;8
207;Total male and female;Total;A05 Oth. bacterial foodborne intoxic.;2007;2
208;Total male and female;Total;A05 Oth. bacterial foodborne intoxic.;2008;2
209;Total male and female;Total;A05 Oth. bacterial foodborne intoxic.;2009;0
210;Total male and female;Total;A05 Oth. bacterial foodborne intoxic.;2010;0
211;Total male and female;Total;A05 Oth. bacterial foodborne intoxic.;2011;0
212;Total male and female;Total;A05 Oth. bacterial foodborne intoxic.;2012;0
213;Total male and female;Total;A05 Oth. bacterial foodborne intoxic.;2013;0
214;Total male and female;Total;A05 Oth. bacterial foodborne intoxic.;2014;0
215;Total male and female;Total;A05 Oth. bacterial foodborne intoxic.;2015;0
216;Total male and female;Total;A05 Oth. bacterial foodborne intoxic.;2016;0
217;Total male and female;Total;A05 Oth. bacterial foodborne intoxic.;2017;0
218;Total male and female;Total;A05 Oth. bacterial foodborne intoxic.;2018;0
219;Total male and female;Total;A05 Oth. bacterial foodborne intoxic.;2019;0
220;Total male and female;Total;A05 Oth. bacterial foodborne intoxic.;2020;1
221;Total male and female;Total;A05 Oth. bacterial foodborne intoxic.;2021;0
222;Total male and female;Total;A05 Oth. bacterial foodborne intoxic.;2022;0
223;Total male and female;Total;A05 Oth. bacterial foodborne intoxic.;2023;1
224;Total male and female;Total;A06 Amoebiasis;1996;1
225;Total male and female;Total;A06 Amoebiasis;1997;0
226;Total male and female;Total;A06 Amoebiasis;1998;0
227;Total male and female;Total;A06 Amoebiasis;1999;0
228;Total male and female;Total;A06 Amoebiasis;2000;1
229;Total male and female;Total;A06 Amoebiasis;2001;0
230;Total male and female;Total;A06 Amoebiasis;2002;0
231;Total male and female;Total;A06 Amoebiasis;2003;1
232;Total male and female;Total;A06 Amoebiasis;2004;0
233;Total male and female;Total;A06 Amoebiasis;2005;1
234;Total male and female;Total;A06 Amoebiasis;2006;0
235;Total male and female;Total;A06 Amoebiasis;2007;0
236;Total male and female;Total;A06 Amoebiasis;2008;0
237;Total male and female;Total;A06 Amoebiasis;2009;0
238;Total male and female;Total;A06 Amoebiasis;2010;0
239;Total male and female;Total;A06 Amoebiasis;2011;0
240;Total male and female;Total;A06 Amoebiasis;2012;0
241;Total male and female;Total;A06 Amoebiasis;2013;0
242;Total male and female;Total;A06 Amoebiasis;2014;0
243;Total male and female;Total;A06 Amoebiasis;2015;0
244;Total male and female;Total;A06 Amoebiasis;2016;0
245;Total male and female;Total;A06 Amoebiasis;2017;0
246;Total male and female;Total;A06 Amoebiasis;2018;0
247;Total male and female;Total;A06 Amoebiasis;2019;0
248;Total male and female;Total;A06 Amoebiasis;2020;0
249;Total male and female;Total;A06 Amoebiasis;2021;0
250;Total male and female;Total;A06 Amoebiasis;2022;0
251;Total male and female;Total;A06 Amoebiasis;2023;0
252;Total male and female;Total;A07 Other protozoal intestinal diseases;1996;0
253;Total male and female;Total;A07 Other protozoal intestinal diseases;1997;0
254;Total male and female;Total;A07 Other protozoal intestinal diseases;1998;0
255;Total male and female;Total;A07 Other protozoal intestinal diseases;1999;0
256;Total male and female;Total;A07 Other protozoal intestinal diseases;2000;0
257;Total male and female;Total;A07 Other protozoal intestinal diseases;2001;0
258;Total male and female;Total;A07 Other protozoal intestinal diseases;2002;0
259;Total male and female;Total;A07 Other protozoal intestinal diseases;2003;0
260;Total male and female;Total;A07 Other protozoal intestinal diseases;2004;0
261;Total male and female;Total;A07 Other protozoal intestinal diseases;2005;0
262;Total male and female;Total;A07 Other protozoal intestinal diseases;2006;1
263;Total male and female;Total;A07 Other protozoal intestinal diseases;2007;0
264;Total male and female;Total;A07 Other protozoal intestinal diseases;2008;0
265;Total male and female;Total;A07 Other protozoal intestinal diseases;2009;1
266;Total male and female;Total;A07 Other protozoal intestinal diseases;2010;0
267;Total male and female;Total;A07 Other protozoal intestinal diseases;2011;0
268;Total male and female;Total;A07 Other protozoal intestinal diseases;2012;0
269;Total male and female;Total;A07 Other protozoal intestinal diseases;2013;0
270;Total male and female;Total;A07 Other protozoal intestinal diseases;2014;0
271;Total male and female;Total;A07 Other protozoal intestinal diseases;2015;0
272;Total male and female;Total;A07 Other protozoal intestinal diseases;2016;0
273;Total male and female;Total;A07 Other protozoal intestinal diseases;2017;0
274;Total male and female;Total;A07 Other protozoal intestinal diseases;2018;0
275;Total male and female;Total;A07 Other protozoal intestinal diseases;2019;0
276;Total male and female;Total;A07 Other protozoal intestinal diseases;2020;0
277;Total male and female;Total;A07 Other protozoal intestinal diseases;2021;1
278;Total male and female;Total;A07 Other protozoal intestinal diseases;2022;0
279;Total male and female;Total;A07 Other protozoal intestinal diseases;2023;0
280;Total male and female;Total;A08 Viral and oth. spec. intestinal inf.;1996;26
281;Total male and female;Total;A08 Viral and oth. spec. intestinal inf.;1997;5
282;Total male and female;Total;A08 Viral and oth. spec. intestinal inf.;1998;16
283;Total male and female;Total;A08 Viral and oth. spec. intestinal inf.;1999;9
284;Total male and female;Total;A08 Viral and oth. spec. intestinal inf.;2000;12
285;Total male and female;Total;A08 Viral and oth. spec. intestinal inf.;2001;17
286;Total male and female;Total;A08 Viral and oth. spec. intestinal inf.;2002;24
287;Total male and female;Total;A08 Viral and oth. spec. intestinal inf.;2003;36
288;Total male and female;Total;A08 Viral and oth. spec. intestinal inf.;2004;38
289;Total male and female;Total;A08 Viral and oth. spec. intestinal inf.;2005;39
290;Total male and female;Total;A08 Viral and oth. spec. intestinal inf.;2006;40
291;Total male and female;Total;A08 Viral and oth. spec. intestinal inf.;2007;37
292;Total male and female;Total;A08 Viral and oth. spec. intestinal inf.;2008;58
293;Total male and female;Total;A08 Viral and oth. spec. intestinal inf.;2009;54
294;Total male and female;Total;A08 Viral and oth. spec. intestinal inf.;2010;67
295;Total male and female;Total;A08 Viral and oth. spec. intestinal inf.;2011;71
296;Total male and female;Total;A08 Viral and oth. spec. intestinal inf.;2012;76
297;Total male and female;Total;A08 Viral and oth. spec. intestinal inf.;2013;87
298;Total male and female;Total;A08 Viral and oth. spec. intestinal inf.;2014;75
299;Total male and female;Total;A08 Viral and oth. spec. intestinal inf.;2015;95
300;Total male and female;Total;A08 Viral and oth. spec. intestinal inf.;2016;108
301;Total male and female;Total;A08 Viral and oth. spec. intestinal inf.;2017;89
302;Total male and female;Total;A08 Viral and oth. spec. intestinal inf.;2018;119
303;Total male and female;Total;A08 Viral and oth. spec. intestinal inf.;2019;103
304;Total male and female;Total;A08 Viral and oth. spec. intestinal inf.;2020;60
305;Total male and female;Total;A08 Viral and oth. spec. intestinal inf.;2021;81
306;Total male and female;Total;A08 Viral and oth. spec. intestinal inf.;2022;120
307;Total male and female;Total;A08 Viral and oth. spec. intestinal inf.;2023;141
308;Total male and female;Total;A09 Diarrhoea and gastro-enteritis of ..;1996;25
309;Total male and female;Total;A09 Diarrhoea and gastro-enteritis of ..;1997;12
310;Total male and female;Total;A09 Diarrhoea and gastro-enteritis of ..;1998;9
311;Total male and female;Total;A09 Diarrhoea and gastro-enteritis of ..;1999;20
312;Total male and female;Total;A09 Diarrhoea and gastro-enteritis of ..;2000;11
313;Total male and female;Total;A09 Diarrhoea and gastro-enteritis of ..;2001;29
314;Total male and female;Total;A09 Diarrhoea and gastro-enteritis of ..;2002;39
315;Total male and female;Total;A09 Diarrhoea and gastro-enteritis of ..;2003;35
316;Total male and female;Total;A09 Diarrhoea and gastro-enteritis of ..;2004;52
317;Total male and female;Total;A09 Diarrhoea and gastro-enteritis of ..;2005;45
318;Total male and female;Total;A09 Diarrhoea and gastro-enteritis of ..;2006;52
319;Total male and female;Total;A09 Diarrhoea and gastro-enteritis of ..;2007;67
320;Total male and female;Total;A09 Diarrhoea and gastro-enteritis of ..;2008;84
321;Total male and female;Total;A09 Diarrhoea and gastro-enteritis of ..;2009;51
322;Total male and female;Total;A09 Diarrhoea and gastro-enteritis of ..;2010;61
323;Total male and female;Total;A09 Diarrhoea and gastro-enteritis of ..;2011;65
324;Total male and female;Total;A09 Diarrhoea and gastro-enteritis of ..;2012;89
325;Total male and female;Total;A09 Diarrhoea and gastro-enteritis of ..;2013;429
326;Total male and female;Total;A09 Diarrhoea and gastro-enteritis of ..;2014;388
327;Total male and female;Total;A09 Diarrhoea and gastro-enteritis of ..;2015;442
328;Total male and female;Total;A09 Diarrhoea and gastro-enteritis of ..;2016;384
329;Total male and female;Total;A09 Diarrhoea and gastro-enteritis of ..;2017;401
330;Total male and female;Total;A09 Diarrhoea and gastro-enteritis of ..;2018;467
331;Total male and female;Total;A09 Diarrhoea and gastro-enteritis of ..;2019;426
332;Total male and female;Total;A09 Diarrhoea and gastro-enteritis of ..;2020;388
333;Total male and female;Total;A09 Diarrhoea and gastro-enteritis of ..;2021;365
334;Total male and female;Total;A09 Diarrhoea and gastro-enteritis of ..;2022;430
335;Total male and female;Total;A09 Diarrhoea and gastro-enteritis of ..;2023;501
336;Total male and female;Total;A15 Respiratory tuberculosis, conf...;1996;2
337;Total male and female;Total;A15 Respiratory tuberculosis, conf...;1997;0
338;Total male and female;Total;A15 Respiratory tuberculosis, conf...;1998;1
339;Total male and female;Total;A15 Respiratory tuberculosis, conf...;1999;2
340;Total male and female;Total;A15 Respiratory tuberculosis, conf...;2000;1
341;Total male and female;Total;A15 Respiratory tuberculosis, conf...;2001;1
342;Total male and female;Total;A15 Respiratory tuberculosis, conf...;2002;0
343;Total male and female;Total;A15 Respiratory tuberculosis, conf...;2003;0
344;Total male and female;Total;A15 Respiratory tuberculosis, conf...;2004;1
345;Total male and female;Total;A15 Respiratory tuberculosis, conf...;2005;2
346;Total male and female;Total;A15 Respiratory tuberculosis, conf...;2006;2
347;Total male and female;Total;A15 Respiratory tuberculosis, conf...;2007;0
348;Total male and female;Total;A15 Respiratory tuberculosis, conf...;2008;0
349;Total male and female;Total;A15 Respiratory tuberculosis, conf...;2009;1
350;Total male and female;Total;A15 Respiratory tuberculosis, conf...;2010;1
351;Total male and female;Total;A15 Respiratory tuberculosis, conf...;2011;1
352;Total male and female;Total;A15 Respiratory tuberculosis, conf...;2012;0
353;Total male and female;Total;A15 Respiratory tuberculosis, conf...;2013;0
354;Total male and female;Total;A15 Respiratory tuberculosis, conf...;2014;0
355;Total male and female;Total;A15 Respiratory tuberculosis, conf...;2015;0
356;Total male and female;Total;A15 Respiratory tuberculosis, conf...;2016;0
357;Total male and female;Total;A15 Respiratory tuberculosis, conf...;2017;0
358;Total male and female;Total;A15 Respiratory tuberculosis, conf...;2018;0
359;Total male and female;Total;A15 Respiratory tuberculosis, conf...;2019;1
360;Total male and female;Total;A15 Respiratory tuberculosis, conf...;2020;0
361;Total male and female;Total;A15 Respiratory tuberculosis, conf...;2021;0
362;Total male and female;Total;A15 Respiratory tuberculosis, conf...;2022;0
363;Total male and female;Total;A15 Respiratory tuberculosis, conf...;2023;0
364;Total male and female;Total;A16 Respiratory tuberculosis, not conf..;1996;26
365;Total male and female;Total;A16 Respiratory tuberculosis, not conf..;1997;21
366;Total male and female;Total;A16 Respiratory tuberculosis, not conf..;1998;20
367;Total male and female;Total;A16 Respiratory tuberculosis, not conf..;1999;27
368;Total male and female;Total;A16 Respiratory tuberculosis, not conf..;2000;20
369;Total male and female;Total;A16 Respiratory tuberculosis, not conf..;2001;23
370;Total male and female;Total;A16 Respiratory tuberculosis, not conf..;2002;27
371;Total male and female;Total;A16 Respiratory tuberculosis, not conf..;2003;19
372;Total male and female;Total;A16 Respiratory tuberculosis, not conf..;2004;27
373;Total male and female;Total;A16 Respiratory tuberculosis, not conf..;2005;24
374;Total male and female;Total;A16 Respiratory tuberculosis, not conf..;2006;23
375;Total male and female;Total;A16 Respiratory tuberculosis, not conf..;2007;12
376;Total male and female;Total;A16 Respiratory tuberculosis, not conf..;2008;21
377;Total male and female;Total;A16 Respiratory tuberculosis, not conf..;2009;29
378;Total male and female;Total;A16 Respiratory tuberculosis, not conf..;2010;23
379;Total male and female;Total;A16 Respiratory tuberculosis, not conf..;2011;13
380;Total male and female;Total;A16 Respiratory tuberculosis, not conf..;2012;12
381;Total male and female;Total;A16 Respiratory tuberculosis, not conf..;2013;20
382;Total male and female;Total;A16 Respiratory tuberculosis, not conf..;2014;13
383;Total male and female;Total;A16 Respiratory tuberculosis, not conf..;2015;9
384;Total male and female;Total;A16 Respiratory tuberculosis, not conf..;2016;12
385;Total male and female;Total;A16 Respiratory tuberculosis, not conf..;2017;12
386;Total male and female;Total;A16 Respiratory tuberculosis, not conf..;2018;15
387;Total male and female;Total;A16 Respiratory tuberculosis, not conf..;2019;8
388;Total male and female;Total;A16 Respiratory tuberculosis, not conf..;2020;10
389;Total male and female;Total;A16 Respiratory tuberculosis, not conf..;2021;12
390;Total male and female;Total;A16 Respiratory tuberculosis, not conf..;2022;10
391;Total male and female;Total;A16 Respiratory tuberculosis, not conf..;2023;12
392;Total male and female;Total;A17 Tuberculosis of nervous system;1996;1
393;Total male and female;Total;A17 Tuberculosis of nervous system;1997;4
394;Total male and female;Total;A17 Tuberculosis of nervous system;1998;4
395;Total male and female;Total;A17 Tuberculosis of nervous system;1999;2
396;Total male and female;Total;A17 Tuberculosis of nervous system;2000;3
397;Total male and female;Total;A17 Tuberculosis of nervous system;2001;5
398;Total male and female;Total;A17 Tuberculosis of nervous system;2002;5
399;Total male and female;Total;A17 Tuberculosis of nervous system;2003;3
400;Total male and female;Total;A17 Tuberculosis of nervous system;2004;1
401;Total male and female;Total;A17 Tuberculosis of nervous system;2005;1
402;Total male and female;Total;A17 Tuberculosis of nervous system;2006;2
403;Total male and female;Total;A17 Tuberculosis of nervous system;2007;0
404;Total male and female;Total;A17 Tuberculosis of nervous system;2008;1
405;Total male and female;Total;A17 Tuberculosis of nervous system;2009;2
406;Total male and female;Total;A17 Tuberculosis of nervous system;2010;2
407;Total male and female;Total;A17 Tuberculosis of nervous system;2011;1
408;Total male and female;Total;A17 Tuberculosis of nervous system;2012;2
409;Total male and female;Total;A17 Tuberculosis of nervous system;2013;1
410;Total male and female;Total;A17 Tuberculosis of nervous system;2014;3
411;Total male and female;Total;A17 Tuberculosis of nervous system;2015;2
412;Total male and female;Total;A17 Tuberculosis of nervous system;2016;1
413;Total male and female;Total;A17 Tuberculosis of nervous system;2017;0
414;Total male and female;Total;A17 Tuberculosis of nervous system;2018;0
415;Total male and female;Total;A17 Tuberculosis of nervous system;2019;1
416;Total male and female;Total;A17 Tuberculosis of nervous system;2020;0
417;Total male and female;Total;A17 Tuberculosis of nervous system;2021;0
418;Total male and female;Total;A17 Tuberculosis of nervous system;2022;1
419;Total male and female;Total;A17 Tuberculosis of nervous system;2023;0
420;Total male and female;Total;A18 Tuberculosis of other organs;1996;2
421;Total male and female;Total;A18 Tuberculosis of other organs;1997;1
422;Total male and female;Total;A18 Tuberculosis of other organs;1998;1
423;Total male and female;Total;A18 Tuberculosis of other organs;1999;3
424;Total male and female;Total;A18 Tuberculosis of other organs;2000;2
425;Total male and female;Total;A18 Tuberculosis of other organs;2001;11
426;Total male and female;Total;A18 Tuberculosis of other organs;2002;6
427;Total male and female;Total;A18 Tuberculosis of other organs;2003;3
428;Total male and female;Total;A18 Tuberculosis of other organs;2004;3
429;Total male and female;Total;A18 Tuberculosis of other organs;2005;3
430;Total male and female;Total;A18 Tuberculosis of other organs;2006;2
431;Total male and female;Total;A18 Tuberculosis of other organs;2007;5
432;Total male and female;Total;A18 Tuberculosis of other organs;2008;2
433;Total male and female;Total;A18 Tuberculosis of other organs;2009;0
