ID;Geslacht;Persoonskenmerken;GeboortelandOuders;Herkomstland;Perioden;BeroepsEnNietBeroepsbevolking_1;WerkzameBeroepsbevolking_2;NettoArbeidsparticipatie_3;Werknemer_4;WerknemerMetVasteArbeidsrelatie_5;WerknemerMetFlexibeleArbeidsrelatie_6;Zelfstandige_7
17;Totaal mannen en vrouwen;Totaal personen;Totaal;Turkije;2023;364330.0;225950.0;62.0;77.0;45.0;32.0;23.0
18;Totaal mannen en vrouwen;Totaal personen;Totaal;Afghanistan;2021;37870.0;21560.0;57.0;76.0;36.0;40.0;24.0
19;Totaal mannen en vrouwen;Totaal personen;Totaal;Afghanistan;2022;40000.0;23630.0;59.0;75.0;35.0;40.0;25.0
20;Totaal mannen en vrouwen;Totaal personen;Totaal;Afghanistan;2023;42730.0;24920.0;58.0;74.0;35.0;39.0;26.0
21;Totaal mannen en vrouwen;Totaal personen;Totaal;Albanië;2021;3160.0;2160.0;68.0;85.0;38.0;48.0;15.0
22;Totaal mannen en vrouwen;Totaal personen;Totaal;Albanië;2022;3530.0;2580.0;73.0;85.0;37.0;48.0;15.0
23;Totaal mannen en vrouwen;Totaal personen;Totaal;Albanië;2023;3920.0;2930.0;75.0;85.0;40.0;44.0;15.0
24;Totaal mannen en vrouwen;Totaal personen;Totaal;Algerije;2021;7240.0;4060.0;56.0;86.0;45.0;41.0;14.0
25;Totaal mannen en vrouwen;Totaal personen;Totaal;Algerije;2022;7630.0;4520.0;59.0;86.0;42.0;43.0;14.0
26;Totaal mannen en vrouwen;Totaal personen;Totaal;Algerije;2023;7940.0;4800.0;60.0;85.0;43.0;42.0;15.0
27;Totaal mannen en vrouwen;Totaal personen;Totaal;Amerikaanse Maagdeneilanden;2021;20.0;10.0;;;;;
28;Totaal mannen en vrouwen;Totaal personen;Totaal;Amerikaanse Maagdeneilanden;2022;0.0;0.0;;;;;
29;Totaal mannen en vrouwen;Totaal personen;Totaal;Amerikaanse Maagdeneilanden;2023;0.0;0.0;;;;;
30;Totaal mannen en vrouwen;Totaal personen;Totaal;Amerikaans-Samoa;2021;0.0;0.0;;;;;
31;Totaal mannen en vrouwen;Totaal personen;Totaal;Amerikaans-Samoa;2022;20.0;20.0;;;;;
32;Totaal mannen en vrouwen;Totaal personen;Totaal;Amerikaans-Samoa;2023;30.0;20.0;;;;;
33;Totaal mannen en vrouwen;Totaal personen;Totaal;Andorra;2021;30.0;20.0;;;;;
34;Totaal mannen en vrouwen;Totaal personen;Totaal;Andorra;2022;30.0;20.0;;;;;
35;Totaal mannen en vrouwen;Totaal personen;Totaal;Andorra;2023;30.0;20.0;;;;;
36;Totaal mannen en vrouwen;Totaal personen;Totaal;Angola;2021;6440.0;4390.0;68.0;91.0;41.0;50.0;9.0
37;Totaal mannen en vrouwen;Totaal personen;Totaal;Angola;2022;6660.0;4760.0;72.0;90.0;40.0;50.0;10.0
38;Totaal mannen en vrouwen;Totaal personen;Totaal;Angola;2023;6910.0;4910.0;71.0;89.0;41.0;48.0;11.0
39;Totaal mannen en vrouwen;Totaal personen;Totaal;Anguilla;2021;20.0;20.0;;;;;
40;Totaal mannen en vrouwen;Totaal personen;Totaal;Anguilla;2022;20.0;20.0;;;;;
41;Totaal mannen en vrouwen;Totaal personen;Totaal;Anguilla;2023;20.0;20.0;;;;;
42;Totaal mannen en vrouwen;Totaal personen;Totaal;Antarctica;2021;0.0;0.0;;;;;
43;Totaal mannen en vrouwen;Totaal personen;Totaal;Antarctica;2022;0.0;0.0;;;;;
44;Totaal mannen en vrouwen;Totaal personen;Totaal;Antarctica;2023;0.0;0.0;;;;;
45;Totaal mannen en vrouwen;Totaal personen;Totaal;Antigua en Barbuda;2021;50.0;30.0;;;;;
46;Totaal mannen en vrouwen;Totaal personen;Totaal;Antigua en Barbuda;2022;50.0;30.0;;;;;
47;Totaal mannen en vrouwen;Totaal personen;Totaal;Antigua en Barbuda;2023;50.0;40.0;;;;;
48;Totaal mannen en vrouwen;Totaal personen;Totaal;Argentinië;2021;6540.0;4730.0;72.0;82.0;45.0;37.0;18.0
49;Totaal mannen en vrouwen;Totaal personen;Totaal;Argentinië;2022;7350.0;5480.0;75.0;84.0;44.0;39.0;16.0
50;Totaal mannen en vrouwen;Totaal personen;Totaal;Argentinië;2023;8050.0;6080.0;76.0;85.0;46.0;39.0;15.0
51;Totaal mannen en vrouwen;Totaal personen;Totaal;Armenië;2021;6050.0;3400.0;56.0;71.0;36.0;35.0;29.0
52;Totaal mannen en vrouwen;Totaal personen;Totaal;Armenië;2022;6420.0;3850.0;60.0;72.0;36.0;36.0;28.0
53;Totaal mannen en vrouwen;Totaal personen;Totaal;Armenië;2023;6700.0;4090.0;61.0;72.0;37.0;35.0;28.0
54;Totaal mannen en vrouwen;Totaal personen;Totaal;Aruba;2021;24810.0;16050.0;65.0;89.0;47.0;41.0;11.0
55;Totaal mannen en vrouwen;Totaal personen;Totaal;Aruba;2022;25580.0;17470.0;68.0;88.0;45.0;43.0;12.0
56;Totaal mannen en vrouwen;Totaal personen;Totaal;Aruba;2023;26190.0;18090.0;69.0;88.0;45.0;43.0;12.0
57;Totaal mannen en vrouwen;Totaal personen;Totaal;Australië;2021;19430.0;14370.0;74.0;84.0;54.0;30.0;16.0
58;Totaal mannen en vrouwen;Totaal personen;Totaal;Australië;2022;19550.0;14700.0;75.0;84.0;54.0;30.0;16.0
59;Totaal mannen en vrouwen;Totaal personen;Totaal;Australië;2023;20180.0;14940.0;74.0;84.0;54.0;30.0;16.0
60;Totaal mannen en vrouwen;Totaal personen;Totaal;Azerbeidzjan;2021;6870.0;3720.0;54.0;75.0;39.0;36.0;25.0
61;Totaal mannen en vrouwen;Totaal personen;Totaal;Azerbeidzjan;2022;7330.0;4190.0;57.0;76.0;37.0;39.0;24.0
62;Totaal mannen en vrouwen;Totaal personen;Totaal;Azerbeidzjan;2023;7650.0;4450.0;58.0;76.0;37.0;39.0;24.0
63;Totaal mannen en vrouwen;Totaal personen;Totaal;Bahama's;2021;90.0;60.0;;;;;
64;Totaal mannen en vrouwen;Totaal personen;Totaal;Bahama's;2022;90.0;70.0;;;;;
65;Totaal mannen en vrouwen;Totaal personen;Totaal;Bahama's;2023;100.0;80.0;;;;;
66;Totaal mannen en vrouwen;Totaal personen;Totaal;Bahrein;2021;230.0;150.0;62.0;84.0;53.0;31.0;16.0
67;Totaal mannen en vrouwen;Totaal personen;Totaal;Bahrein;2022;260.0;160.0;63.0;84.0;49.0;35.0;16.0
68;Totaal mannen en vrouwen;Totaal personen;Totaal;Bahrein;2023;280.0;180.0;63.0;86.0;48.0;38.0;14.0
69;Totaal mannen en vrouwen;Totaal personen;Totaal;Bangladesh;2021;2630.0;1550.0;59.0;81.0;36.0;45.0;19.0
70;Totaal mannen en vrouwen;Totaal personen;Totaal;Bangladesh;2022;3330.0;1980.0;59.0;78.0;31.0;46.0;22.0
71;Totaal mannen en vrouwen;Totaal personen;Totaal;Bangladesh;2023;3850.0;2360.0;61.0;74.0;31.0;43.0;26.0
72;Totaal mannen en vrouwen;Totaal personen;Totaal;Barbados;2021;130.0;80.0;;;;;
73;Totaal mannen en vrouwen;Totaal personen;Totaal;Barbados;2022;140.0;80.0;;;;;
74;Totaal mannen en vrouwen;Totaal personen;Totaal;Barbados;2023;140.0;90.0;;;;;
75;Totaal mannen en vrouwen;Totaal personen;Totaal;Belarus;2021;3300.0;2140.0;65.0;83.0;49.0;34.0;17.0
76;Totaal mannen en vrouwen;Totaal personen;Totaal;Belarus;2022;3800.0;2560.0;67.0;84.0;48.0;36.0;16.0
77;Totaal mannen en vrouwen;Totaal personen;Totaal;Belarus;2023;4510.0;3100.0;69.0;85.0;49.0;35.0;15.0
78;Totaal mannen en vrouwen;Totaal personen;Totaal;België;2021;97200.0;63520.0;65.0;83.0;57.0;26.0;17.0
79;Totaal mannen en vrouwen;Totaal personen;Totaal;België;2022;97800.0;65850.0;67.0;83.0;56.0;27.0;17.0
80;Totaal mannen en vrouwen;Totaal personen;Totaal;België;2023;98400.0;66530.0;68.0;83.0;56.0;27.0;17.0
81;Totaal mannen en vrouwen;Totaal personen;Totaal;Belize;2021;30.0;10.0;;;;;
82;Totaal mannen en vrouwen;Totaal personen;Totaal;Belize;2022;30.0;20.0;;;;;
83;Totaal mannen en vrouwen;Totaal personen;Totaal;Belize;2023;40.0;20.0;;;;;
84;Totaal mannen en vrouwen;Totaal personen;Totaal;Benin;2021;360.0;250.0;68.0;89.0;44.0;45.0;11.0
85;Totaal mannen en vrouwen;Totaal personen;Totaal;Benin;2022;380.0;270.0;72.0;88.0;41.0;47.0;12.0
86;Totaal mannen en vrouwen;Totaal personen;Totaal;Benin;2023;390.0;280.0;72.0;88.0;44.0;44.0;12.0
87;Totaal mannen en vrouwen;Totaal personen;Totaal;Bermuda;2021;60.0;30.0;;;;;
88;Totaal mannen en vrouwen;Totaal personen;Totaal;Bermuda;2022;60.0;30.0;;;;;
89;Totaal mannen en vrouwen;Totaal personen;Totaal;Bermuda;2023;60.0;30.0;;;;;
90;Totaal mannen en vrouwen;Totaal personen;Totaal;Bhutan;2021;260.0;140.0;54.0;;;;
91;Totaal mannen en vrouwen;Totaal personen;Totaal;Bhutan;2022;260.0;150.0;59.0;80.0;41.0;39.0;20.0
92;Totaal mannen en vrouwen;Totaal personen;Totaal;Bhutan;2023;250.0;160.0;64.0;78.0;36.0;42.0;22.0
93;Totaal mannen en vrouwen;Totaal personen;Totaal;Bolivia;2021;1270.0;820.0;65.0;86.0;41.0;44.0;14.0
94;Totaal mannen en vrouwen;Totaal personen;Totaal;Bolivia;2022;1360.0;940.0;69.0;86.0;37.0;49.0;14.0
95;Totaal mannen en vrouwen;Totaal personen;Totaal;Bolivia;2023;1460.0;1030.0;71.0;87.0;39.0;48.0;13.0
96;Totaal mannen en vrouwen;Totaal personen;Totaal;Bosnië-Herzegovina;2021;30690.0;19200.0;63.0;87.0;58.0;29.0;13.0
97;Totaal mannen en vrouwen;Totaal personen;Totaal;Bosnië-Herzegovina;2022;30990.0;19980.0;64.0;86.0;57.0;29.0;14.0
98;Totaal mannen en vrouwen;Totaal personen;Totaal;Bosnië-Herzegovina;2023;31120.0;20230.0;65.0;86.0;57.0;29.0;14.0
99;Totaal mannen en vrouwen;Totaal personen;Totaal;Botswana;2021;300.0;210.0;69.0;83.0;44.0;40.0;17.0
100;Totaal mannen en vrouwen;Totaal personen;Totaal;Botswana;2022;320.0;230.0;72.0;84.0;44.0;40.0;16.0
101;Totaal mannen en vrouwen;Totaal personen;Totaal;Botswana;2023;330.0;250.0;76.0;82.0;45.0;37.0;18.0
102;Totaal mannen en vrouwen;Totaal personen;Totaal;Brazilië;2021;29640.0;20160.0;68.0;86.0;46.0;40.0;14.0
103;Totaal mannen en vrouwen;Totaal personen;Totaal;Brazilië;2022;32460.0;23170.0;71.0;87.0;45.0;42.0;13.0
104;Totaal mannen en vrouwen;Totaal personen;Totaal;Brazilië;2023;35170.0;25440.0;72.0;87.0;47.0;40.0;13.0
105;Totaal mannen en vrouwen;Totaal personen;Totaal;Brits Territorium in de Indische Oceaan;2021;10.0;0.0;;;;;
106;Totaal mannen en vrouwen;Totaal personen;Totaal;Brits Territorium in de Indische Oceaan;2022;10.0;0.0;;;;;
107;Totaal mannen en vrouwen;Totaal personen;Totaal;Brits Territorium in de Indische Oceaan;2023;10.0;0.0;;;;;
108;Totaal mannen en vrouwen;Totaal personen;Totaal;Britse Maagdeneilanden;2021;20.0;20.0;;;;;
109;Totaal mannen en vrouwen;Totaal personen;Totaal;Britse Maagdeneilanden;2022;20.0;20.0;;;;;
110;Totaal mannen en vrouwen;Totaal personen;Totaal;Britse Maagdeneilanden;2023;20.0;20.0;;;;;
111;Totaal mannen en vrouwen;Totaal personen;Totaal;Brunei;2021;750.0;570.0;76.0;82.0;54.0;28.0;18.0
112;Totaal mannen en vrouwen;Totaal personen;Totaal;Brunei;2022;770.0;600.0;79.0;83.0;54.0;28.0;17.0
113;Totaal mannen en vrouwen;Totaal personen;Totaal;Brunei;2023;790.0;630.0;80.0;81.0;53.0;28.0;19.0
114;Totaal mannen en vrouwen;Totaal personen;Totaal;Bulgarije;2021;38030.0;24270.0;64.0;62.0;20.0;42.0;38.0
115;Totaal mannen en vrouwen;Totaal personen;Totaal;Bulgarije;2022;43020.0;28610.0;67.0;62.0;19.0;42.0;38.0
116;Totaal mannen en vrouwen;Totaal personen;Totaal;Bulgarije;2023;47780.0;31720.0;66.0;60.0;20.0;40.0;40.0
117;Totaal mannen en vrouwen;Totaal personen;Totaal;Burkina Faso;2021;540.0;380.0;69.0;89.0;41.0;48.0;11.0
118;Totaal mannen en vrouwen;Totaal personen;Totaal;Burkina Faso;2022;570.0;410.0;72.0;88.0;40.0;48.0;12.0
119;Totaal mannen en vrouwen;Totaal personen;Totaal;Burkina Faso;2023;590.0;430.0;73.0;87.0;40.0;47.0;13.0
120;Totaal mannen en vrouwen;Totaal personen;Totaal;Burundi;2021;2190.0;1290.0;59.0;91.0;40.0;51.0;9.0
121;Totaal mannen en vrouwen;Totaal personen;Totaal;Burundi;2022;2260.0;1420.0;63.0;90.0;39.0;51.0;10.0
122;Totaal mannen en vrouwen;Totaal personen;Totaal;Burundi;2023;2330.0;1480.0;64.0;89.0;40.0;49.0;11.0
123;Totaal mannen en vrouwen;Totaal personen;Totaal;Cambodja;2021;1030.0;670.0;65.0;86.0;48.0;38.0;14.0
124;Totaal mannen en vrouwen;Totaal personen;Totaal;Cambodja;2022;1070.0;720.0;67.0;86.0;47.0;39.0;14.0
125;Totaal mannen en vrouwen;Totaal personen;Totaal;Cambodja;2023;1100.0;740.0;67.0;86.0;47.0;39.0;14.0
126;Totaal mannen en vrouwen;Totaal personen;Totaal;Canada;2021;17880.0;13000.0;73.0;83.0;54.0;29.0;17.0
127;Totaal mannen en vrouwen;Totaal personen;Totaal;Canada;2022;18300.0;13450.0;73.0;83.0;54.0;30.0;17.0
128;Totaal mannen en vrouwen;Totaal personen;Totaal;Canada;2023;18910.0;13770.0;73.0;83.0;54.0;29.0;17.0
129;Totaal mannen en vrouwen;Totaal personen;Totaal;Caribisch Nederland;2021;4510.0;2890.0;64.0;90.0;45.0;44.0;10.0
130;Totaal mannen en vrouwen;Totaal personen;Totaal;Caribisch Nederland;2022;4630.0;3130.0;68.0;89.0;43.0;46.0;11.0
131;Totaal mannen en vrouwen;Totaal personen;Totaal;Caribisch Nederland;2023;4780.0;3210.0;67.0;88.0;44.0;44.0;12.0
132;Totaal mannen en vrouwen;Totaal personen;Totaal;Caymaneilanden;2021;20.0;10.0;;;;;
133;Totaal mannen en vrouwen;Totaal personen;Totaal;Caymaneilanden;2022;20.0;10.0;;;;;
134;Totaal mannen en vrouwen;Totaal personen;Totaal;Caymaneilanden;2023;20.0;10.0;;;;;
135;Totaal mannen en vrouwen;Totaal personen;Totaal;Centraal-Afrikaanse Republiek;2021;90.0;60.0;;;;;
136;Totaal mannen en vrouwen;Totaal personen;Totaal;Centraal-Afrikaanse Republiek;2022;90.0;60.0;;;;;
137;Totaal mannen en vrouwen;Totaal personen;Totaal;Centraal-Afrikaanse Republiek;2023;90.0;60.0;;;;;
138;Totaal mannen en vrouwen;Totaal personen;Totaal;Chili;2021;5550.0;3630.0;65.0;86.0;47.0;39.0;14.0
139;Totaal mannen en vrouwen;Totaal personen;Totaal;Chili;2022;5820.0;3980.0;68.0;86.0;45.0;41.0;14.0
140;Totaal mannen en vrouwen;Totaal personen;Totaal;Chili;2023;6060.0;4240.0;70.0;86.0;46.0;40.0;14.0
141;Totaal mannen en vrouwen;Totaal personen;Totaal;China;2021;70830.0;44890.0;63.0;78.0;38.0;40.0;22.0
142;Totaal mannen en vrouwen;Totaal personen;Totaal;China;2022;74470.0;49210.0;66.0;79.0;36.0;43.0;21.0
143;Totaal mannen en vrouwen;Totaal personen;Totaal;China;2023;78500.0;52530.0;67.0;80.0;38.0;42.0;20.0
144;Totaal mannen en vrouwen;Totaal personen;Totaal;Colombia;2021;19740.0;13300.0;67.0;88.0;43.0;45.0;12.0
145;Totaal mannen en vrouwen;Totaal personen;Totaal;Colombia;2022;20880.0;14740.0;71.0;88.0;41.0;47.0;12.0
146;Totaal mannen en vrouwen;Totaal personen;Totaal;Colombia;2023;21910.0;15650.0;71.0;88.0;43.0;45.0;12.0
147;Totaal mannen en vrouwen;Totaal personen;Totaal;Comoren;2021;10.0;10.0;;;;;
148;Totaal mannen en vrouwen;Totaal personen;Totaal;Comoren;2022;20.0;10.0;;;;;
149;Totaal mannen en vrouwen;Totaal personen;Totaal;Comoren;2023;20.0;10.0;;;;;
150;Totaal mannen en vrouwen;Totaal personen;Totaal;Congo;2021;1240.0;830.0;67.0;91.0;38.0;53.0;9.0
151;Totaal mannen en vrouwen;Totaal personen;Totaal;Congo;2022;1270.0;900.0;71.0;90.0;38.0;52.0;10.0
152;Totaal mannen en vrouwen;Totaal personen;Totaal;Congo;2023;1290.0;910.0;71.0;89.0;38.0;51.0;11.0
153;Totaal mannen en vrouwen;Totaal personen;Totaal;Congo (Democratische Republiek);2021;6690.0;4120.0;62.0;90.0;39.0;50.0;10.0
154;Totaal mannen en vrouwen;Totaal personen;Totaal;Congo (Democratische Republiek);2022;6880.0;4480.0;65.0;89.0;38.0;51.0;11.0
155;Totaal mannen en vrouwen;Totaal personen;Totaal;Congo (Democratische Republiek);2023;7110.0;4590.0;65.0;88.0;39.0;50.0;12.0
156;Totaal mannen en vrouwen;Totaal personen;Totaal;Cookeilanden;2021;10.0;10.0;;;;;
157;Totaal mannen en vrouwen;Totaal personen;Totaal;Cookeilanden;2022;10.0;10.0;;;;;
158;Totaal mannen en vrouwen;Totaal personen;Totaal;Cookeilanden;2023;10.0;10.0;;;;;
159;Totaal mannen en vrouwen;Totaal personen;Totaal;Costa Rica;2021;1170.0;780.0;67.0;89.0;45.0;44.0;11.0
160;Totaal mannen en vrouwen;Totaal personen;Totaal;Costa Rica;2022;1270.0;900.0;71.0;90.0;45.0;45.0;10.0
161;Totaal mannen en vrouwen;Totaal personen;Totaal;Costa Rica;2023;1390.0;1020.0;74.0;89.0;46.0;43.0;11.0
162;Totaal mannen en vrouwen;Totaal personen;Totaal;Cuba;2021;1950.0;1320.0;67.0;87.0;40.0;48.0;13.0
163;Totaal mannen en vrouwen;Totaal personen;Totaal;Cuba;2022;2090.0;1480.0;71.0;88.0;38.0;50.0;12.0
164;Totaal mannen en vrouwen;Totaal personen;Totaal;Cuba;2023;2230.0;1590.0;72.0;88.0;40.0;47.0;12.0
165;Totaal mannen en vrouwen;Totaal personen;Totaal;Curaçao;2021;104340.0;68610.0;66.0;88.0;47.0;41.0;12.0
166;Totaal mannen en vrouwen;Totaal personen;Totaal;Curaçao;2022;107440.0;74080.0;69.0;87.0;45.0;42.0;13.0
167;Totaal mannen en vrouwen;Totaal personen;Totaal;Curaçao;2023;110190.0;75960.0;69.0;86.0;45.0;41.0;14.0
168;Totaal mannen en vrouwen;Totaal personen;Totaal;Cyprus;2021;1420.0;730.0;51.0;87.0;39.0;48.0;13.0
169;Totaal mannen en vrouwen;Totaal personen;Totaal;Cyprus;2022;1800.0;910.0;51.0;88.0;38.0;50.0;12.0
170;Totaal mannen en vrouwen;Totaal personen;Totaal;Cyprus;2023;2150.0;1090.0;50.0;89.0;37.0;52.0;11.0
171;Totaal mannen en vrouwen;Totaal personen;Totaal;Denemarken;2021;5750.0;3790.0;66.0;80.0;48.0;32.0;20.0
172;Totaal mannen en vrouwen;Totaal personen;Totaal;Denemarken;2022;5870.0;3970.0;68.0;81.0;48.0;33.0;19.0
173;Totaal mannen en vrouwen;Totaal personen;Totaal;Denemarken;2023;5940.0;4040.0;68.0;80.0;49.0;32.0;20.0
174;Totaal mannen en vrouwen;Totaal personen;Totaal;Djibouti;2021;180.0;90.0;53.0;;;;
175;Totaal mannen en vrouwen;Totaal personen;Totaal;Djibouti;2022;180.0;100.0;58.0;;;;
176;Totaal mannen en vrouwen;Totaal personen;Totaal;Djibouti;2023;190.0;110.0;57.0;;;;
177;Totaal mannen en vrouwen;Totaal personen;Totaal;Dominica;2021;100.0;70.0;;;;;
178;Totaal mannen en vrouwen;Totaal personen;Totaal;Dominica;2022;110.0;70.0;;;;;
179;Totaal mannen en vrouwen;Totaal personen;Totaal;Dominica;2023;110.0;70.0;;;;;
180;Totaal mannen en vrouwen;Totaal personen;Totaal;Dominicaanse Republiek;2021;12200.0;6820.0;56.0;88.0;39.0;49.0;12.0
181;Totaal mannen en vrouwen;Totaal personen;Totaal;Dominicaanse Republiek;2022;12700.0;7700.0;61.0;87.0;36.0;51.0;13.0
182;Totaal mannen en vrouwen;Totaal personen;Totaal;Dominicaanse Republiek;2023;13210.0;8080.0;61.0;87.0;37.0;49.0;13.0
183;Totaal mannen en vrouwen;Totaal personen;Totaal;Duitsland;2021;246510.0;144830.0;59.0;83.0;57.0;26.0;17.0
184;Totaal mannen en vrouwen;Totaal personen;Totaal;Duitsland;2022;241620.0;147900.0;61.0;83.0;56.0;27.0;17.0
185;Totaal mannen en vrouwen;Totaal personen;Totaal;Duitsland;2023;236730.0;147960.0;63.0;84.0;57.0;27.0;16.0
186;Totaal mannen en vrouwen;Totaal personen;Totaal;Ecuador;2021;3490.0;2310.0;66.0;85.0;39.0;47.0;15.0
187;Totaal mannen en vrouwen;Totaal personen;Totaal;Ecuador;2022;3720.0;2660.0;71.0;86.0;36.0;50.0;14.0
188;Totaal mannen en vrouwen;Totaal personen;Totaal;Ecuador;2023;3960.0;2890.0;73.0;86.0;38.0;48.0;14.0
189;Totaal mannen en vrouwen;Totaal personen;Totaal;Egypte;2021;22740.0;13290.0;58.0;76.0;35.0;41.0;24.0
190;Totaal mannen en vrouwen;Totaal personen;Totaal;Egypte;2022;24030.0;14830.0;62.0;77.0;35.0;42.0;23.0
191;Totaal mannen en vrouwen;Totaal personen;Totaal;Egypte;2023;25310.0;15870.0;63.0;77.0;36.0;41.0;23.0
192;Totaal mannen en vrouwen;Totaal personen;Totaal;El Salvador;2021;670.0;420.0;63.0;87.0;44.0;43.0;13.0
193;Totaal mannen en vrouwen;Totaal personen;Totaal;El Salvador;2022;720.0;490.0;67.0;89.0;42.0;47.0;11.0
194;Totaal mannen en vrouwen;Totaal personen;Totaal;El Salvador;2023;780.0;540.0;69.0;90.0;43.0;47.0;10.0
195;Totaal mannen en vrouwen;Totaal personen;Totaal;Equatoriaal-Guinea;2021;70.0;40.0;;;;;
196;Totaal mannen en vrouwen;Totaal personen;Totaal;Equatoriaal-Guinea;2022;80.0;50.0;;;;;
197;Totaal mannen en vrouwen;Totaal personen;Totaal;Equatoriaal-Guinea;2023;80.0;60.0;;;;;
198;Totaal mannen en vrouwen;Totaal personen;Totaal;Eritrea;2021;13690.0;6850.0;50.0;97.0;15.0;82.0;3.0
199;Totaal mannen en vrouwen;Totaal personen;Totaal;Eritrea;2022;15100.0;9000.0;60.0;96.0;15.0;81.0;4.0
200;Totaal mannen en vrouwen;Totaal personen;Totaal;Eritrea;2023;16520.0;10100.0;61.0;96.0;18.0;78.0;4.0
201;Totaal mannen en vrouwen;Totaal personen;Totaal;Estland;2021;1870.0;1140.0;61.0;85.0;42.0;43.0;15.0
202;Totaal mannen en vrouwen;Totaal personen;Totaal;Estland;2022;2080.0;1310.0;63.0;86.0;40.0;46.0;14.0
203;Totaal mannen en vrouwen;Totaal personen;Totaal;Estland;2023;2270.0;1440.0;63.0;87.0;40.0;47.0;13.0
204;Totaal mannen en vrouwen;Totaal personen;Totaal;Eswatini;2021;110.0;80.0;;;;;
205;Totaal mannen en vrouwen;Totaal personen;Totaal;Eswatini;2022;120.0;90.0;;;;;
206;Totaal mannen en vrouwen;Totaal personen;Totaal;Eswatini;2023;130.0;90.0;;;;;
207;Totaal mannen en vrouwen;Totaal personen;Totaal;Ethiopië;2021;21370.0;10140.0;47.0;91.0;35.0;56.0;9.0
208;Totaal mannen en vrouwen;Totaal personen;Totaal;Ethiopië;2022;22170.0;11500.0;52.0;90.0;35.0;55.0;10.0
209;Totaal mannen en vrouwen;Totaal personen;Totaal;Ethiopië;2023;22920.0;12100.0;53.0;89.0;38.0;51.0;11.0
210;Totaal mannen en vrouwen;Totaal personen;Totaal;Faeröer-eilanden;2021;10.0;10.0;;;;;
211;Totaal mannen en vrouwen;Totaal personen;Totaal;Faeröer-eilanden;2022;20.0;10.0;;;;;
212;Totaal mannen en vrouwen;Totaal personen;Totaal;Faeröer-eilanden;2023;10.0;10.0;;;;;
213;Totaal mannen en vrouwen;Totaal personen;Totaal;Falklandeilanden;2021;0.0;0.0;;;;;
214;Totaal mannen en vrouwen;Totaal personen;Totaal;Falklandeilanden;2022;0.0;0.0;;;;;
215;Totaal mannen en vrouwen;Totaal personen;Totaal;Falklandeilanden;2023;0.0;0.0;;;;;
216;Totaal mannen en vrouwen;Totaal personen;Totaal;Fiji;2021;110.0;70.0;;;;;
217;Totaal mannen en vrouwen;Totaal personen;Totaal;Fiji;2022;120.0;80.0;;;;;
218;Totaal mannen en vrouwen;Totaal personen;Totaal;Fiji;2023;130.0;80.0;;;;;
