ID;Sectors;Periods;OneOffAndStandardisedGuarantees_1;TotalOneOffGuarantees_2;PublicNonFinancialCorporations_3;PublicFinancialCorporations_4;PrivateFinancialCorporations_5;OtherInstitutions_6;StandardisedGuarantees_7;AdjustedCapitalValueOffBalancePPP_8;NonPerformingLoans_9;OneOffAndStandardisedGuarantees_10;TotalOneOffGuarantees_11;PublicNonFinancialCorporations_12;PublicFinancialCorporations_13;PrivateFinancialCorporations_14;OtherInstitutions_15;StandardisedGuarantees_16;AdjustedCapitalValueOffBalancePPP_17;NonPerformingLoans_18
37;Local government;2019;3943;3943;2431;0;0;1512;0;0;224;0.5;0.5;0.3;0.0;0.0;0.2;0;0;0.0
38;Local government;2020;3358;3358;2184;0;0;1174;0;0;348;0.4;0.4;0.3;0.0;0.0;0.1;0;0;0.0
39;Local government;2021;3394;3394;2328;0;0;1066;0;0;341;0.4;0.4;0.3;0.0;0.0;0.1;0;0;0.0
40;Local government;2022;3213;3213;2236;0;0;977;0;0;261;0.3;0.3;0.2;0.0;0.0;0.1;0;0;0.0
41;Local government;2023;3061;3061;2157;0;0;904;0;0;268;0.3;0.3;0.2;0.0;0.0;0.1;0;0;0.0
42;Social security funds;2010;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0.0
43;Social security funds;2011;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0.0
44;Social security funds;2012;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0.0
45;Social security funds;2013;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0.0
46;Social security funds;2014;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0.0
47;Social security funds;2015;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0.0
48;Social security funds;2016;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0.0
49;Social security funds;2017;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0.0
50;Social security funds;2018;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0.0
51;Social security funds;2019;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0.0
52;Social security funds;2020;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0.0
53;Social security funds;2021;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0.0
54;Social security funds;2022;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0.0
55;Social security funds;2023;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0.0
