ID;SBI93;Perioden;k_0mzet_1;Prijs_2;Volume_3;k_0mzet_4;Prijs_5;Volume_6
148;521 t/m 525 Detailhandel in winkel;1995 oktober;99.0;100.0;98.0;;;
149;521 t/m 525 Detailhandel in winkel;1995 november;103.0;101.0;103.0;;;
150;521 t/m 525 Detailhandel in winkel;1995 december;118.0;100.0;118.0;;;
151;521 t/m 525 Detailhandel in winkel;1995 4e kwartaal;107.0;100.0;106.0;-0.3;-0.9;0.7
152;521 t/m 525 Detailhandel in winkel;1995;100.0;100.0;100.0;1.0;-0.2;1.2
153;521 t/m 525 Detailhandel in winkel;1996 januari;91.0;99.0;91.0;2.4;-0.2;2.6
154;521 t/m 525 Detailhandel in winkel;1996 februari;87.0;100.0;88.0;3.9;-0.5;4.4
155;521 t/m 525 Detailhandel in winkel;1996 maart;100.0;101.0;99.0;-0.3;0.1;-0.4
156;521 t/m 525 Detailhandel in winkel;1996 1e kwartaal;93.0;100.0;93.0;1.8;-0.2;2.0
157;521 t/m 525 Detailhandel in winkel;1996 april;101.0;101.0;100.0;3.8;0.0;3.8
158;521 t/m 525 Detailhandel in winkel;1996 mei;109.0;100.0;109.0;6.2;-0.1;6.3
159;521 t/m 525 Detailhandel in winkel;1996 juni;106.0;100.0;107.0;-0.1;-0.5;0.5
160;521 t/m 525 Detailhandel in winkel;1996 2e kwartaal;105.0;100.0;105.0;3.6;-0.2;3.8
161;521 t/m 525 Detailhandel in winkel;1996 juli;102.0;99.0;103.0;4.6;-0.1;4.6
162;521 t/m 525 Detailhandel in winkel;1996 augustus;103.0;99.0;104.0;7.1;-0.7;7.8
163;521 t/m 525 Detailhandel in winkel;1996 september;101.0;100.0;101.0;-3.6;-0.2;-3.4
164;521 t/m 525 Detailhandel in winkel;1996 3e kwartaal;102.0;99.0;103.0;2.6;-0.3;3.0
165;521 t/m 525 Detailhandel in winkel;1996 oktober;108.0;100.0;108.0;9.5;0.3;9.2
166;521 t/m 525 Detailhandel in winkel;1996 november;107.0;100.0;107.0;3.7;0.1;3.6
167;521 t/m 525 Detailhandel in winkel;1996 december;118.0;100.0;118.0;-0.6;0.6;-1.2
168;521 t/m 525 Detailhandel in winkel;1996 4e kwartaal;111.0;100.0;111.0;4.0;0.3;3.7
169;521 t/m 525 Detailhandel in winkel;1996;103.0;100.0;103.0;3.0;-0.2;3.2
170;521 t/m 525 Detailhandel in winkel;1997 januari;98.0;100.0;97.0;8.1;0.8;7.3
171;521 t/m 525 Detailhandel in winkel;1997 februari;90.0;100.0;89.0;2.4;0.3;2.1
172;521 t/m 525 Detailhandel in winkel;1997 maart;105.0;101.0;103.0;4.4;-0.3;4.7
173;521 t/m 525 Detailhandel in winkel;1997 1e kwartaal;98.0;100.0;96.0;5.0;0.3;4.7
174;521 t/m 525 Detailhandel in winkel;1997 april;106.0;101.0;104.0;4.0;-0.4;4.4
175;521 t/m 525 Detailhandel in winkel;1997 mei;118.0;101.0;116.0;7.9;0.9;7.0
176;521 t/m 525 Detailhandel in winkel;1997 juni;110.0;101.0;108.0;3.0;1.0;2.0
177;521 t/m 525 Detailhandel in winkel;1997 2e kwartaal;111.0;101.0;109.0;5.0;0.5;4.5
178;521 t/m 525 Detailhandel in winkel;1997 juli;111.0;100.0;110.0;8.1;0.9;7.2
179;521 t/m 525 Detailhandel in winkel;1997 augustus;104.0;100.0;102.0;0.1;1.4;-1.3
180;521 t/m 525 Detailhandel in winkel;1997 september;110.0;101.0;108.0;9.4;1.6;7.8
181;521 t/m 525 Detailhandel in winkel;1997 3e kwartaal;108.0;100.0;107.0;5.8;1.3;4.5
182;521 t/m 525 Detailhandel in winkel;1997 oktober;119.0;101.0;116.0;9.6;1.5;8.1
183;521 t/m 525 Detailhandel in winkel;1997 november;112.0;102.0;108.0;3.8;1.9;1.9
184;521 t/m 525 Detailhandel in winkel;1997 december;130.0;101.0;126.0;9.2;1.4;7.8
185;521 t/m 525 Detailhandel in winkel;1997 4e kwartaal;120.0;101.0;117.0;7.6;1.6;6.0
186;521 t/m 525 Detailhandel in winkel;1997;109.0;101.0;107.0;5.9;0.9;5.0
187;521 t/m 525 Detailhandel in winkel;1998 januari;107.0;100.0;107.0;9.4;0.9;8.4
188;521 t/m 525 Detailhandel in winkel;1998 februari;95.0;101.0;94.0;6.9;2.1;4.7
189;521 t/m 525 Detailhandel in winkel;1998 maart;107.0;104.0;103.0;2.8;2.3;0.4
190;521 t/m 525 Detailhandel in winkel;1998 1e kwartaal;103.0;102.0;101.0;6.3;1.8;4.4
191;521 t/m 525 Detailhandel in winkel;1998 april;115.0;104.0;111.0;9.8;2.5;7.1
192;521 t/m 525 Detailhandel in winkel;1998 mei;123.0;104.0;119.0;4.9;1.9;2.9
193;521 t/m 525 Detailhandel in winkel;1998 juni;117.0;103.0;114.0;7.1;2.2;4.9
194;521 t/m 525 Detailhandel in winkel;1998 2e kwartaal;119.0;103.0;115.0;7.2;2.2;4.9
195;521 t/m 525 Detailhandel in winkel;1998 juli;121.0;101.0;120.0;9.9;2.4;7.3
196;521 t/m 525 Detailhandel in winkel;1998 augustus;109.0;101.0;107.0;5.8;2.0;3.7
197;521 t/m 525 Detailhandel in winkel;1998 september;116.0;104.0;112.0;5.1;1.6;3.5
198;521 t/m 525 Detailhandel in winkel;1998 3e kwartaal;115.0;102.0;113.0;7.0;2.0;4.9
199;521 t/m 525 Detailhandel in winkel;1998 oktober;126.0;104.0;121.0;6.8;1.8;5.0
200;521 t/m 525 Detailhandel in winkel;1998 november;115.0;104.0;110.0;3.7;1.6;2.1
201;521 t/m 525 Detailhandel in winkel;1998 december;140.0;103.0;135.0;8.7;1.8;6.8
202;521 t/m 525 Detailhandel in winkel;1998 4e kwartaal;127.0;104.0;122.0;6.6;1.7;4.7
203;521 t/m 525 Detailhandel in winkel;1998;116.0;103.0;113.0;6.8;1.9;4.7
204;521 t/m 525 Detailhandel in winkel;1999 januari;107.0;102.0;105.0;0.0;2.5;-2.5
205;521 t/m 525 Detailhandel in winkel;1999 februari;99.0;103.0;96.0;4.2;2.1;2.1
206;521 t/m 525 Detailhandel in winkel;1999 maart;118.0;106.0;112.0;10.6;1.9;8.5
207;521 t/m 525 Detailhandel in winkel;1999 1e kwartaal;108.0;104.0;104.0;5.0;2.2;2.7
208;521 t/m 525 Detailhandel in winkel;1999 april;122.0;106.0;116.0;5.9;1.6;4.2
209;521 t/m 525 Detailhandel in winkel;1999 mei;125.0;106.0;119.0;1.8;1.7;0.0
210;521 t/m 525 Detailhandel in winkel;1999 juni;126.0;104.0;121.0;7.9;1.7;6.1
211;521 t/m 525 Detailhandel in winkel;1999 2e kwartaal;125.0;105.0;119.0;5.1;1.7;3.4
212;521 t/m 525 Detailhandel in winkel;1999 juli;127.0;102.0;125.0;4.9;1.0;3.8
213;521 t/m 525 Detailhandel in winkel;1999 augustus;111.0;103.0;108.0;2.3;2.0;0.2
214;521 t/m 525 Detailhandel in winkel;1999 september;119.0;104.0;114.0;3.3;0.8;2.5
215;521 t/m 525 Detailhandel in winkel;1999 3e kwartaal;119.0;103.0;116.0;3.5;1.3;2.2
216;521 t/m 525 Detailhandel in winkel;1999 oktober;126.0;104.0;121.0;0.4;0.5;-0.2
217;521 t/m 525 Detailhandel in winkel;1999 november;123.0;105.0;118.0;7.2;0.7;6.4
218;521 t/m 525 Detailhandel in winkel;1999 december;150.0;104.0;144.0;6.9;0.4;6.5
219;521 t/m 525 Detailhandel in winkel;1999 4e kwartaal;133.0;104.0;128.0;4.8;0.5;4.2
220;521 t/m 525 Detailhandel in winkel;1999;121.0;104.0;117.0;4.6;1.4;3.1
221;521 t/m 525 Detailhandel in winkel;2000 januari;109.0;102.0;106.0;1.9;0.2;1.8
222;521 t/m 525 Detailhandel in winkel;2000 februari;109.0;103.0;105.0;9.4;-0.3;9.7
223;521 t/m 525 Detailhandel in winkel;2000 maart;125.0;105.0;119.0;6.1;-0.4;6.5
224;521 t/m 525 Detailhandel in winkel;2000 1e kwartaal;114.0;104.0;110.0;5.7;-0.2;5.9
225;521 t/m 525 Detailhandel in winkel;2000 april;125.0;106.0;118.0;2.5;0.2;2.4
226;521 t/m 525 Detailhandel in winkel;2000 mei;132.0;106.0;125.0;5.5;0.5;5.0
227;521 t/m 525 Detailhandel in winkel;2000 juni;130.0;105.0;123.0;2.9;1.0;1.9
228;521 t/m 525 Detailhandel in winkel;2000 2e kwartaal;129.0;106.0;122.0;3.6;0.5;3.1
229;521 t/m 525 Detailhandel in winkel;2000 juli;125.0;103.0;121.0;-1.5;1.1;-2.5
230;521 t/m 525 Detailhandel in winkel;2000 augustus;122.0;104.0;118.0;9.8;0.7;9.1
231;521 t/m 525 Detailhandel in winkel;2000 september;129.0;106.0;122.0;8.3;1.5;6.6
232;521 t/m 525 Detailhandel in winkel;2000 3e kwartaal;126.0;104.0;120.0;5.3;1.1;4.1
233;521 t/m 525 Detailhandel in winkel;2000 oktober;127.0;107.0;119.0;0.5;2.2;-1.7
234;521 t/m 525 Detailhandel in winkel;2000 november;134.0;107.0;125.0;8.4;2.2;6.1
235;521 t/m 525 Detailhandel in winkel;2000 december;155.0;106.0;146.0;3.8;2.3;1.4
236;521 t/m 525 Detailhandel in winkel;2000 4e kwartaal;139.0;107.0;130.0;4.1;2.2;1.9
237;521 t/m 525 Detailhandel in winkel;2000;127.0;105.0;121.0;4.6;0.9;3.7
238;5211 + 522 Voedings- en genotmiddelen;1994 januari;88.0;97.0;91.0;;;
239;5211 + 522 Voedings- en genotmiddelen;1994 februari;88.0;98.0;90.0;;;
240;5211 + 522 Voedings- en genotmiddelen;1994 maart;99.0;99.0;100.0;;;
241;5211 + 522 Voedings- en genotmiddelen;1994 1e kwartaal;92.0;98.0;94.0;;;
242;5211 + 522 Voedings- en genotmiddelen;1994 april;101.0;98.0;102.0;;;
243;5211 + 522 Voedings- en genotmiddelen;1994 mei;97.0;99.0;99.0;;;
244;5211 + 522 Voedings- en genotmiddelen;1994 juni;100.0;99.0;101.0;;;
245;5211 + 522 Voedings- en genotmiddelen;1994 2e kwartaal;99.0;99.0;101.0;;;
246;5211 + 522 Voedings- en genotmiddelen;1994 juli;102.0;99.0;103.0;;;
247;5211 + 522 Voedings- en genotmiddelen;1994 augustus;95.0;99.0;96.0;;;
248;5211 + 522 Voedings- en genotmiddelen;1994 september;98.0;100.0;98.0;;;
249;5211 + 522 Voedings- en genotmiddelen;1994 3e kwartaal;98.0;99.0;99.0;;;
250;5211 + 522 Voedings- en genotmiddelen;1994 oktober;96.0;100.0;95.0;;;
251;5211 + 522 Voedings- en genotmiddelen;1994 november;96.0;100.0;96.0;;;
252;5211 + 522 Voedings- en genotmiddelen;1994 december;117.0;100.0;117.0;;;
253;5211 + 522 Voedings- en genotmiddelen;1994 4e kwartaal;103.0;100.0;103.0;;;
254;5211 + 522 Voedings- en genotmiddelen;1994;98.0;99.0;99.0;;;
255;5211 + 522 Voedings- en genotmiddelen;1995 januari;91.0;100.0;91.0;;;
256;5211 + 522 Voedings- en genotmiddelen;1995 februari;90.0;101.0;90.0;;;
257;5211 + 522 Voedings- en genotmiddelen;1995 maart;103.0;101.0;102.0;;;
258;5211 + 522 Voedings- en genotmiddelen;1995 1e kwartaal;95.0;101.0;94.0;3.7;2.4;1.3
259;5211 + 522 Voedings- en genotmiddelen;1995 april;98.0;101.0;97.0;;;
260;5211 + 522 Voedings- en genotmiddelen;1995 mei;100.0;101.0;100.0;;;
261;5211 + 522 Voedings- en genotmiddelen;1995 juni;105.0;101.0;105.0;;;
262;5211 + 522 Voedings- en genotmiddelen;1995 2e kwartaal;101.0;101.0;101.0;1.9;1.5;0.4
263;5211 + 522 Voedings- en genotmiddelen;1995 juli;100.0;100.0;100.0;;;
264;5211 + 522 Voedings- en genotmiddelen;1995 augustus;101.0;99.0;102.0;;;
265;5211 + 522 Voedings- en genotmiddelen;1995 september;100.0;99.0;101.0;;;
266;5211 + 522 Voedings- en genotmiddelen;1995 3e kwartaal;100.0;99.0;101.0;1.7;-0.6;2.3
267;5211 + 522 Voedings- en genotmiddelen;1995 oktober;95.0;99.0;96.0;;;
268;5211 + 522 Voedings- en genotmiddelen;1995 november;100.0;99.0;100.0;;;
269;5211 + 522 Voedings- en genotmiddelen;1995 december;116.0;100.0;116.0;;;
270;5211 + 522 Voedings- en genotmiddelen;1995 4e kwartaal;104.0;99.0;104.0;0.8;-1.2;2.0
271;5211 + 522 Voedings- en genotmiddelen;1995;100.0;100.0;100.0;1.9;0.5;1.4
272;5211 + 522 Voedings- en genotmiddelen;1996 januari;94.0;100.0;94.0;2.5;-0.1;2.6
273;5211 + 522 Voedings- en genotmiddelen;1996 februari;95.0;100.0;95.0;5.6;-0.3;6.0
274;5211 + 522 Voedings- en genotmiddelen;1996 maart;103.0;102.0;101.0;0.2;0.5;-0.3
275;5211 + 522 Voedings- en genotmiddelen;1996 1e kwartaal;97.0;101.0;97.0;2.7;0.0;2.6
276;5211 + 522 Voedings- en genotmiddelen;1996 april;99.0;101.0;97.0;1.1;0.5;0.6
277;5211 + 522 Voedings- en genotmiddelen;1996 mei;108.0;100.0;108.0;7.8;-0.3;8.1
278;5211 + 522 Voedings- en genotmiddelen;1996 juni;101.0;99.0;102.0;-3.7;-1.0;-2.7
279;5211 + 522 Voedings- en genotmiddelen;1996 2e kwartaal;103.0;100.0;102.0;2.4;-0.3;2.7
280;5211 + 522 Voedings- en genotmiddelen;1996 juli;101.0;99.0;101.0;0.8;-0.1;0.8
281;5211 + 522 Voedings- en genotmiddelen;1996 augustus;106.0;98.0;109.0;5.6;-0.9;6.6
282;5211 + 522 Voedings- en genotmiddelen;1996 september;94.0;98.0;95.0;-6.2;-0.3;-5.9
