ID;Sex;Ages;MedicineGroupATC;Periods;PersonsWithDispensedMedicines_1;PersonsWithMedicinesRelative_2;DefinedDailyDosesDDD_3;DefinedDailyDosesDDDRelative_4
29;Total male and female;Total age;A Alimentary tract and metabolism;2017;4300740.0;24.59;;
30;Total male and female;Total age;A Alimentary tract and metabolism;2018;4407310.0;25.04;;
31;Total male and female;Total age;A Alimentary tract and metabolism;2019;4381755.0;24.72;;
32;Total male and female;Total age;A Alimentary tract and metabolism;2020;4314580.0;24.24;2089376.0;117390.0
33;Total male and female;Total age;A Alimentary tract and metabolism;2021;4466230.0;24.94;2147242.0;119905.0
34;Total male and female;Total age;A Alimentary tract and metabolism;2022;4516000.0;24.87;2193286.0;120801.0
35;Total male and female;Total age;A Alimentary tract and metabolism;2023;3955890.0;21.61;1582135.0;86436.0
36;Total male and female;Total age;A01 Stomatological preparations;2006;135560.0;0.81;;
37;Total male and female;Total age;A01 Stomatological preparations;2007;145735.0;0.87;;
38;Total male and female;Total age;A01 Stomatological preparations;2008;147900.0;0.88;;
39;Total male and female;Total age;A01 Stomatological preparations;2009;149050.0;0.89;;
40;Total male and female;Total age;A01 Stomatological preparations;2010;154710.0;0.91;;
41;Total male and female;Total age;A01 Stomatological preparations;2011;96590.0;0.57;;
42;Total male and female;Total age;A01 Stomatological preparations;2012;38160.0;0.22;;
43;Total male and female;Total age;A01 Stomatological preparations;2013;37720.0;0.22;;
44;Total male and female;Total age;A01 Stomatological preparations;2014;38925.0;0.23;;
45;Total male and female;Total age;A01 Stomatological preparations;2015;38365.0;0.22;;
46;Total male and female;Total age;A01 Stomatological preparations;2016;38155.0;0.22;;
47;Total male and female;Total age;A01 Stomatological preparations;2017;36165.0;0.21;;
48;Total male and female;Total age;A01 Stomatological preparations;2018;35780.0;0.2;;
49;Total male and female;Total age;A01 Stomatological preparations;2019;43930.0;0.25;;
50;Total male and female;Total age;A01 Stomatological preparations;2020;45190.0;0.25;288.0;16.0
51;Total male and female;Total age;A01 Stomatological preparations;2021;57885.0;0.32;240.0;13.0
52;Total male and female;Total age;A01 Stomatological preparations;2022;112735.0;0.62;921.0;51.0
53;Total male and female;Total age;A01 Stomatological preparations;2023;99835.0;0.55;628.0;34.0
54;Total male and female;Total age;A01A Stomatological preparations;2006;135560.0;0.81;;
55;Total male and female;Total age;A01A Stomatological preparations;2007;145735.0;0.87;;
56;Total male and female;Total age;A01A Stomatological preparations;2008;147900.0;0.88;;
57;Total male and female;Total age;A01A Stomatological preparations;2009;149050.0;0.89;;
58;Total male and female;Total age;A01A Stomatological preparations;2010;154710.0;0.91;;
59;Total male and female;Total age;A01A Stomatological preparations;2011;96590.0;0.57;;
60;Total male and female;Total age;A01A Stomatological preparations;2012;38160.0;0.22;;
61;Total male and female;Total age;A01A Stomatological preparations;2013;37720.0;0.22;;
62;Total male and female;Total age;A01A Stomatological preparations;2014;38925.0;0.23;;
63;Total male and female;Total age;A01A Stomatological preparations;2015;38365.0;0.22;;
64;Total male and female;Total age;A01A Stomatological preparations;2016;38155.0;0.22;;
65;Total male and female;Total age;A01A Stomatological preparations;2017;36165.0;0.21;;
66;Total male and female;Total age;A01A Stomatological preparations;2018;35780.0;0.2;;
67;Total male and female;Total age;A01A Stomatological preparations;2019;43930.0;0.25;;
68;Total male and female;Total age;A01A Stomatological preparations;2020;45190.0;0.25;288.0;16.0
69;Total male and female;Total age;A01A Stomatological preparations;2021;57885.0;0.32;240.0;13.0
70;Total male and female;Total age;A01A Stomatological preparations;2022;112735.0;0.62;921.0;51.0
71;Total male and female;Total age;A01A Stomatological preparations;2023;99835.0;0.55;628.0;34.0
72;Total male and female;Total age;A02 Drugs for acid related disorders;2006;1717060.0;10.32;;
73;Total male and female;Total age;A02 Drugs for acid related disorders;2007;1932975.0;11.59;;
74;Total male and female;Total age;A02 Drugs for acid related disorders;2008;2153940.0;12.85;;
75;Total male and female;Total age;A02 Drugs for acid related disorders;2009;2355645.0;13.99;;
76;Total male and female;Total age;A02 Drugs for acid related disorders;2010;2558270.0;15.11;;
77;Total male and female;Total age;A02 Drugs for acid related disorders;2011;2746955.0;16.14;;
78;Total male and female;Total age;A02 Drugs for acid related disorders;2012;1822580.0;10.67;;
79;Total male and female;Total age;A02 Drugs for acid related disorders;2013;1917420.0;11.19;;
80;Total male and female;Total age;A02 Drugs for acid related disorders;2014;2025395.0;11.78;;
81;Total male and female;Total age;A02 Drugs for acid related disorders;2015;2103755.0;12.17;;
82;Total male and female;Total age;A02 Drugs for acid related disorders;2016;2176235.0;12.52;;
83;Total male and female;Total age;A02 Drugs for acid related disorders;2017;2204900.0;12.61;;
84;Total male and female;Total age;A02 Drugs for acid related disorders;2018;2230140.0;12.67;;
85;Total male and female;Total age;A02 Drugs for acid related disorders;2019;2265425.0;12.78;;
86;Total male and female;Total age;A02 Drugs for acid related disorders;2020;2271760.0;12.76;824097.0;46301.0
87;Total male and female;Total age;A02 Drugs for acid related disorders;2021;2288615.0;12.78;829291.0;46309.0
88;Total male and female;Total age;A02 Drugs for acid related disorders;2022;2265255.0;12.48;820614.0;45198.0
89;Total male and female;Total age;A02 Drugs for acid related disorders;2023;2237090.0;12.22;808517.0;44171.0
90;Total male and female;Total age;A02A Antacids;2006;3380.0;0.02;;
91;Total male and female;Total age;A02A Antacids;2007;1785.0;0.01;;
92;Total male and female;Total age;A02A Antacids;2008;970.0;0.01;;
93;Total male and female;Total age;A02A Antacids;2009;570.0;0.0;;
94;Total male and female;Total age;A02A Antacids;2010;495.0;0.0;;
95;Total male and female;Total age;A02A Antacids;2011;395.0;0.0;;
96;Total male and female;Total age;A02A Antacids;2012;305.0;0.0;;
97;Total male and female;Total age;A02A Antacids;2013;480.0;0.0;;
98;Total male and female;Total age;A02A Antacids;2014;290.0;0.0;;
99;Total male and female;Total age;A02A Antacids;2015;210.0;0.0;;
100;Total male and female;Total age;A02A Antacids;2016;185.0;0.0;;
101;Total male and female;Total age;A02A Antacids;2017;125.0;0.0;;
102;Total male and female;Total age;A02A Antacids;2018;85.0;0.0;;
103;Total male and female;Total age;A02A Antacids;2019;95.0;0.0;;
104;Total male and female;Total age;A02A Antacids;2020;85.0;0.0;17.0;1.0
105;Total male and female;Total age;A02A Antacids;2021;60.0;0.0;20.0;1.0
106;Total male and female;Total age;A02A Antacids;2022;115.0;0.0;25.0;1.0
107;Total male and female;Total age;A02A Antacids;2023;135.0;0.0;14.0;1.0
108;Total male and female;Total age;A02B Drugs for peptic ulcer and gord;2006;1715100.0;10.31;;
109;Total male and female;Total age;A02B Drugs for peptic ulcer and gord;2007;1931970.0;11.58;;
110;Total male and female;Total age;A02B Drugs for peptic ulcer and gord;2008;2153395.0;12.85;;
111;Total male and female;Total age;A02B Drugs for peptic ulcer and gord;2009;2355320.0;13.99;;
112;Total male and female;Total age;A02B Drugs for peptic ulcer and gord;2010;2557990.0;15.11;;
113;Total male and female;Total age;A02B Drugs for peptic ulcer and gord;2011;2746750.0;16.14;;
114;Total male and female;Total age;A02B Drugs for peptic ulcer and gord;2012;1822400.0;10.67;;
115;Total male and female;Total age;A02B Drugs for peptic ulcer and gord;2013;1917165.0;11.19;;
116;Total male and female;Total age;A02B Drugs for peptic ulcer and gord;2014;2025265.0;11.78;;
117;Total male and female;Total age;A02B Drugs for peptic ulcer and gord;2015;2103665.0;12.17;;
118;Total male and female;Total age;A02B Drugs for peptic ulcer and gord;2016;2176150.0;12.51;;
119;Total male and female;Total age;A02B Drugs for peptic ulcer and gord;2017;2204845.0;12.61;;
120;Total male and female;Total age;A02B Drugs for peptic ulcer and gord;2018;2230105.0;12.67;;
121;Total male and female;Total age;A02B Drugs for peptic ulcer and gord;2019;2265380.0;12.78;;
122;Total male and female;Total age;A02B Drugs for peptic ulcer and gord;2020;2271720.0;12.76;824080.0;46300.0
123;Total male and female;Total age;A02B Drugs for peptic ulcer and gord;2021;2288590.0;12.78;829270.0;46308.0
124;Total male and female;Total age;A02B Drugs for peptic ulcer and gord;2022;2265210.0;12.48;820589.0;45196.0
125;Total male and female;Total age;A02B Drugs for peptic ulcer and gord;2023;2237035.0;12.22;808503.0;44171.0
126;Total male and female;Total age;A02X Oth. drugs for acid related disord.;2006;0.0;0.0;;
127;Total male and female;Total age;A02X Oth. drugs for acid related disord.;2007;0.0;0.0;;
128;Total male and female;Total age;A02X Oth. drugs for acid related disord.;2008;0.0;0.0;;
129;Total male and female;Total age;A02X Oth. drugs for acid related disord.;2009;0.0;0.0;;
130;Total male and female;Total age;A02X Oth. drugs for acid related disord.;2010;0.0;0.0;;
131;Total male and female;Total age;A02X Oth. drugs for acid related disord.;2011;0.0;0.0;;
132;Total male and female;Total age;A02X Oth. drugs for acid related disord.;2012;0.0;0.0;;
133;Total male and female;Total age;A02X Oth. drugs for acid related disord.;2013;0.0;0.0;;
134;Total male and female;Total age;A02X Oth. drugs for acid related disord.;2014;0.0;0.0;;
135;Total male and female;Total age;A02X Oth. drugs for acid related disord.;2015;0.0;0.0;;
136;Total male and female;Total age;A02X Oth. drugs for acid related disord.;2016;0.0;0.0;;
137;Total male and female;Total age;A02X Oth. drugs for acid related disord.;2017;0.0;0.0;;
138;Total male and female;Total age;A02X Oth. drugs for acid related disord.;2018;0.0;0.0;;
139;Total male and female;Total age;A02X Oth. drugs for acid related disord.;2019;0.0;0.0;;
140;Total male and female;Total age;A02X Oth. drugs for acid related disord.;2020;0.0;0.0;0.0;0.0
141;Total male and female;Total age;A02X Oth. drugs for acid related disord.;2021;0.0;0.0;0.0;0.0
142;Total male and female;Total age;A02X Oth. drugs for acid related disord.;2022;0.0;0.0;0.0;0.0
143;Total male and female;Total age;A02X Oth. drugs for acid related disord.;2023;0.0;0.0;0.0;0.0
144;Total male and female;Total age;A03 Drugs for funct.gastrointest.disord.;2006;346270.0;2.08;;
145;Total male and female;Total age;A03 Drugs for funct.gastrointest.disord.;2007;361875.0;2.17;;
146;Total male and female;Total age;A03 Drugs for funct.gastrointest.disord.;2008;360570.0;2.15;;
147;Total male and female;Total age;A03 Drugs for funct.gastrointest.disord.;2009;366475.0;2.18;;
148;Total male and female;Total age;A03 Drugs for funct.gastrointest.disord.;2010;372355.0;2.2;;
149;Total male and female;Total age;A03 Drugs for funct.gastrointest.disord.;2011;382420.0;2.25;;
150;Total male and female;Total age;A03 Drugs for funct.gastrointest.disord.;2012;369020.0;2.16;;
151;Total male and female;Total age;A03 Drugs for funct.gastrointest.disord.;2013;348950.0;2.04;;
152;Total male and female;Total age;A03 Drugs for funct.gastrointest.disord.;2014;368575.0;2.14;;
153;Total male and female;Total age;A03 Drugs for funct.gastrointest.disord.;2015;406800.0;2.35;;
154;Total male and female;Total age;A03 Drugs for funct.gastrointest.disord.;2016;407125.0;2.34;;
155;Total male and female;Total age;A03 Drugs for funct.gastrointest.disord.;2017;400305.0;2.29;;
156;Total male and female;Total age;A03 Drugs for funct.gastrointest.disord.;2018;405705.0;2.31;;
157;Total male and female;Total age;A03 Drugs for funct.gastrointest.disord.;2019;391785.0;2.21;;
158;Total male and female;Total age;A03 Drugs for funct.gastrointest.disord.;2020;371205.0;2.09;23081.0;1297.0
159;Total male and female;Total age;A03 Drugs for funct.gastrointest.disord.;2021;381890.0;2.13;22809.0;1274.0
160;Total male and female;Total age;A03 Drugs for funct.gastrointest.disord.;2022;378045.0;2.08;22539.0;1241.0
161;Total male and female;Total age;A03 Drugs for funct.gastrointest.disord.;2023;367705.0;2.01;22018.0;1203.0
162;Total male and female;Total age;A03A Drugs for functional bowel disord.;2006;129905.0;0.78;;
163;Total male and female;Total age;A03A Drugs for functional bowel disord.;2007;132655.0;0.8;;
164;Total male and female;Total age;A03A Drugs for functional bowel disord.;2008;131630.0;0.79;;
165;Total male and female;Total age;A03A Drugs for functional bowel disord.;2009;132045.0;0.78;;
166;Total male and female;Total age;A03A Drugs for functional bowel disord.;2010;131210.0;0.77;;
167;Total male and female;Total age;A03A Drugs for functional bowel disord.;2011;131325.0;0.77;;
168;Total male and female;Total age;A03A Drugs for functional bowel disord.;2012;128535.0;0.75;;
169;Total male and female;Total age;A03A Drugs for functional bowel disord.;2013;119550.0;0.7;;
170;Total male and female;Total age;A03A Drugs for functional bowel disord.;2014;117065.0;0.68;;
171;Total male and female;Total age;A03A Drugs for functional bowel disord.;2015;110675.0;0.64;;
172;Total male and female;Total age;A03A Drugs for functional bowel disord.;2016;107915.0;0.62;;
173;Total male and female;Total age;A03A Drugs for functional bowel disord.;2017;105930.0;0.61;;
174;Total male and female;Total age;A03A Drugs for functional bowel disord.;2018;104195.0;0.59;;
175;Total male and female;Total age;A03A Drugs for functional bowel disord.;2019;101390.0;0.57;;
176;Total male and female;Total age;A03A Drugs for functional bowel disord.;2020;94720.0;0.53;17350.0;975.0
177;Total male and female;Total age;A03A Drugs for functional bowel disord.;2021;94740.0;0.53;17209.0;961.0
178;Total male and female;Total age;A03A Drugs for functional bowel disord.;2022;91385.0;0.5;17153.0;945.0
179;Total male and female;Total age;A03A Drugs for functional bowel disord.;2023;85835.0;0.47;16821.0;919.0
180;Total male and female;Total age;A03B Belladonna and derivatives, plain;2006;4250.0;0.03;;
181;Total male and female;Total age;A03B Belladonna and derivatives, plain;2007;4065.0;0.02;;
182;Total male and female;Total age;A03B Belladonna and derivatives, plain;2008;3865.0;0.02;;
183;Total male and female;Total age;A03B Belladonna and derivatives, plain;2009;3900.0;0.02;;
184;Total male and female;Total age;A03B Belladonna and derivatives, plain;2010;4265.0;0.03;;
185;Total male and female;Total age;A03B Belladonna and derivatives, plain;2011;4895.0;0.03;;
186;Total male and female;Total age;A03B Belladonna and derivatives, plain;2012;4600.0;0.03;;
187;Total male and female;Total age;A03B Belladonna and derivatives, plain;2013;4555.0;0.03;;
188;Total male and female;Total age;A03B Belladonna and derivatives, plain;2014;4800.0;0.03;;
189;Total male and female;Total age;A03B Belladonna and derivatives, plain;2015;4655.0;0.03;;
190;Total male and female;Total age;A03B Belladonna and derivatives, plain;2016;4940.0;0.03;;
191;Total male and female;Total age;A03B Belladonna and derivatives, plain;2017;4970.0;0.03;;
192;Total male and female;Total age;A03B Belladonna and derivatives, plain;2018;5070.0;0.03;;
193;Total male and female;Total age;A03B Belladonna and derivatives, plain;2019;5055.0;0.03;;
194;Total male and female;Total age;A03B Belladonna and derivatives, plain;2020;4530.0;0.03;34.0;2.0
195;Total male and female;Total age;A03B Belladonna and derivatives, plain;2021;4570.0;0.03;33.0;2.0
196;Total male and female;Total age;A03B Belladonna and derivatives, plain;2022;4455.0;0.02;34.0;2.0
197;Total male and female;Total age;A03B Belladonna and derivatives, plain;2023;4480.0;0.02;33.0;2.0
198;Total male and female;Total age;A03C Antispasmodics with psycholeptics;2006;0.0;0.0;;
199;Total male and female;Total age;A03C Antispasmodics with psycholeptics;2007;0.0;0.0;;
200;Total male and female;Total age;A03C Antispasmodics with psycholeptics;2008;0.0;0.0;;
201;Total male and female;Total age;A03C Antispasmodics with psycholeptics;2009;0.0;0.0;;
202;Total male and female;Total age;A03C Antispasmodics with psycholeptics;2010;0.0;0.0;;
203;Total male and female;Total age;A03C Antispasmodics with psycholeptics;2011;0.0;0.0;;
204;Total male and female;Total age;A03C Antispasmodics with psycholeptics;2012;0.0;0.0;;
205;Total male and female;Total age;A03C Antispasmodics with psycholeptics;2013;0.0;0.0;;
206;Total male and female;Total age;A03C Antispasmodics with psycholeptics;2014;0.0;0.0;;
207;Total male and female;Total age;A03C Antispasmodics with psycholeptics;2015;0.0;0.0;;
208;Total male and female;Total age;A03C Antispasmodics with psycholeptics;2016;0.0;0.0;;
209;Total male and female;Total age;A03C Antispasmodics with psycholeptics;2017;0.0;0.0;;
210;Total male and female;Total age;A03C Antispasmodics with psycholeptics;2018;0.0;0.0;;
211;Total male and female;Total age;A03C Antispasmodics with psycholeptics;2019;0.0;0.0;;
212;Total male and female;Total age;A03C Antispasmodics with psycholeptics;2020;0.0;0.0;0.0;0.0
213;Total male and female;Total age;A03C Antispasmodics with psycholeptics;2021;0.0;0.0;0.0;0.0
214;Total male and female;Total age;A03C Antispasmodics with psycholeptics;2022;0.0;0.0;0.0;0.0
215;Total male and female;Total age;A03C Antispasmodics with psycholeptics;2023;0.0;0.0;0.0;0.0
216;Total male and female;Total age;A03D Antispasmodics with analgesics;2006;0.0;0.0;;
217;Total male and female;Total age;A03D Antispasmodics with analgesics;2007;0.0;0.0;;
218;Total male and female;Total age;A03D Antispasmodics with analgesics;2008;0.0;0.0;;
219;Total male and female;Total age;A03D Antispasmodics with analgesics;2009;0.0;0.0;;
220;Total male and female;Total age;A03D Antispasmodics with analgesics;2010;0.0;0.0;;
221;Total male and female;Total age;A03D Antispasmodics with analgesics;2011;0.0;0.0;;
222;Total male and female;Total age;A03D Antispasmodics with analgesics;2012;0.0;0.0;;
223;Total male and female;Total age;A03D Antispasmodics with analgesics;2013;0.0;0.0;;
224;Total male and female;Total age;A03D Antispasmodics with analgesics;2014;0.0;0.0;;
225;Total male and female;Total age;A03D Antispasmodics with analgesics;2015;0.0;0.0;;
226;Total male and female;Total age;A03D Antispasmodics with analgesics;2016;0.0;0.0;;
227;Total male and female;Total age;A03D Antispasmodics with analgesics;2017;0.0;0.0;;
228;Total male and female;Total age;A03D Antispasmodics with analgesics;2018;0.0;0.0;;
229;Total male and female;Total age;A03D Antispasmodics with analgesics;2019;0.0;0.0;;
230;Total male and female;Total age;A03D Antispasmodics with analgesics;2020;0.0;0.0;0.0;0.0
231;Total male and female;Total age;A03D Antispasmodics with analgesics;2021;0.0;0.0;0.0;0.0
232;Total male and female;Total age;A03D Antispasmodics with analgesics;2022;0.0;0.0;0.0;0.0
233;Total male and female;Total age;A03D Antispasmodics with analgesics;2023;0.0;0.0;0.0;0.0
234;Total male and female;Total age;A03E Antispasmodics and anticholinergics;2006;0.0;0.0;;
235;Total male and female;Total age;A03E Antispasmodics and anticholinergics;2007;0.0;0.0;;
236;Total male and female;Total age;A03E Antispasmodics and anticholinergics;2008;0.0;0.0;;
237;Total male and female;Total age;A03E Antispasmodics and anticholinergics;2009;0.0;0.0;;
238;Total male and female;Total age;A03E Antispasmodics and anticholinergics;2010;0.0;0.0;;
239;Total male and female;Total age;A03E Antispasmodics and anticholinergics;2011;0.0;0.0;;
240;Total male and female;Total age;A03E Antispasmodics and anticholinergics;2012;0.0;0.0;;
241;Total male and female;Total age;A03E Antispasmodics and anticholinergics;2013;0.0;0.0;;
242;Total male and female;Total age;A03E Antispasmodics and anticholinergics;2014;0.0;0.0;;
243;Total male and female;Total age;A03E Antispasmodics and anticholinergics;2015;0.0;0.0;;
244;Total male and female;Total age;A03E Antispasmodics and anticholinergics;2016;0.0;0.0;;
245;Total male and female;Total age;A03E Antispasmodics and anticholinergics;2017;0.0;0.0;;
246;Total male and female;Total age;A03E Antispasmodics and anticholinergics;2018;0.0;0.0;;
247;Total male and female;Total age;A03E Antispasmodics and anticholinergics;2019;0.0;0.0;;
248;Total male and female;Total age;A03E Antispasmodics and anticholinergics;2020;0.0;0.0;0.0;0.0
249;Total male and female;Total age;A03E Antispasmodics and anticholinergics;2021;0.0;0.0;0.0;0.0
250;Total male and female;Total age;A03E Antispasmodics and anticholinergics;2022;0.0;0.0;0.0;0.0
251;Total male and female;Total age;A03E Antispasmodics and anticholinergics;2023;0.0;0.0;0.0;0.0
252;Total male and female;Total age;A03F Propulsives;2006;223060.0;1.34;;
253;Total male and female;Total age;A03F Propulsives;2007;236790.0;1.42;;
254;Total male and female;Total age;A03F Propulsives;2008;236685.0;1.41;;
255;Total male and female;Total age;A03F Propulsives;2009;242165.0;1.44;;
256;Total male and female;Total age;A03F Propulsives;2010;249015.0;1.47;;
257;Total male and female;Total age;A03F Propulsives;2011;258965.0;1.52;;
258;Total male and female;Total age;A03F Propulsives;2012;247900.0;1.45;;
259;Total male and female;Total age;A03F Propulsives;2013;235635.0;1.38;;
260;Total male and female;Total age;A03F Propulsives;2014;258230.0;1.5;;
261;Total male and female;Total age;A03F Propulsives;2015;304255.0;1.76;;
262;Total male and female;Total age;A03F Propulsives;2016;306805.0;1.76;;
263;Total male and female;Total age;A03F Propulsives;2017;301525.0;1.72;;
264;Total male and female;Total age;A03F Propulsives;2018;308350.0;1.75;;
265;Total male and female;Total age;A03F Propulsives;2019;296735.0;1.67;;
266;Total male and female;Total age;A03F Propulsives;2020;282425.0;1.59;5697.0;320.0
267;Total male and female;Total age;A03F Propulsives;2021;292900.0;1.64;5567.0;311.0
268;Total male and female;Total age;A03F Propulsives;2022;292110.0;1.61;5352.0;295.0
269;Total male and female;Total age;A03F Propulsives;2023;286510.0;1.57;5164.0;282.0
270;Total male and female;Total age;A04 Antiemetics and antinauseants;2006;35620.0;0.21;;
271;Total male and female;Total age;A04 Antiemetics and antinauseants;2007;39910.0;0.24;;
272;Total male and female;Total age;A04 Antiemetics and antinauseants;2008;42765.0;0.26;;
273;Total male and female;Total age;A04 Antiemetics and antinauseants;2009;45555.0;0.27;;
274;Total male and female;Total age;A04 Antiemetics and antinauseants;2010;48425.0;0.29;;
275;Total male and female;Total age;A04 Antiemetics and antinauseants;2011;51960.0;0.31;;
276;Total male and female;Total age;A04 Antiemetics and antinauseants;2012;52820.0;0.31;;
277;Total male and female;Total age;A04 Antiemetics and antinauseants;2013;55085.0;0.32;;
278;Total male and female;Total age;A04 Antiemetics and antinauseants;2014;56855.0;0.33;;
279;Total male and female;Total age;A04 Antiemetics and antinauseants;2015;62365.0;0.36;;
280;Total male and female;Total age;A04 Antiemetics and antinauseants;2016;67625.0;0.39;;
281;Total male and female;Total age;A04 Antiemetics and antinauseants;2017;72455.0;0.41;;
282;Total male and female;Total age;A04 Antiemetics and antinauseants;2018;83510.0;0.47;;
283;Total male and female;Total age;A04 Antiemetics and antinauseants;2019;90095.0;0.51;;
284;Total male and female;Total age;A04 Antiemetics and antinauseants;2020;81110.0;0.46;1010.0;57.0
285;Total male and female;Total age;A04 Antiemetics and antinauseants;2021;109225.0;0.61;1140.0;64.0
286;Total male and female;Total age;A04 Antiemetics and antinauseants;2022;133665.0;0.74;1250.0;69.0
287;Total male and female;Total age;A04 Antiemetics and antinauseants;2023;136085.0;0.74;1306.0;71.0
288;Total male and female;Total age;A04A Antiemetics and antinauseants;2006;35620.0;0.21;;
289;Total male and female;Total age;A04A Antiemetics and antinauseants;2007;39910.0;0.24;;
290;Total male and female;Total age;A04A Antiemetics and antinauseants;2008;42765.0;0.26;;
291;Total male and female;Total age;A04A Antiemetics and antinauseants;2009;45555.0;0.27;;
292;Total male and female;Total age;A04A Antiemetics and antinauseants;2010;48425.0;0.29;;
293;Total male and female;Total age;A04A Antiemetics and antinauseants;2011;51960.0;0.31;;
294;Total male and female;Total age;A04A Antiemetics and antinauseants;2012;52820.0;0.31;;
295;Total male and female;Total age;A04A Antiemetics and antinauseants;2013;55085.0;0.32;;
296;Total male and female;Total age;A04A Antiemetics and antinauseants;2014;56855.0;0.33;;
297;Total male and female;Total age;A04A Antiemetics and antinauseants;2015;62365.0;0.36;;
298;Total male and female;Total age;A04A Antiemetics and antinauseants;2016;67625.0;0.39;;
299;Total male and female;Total age;A04A Antiemetics and antinauseants;2017;72455.0;0.41;;
300;Total male and female;Total age;A04A Antiemetics and antinauseants;2018;83510.0;0.47;;
301;Total male and female;Total age;A04A Antiemetics and antinauseants;2019;90095.0;0.51;;
302;Total male and female;Total age;A04A Antiemetics and antinauseants;2020;81110.0;0.46;1010.0;57.0
303;Total male and female;Total age;A04A Antiemetics and antinauseants;2021;109225.0;0.61;1140.0;64.0
304;Total male and female;Total age;A04A Antiemetics and antinauseants;2022;133665.0;0.74;1250.0;69.0
305;Total male and female;Total age;A04A Antiemetics and antinauseants;2023;136085.0;0.74;1306.0;71.0
306;Total male and female;Total age;A05 Bile and liver therapy;2006;8670.0;0.05;;
307;Total male and female;Total age;A05 Bile and liver therapy;2007;9370.0;0.06;;
308;Total male and female;Total age;A05 Bile and liver therapy;2008;9970.0;0.06;;
309;Total male and female;Total age;A05 Bile and liver therapy;2009;10665.0;0.06;;
310;Total male and female;Total age;A05 Bile and liver therapy;2010;11075.0;0.07;;
311;Total male and female;Total age;A05 Bile and liver therapy;2011;11615.0;0.07;;
312;Total male and female;Total age;A05 Bile and liver therapy;2012;12035.0;0.07;;
313;Total male and female;Total age;A05 Bile and liver therapy;2013;12800.0;0.07;;
314;Total male and female;Total age;A05 Bile and liver therapy;2014;13380.0;0.08;;
315;Total male and female;Total age;A05 Bile and liver therapy;2015;13890.0;0.08;;
316;Total male and female;Total age;A05 Bile and liver therapy;2016;14395.0;0.08;;
317;Total male and female;Total age;A05 Bile and liver therapy;2017;15030.0;0.09;;
318;Total male and female;Total age;A05 Bile and liver therapy;2018;15560.0;0.09;;
319;Total male and female;Total age;A05 Bile and liver therapy;2019;16140.0;0.09;;
320;Total male and female;Total age;A05 Bile and liver therapy;2020;15810.0;0.09;4755.0;267.0
321;Total male and female;Total age;A05 Bile and liver therapy;2021;16165.0;0.09;4857.0;271.0
322;Total male and female;Total age;A05 Bile and liver therapy;2022;17350.0;0.1;5077.0;280.0
323;Total male and female;Total age;A05 Bile and liver therapy;2023;17600.0;0.1;5241.0;286.0
324;Total male and female;Total age;A05A Bile therapy;2006;8670.0;0.05;;
325;Total male and female;Total age;A05A Bile therapy;2007;9370.0;0.06;;
326;Total male and female;Total age;A05A Bile therapy;2008;9970.0;0.06;;
327;Total male and female;Total age;A05A Bile therapy;2009;10665.0;0.06;;
328;Total male and female;Total age;A05A Bile therapy;2010;11075.0;0.07;;
