ID;Geslacht;Arbeidsduur;Persoonskenmerken;Perioden;WerkzameJongeren_1;JongerenInkomenBekend_2;JongerenEconomischZelfstandig_3;JongerenNietEconomischZelfstandig_4;JongerenEconomischZelfstandig_5;JongerenNietEconomischZelfstandig_6;JongerenInkomenOnbekend_7
15;Totaal mannen en vrouwen;Totaal;Migratieachtergrond: met migratieacht...;2011;284;272;93;179;34.1;65.9;12
16;Totaal mannen en vrouwen;Totaal;Migratieachtergrond: met migratieacht...;2012;285;273;92;180;33.9;66.1;12
17;Totaal mannen en vrouwen;Totaal;Migratieachtergrond: met migratieacht...;2013;297;283;84;199;29.7;70.3;14
18;Totaal mannen en vrouwen;Totaal;Migratieachtergrond: westers;2008;113;110;47;63;42.6;57.4;4
19;Totaal mannen en vrouwen;Totaal;Migratieachtergrond: westers;2009;114;109;43;66;39.6;60.4;5
20;Totaal mannen en vrouwen;Totaal;Migratieachtergrond: westers;2010;108;105;39;67;36.8;63.2;3
21;Totaal mannen en vrouwen;Totaal;Migratieachtergrond: westers;2011;107;103;39;64;37.9;62.1;4
22;Totaal mannen en vrouwen;Totaal;Migratieachtergrond: westers;2012;114;108;40;69;36.8;63.2;6
23;Totaal mannen en vrouwen;Totaal;Migratieachtergrond: westers;2013;118;112;38;74;33.8;66.2;6
24;Totaal mannen en vrouwen;Totaal;Migratieachtergrond: niet-westers;2008;187;184;74;110;40.2;59.8;4
25;Totaal mannen en vrouwen;Totaal;Migratieachtergrond: niet-westers;2009;198;192;71;121;36.8;63.2;5
26;Totaal mannen en vrouwen;Totaal;Migratieachtergrond: niet-westers;2010;179;172;58;114;33.6;66.4;7
27;Totaal mannen en vrouwen;Totaal;Migratieachtergrond: niet-westers;2011;177;170;54;116;31.8;68.2;8
28;Totaal mannen en vrouwen;Totaal;Migratieachtergrond: niet-westers;2012;171;164;53;112;32.0;68.0;7
29;Totaal mannen en vrouwen;Totaal;Migratieachtergrond: niet-westers;2013;179;170;46;124;27.1;72.9;9
30;Totaal mannen en vrouwen;Totaal;Migratieachtergrond : onbekend;2008;5;2;1;1;;;3
31;Totaal mannen en vrouwen;Totaal;Migratieachtergrond : onbekend;2009;6;3;1;2;;;3
32;Totaal mannen en vrouwen;Totaal;Migratieachtergrond : onbekend;2010;5;3;2;1;;;3
33;Totaal mannen en vrouwen;Totaal;Migratieachtergrond : onbekend;2011;4;2;1;1;;;2
34;Totaal mannen en vrouwen;Totaal;Migratieachtergrond : onbekend;2012;4;1;1;1;;;3
35;Totaal mannen en vrouwen;Totaal;Migratieachtergrond : onbekend;2013;5;1;0;1;;;4
36;Totaal mannen en vrouwen;Totaal;Positie: alleenstaande;2008;211;206;113;93;54.7;45.3;5
37;Totaal mannen en vrouwen;Totaal;Positie: alleenstaande;2009;206;199;100;99;50.1;49.9;6
38;Totaal mannen en vrouwen;Totaal;Positie: alleenstaande;2010;205;200;95;105;47.4;52.6;6
39;Totaal mannen en vrouwen;Totaal;Positie: alleenstaande;2011;204;199;88;111;44.4;55.6;5
40;Totaal mannen en vrouwen;Totaal;Positie: alleenstaande;2012;207;201;94;107;46.8;53.2;6
41;Totaal mannen en vrouwen;Totaal;Positie: alleenstaande;2013;217;210;99;111;47.2;52.8;7
42;Totaal mannen en vrouwen;Totaal;Positie: ouder in éénoudergezin;2008;5;5;2;3;;;0
43;Totaal mannen en vrouwen;Totaal;Positie: ouder in éénoudergezin;2009;5;5;3;2;;;0
44;Totaal mannen en vrouwen;Totaal;Positie: ouder in éénoudergezin;2010;4;4;2;2;;;0
45;Totaal mannen en vrouwen;Totaal;Positie: ouder in éénoudergezin;2011;3;3;2;1;;;0
46;Totaal mannen en vrouwen;Totaal;Positie: ouder in éénoudergezin;2012;4;4;2;2;;;0
47;Totaal mannen en vrouwen;Totaal;Positie: ouder in éénoudergezin;2013;3;3;1;2;;;0
48;Totaal mannen en vrouwen;Totaal;Positie: partner;2008;336;329;259;70;78.7;21.3;7
49;Totaal mannen en vrouwen;Totaal;Positie: partner;2009;324;315;244;71;77.5;22.5;8
50;Totaal mannen en vrouwen;Totaal;Positie: partner;2010;325;318;243;75;76.3;23.7;6
51;Totaal mannen en vrouwen;Totaal;Positie: partner;2011;326;320;242;78;75.6;24.4;6
52;Totaal mannen en vrouwen;Totaal;Positie: partner;2012;318;310;238;72;76.8;23.2;7
53;Totaal mannen en vrouwen;Totaal;Positie: partner;2013;312;301;226;75;75.1;24.9;12
54;Totaal mannen en vrouwen;Totaal;Positie: partner in paar met kind;2008;60;59;41;18;69.0;31.0;1
55;Totaal mannen en vrouwen;Totaal;Positie: partner in paar met kind;2009;59;58;39;19;67.2;32.8;1
56;Totaal mannen en vrouwen;Totaal;Positie: partner in paar met kind;2010;60;59;39;19;67.0;33.0;1
57;Totaal mannen en vrouwen;Totaal;Positie: partner in paar met kind;2011;60;59;39;20;66.3;33.7;1
58;Totaal mannen en vrouwen;Totaal;Positie: partner in paar met kind;2012;60;59;42;18;70.2;29.8;1
59;Totaal mannen en vrouwen;Totaal;Positie: partner in paar met kind;2013;49;47;34;14;71.1;28.9;2
60;Totaal mannen en vrouwen;Totaal;Positie: partner in paar zonder kind;2008;277;270;218;52;80.8;19.2;6
61;Totaal mannen en vrouwen;Totaal;Positie: partner in paar zonder kind;2009;265;257;206;52;79.8;20.2;7
62;Totaal mannen en vrouwen;Totaal;Positie: partner in paar zonder kind;2010;265;259;203;56;78.5;21.5;5
63;Totaal mannen en vrouwen;Totaal;Positie: partner in paar zonder kind;2011;266;261;203;58;77.7;22.3;5
64;Totaal mannen en vrouwen;Totaal;Positie: partner in paar zonder kind;2012;257;251;197;54;78.4;21.6;6
65;Totaal mannen en vrouwen;Totaal;Positie: partner in paar zonder kind;2013;263;253;192;61;75.9;24.1;10
66;Totaal mannen en vrouwen;Totaal;Positie: kind >=18 jaar;2008;705;696;301;395;43.3;56.7;8
67;Totaal mannen en vrouwen;Totaal;Positie: kind >=18 jaar;2009;694;684;281;402;41.1;58.9;11
68;Totaal mannen en vrouwen;Totaal;Positie: kind >=18 jaar;2010;673;658;248;410;37.7;62.3;15
69;Totaal mannen en vrouwen;Totaal;Positie: kind >=18 jaar;2011;688;665;255;410;38.4;61.6;23
70;Totaal mannen en vrouwen;Totaal;Positie: kind >=18 jaar;2012;705;687;245;442;35.6;64.4;18
71;Totaal mannen en vrouwen;Totaal;Positie: kind >=18 jaar;2013;686;665;220;445;33.1;66.9;21
72;Totaal mannen en vrouwen;Totaal;Positie: kind <18 jaar;2008;289;286;2;283;0.9;99.1;3
73;Totaal mannen en vrouwen;Totaal;Positie: kind <18 jaar;2009;281;277;2;275;0.9;99.1;3
74;Totaal mannen en vrouwen;Totaal;Positie: kind <18 jaar;2010;263;259;2;257;0.6;99.4;5
75;Totaal mannen en vrouwen;Totaal;Positie: kind <18 jaar;2011;261;254;2;253;0.7;99.3;6
76;Totaal mannen en vrouwen;Totaal;Positie: kind <18 jaar;2012;260;253;1;252;0.4;99.6;7
77;Totaal mannen en vrouwen;Totaal;Positie: kind <18 jaar;2013;258;248;1;248;0.2;99.8;10
78;Totaal mannen en vrouwen;Totaal;Positie.: ouder;2008;65;64;43;21;67.1;32.9;1
79;Totaal mannen en vrouwen;Totaal;Positie.: ouder;2009;64;63;42;21;66.8;33.2;1
80;Totaal mannen en vrouwen;Totaal;Positie.: ouder;2010;64;62;41;21;66.1;33.9;1
81;Totaal mannen en vrouwen;Totaal;Positie.: ouder;2011;63;62;41;21;65.7;34.3;1
82;Totaal mannen en vrouwen;Totaal;Positie.: ouder;2012;65;63;44;20;69.1;30.9;1
83;Totaal mannen en vrouwen;Totaal;Positie.: ouder;2013;52;51;35;16;68.4;31.6;2
84;Totaal mannen en vrouwen;Totaal;Positie: kind;2008;994;982;304;679;30.9;69.1;12
85;Totaal mannen en vrouwen;Totaal;Positie: kind;2009;975;961;284;677;29.5;70.5;14
86;Totaal mannen en vrouwen;Totaal;Positie: kind;2010;936;916;250;667;27.3;72.7;19
87;Totaal mannen en vrouwen;Totaal;Positie: kind;2011;949;920;257;663;27.9;72.1;29
88;Totaal mannen en vrouwen;Totaal;Positie: kind;2012;965;940;246;694;26.2;73.8;24
89;Totaal mannen en vrouwen;Totaal;Positie: kind;2013;944;913;220;693;24.1;75.9;30
90;Totaal mannen en vrouwen;Totaal;Positie: overig lid;2008;64;57;24;33;41.4;58.6;7
91;Totaal mannen en vrouwen;Totaal;Positie: overig lid;2009;73;64;27;37;42.7;57.3;9
92;Totaal mannen en vrouwen;Totaal;Positie: overig lid;2010;72;62;24;38;38.4;61.6;10
93;Totaal mannen en vrouwen;Totaal;Positie: overig lid;2011;77;69;26;42;38.5;61.5;9
94;Totaal mannen en vrouwen;Totaal;Positie: overig lid;2012;78;68;26;42;38.7;61.3;10
95;Totaal mannen en vrouwen;Totaal;Positie: overig lid;2013;83;69;24;46;34.0;66.0;14
96;Totaal mannen en vrouwen;Totaal;Volgt regulier onderwijs;2008;926;911;170;741;18.7;81.3;15
97;Totaal mannen en vrouwen;Totaal;Volgt regulier onderwijs;2009;931;911;168;742;18.5;81.5;20
98;Totaal mannen en vrouwen;Totaal;Volgt regulier onderwijs;2010;917;892;154;737;17.3;82.7;25
99;Totaal mannen en vrouwen;Totaal;Volgt regulier onderwijs;2011;925;896;150;746;16.7;83.3;29
100;Totaal mannen en vrouwen;Totaal;Volgt regulier onderwijs;2012;932;906;153;753;16.8;83.2;26
101;Totaal mannen en vrouwen;Totaal;Volgt regulier onderwijs;2013;918;885;138;747;15.6;84.4;33
102;Totaal mannen en vrouwen;Totaal;Actueel onderwijsniveau: laag;2008;98;96;7;89;7.6;92.4;1
103;Totaal mannen en vrouwen;Totaal;Actueel onderwijsniveau: laag;2009;91;90;7;83;8.0;92.0;2
104;Totaal mannen en vrouwen;Totaal;Actueel onderwijsniveau: laag;2010;80;79;6;74;7.0;93.0;1
105;Totaal mannen en vrouwen;Totaal;Actueel onderwijsniveau: laag;2011;80;77;4;73;5.7;94.3;2
106;Totaal mannen en vrouwen;Totaal;Actueel onderwijsniveau: laag;2012;82;80;5;75;6.6;93.4;2
107;Totaal mannen en vrouwen;Totaal;Actueel onderwijsniveau: laag;2013;113;110;5;105;4.6;95.4;3
108;Totaal mannen en vrouwen;Totaal;Actueel onderwijsniveau: middelbaar;2008;416;410;73;337;17.9;82.1;5
109;Totaal mannen en vrouwen;Totaal;Actueel onderwijsniveau: middelbaar;2009;417;410;75;335;18.3;81.7;7
110;Totaal mannen en vrouwen;Totaal;Actueel onderwijsniveau: middelbaar;2010;401;392;65;327;16.5;83.5;9
111;Totaal mannen en vrouwen;Totaal;Actueel onderwijsniveau: middelbaar;2011;390;380;61;319;16.0;84.0;10
112;Totaal mannen en vrouwen;Totaal;Actueel onderwijsniveau: middelbaar;2012;392;382;60;322;15.7;84.3;10
113;Totaal mannen en vrouwen;Totaal;Actueel onderwijsniveau: middelbaar;2013;355;343;60;283;17.5;82.5;12
114;Totaal mannen en vrouwen;Totaal;Actueel onderwijsniveau: hoog;2008;344;338;70;268;20.7;79.3;7
115;Totaal mannen en vrouwen;Totaal;Actueel onderwijsniveau: hoog;2009;358;347;68;279;19.7;80.3;10
116;Totaal mannen en vrouwen;Totaal;Actueel onderwijsniveau: hoog;2010;369;357;67;289;18.9;81.1;12
117;Totaal mannen en vrouwen;Totaal;Actueel onderwijsniveau: hoog;2011;382;367;65;302;17.8;82.2;14
118;Totaal mannen en vrouwen;Totaal;Actueel onderwijsniveau: hoog;2012;382;370;68;302;18.5;81.5;12
119;Totaal mannen en vrouwen;Totaal;Actueel onderwijsniveau: hoog;2013;374;359;56;303;15.6;84.4;15
120;Totaal mannen en vrouwen;Totaal;Actueel onderwijsniveau: onbekend;2008;69;67;20;48;29.4;70.6;1
121;Totaal mannen en vrouwen;Totaal;Actueel onderwijsniveau: onbekend;2009;65;64;18;46;27.6;72.4;1
122;Totaal mannen en vrouwen;Totaal;Actueel onderwijsniveau: onbekend;2010;66;64;16;47;25.8;74.2;2
123;Totaal mannen en vrouwen;Totaal;Actueel onderwijsniveau: onbekend;2011;73;71;19;52;26.7;73.3;2
124;Totaal mannen en vrouwen;Totaal;Actueel onderwijsniveau: onbekend;2012;76;74;19;55;25.6;74.4;2
125;Totaal mannen en vrouwen;Totaal;Actueel onderwijsniveau: onbekend;2013;75;72;17;55;23.3;76.7;3
126;Totaal mannen en vrouwen;Totaal;Volgt geen regulier onderwijs;2008;684;668;531;137;79.4;20.6;15
127;Totaal mannen en vrouwen;Totaal;Volgt geen regulier onderwijs;2009;652;634;490;144;77.3;22.7;18
128;Totaal mannen en vrouwen;Totaal;Volgt geen regulier onderwijs;2010;625;608;459;149;75.4;24.6;16
129;Totaal mannen en vrouwen;Totaal;Volgt geen regulier onderwijs;2011;634;615;466;149;75.8;24.2;19
130;Totaal mannen en vrouwen;Totaal;Volgt geen regulier onderwijs;2012;640;618;455;164;73.5;26.5;22
131;Totaal mannen en vrouwen;Totaal;Volgt geen regulier onderwijs;2013;641;611;432;180;70.6;29.4;30
132;Totaal mannen en vrouwen;Totaal;Onderwijsniveau: laag;2008;173;169;112;57;66.5;33.5;4
133;Totaal mannen en vrouwen;Totaal;Onderwijsniveau: laag;2009;163;158;99;59;62.8;37.2;5
134;Totaal mannen en vrouwen;Totaal;Onderwijsniveau: laag;2010;142;138;86;52;62.0;38.0;4
135;Totaal mannen en vrouwen;Totaal;Onderwijsniveau: laag;2011;139;134;85;49;63.6;36.4;5
136;Totaal mannen en vrouwen;Totaal;Onderwijsniveau: laag;2012;130;125;75;49;60.5;39.5;5
137;Totaal mannen en vrouwen;Totaal;Onderwijsniveau: laag;2013;123;117;69;48;58.7;41.3;6
138;Totaal mannen en vrouwen;Totaal;Onderwijsniveau: middelbaar;2008;339;334;271;63;81.0;19.0;5
139;Totaal mannen en vrouwen;Totaal;Onderwijsniveau: middelbaar;2009;316;310;245;65;79.2;20.8;6
140;Totaal mannen en vrouwen;Totaal;Onderwijsniveau: middelbaar;2010;308;302;229;73;75.9;24.1;7
141;Totaal mannen en vrouwen;Totaal;Onderwijsniveau: middelbaar;2011;317;309;234;75;75.7;24.3;8
142;Totaal mannen en vrouwen;Totaal;Onderwijsniveau: middelbaar;2012;326;317;232;85;73.2;26.8;9
143;Totaal mannen en vrouwen;Totaal;Onderwijsniveau: middelbaar;2013;319;307;211;96;68.8;31.2;12
144;Totaal mannen en vrouwen;Totaal;Onderwijsniveau: hoog;2008;157;153;139;14;91.1;8.9;4
145;Totaal mannen en vrouwen;Totaal;Onderwijsniveau: hoog;2009;155;151;134;16;89.1;10.9;4
146;Totaal mannen en vrouwen;Totaal;Onderwijsniveau: hoog;2010;157;154;134;20;86.9;13.1;3
147;Totaal mannen en vrouwen;Totaal;Onderwijsniveau: hoog;2011;161;157;136;21;86.7;13.3;4
148;Totaal mannen en vrouwen;Totaal;Onderwijsniveau: hoog;2012;167;162;137;25;84.6;15.4;5
149;Totaal mannen en vrouwen;Totaal;Onderwijsniveau: hoog;2013;176;169;141;28;83.5;16.5;7
150;Totaal mannen en vrouwen;Totaal;Onderwijsniveau: onbekend;2008;15;12;9;4;;;3
151;Totaal mannen en vrouwen;Totaal;Onderwijsniveau: onbekend;2009;18;15;11;4;71.7;28.3;3
152;Totaal mannen en vrouwen;Totaal;Onderwijsniveau: onbekend;2010;17;15;11;4;;;2
153;Totaal mannen en vrouwen;Totaal;Onderwijsniveau: onbekend;2011;17;15;11;4;;;2
154;Totaal mannen en vrouwen;Totaal;Onderwijsniveau: onbekend;2012;16;14;10;4;;;3
155;Totaal mannen en vrouwen;Totaal;Onderwijsniveau: onbekend;2013;23;18;11;7;60.0;40.0;5
156;Totaal mannen en vrouwen;Totaal;Werkkring: werknemer;2008;649;634;508;127;80.0;20.0;15
157;Totaal mannen en vrouwen;Totaal;Werkkring: werknemer;2009;612;595;466;129;78.3;21.7;17
158;Totaal mannen en vrouwen;Totaal;Werkkring: werknemer;2010;587;571;437;134;76.5;23.5;16
159;Totaal mannen en vrouwen;Totaal;Werkkring: werknemer;2011;599;581;445;136;76.6;23.4;18
160;Totaal mannen en vrouwen;Totaal;Werkkring: werknemer;2012;601;581;430;151;74.1;25.9;20
161;Totaal mannen en vrouwen;Totaal;Werkkring: werknemer;2013;595;568;410;157;72.3;27.7;27
162;Totaal mannen en vrouwen;Totaal;Werkkring: vaste arbeidsrelatie;2008;431;421;367;54;87.2;12.8;10
163;Totaal mannen en vrouwen;Totaal;Werkkring: vaste arbeidsrelatie;2009;393;383;332;51;86.6;13.4;11
164;Totaal mannen en vrouwen;Totaal;Werkkring: vaste arbeidsrelatie;2010;362;354;304;50;85.8;14.2;8
165;Totaal mannen en vrouwen;Totaal;Werkkring: vaste arbeidsrelatie;2011;362;353;302;51;85.6;14.4;9
166;Totaal mannen en vrouwen;Totaal;Werkkring: vaste arbeidsrelatie;2012;341;331;283;48;85.4;14.6;10
167;Totaal mannen en vrouwen;Totaal;Werkkring: vaste arbeidsrelatie;2013;314;302;259;43;85.7;14.3;12
168;Totaal mannen en vrouwen;Totaal;Werkkring: flexibele arbeidsrelatie;2008;219;214;141;73;66.0;34.0;5
169;Totaal mannen en vrouwen;Totaal;Werkkring: flexibele arbeidsrelatie;2009;218;212;134;78;63.3;36.7;7
170;Totaal mannen en vrouwen;Totaal;Werkkring: flexibele arbeidsrelatie;2010;225;218;133;84;61.3;38.7;7
171;Totaal mannen en vrouwen;Totaal;Werkkring: flexibele arbeidsrelatie;2011;236;228;143;85;62.6;37.4;9
172;Totaal mannen en vrouwen;Totaal;Werkkring: flexibele arbeidsrelatie;2012;260;250;147;102;59.0;41.0;10
173;Totaal mannen en vrouwen;Totaal;Werkkring: flexibele arbeidsrelatie;2013;280;266;151;114;56.9;43.1;15
174;Totaal mannen en vrouwen;Totaal;Werkkring: zelfstandige;2008;35;34;23;11;68.5;31.5;1
175;Totaal mannen en vrouwen;Totaal;Werkkring: zelfstandige;2009;40;39;25;15;62.5;37.5;1
176;Totaal mannen en vrouwen;Totaal;Werkkring: zelfstandige;2010;38;37;22;15;59.3;40.7;1
177;Totaal mannen en vrouwen;Totaal;Werkkring: zelfstandige;2011;35;34;21;13;61.5;38.5;1
178;Totaal mannen en vrouwen;Totaal;Werkkring: zelfstandige;2012;39;37;24;13;65.5;34.5;2
179;Totaal mannen en vrouwen;Totaal;Werkkring: zelfstandige;2013;46;44;22;22;49.6;50.4;3
180;Totaal mannen en vrouwen;Totaal;Werkkring: positie onbekend;2008;0;0;0;0;;;0
181;Totaal mannen en vrouwen;Totaal;Werkkring: positie onbekend;2009;0;0;0;0;;;0
182;Totaal mannen en vrouwen;Totaal;Werkkring: positie onbekend;2010;0;0;0;0;;;0
183;Totaal mannen en vrouwen;Totaal;Werkkring: positie onbekend;2011;0;0;0;0;;;0
184;Totaal mannen en vrouwen;Totaal;Werkkring: positie onbekend;2012;0;0;0;0;;;0
185;Totaal mannen en vrouwen;Totaal;Werkkring: positie onbekend;2013;0;0;0;0;;;0
186;Totaal mannen en vrouwen;Deeltijd;Totaal;2008;989;973;193;780;19.8;80.2;16
187;Totaal mannen en vrouwen;Deeltijd;Totaal;2009;1011;988;193;795;19.6;80.4;23
188;Totaal mannen en vrouwen;Deeltijd;Totaal;2010;1012;985;187;798;19.0;81.0;27
189;Totaal mannen en vrouwen;Deeltijd;Totaal;2011;1042;1008;193;815;19.1;80.9;34
190;Totaal mannen en vrouwen;Deeltijd;Totaal;2012;1070;1039;203;835;19.6;80.4;31
191;Totaal mannen en vrouwen;Deeltijd;Totaal;2013;1079;1036;195;841;18.8;81.2;43
192;Totaal mannen en vrouwen;Deeltijd;Migratieachtergrond: Nederland;2008;794;783;156;627;19.9;80.1;11
193;Totaal mannen en vrouwen;Deeltijd;Migratieachtergrond: Nederland;2009;797;782;156;626;20.0;80.0;15
194;Totaal mannen en vrouwen;Deeltijd;Migratieachtergrond: Nederland;2010;809;790;157;634;19.8;80.2;18
195;Totaal mannen en vrouwen;Deeltijd;Migratieachtergrond: Nederland;2011;837;813;162;651;19.9;80.1;24
196;Totaal mannen en vrouwen;Deeltijd;Migratieachtergrond: Nederland;2012;861;840;170;670;20.3;79.7;21
197;Totaal mannen en vrouwen;Deeltijd;Migratieachtergrond: Nederland;2013;854;824;165;659;20.0;80.0;31
198;Totaal mannen en vrouwen;Deeltijd;Migratieachtergrond: met migratieacht...;2008;193;189;36;153;19.2;80.8;4
199;Totaal mannen en vrouwen;Deeltijd;Migratieachtergrond: met migratieacht...;2009;210;204;37;167;18.0;82.0;6
200;Totaal mannen en vrouwen;Deeltijd;Migratieachtergrond: met migratieacht...;2010;200;193;29;164;15.2;84.8;7
201;Totaal mannen en vrouwen;Deeltijd;Migratieachtergrond: met migratieacht...;2011;203;194;31;163;15.8;84.2;9
202;Totaal mannen en vrouwen;Deeltijd;Migratieachtergrond: met migratieacht...;2012;206;198;33;165;16.5;83.5;8
203;Totaal mannen en vrouwen;Deeltijd;Migratieachtergrond: met migratieacht...;2013;222;212;30;182;14.2;85.8;10
204;Totaal mannen en vrouwen;Deeltijd;Migratieachtergrond: westers;2008;73;71;15;56;20.7;79.3;2
205;Totaal mannen en vrouwen;Deeltijd;Migratieachtergrond: westers;2009;74;71;13;58;18.9;81.1;3
206;Totaal mannen en vrouwen;Deeltijd;Migratieachtergrond: westers;2010;71;69;10;59;14.3;85.7;2
207;Totaal mannen en vrouwen;Deeltijd;Migratieachtergrond: westers;2011;73;70;12;58;16.9;83.1;3
208;Totaal mannen en vrouwen;Deeltijd;Migratieachtergrond: westers;2012;79;76;13;62;17.7;82.3;3
209;Totaal mannen en vrouwen;Deeltijd;Migratieachtergrond: westers;2013;83;79;12;67;15.5;84.5;3
210;Totaal mannen en vrouwen;Deeltijd;Migratieachtergrond: niet-westers;2008;120;118;22;97;18.3;81.7;2
211;Totaal mannen en vrouwen;Deeltijd;Migratieachtergrond: niet-westers;2009;136;133;23;109;17.6;82.4;3
212;Totaal mannen en vrouwen;Deeltijd;Migratieachtergrond: niet-westers;2010;129;124;19;104;15.7;84.3;5
213;Totaal mannen en vrouwen;Deeltijd;Migratieachtergrond: niet-westers;2011;130;124;19;105;15.2;84.8;6
214;Totaal mannen en vrouwen;Deeltijd;Migratieachtergrond: niet-westers;2012;127;122;19;103;15.7;84.3;5
215;Totaal mannen en vrouwen;Deeltijd;Migratieachtergrond: niet-westers;2013;139;133;18;115;13.4;86.6;6
216;Totaal mannen en vrouwen;Deeltijd;Migratieachtergrond : onbekend;2008;2;1;0;1;;;1
217;Totaal mannen en vrouwen;Deeltijd;Migratieachtergrond : onbekend;2009;4;2;1;2;;;2
218;Totaal mannen en vrouwen;Deeltijd;Migratieachtergrond : onbekend;2010;3;2;1;1;;;1
219;Totaal mannen en vrouwen;Deeltijd;Migratieachtergrond : onbekend;2011;2;1;0;1;;;1
220;Totaal mannen en vrouwen;Deeltijd;Migratieachtergrond : onbekend;2012;3;1;0;0;;;2
221;Totaal mannen en vrouwen;Deeltijd;Migratieachtergrond : onbekend;2013;3;0;0;0;;;3
222;Totaal mannen en vrouwen;Deeltijd;Positie: alleenstaande;2008;114;112;30;82;26.5;73.5;2
223;Totaal mannen en vrouwen;Deeltijd;Positie: alleenstaande;2009;119;116;27;89;23.5;76.5;3
224;Totaal mannen en vrouwen;Deeltijd;Positie: alleenstaande;2010;124;121;27;93;22.7;77.3;3
225;Totaal mannen en vrouwen;Deeltijd;Positie: alleenstaande;2011;132;128;27;101;21.2;78.8;3
226;Totaal mannen en vrouwen;Deeltijd;Positie: alleenstaande;2012;131;128;31;97;24.0;76.0;4
227;Totaal mannen en vrouwen;Deeltijd;Positie: alleenstaande;2013;135;131;33;98;25.1;74.9;4
228;Totaal mannen en vrouwen;Deeltijd;Positie: ouder in éénoudergezin;2008;4;4;2;2;;;0
229;Totaal mannen en vrouwen;Deeltijd;Positie: ouder in éénoudergezin;2009;4;4;2;2;;;0
230;Totaal mannen en vrouwen;Deeltijd;Positie: ouder in éénoudergezin;2010;3;3;1;2;;;0
231;Totaal mannen en vrouwen;Deeltijd;Positie: ouder in éénoudergezin;2011;2;2;1;1;;;0
232;Totaal mannen en vrouwen;Deeltijd;Positie: ouder in éénoudergezin;2012;3;3;1;2;;;0
233;Totaal mannen en vrouwen;Deeltijd;Positie: ouder in éénoudergezin;2013;3;2;1;2;;;0
234;Totaal mannen en vrouwen;Deeltijd;Positie: partner;2008;143;141;81;60;57.3;42.7;2
235;Totaal mannen en vrouwen;Deeltijd;Positie: partner;2009;145;141;82;60;57.9;42.1;4
236;Totaal mannen en vrouwen;Deeltijd;Positie: partner;2010;148;145;80;65;55.3;44.7;3
237;Totaal mannen en vrouwen;Deeltijd;Positie: partner;2011;155;152;84;68;55.3;44.7;3
238;Totaal mannen en vrouwen;Deeltijd;Positie: partner;2012;153;150;87;63;58.2;41.8;3
239;Totaal mannen en vrouwen;Deeltijd;Positie: partner;2013;152;147;83;64;56.4;43.6;6
240;Totaal mannen en vrouwen;Deeltijd;Positie: partner in paar met kind;2008;34;34;17;17;50.7;49.3;0
241;Totaal mannen en vrouwen;Deeltijd;Positie: partner in paar met kind;2009;34;34;18;16;52.7;47.3;1
242;Totaal mannen en vrouwen;Deeltijd;Positie: partner in paar met kind;2010;36;36;18;17;51.6;48.4;0
243;Totaal mannen en vrouwen;Deeltijd;Positie: partner in paar met kind;2011;37;37;19;18;50.8;49.2;0
244;Totaal mannen en vrouwen;Deeltijd;Positie: partner in paar met kind;2012;38;37;21;16;56.9;43.1;1
245;Totaal mannen en vrouwen;Deeltijd;Positie: partner in paar met kind;2013;31;30;18;12;59.5;40.5;1
246;Totaal mannen en vrouwen;Deeltijd;Positie: partner in paar zonder kind;2008;110;107;64;44;59.3;40.7;2
