ID;Kenmerken;Marges;Perioden;VertrouwenInAndereMensen_1;Kerken_2;Rechters_3;Politie_4;Leger_5;Gezondheidszorg_6;Pers_7;Ambtenaren_8;Politici_9;Gemeenteraad_10;TweedeKamer_11;EuropeseUnie_12;Banken_13;GroteBedrijven_14
128;Leeftijd: 15 tot 25 jaar;Ondergrens 95%-interval;2020;58.2;33.4;82.5;78.0;80.7;;33.9;59.1;51.5;64.3;64.8;70.5;65.5;52.56
129;Leeftijd: 15 tot 25 jaar;Ondergrens 95%-interval;2021;63.2;32.1;84.0;77.9;81.8;87.8;39.4;59.9;42.8;;48.8;72.5;68.2;49.17
130;Leeftijd: 15 tot 25 jaar;Ondergrens 95%-interval;2022;58.4;33.7;80.2;75.4;73.1;83.9;33.8;53.4;32.4;64.3;38.0;67.2;66.2;48.9
131;Leeftijd: 15 tot 25 jaar;Ondergrens 95%-interval;2023;58.1;30.6;79.2;71.0;72.4;80.2;28.7;51.8;28.1;62.2;31.0;63.3;64.6;47.1
132;Leeftijd: 15 tot 25 jaar;Bovengrens 95%-interval;2012;62.2;41.3;81.2;71.7;77.6;;34.4;58.7;;;50.2;60.6;60.8;67.42
133;Leeftijd: 15 tot 25 jaar;Bovengrens 95%-interval;2013;63.7;36.7;82.6;72.2;79.8;;33.7;56.7;;;44.6;58.3;52.6;64.33
134;Leeftijd: 15 tot 25 jaar;Bovengrens 95%-interval;2014;63.6;36.0;82.1;72.8;79.9;;33.2;56.0;;;47.6;59.7;58.3;63.4
135;Leeftijd: 15 tot 25 jaar;Bovengrens 95%-interval;2015;65.1;34.6;81.1;73.4;77.0;;29.1;54.4;;;46.5;57.8;55.8;60.49
136;Leeftijd: 15 tot 25 jaar;Bovengrens 95%-interval;2016;63.9;34.1;83.6;76.4;80.0;;29.7;56.5;43.1;;50.6;60.4;60.3;60.48
137;Leeftijd: 15 tot 25 jaar;Bovengrens 95%-interval;2017;66.5;35.5;85.8;81.5;79.7;;31.0;60.2;50.4;;57.7;69.6;61.7;61.05
138;Leeftijd: 15 tot 25 jaar;Bovengrens 95%-interval;2018;67.1;38.7;82.8;81.7;79.1;;35.9;61.2;46.8;;58.8;74.4;69.2;61.55
139;Leeftijd: 15 tot 25 jaar;Bovengrens 95%-interval;2019;63.8;39.3;84.0;82.8;81.4;;35.3;63.1;45.2;;54.4;72.8;66.2;58.27
140;Leeftijd: 15 tot 25 jaar;Bovengrens 95%-interval;2020;64.7;40.2;87.5;83.5;85.9;;40.4;65.8;58.3;70.8;71.2;76.6;71.8;59.34
141;Leeftijd: 15 tot 25 jaar;Bovengrens 95%-interval;2021;70.4;39.7;89.2;84.0;87.3;92.3;46.8;67.3;50.3;;56.3;79.1;75.0;56.69
142;Leeftijd: 15 tot 25 jaar;Bovengrens 95%-interval;2022;64.6;40.5;85.3;80.7;78.9;88.4;40.2;60.1;38.8;70.8;44.5;73.4;72.4;55.53
143;Leeftijd: 15 tot 25 jaar;Bovengrens 95%-interval;2023;64.4;37.3;84.3;76.8;78.2;85.2;34.9;58.6;34.2;68.7;37.3;69.7;70.8;53.8
144;Leeftijd: 25 tot 35 jaar;Waarde;2012;63.2;33.1;79.2;67.8;70.0;;33.4;47.0;;;39.4;43.6;46.5;53.97
145;Leeftijd: 25 tot 35 jaar;Waarde;2013;63.0;27.6;79.8;69.6;70.5;;29.8;44.7;;;37.1;39.9;37.9;42.8
146;Leeftijd: 25 tot 35 jaar;Waarde;2014;62.6;30.7;78.2;65.9;71.7;;32.2;43.5;;;36.6;41.2;43.1;46.64
147;Leeftijd: 25 tot 35 jaar;Waarde;2015;64.3;31.3;78.9;71.5;73.8;;28.9;45.2;;;35.7;43.3;39.0;46.33
148;Leeftijd: 25 tot 35 jaar;Waarde;2016;67.4;31.2;78.5;71.8;73.7;;27.5;46.9;31.0;;39.9;40.8;44.2;45.08
149;Leeftijd: 25 tot 35 jaar;Waarde;2017;64.9;30.5;81.0;79.0;71.2;;26.9;50.5;34.8;;43.3;50.5;44.0;45.69
150;Leeftijd: 25 tot 35 jaar;Waarde;2018;66.6;29.4;81.4;78.8;73.8;;32.8;50.7;35.9;;46.4;55.8;50.4;48.96
151;Leeftijd: 25 tot 35 jaar;Waarde;2019;65.8;30.0;83.2;77.9;73.9;;36.1;52.0;35.1;;46.7;55.5;46.0;45.9
152;Leeftijd: 25 tot 35 jaar;Waarde;2020;69.3;30.0;84.0;79.4;79.5;;36.8;56.7;42.7;65.6;57.6;59.7;49.1;41.22
153;Leeftijd: 25 tot 35 jaar;Waarde;2021;69.8;30.8;83.3;77.7;77.3;80.9;47.0;52.8;35.7;;43.9;64.6;51.6;45.47
154;Leeftijd: 25 tot 35 jaar;Waarde;2022;69.4;27.6;80.2;75.7;65.9;79.5;35.1;47.4;21.7;57.5;27.1;54.4;50.1;40.54
155;Leeftijd: 25 tot 35 jaar;Waarde;2023;67.1;27.9;82.6;76.8;71.6;74.4;35.4;49.3;24.8;57.8;29.6;57.6;51.0;40.4
156;Leeftijd: 25 tot 35 jaar;Ondergrens 95%-interval;2012;60.0;30.0;76.4;64.6;66.8;;30.4;43.8;;;36.2;40.4;43.3;50.69
157;Leeftijd: 25 tot 35 jaar;Ondergrens 95%-interval;2013;59.7;24.6;76.9;66.3;67.2;;26.7;41.3;;;33.9;36.6;34.7;39.46
158;Leeftijd: 25 tot 35 jaar;Ondergrens 95%-interval;2014;59.2;27.5;75.2;62.6;68.4;;29.1;40.1;;;33.4;37.9;39.8;43.25
159;Leeftijd: 25 tot 35 jaar;Ondergrens 95%-interval;2015;61.2;28.2;76.1;68.5;70.8;;26.0;42.0;;;32.6;40.1;35.9;43.09
160;Leeftijd: 25 tot 35 jaar;Ondergrens 95%-interval;2016;64.2;28.1;75.6;68.7;70.6;;24.6;43.5;28.0;;36.7;37.4;40.9;41.69
161;Leeftijd: 25 tot 35 jaar;Ondergrens 95%-interval;2017;61.7;27.3;78.1;76.1;68.0;;24.0;47.1;31.7;;40.0;47.1;40.7;42.32
162;Leeftijd: 25 tot 35 jaar;Ondergrens 95%-interval;2018;63.3;26.3;78.6;75.9;70.8;;29.8;47.4;32.7;;43.1;52.4;47.1;45.6
163;Leeftijd: 25 tot 35 jaar;Ondergrens 95%-interval;2019;62.5;26.9;80.5;75.0;70.8;;32.9;48.6;31.9;;43.3;52.1;42.7;42.53
164;Leeftijd: 25 tot 35 jaar;Ondergrens 95%-interval;2020;66.0;26.8;81.2;76.4;76.4;;33.5;53.2;39.2;62.1;54.1;56.2;45.6;37.77
165;Leeftijd: 25 tot 35 jaar;Ondergrens 95%-interval;2021;66.3;27.4;80.4;74.5;74.0;78.0;43.5;49.2;32.4;;40.5;61.1;48.1;41.92
166;Leeftijd: 25 tot 35 jaar;Ondergrens 95%-interval;2022;66.5;24.7;77.5;72.9;62.7;76.9;32.1;44.1;19.1;54.3;24.4;51.2;46.9;37.42
167;Leeftijd: 25 tot 35 jaar;Ondergrens 95%-interval;2023;64.0;24.8;79.9;73.9;68.4;71.5;32.3;45.9;22.0;54.4;26.6;54.3;47.7;37.1
168;Leeftijd: 25 tot 35 jaar;Bovengrens 95%-interval;2012;66.3;36.3;81.8;70.7;72.9;;36.6;50.3;;;42.6;46.9;49.8;57.22
169;Leeftijd: 25 tot 35 jaar;Bovengrens 95%-interval;2013;66.3;30.9;82.4;72.6;73.6;;33.0;48.1;;;40.5;43.3;41.3;46.21
170;Leeftijd: 25 tot 35 jaar;Bovengrens 95%-interval;2014;65.8;34.0;80.9;69.0;74.7;;35.4;46.9;;;40.0;44.6;46.5;50.06
171;Leeftijd: 25 tot 35 jaar;Bovengrens 95%-interval;2015;67.4;34.5;81.5;74.3;76.6;;31.9;48.4;;;38.8;46.6;42.2;49.59
172;Leeftijd: 25 tot 35 jaar;Bovengrens 95%-interval;2016;70.4;34.6;81.2;74.7;76.6;;30.6;50.3;34.3;;43.3;44.2;47.5;48.52
173;Leeftijd: 25 tot 35 jaar;Bovengrens 95%-interval;2017;68.1;33.9;83.5;81.7;74.2;;30.0;53.8;38.1;;46.7;53.8;47.4;49.1
