ID;Geslacht;PositieInDeEersteWerkkring;PositieInDeTweedeWerkkring;Persoonskenmerken;Perioden;Werknemer_1
183;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: minder dan 12 uur per week;2020 3e kwartaal;728
184;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: minder dan 12 uur per week;2020 4e kwartaal;804
185;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: minder dan 12 uur per week;2020;768
186;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: minder dan 12 uur per week;2021 1e kwartaal;760
187;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: minder dan 12 uur per week;2021 2e kwartaal;745
188;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: minder dan 12 uur per week;2021 3e kwartaal;696
189;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: minder dan 12 uur per week;2021 4e kwartaal;760
190;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: minder dan 12 uur per week;2021;740
191;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: minder dan 12 uur per week;2022 1e kwartaal;773
192;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: minder dan 20 uur per week;2003 1e kwartaal;1337
193;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: minder dan 20 uur per week;2003 2e kwartaal;1376
194;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: minder dan 20 uur per week;2003 3e kwartaal;1349
195;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: minder dan 20 uur per week;2003 4e kwartaal;1371
196;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: minder dan 20 uur per week;2003;1358
197;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: minder dan 20 uur per week;2004 1e kwartaal;1355
198;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: minder dan 20 uur per week;2004 2e kwartaal;1374
199;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: minder dan 20 uur per week;2004 3e kwartaal;1356
200;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: minder dan 20 uur per week;2004 4e kwartaal;1391
201;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: minder dan 20 uur per week;2004;1369
202;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: minder dan 20 uur per week;2005 1e kwartaal;1390
203;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: minder dan 20 uur per week;2005 2e kwartaal;1389
204;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: minder dan 20 uur per week;2005 3e kwartaal;1374
205;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: minder dan 20 uur per week;2005 4e kwartaal;1412
206;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: minder dan 20 uur per week;2005;1392
207;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: minder dan 20 uur per week;2006 1e kwartaal;1392
208;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: minder dan 20 uur per week;2006 2e kwartaal;1392
209;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: minder dan 20 uur per week;2006 3e kwartaal;1374
210;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: minder dan 20 uur per week;2006 4e kwartaal;1413
211;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: minder dan 20 uur per week;2006;1393
212;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: minder dan 20 uur per week;2007 1e kwartaal;1407
213;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: minder dan 20 uur per week;2007 2e kwartaal;1434
214;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: minder dan 20 uur per week;2007 3e kwartaal;1413
215;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: minder dan 20 uur per week;2007 4e kwartaal;1453
216;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: minder dan 20 uur per week;2007;1427
217;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: minder dan 20 uur per week;2008 1e kwartaal;1437
218;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: minder dan 20 uur per week;2008 2e kwartaal;1453
219;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: minder dan 20 uur per week;2008 3e kwartaal;1405
220;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: minder dan 20 uur per week;2008 4e kwartaal;1413
221;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: minder dan 20 uur per week;2008;1427
222;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: minder dan 20 uur per week;2009 1e kwartaal;1436
223;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: minder dan 20 uur per week;2009 2e kwartaal;1451
224;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: minder dan 20 uur per week;2009 3e kwartaal;1385
225;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: minder dan 20 uur per week;2009 4e kwartaal;1423
226;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: minder dan 20 uur per week;2009;1424
227;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: minder dan 20 uur per week;2010 1e kwartaal;1438
228;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: minder dan 20 uur per week;2010 2e kwartaal;1429
229;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: minder dan 20 uur per week;2010 3e kwartaal;1365
230;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: minder dan 20 uur per week;2010 4e kwartaal;1402
231;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: minder dan 20 uur per week;2010;1408
232;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: minder dan 20 uur per week;2011 1e kwartaal;1389
233;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: minder dan 20 uur per week;2011 2e kwartaal;1419
234;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: minder dan 20 uur per week;2011 3e kwartaal;1403
235;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: minder dan 20 uur per week;2011 4e kwartaal;1431
236;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: minder dan 20 uur per week;2011;1410
237;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: minder dan 20 uur per week;2012 1e kwartaal;1425
238;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: minder dan 20 uur per week;2012 2e kwartaal;1436
239;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: minder dan 20 uur per week;2012 3e kwartaal;1432
240;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: minder dan 20 uur per week;2012 4e kwartaal;1444
241;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: minder dan 20 uur per week;2012;1434
242;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: minder dan 20 uur per week;2013 1e kwartaal;1429
243;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: minder dan 20 uur per week;2013 2e kwartaal;1436
244;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: minder dan 20 uur per week;2013 3e kwartaal;1383
245;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: minder dan 20 uur per week;2013 4e kwartaal;1432
246;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: minder dan 20 uur per week;2013;1420
247;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: minder dan 20 uur per week;2014 1e kwartaal;1387
248;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: minder dan 20 uur per week;2014 2e kwartaal;1393
249;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: minder dan 20 uur per week;2014 3e kwartaal;1370
250;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: minder dan 20 uur per week;2014 4e kwartaal;1411
251;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: minder dan 20 uur per week;2014;1390
252;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: minder dan 20 uur per week;2015 1e kwartaal;1425
253;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: minder dan 20 uur per week;2015 2e kwartaal;1435
254;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: minder dan 20 uur per week;2015 3e kwartaal;1378
255;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: minder dan 20 uur per week;2015 4e kwartaal;1383
256;Totaal mannen en vrouwen;Totaal;Totaal;Arbeidsduur: minder dan 20 uur per week;2015;1405
