ID;Geslacht;Leeftijdsklasse;Herkomstgroepering;Perioden;NederlandseBevolking_1;PersonenMetEenUitkering_2;PersonenMetWAOWajongWAZUitkering_3;PersonenMetEenABWUitkering_4;PersonenMetWWUitkering_5;PersonenMetIOAWIOAZUitkering_6;PersonenMetEenUitkering_7;PersonenMetWAOWajongWAZUitkering_8;PersonenMetEenABWUitkering_9;PersonenMetWWUitkering_10;PersonenMetIOAWIOAZUitkering_11
65;Mannen en vrouwen;15 tot 65 jaar;Marokkanen, 2e generatie;1999;27.3;1.8;0.5;1.2;0.2;0.0;6.7;1.7;4.4;0.7;0.0
66;Mannen en vrouwen;15 tot 65 jaar;Marokkanen, 2e generatie;2000;31.1;2.0;0.7;1.2;0.2;0.0;6.5;2.1;4.0;0.6;0.0
67;Mannen en vrouwen;15 tot 65 jaar;Marokkanen, 2e generatie;2001;35.1;2.5;0.9;1.4;0.3;0.0;7.0;2.4;4.0;0.7;0.0
68;Mannen en vrouwen;15 tot 65 jaar;Marokkanen, 2e generatie;2002;39.4;3.2;1.0;1.7;0.5;0.0;8.1;2.6;4.4;1.3;0.0
69;Mannen en vrouwen;15 tot 65 jaar;Marokkanen, 2e generatie;2003;43.9;4.4;1.2;2.3;1.0;0.0;10.0;2.7;5.3;2.3;0.0
70;Mannen en vrouwen;15 tot 65 jaar;Turken;1999;203.8;60.6;26.2;28.8;6.9;1.6;29.8;12.8;14.1;3.4;0.8
71;Mannen en vrouwen;15 tot 65 jaar;Turken;2000;211.5;60.6;28.8;26.6;6.6;1.6;28.7;13.6;12.6;3.1;0.7
72;Mannen en vrouwen;15 tot 65 jaar;Turken;2001;219.6;61.2;30.7;25.8;6.1;1.5;27.9;14.0;11.7;2.8;0.7
73;Mannen en vrouwen;15 tot 65 jaar;Turken;2002;228.1;64.0;32.0;25.8;7.9;1.4;28.1;14.0;11.3;3.5;0.6
74;Mannen en vrouwen;15 tot 65 jaar;Turken;2003;236.8;68.8;32.3;27.3;11.4;1.3;29.1;13.6;11.5;4.8;0.6
75;Mannen en vrouwen;15 tot 65 jaar;Turken, 1e generatie;1999;165.1;57.4;25.2;26.9;6.5;1.6;34.8;15.3;16.3;3.9;1.0
76;Mannen en vrouwen;15 tot 65 jaar;Turken, 1e generatie;2000;168.9;57.2;27.6;24.9;6.1;1.6;33.9;16.3;14.7;3.6;0.9
77;Mannen en vrouwen;15 tot 65 jaar;Turken, 1e generatie;2001;172.8;57.3;29.2;24.0;5.6;1.5;33.2;16.9;13.9;3.2;0.9
78;Mannen en vrouwen;15 tot 65 jaar;Turken, 1e generatie;2002;176.4;59.3;30.2;23.7;7.0;1.4;33.6;17.1;13.4;4.0;0.8
79;Mannen en vrouwen;15 tot 65 jaar;Turken, 1e generatie;2003;179.7;62.5;30.2;24.6;9.7;1.3;34.8;16.8;13.7;5.4;0.7
80;Mannen en vrouwen;15 tot 65 jaar;Turken, 2e generatie;1999;38.7;3.2;1.0;1.9;0.5;0.0;8.4;2.6;4.9;1.2;0.0
81;Mannen en vrouwen;15 tot 65 jaar;Turken, 2e generatie;2000;42.6;3.4;1.3;1.7;0.5;0.0;7.9;3.0;4.1;1.1;0.0
82;Mannen en vrouwen;15 tot 65 jaar;Turken, 2e generatie;2001;46.9;3.9;1.6;1.8;0.6;0.0;8.3;3.4;3.9;1.2;0.0
83;Mannen en vrouwen;15 tot 65 jaar;Turken, 2e generatie;2002;51.6;4.8;1.8;2.1;0.9;0.0;9.2;3.6;4.1;1.8;0.0
84;Mannen en vrouwen;15 tot 65 jaar;Turken, 2e generatie;2003;57.1;6.3;2.1;2.7;1.7;0.0;11.0;3.6;4.8;3.0;0.0
85;Mannen en vrouwen;15 tot 65 jaar;Surinamers;1999;213.8;48.0;17.0;27.3;4.7;0.3;22.4;8.0;12.8;2.2;0.1
86;Mannen en vrouwen;15 tot 65 jaar;Surinamers;2000;219.5;46.5;18.3;25.3;4.0;0.3;21.2;8.3;11.5;1.8;0.1
87;Mannen en vrouwen;15 tot 65 jaar;Surinamers;2001;225.6;45.9;19.5;23.7;3.9;0.3;20.4;8.6;10.5;1.7;0.1
88;Mannen en vrouwen;15 tot 65 jaar;Surinamers;2002;230.8;47.7;20.4;23.1;5.5;0.3;20.7;8.8;10.0;2.4;0.1
89;Mannen en vrouwen;15 tot 65 jaar;Surinamers;2003;235.6;52.0;20.5;24.1;9.0;0.3;22.1;8.7;10.2;3.8;0.1
90;Mannen en vrouwen;15 tot 65 jaar;Surinamers, 1e generatie;1999;165.6;43.3;15.6;24.5;4.2;0.3;26.1;9.4;14.8;2.5;0.2
91;Mannen en vrouwen;15 tot 65 jaar;Surinamers, 1e generatie;2000;166.8;41.8;16.7;22.5;3.6;0.3;25.0;10.0;13.5;2.1;0.2
92;Mannen en vrouwen;15 tot 65 jaar;Surinamers, 1e generatie;2001;168.2;40.8;17.6;20.8;3.4;0.3;24.2;10.5;12.4;2.0;0.2
93;Mannen en vrouwen;15 tot 65 jaar;Surinamers, 1e generatie;2002;169.0;41.7;18.3;19.9;4.6;0.2;24.7;10.8;11.8;2.7;0.1
94;Mannen en vrouwen;15 tot 65 jaar;Surinamers, 1e generatie;2003;169.3;44.3;18.3;20.2;7.3;0.2;26.2;10.8;11.9;4.3;0.1
95;Mannen en vrouwen;15 tot 65 jaar;Surinamers, 2e generatie;1999;48.2;4.7;1.4;2.9;0.5;0.0;9.7;2.9;5.9;1.0;0.0
96;Mannen en vrouwen;15 tot 65 jaar;Surinamers, 2e generatie;2000;52.7;4.8;1.6;2.8;0.4;0.0;9.1;3.1;5.3;0.8;0.0
97;Mannen en vrouwen;15 tot 65 jaar;Surinamers, 2e generatie;2001;57.4;5.2;1.8;2.9;0.5;0.0;9.0;3.2;5.1;0.9;0.0
98;Mannen en vrouwen;15 tot 65 jaar;Surinamers, 2e generatie;2002;61.8;6.0;2.1;3.2;0.9;0.0;9.7;3.3;5.2;1.4;0.0
99;Mannen en vrouwen;15 tot 65 jaar;Surinamers, 2e generatie;2003;66.3;7.7;2.3;3.9;1.7;0.0;11.6;3.4;5.9;2.5;0.0
100;Mannen en vrouwen;15 tot 65 jaar;Antillianen en Arubanen;1999;73.7;17.8;3.0;13.7;1.4;0.1;24.1;4.0;18.5;1.8;0.1
101;Mannen en vrouwen;15 tot 65 jaar;Antillianen en Arubanen;2000;81.0;18.5;3.4;14.2;1.2;0.0;22.8;4.2;17.5;1.4;0.1
102;Mannen en vrouwen;15 tot 65 jaar;Antillianen en Arubanen;2001;86.8;18.9;3.7;14.2;1.2;0.0;21.7;4.3;16.3;1.4;0.1
103;Mannen en vrouwen;15 tot 65 jaar;Antillianen en Arubanen;2002;90.3;19.8;4.0;14.2;1.9;0.1;21.9;4.4;15.7;2.1;0.1
104;Mannen en vrouwen;15 tot 65 jaar;Antillianen en Arubanen;2003;91.7;21.7;4.1;14.9;3.2;0.1;23.7;4.5;16.2;3.5;0.1
105;Mannen en vrouwen;15 tot 65 jaar;Antillianen, 1e generatie;1999;58.6;16.6;2.5;13.0;1.2;0.1;28.3;4.3;22.2;2.0;0.1
106;Mannen en vrouwen;15 tot 65 jaar;Antillianen, 1e generatie;2000;64.8;17.2;2.9;13.6;1.0;0.0;26.6;4.4;20.9;1.6;0.1
107;Mannen en vrouwen;15 tot 65 jaar;Antillianen, 1e generatie;2001;69.3;17.5;3.2;13.5;1.1;0.0;25.3;4.6;19.5;1.6;0.1
108;Mannen en vrouwen;15 tot 65 jaar;Antillianen, 1e generatie;2002;71.5;18.3;3.4;13.5;1.7;0.1;25.5;4.7;18.9;2.4;0.1
109;Mannen en vrouwen;15 tot 65 jaar;Antillianen, 1e generatie;2003;71.7;19.8;3.4;14.0;2.7;0.1;27.7;4.8;19.5;3.8;0.1
110;Mannen en vrouwen;15 tot 65 jaar;Antillianen, 2e generatie;1999;15.1;1.2;0.4;0.6;0.2;0.0;7.9;2.8;4.2;1.0;0.0
111;Mannen en vrouwen;15 tot 65 jaar;Antillianen, 2e generatie;2000;16.2;1.2;0.5;0.6;0.1;0.0;7.5;3.0;3.8;0.8;0.0
112;Mannen en vrouwen;15 tot 65 jaar;Antillianen, 2e generatie;2001;17.5;1.3;0.5;0.7;0.1;0.0;7.5;3.1;3.8;0.7;0.0
113;Mannen en vrouwen;15 tot 65 jaar;Antillianen, 2e generatie;2002;18.8;1.5;0.6;0.7;0.2;0.0;8.0;3.2;3.7;1.2;0.0
114;Mannen en vrouwen;15 tot 65 jaar;Antillianen, 2e generatie;2003;20.0;1.9;0.7;0.9;0.4;0.0;9.5;3.3;4.4;2.1;0.0
115;Mannen en vrouwen;15 tot 65 jaar;Overige niet-westerse allochtonen;1999;286.5;60.7;6.9;49.6;4.8;0.4;21.2;2.4;17.3;1.7;0.1
116;Mannen en vrouwen;15 tot 65 jaar;Overige niet-westerse allochtonen;2000;313.4;61.4;8.0;49.8;4.2;0.4;19.6;2.6;15.9;1.4;0.1
117;Mannen en vrouwen;15 tot 65 jaar;Overige niet-westerse allochtonen;2001;342.7;65.6;9.2;52.7;4.5;0.4;19.1;2.7;15.4;1.3;0.1
118;Mannen en vrouwen;15 tot 65 jaar;Overige niet-westerse allochtonen;2002;367.2;72.1;10.4;56.1;6.5;0.4;19.6;2.8;15.3;1.8;0.1
119;Mannen en vrouwen;15 tot 65 jaar;Overige niet-westerse allochtonen;2003;382.1;81.8;11.2;61.4;10.7;0.4;21.4;2.9;16.1;2.8;0.1
120;Mannen en vrouwen;15 tot 65 jaar;Overige niet-westerse allocht, 1e gen.;1999;256.6;58.8;6.2;48.7;4.6;0.4;22.9;2.4;19.0;1.8;0.1
121;Mannen en vrouwen;15 tot 65 jaar;Overige niet-westerse allocht, 1e gen.;2000;280.2;59.5;7.2;48.9;4.1;0.4;21.2;2.6;17.5;1.4;0.1
122;Mannen en vrouwen;15 tot 65 jaar;Overige niet-westerse allocht, 1e gen.;2001;306.1;63.5;8.3;51.8;4.2;0.4;20.7;2.7;16.9;1.4;0.1
123;Mannen en vrouwen;15 tot 65 jaar;Overige niet-westerse allocht, 1e gen.;2002;327.1;69.6;9.3;55.1;6.2;0.4;21.3;2.9;16.8;1.9;0.1
124;Mannen en vrouwen;15 tot 65 jaar;Overige niet-westerse allocht, 1e gen.;2003;338.2;78.8;10.0;60.2;10.0;0.3;23.3;3.0;17.8;3.0;0.1
125;Mannen en vrouwen;15 tot 65 jaar;Overige niet-westerse allocht, 2e gen.;1999;30.0;1.9;0.8;0.9;0.2;0.0;6.3;2.5;3.1;0.8;0.1
126;Mannen en vrouwen;15 tot 65 jaar;Overige niet-westerse allocht, 2e gen.;2000;33.2;1.9;0.9;0.9;0.2;0.0;5.7;2.6;2.7;0.5;0.0
127;Mannen en vrouwen;15 tot 65 jaar;Overige niet-westerse allocht, 2e gen.;2001;36.6;2.1;1.0;0.9;0.2;0.0;5.7;2.6;2.5;0.7;0.0
128;Mannen en vrouwen;15 tot 65 jaar;Overige niet-westerse allocht, 2e gen.;2002;40.1;2.5;1.1;1.0;0.4;0.0;6.1;2.7;2.5;0.9;0.0
129;Mannen en vrouwen;15 tot 65 jaar;Overige niet-westerse allocht, 2e gen.;2003;43.9;3.0;1.2;1.2;0.6;0.0;6.8;2.7;2.8;1.5;0.0
130;Mannen en vrouwen;15 tot 20 jaar;Totaal herkomstgroeperingen;1999;927.5;13.2;6.4;5.7;1.2;0.0;1.4;0.7;0.6;0.1;0.0
131;Mannen en vrouwen;15 tot 20 jaar;Totaal herkomstgroeperingen;2000;930.5;12.7;6.5;5.2;0.9;0.0;1.4;0.7;0.6;0.1;0.0
132;Mannen en vrouwen;15 tot 20 jaar;Totaal herkomstgroeperingen;2001;942.4;12.5;6.7;5.0;0.8;0.0;1.3;0.7;0.5;0.1;0.0
133;Mannen en vrouwen;15 tot 20 jaar;Totaal herkomstgroeperingen;2002;958.9;14.1;7.2;5.5;1.4;0.0;1.5;0.8;0.6;0.2;0.0
134;Mannen en vrouwen;15 tot 20 jaar;Totaal herkomstgroeperingen;2003;971.9;16.2;8.1;5.9;2.3;0.0;1.7;0.8;0.6;0.2;0.0
135;Mannen en vrouwen;15 tot 20 jaar;Autochtonen;1999;729.0;8.3;5.2;2.1;1.0;0.0;1.1;0.7;0.3;0.1;0.0
136;Mannen en vrouwen;15 tot 20 jaar;Autochtonen;2000;724.7;7.8;5.4;1.8;0.8;0.0;1.1;0.7;0.2;0.1;0.0
137;Mannen en vrouwen;15 tot 20 jaar;Autochtonen;2001;729.2;7.9;5.5;1.8;0.6;0.0;1.1;0.8;0.2;0.1;0.0
138;Mannen en vrouwen;15 tot 20 jaar;Autochtonen;2002;739.8;8.9;5.9;1.9;1.2;0.0;1.2;0.8;0.3;0.2;0.0
139;Mannen en vrouwen;15 tot 20 jaar;Autochtonen;2003;750.7;11.0;6.6;2.6;1.9;0.0;1.5;0.9;0.3;0.2;0.0
140;Mannen en vrouwen;15 tot 20 jaar;Allochtonen;1999;198.5;5.0;1.2;3.5;0.3;0.0;2.5;0.6;1.8;0.1;0.0
141;Mannen en vrouwen;15 tot 20 jaar;Allochtonen;2000;205.8;4.8;1.2;3.5;0.2;0.0;2.3;0.6;1.7;0.1;0.0
142;Mannen en vrouwen;15 tot 20 jaar;Allochtonen;2001;213.2;4.6;1.2;3.2;0.2;0.0;2.2;0.6;1.5;0.1;0.0
143;Mannen en vrouwen;15 tot 20 jaar;Allochtonen;2002;219.2;5.2;1.3;3.6;0.3;0.0;2.4;0.6;1.6;0.1;0.0
144;Mannen en vrouwen;15 tot 20 jaar;Allochtonen;2003;221.1;5.2;1.5;3.4;0.4;0.0;2.4;0.7;1.5;0.2;0.0
145;Mannen en vrouwen;15 tot 20 jaar;Allochtonen, 1e generatie;1999;71.8;2.8;0.3;2.4;0.1;0.0;3.9;0.5;3.3;0.1;0.0
146;Mannen en vrouwen;15 tot 20 jaar;Allochtonen, 1e generatie;2000;77.3;2.9;0.3;2.6;0.1;0.0;3.8;0.4;3.3;0.1;0.0
147;Mannen en vrouwen;15 tot 20 jaar;Allochtonen, 1e generatie;2001;82.7;2.8;0.4;2.4;0.1;0.0;3.4;0.4;2.9;0.1;0.0
148;Mannen en vrouwen;15 tot 20 jaar;Allochtonen, 1e generatie;2002;85.3;3.2;0.4;2.7;0.1;0.0;3.8;0.5;3.2;0.1;0.0
149;Mannen en vrouwen;15 tot 20 jaar;Allochtonen, 1e generatie;2003;82.7;3.0;0.4;2.4;0.1;0.0;3.6;0.5;2.9;0.2;0.0
150;Mannen en vrouwen;15 tot 20 jaar;Allochtonen, 2e generatie;1999;126.7;2.2;0.8;1.2;0.2;0.0;1.7;0.7;0.9;0.1;0.0
151;Mannen en vrouwen;15 tot 20 jaar;Allochtonen, 2e generatie;2000;128.5;1.9;0.8;0.9;0.1;0.0;1.5;0.7;0.7;0.1;0.0
152;Mannen en vrouwen;15 tot 20 jaar;Allochtonen, 2e generatie;2001;130.5;1.8;0.9;0.8;0.1;0.0;1.4;0.7;0.6;0.1;0.0
153;Mannen en vrouwen;15 tot 20 jaar;Allochtonen, 2e generatie;2002;133.8;1.9;0.9;0.8;0.2;0.0;1.5;0.7;0.6;0.1;0.0
154;Mannen en vrouwen;15 tot 20 jaar;Allochtonen, 2e generatie;2003;138.4;2.2;1.0;1.0;0.3;0.0;1.6;0.7;0.7;0.2;0.0
155;Mannen en vrouwen;15 tot 20 jaar;Westerse allochtonen;1999;67.6;1.0;0.4;0.5;0.1;0.0;1.5;0.6;0.7;0.1;0.0
156;Mannen en vrouwen;15 tot 20 jaar;Westerse allochtonen;2000;67.2;0.9;0.4;0.4;0.1;0.0;1.3;0.6;0.7;0.1;0.0
157;Mannen en vrouwen;15 tot 20 jaar;Westerse allochtonen;2001;67.4;0.9;0.4;0.4;0.1;0.0;1.3;0.6;0.6;0.1;0.0
158;Mannen en vrouwen;15 tot 20 jaar;Westerse allochtonen;2002;67.5;0.9;0.4;0.4;0.1;0.0;1.4;0.7;0.6;0.2;0.0
159;Mannen en vrouwen;15 tot 20 jaar;Westerse allochtonen;2003;67.7;1.1;0.5;0.4;0.1;0.0;1.6;0.7;0.7;0.2;0.0
160;Mannen en vrouwen;15 tot 20 jaar;Westerse allochtonen, 1e generatie;1999;16.4;0.2;0.1;0.2;0.0;0.0;1.5;0.4;1.0;0.1;0.0
