ID;InstitutionalInvestors;Periods;TotalInvestments_1;DirectProperty_2;MortgageLoans_3;TotalSharesAndOtherEquity_4;IndirectProperty_5;OtherSharesAndOtherEquity_6;BondsShortTermSecOtherThanShares_7;FinancialDerivatives_8;LongTermLoans_9;OtherInvestments_10;TotalInvestments_11;DirectProperty_12;MortgageLoans_13;TotalSharesAndOtherEquity_14;IndirectProperty_15;OtherSharesAndOtherEquity_16;BondsShortTermSecOtherThanShares_17;FinancialDerivatives_18;LongTermLoans_19;OtherInvestments_20
29;Total institutional investors;2009 1st quarter;1023.5;48.7;35.6;359.4;;;434.6;31.0;38.3;75.9;100;4.8;3.5;35.1;;;42.5;3.0;3.7;7.4
30;Total institutional investors;2009 2nd quarter;1151.9;47.7;35.9;475.8;;;440.4;21.0;39.2;91.9;100;4.1;3.1;41.3;;;38.2;1.8;3.4;8.0
31;Total institutional investors;2009 3rd quarter;1340.1;46.5;36.5;631.2;;;461.4;23.5;38.5;102.5;100;3.5;2.7;47.1;;;34.4;1.8;2.9;7.6
32;Total institutional investors;2009 4th quarter;1385.2;45.9;36.9;683.9;71.9;612.1;463.0;11.3;37.1;107.1;100;3.3;2.7;49.4;5.2;44.2;33.4;0.8;2.7;7.7
33;Total institutional investors;2009;1385.2;45.9;36.9;683.9;71.9;612.1;463.0;11.3;37.1;107.1;100;3.3;2.7;49.4;5.2;44.2;33.4;0.8;2.7;7.7
34;Total institutional investors;2010 1st quarter;1469.4;45.1;38.7;752.5;;;474.5;17.7;40.1;100.8;100;3.1;2.6;51.2;;;32.3;1.2;2.7;6.9
35;Total institutional investors;2010 2nd quarter;1461.5;45.0;39.2;726.8;;;479.5;27.6;40.4;103.0;100;3.1;2.7;49.7;;;32.8;1.9;2.8;7.0
36;Total institutional investors;2010 3rd quarter;1539.5;44.8;40.7;745.8;;;493.4;60.2;41.3;113.4;100;2.9;2.6;48.4;;;32.0;3.9;2.7;7.4
37;Total institutional investors;2010 4th quarter;1514.5;46.3;41.5;792.1;91.1;701.0;473.0;16.4;41.1;104.1;100;3.1;2.7;52.3;6.0;46.3;31.2;1.1;2.7;6.9
38;Total institutional investors;2010;1514.5;46.3;41.5;792.1;91.1;701.0;473.0;16.4;41.1;104.1;100;3.1;2.7;52.3;6.0;46.3;31.2;1.1;2.7;6.9
39;Total institutional investors;2011 1st quarter;1521.8;46.9;42.2;787.9;;;480.1;14.9;41.2;108.6;100;3.1;2.8;51.8;;;31.5;1.0;2.7;7.1
40;Total institutional investors;2011 2nd quarter;1529.7;46.4;44.3;795.4;;;487.8;8.7;41.1;106.0;100;3.0;2.9;52.0;;;31.9;0.6;2.7;6.9
41;Total institutional investors;2011 3rd quarter;1559.9;47.0;45.8;764.8;;;506.1;44.3;33.2;118.7;100;3.0;2.9;49.0;;;32.4;2.8;2.1;7.6
42;Total institutional investors;2011 4th quarter;1611.1;45.8;45.7;801.3;107.0;694.3;517.1;57.9;34.3;108.9;100;2.8;2.8;49.7;6.6;43.1;32.1;3.6;2.1;6.8
43;Total institutional investors;2011;1611.1;45.8;45.7;801.3;107.0;694.3;517.1;57.9;33.9;108.9;100;2.8;2.8;49.7;6.6;43.1;32.1;3.6;2.1;6.8
44;Total institutional investors;2012 1st quarter;1684.5;45.8;45.9;851.3;;;534.6;61.2;34.9;110.8;100;2.7;2.7;50.5;;;31.7;3.6;2.1;6.6
45;Total institutional investors;2012 2nd quarter;1712.8;45.7;45.5;858.8;;;550.2;66.9;36.8;108.8;100;2.7;2.7;50.1;;;32.1;3.9;2.1;6.4
46;Total institutional investors;2012 3rd quarter;1778.6;45.4;46.1;897.9;;;576.0;65.9;37.8;109.5;100;2.6;2.6;50.5;;;32.4;3.7;2.1;6.2
47;Total institutional investors;2012 4th quarter;1821.5;44.7;46.4;912.4;123.3;789.1;597.0;69.1;38.3;113.6;100;2.5;2.5;50.1;6.8;43.3;32.8;3.8;2.1;6.2
48;Total institutional investors;2012;1821.5;44.7;46.4;912.4;123.3;789.1;597.0;69.1;38.3;113.6;100;2.5;2.5;50.1;6.8;43.3;32.8;3.8;2.1;6.2
49;Total institutional investors;2013 1st quarter;1863.2;45.6;46.7;967.8;;;597.2;52.6;38.0;115.3;100;2.4;2.5;51.9;;;32.1;2.8;2.0;6.2
50;Total institutional investors;2013 2nd quarter;1813.9;45.2;48.1;936.9;;;594.6;42.8;38.9;107.4;100;2.5;2.7;51.6;;;32.8;2.4;2.1;5.9
51;Total institutional investors;2013 3rd quarter;1846.1;44.7;49.2;968.4;;;597.8;39.1;39.9;106.9;100;2.4;2.7;52.5;;;32.4;2.1;2.2;5.8
52;Total institutional investors;2013 4th quarter;1868.3;42.9;54.1;996.7;;;600.4;32.2;39.3;102.7;100;2.3;2.9;53.4;;;32.1;1.7;2.1;5.5
53;Total institutional investors;2013;1868.3;42.9;54.1;996.7;;;600.4;32.2;39.3;102.7;100;2.3;2.9;53.4;;;32.1;1.7;2.1;5.5
54;Total institutional investors;2014 1st quarter;1944.1;42.5;54.7;1034.3;;;619.5;44.1;40.0;108.8;100;2.2;2.8;53.2;;;31.9;2.3;2.1;5.6
55;Pension funds;1996;295.6;20.4;12.0;95.1;6.9;88.2;88.0;0.3;72.3;7.5;100;6.9;4.0;32.2;2.3;29.8;29.8;0.1;24.4;2.5
56;Pension funds;1997;339.8;20.9;12.2;124.9;10.1;114.8;108.0;0.5;66.3;7.1;100;6.1;3.6;36.8;3.0;33.8;31.8;0.1;19.5;2.1
57;Pension funds;1998;383.8;22.1;13.0;153.0;12.5;140.5;128.7;0.6;59.2;7.1;100;5.8;3.4;39.9;3.3;36.6;33.5;0.2;15.4;1.9
58;Pension funds;1999;450.3;23.5;13.2;223.5;17.2;206.3;136.4;0.9;46.3;6.6;100;5.2;2.9;49.6;3.8;45.8;30.3;0.2;10.3;1.5
59;Pension funds;2000;461.8;23.3;14.0;222.5;23.9;198.6;157.9;1.3;34.5;8.2;100;5.1;3.0;48.2;5.2;43.0;34.2;0.3;7.5;1.8
60;Pension funds;2001;458.2;26.0;14.9;221.2;24.4;196.8;159.1;1.8;28.0;7.2;100;5.7;3.3;48.3;5.3;43.0;34.7;0.4;6.1;1.6
61;Pension funds;2002;436.6;23.4;16.0;179.2;22.9;156.3;178.2;4.3;21.7;13.8;100;5.4;3.7;41.0;5.2;35.8;40.8;1.0;5.0;3.2
62;Pension funds;2003;488.3;22.9;15.0;221.7;26.0;195.7;190.2;8.5;17.7;12.3;100;4.7;3.1;45.4;5.3;40.1;39.0;1.7;3.6;2.5
63;Pension funds;2004;547.1;23.1;14.5;254.6;31.1;223.6;219.4;10.5;11.5;13.5;100;4.2;2.6;46.5;5.7;40.9;40.1;1.9;2.1;2.5
64;Pension funds;2005 1st quarter;565.1;23.3;14.3;269.7;;;226.3;3.9;11.0;16.7;100;4.1;2.5;47.7;;;40.0;0.7;1.9;3.0
65;Pension funds;2005 2nd quarter;597.9;23.4;13.0;292.7;;;240.8;1.1;11.2;15.7;100;3.9;2.2;49.0;;;40.3;0.2;1.9;2.6
66;Pension funds;2005 3rd quarter;619.8;22.8;12.8;308.8;;;244.5;3.9;11.0;15.9;100;3.7;2.1;49.8;;;39.4;0.6;1.8;2.6
67;Pension funds;2005 4th quarter;635.9;22.9;12.6;317.9;40.0;277.9;252.6;2.4;10.3;17.2;100;3.6;2.0;50.0;6.3;43.7;39.7;0.4;1.6;2.7
68;Pension funds;2005;635.9;22.9;12.6;317.9;40.0;277.9;252.6;2.4;10.3;17.2;100;3.6;2.0;50.0;6.3;43.7;39.7;0.4;1.6;2.7
69;Pension funds;2006 1st quarter;670.6;21.8;13.0;333.0;;;258.5;1.4;12.6;30.3;100;3.3;1.9;49.7;;;38.5;0.2;1.9;4.5
70;Pension funds;2006 2nd quarter;654.4;21.6;12.3;310.4;;;263.7;0.2;11.8;34.5;100;3.3;1.9;47.4;;;40.3;0.0;1.8;5.3
71;Pension funds;2006 3rd quarter;690.5;21.1;12.3;330.2;;;278.0;1.0;11.7;36.1;100;3.1;1.8;47.8;;;40.3;0.1;1.7;5.2
72;Pension funds;2006 4th quarter;710.0;19.8;12.5;348.2;54.0;294.2;277.5;6.1;8.7;37.2;100;2.8;1.8;49.0;7.6;41.4;39.1;0.9;1.2;5.2
73;Pension funds;2006;710.0;19.8;12.5;348.2;54.0;294.2;277.5;6.1;8.7;37.2;100;2.8;1.8;49.0;7.6;41.4;39.1;0.9;1.2;5.2
74;Pension funds;2007 1st quarter;719.6;19.9;13.4;355.1;;;280.9;3.8;9.9;36.6;100;2.8;1.9;49.3;;;39.0;0.5;1.4;5.1
75;Pension funds;2007 2nd quarter;719.9;19.6;13.7;366.7;;;277.8;-2.4;9.5;35.0;100;2.7;1.9;50.9;;;38.6;-0.3;1.3;4.9
76;Pension funds;2007 3rd quarter;730.5;20.3;14.3;367.2;;;277.6;4.6;8.4;38.1;100;2.8;2.0;50.3;;;38.0;0.6;1.1;5.2
77;Pension funds;2007 4th quarter;720.0;19.2;14.7;359.2;52.6;306.6;280.4;0.0;8.9;37.8;100;2.7;2.0;49.9;7.3;42.6;38.9;0.0;1.2;5.3
78;Pension funds;2007;720.0;19.2;14.7;359.2;52.6;306.6;280.4;0.0;8.9;37.8;100;2.7;2.0;49.9;7.3;42.6;38.9;0.0;1.2;5.3
79;Pension funds;2008 1st quarter;703.1;18.8;14.3;326.2;;;264.2;13.0;11.8;54.8;100;2.7;2.0;46.4;;;37.6;1.8;1.7;7.8
80;Pension funds;2008 2nd quarter;673.7;18.1;13.6;328.4;;;263.8;1.6;7.7;40.7;100;2.7;2.0;48.7;;;39.1;0.2;1.1;6.0
81;Pension funds;2008 3rd quarter;651.9;17.5;13.7;303.9;;;283.4;-3.8;7.3;29.9;100;2.7;2.1;46.6;;;43.5;-0.6;1.1;4.6
82;Pension funds;2008 4th quarter;622.8;17.0;13.2;239.6;45.2;194.3;257.6;35.7;7.8;51.8;100;2.7;2.1;38.5;7.3;31.2;41.4;5.7;1.3;8.3
83;Pension funds;2008;622.8;17.0;13.2;239.6;45.2;194.3;257.6;35.7;7.8;51.8;100;2.7;2.1;38.5;7.3;31.2;41.4;5.7;1.3;8.3
84;Pension funds;2009 1st quarter;605.5;16.7;13.3;234.9;;;274.8;23.6;7.2;35.0;100;2.8;2.2;38.8;;;45.4;3.9;1.2;5.8
85;Pension funds;2009 2nd quarter;633.6;16.1;12.9;335.1;;;206.9;17.8;7.0;37.8;100;2.5;2.0;52.9;;;32.7;2.8;1.1;6.0
86;Pension funds;2009 3rd quarter;675.5;15.5;12.9;390.1;;;195.2;18.4;6.7;36.7;100;2.3;1.9;57.8;;;28.9;2.7;1.0;5.4
87;Pension funds;2009 4th quarter;697.4;15.2;12.2;421.6;49.2;372.4;194.7;8.1;6.8;38.8;100;2.2;1.7;60.5;7.1;53.4;27.9;1.2;1.0;5.6
88;Pension funds;2009;697.4;15.2;12.2;421.6;49.2;372.4;194.7;8.1;6.8;38.8;100;2.2;1.7;60.5;7.1;53.4;27.9;1.2;1.0;5.6
89;Pension funds;2010 1st quarter;729.6;10.6;12.4;456.4;;;193.7;13.1;6.8;36.6;100;1.5;1.7;62.6;;;26.5;1.8;0.9;5.0
90;Pension funds;2010 2nd quarter;735.4;10.4;12.4;447.8;;;199.5;19.6;6.8;38.8;100;1.4;1.7;60.9;;;27.1;2.7;0.9;5.3
91;Pension funds;2010 3rd quarter;784.0;10.2;12.4;457.2;;;203.2;46.7;6.4;47.9;100;1.3;1.6;58.3;;;25.9;6.0;0.8;6.1
92;Pension funds;2010 4th quarter;762.2;9.9;12.1;477.4;64.8;412.6;197.1;11.1;6.1;48.6;100;1.3;1.6;62.6;8.5;54.1;25.9;1.5;0.8;6.4
93;Pension funds;2010;762.2;9.9;12.1;477.4;64.8;412.6;197.1;11.1;6.1;48.6;100;1.3;1.6;62.6;8.5;54.1;25.9;1.5;0.8;6.4
94;Pension funds;2011 1st quarter;758.2;10.0;11.5;473.7;;;201.5;10.6;6.3;44.6;100;1.3;1.5;62.5;;;26.6;1.4;0.8;5.9
95;Pension funds;2011 2nd quarter;759.2;9.9;11.5;479.7;;;203.5;5.4;5.5;43.8;100;1.3;1.5;63.2;;;26.8;0.7;0.7;5.8
96;Pension funds;2011 3rd quarter;777.8;9.8;11.4;466.1;;;210.4;33.5;4.4;42.2;100;1.3;1.5;59.9;;;27.0;4.3;0.6;5.4
97;Pension funds;2011 4th quarter;817.3;9.7;11.2;483.6;68.6;415.1;219.9;44.4;4.8;43.9;100;1.2;1.4;59.2;8.4;50.8;26.9;5.4;0.6;5.4
98;Pension funds;2011;817.3;9.7;11.2;483.6;68.6;415.1;219.9;44.4;4.8;43.9;100;1.2;1.4;59.2;8.4;50.8;26.9;5.4;0.6;5.4
99;Pension funds;2012 1st quarter;861.3;9.5;11.1;520.4;;;225.8;47.4;4.8;42.3;100;1.1;1.3;60.4;;;26.2;5.5;0.6;4.9
100;Pension funds;2012 2nd quarter;881.4;9.5;11.0;527.9;;;237.0;49.4;4.9;41.7;100;1.1;1.2;59.9;;;26.9;5.6;0.6;4.7
101;Pension funds;2012 3rd quarter;920.6;9.3;11.0;555.9;;;246.6;50.1;4.9;42.8;100;1.0;1.2;60.4;;;26.8;5.4;0.5;4.6
102;Pension funds;2012 4th quarter;948.7;9.1;10.9;565.8;77.2;488.6;256.0;53.1;4.9;48.9;100;1.0;1.2;59.6;8.1;51.5;27.0;5.6;0.5;5.2
103;Pension funds;2012;948.7;9.1;10.9;565.8;77.2;488.6;256.0;53.1;4.9;48.9;100;1.0;1.2;59.6;8.1;51.5;27.0;5.6;0.5;5.2
104;Pension funds;2013 1st quarter;971.7;9.0;10.9;602.2;;;258.2;40.0;4.8;46.6;100;0.9;1.1;62.0;;;26.6;4.1;0.5;4.8
105;Pension funds;2013 2nd quarter;941.2;9.1;10.8;585.1;;;257.2;31.3;4.6;43.1;100;1.0;1.2;62.2;;;27.3;3.3;0.5;4.6
106;Pension funds;2013 3rd quarter;951.5;9.1;10.7;598.2;;;259.9;28.7;4.1;40.9;100;1.0;1.1;62.9;;;27.3;3.0;0.4;4.3
107;Pension funds;2013 4th quarter;968.0;8.6;10.5;615.6;;;263.4;24.2;3.7;42.0;100;0.9;1.1;63.6;;;27.2;2.5;0.4;4.3
108;Pension funds;2013;968.0;8.6;10.5;615.6;;;263.4;24.2;3.7;42.0;100;0.9;1.1;63.6;;;27.2;2.5;0.4;4.3
109;Pension funds;2014 1st quarter;1017.6;8.4;10.4;640.8;;;278.1;34.2;3.6;42.1;100;0.8;1.0;63.0;;;27.3;3.4;0.4;4.1
110;Insurance corporations;1996;182.5;8.8;20.9;35.4;0.7;34.7;52.9;0.0;51.7;12.8;100;4.8;11.4;19.4;0.4;19.0;29.0;0.0;28.3;7.0
111;Insurance corporations;1997;207.6;9.6;21.9;48.0;0.8;47.2;66.0;0.0;49.3;12.8;100;4.6;10.5;23.1;0.4;22.8;31.8;0.0;23.8;6.1
112;Insurance corporations;1998;236.8;10.4;25.1;63.9;0.9;63.0;75.1;0.1;49.4;12.8;100;4.4;10.6;27.0;0.4;26.6;31.7;0.0;20.8;5.4
113;Insurance corporations;1999;258.6;11.3;27.8;80.7;1.3;79.5;75.8;0.1;48.0;14.9;100;4.4;10.8;31.2;0.5;30.7;29.3;0.0;18.5;5.8
114;Insurance corporations;2000;266.3;13.6;30.9;80.5;2.1;78.4;78.1;0.1;43.5;19.6;100;5.1;11.6;30.2;0.8;29.4;29.3;0.0;16.3;7.4
115;Insurance corporations;2001;273.8;14.9;32.0;77.9;2.3;75.6;88.1;0.1;40.8;20.0;100;5.4;11.7;28.4;0.8;27.6;32.2;0.0;14.9;7.3
116;Insurance corporations;2002;261.9;15.2;31.5;66.0;2.0;64.0;88.7;0.2;36.7;23.5;100;5.8;12.0;25.2;0.8;24.5;33.9;0.1;14.0;9.0
117;Insurance corporations;2003;279.0;13.9;28.8;74.4;2.0;72.4;101.3;0.1;36.5;24.1;100;5.0;10.3;26.7;0.7;25.9;36.3;0.0;13.1;8.6
118;Insurance corporations;2004;299.4;14.4;25.7;81.3;2.9;78.5;124.3;0.5;30.9;22.2;100;4.8;8.6;27.2;1.0;26.2;41.5;0.2;10.3;7.4
119;Insurance corporations;2005 1st quarter;304.8;12.7;26.5;86.3;;;127.4;1.4;27.6;22.8;100;4.2;8.7;28.3;;;41.8;0.5;9.1;7.5
120;Insurance corporations;2005 2nd quarter;322.4;12.8;24.8;94.7;;;137.6;2.3;26.6;23.6;100;4.0;7.7;29.4;;;42.7;0.7;8.3;7.3
121;Insurance corporations;2005 3rd quarter;334.3;12.8;25.7;102.2;;;139.4;2.5;26.9;24.8;100;3.8;7.7;30.6;;;41.7;0.7;8.0;7.4
122;Insurance corporations;2005 4th quarter;340.5;13.2;25.6;109.1;3.0;106.1;137.7;2.2;27.3;25.5;100;3.9;7.5;32.0;0.9;31.2;40.4;0.7;8.0;7.5
123;Insurance corporations;2005;340.5;13.2;25.6;109.1;3.0;106.1;137.7;2.2;27.3;25.5;100;3.9;7.5;32.0;0.9;31.2;40.4;0.7;8.0;7.5
124;Insurance corporations;2006 1st quarter;352.3;13.4;24.8;120.3;;;136.4;1.8;26.0;29.5;100;3.8;7.1;34.2;;;38.7;0.5;7.4;8.4
125;Insurance corporations;2006 2nd quarter;343.4;13.5;24.5;113.6;;;134.8;0.9;26.4;29.6;100;3.9;7.1;33.1;;;39.3;0.3;7.7;8.6
126;Insurance corporations;2006 3rd quarter;348.7;13.9;23.6;118.7;;;138.6;2.0;26.3;25.7;100;4.0;6.8;34.0;;;39.7;0.6;7.5;7.4
127;Insurance corporations;2006 4th quarter;347.7;14.2;23.5;122.5;3.4;119.1;136.0;2.0;28.2;21.2;100;4.1;6.8;35.2;1.0;34.3;39.1;0.6;8.1;6.1
128;Insurance corporations;2006;347.7;14.2;23.5;122.5;3.4;119.1;136.0;2.0;28.2;21.2;100;4.1;6.8;35.2;1.0;34.3;39.1;0.6;8.1;6.1
129;Insurance corporations;2007 1st quarter;362.0;14.7;24.4;128.6;;;143.4;1.3;29.1;20.5;100;4.1;6.8;35.5;;;39.6;0.4;8.0;5.7
130;Insurance corporations;2007 2nd quarter;365.0;14.3;21.8;137.3;;;144.0;-0.2;28.4;19.4;100;3.9;6.0;37.6;;;39.5;0.0;7.8;5.3
131;Insurance corporations;2007 3rd quarter;371.1;13.9;22.7;139.8;;;146.0;0.9;26.0;21.8;100;3.7;6.1;37.7;;;39.4;0.3;7.0;5.9
132;Insurance corporations;2007 4th quarter;360.4;12.7;21.2;127.9;3.2;124.7;147.1;0.7;25.9;24.8;100;3.5;5.9;35.5;0.9;34.6;40.8;0.2;7.2;6.9
133;Insurance corporations;2007;360.4;12.7;21.2;127.9;3.2;124.7;147.1;0.7;25.9;24.8;100;3.5;5.9;35.5;0.9;34.6;40.8;0.2;7.2;6.9
134;Insurance corporations;2008 1st quarter;362.3;12.7;22.2;124.5;;;147.3;3.5;25.5;26.6;100;3.5;6.1;34.4;;;40.7;1.0;7.0;7.3
135;Insurance corporations;2008 2nd quarter;354.8;12.7;22.7;118.4;;;143.8;3.2;24.5;29.4;100;3.6;6.4;33.4;;;40.5;0.9;6.9;8.3
136;Insurance corporations;2008 3rd quarter;350.5;12.9;21.0;110.8;;;145.6;4.5;23.4;32.3;100;3.7;6.0;31.6;;;41.5;1.3;6.7;9.2
137;Insurance corporations;2008 4th quarter;353.5;12.9;21.4;95.8;2.3;93.5;151.8;8.3;24.5;38.8;100;3.7;6.1;27.1;0.7;26.4;42.9;2.3;6.9;11.0
138;Insurance corporations;2008;353.5;12.9;21.4;95.8;2.3;93.5;151.8;8.3;24.5;38.8;100;3.7;6.1;27.1;0.7;26.4;42.9;2.3;6.9;11.0
139;Insurance corporations;2009 1st quarter;346.1;13.1;22.1;93.8;;;149.2;6.8;24.7;36.4;100;3.8;6.4;27.1;;;43.1;2.0;7.1;10.5
140;Insurance corporations;2009 2nd quarter;353.8;13.0;22.8;100.5;;;153.0;3.1;25.5;35.9;100;3.7;6.4;28.4;;;43.2;0.9;7.2;10.2
141;Insurance corporations;2009 3rd quarter;366.6;13.0;23.4;103.7;;;164.5;4.4;24.0;33.6;100;3.5;6.4;28.3;;;44.9;1.2;6.5;9.2
142;Insurance corporations;2009 4th quarter;366.5;13.0;24.5;104.3;2.4;101.9;165.8;4.2;22.9;31.9;100;3.5;6.7;28.5;0.7;27.8;45.2;1.1;6.3;8.7
143;Insurance corporations;2009;366.5;13.0;24.5;104.3;2.4;101.9;165.8;4.2;22.9;31.9;100;3.5;6.7;28.5;0.7;27.8;45.2;1.1;6.3;8.7
144;Insurance corporations;2010 1st quarter;383.4;12.8;26.1;107.5;;;173.1;4.5;24.9;34.5;100;3.3;6.8;28.0;;;45.1;1.2;6.5;9.0
145;Insurance corporations;2010 2nd quarter;386.2;12.7;26.6;106.8;;;172.7;8.3;24.6;34.5;100;3.3;6.9;27.6;;;44.7;2.2;6.4;8.9
146;Insurance corporations;2010 3rd quarter;403.2;12.7;28.1;109.5;;;181.1;10.9;25.4;35.5;100;3.2;7.0;27.2;;;44.9;2.7;6.3;8.8
147;Insurance corporations;2010 4th quarter;398.5;12.4;29.2;117.6;2.6;114.9;173.7;6.1;24.0;35.5;100;3.1;7.3;29.5;0.7;28.8;43.6;1.5;6.0;8.9
148;Insurance corporations;2010;398.5;12.4;29.2;117.6;2.6;114.9;173.7;6.1;24.0;35.5;100;3.1;7.3;29.5;0.7;28.8;43.6;1.5;6.0;8.9
149;Insurance corporations;2011 1st quarter;401.2;12.1;30.6;120.3;;;173.2;3.9;24.3;36.9;100;3.0;7.6;30.0;;;43.2;1.0;6.0;9.2
150;Insurance corporations;2011 2nd quarter;402.9;12.0;32.7;118.0;;;173.5;4.2;25.2;37.3;100;3.0;8.1;29.3;;;43.1;1.0;6.3;9.3
151;Insurance corporations;2011 3rd quarter;416.3;11.5;34.3;112.7;;;182.0;12.3;24.5;39.1;100;2.8;8.2;27.1;;;43.7;3.0;5.9;9.4
