ID;Geslacht;Persoonskenmerken;Beroepsniveau;BedrijfstakkenSBI2008;Perioden;BanenVanWerknemers_1;BrutoUurloon_2
51;Totaal mannen en vrouwen;Totaal persoonskenmerken;Beroepsniveau 1;O-Q Overheid en zorg;2010;129.7;13.4
52;Totaal mannen en vrouwen;Totaal persoonskenmerken;Beroepsniveau 1;O Openbaar bestuur en overheidsdiensten;2010;27.5;15.5
53;Totaal mannen en vrouwen;Totaal persoonskenmerken;Beroepsniveau 1;P Onderwijs;2010;9.8;12.1
54;Totaal mannen en vrouwen;Totaal persoonskenmerken;Beroepsniveau 1;Q Gezondheids- en welzijnszorg;2010;92.3;12.4
55;Totaal mannen en vrouwen;Totaal persoonskenmerken;Beroepsniveau 1;R-U Cultuur, recreatie, overige diensten;2010;20.2;10.1
56;Totaal mannen en vrouwen;Totaal persoonskenmerken;Beroepsniveau 1;R Cultuur, sport en recreatie;2010;11.7;10.5
57;Totaal mannen en vrouwen;Totaal persoonskenmerken;Beroepsniveau 1;S Overige dienstverlening;2010;8.5;9.8
58;Totaal mannen en vrouwen;Totaal persoonskenmerken;Beroepsniveau 2;A-U Alle economische activiteiten;2010;3471.5;16.0
59;Totaal mannen en vrouwen;Totaal persoonskenmerken;Beroepsniveau 2;A-F Landbouw en nijverheid;2010;720.7;17.5
60;Totaal mannen en vrouwen;Totaal persoonskenmerken;Beroepsniveau 2;A Landbouw, bosbouw en visserij;2010;58.8;14.4
61;Totaal mannen en vrouwen;Totaal persoonskenmerken;Beroepsniveau 2;B-F Nijverheid en energie;2010;661.9;17.7
62;Totaal mannen en vrouwen;Totaal persoonskenmerken;Beroepsniveau 2;B-E Nijverheid (geen bouw) en energie;2010;426.4;17.3
63;Totaal mannen en vrouwen;Totaal persoonskenmerken;Beroepsniveau 2;B Delfstoffenwinning;2010;0.0;0.0
64;Totaal mannen en vrouwen;Totaal persoonskenmerken;Beroepsniveau 2;C Industrie;2010;399.8;17.1
65;Totaal mannen en vrouwen;Totaal persoonskenmerken;Beroepsniveau 2;D Energievoorziening;2010;8.2;21.5
66;Totaal mannen en vrouwen;Totaal persoonskenmerken;Beroepsniveau 2;E Waterbedrijven en afvalbeheer;2010;16.3;17.9
67;Totaal mannen en vrouwen;Totaal persoonskenmerken;Beroepsniveau 2;F Bouwnijverheid;2010;235.5;18.5
68;Totaal mannen en vrouwen;Totaal persoonskenmerken;Beroepsniveau 2;G-N Commerciële dienstverlening;2010;1832.7;15.0
69;Totaal mannen en vrouwen;Totaal persoonskenmerken;Beroepsniveau 2;G-I Handel, vervoer en horeca;2010;1195.6;14.5
70;Totaal mannen en vrouwen;Totaal persoonskenmerken;Beroepsniveau 2;G Handel;2010;740.0;14.2
71;Totaal mannen en vrouwen;Totaal persoonskenmerken;Beroepsniveau 2;H Vervoer en opslag;2010;253.2;16.7
72;Totaal mannen en vrouwen;Totaal persoonskenmerken;Beroepsniveau 2;I Horeca;2010;202.4;11.6
73;Totaal mannen en vrouwen;Totaal persoonskenmerken;Beroepsniveau 2;J Informatie en communicatie;2010;41.1;17.4
74;Totaal mannen en vrouwen;Totaal persoonskenmerken;Beroepsniveau 2;K Financiële dienstverlening;2010;78.4;19.5
75;Totaal mannen en vrouwen;Totaal persoonskenmerken;Beroepsniveau 2;L Verhuur en handel van onroerend goed;2010;28.9;18.3
76;Totaal mannen en vrouwen;Totaal persoonskenmerken;Beroepsniveau 2;M-N Zakelijke dienstverlening;2010;488.6;14.7
77;Totaal mannen en vrouwen;Totaal persoonskenmerken;Beroepsniveau 2;M Specialistische zakelijke diensten;2010;120.2;17.1
78;Totaal mannen en vrouwen;Totaal persoonskenmerken;Beroepsniveau 2;N Verhuur en overige zakelijke diensten;2010;368.4;13.8
79;Totaal mannen en vrouwen;Totaal persoonskenmerken;Beroepsniveau 2;O-U Niet-commerciële dienstverlening;2010;918.1;16.6
80;Totaal mannen en vrouwen;Totaal persoonskenmerken;Beroepsniveau 2;O-Q Overheid en zorg;2010;785.2;17.0
81;Totaal mannen en vrouwen;Totaal persoonskenmerken;Beroepsniveau 2;O Openbaar bestuur en overheidsdiensten;2010;178.3;18.6
82;Totaal mannen en vrouwen;Totaal persoonskenmerken;Beroepsniveau 2;P Onderwijs;2010;87.0;16.0
83;Totaal mannen en vrouwen;Totaal persoonskenmerken;Beroepsniveau 2;Q Gezondheids- en welzijnszorg;2010;519.9;16.3
84;Totaal mannen en vrouwen;Totaal persoonskenmerken;Beroepsniveau 2;R-U Cultuur, recreatie, overige diensten;2010;132.9;14.3
85;Totaal mannen en vrouwen;Totaal persoonskenmerken;Beroepsniveau 2;R Cultuur, sport en recreatie;2010;55.7;15.0
86;Totaal mannen en vrouwen;Totaal persoonskenmerken;Beroepsniveau 2;S Overige dienstverlening;2010;77.2;14.0
87;Totaal mannen en vrouwen;Totaal persoonskenmerken;Beroepsniveau 3;A-U Alle economische activiteiten;2010;1315.2;21.9
88;Totaal mannen en vrouwen;Totaal persoonskenmerken;Beroepsniveau 3;A-F Landbouw en nijverheid;2010;225.7;23.4
89;Totaal mannen en vrouwen;Totaal persoonskenmerken;Beroepsniveau 3;A Landbouw, bosbouw en visserij;2010;5.0;19.1
90;Totaal mannen en vrouwen;Totaal persoonskenmerken;Beroepsniveau 3;B-F Nijverheid en energie;2010;220.7;23.5
91;Totaal mannen en vrouwen;Totaal persoonskenmerken;Beroepsniveau 3;B-E Nijverheid (geen bouw) en energie;2010;158.3;23.4
92;Totaal mannen en vrouwen;Totaal persoonskenmerken;Beroepsniveau 3;B Delfstoffenwinning;2010;2.6;33.1
93;Totaal mannen en vrouwen;Totaal persoonskenmerken;Beroepsniveau 3;C Industrie;2010;142.4;23.0
94;Totaal mannen en vrouwen;Totaal persoonskenmerken;Beroepsniveau 3;D Energievoorziening;2010;6.4;28.3
95;Totaal mannen en vrouwen;Totaal persoonskenmerken;Beroepsniveau 3;E Waterbedrijven en afvalbeheer;2010;7.0;23.8
96;Totaal mannen en vrouwen;Totaal persoonskenmerken;Beroepsniveau 3;F Bouwnijverheid;2010;62.5;23.6
97;Totaal mannen en vrouwen;Totaal persoonskenmerken;Beroepsniveau 3;G-N Commerciële dienstverlening;2010;534.2;22.5
98;Totaal mannen en vrouwen;Totaal persoonskenmerken;Beroepsniveau 3;G-I Handel, vervoer en horeca;2010;226.4;22.2
99;Totaal mannen en vrouwen;Totaal persoonskenmerken;Beroepsniveau 3;G Handel;2010;161.6;21.4
100;Totaal mannen en vrouwen;Totaal persoonskenmerken;Beroepsniveau 3;H Vervoer en opslag;2010;31.4;30.7
101;Totaal mannen en vrouwen;Totaal persoonskenmerken;Beroepsniveau 3;I Horeca;2010;33.4;17.2
102;Totaal mannen en vrouwen;Totaal persoonskenmerken;Beroepsniveau 3;J Informatie en communicatie;2010;29.8;24.4
103;Totaal mannen en vrouwen;Totaal persoonskenmerken;Beroepsniveau 3;K Financiële dienstverlening;2010;62.4;26.2
104;Totaal mannen en vrouwen;Totaal persoonskenmerken;Beroepsniveau 3;L Verhuur en handel van onroerend goed;2010;20.1;26.9
105;Totaal mannen en vrouwen;Totaal persoonskenmerken;Beroepsniveau 3;M-N Zakelijke dienstverlening;2010;195.4;20.8
106;Totaal mannen en vrouwen;Totaal persoonskenmerken;Beroepsniveau 3;M Specialistische zakelijke diensten;2010;114.1;22.2
107;Totaal mannen en vrouwen;Totaal persoonskenmerken;Beroepsniveau 3;N Verhuur en overige zakelijke diensten;2010;81.4;18.6
108;Totaal mannen en vrouwen;Totaal persoonskenmerken;Beroepsniveau 3;O-U Niet-commerciële dienstverlening;2010;555.2;20.3
109;Totaal mannen en vrouwen;Totaal persoonskenmerken;Beroepsniveau 3;O-Q Overheid en zorg;2010;510.1;20.3
110;Totaal mannen en vrouwen;Totaal persoonskenmerken;Beroepsniveau 3;O Openbaar bestuur en overheidsdiensten;2010;107.4;23.0
111;Totaal mannen en vrouwen;Totaal persoonskenmerken;Beroepsniveau 3;P Onderwijs;2010;21.8;21.4
112;Totaal mannen en vrouwen;Totaal persoonskenmerken;Beroepsniveau 3;Q Gezondheids- en welzijnszorg;2010;380.9;19.2
113;Totaal mannen en vrouwen;Totaal persoonskenmerken;Beroepsniveau 3;R-U Cultuur, recreatie, overige diensten;2010;45.1;20.2
114;Totaal mannen en vrouwen;Totaal persoonskenmerken;Beroepsniveau 3;R Cultuur, sport en recreatie;2010;30.5;19.7
115;Totaal mannen en vrouwen;Totaal persoonskenmerken;Beroepsniveau 3;S Overige dienstverlening;2010;14.6;21.1
116;Totaal mannen en vrouwen;Totaal persoonskenmerken;Beroepsniveau 4;A-U Alle economische activiteiten;2010;1793.9;28.8
117;Totaal mannen en vrouwen;Totaal persoonskenmerken;Beroepsniveau 4;A-F Landbouw en nijverheid;2010;166.8;31.5
118;Totaal mannen en vrouwen;Totaal persoonskenmerken;Beroepsniveau 4;A Landbouw, bosbouw en visserij;2010;4.7;26.9
119;Totaal mannen en vrouwen;Totaal persoonskenmerken;Beroepsniveau 4;B-F Nijverheid en energie;2010;162.0;31.6
120;Totaal mannen en vrouwen;Totaal persoonskenmerken;Beroepsniveau 4;B-E Nijverheid (geen bouw) en energie;2010;129.3;32.0
121;Totaal mannen en vrouwen;Totaal persoonskenmerken;Beroepsniveau 4;B Delfstoffenwinning;2010;0.0;0.0
122;Totaal mannen en vrouwen;Totaal persoonskenmerken;Beroepsniveau 4;C Industrie;2010;112.1;31.9
123;Totaal mannen en vrouwen;Totaal persoonskenmerken;Beroepsniveau 4;D Energievoorziening;2010;7.1;33.2
124;Totaal mannen en vrouwen;Totaal persoonskenmerken;Beroepsniveau 4;E Waterbedrijven en afvalbeheer;2010;7.6;29.4
125;Totaal mannen en vrouwen;Totaal persoonskenmerken;Beroepsniveau 4;F Bouwnijverheid;2010;32.7;30.0
126;Totaal mannen en vrouwen;Totaal persoonskenmerken;Beroepsniveau 4;G-N Commerciële dienstverlening;2010;656.4;29.5
127;Totaal mannen en vrouwen;Totaal persoonskenmerken;Beroepsniveau 4;G-I Handel, vervoer en horeca;2010;152.1;29.1
128;Totaal mannen en vrouwen;Totaal persoonskenmerken;Beroepsniveau 4;G Handel;2010;107.9;29.5
129;Totaal mannen en vrouwen;Totaal persoonskenmerken;Beroepsniveau 4;H Vervoer en opslag;2010;32.8;29.9
130;Totaal mannen en vrouwen;Totaal persoonskenmerken;Beroepsniveau 4;I Horeca;2010;11.4;20.4
131;Totaal mannen en vrouwen;Totaal persoonskenmerken;Beroepsniveau 4;J Informatie en communicatie;2010;133.6;27.4
132;Totaal mannen en vrouwen;Totaal persoonskenmerken;Beroepsniveau 4;K Financiële dienstverlening;2010;93.8;35.4
133;Totaal mannen en vrouwen;Totaal persoonskenmerken;Beroepsniveau 4;L Verhuur en handel van onroerend goed;2010;11.1;33.2
134;Totaal mannen en vrouwen;Totaal persoonskenmerken;Beroepsniveau 4;M-N Zakelijke dienstverlening;2010;265.8;28.6
135;Totaal mannen en vrouwen;Totaal persoonskenmerken;Beroepsniveau 4;M Specialistische zakelijke diensten;2010;178.2;30.5
136;Totaal mannen en vrouwen;Totaal persoonskenmerken;Beroepsniveau 4;N Verhuur en overige zakelijke diensten;2010;87.6;24.1
137;Totaal mannen en vrouwen;Totaal persoonskenmerken;Beroepsniveau 4;O-U Niet-commerciële dienstverlening;2010;970.7;27.5
138;Totaal mannen en vrouwen;Totaal persoonskenmerken;Beroepsniveau 4;O-Q Overheid en zorg;2010;897.0;27.6
139;Totaal mannen en vrouwen;Totaal persoonskenmerken;Beroepsniveau 4;O Openbaar bestuur en overheidsdiensten;2010;201.5;29.1
140;Totaal mannen en vrouwen;Totaal persoonskenmerken;Beroepsniveau 4;P Onderwijs;2010;393.8;26.5
141;Totaal mannen en vrouwen;Totaal persoonskenmerken;Beroepsniveau 4;Q Gezondheids- en welzijnszorg;2010;301.7;27.7
142;Totaal mannen en vrouwen;Totaal persoonskenmerken;Beroepsniveau 4;R-U Cultuur, recreatie, overige diensten;2010;73.7;26.5
143;Totaal mannen en vrouwen;Totaal persoonskenmerken;Beroepsniveau 4;R Cultuur, sport en recreatie;2010;30.0;24.5
144;Totaal mannen en vrouwen;Totaal persoonskenmerken;Beroepsniveau 4;S Overige dienstverlening;2010;43.7;27.6
145;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;Totaal;A-U Alle economische activiteiten;2010;1319.8;10.5
146;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;Totaal;A-F Landbouw en nijverheid;2010;135.7;11.1
147;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;Totaal;A Landbouw, bosbouw en visserij;2010;28.1;9.3
148;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;Totaal;B-F Nijverheid en energie;2010;107.6;11.4
149;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;Totaal;B-E Nijverheid (geen bouw) en energie;2010;63.6;10.6
150;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;Totaal;B Delfstoffenwinning;2010;0.0;0.0
151;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;Totaal;C Industrie;2010;61.1;10.5
152;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;Totaal;D Energievoorziening;2010;0.0;0.0
153;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;Totaal;E Waterbedrijven en afvalbeheer;2010;0.0;0.0
154;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;Totaal;F Bouwnijverheid;2010;44.0;12.3
155;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;Totaal;G-N Commerciële dienstverlening;2010;864.7;9.8
156;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;Totaal;G-I Handel, vervoer en horeca;2010;583.7;9.1
157;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;Totaal;G Handel;2010;387.6;9.1
158;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;Totaal;H Vervoer en opslag;2010;41.4;11.1
159;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;Totaal;I Horeca;2010;154.7;8.2
160;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;Totaal;J Informatie en communicatie;2010;19.4;10.9
161;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;Totaal;K Financiële dienstverlening;2010;10.8;12.9
162;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;Totaal;L Verhuur en handel van onroerend goed;2010;6.8;10.4
163;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;Totaal;M-N Zakelijke dienstverlening;2010;244.0;10.9
164;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;Totaal;M Specialistische zakelijke diensten;2010;51.6;11.1
165;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;Totaal;N Verhuur en overige zakelijke diensten;2010;192.4;10.9
166;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;Totaal;O-U Niet-commerciële dienstverlening;2010;319.4;11.8
167;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;Totaal;O-Q Overheid en zorg;2010;255.1;12.3
168;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;Totaal;O Openbaar bestuur en overheidsdiensten;2010;32.6;11.5
169;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;Totaal;P Onderwijs;2010;39.9;13.2
170;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;Totaal;Q Gezondheids- en welzijnszorg;2010;182.6;12.3
171;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;Totaal;R-U Cultuur, recreatie, overige diensten;2010;64.3;9.6
172;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;Totaal;R Cultuur, sport en recreatie;2010;33.2;9.8
173;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;Totaal;S Overige dienstverlening;2010;31.1;9.5
174;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;Beroepsniveau 1;A-U Alle economische activiteiten;2010;317.4;8.6
175;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;Beroepsniveau 1;A-F Landbouw en nijverheid;2010;24.5;8.7
176;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;Beroepsniveau 1;A Landbouw, bosbouw en visserij;2010;6.3;8.4
177;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;Beroepsniveau 1;B-F Nijverheid en energie;2010;18.2;8.8
178;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;Beroepsniveau 1;B-E Nijverheid (geen bouw) en energie;2010;12.9;8.8
179;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;Beroepsniveau 1;B Delfstoffenwinning;2010;0.0;0.0
180;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;Beroepsniveau 1;C Industrie;2010;12.5;8.8
181;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;Beroepsniveau 1;D Energievoorziening;2010;0.0;0.0
182;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;Beroepsniveau 1;E Waterbedrijven en afvalbeheer;2010;0.0;0.0
183;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;Beroepsniveau 1;F Bouwnijverheid;2010;5.4;8.9
184;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;Beroepsniveau 1;G-N Commerciële dienstverlening;2010;240.7;8.3
185;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;Beroepsniveau 1;G-I Handel, vervoer en horeca;2010;177.1;7.8
186;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;Beroepsniveau 1;G Handel;2010;124.7;8.0
187;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;Beroepsniveau 1;H Vervoer en opslag;2010;11.1;9.5
188;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;Beroepsniveau 1;I Horeca;2010;41.2;6.6
189;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;Beroepsniveau 1;J Informatie en communicatie;2010;2.7;7.5
190;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;Beroepsniveau 1;K Financiële dienstverlening;2010;0.0;0.0
191;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;Beroepsniveau 1;L Verhuur en handel van onroerend goed;2010;0.0;0.0
192;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;Beroepsniveau 1;M-N Zakelijke dienstverlening;2010;58.5;9.6
193;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;Beroepsniveau 1;M Specialistische zakelijke diensten;2010;7.5;8.5
194;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;Beroepsniveau 1;N Verhuur en overige zakelijke diensten;2010;51.0;9.8
195;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;Beroepsniveau 1;O-U Niet-commerciële dienstverlening;2010;52.1;9.2
196;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;Beroepsniveau 1;O-Q Overheid en zorg;2010;40.8;9.7
197;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;Beroepsniveau 1;O Openbaar bestuur en overheidsdiensten;2010;12.0;10.9
198;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;Beroepsniveau 1;P Onderwijs;2010;3.8;9.5
199;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;Beroepsniveau 1;Q Gezondheids- en welzijnszorg;2010;25.0;8.5
200;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;Beroepsniveau 1;R-U Cultuur, recreatie, overige diensten;2010;11.3;7.0
201;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;Beroepsniveau 1;R Cultuur, sport en recreatie;2010;7.1;6.9
202;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;Beroepsniveau 1;S Overige dienstverlening;2010;4.3;7.1
203;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;Beroepsniveau 2;A-U Alle economische activiteiten;2010;824.7;10.3
204;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;Beroepsniveau 2;A-F Landbouw en nijverheid;2010;99.7;11.1
205;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;Beroepsniveau 2;A Landbouw, bosbouw en visserij;2010;20.5;9.2
206;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;Beroepsniveau 2;B-F Nijverheid en energie;2010;79.1;11.5
207;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;Beroepsniveau 2;B-E Nijverheid (geen bouw) en energie;2010;43.7;10.3
208;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;Beroepsniveau 2;B Delfstoffenwinning;2010;0.0;0.0
209;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;Beroepsniveau 2;C Industrie;2010;42.1;10.3
210;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;Beroepsniveau 2;D Energievoorziening;2010;0.0;0.0
211;Totaal mannen en vrouwen;Leeftijd: 15 tot 25 jaar;Beroepsniveau 2;E Waterbedrijven en afvalbeheer;2010;0.0;0.0
