ID;Characteristics;CaribbeanNetherlands;Periods;Households_1;PersonsWithIncomePerHousehold_2;DisposableIncomeMean_3;DisposableIncomeMedian_4;EquivalisedIncomeMean_5;EquivalisedIncomeMedian_6
36;Private households;Saba;2011;550.0;1.6;28.5;22.3;19.4;15.2
37;Private households;Saba;2012;600.0;1.5;30.5;24.7;21.0;17.1
38;Private households;Saba;2013;600.0;1.5;30.1;23.8;21.0;17.0
39;Private households;Saba;2014;650.0;1.5;30.6;25.1;21.3;17.7
40;Private households;Saba;2015;700.0;1.5;31.4;25.4;21.8;17.8
41;Private households;Saba;2016;700.0;1.5;31.8;25.7;22.2;18.2
42;Private households;Saba;2017;750.0;1.5;32.7;26.2;22.8;19.0
43;Private households;Saba;2018;750.0;1.6;34.2;27.8;23.9;20.0
44;Private households;Saba;2019;750.0;1.5;35.5;27.9;25.2;21.0
45;Private households;Saba;2020;750.0;1.5;36.6;29.7;26.1;21.6
46;Private households;Saba;2021;750.0;1.5;37.3;30.7;26.7;22.3
47;Private households;Saba;2022;800.0;1.6;38.9;31.6;27.9;23.8
48;Type: Single person household;Caribbean Netherlands;2011;2350.0;1.0;17.5;12.9;17.5;12.9
49;Type: Single person household;Caribbean Netherlands;2012;2600.0;1.0;18.3;13.7;18.3;13.7
50;Type: Single person household;Caribbean Netherlands;2013;2800.0;1.0;18.4;14.3;18.4;14.3
51;Type: Single person household;Caribbean Netherlands;2014;2950.0;1.0;19.1;14.5;19.1;14.5
52;Type: Single person household;Caribbean Netherlands;2015;3050.0;1.0;19.4;14.5;19.4;14.5
53;Type: Single person household;Caribbean Netherlands;2016;3200.0;1.0;20.3;15.7;20.3;15.7
54;Type: Single person household;Caribbean Netherlands;2017;3500.0;1.0;20.6;15.9;20.6;15.9
55;Type: Single person household;Caribbean Netherlands;2018;3700.0;1.0;20.4;15.7;20.4;15.7
56;Type: Single person household;Caribbean Netherlands;2019;3950.0;1.0;20.9;15.9;20.9;15.9
57;Type: Single person household;Caribbean Netherlands;2020;4200.0;1.0;21.2;16.2;21.2;16.2
58;Type: Single person household;Caribbean Netherlands;2021;4350.0;1.0;21.4;16.2;21.4;16.2
59;Type: Single person household;Caribbean Netherlands;2022;4700.0;1.0;22.2;16.8;22.2;16.8
60;Type: Single person household;Bonaire;2011;1850.0;1.0;16.9;12.7;16.9;12.7
61;Type: Single person household;Bonaire;2012;2050.0;1.0;17.4;13.2;17.4;13.2
62;Type: Single person household;Bonaire;2013;2250.0;1.0;17.5;13.8;17.5;13.8
63;Type: Single person household;Bonaire;2014;2350.0;1.0;18.5;14.1;18.5;14.1
64;Type: Single person household;Bonaire;2015;2350.0;1.0;18.4;14.2;18.4;14.2
65;Type: Single person household;Bonaire;2016;2500.0;1.0;19.4;15.1;19.4;15.1
66;Type: Single person household;Bonaire;2017;2700.0;1.0;19.2;15.1;19.2;15.1
67;Type: Single person household;Bonaire;2018;2850.0;1.0;19.1;15.1;19.1;15.1
68;Type: Single person household;Bonaire;2019;3100.0;1.0;19.7;15.4;19.7;15.4
69;Type: Single person household;Bonaire;2020;3350.0;1.0;20.3;15.7;20.3;15.7
70;Type: Single person household;Bonaire;2021;3450.0;1.0;20.3;15.6;20.3;15.6
71;Type: Single person household;Bonaire;2022;3750.0;1.0;21.1;16.2;21.1;16.2
72;Type: Single person household;St. Eustatius;2011;300.0;1.0;21.2;15.5;21.2;15.5
73;Type: Single person household;St. Eustatius;2012;350.0;1.0;22.8;17.6;22.8;17.6
74;Type: Single person household;St. Eustatius;2013;350.0;1.0;22.4;17.2;22.4;17.2
75;Type: Single person household;St. Eustatius;2014;350.0;1.0;22.8;17.7;22.8;17.7
76;Type: Single person household;St. Eustatius;2015;400.0;1.0;24.0;18.1;24.0;18.1
77;Type: Single person household;St. Eustatius;2016;450.0;1.0;24.4;18.8;24.4;18.8
78;Type: Single person household;St. Eustatius;2017;550.0;1.0;26.9;20.6;26.9;20.6
79;Type: Single person household;St. Eustatius;2018;550.0;1.0;26.2;18.9;26.2;18.9
80;Type: Single person household;St. Eustatius;2019;550.0;1.0;26.1;18.8;26.1;18.8
81;Type: Single person household;St. Eustatius;2020;500.0;1.0;24.8;18.6;24.8;18.6
82;Type: Single person household;St. Eustatius;2021;550.0;1.0;25.2;18.2;25.2;18.2
83;Type: Single person household;St. Eustatius;2022;600.0;1.0;26.4;19.4;26.4;19.4
84;Type: Single person household;Saba;2011;200.0;1.0;17.9;12.4;17.9;12.4
85;Type: Single person household;Saba;2012;200.0;1.0;19.9;15.7;19.9;15.7
86;Type: Single person household;Saba;2013;250.0;1.0;20.1;16.1;20.1;16.1
87;Type: Single person household;Saba;2014;250.0;1.0;19.8;16.1;19.8;16.1
88;Type: Single person household;Saba;2015;250.0;1.0;20.5;15.9;20.5;15.9
89;Type: Single person household;Saba;2016;250.0;1.0;21.6;16.9;21.6;16.9
90;Type: Single person household;Saba;2017;250.0;1.0;22.4;17.5;22.4;17.5
91;Type: Single person household;Saba;2018;300.0;1.0;22.4;18.0;22.4;18.0
92;Type: Single person household;Saba;2019;350.0;1.0;22.8;18.1;22.8;18.1
93;Type: Single person household;Saba;2020;350.0;1.0;25.0;19.3;25.0;19.3
94;Type: Single person household;Saba;2021;350.0;1.0;26.7;20.3;26.7;20.3
95;Type: Single person household;Saba;2022;350.0;1.0;27.0;21.3;27.0;21.3
96;Type: Multi person household;Caribbean Netherlands;2011;5000.0;2.0;35.4;29.0;20.0;16.5
97;Type: Multi person household;Caribbean Netherlands;2012;5100.0;2.0;37.0;30.4;20.8;17.3
98;Type: Multi person household;Caribbean Netherlands;2013;5450.0;2.0;37.3;30.8;21.2;17.6
99;Type: Multi person household;Caribbean Netherlands;2014;5650.0;2.0;38.5;31.6;22.0;18.2
100;Type: Multi person household;Caribbean Netherlands;2015;5850.0;2.0;39.7;32.1;22.7;18.6
101;Type: Multi person household;Caribbean Netherlands;2016;6050.0;2.0;40.0;32.5;23.0;19.0
102;Type: Multi person household;Caribbean Netherlands;2017;6250.0;2.0;41.3;33.5;24.0;19.8
103;Type: Multi person household;Caribbean Netherlands;2018;6450.0;2.0;42.1;34.4;24.5;20.0
104;Type: Multi person household;Caribbean Netherlands;2019;6600.0;2.0;44.0;36.0;25.8;21.1
105;Type: Multi person household;Caribbean Netherlands;2020;6750.0;2.0;44.4;36.5;25.9;21.4
106;Type: Multi person household;Caribbean Netherlands;2021;7000.0;2.0;44.9;36.7;26.2;21.6
107;Type: Multi person household;Caribbean Netherlands;2022;7300.0;2.0;46.0;37.8;26.9;22.3
108;Type: Multi person household;Bonaire;2011;3950.0;2.1;35.3;29.2;20.0;16.6
109;Type: Multi person household;Bonaire;2012;4100.0;2.1;36.6;30.2;20.7;17.1
110;Type: Multi person household;Bonaire;2013;4350.0;2.1;37.0;30.7;21.0;17.5
111;Type: Multi person household;Bonaire;2014;4500.0;2.0;38.2;31.1;21.8;18.0
112;Type: Multi person household;Bonaire;2015;4650.0;2.1;39.2;31.8;22.3;18.4
113;Type: Multi person household;Bonaire;2016;4850.0;2.1;40.1;32.5;23.0;19.1
114;Type: Multi person household;Bonaire;2017;5050.0;2.1;41.2;33.4;23.9;19.6
115;Type: Multi person household;Bonaire;2018;5250.0;2.1;41.6;34.0;24.2;19.9
116;Type: Multi person household;Bonaire;2019;5400.0;2.1;43.3;35.6;25.3;20.6
117;Type: Multi person household;Bonaire;2020;5550.0;2.1;43.7;35.9;25.4;21.0
118;Type: Multi person household;Bonaire;2021;5750.0;2.1;44.6;36.2;26.0;21.4
119;Type: Multi person household;Bonaire;2022;6050.0;2.0;45.6;37.3;26.6;21.9
120;Type: Multi person household;St. Eustatius;2011;650.0;1.8;37.0;28.8;20.2;15.9
121;Type: Multi person household;St. Eustatius;2012;650.0;1.8;39.8;31.8;21.4;17.7
122;Type: Multi person household;St. Eustatius;2013;700.0;1.8;40.1;32.3;22.2;18.3
123;Type: Multi person household;St. Eustatius;2014;750.0;1.8;41.3;32.7;23.0;18.8
124;Type: Multi person household;St. Eustatius;2015;700.0;1.8;44.2;35.0;25.4;20.2
125;Type: Multi person household;St. Eustatius;2016;750.0;1.7;41.0;32.2;23.6;18.9
126;Type: Multi person household;St. Eustatius;2017;750.0;1.8;44.1;35.3;25.3;20.7
127;Type: Multi person household;St. Eustatius;2018;750.0;1.9;45.5;35.9;26.5;21.1
128;Type: Multi person household;St. Eustatius;2019;800.0;1.9;48.2;38.7;28.2;22.7
129;Type: Multi person household;St. Eustatius;2020;800.0;1.9;49.1;39.8;28.7;23.3
130;Type: Multi person household;St. Eustatius;2021;800.0;1.9;46.9;39.3;27.2;22.5
131;Type: Multi person household;St. Eustatius;2022;800.0;1.9;47.7;38.7;27.7;23.1
132;Type: Multi person household;Saba;2011;350.0;1.9;34.0;28.4;20.2;16.4
133;Type: Multi person household;Saba;2012;400.0;1.8;36.6;30.7;21.7;18.2
134;Type: Multi person household;Saba;2013;400.0;1.8;35.8;30.1;21.5;17.9
135;Type: Multi person household;Saba;2014;400.0;1.8;37.4;32.1;22.3;19.3
136;Type: Multi person household;Saba;2015;450.0;1.9;37.8;30.8;22.6;18.7
137;Type: Multi person household;Saba;2016;450.0;1.9;37.6;31.9;22.5;18.8
138;Type: Multi person household;Saba;2017;450.0;1.9;38.5;32.6;23.0;19.8
139;Type: Multi person household;Saba;2018;450.0;1.9;41.9;35.7;24.9;21.2
140;Type: Multi person household;Saba;2019;400.0;1.9;45.4;39.9;27.0;23.1
141;Type: Multi person household;Saba;2020;400.0;1.9;46.0;40.4;27.0;23.2
142;Type: Multi person household;Saba;2021;450.0;1.9;45.2;41.2;26.8;23.6
143;Type: Multi person household;Saba;2022;450.0;2.0;48.3;43.7;28.7;25.4
144;Type: One-parent family;Caribbean Netherlands;2011;800.0;1.5;22.7;19.3;14.4;12.4
145;Type: One-parent family;Caribbean Netherlands;2012;800.0;1.5;22.6;19.5;14.5;12.3
146;Type: One-parent family;Caribbean Netherlands;2013;850.0;1.5;23.1;19.7;14.7;12.7
147;Type: One-parent family;Caribbean Netherlands;2014;850.0;1.5;24.5;21.1;15.6;13.4
148;Type: One-parent family;Caribbean Netherlands;2015;950.0;1.5;25.8;21.8;16.6;13.9
149;Type: One-parent family;Caribbean Netherlands;2016;1050.0;1.5;25.2;21.5;16.1;13.4
150;Type: One-parent family;Caribbean Netherlands;2017;1150.0;1.5;26.8;22.3;17.1;13.9
151;Type: One-parent family;Caribbean Netherlands;2018;1250.0;1.5;26.9;23.2;17.1;14.5
152;Type: One-parent family;Caribbean Netherlands;2019;1300.0;1.5;28.2;24.0;18.1;15.3
153;Type: One-parent family;Caribbean Netherlands;2020;1350.0;1.5;29.8;25.0;19.1;15.7
154;Type: One-parent family;Caribbean Netherlands;2021;1450.0;1.5;29.4;25.0;18.8;16.0
155;Type: One-parent family;Caribbean Netherlands;2022;1600.0;1.5;30.7;25.7;19.6;16.6
156;Type: One-parent family;Bonaire;2011;650.0;1.5;22.4;19.4;14.3;12.4
157;Type: One-parent family;Bonaire;2012;650.0;1.5;21.8;19.2;13.9;12.1
158;Type: One-parent family;Bonaire;2013;650.0;1.5;22.3;19.7;14.2;12.7
159;Type: One-parent family;Bonaire;2014;700.0;1.5;23.4;20.3;14.9;13.0
160;Type: One-parent family;Bonaire;2015;700.0;1.5;24.9;21.3;16.1;13.6
161;Type: One-parent family;Bonaire;2016;800.0;1.5;24.6;21.2;15.7;13.2
162;Type: One-parent family;Bonaire;2017;850.0;1.5;26.6;21.9;17.1;13.7
163;Type: One-parent family;Bonaire;2018;900.0;1.6;26.5;23.0;16.8;14.5
164;Type: One-parent family;Bonaire;2019;950.0;1.5;27.3;23.8;17.5;15.1
165;Type: One-parent family;Bonaire;2020;1000.0;1.5;29.3;24.5;18.8;15.5
166;Type: One-parent family;Bonaire;2021;1100.0;1.5;28.8;24.7;18.4;15.8
167;Type: One-parent family;Bonaire;2022;1250.0;1.5;30.3;25.2;19.4;16.3
168;Type: One-parent family;St. Eustatius;2011;100.0;1.4;24.0;19.3;15.2;12.7
169;Type: One-parent family;St. Eustatius;2012;100.0;1.3;24.9;20.9;15.8;12.7
170;Type: One-parent family;St. Eustatius;2013;150.0;1.4;26.2;18.3;16.2;11.8
171;Type: One-parent family;St. Eustatius;2014;100.0;1.4;28.6;24.4;17.7;15.2
172;Type: One-parent family;St. Eustatius;2015;150.0;1.4;28.9;23.3;18.3;14.5
173;Type: One-parent family;St. Eustatius;2016;200.0;1.3;25.5;21.4;16.4;12.5
174;Type: One-parent family;St. Eustatius;2017;250.0;1.3;26.7;23.0;16.9;14.1
175;Type: One-parent family;St. Eustatius;2018;250.0;1.4;27.4;23.4;17.5;14.3
176;Type: One-parent family;St. Eustatius;2019;250.0;1.4;30.2;23.5;19.6;14.8
177;Type: One-parent family;St. Eustatius;2020;250.0;1.4;31.2;25.2;20.1;15.3
178;Type: One-parent family;St. Eustatius;2021;250.0;1.4;31.3;26.9;19.9;16.6
179;Type: One-parent family;St. Eustatius;2022;250.0;1.4;31.8;27.0;20.1;17.4
180;Type: One-parent family;Saba;2011;50.0;;;;;
181;Type: One-parent family;Saba;2012;50.0;;;;;
182;Type: One-parent family;Saba;2013;50.0;;;;;
183;Type: One-parent family;Saba;2014;50.0;;;;;
184;Type: One-parent family;Saba;2015;50.0;;;;;
185;Type: One-parent family;Saba;2016;50.0;;;;;
186;Type: One-parent family;Saba;2017;100.0;;;;;
187;Type: One-parent family;Saba;2018;100.0;;;;;
188;Type: One-parent family;Saba;2019;100.0;;;;;
189;Type: One-parent family;Saba;2020;100.0;;;;;
190;Type: One-parent family;Saba;2021;100.0;;;;;
191;Type: One-parent family;Saba;2022;100.0;1.7;32.5;29.4;20.8;17.8
192;Type: One-parent, all children < 18 yrs;Caribbean Netherlands;2011;400.0;1.1;18.9;16.0;12.0;10.2
193;Type: One-parent, all children < 18 yrs;Caribbean Netherlands;2012;400.0;1.1;19.0;17.1;12.1;10.7
194;Type: One-parent, all children < 18 yrs;Caribbean Netherlands;2013;400.0;1.1;18.3;17.1;11.7;10.4
195;Type: One-parent, all children < 18 yrs;Caribbean Netherlands;2014;450.0;1.0;19.4;16.5;12.3;10.5
196;Type: One-parent, all children < 18 yrs;Caribbean Netherlands;2015;450.0;1.1;20.0;18.8;12.7;11.8
197;Type: One-parent, all children < 18 yrs;Caribbean Netherlands;2016;550.0;1.1;19.1;17.7;12.1;11.0
198;Type: One-parent, all children < 18 yrs;Caribbean Netherlands;2017;550.0;1.1;20.4;18.1;13.0;11.7
199;Type: One-parent, all children < 18 yrs;Caribbean Netherlands;2018;600.0;1.1;20.9;18.7;13.2;12.2
200;Type: One-parent, all children < 18 yrs;Caribbean Netherlands;2019;650.0;1.1;22.1;19.3;14.1;12.4
201;Type: One-parent, all children < 18 yrs;Caribbean Netherlands;2020;650.0;1.1;23.8;21.6;15.2;13.8
202;Type: One-parent, all children < 18 yrs;Caribbean Netherlands;2021;750.0;1.1;24.4;21.3;15.7;13.6
203;Type: One-parent, all children < 18 yrs;Caribbean Netherlands;2022;800.0;1.1;25.1;22.4;16.0;13.9
204;Type: One-parent, all children < 18 yrs;Bonaire;2011;300.0;1.1;19.0;15.9;11.9;10.2
205;Type: One-parent, all children < 18 yrs;Bonaire;2012;300.0;1.1;18.4;16.6;11.7;10.0
206;Type: One-parent, all children < 18 yrs;Bonaire;2013;300.0;1.1;18.0;17.1;11.5;10.4
207;Type: One-parent, all children < 18 yrs;Bonaire;2014;350.0;1.1;18.9;15.6;12.0;10.1
208;Type: One-parent, all children < 18 yrs;Bonaire;2015;350.0;1.1;19.7;18.5;12.6;11.8
209;Type: One-parent, all children < 18 yrs;Bonaire;2016;400.0;1.1;18.7;17.3;11.8;10.7
210;Type: One-parent, all children < 18 yrs;Bonaire;2017;400.0;1.1;20.5;17.9;13.0;11.6
211;Type: One-parent, all children < 18 yrs;Bonaire;2018;400.0;1.1;20.9;18.4;13.1;12.2
212;Type: One-parent, all children < 18 yrs;Bonaire;2019;500.0;1.1;22.1;19.3;14.1;12.5
213;Type: One-parent, all children < 18 yrs;Bonaire;2020;500.0;1.1;24.1;22.4;15.4;14.0
214;Type: One-parent, all children < 18 yrs;Bonaire;2021;550.0;1.1;24.7;21.0;15.8;13.5
215;Type: One-parent, all children < 18 yrs;Bonaire;2022;650.0;1.1;25.1;22.1;16.1;13.8
216;Type: One-parent, all children < 18 yrs;St. Eustatius;2011;50.0;;;;;
217;Type: One-parent, all children < 18 yrs;St. Eustatius;2012;50.0;;;;;
218;Type: One-parent, all children < 18 yrs;St. Eustatius;2013;50.0;;;;;
219;Type: One-parent, all children < 18 yrs;St. Eustatius;2014;50.0;;;;;
220;Type: One-parent, all children < 18 yrs;St. Eustatius;2015;100.0;;;;;
221;Type: One-parent, all children < 18 yrs;St. Eustatius;2016;100.0;1.0;17.9;16.5;11.5;10.7
222;Type: One-parent, all children < 18 yrs;St. Eustatius;2017;150.0;1.0;19.9;18.5;12.7;12.0
223;Type: One-parent, all children < 18 yrs;St. Eustatius;2018;150.0;1.1;20.6;19.2;13.0;11.9
224;Type: One-parent, all children < 18 yrs;St. Eustatius;2019;150.0;1.1;20.9;18.8;13.3;11.4
225;Type: One-parent, all children < 18 yrs;St. Eustatius;2020;100.0;1.0;22.5;20.7;14.1;12.6
226;Type: One-parent, all children < 18 yrs;St. Eustatius;2021;150.0;1.0;24.1;22.1;15.4;14.1
227;Type: One-parent, all children < 18 yrs;St. Eustatius;2022;150.0;1.0;25.3;22.9;16.0;14.9
228;Type: One-parent, all children < 18 yrs;Saba;2011;50.0;;;;;
229;Type: One-parent, all children < 18 yrs;Saba;2012;50.0;;;;;
230;Type: One-parent, all children < 18 yrs;Saba;2013;50.0;;;;;
231;Type: One-parent, all children < 18 yrs;Saba;2014;50.0;;;;;
232;Type: One-parent, all children < 18 yrs;Saba;2015;50.0;;;;;
233;Type: One-parent, all children < 18 yrs;Saba;2016;50.0;;;;;
234;Type: One-parent, all children < 18 yrs;Saba;2017;50.0;;;;;
235;Type: One-parent, all children < 18 yrs;Saba;2018;50.0;;;;;
236;Type: One-parent, all children < 18 yrs;Saba;2019;50.0;;;;;
237;Type: One-parent, all children < 18 yrs;Saba;2020;50.0;;;;;
238;Type: One-parent, all children < 18 yrs;Saba;2021;50.0;;;;;
239;Type: One-parent, all children < 18 yrs;Saba;2022;50.0;;;;;
240;Type: One-parent, at least 1 child >= 18;Caribbean Netherlands;2011;400.0;1.9;26.5;23.4;16.8;14.9
241;Type: One-parent, at least 1 child >= 18;Caribbean Netherlands;2012;400.0;1.9;26.6;22.4;17.0;15.1
242;Type: One-parent, at least 1 child >= 18;Caribbean Netherlands;2013;400.0;1.9;28.0;23.2;17.7;15.2
243;Type: One-parent, at least 1 child >= 18;Caribbean Netherlands;2014;450.0;1.9;29.4;25.8;18.7;16.8
244;Type: One-parent, at least 1 child >= 18;Caribbean Netherlands;2015;500.0;1.9;31.1;25.4;20.0;16.5
245;Type: One-parent, at least 1 child >= 18;Caribbean Netherlands;2016;500.0;1.9;31.7;26.9;20.4;16.9
246;Type: One-parent, at least 1 child >= 18;Caribbean Netherlands;2017;600.0;1.9;33.1;27.6;21.2;17.4
247;Type: One-parent, at least 1 child >= 18;Caribbean Netherlands;2018;600.0;2.0;32.6;28.0;20.8;17.7
248;Type: One-parent, at least 1 child >= 18;Caribbean Netherlands;2019;650.0;1.9;34.3;29.2;22.1;18.6
249;Type: One-parent, at least 1 child >= 18;Caribbean Netherlands;2020;700.0;1.9;35.5;28.7;22.9;18.8
250;Type: One-parent, at least 1 child >= 18;Caribbean Netherlands;2021;700.0;1.9;34.5;29.2;22.0;18.8
251;Type: One-parent, at least 1 child >= 18;Caribbean Netherlands;2022;800.0;1.9;36.5;31.1;23.4;20.3
252;Type: One-parent, at least 1 child >= 18;Bonaire;2011;300.0;1.9;25.8;23.4;16.6;15.0
253;Type: One-parent, at least 1 child >= 18;Bonaire;2012;300.0;1.9;25.4;21.9;16.3;14.8
254;Type: One-parent, at least 1 child >= 18;Bonaire;2013;300.0;1.9;26.6;23.1;16.9;15.2
255;Type: One-parent, at least 1 child >= 18;Bonaire;2014;350.0;1.9;27.9;25.2;17.8;16.2
256;Type: One-parent, at least 1 child >= 18;Bonaire;2015;400.0;1.9;29.4;24.6;19.1;15.6
257;Type: One-parent, at least 1 child >= 18;Bonaire;2016;400.0;1.9;30.6;26.6;19.7;16.3
258;Type: One-parent, at least 1 child >= 18;Bonaire;2017;450.0;2.0;32.3;26.6;20.8;16.7
259;Type: One-parent, at least 1 child >= 18;Bonaire;2018;500.0;2.0;31.4;26.6;19.9;17.1
260;Type: One-parent, at least 1 child >= 18;Bonaire;2019;500.0;2.0;32.4;28.2;20.9;17.9
261;Type: One-parent, at least 1 child >= 18;Bonaire;2020;500.0;2.0;34.1;27.9;22.0;17.9
262;Type: One-parent, at least 1 child >= 18;Bonaire;2021;550.0;1.9;33.0;27.8;21.1;18.0
263;Type: One-parent, at least 1 child >= 18;Bonaire;2022;600.0;1.9;35.6;29.7;22.9;19.4
264;Type: One-parent, at least 1 child >= 18;St. Eustatius;2011;50.0;;;;;
265;Type: One-parent, at least 1 child >= 18;St. Eustatius;2012;50.0;;;;;
266;Type: One-parent, at least 1 child >= 18;St. Eustatius;2013;50.0;;;;;
267;Type: One-parent, at least 1 child >= 18;St. Eustatius;2014;50.0;;;;;
268;Type: One-parent, at least 1 child >= 18;St. Eustatius;2015;50.0;;;;;
269;Type: One-parent, at least 1 child >= 18;St. Eustatius;2016;100.0;;;;;
270;Type: One-parent, at least 1 child >= 18;St. Eustatius;2017;100.0;;;;;
271;Type: One-parent, at least 1 child >= 18;St. Eustatius;2018;100.0;;;;;
272;Type: One-parent, at least 1 child >= 18;St. Eustatius;2019;100.0;1.8;40.5;32.6;26.5;21.4
273;Type: One-parent, at least 1 child >= 18;St. Eustatius;2020;150.0;1.7;39.2;31.1;25.7;19.8
274;Type: One-parent, at least 1 child >= 18;St. Eustatius;2021;150.0;1.9;38.8;33.4;24.6;19.4
275;Type: One-parent, at least 1 child >= 18;St. Eustatius;2022;150.0;1.8;38.7;33.8;24.4;21.8
276;Type: One-parent, at least 1 child >= 18;Saba;2011;50.0;;;;;
277;Type: One-parent, at least 1 child >= 18;Saba;2012;50.0;;;;;
278;Type: One-parent, at least 1 child >= 18;Saba;2013;50.0;;;;;
279;Type: One-parent, at least 1 child >= 18;Saba;2014;50.0;;;;;
280;Type: One-parent, at least 1 child >= 18;Saba;2015;50.0;;;;;
281;Type: One-parent, at least 1 child >= 18;Saba;2016;50.0;;;;;
282;Type: One-parent, at least 1 child >= 18;Saba;2017;50.0;;;;;
283;Type: One-parent, at least 1 child >= 18;Saba;2018;50.0;;;;;
284;Type: One-parent, at least 1 child >= 18;Saba;2019;50.0;;;;;
285;Type: One-parent, at least 1 child >= 18;Saba;2020;50.0;;;;;
286;Type: One-parent, at least 1 child >= 18;Saba;2021;50.0;;;;;
287;Type: One-parent, at least 1 child >= 18;Saba;2022;50.0;;;;;
288;Type: Couple, total;Caribbean Netherlands;2011;2700.0;1.9;36.6;30.6;21.9;17.9
289;Type: Couple, total;Caribbean Netherlands;2012;2850.0;1.9;38.0;31.7;22.9;19.0
290;Type: Couple, total;Caribbean Netherlands;2013;3050.0;1.9;38.5;32.6;23.3;19.5
291;Type: Couple, total;Caribbean Netherlands;2014;3300.0;1.9;40.0;32.8;24.1;19.5
292;Type: Couple, total;Caribbean Netherlands;2015;3400.0;1.9;41.5;33.9;25.0;20.3
293;Type: Couple, total;Caribbean Netherlands;2016;3650.0;2.0;42.1;34.1;25.3;20.6
294;Type: Couple, total;Caribbean Netherlands;2017;3850.0;2.0;43.7;35.6;26.3;21.4
295;Type: Couple, total;Caribbean Netherlands;2018;4050.0;2.0;44.5;36.4;26.9;21.8
296;Type: Couple, total;Caribbean Netherlands;2019;4100.0;2.0;46.8;38.2;28.3;22.7
297;Type: Couple, total;Caribbean Netherlands;2020;4050.0;2.0;47.0;38.3;28.3;22.9
298;Type: Couple, total;Caribbean Netherlands;2021;4200.0;2.0;47.8;38.9;28.8;23.4
299;Type: Couple, total;Caribbean Netherlands;2022;4300.0;2.0;48.9;40.0;29.5;24.0
300;Type: Couple, total;Bonaire;2011;2150.0;2.0;36.2;30.6;21.8;17.9
301;Type: Couple, total;Bonaire;2012;2300.0;1.9;37.5;31.4;22.6;18.8
302;Type: Couple, total;Bonaire;2013;2450.0;1.9;38.0;32.2;23.0;19.4
