ID;Geslacht;Leeftijd;Geboortegeneratie;NettoArbeidsparticipatie_1;Deeltijd0Tot12Uur_2;Deeltijd12Tot35Uur_3;Voltijders_4;GemiddeldeArbeidsduur_5;Baan12UurPerWeek_6;Baan12UurPerWeek_7;Baan1UurPerWeek_8;TotaalWerknemers_9;VasteArbeidsrelatie_10;FlexibeleArbeidsrelatie_11;VasteArbeidsrelatie_12;FlexibeleArbeidsrelatie_13;TotaalZelfstandigen_14;MetPersoneel_15;ZonderPersoneel_16;MetPersoneel_17;ZonderPersoneel_18;PersonenMetVoortdurendEenBaan_19;PersonenMetMeerDanEenBaan_20;PersonenMetUitkering_21
16;Totaal mannen en vrouwen;15 jaar;1990 tot 1995;31.4;89.3;9.6;1.1;6.4;0.5;;;93.3;23.0;70.3;24.7;75.3;6.7;1.2;5.5;17.4;82.6;0.0;20.0;0.0
17;Totaal mannen en vrouwen;15 jaar;1995 tot 2000;29.2;92.1;7.3;0.6;5.8;;0.9;0.8;93.4;15.2;78.1;16.3;83.7;6.6;0.8;5.8;12.4;87.6;;;
18;Totaal mannen en vrouwen;15 jaar;2000 tot 2005;35.2;91.2;8.5;0.4;6.0;0.6;0.7;0.7;94.2;10.7;87.4;10.9;89.1;5.8;0.6;5.2;9.7;90.3;;;
19;Totaal mannen en vrouwen;16 jaar;1910 tot 1915;;;;;;;;;;;;;;;;;;;;;
20;Totaal mannen en vrouwen;16 jaar;1915 tot 1920;;;;;;;;;;;;;;;;;;;;;
21;Totaal mannen en vrouwen;16 jaar;1920 tot 1925;;;;;;;;;;;;;;;;;;;;;
22;Totaal mannen en vrouwen;16 jaar;1925 tot 1930;;;;;;;;;;;;;;;;;;;;;
23;Totaal mannen en vrouwen;16 jaar;1930 tot 1935;;;;;;;;;;;;;;;;;;;;;
24;Totaal mannen en vrouwen;16 jaar;1935 tot 1940;;;;;;;;;;;;;;;;;;;;;
25;Totaal mannen en vrouwen;16 jaar;1940 tot 1945;;;;;;;;;;;;;;;;;;;;;
26;Totaal mannen en vrouwen;16 jaar;1945 tot 1950;;;;;;;;;;;;;;;;;;;;;
27;Totaal mannen en vrouwen;16 jaar;1950 tot 1955;;;;;;;;;;;;;;;;;;;;;
28;Totaal mannen en vrouwen;16 jaar;1955 tot 1960;;;;;;;;;;;;;;;;;;;;;
29;Totaal mannen en vrouwen;16 jaar;1960 tot 1965;;;;;;;;;;;;;;;;;;;;;
30;Totaal mannen en vrouwen;16 jaar;1965 tot 1970;;;;;;;;;;;;;;;;;;;;;
31;Totaal mannen en vrouwen;16 jaar;1970 tot 1975;24.8;70.0;17.4;12.6;12.9;;;;86.5;;;;;13.5;;;;;;;
32;Totaal mannen en vrouwen;16 jaar;1975 tot 1980;31.5;78.0;14.5;7.5;10.7;0.5;;;93.3;36.5;56.8;39.2;60.8;6.7;;6.3;;;;;
33;Totaal mannen en vrouwen;16 jaar;1980 tot 1985;43.7;75.9;18.1;6.0;10.5;0.6;;;94.5;32.8;61.7;34.7;65.3;5.5;0.5;5.0;;;;;
34;Totaal mannen en vrouwen;16 jaar;1985 tot 1990;46.3;76.9;18.6;4.5;10.0;0.6;;;95.7;34.9;60.8;36.5;63.5;4.3;0.6;3.7;14.8;85.2;0.0;34.0;0.0
35;Totaal mannen en vrouwen;16 jaar;1990 tot 1995;48.8;77.0;20.2;2.8;9.2;0.6;1.0;0.9;96.3;27.8;68.5;28.8;71.2;3.7;0.8;2.9;;;0.0;35.0;0.0
36;Totaal mannen en vrouwen;16 jaar;1995 tot 2000;49.4;81.8;16.5;1.7;8.1;0.7;1.0;0.9;95.9;19.7;76.3;20.5;79.5;4.1;0.6;3.5;13.9;86.1;;;
37;Totaal mannen en vrouwen;16 jaar;2000 tot 2005;;;;;;;;;;;;;;;;;;;;;
38;Totaal mannen en vrouwen;17 jaar;1910 tot 1915;;;;;;;;;;;;;;;;;;;;;
39;Totaal mannen en vrouwen;17 jaar;1915 tot 1920;;;;;;;;;;;;;;;;;;;;;
40;Totaal mannen en vrouwen;17 jaar;1920 tot 1925;;;;;;;;;;;;;;;;;;;;;
41;Totaal mannen en vrouwen;17 jaar;1925 tot 1930;;;;;;;;;;;;;;;;;;;;;
42;Totaal mannen en vrouwen;17 jaar;1930 tot 1935;;;;;;;;;;;;;;;;;;;;;
43;Totaal mannen en vrouwen;17 jaar;1935 tot 1940;;;;;;;;;;;;;;;;;;;;;
44;Totaal mannen en vrouwen;17 jaar;1940 tot 1945;;;;;;;;;;;;;;;;;;;;;
45;Totaal mannen en vrouwen;17 jaar;1945 tot 1950;;;;;;;;;;;;;;;;;;;;;
46;Totaal mannen en vrouwen;17 jaar;1950 tot 1955;;;;;;;;;;;;;;;;;;;;;
47;Totaal mannen en vrouwen;17 jaar;1955 tot 1960;;;;;;;;;;;;;;;;;;;;;
48;Totaal mannen en vrouwen;17 jaar;1960 tot 1965;;;;;;;;;;;;;;;;;;;;;
49;Totaal mannen en vrouwen;17 jaar;1965 tot 1970;32.9;44.8;27.0;28.2;20.8;;;;91.0;;;;;9.0;;;;;;;
50;Totaal mannen en vrouwen;17 jaar;1970 tot 1975;35.6;56.3;22.8;20.9;17.5;;;;93.0;43.4;52.6;45.2;54.8;7.0;;4.0;;;;;
51;Totaal mannen en vrouwen;17 jaar;1975 tot 1980;41.6;64.8;21.1;14.0;14.6;0.8;;;95.4;39.0;56.4;40.9;59.1;4.6;0.8;3.8;;;;;
52;Totaal mannen en vrouwen;17 jaar;1980 tot 1985;56.6;60.8;26.3;12.8;15.0;0.9;;;96.8;40.7;56.1;42.1;57.9;3.2;0.7;2.5;;;;;0.0
53;Totaal mannen en vrouwen;17 jaar;1985 tot 1990;54.4;63.4;27.4;9.2;13.4;0.9;;;96.9;39.6;57.4;40.8;59.2;3.1;0.5;2.5;;;1.0;51.0;0.0
54;Totaal mannen en vrouwen;17 jaar;1990 tot 1995;57.6;67.1;27.2;5.8;11.7;1.0;1.4;1.3;97.1;31.2;65.9;32.2;67.8;2.9;0.5;2.4;;;0.0;56.0;0.0
55;Totaal mannen en vrouwen;17 jaar;1995 tot 2000;58.1;72.2;23.8;4.0;10.3;1.0;1.3;1.2;96.3;20.7;76.0;21.4;78.6;3.7;0.5;3.2;12.9;87.1;;;
56;Totaal mannen en vrouwen;17 jaar;2000 tot 2005;;;;;;;;;;;;;;;;;;;;;
57;Totaal mannen en vrouwen;18 jaar;1910 tot 1915;;;;;;;;;;;;;;;;;;;;;
58;Totaal mannen en vrouwen;18 jaar;1915 tot 1920;;;;;;;;;;;;;;;;;;;;;
59;Totaal mannen en vrouwen;18 jaar;1920 tot 1925;;;;;;;;;;;;;;;;;;;;;
60;Totaal mannen en vrouwen;18 jaar;1925 tot 1930;;;;;;;;;;;;;;;;;;;;;
61;Totaal mannen en vrouwen;18 jaar;1930 tot 1935;;;;;;;;;;;;;;;;;;;;;
62;Totaal mannen en vrouwen;18 jaar;1935 tot 1940;;;;;;;;;;;;;;;;;;;;;
63;Totaal mannen en vrouwen;18 jaar;1940 tot 1945;;;;;;;;;;;;;;;;;;;;;
64;Totaal mannen en vrouwen;18 jaar;1945 tot 1950;;;;;;;;;;;;;;;;;;;;;
65;Totaal mannen en vrouwen;18 jaar;1950 tot 1955;;;;;;;;;;;;;;;;;;;;;
66;Totaal mannen en vrouwen;18 jaar;1955 tot 1960;;;;;;;;;;;;;;;;;;;;;
67;Totaal mannen en vrouwen;18 jaar;1960 tot 1965;;;;;;;;;;;;;;;;;;;;;
68;Totaal mannen en vrouwen;18 jaar;1965 tot 1970;42.7;32.1;24.7;43.1;25.5;;;;94.4;;;;;5.6;;;;;;;
69;Totaal mannen en vrouwen;18 jaar;1970 tot 1975;44.6;42.5;23.2;34.3;22.4;1.0;;;95.6;49.3;47.8;50.8;49.2;4.4;;2.9;;;;;
70;Totaal mannen en vrouwen;18 jaar;1975 tot 1980;50.9;51.7;26.3;22.0;18.6;1.1;;;97.0;40.9;56.1;42.1;57.9;3.0;;2.6;;;;;
71;Totaal mannen en vrouwen;18 jaar;1980 tot 1985;64.9;46.3;30.3;23.4;19.1;1.1;;;97.9;46.9;51.1;47.9;52.1;2.1;0.5;1.6;;;1.0;69.0;3.0
72;Totaal mannen en vrouwen;18 jaar;1985 tot 1990;59.8;51.3;32.0;16.7;16.6;1.2;;;97.7;42.6;55.1;43.6;56.4;2.3;0.3;2.0;;;2.0;66.0;3.0
73;Totaal mannen en vrouwen;18 jaar;1990 tot 1995;59.8;55.3;34.1;10.6;14.7;1.2;1.8;1.5;97.2;32.1;65.0;33.1;66.9;2.8;0.5;2.4;;;;;
74;Totaal mannen en vrouwen;18 jaar;1995 tot 2000;59.9;58.9;33.4;7.8;13.4;1.3;1.6;1.5;96.5;21.2;76.1;21.8;78.2;3.5;0.4;3.0;13.0;87.0;;;
75;Totaal mannen en vrouwen;18 jaar;2000 tot 2005;;;;;;;;;;;;;;;;;;;;;
76;Totaal mannen en vrouwen;19 jaar;1910 tot 1915;;;;;;;;;;;;;;;;;;;;;
77;Totaal mannen en vrouwen;19 jaar;1915 tot 1920;;;;;;;;;;;;;;;;;;;;;
78;Totaal mannen en vrouwen;19 jaar;1920 tot 1925;;;;;;;;;;;;;;;;;;;;;
79;Totaal mannen en vrouwen;19 jaar;1925 tot 1930;;;;;;;;;;;;;;;;;;;;;
80;Totaal mannen en vrouwen;19 jaar;1930 tot 1935;;;;;;;;;;;;;;;;;;;;;
81;Totaal mannen en vrouwen;19 jaar;1935 tot 1940;;;;;;;;;;;;;;;;;;;;;
82;Totaal mannen en vrouwen;19 jaar;1940 tot 1945;;;;;;;;;;;;;;;;;;;;;
83;Totaal mannen en vrouwen;19 jaar;1945 tot 1950;;;;;;;;;;;;;;;;;;;;;
84;Totaal mannen en vrouwen;19 jaar;1950 tot 1955;;;;;;;;;;;;;;;;;;;;;
85;Totaal mannen en vrouwen;19 jaar;1955 tot 1960;;;;;;;;;;;;;;;;;;;;;
86;Totaal mannen en vrouwen;19 jaar;1960 tot 1965;;;;;;;;;;;;;;;;;;;;;
87;Totaal mannen en vrouwen;19 jaar;1965 tot 1970;51.2;23.3;21.9;54.8;28.8;;;;95.6;;;;;4.4;;;;;;;
88;Totaal mannen en vrouwen;19 jaar;1970 tot 1975;53.4;33.1;21.6;45.3;25.6;1.3;;;97.0;55.4;42.3;56.7;43.3;3.0;;2.1;;;;;
89;Totaal mannen en vrouwen;19 jaar;1975 tot 1980;59.0;39.0;27.9;33.1;22.3;1.2;;;97.6;43.7;53.9;44.8;55.2;2.4;0.3;2.1;;;;;
90;Totaal mannen en vrouwen;19 jaar;1980 tot 1985;68.5;38.3;32.0;29.7;21.5;1.4;;;97.8;52.2;45.6;53.4;46.6;2.2;0.5;1.7;;;5.0;78.0;4.0
91;Totaal mannen en vrouwen;19 jaar;1985 tot 1990;63.4;42.1;33.9;24.0;19.6;1.4;;;97.6;44.0;53.6;45.1;54.9;2.4;0.4;1.9;;;5.0;77.0;4.0
92;Totaal mannen en vrouwen;19 jaar;1990 tot 1995;60.1;47.0;36.8;16.2;17.2;1.5;2.0;1.7;96.6;33.5;63.1;34.7;65.3;3.4;0.5;2.9;;;;;
93;Totaal mannen en vrouwen;19 jaar;1995 tot 2000;62.3;48.8;38.4;12.8;16.2;1.4;1.8;1.6;95.8;23.8;73.8;24.4;75.6;4.2;0.6;3.6;13.2;86.8;;;
94;Totaal mannen en vrouwen;19 jaar;2000 tot 2005;;;;;;;;;;;;;;;;;;;;;
95;Totaal mannen en vrouwen;20 jaar;1910 tot 1915;;;;;;;;;;;;;;;;;;;;;
96;Totaal mannen en vrouwen;20 jaar;1915 tot 1920;;;;;;;;;;;;;;;;;;;;;
97;Totaal mannen en vrouwen;20 jaar;1920 tot 1925;;;;;;;;;;;;;;;;;;;;;
98;Totaal mannen en vrouwen;20 jaar;1925 tot 1930;;;;;;;;;;;;;;;;;;;;;
99;Totaal mannen en vrouwen;20 jaar;1930 tot 1935;;;;;;;;;;;;;;;;;;;;;
100;Totaal mannen en vrouwen;20 jaar;1935 tot 1940;;;;;;;;;;;;;;;;;;;;;
101;Totaal mannen en vrouwen;20 jaar;1940 tot 1945;;;;;;;;;;;;;;;;;;;;;
102;Totaal mannen en vrouwen;20 jaar;1945 tot 1950;;;;;;;;;;;;;;;;;;;;;
103;Totaal mannen en vrouwen;20 jaar;1950 tot 1955;;;;;;;;;;;;;;;;;;;;;
104;Totaal mannen en vrouwen;20 jaar;1955 tot 1960;;;;;;;;;;;;;;;;;;;;;
105;Totaal mannen en vrouwen;20 jaar;1960 tot 1965;;;;;;;;;;;;;;;;;;;;;
106;Totaal mannen en vrouwen;20 jaar;1965 tot 1970;59.8;16.3;18.2;65.5;31.5;;;;96.7;;;;;3.3;;;;;;;
107;Totaal mannen en vrouwen;20 jaar;1970 tot 1975;59.6;25.6;22.4;52.0;28.1;1.5;;;97.0;56.7;40.4;58.4;41.6;3.0;0.4;2.5;;;;;
108;Totaal mannen en vrouwen;20 jaar;1975 tot 1980;69.4;29.6;27.4;43.0;25.6;1.5;;;97.7;48.5;49.1;49.7;50.3;2.3;0.7;1.6;;;;;
109;Totaal mannen en vrouwen;20 jaar;1980 tot 1985;70.8;32.1;29.3;38.6;24.1;1.6;;;97.8;55.4;42.3;56.7;43.3;2.2;0.5;1.7;;;11.0;82.0;5.0
110;Totaal mannen en vrouwen;20 jaar;1985 tot 1990;67.2;35.1;34.9;29.9;21.9;1.6;;;96.6;44.7;51.9;46.3;53.7;3.4;0.5;2.9;;;10.0;83.0;5.0
111;Totaal mannen en vrouwen;20 jaar;1990 tot 1995;62.7;41.5;37.1;21.4;19.1;1.7;2.3;1.9;95.9;34.5;61.5;35.9;64.1;4.1;0.5;3.5;13.2;86.8;;;
112;Totaal mannen en vrouwen;20 jaar;1995 tot 2000;64.0;40.9;39.9;19.2;18.7;1.5;2.0;1.7;95.0;29.4;69.1;29.8;70.2;5.0;0.5;4.5;9.4;90.6;;;
113;Totaal mannen en vrouwen;20 jaar;2000 tot 2005;;;;;;;;;;;;;;;;;;;;;
114;Totaal mannen en vrouwen;21 jaar;1910 tot 1915;;;;;;;;;;;;;;;;;;;;;
115;Totaal mannen en vrouwen;21 jaar;1915 tot 1920;;;;;;;;;;;;;;;;;;;;;
116;Totaal mannen en vrouwen;21 jaar;1920 tot 1925;;;;;;;;;;;;;;;;;;;;;
117;Totaal mannen en vrouwen;21 jaar;1925 tot 1930;;;;;;;;;;;;;;;;;;;;;
118;Totaal mannen en vrouwen;21 jaar;1930 tot 1935;;;;;;;;;;;;;;;;;;;;;
119;Totaal mannen en vrouwen;21 jaar;1935 tot 1940;;;;;;;;;;;;;;;;;;;;;
120;Totaal mannen en vrouwen;21 jaar;1940 tot 1945;;;;;;;;;;;;;;;;;;;;;
121;Totaal mannen en vrouwen;21 jaar;1945 tot 1950;;;;;;;;;;;;;;;;;;;;;
122;Totaal mannen en vrouwen;21 jaar;1950 tot 1955;;;;;;;;;;;;;;;;;;;;;
123;Totaal mannen en vrouwen;21 jaar;1955 tot 1960;;;;;;;;;;;;;;;;;;;;;
124;Totaal mannen en vrouwen;21 jaar;1960 tot 1965;;;;;;;;;;;;;;;;;;;;;
125;Totaal mannen en vrouwen;21 jaar;1965 tot 1970;65.4;12.4;16.4;71.2;33.4;;;;96.1;;;;;3.9;;;;;;;
126;Totaal mannen en vrouwen;21 jaar;1970 tot 1975;66.0;20.9;21.1;58.1;29.8;1.7;;;97.4;63.0;34.4;64.7;35.3;2.6;0.5;2.1;;;;;
127;Totaal mannen en vrouwen;21 jaar;1975 tot 1980;73.9;24.6;26.6;48.7;27.3;1.7;;;97.4;53.0;44.4;54.4;45.6;2.6;0.8;1.8;;;;;
128;Totaal mannen en vrouwen;21 jaar;1980 tot 1985;71.4;26.9;29.5;43.6;25.7;1.9;;;97.1;56.9;40.2;58.6;41.4;2.9;0.5;2.3;;;17.0;83.0;6.0
129;Totaal mannen en vrouwen;21 jaar;1985 tot 1990;70.4;28.6;34.7;36.7;24.2;1.8;2.3;2.0;95.8;48.3;47.5;50.4;49.6;4.2;0.7;3.5;16.2;83.8;13.0;86.0;6.0
130;Totaal mannen en vrouwen;21 jaar;1990 tot 1995;66.5;34.9;38.1;27.0;21.4;1.9;2.5;2.1;94.8;34.5;60.3;36.4;63.6;5.2;0.7;4.5;12.7;87.3;;;
131;Totaal mannen en vrouwen;21 jaar;1995 tot 2000;;;;;;;;;;;;;;;;;;;;;
132;Totaal mannen en vrouwen;21 jaar;2000 tot 2005;;;;;;;;;;;;;;;;;;;;;
133;Totaal mannen en vrouwen;22 jaar;1910 tot 1915;;;;;;;;;;;;;;;;;;;;;
134;Totaal mannen en vrouwen;22 jaar;1915 tot 1920;;;;;;;;;;;;;;;;;;;;;
135;Totaal mannen en vrouwen;22 jaar;1920 tot 1925;;;;;;;;;;;;;;;;;;;;;
136;Totaal mannen en vrouwen;22 jaar;1925 tot 1930;;;;;;;;;;;;;;;;;;;;;
137;Totaal mannen en vrouwen;22 jaar;1930 tot 1935;;;;;;;;;;;;;;;;;;;;;
138;Totaal mannen en vrouwen;22 jaar;1935 tot 1940;;;;;;;;;;;;;;;;;;;;;
139;Totaal mannen en vrouwen;22 jaar;1940 tot 1945;;;;;;;;;;;;;;;;;;;;;
140;Totaal mannen en vrouwen;22 jaar;1945 tot 1950;;;;;;;;;;;;;;;;;;;;;
141;Totaal mannen en vrouwen;22 jaar;1950 tot 1955;;;;;;;;;;;;;;;;;;;;;
142;Totaal mannen en vrouwen;22 jaar;1955 tot 1960;;;;;;;;;;;;;;;;;;;;;
143;Totaal mannen en vrouwen;22 jaar;1960 tot 1965;69.9;5.9;16.7;77.4;35.7;;;;96.3;;;;;3.7;;;;;;;
144;Totaal mannen en vrouwen;22 jaar;1965 tot 1970;70.3;10.8;15.9;73.3;33.9;2.1;;;96.1;74.4;22.1;77.1;22.9;3.9;;3.0;;;;;
145;Totaal mannen en vrouwen;22 jaar;1970 tot 1975;70.7;15.8;20.8;63.3;31.7;2.2;;;96.4;62.4;33.9;64.8;35.2;3.6;1.0;2.7;;;;;
146;Totaal mannen en vrouwen;22 jaar;1975 tot 1980;77.1;18.4;25.1;56.5;29.6;1.9;;;97.3;58.6;38.7;60.2;39.8;2.7;0.6;2.1;;;;;5.0
147;Totaal mannen en vrouwen;22 jaar;1980 tot 1985;72.9;21.0;29.7;49.3;27.7;2.2;;;96.7;59.5;37.2;61.5;38.5;3.3;0.5;2.8;;;21.0;83.0;6.0
148;Totaal mannen en vrouwen;22 jaar;1985 tot 1990;71.9;23.1;35.7;41.3;26.2;2.0;2.5;2.2;95.1;50.4;44.7;53.0;47.0;4.9;0.6;4.3;12.1;87.9;16.0;87.0;7.0
149;Totaal mannen en vrouwen;22 jaar;1990 tot 1995;69.3;28.3;39.8;31.8;23.5;2.1;2.7;2.2;94.1;36.4;58.3;38.4;61.6;5.9;0.6;5.3;9.8;90.2;;;
150;Totaal mannen en vrouwen;22 jaar;1995 tot 2000;;;;;;;;;;;;;;;;;;;;;
151;Totaal mannen en vrouwen;22 jaar;2000 tot 2005;;;;;;;;;;;;;;;;;;;;;
152;Totaal mannen en vrouwen;23 jaar;1910 tot 1915;;;;;;;;;;;;;;;;;;;;;
153;Totaal mannen en vrouwen;23 jaar;1915 tot 1920;;;;;;;;;;;;;;;;;;;;;
154;Totaal mannen en vrouwen;23 jaar;1920 tot 1925;;;;;;;;;;;;;;;;;;;;;
155;Totaal mannen en vrouwen;23 jaar;1925 tot 1930;;;;;;;;;;;;;;;;;;;;;
156;Totaal mannen en vrouwen;23 jaar;1930 tot 1935;;;;;;;;;;;;;;;;;;;;;
157;Totaal mannen en vrouwen;23 jaar;1935 tot 1940;;;;;;;;;;;;;;;;;;;;;
158;Totaal mannen en vrouwen;23 jaar;1940 tot 1945;;;;;;;;;;;;;;;;;;;;;
159;Totaal mannen en vrouwen;23 jaar;1945 tot 1950;;;;;;;;;;;;;;;;;;;;;
160;Totaal mannen en vrouwen;23 jaar;1950 tot 1955;;;;;;;;;;;;;;;;;;;;;
161;Totaal mannen en vrouwen;23 jaar;1955 tot 1960;;;;;;;;;;;;;;;;;;;;;
162;Totaal mannen en vrouwen;23 jaar;1960 tot 1965;71.8;5.8;15.6;78.6;35.8;;;;95.0;;;;;5.0;;;;;;;
163;Totaal mannen en vrouwen;23 jaar;1965 tot 1970;74.0;9.1;16.1;74.8;34.6;2.5;;;95.9;73.8;22.7;76.5;23.5;4.1;0.7;2.8;;;;;
164;Totaal mannen en vrouwen;23 jaar;1970 tot 1975;75.3;12.9;21.6;65.5;32.6;2.4;;;96.2;62.2;34.0;64.7;35.3;3.8;1.2;2.6;;;;;
165;Totaal mannen en vrouwen;23 jaar;1975 tot 1980;80.0;12.8;25.3;61.9;31.6;2.2;;;97.1;65.6;31.5;67.6;32.4;2.9;0.8;2.1;;;23.0;83.0;6.0
166;Totaal mannen en vrouwen;23 jaar;1980 tot 1985;75.0;14.9;29.6;55.4;30.2;2.5;;;95.4;61.8;33.5;64.8;35.2;4.6;0.9;3.7;20.4;79.6;25.0;81.0;7.0
167;Totaal mannen en vrouwen;23 jaar;1985 tot 1990;74.0;17.7;35.9;46.4;28.2;2.3;2.7;2.4;94.3;52.1;42.3;55.2;44.8;5.7;0.7;5.0;12.1;87.9;;;
168;Totaal mannen en vrouwen;23 jaar;1990 tot 1995;71.8;21.3;38.4;40.4;26.6;2.2;2.8;2.4;93.4;42.1;53.2;44.2;55.8;6.6;0.6;6.0;9.1;90.9;;;
169;Totaal mannen en vrouwen;23 jaar;1995 tot 2000;;;;;;;;;;;;;;;;;;;;;
170;Totaal mannen en vrouwen;23 jaar;2000 tot 2005;;;;;;;;;;;;;;;;;;;;;
171;Totaal mannen en vrouwen;24 jaar;1910 tot 1915;;;;;;;;;;;;;;;;;;;;;
172;Totaal mannen en vrouwen;24 jaar;1915 tot 1920;;;;;;;;;;;;;;;;;;;;;
173;Totaal mannen en vrouwen;24 jaar;1920 tot 1925;;;;;;;;;;;;;;;;;;;;;
174;Totaal mannen en vrouwen;24 jaar;1925 tot 1930;;;;;;;;;;;;;;;;;;;;;
175;Totaal mannen en vrouwen;24 jaar;1930 tot 1935;;;;;;;;;;;;;;;;;;;;;
176;Totaal mannen en vrouwen;24 jaar;1935 tot 1940;;;;;;;;;;;;;;;;;;;;;
177;Totaal mannen en vrouwen;24 jaar;1940 tot 1945;;;;;;;;;;;;;;;;;;;;;
178;Totaal mannen en vrouwen;24 jaar;1945 tot 1950;;;;;;;;;;;;;;;;;;;;;
179;Totaal mannen en vrouwen;24 jaar;1950 tot 1955;;;;;;;;;;;;;;;;;;;;;
180;Totaal mannen en vrouwen;24 jaar;1955 tot 1960;;;;;;;;;;;;;;;;;;;;;
181;Totaal mannen en vrouwen;24 jaar;1960 tot 1965;73.9;5.7;17.8;76.5;35.5;;;;95.7;;;;;4.3;;;;;;;
182;Totaal mannen en vrouwen;24 jaar;1965 tot 1970;76.3;7.6;17.3;75.0;34.9;2.8;;;95.7;74.7;21.0;78.0;22.0;4.3;1.3;3.0;;;;;
183;Totaal mannen en vrouwen;24 jaar;1970 tot 1975;78.3;8.7;21.2;70.1;34.1;2.6;;;95.6;65.7;29.9;68.7;31.3;4.4;1.4;3.0;32.1;67.9;;;
184;Totaal mannen en vrouwen;24 jaar;1975 tot 1980;80.8;8.9;24.5;66.5;33.2;2.4;;;95.6;69.4;26.2;72.6;27.4;4.4;1.3;3.1;;;28.0;79.0;7.0
185;Totaal mannen en vrouwen;24 jaar;1980 tot 1985;78.0;10.6;29.0;60.4;32.0;2.7;;;94.4;64.6;29.8;68.4;31.6;5.6;1.1;4.5;20.0;80.0;29.0;78.0;7.0
186;Totaal mannen en vrouwen;24 jaar;1985 tot 1990;75.9;13.3;35.9;50.8;29.9;2.6;2.8;2.6;93.4;54.0;39.4;57.8;42.2;6.6;1.0;5.6;15.1;84.9;;;
187;Totaal mannen en vrouwen;24 jaar;1990 tot 1995;75.5;13.7;38.6;47.7;29.5;2.4;2.8;2.4;92.6;48.1;48.0;50.0;50.0;7.4;0.9;6.4;12.6;87.4;;;
188;Totaal mannen en vrouwen;24 jaar;1995 tot 2000;;;;;;;;;;;;;;;;;;;;;
189;Totaal mannen en vrouwen;24 jaar;2000 tot 2005;;;;;;;;;;;;;;;;;;;;;
190;Totaal mannen en vrouwen;25 jaar;1910 tot 1915;;;;;;;;;;;;;;;;;;;;;
191;Totaal mannen en vrouwen;25 jaar;1915 tot 1920;;;;;;;;;;;;;;;;;;;;;
192;Totaal mannen en vrouwen;25 jaar;1920 tot 1925;;;;;;;;;;;;;;;;;;;;;
193;Totaal mannen en vrouwen;25 jaar;1925 tot 1930;;;;;;;;;;;;;;;;;;;;;
194;Totaal mannen en vrouwen;25 jaar;1930 tot 1935;;;;;;;;;;;;;;;;;;;;;
195;Totaal mannen en vrouwen;25 jaar;1935 tot 1940;;;;;;;;;;;;;;;;;;;;;
196;Totaal mannen en vrouwen;25 jaar;1940 tot 1945;;;;;;;;;;;;;;;;;;;;;
