ID;Regio;SoortCijfer;RoomsKatholiek_1;Gereformeerd_2;NederlandsHervormd_3;Islam_4;GeenKerkelijkeGezindte_5
49;Zuidoost-Drenthe;Standaardfout;1.3;0.8;1.4;0.0;1.7
50;Zuidwest-Drenthe;Percentages;6.0;17.7;28.1;1.9;41.7
51;Zuidwest-Drenthe;Standaardfout;0.9;1.4;1.7;0.0;1.8
52;Noord-Overijssel;Percentages;11.9;20.5;29.8;2.4;31.0
53;Noord-Overijssel;Standaardfout;0.8;1.0;1.1;0.0;1.1
54;Zuidwest-Overijssel;Percentages;29.8;2.6;14.8;5.6;44.7
55;Zuidwest-Overijssel;Standaardfout;1.6;0.6;1.2;0.0;1.7
56;Twente;Percentages;33.9;6.1;15.5;5.4;34.0
57;Twente;Standaardfout;0.8;0.4;0.6;0.0;0.8
58;Veluwe;Percentages;10.7;15.3;32.3;3.5;31.8
59;Veluwe;Standaardfout;0.5;0.6;0.8;0.0;0.8
60;Achterhoek;Percentages;34.4;4.7;23.9;3.0;31.2
61;Achterhoek;Standaardfout;1.0;0.5;0.9;0.0;1.0
62;Arnhem/Nijmegen;Percentages;41.3;2.5;9.1;4.9;40.4
63;Arnhem/Nijmegen;Standaardfout;0.8;0.3;0.5;0.0;0.8
64;Zuidwest-Gelderland;Percentages;23.8;7.3;26.7;4.1;36.2
65;Zuidwest-Gelderland;Standaardfout;1.2;0.8;1.3;0.0;1.4
66;Utrecht;Percentages;20.7;8.4;16.5;7.0;43.7
67;Utrecht;Standaardfout;0.5;0.4;0.5;0.0;0.6
68;Kop van Noord-Holland;Percentages;29.7;4.0;5.8;2.1;56.2
69;Kop van Noord-Holland;Standaardfout;1.0;0.4;0.5;0.0;1.1
70;Alkmaar en omgeving;Percentages;25.2;3.6;7.8;4.0;55.4
71;Alkmaar en omgeving;Standaardfout;1.3;0.5;0.8;0.0;1.4
72;IJmond;Percentages;29.7;4.3;6.4;3.7;53.4
73;IJmond;Standaardfout;1.5;0.7;0.8;0.0;1.6
74;Agglomeratie Haarlem;Percentages;18.2;2.8;6.3;6.4;64.4
75;Agglomeratie Haarlem;Standaardfout;1.2;0.5;0.7;0.0;1.4
76;Zaanstreek;Percentages;15.8;4.3;5.5;8.8;63.5
77;Zaanstreek;Standaardfout;1.3;0.7;0.8;0.0;1.8
78;Groot Amsterdam;Percentages;15.3;3.0;6.4;12.7;59.2
79;Groot Amsterdam;Standaardfout;0.5;0.2;0.3;0.0;0.6
80;Het Gooi en Vechtstreek;Percentages;18.1;5.2;16.5;4.9;49.4
81;Het Gooi en Vechtstreek;Standaardfout;1.1;0.6;1.1;0.0;1.4
82;Aggl. Leiden en Bollenstreek;Percentages;26.9;8.1;16.3;4.1;41.8
83;Aggl. Leiden en Bollenstreek;Standaardfout;0.9;0.6;0.8;0.0;1.0
84;Agglomeratie 's-Gravenhage;Percentages;21.5;4.2;11.1;11.0;47.8
85;Agglomeratie 's-Gravenhage;Standaardfout;0.7;0.3;0.5;0.0;0.8
86;Delft en Westland;Percentages;29.7;10.4;14.4;5.2;37.6
87;Delft en Westland;Standaardfout;1.3;0.9;1.0;0.0;1.4
88;Oost-Zuid-Holland;Percentages;19.9;9.8;18.8;5.1;44.1
89;Oost-Zuid-Holland;Standaardfout;1.0;0.7;1.0;0.0;1.2
90;Groot Rijnmond;Percentages;14.2;6.2;15.5;9.9;48.6
91;Groot Rijnmond;Standaardfout;0.4;0.3;0.4;0.0;0.6
92;Zuidoost-Zuid-Holland;Percentages;8.3;9.9;24.5;5.8;45.2
93;Zuidoost-Zuid-Holland;Standaardfout;0.6;0.6;0.9;0.0;1.0
94;Zeeuws-Vlaanderen;Percentages;44.9;6.2;15.8;2.4;29.7
95;Zeeuws-Vlaanderen;Standaardfout;2.1;1.0;1.6;0.0;2.0
96;Overig Zeeland;Percentages;11.7;14.6;26.8;2.3;38.9
97;Overig Zeeland;Standaardfout;0.9;0.9;1.2;0.0;1.3
98;West-Noord-Brabant;Percentages;59.4;2.3;5.5;5.1;27.4
99;West-Noord-Brabant;Standaardfout;0.9;0.3;0.4;0.0;0.8
100;Midden-Noord-Brabant;Percentages;60.7;4.4;7.8;4.8;21.7
101;Midden-Noord-Brabant;Standaardfout;1.1;0.4;0.6;0.0;0.9
102;Noordoost-Noord-Brabant;Percentages;70.0;0.6;2.7;4.0;22.0
103;Noordoost-Noord-Brabant;Standaardfout;0.8;0.1;0.3;0.0;0.7
104;Zuidoost-Noord-Brabant;Percentages;65.4;1.1;2.9;4.2;25.1
105;Zuidoost-Noord-Brabant;Standaardfout;0.8;0.2;0.3;0.0;0.7
106;Noord-Limburg;Percentages;76.0;0.7;0.9;4.6;17.3
107;Noord-Limburg;Standaardfout;1.1;0.2;0.2;0.0;1.0
108;Midden-Limburg;Percentages;81.6;0.4;1.1;4.0;12.5
109;Midden-Limburg;Standaardfout;1.1;0.2;0.3;0.0;0.9
110;Zuid-Limburg;Percentages;78.4;0.8;1.7;2.9;14.6
111;Zuid-Limburg;Standaardfout;0.7;0.2;0.2;0.0;0.6
112;Flevoland;Percentages;13.6;11.7;10.1;6.0;53.5
113;Flevoland;Standaardfout;0.8;0.8;0.7;0.0;1.2
