ID;PersonalCharacteristics;Accuracy;CaribbeanNetherlands;Periods;HappinessScore_1;Unhappy_2;NotHappyNotUnhappy_3;Happy_4;ScoreSatisfactionWithLife_5;Dissatisfied_6;NotSatisfiedNotDissatisfied_7;Satisfied_8;ScoreSatisfactionEducationOpportun_9;Dissatisfied_10;NotSatisfiedNotDissatisfied_11;Satisfied_12;ScoreSatisfactionWorkDailyActivit_13;Dissatisfied_14;NotSatisfiedNotDissatisfied_15;Satisfied_16;ScoreSatisfactionFinancialSituation_17;Dissatisfied_18;NotSatisfiedNotDissatisfied_19;Satisfied_20
65;Age: 45 years or older;Percentage/average;Caribbean Netherlands ;2017/2018;8.1;2.1;9.3;88.6;8.0;2.1;9.9;88.1;7.5;4.3;23.1;72.7;7.8;4.0;14.0;82.0;7.0;7.8;25.7;66.5
66;Age: 45 years or older;Percentage/average;Bonaire;2013;8.1;2.1;12.4;85.5;7.7;5.0;15.5;79.5;;;;;;;;;;;;
67;Age: 45 years or older;Percentage/average;Bonaire;2017/2018;8.0;1.7;10.6;87.8;8.0;1.5;9.7;88.8;7.5;3.1;21.8;75.1;7.9;3.5;12.1;84.5;7.1;7.0;23.5;69.6
68;Age: 45 years or older;Percentage/average;St. Eustatius;2013;8.2;6.3;;90.9;7.8;6.3;10.6;83.1;;;;;;;;;;;;
69;Age: 45 years or older;Percentage/average;St. Eustatius;2017/2018;8.1;3.4;6.0;90.6;7.9;2.6;12.6;84.8;7.3;3.3;31.9;64.8;7.5;5.3;21.1;73.6;7.0;7.1;31.5;61.4
70;Age: 45 years or older;Percentage/average;Saba;2013;8.1;;16.6;83.4;8.0;;9.8;86.5;;;;;;;;;;;;
71;Age: 45 years or older;Percentage/average;Saba;2017/2018;8.5;;9.6;88.6;8.4;3.9;5.2;90.8;7.7;11.5;13.0;75.5;8.3;4.2;9.9;85.9;6.9;12.8;25.8;61.4
72;Age: 45 years or older;Reliability margin;Caribbean Netherlands ;2013;0.2;1.4;2.7;3.0;0.2;1.9;3.0;3.4;;;;;;;;;;;;
73;Age: 45 years or older;Reliability margin;Caribbean Netherlands ;2017/2018;0.1;1.0;2.0;2.2;0.1;1.0;2.0;2.2;0.1;1.4;2.9;3.1;0.1;1.4;2.4;2.6;0.1;1.8;3.0;3.2
74;Age: 45 years or older;Reliability margin;Bonaire;2013;0.2;1.4;3.3;3.5;0.2;2.2;3.6;4.0;;;;;;;;;;;;
75;Age: 45 years or older;Reliability margin;Bonaire;2017/2018;0.1;1.1;2.6;2.8;0.1;1.0;2.5;2.7;0.2;1.5;3.6;3.8;0.1;1.6;2.8;3.1;0.2;2.2;3.7;4.0
76;Age: 45 years or older;Reliability margin;St. Eustatius;2013;0.5;6.0;;7.1;0.5;6.0;7.6;9.2;;;;;;;;;;;;
77;Age: 45 years or older;Reliability margin;St. Eustatius;2017/2018;0.2;2.5;3.3;4.1;0.2;2.2;4.6;5.0;0.2;2.5;6.6;6.7;0.3;3.1;5.7;6.1;0.3;3.6;6.5;6.8
78;Age: 45 years or older;Reliability margin;Saba;2013;0.4;;10.0;10.0;0.5;;8.0;9.2;;;;;;;;;;;;
79;Age: 45 years or older;Reliability margin;Saba;2017/2018;0.3;;5.6;6.0;0.3;3.7;4.2;5.5;0.5;6.1;6.4;8.2;0.4;3.8;5.7;6.6;0.4;6.3;8.3;9.2
80;Age: 15 to 24 years;Percentage/average;Caribbean Netherlands ;2013;7.9;2.5;10.2;87.3;7.8;;19.6;79.3;;;;;;;;;;;;
81;Age: 15 to 24 years;Percentage/average;Caribbean Netherlands ;2017/2018;8.2;;7.8;91.3;8.1;;8.2;90.6;7.5;4.4;17.7;77.8;7.8;2.4;11.0;86.7;7.5;4.6;22.9;72.4
82;Age: 15 to 24 years;Percentage/average;Bonaire;2013;8.0;;7.6;89.8;7.8;;18.9;80.4;;;;;;;;;;;;
83;Age: 15 to 24 years;Percentage/average;Bonaire;2017/2018;8.3;;6.2;93.8;8.2;;6.4;92.8;7.4;4.8;17.8;77.4;7.9;;11.4;86.9;7.7;3.7;18.1;78.1
84;Age: 15 to 24 years;Percentage/average;St. Eustatius;2013;;;;;;;;;;;;;;;;;;;;
85;Age: 15 to 24 years;Percentage/average;St. Eustatius;2017/2018;;;;;;;;;;;;;;;;;;;;
86;Age: 15 to 24 years;Percentage/average;Saba;2013;;;;;;;;;;;;;;;;;;;;
87;Age: 15 to 24 years;Percentage/average;Saba;2017/2018;;;;;;;;;;;;;;;;;;;;
88;Age: 15 to 24 years;Reliability margin;Caribbean Netherlands ;2013;0.2;2.4;4.6;5.1;0.2;;6.1;6.3;;;;;;;;;;;;
89;Age: 15 to 24 years;Reliability margin;Caribbean Netherlands ;2017/2018;0.2;;3.5;3.6;0.2;;3.6;3.8;0.2;2.7;5.0;5.4;0.2;2.0;4.2;4.5;0.2;2.8;5.6;5.9
90;Age: 15 to 24 years;Reliability margin;Bonaire;2013;0.3;;5.0;5.7;0.3;;7.4;7.5;;;;;;;;;;;;
91;Age: 15 to 24 years;Reliability margin;Bonaire;2017/2018;0.2;;4.1;4.1;0.2;;4.2;4.4;0.3;3.7;6.6;7.2;0.3;;5.6;5.9;0.3;3.3;6.6;7.1
92;Age: 15 to 24 years;Reliability margin;St. Eustatius;2013;;;;;;;;;;;;;;;;;;;;
93;Age: 15 to 24 years;Reliability margin;St. Eustatius;2017/2018;;;;;;;;;;;;;;;;;;;;
94;Age: 15 to 24 years;Reliability margin;Saba;2013;;;;;;;;;;;;;;;;;;;;
95;Age: 15 to 24 years;Reliability margin;Saba;2017/2018;;;;;;;;;;;;;;;;;;;;
96;Age: 25 to 44 years;Percentage/average;Caribbean Netherlands ;2013;7.9;2.1;10.7;87.2;7.7;4.2;12.9;82.9;;;;;;;;;;;;
97;Age: 25 to 44 years;Percentage/average;Caribbean Netherlands ;2017/2018;8.1;1.0;8.2;90.8;7.9;1.1;11.9;87.0;7.6;4.0;17.7;78.3;7.7;3.3;15.7;81.0;6.9;8.6;28.1;63.4
98;Age: 25 to 44 years;Percentage/average;Bonaire;2013;8.0;1.6;10.3;88.1;7.7;4.1;14.6;81.3;;;;;;;;;;;;
99;Age: 25 to 44 years;Percentage/average;Bonaire;2017/2018;8.1;1.7;8.4;90.0;8.0;1.9;11.4;86.8;7.6;3.1;16.8;80.2;7.9;1.5;15.7;82.9;7.1;5.7;28.3;66.0
100;Age: 25 to 44 years;Percentage/average;St. Eustatius;2013;;;;;;;;;;;;;;;;;;;;
101;Age: 25 to 44 years;Percentage/average;St. Eustatius;2017/2018;7.9;;12.5;87.5;7.8;;15.5;84.5;7.3;5.2;22.3;72.6;7.5;6.2;17.4;76.4;6.9;7.9;29.5;62.6
102;Age: 25 to 44 years;Percentage/average;Saba;2013;;;;;;;;;;;;;;;;;;;;
103;Age: 25 to 44 years;Percentage/average;Saba;2017/2018;8.3;;;98.3;8.0;;8.7;91.3;7.8;5.5;14.5;80.0;7.6;5.7;13.4;80.9;6.2;20.1;24.9;54.9
104;Age: 25 to 44 years;Reliability margin;Caribbean Netherlands ;2013;0.2;1.5;3.1;3.4;0.2;2.0;3.4;3.8;;;;;;;;;;;;
105;Age: 25 to 44 years;Reliability margin;Caribbean Netherlands ;2017/2018;0.1;0.8;2.3;2.4;0.1;0.9;2.7;2.8;0.1;1.6;3.1;3.4;0.1;1.5;3.0;3.2;0.2;2.3;3.7;4.0
106;Age: 25 to 44 years;Reliability margin;Bonaire;2013;0.2;1.5;3.6;3.8;0.2;2.3;4.1;4.6;;;;;;;;;;;;
107;Age: 25 to 44 years;Reliability margin;Bonaire;2017/2018;0.2;1.4;3.0;3.2;0.2;1.5;3.4;3.6;0.2;1.8;4.0;4.3;0.2;1.3;3.9;4.0;0.2;2.5;4.8;5.1
108;Age: 25 to 44 years;Reliability margin;St. Eustatius;2013;;;;;;;;;;;;;;;;;;;;
109;Age: 25 to 44 years;Reliability margin;St. Eustatius;2017/2018;0.2;;5.6;5.6;0.2;;6.1;6.1;0.3;3.7;7.0;7.5;0.3;4.1;6.4;7.1;0.3;4.5;7.6;8.1
110;Age: 25 to 44 years;Reliability margin;Saba;2013;;;;;;;;;;;;;;;;;;;;
111;Age: 25 to 44 years;Reliability margin;Saba;2017/2018;0.2;;;2.6;0.3;;5.7;5.7;0.4;4.6;7.1;8.1;0.4;4.7;6.9;7.9;0.5;8.1;8.7;10.0
112;Age: 45 to 64 years;Percentage/average;Caribbean Netherlands ;2013;8.1;2.9;10.5;86.7;7.7;5.5;13.4;81.1;;;;;;;;;;;;
113;Age: 45 to 64 years;Percentage/average;Caribbean Netherlands ;2017/2018;8.1;2.2;9.4;88.5;8.0;2.1;9.1;88.8;7.5;3.4;22.0;74.6;7.9;4.0;12.9;83.1;7.0;8.2;26.3;65.6
114;Age: 45 to 64 years;Percentage/average;Bonaire;2013;8.1;2.3;11.9;85.7;7.7;5.3;14.8;79.9;;;;;;;;;;;;
115;Age: 45 to 64 years;Percentage/average;Bonaire;2017/2018;8.1;1.8;10.1;88.1;8.0;1.3;8.6;90.1;7.6;2.6;20.2;77.3;7.9;3.5;11.0;85.5;7.1;7.2;23.5;69.3
116;Age: 45 to 64 years;Percentage/average;St. Eustatius;2013;;;;;;;;;;;;;;;;;;;;
117;Age: 45 to 64 years;Percentage/average;St. Eustatius;2017/2018;8.2;2.9;7.0;90.1;8.0;2.8;13.0;84.1;7.3;;33.0;64.9;7.6;4.5;19.1;76.4;6.8;8.8;31.6;59.6
118;Age: 45 to 64 years;Percentage/average;Saba;2013;;;;;;;;;;;;;;;;;;;;
119;Age: 45 to 64 years;Percentage/average;Saba;2017/2018;8.3;;10.1;87.2;8.4;;;90.8;7.9;10.7;9.5;79.8;8.1;5.4;11.1;83.5;6.7;12.1;30.1;57.8
120;Age: 45 to 64 years;Reliability margin;Caribbean Netherlands ;2013;0.2;1.7;3.1;3.4;0.2;2.3;3.4;3.9;;;;;;;;;;;;
121;Age: 45 to 64 years;Reliability margin;Caribbean Netherlands ;2017/2018;0.1;1.2;2.4;2.6;0.1;1.2;2.3;2.5;0.1;1.5;3.4;3.5;0.1;1.6;2.7;3.0;0.2;2.2;3.5;3.8
122;Age: 45 to 64 years;Reliability margin;Bonaire;2013;0.2;1.7;3.7;4.0;0.2;2.6;4.1;4.6;;;;;;;;;;;;
123;Age: 45 to 64 years;Reliability margin;Bonaire;2017/2018;0.2;1.3;3.0;3.3;0.1;1.1;2.8;3.0;0.2;1.6;4.1;4.3;0.2;1.9;3.2;3.6;0.2;2.6;4.3;4.7
124;Age: 45 to 64 years;Reliability margin;St. Eustatius;2013;;;;;;;;;;;;;;;;;;;;
125;Age: 45 to 64 years;Reliability margin;St. Eustatius;2017/2018;0.3;2.8;4.2;4.9;0.3;2.7;5.6;6.0;0.3;;7.8;7.9;0.3;3.4;6.5;7.0;0.3;4.7;7.7;8.1
126;Age: 45 to 64 years;Reliability margin;Saba;2013;;;;;;;;;;;;;;;;;;;;
127;Age: 45 to 64 years;Reliability margin;Saba;2017/2018;0.4;;7.0;7.7;0.4;;;6.7;0.5;7.2;6.9;9.4;0.5;5.2;7.3;8.6;0.5;7.5;10.6;11.4
128;Age: 65 years or older;Percentage/average;Caribbean Netherlands ;2013;8.2;;12.8;85.1;7.9;4.2;16.6;79.2;;;;;;;;;;;;
129;Age: 65 years or older;Percentage/average;Caribbean Netherlands ;2017/2018;8.1;2.0;9.3;88.7;8.0;2.0;11.7;86.3;7.4;6.5;26.0;67.5;7.8;4.1;16.7;79.3;7.2;6.8;24.3;68.9
130;Age: 65 years or older;Percentage/average;Bonaire;2013;8.2;;13.5;84.9;7.7;4.4;17.3;78.3;;;;;;;;;;;;
131;Age: 65 years or older;Percentage/average;Bonaire;2017/2018;8.0;;11.7;86.8;8.0;;12.9;85.1;7.4;4.7;26.4;68.9;7.7;3.3;15.1;81.6;7.1;6.5;23.3;70.2
132;Age: 65 years or older;Percentage/average;St. Eustatius;2013;;;;;;;;;;;;;;;;;;;;
133;Age: 65 years or older;Percentage/average;St. Eustatius;2017/2018;8.0;;;91.9;7.9;;11.7;86.4;7.2;;28.8;64.7;7.2;7.3;25.8;66.9;7.3;;31.2;65.9
134;Age: 65 years or older;Percentage/average;Saba;2013;;;;;;;;;;;;;;;;;;;;
135;Age: 65 years or older;Percentage/average;Saba;2017/2018;8.9;;;91.5;8.5;;;90.9;7.4;13.1;20.3;66.7;8.7;;;90.8;7.2;14.3;17.0;68.7
136;Age: 65 years or older;Reliability margin;Caribbean Netherlands ;2013;0.3;;5.7;6.1;0.3;3.4;6.3;6.9;;;;;;;;;;;;
137;Age: 65 years or older;Reliability margin;Caribbean Netherlands ;2017/2018;0.2;1.8;3.7;4.1;0.2;1.8;4.1;4.4;0.3;3.2;5.8;6.2;0.2;2.6;4.9;5.3;0.3;3.3;5.5;6.0
138;Age: 65 years or older;Reliability margin;Bonaire;2013;0.3;;6.7;7.0;0.3;4.0;7.4;8.1;;;;;;;;;;;;
139;Age: 65 years or older;Reliability margin;Bonaire;2017/2018;0.2;;5.3;5.6;0.3;;5.5;5.9;0.3;3.6;7.5;7.9;0.3;3.0;6.1;6.6;0.3;4.1;7.1;7.6
140;Age: 65 years or older;Reliability margin;St. Eustatius;2013;;;;;;;;;;;;;;;;;;;;
141;Age: 65 years or older;Reliability margin;St. Eustatius;2017/2018;0.5;;;7.2;0.4;;8.3;8.9;0.5;;12.1;12.8;0.5;6.8;11.4;12.3;0.4;;12.1;12.3
142;Age: 65 years or older;Reliability margin;Saba;2013;;;;;;;;;;;;;;;;;;;;
143;Age: 65 years or older;Reliability margin;Saba;2017/2018;0.4;;;9.4;0.5;;;9.7;0.8;11.4;13.6;15.9;0.5;;;9.7;0.8;11.8;12.6;15.6
144;Level of education: Low;Percentage/average;Caribbean Netherlands ;2013;8.0;2.9;13.8;83.3;7.7;4.5;18.4;77.1;;;;;;;;;;;;
145;Level of education: Low;Percentage/average;Caribbean Netherlands ;2017/2018;8.1;1.5;11.7;86.8;7.9;1.8;13.2;85.1;7.1;5.6;28.0;66.4;7.7;4.1;16.5;79.5;6.8;9.5;32.1;58.4
146;Level of education: Low;Percentage/average;Bonaire;2013;8.0;2.8;14.1;83.1;7.6;4.8;20.1;75.1;;;;;;;;;;;;
147;Level of education: Low;Percentage/average;Bonaire;2017/2018;8.0;1.5;13.5;85.1;7.9;1.5;13.8;84.7;7.2;5.1;26.5;68.4;7.7;3.2;15.6;81.2;6.9;8.9;31.0;60.1
148;Level of education: Low;Percentage/average;St. Eustatius;2013;7.9;4.6;11.1;84.3;7.8;;11.2;85.2;;;;;;;;;;;;
149;Level of education: Low;Percentage/average;St. Eustatius;2017/2018;7.9;;9.9;88.6;7.8;2.1;14.4;83.6;7.0;3.8;33.6;62.6;7.3;6.4;20.6;73.1;6.6;9.3;33.9;56.8
150;Level of education: Low;Percentage/average;Saba;2013;8.1;;17.8;82.2;8.0;;19.8;76.4;;;;;;;;;;;;
151;Level of education: Low;Percentage/average;Saba;2017/2018;8.5;;6.8;91.7;8.2;;7.2;90.5;7.1;11.8;22.9;65.3;8.2;;10.8;86.1;6.5;13.1;33.1;53.9
152;Level of education: Low;Reliability margin;Caribbean Netherlands ;2013;0.1;1.4;2.8;3.0;0.2;1.7;3.1;3.4;;;;;;;;;;;;
153;Level of education: Low;Reliability margin;Caribbean Netherlands ;2017/2018;0.1;0.8;2.1;2.2;0.1;0.9;2.2;2.3;0.1;1.5;3.0;3.1;0.1;1.3;2.5;2.7;0.1;1.9;3.1;3.3
154;Level of education: Low;Reliability margin;Bonaire;2013;0.2;1.5;3.3;3.5;0.2;2.0;3.8;4.1;;;;;;;;;;;;
