ID;CaoSectors;SectorBranchesSIC2008;Version;Periods;MonthlyCaoWagesExclSpecialPayments_1;MonthlyCaoWagesInclSpecialPayments_2;HourlyCaoWagesExclSpecialPayments_3;HourlyCaoWagesInclSpecialPayments_4;MonthlyContractualWageCosts_5;HourlyContractualWageCosts_6;ContractualWorkingHours_7;MonthlyCaoWagesExclSpecialPayments_8;MonthlyCaoWagesInclSpecialPayments_9;HourlyCaoWagesExclSpecialPayments_10;HourlyCaoWagesInclSpecialPayments_11;MonthlyContractualWageCosts_12;HourlyContractualWageCosts_13;ContractualWorkingHours_14;PercentageOfCaoSConcluded_15
17;Total Collective labour agreement sector;A-U All economic activities;Current figures;1989 year;60.6;59.1;;57.6;;;102.1;1.6;1.6;;1.7;;;-0.2;
18;Total Collective labour agreement sector;A-U All economic activities;Current figures;1990 year;62.4;61.1;61.0;59.5;;;102.0;2.9;3.3;;3.3;;;-0.1;
19;Total Collective labour agreement sector;A-U All economic activities;Current figures;1991 year;64.8;63.2;63.4;61.7;;;101.8;3.9;3.5;4.0;3.7;;;-0.2;
20;Total Collective labour agreement sector;A-U All economic activities;Current figures;1992 year;67.3;65.6;66.0;64.3;;;101.7;3.9;3.9;4.1;4.2;;;-0.1;
21;Total Collective labour agreement sector;A-U All economic activities;Current figures;1993 year;69.5;67.8;68.2;66.4;;;101.6;3.2;3.2;3.3;3.2;;;-0.1;
22;Total Collective labour agreement sector;A-U All economic activities;Current figures;1994 year;70.4;68.7;69.0;67.4;;;101.7;1.4;1.4;1.3;1.5;;;0.1;
23;Total Collective labour agreement sector;A-U All economic activities;Current figures;1995 year;71.1;69.5;69.8;68.1;;;101.7;0.9;1.1;1.0;1.1;;;0.0;
24;Total Collective labour agreement sector;A-U All economic activities;Current figures;1996 year;72.2;70.7;71.0;69.4;;;101.5;1.6;1.7;1.7;1.8;;;-0.2;
25;Total Collective labour agreement sector;A-U All economic activities;Current figures;1997 year;73.7;72.1;73.1;71.4;;;100.7;2.0;2.0;2.9;3.0;;;-0.8;
26;Total Collective labour agreement sector;A-U All economic activities;Current figures;1998 year;75.8;74.1;75.5;73.8;;;100.3;2.8;2.8;3.3;3.3;;;-0.4;
27;Total Collective labour agreement sector;A-U All economic activities;Current figures;1999 year;78.0;76.3;78.0;76.2;;;100.0;3.0;3.0;3.3;3.3;;;-0.3;
28;Total Collective labour agreement sector;A-U All economic activities;Current figures;2000 year;80.5;78.8;80.5;78.7;76.7;76.7;100.0;3.2;3.2;3.2;3.3;;;0.0;
29;Total Collective labour agreement sector;A-U All economic activities;Current figures;2001 year;83.6;82.2;83.6;82.2;80.0;80.0;100.0;3.8;4.3;3.8;4.4;4.2;4.3;0.0;
30;Total Collective labour agreement sector;A-U All economic activities;Current figures;2002 year;86.4;85.2;86.4;85.2;83.4;83.4;100.0;3.4;3.7;3.4;3.6;4.3;4.3;0.0;
31;Total Collective labour agreement sector;A-U All economic activities;Current figures;2003 year;88.7;87.6;88.7;87.6;86.2;86.2;100.0;2.6;2.8;2.7;2.8;3.4;3.3;0.0;
32;Total Collective labour agreement sector;A-U All economic activities;Current figures;2004 year;89.8;88.7;89.8;88.6;88.4;88.3;100.0;1.3;1.2;1.3;1.3;2.4;2.5;0.0;
33;Total Collective labour agreement sector;A-U All economic activities;Current figures;2005 year;90.4;89.3;90.4;89.3;89.4;89.4;100.0;0.7;0.8;0.6;0.7;1.2;1.2;0.0;
34;Total Collective labour agreement sector;A-U All economic activities;Current figures;2006 year;91.9;91.2;91.8;91.1;90.4;90.4;100.1;1.6;2.1;1.6;2.0;1.1;1.0;0.1;
35;Total Collective labour agreement sector;A-U All economic activities;Current figures;2007 year;93.7;93.0;93.6;93.0;92.3;92.2;100.1;2.0;2.0;1.9;2.1;2.0;2.0;0.0;
36;Total Collective labour agreement sector;A-U All economic activities;Current figures;2008 year;96.6;96.3;96.4;96.1;95.9;95.8;100.2;3.1;3.5;3.0;3.3;4.0;3.8;0.0;
37;Total Collective labour agreement sector;A-U All economic activities;Current figures;2009 year;99.0;98.9;98.8;98.8;98.6;98.5;100.1;2.4;2.7;2.5;2.8;2.8;2.9;0.0;
38;Total Collective labour agreement sector;A-U All economic activities;Current figures;2010 January;99.7;99.8;99.7;99.7;99.7;99.7;100.0;;;;;;;;100.0
39;Total Collective labour agreement sector;A-U All economic activities;Current figures;2010 February;99.8;99.8;99.8;99.8;99.7;99.7;100.0;;;;;;;;100.0
40;Total Collective labour agreement sector;A-U All economic activities;Current figures;2010 March;99.8;99.8;99.8;99.8;99.8;99.8;100.0;;;;;;;;100.0
41;Total Collective labour agreement sector;A-U All economic activities;Current figures;2010 1st quarter;99.8;99.8;99.8;99.8;99.8;99.8;100.0;;;;;;;;100.0
42;Total Collective labour agreement sector;A-U All economic activities;Current figures;2010 April;99.8;99.9;99.8;99.9;99.8;99.8;100.0;;;;;;;;100.0
43;Total Collective labour agreement sector;A-U All economic activities;Current figures;2010 May;99.9;99.9;99.9;99.9;99.9;99.9;100.0;;;;;;;;100.0
44;Total Collective labour agreement sector;A-U All economic activities;Current figures;2010 June;99.9;99.9;99.9;99.9;99.9;99.9;100.0;;;;;;;;100.0
45;Total Collective labour agreement sector;A-U All economic activities;Current figures;2010 2nd quarter;99.9;99.9;99.9;99.9;99.9;99.9;100.0;;;;;;;;100.0
46;Total Collective labour agreement sector;A-U All economic activities;Current figures;2010 July;100.1;100.1;100.1;100.1;100.1;100.1;100.0;;;;;;;;100.0
47;Total Collective labour agreement sector;A-U All economic activities;Current figures;2010 August;100.1;100.1;100.1;100.1;100.2;100.2;100.0;;;;;;;;100.0
48;Total Collective labour agreement sector;A-U All economic activities;Current figures;2010 September;100.2;100.2;100.2;100.2;100.2;100.2;100.0;;;;;;;;100.0
49;Total Collective labour agreement sector;A-U All economic activities;Current figures;2010 3rd quarter;100.1;100.1;100.1;100.1;100.1;100.1;100.0;;;;;;;;100.0
50;Total Collective labour agreement sector;A-U All economic activities;Current figures;2010 October;100.2;100.2;100.2;100.2;100.2;100.2;100.0;;;;;;;;100.0
51;Total Collective labour agreement sector;A-U All economic activities;Current figures;2010 November;100.2;100.2;100.2;100.2;100.2;100.2;100.0;;;;;;;;100.0
52;Total Collective labour agreement sector;A-U All economic activities;Current figures;2010 December;100.2;100.2;100.2;100.2;100.3;100.3;100.0;;;;;;;;100.0
53;Total Collective labour agreement sector;A-U All economic activities;Current figures;2010 4th quarter;100.2;100.2;100.2;100.2;100.2;100.2;100.0;;;;;;;;100.0
54;Total Collective labour agreement sector;A-U All economic activities;Current figures;2010 year;100.0;100.0;100.0;100.0;100.0;100.0;100.0;1.1;1.1;1.2;1.3;1.4;1.5;-0.1;100.0
55;Total Collective labour agreement sector;A-U All economic activities;Current figures;2011 January;100.6;100.7;100.6;100.7;101.0;101.0;100.0;0.9;0.9;0.9;1.0;1.3;1.3;0.0;100.0
56;Total Collective labour agreement sector;A-U All economic activities;Current figures;2011 February;100.8;100.8;100.7;100.8;101.1;101.1;100.0;1.0;1.0;0.9;1.0;1.4;1.4;0.0;100.0
57;Total Collective labour agreement sector;A-U All economic activities;Current figures;2011 March;100.8;100.8;100.7;100.8;101.1;101.1;100.0;1.0;1.0;0.9;1.0;1.3;1.3;0.0;100.0
58;Total Collective labour agreement sector;A-U All economic activities;Current figures;2011 1st quarter;100.7;100.8;100.7;100.7;101.1;101.0;100.0;0.9;1.0;0.9;0.9;1.3;1.2;0.0;100.0
59;Total Collective labour agreement sector;A-U All economic activities;Current figures;2011 April;100.8;100.9;100.8;100.8;101.2;101.2;100.0;1.0;1.0;1.0;0.9;1.4;1.4;0.0;100.0
60;Total Collective labour agreement sector;A-U All economic activities;Current figures;2011 May;100.9;100.9;100.8;100.9;101.2;101.2;100.0;1.0;1.0;0.9;1.0;1.3;1.3;0.0;100.0
61;Total Collective labour agreement sector;A-U All economic activities;Current figures;2011 June;100.9;100.9;100.8;100.9;101.2;101.2;100.0;1.0;1.0;0.9;1.0;1.3;1.3;0.0;100.0
62;Total Collective labour agreement sector;A-U All economic activities;Current figures;2011 2nd quarter;100.8;100.9;100.8;100.9;101.2;101.2;100.0;0.9;1.0;0.9;1.0;1.3;1.3;0.0;100.0
63;Total Collective labour agreement sector;A-U All economic activities;Current figures;2011 July;101.3;101.3;101.3;101.3;101.7;101.7;100.0;1.2;1.2;1.2;1.2;1.6;1.6;0.0;100.0
64;Total Collective labour agreement sector;A-U All economic activities;Current figures;2011 August;101.3;101.4;101.3;101.3;101.7;101.7;100.0;1.2;1.3;1.2;1.2;1.5;1.5;0.0;100.0
65;Total Collective labour agreement sector;A-U All economic activities;Current figures;2011 September;101.4;101.4;101.3;101.4;101.8;101.7;100.0;1.2;1.2;1.1;1.2;1.6;1.5;0.0;100.0
66;Total Collective labour agreement sector;A-U All economic activities;Current figures;2011 3rd quarter;101.3;101.4;101.3;101.3;101.7;101.7;100.0;1.2;1.3;1.2;1.2;1.6;1.6;0.0;100.0
67;Total Collective labour agreement sector;A-U All economic activities;Current figures;2011 October;101.5;101.5;101.4;101.5;101.9;101.8;100.0;1.3;1.3;1.2;1.3;1.7;1.6;0.0;100.0
68;Total Collective labour agreement sector;A-U All economic activities;Current figures;2011 November;101.5;101.5;101.5;101.5;101.9;101.9;100.0;1.3;1.3;1.3;1.3;1.7;1.7;0.0;100.0
69;Total Collective labour agreement sector;A-U All economic activities;Current figures;2011 December;101.5;101.6;101.5;101.5;101.9;101.9;100.0;1.3;1.4;1.3;1.3;1.6;1.6;0.0;100.0
70;Total Collective labour agreement sector;A-U All economic activities;Current figures;2011 4th quarter;101.5;101.5;101.5;101.5;101.9;101.9;100.0;1.3;1.3;1.3;1.3;1.7;1.7;0.0;100.0
71;Total Collective labour agreement sector;A-U All economic activities;Current figures;2011 year;101.1;101.1;101.1;101.1;101.5;101.4;100.0;1.1;1.1;1.1;1.1;1.5;1.4;0.0;100.0
72;Total Collective labour agreement sector;A-U All economic activities;Current figures;2012 January;101.8;101.9;101.7;101.9;103.1;103.0;100.0;1.2;1.2;1.1;1.2;2.1;2.0;0.0;100.0
73;Total Collective labour agreement sector;A-U All economic activities;Current figures;2012 February;101.9;102.0;101.9;102.0;103.2;103.2;100.0;1.1;1.2;1.2;1.2;2.1;2.1;0.0;100.0
74;Total Collective labour agreement sector;A-U All economic activities;Current figures;2012 March;101.9;102.1;101.9;102.0;103.2;103.2;100.0;1.1;1.3;1.2;1.2;2.1;2.1;0.0;100.0
75;Total Collective labour agreement sector;A-U All economic activities;Current figures;2012 1st quarter;101.9;102.0;101.8;102.0;103.2;103.1;100.0;1.2;1.2;1.1;1.3;2.1;2.1;0.0;100.0
76;Total Collective labour agreement sector;A-U All economic activities;Current figures;2012 April;102.1;102.3;102.1;102.2;103.6;103.6;100.0;1.3;1.4;1.3;1.4;2.4;2.4;0.0;100.0
77;Total Collective labour agreement sector;A-U All economic activities;Current figures;2012 May;102.2;102.3;102.1;102.3;103.7;103.7;100.0;1.3;1.4;1.3;1.4;2.5;2.5;0.0;100.0
78;Total Collective labour agreement sector;A-U All economic activities;Current figures;2012 June;102.2;102.4;102.2;102.4;103.8;103.7;100.0;1.3;1.5;1.4;1.5;2.6;2.5;0.0;100.0
79;Total Collective labour agreement sector;A-U All economic activities;Current figures;2012 2nd quarter;102.2;102.3;102.1;102.3;103.7;103.7;100.0;1.4;1.4;1.3;1.4;2.5;2.5;0.0;100.0
80;Total Collective labour agreement sector;A-U All economic activities;Current figures;2012 July;102.6;102.7;102.6;102.7;104.1;104.1;100.0;1.3;1.4;1.3;1.4;2.4;2.4;0.0;100.0
81;Total Collective labour agreement sector;A-U All economic activities;Current figures;2012 August;102.7;102.9;102.7;102.9;104.3;104.2;100.0;1.4;1.5;1.4;1.6;2.6;2.5;0.0;100.0
82;Total Collective labour agreement sector;A-U All economic activities;Current figures;2012 September;102.8;102.9;102.8;102.9;104.3;104.3;100.0;1.4;1.5;1.5;1.5;2.5;2.6;0.0;100.0
83;Total Collective labour agreement sector;A-U All economic activities;Current figures;2012 3rd quarter;102.7;102.9;102.7;102.8;104.2;104.2;100.0;1.4;1.5;1.4;1.5;2.5;2.5;0.0;100.0
84;Total Collective labour agreement sector;A-U All economic activities;Current figures;2012 October;102.8;103.0;102.8;103.0;104.4;104.4;100.0;1.3;1.5;1.4;1.5;2.5;2.6;0.0;100.0
85;Total Collective labour agreement sector;A-U All economic activities;Current figures;2012 November;102.8;103.0;102.8;103.0;104.4;104.4;100.0;1.3;1.5;1.3;1.5;2.5;2.5;0.0;100.0
86;Total Collective labour agreement sector;A-U All economic activities;Current figures;2012 December;102.9;103.0;102.8;103.0;104.4;104.4;100.0;1.4;1.4;1.3;1.5;2.5;2.5;0.0;100.0
87;Total Collective labour agreement sector;A-U All economic activities;Current figures;2012 4th quarter;102.8;103.0;102.8;103.0;104.4;104.4;100.0;1.3;1.5;1.3;1.5;2.5;2.5;0.0;100.0
88;Total Collective labour agreement sector;A-U All economic activities;Current figures;2012 year;102.4;102.6;102.4;102.5;103.9;103.8;100.0;1.3;1.5;1.3;1.4;2.4;2.4;0.0;100.0
89;Total Collective labour agreement sector;A-U All economic activities;Current figures;2013 January;103.2;103.4;103.2;103.4;105.2;105.2;100.0;1.4;1.5;1.5;1.5;2.0;2.1;0.0;100.0
90;Total Collective labour agreement sector;A-U All economic activities;Current figures;2013 February;103.3;103.5;103.2;103.4;105.3;105.3;100.0;1.4;1.5;1.3;1.4;2.0;2.0;0.0;100.0
91;Total Collective labour agreement sector;A-U All economic activities;Current figures;2013 March;103.3;103.5;103.3;103.5;105.3;105.3;100.0;1.4;1.4;1.4;1.5;2.0;2.0;0.0;100.0
92;Total Collective labour agreement sector;A-U All economic activities;Current figures;2013 1st quarter;103.2;103.4;103.2;103.4;105.3;105.2;100.0;1.3;1.4;1.4;1.4;2.0;2.0;0.0;100.0
93;Total Collective labour agreement sector;A-U All economic activities;Current figures;2013  April;103.3;103.5;103.3;103.5;105.4;105.4;100.0;1.2;1.2;1.2;1.3;1.7;1.7;0.0;100.0
94;Total Collective labour agreement sector;A-U All economic activities;Current figures;2013 May;103.3;103.5;103.3;103.5;105.4;105.4;100.0;1.1;1.2;1.2;1.2;1.6;1.6;0.0;100.0
95;Total Collective labour agreement sector;A-U All economic activities;Current figures;2013 June;103.4;103.6;103.4;103.6;105.4;105.4;100.0;1.2;1.2;1.2;1.2;1.5;1.6;0.0;100.0
96;Total Collective labour agreement sector;A-U All economic activities;Current figures;2013 2nd quarter;103.3;103.6;103.3;103.5;105.4;105.4;100.0;1.1;1.3;1.2;1.2;1.6;1.6;0.0;100.0
97;Total Collective labour agreement sector;A-U All economic activities;Current figures;2013 July;103.6;103.8;103.6;103.8;105.7;105.7;100.0;1.0;1.1;1.0;1.1;1.5;1.5;0.0;100.0
98;Total Collective labour agreement sector;A-U All economic activities;Current figures;2013 August;103.6;103.8;103.6;103.8;105.7;105.7;100.0;0.9;0.9;0.9;0.9;1.3;1.4;0.0;100.0
99;Total Collective labour agreement sector;A-U All economic activities;Current figures;2013 September;103.7;103.9;103.6;103.9;105.7;105.7;100.0;0.9;1.0;0.8;1.0;1.3;1.3;0.0;100.0
100;Total Collective labour agreement sector;A-U All economic activities;Current figures;2013 3rd quarter;103.6;103.9;103.6;103.8;105.7;105.7;100.0;0.9;1.0;0.9;1.0;1.4;1.4;0.0;100.0
101;Total Collective labour agreement sector;A-U All economic activities;Current figures;2013 October;103.7;103.9;103.7;103.9;105.8;105.8;100.0;0.9;0.9;0.9;0.9;1.3;1.3;0.0;100.0
102;Total Collective labour agreement sector;A-U All economic activities;Current figures;2013 November;103.7;103.9;103.7;103.9;105.8;105.8;100.0;0.9;0.9;0.9;0.9;1.3;1.3;0.0;100.0
103;Total Collective labour agreement sector;A-U All economic activities;Current figures;2013 December;103.8;104.0;103.7;104.0;105.9;105.8;100.0;0.9;1.0;0.9;1.0;1.4;1.3;0.0;100.0
104;Total Collective labour agreement sector;A-U All economic activities;Current figures;2013 4th quarter;103.7;104.0;103.7;103.9;105.8;105.8;100.0;0.9;1.0;0.9;0.9;1.3;1.3;0.0;100.0
105;Total Collective labour agreement sector;A-U All economic activities;Current figures;2013 year;103.5;103.7;103.5;103.7;105.5;105.5;100.0;1.1;1.1;1.1;1.2;1.5;1.6;0.0;100.0
106;Total Collective labour agreement sector;A-U All economic activities;Current figures;2014 January;104.1;104.3;104.0;104.2;106.6;106.5;100.0;0.9;0.9;0.8;0.8;1.3;1.2;0.0;100.0
107;Total Collective labour agreement sector;A-U All economic activities;Current figures;2014 February;104.1;104.3;104.0;104.3;106.6;106.6;100.0;0.8;0.8;0.8;0.9;1.2;1.2;0.0;100.0
108;Total Collective labour agreement sector;A-U All economic activities;Current figures;2014 March;104.1;104.4;104.1;104.3;106.7;106.6;100.0;0.8;0.9;0.8;0.8;1.3;1.2;0.0;100.0
109;Total Collective labour agreement sector;A-U All economic activities;Current figures;2014 1st quarter;104.1;104.3;104.0;104.3;106.6;106.6;100.0;0.9;0.9;0.8;0.9;1.2;1.3;0.0;100.0
110;Total Collective labour agreement sector;A-U All economic activities;Current figures;2014 April;104.2;104.5;104.1;104.4;106.8;106.7;100.0;0.9;1.0;0.8;0.9;1.3;1.2;0.0;100.0
111;Total Collective labour agreement sector;A-U All economic activities;Current figures;2014 May;104.2;104.5;104.1;104.4;106.8;106.7;100.0;0.9;1.0;0.8;0.9;1.3;1.2;0.0;100.0
112;Total Collective labour agreement sector;A-U All economic activities;Current figures;2014 June;104.2;104.5;104.1;104.5;106.8;106.8;100.0;0.8;0.9;0.7;0.9;1.3;1.3;0.0;100.0
113;Total Collective labour agreement sector;A-U All economic activities;Current figures;2014 2nd quarter;104.2;104.5;104.1;104.4;106.8;106.7;100.0;0.9;0.9;0.8;0.9;1.3;1.2;0.0;100.0
114;Total Collective labour agreement sector;A-U All economic activities;Current figures;2014 July;104.3;104.7;104.3;104.6;107.0;106.9;100.0;0.7;0.9;0.7;0.8;1.2;1.1;0.0;100.0
115;Total Collective labour agreement sector;A-U All economic activities;Current figures;2014 August;104.5;104.8;104.4;104.7;107.1;107.0;100.0;0.9;1.0;0.8;0.9;1.3;1.2;0.0;100.0
116;Total Collective labour agreement sector;A-U All economic activities;Current figures;2014 September;104.5;104.8;104.4;104.8;107.1;107.1;100.0;0.8;0.9;0.8;0.9;1.3;1.3;0.0;100.0
117;Total Collective labour agreement sector;A-U All economic activities;Current figures;2014 3rd quarter;104.4;104.8;104.4;104.7;107.1;107.0;100.0;0.8;0.9;0.8;0.9;1.3;1.2;0.0;100.0
118;Total Collective labour agreement sector;A-U All economic activities;Current figures;2014 October;104.7;105.0;104.6;104.9;107.3;107.2;100.0;1.0;1.1;0.9;1.0;1.4;1.3;0.0;100.0
119;Total Collective labour agreement sector;A-U All economic activities;Current figures;2014 November;104.7;105.0;104.6;104.9;107.3;107.2;100.0;1.0;1.1;0.9;1.0;1.4;1.3;0.0;100.0
120;Total Collective labour agreement sector;A-U All economic activities;Current figures;2014 December;104.7;105.0;104.6;105.0;107.3;107.3;100.0;0.9;1.0;0.9;1.0;1.3;1.4;0.0;100.0
121;Total Collective labour agreement sector;A-U All economic activities;Current figures;2014 4th quarter;104.7;105.0;104.6;104.9;107.3;107.2;100.0;1.0;1.0;0.9;1.0;1.4;1.3;0.0;100.0
122;Total Collective labour agreement sector;A-U All economic activities;Current figures;2014 year;104.3;104.7;104.3;104.6;107.0;106.9;100.0;0.8;1.0;0.8;0.9;1.4;1.3;0.0;100.0
123;Total Collective labour agreement sector;A-U All economic activities;Current figures;2015 January;105.2;105.7;105.1;105.6;107.2;107.1;100.1;1.1;1.3;1.1;1.3;0.6;0.6;0.1;100.0
124;Total Collective labour agreement sector;A-U All economic activities;Current figures;2015 February;105.2;105.7;105.2;105.6;107.2;107.1;100.1;1.1;1.3;1.2;1.2;0.6;0.5;0.1;100.0
125;Total Collective labour agreement sector;A-U All economic activities;Current figures;2015 March;105.3;105.8;105.2;105.7;107.3;107.2;100.1;1.2;1.3;1.1;1.3;0.6;0.6;0.1;100.0
126;Total Collective labour agreement sector;A-U All economic activities;Current figures;2015 1st quarter;105.3;105.8;105.2;105.7;107.2;107.1;100.1;1.2;1.4;1.2;1.3;0.6;0.5;0.1;100.0
127;Total Collective labour agreement sector;A-U All economic activities;Current figures;2015 April;105.5;105.9;105.4;105.8;107.4;107.3;100.1;1.2;1.3;1.2;1.3;0.6;0.6;0.1;100.0
128;Total Collective labour agreement sector;A-U All economic activities;Current figures;2015 May;105.5;106.0;105.4;105.9;107.4;107.3;100.1;1.2;1.4;1.2;1.4;0.6;0.6;0.1;100.0
129;Total Collective labour agreement sector;A-U All economic activities;Current figures;2015 June;105.5;106.0;105.4;105.9;107.5;107.3;100.1;1.2;1.4;1.2;1.3;0.7;0.5;0.1;100.0
130;Total Collective labour agreement sector;A-U All economic activities;Current figures;2015 2nd quarter;105.5;106.0;105.4;105.9;107.4;107.3;100.1;1.2;1.4;1.2;1.4;0.6;0.6;0.1;100.0
131;Total Collective labour agreement sector;A-U All economic activities;Current figures;2015 July;105.8;106.3;105.7;106.2;107.7;107.6;100.1;1.4;1.5;1.3;1.5;0.7;0.7;0.1;100.0
132;Total Collective labour agreement sector;A-U All economic activities;Current figures;2015 August;105.8;106.3;105.7;106.2;107.7;107.6;100.1;1.2;1.4;1.2;1.4;0.6;0.6;0.1;100.0
133;Total Collective labour agreement sector;A-U All economic activities;Current figures;2015 September;106.0;106.4;105.9;106.3;107.9;107.8;100.1;1.4;1.5;1.4;1.4;0.7;0.7;0.1;100.0
134;Total Collective labour agreement sector;A-U All economic activities;Current figures;2015 3rd quarter;105.8;106.3;105.7;106.2;107.7;107.6;100.1;1.3;1.4;1.2;1.4;0.6;0.6;0.1;100.0
135;Total Collective labour agreement sector;A-U All economic activities;Current figures;2015 October;106.0;106.5;105.9;106.4;107.9;107.8;100.1;1.2;1.4;1.2;1.4;0.6;0.6;0.1;100.0
136;Total Collective labour agreement sector;A-U All economic activities;Current figures;2015 November;106.1;106.5;106.0;106.4;108.0;107.9;100.1;1.3;1.4;1.3;1.4;0.7;0.7;0.1;100.0
137;Total Collective labour agreement sector;A-U All economic activities;Current figures;2015 December;106.2;106.7;106.1;106.6;108.1;108.0;100.1;1.4;1.6;1.4;1.5;0.7;0.7;0.1;100.0
138;Total Collective labour agreement sector;A-U All economic activities;Current figures;2015 4th quarter;106.1;106.6;106.0;106.5;108.0;107.9;100.1;1.3;1.5;1.3;1.5;0.7;0.7;0.1;100.0
139;Total Collective labour agreement sector;A-U All economic activities;Current figures;2015 year;105.7;106.2;105.6;106.1;107.6;107.5;100.1;1.3;1.4;1.2;1.4;0.6;0.6;0.1;100.0
140;Total Collective labour agreement sector;A-U All economic activities;Current figures;2016 January;107.0;107.7;106.9;107.6;109.3;109.1;100.1;1.7;1.9;1.7;1.9;2.0;1.9;0.0;100.0
141;Total Collective labour agreement sector;A-U All economic activities;Current figures;2016 February;107.0;107.7;106.9;107.6;109.3;109.1;100.1;1.7;1.9;1.6;1.9;2.0;1.9;0.0;100.0
142;Total Collective labour agreement sector;A-U All economic activities;Current figures;2016 March;107.1;107.7;106.9;107.6;109.3;109.2;100.1;1.7;1.8;1.6;1.8;1.9;1.9;0.0;100.0
143;Total Collective labour agreement sector;A-U All economic activities;Current figures;2016 1st quarter;107.1;107.7;106.9;107.6;109.3;109.2;100.1;1.7;1.8;1.6;1.8;2.0;2.0;0.0;100.0
144;Total Collective labour agreement sector;A-U All economic activities;Current figures;2016 April;107.2;107.9;107.1;107.8;109.5;109.4;100.1;1.6;1.9;1.6;1.9;2.0;2.0;0.0;100.0
145;Total Collective labour agreement sector;A-U All economic activities;Current figures;2016 May;107.3;107.9;107.1;107.8;109.6;109.4;100.1;1.7;1.8;1.6;1.8;2.0;2.0;0.0;100.0
146;Total Collective labour agreement sector;A-U All economic activities;Current figures;2016 June;107.3;107.9;107.2;107.8;109.6;109.5;100.1;1.7;1.8;1.7;1.8;2.0;2.1;0.0;100.0
147;Total Collective labour agreement sector;A-U All economic activities;Current figures;2016 2nd quarter;107.2;107.9;107.1;107.8;109.6;109.4;100.1;1.6;1.8;1.6;1.8;2.0;2.0;0.0;100.0
148;Total Collective labour agreement sector;A-U All economic activities;Current figures;2016 July;107.9;108.4;107.7;108.3;110.0;109.9;100.1;2.0;2.0;1.9;2.0;2.1;2.1;0.0;100.0
149;Total Collective labour agreement sector;A-U All economic activities;Current figures;2016 August;107.9;108.5;107.8;108.3;110.0;109.9;100.1;2.0;2.1;2.0;2.0;2.1;2.1;0.0;100.0
150;Total Collective labour agreement sector;A-U All economic activities;Current figures;2016 September;108.0;108.5;107.8;108.4;110.1;109.9;100.1;1.9;2.0;1.8;2.0;2.0;1.9;0.0;100.0
