ID;Countries;Periods;TotalMenAndWomen_1;Men_2;Women_3;Unknown_4;AllAges_5;YoungerThan15Years_6;k_15To17Years_7;k_18YearsOrOlder_8
307;Afghanistan;1998 2nd quarter;1720.0;1030.0;680.0;0.0;1720.0;620.0;100.0;1000.0
308;Afghanistan;1998 3rd quarter;2190.0;1290.0;900.0;0.0;2190.0;850.0;140.0;1200.0
309;Afghanistan;1998 4th quarter;1420.0;910.0;510.0;;1420.0;470.0;100.0;850.0
310;Afghanistan;1998;7120.0;4370.0;2740.0;10.0;7120.0;2570.0;470.0;4080.0
311;Afghanistan;1999 1st quarter;840.0;520.0;320.0;0.0;840.0;310.0;60.0;470.0
312;Afghanistan;1999 2nd quarter;770.0;470.0;300.0;0.0;770.0;300.0;60.0;400.0
313;Afghanistan;1999 3rd quarter;1090.0;690.0;390.0;10.0;1090.0;400.0;90.0;600.0
314;Afghanistan;1999 4th quarter;1710.0;1060.0;640.0;10.0;1710.0;630.0;160.0;930.0
315;Afghanistan;1999;4400.0;2740.0;1640.0;20.0;4400.0;1630.0;360.0;2410.0
316;Afghanistan;2000 1st quarter;1080.0;670.0;410.0;0.0;1080.0;400.0;80.0;600.0
317;Afghanistan;2000 2nd quarter;1140.0;670.0;460.0;10.0;1140.0;460.0;80.0;590.0
318;Afghanistan;2000 3rd quarter;1400.0;860.0;530.0;10.0;1400.0;490.0;110.0;800.0
319;Afghanistan;2000 4th quarter;1420.0;870.0;550.0;0.0;1420.0;500.0;100.0;820.0
320;Afghanistan;2000;5030.0;3060.0;1950.0;20.0;5030.0;1850.0;370.0;2810.0
321;Afghanistan;2001 1st quarter;950.0;590.0;360.0;10.0;950.0;310.0;80.0;570.0
322;Afghanistan;2001 2nd quarter;820.0;540.0;290.0;0.0;820.0;230.0;70.0;520.0
323;Afghanistan;2001 3rd quarter;850.0;550.0;300.0;0.0;850.0;250.0;70.0;530.0
324;Afghanistan;2001 4th quarter;1000.0;700.0;290.0;0.0;1000.0;240.0;90.0;660.0
325;Afghanistan;2001;3630.0;2370.0;1240.0;20.0;3630.0;1030.0;320.0;2280.0
326;Afghanistan;2002 1st quarter;470.0;340.0;140.0;;470.0;120.0;70.0;280.0
327;Afghanistan;2002 2nd quarter;220.0;160.0;60.0;;220.0;60.0;40.0;130.0
328;Afghanistan;2002 3rd quarter;220.0;130.0;80.0;10.0;220.0;70.0;30.0;120.0
329;Afghanistan;2002 4th quarter;160.0;110.0;50.0;0.0;160.0;40.0;20.0;110.0
330;Afghanistan;2002;1080.0;740.0;320.0;10.0;1080.0;280.0;160.0;640.0
331;Afghanistan;2003 1st quarter;140.0;70.0;50.0;30.0;140.0;60.0;20.0;70.0
332;Afghanistan;2003 2nd quarter;100.0;60.0;30.0;10.0;100.0;40.0;20.0;50.0
333;Afghanistan;2003 3rd quarter;100.0;60.0;30.0;0.0;100.0;30.0;10.0;60.0
334;Afghanistan;2003 4th quarter;150.0;90.0;60.0;10.0;150.0;50.0;20.0;80.0
335;Afghanistan;2003;490.0;280.0;170.0;40.0;490.0;180.0;60.0;250.0
336;Afghanistan;2004 1st quarter;170.0;100.0;70.0;0.0;170.0;70.0;20.0;80.0
337;Afghanistan;2004 2nd quarter;140.0;60.0;80.0;0.0;140.0;50.0;10.0;80.0
338;Afghanistan;2004 3rd quarter;210.0;110.0;100.0;;210.0;80.0;20.0;110.0
339;Afghanistan;2004 4th quarter;170.0;100.0;70.0;0.0;170.0;50.0;10.0;100.0
340;Afghanistan;2004;690.0;370.0;310.0;10.0;690.0;260.0;60.0;370.0
341;Afghanistan;2005 1st quarter;190.0;120.0;80.0;;190.0;60.0;30.0;110.0
342;Afghanistan;2005 2nd quarter;240.0;150.0;90.0;0.0;240.0;70.0;30.0;150.0
343;Afghanistan;2005 3rd quarter;160.0;90.0;70.0;;160.0;50.0;10.0;100.0
344;Afghanistan;2005 4th quarter;310.0;180.0;130.0;;310.0;90.0;20.0;200.0
345;Afghanistan;2005;900.0;530.0;370.0;0.0;900.0;260.0;80.0;560.0
346;Afghanistan;2006 1st quarter;300.0;180.0;120.0;0.0;300.0;90.0;20.0;190.0
347;Afghanistan;2006 2nd quarter;260.0;140.0;120.0;;260.0;80.0;30.0;160.0
348;Afghanistan;2006 3rd quarter;200.0;110.0;100.0;;200.0;60.0;10.0;130.0
349;Afghanistan;2006 4th quarter;170.0;90.0;80.0;;170.0;50.0;10.0;110.0
350;Afghanistan;2006;930.0;520.0;410.0;0.0;930.0;280.0;70.0;580.0
351;Afghanistan;2007 1st quarter;140.0;80.0;60.0;;140.0;40.0;10.0;100.0
352;Afghanistan;2007 2nd quarter;160.0;110.0;50.0;;160.0;30.0;10.0;120.0
353;Afghanistan;2007 3rd quarter;130.0;80.0;50.0;;130.0;30.0;10.0;90.0
354;Afghanistan;2007 4th quarter;90.0;70.0;20.0;;90.0;10.0;20.0;60.0
355;Afghanistan;2007;520.0;340.0;180.0;;520.0;110.0;50.0;360.0
356;Afghanistan;2008 1st quarter;;;;;;;;
357;Angola;1998 1st quarter;100.0;60.0;30.0;;100.0;30.0;20.0;40.0
358;Angola;1998 2nd quarter;130.0;80.0;50.0;;130.0;50.0;30.0;50.0
359;Angola;1998 3rd quarter;150.0;90.0;60.0;0.0;150.0;60.0;40.0;50.0
360;Angola;1998 4th quarter;230.0;140.0;90.0;;230.0;70.0;90.0;80.0
361;Angola;1998;610.0;370.0;240.0;0.0;610.0;200.0;180.0;230.0
362;Angola;1999 1st quarter;310.0;220.0;90.0;;310.0;100.0;110.0;110.0
363;Angola;1999 2nd quarter;400.0;280.0;120.0;;400.0;140.0;120.0;130.0
364;Angola;1999 3rd quarter;400.0;270.0;120.0;;400.0;160.0;130.0;110.0
365;Angola;1999 4th quarter;480.0;300.0;180.0;;480.0;160.0;180.0;140.0
366;Angola;1999;1590.0;1080.0;510.0;;1590.0;560.0;540.0;480.0
367;Angola;2000 1st quarter;460.0;290.0;170.0;0.0;460.0;160.0;140.0;160.0
368;Angola;2000 2nd quarter;470.0;290.0;180.0;0.0;470.0;180.0;160.0;120.0
369;Angola;2000 3rd quarter;550.0;350.0;200.0;0.0;550.0;210.0;180.0;160.0
370;Angola;2000 4th quarter;710.0;440.0;270.0;;710.0;250.0;250.0;210.0
371;Angola;2000;2180.0;1360.0;810.0;10.0;2180.0;800.0;740.0;650.0
372;Angola;2001 1st quarter;900.0;520.0;360.0;20.0;900.0;360.0;300.0;240.0
373;Angola;2001 2nd quarter;890.0;570.0;320.0;0.0;890.0;280.0;310.0;290.0
374;Angola;2001 3rd quarter;1090.0;700.0;380.0;10.0;1090.0;440.0;330.0;320.0
375;Angola;2001 4th quarter;1230.0;830.0;400.0;10.0;1230.0;450.0;430.0;350.0
376;Angola;2001;4110.0;2620.0;1460.0;40.0;4110.0;1530.0;1370.0;1210.0
377;Angola;2002 1st quarter;850.0;520.0;320.0;10.0;850.0;360.0;250.0;240.0
378;Angola;2002 2nd quarter;640.0;400.0;230.0;10.0;640.0;260.0;190.0;180.0
379;Angola;2002 3rd quarter;240.0;140.0;100.0;0.0;240.0;90.0;80.0;70.0
380;Angola;2002 4th quarter;170.0;90.0;70.0;0.0;170.0;50.0;50.0;60.0
381;Angola;2002;1890.0;1150.0;720.0;20.0;1890.0;770.0;570.0;550.0
382;Angola;2003 1st quarter;140.0;70.0;60.0;10.0;140.0;50.0;30.0;50.0
383;Angola;2003 2nd quarter;100.0;50.0;50.0;0.0;100.0;50.0;20.0;30.0
384;Angola;2003 3rd quarter;80.0;30.0;40.0;10.0;80.0;30.0;20.0;30.0
385;Angola;2003 4th quarter;60.0;40.0;20.0;0.0;60.0;20.0;10.0;20.0
386;Angola;2003;370.0;180.0;170.0;20.0;370.0;150.0;80.0;140.0
387;Angola;2004 1st quarter;60.0;30.0;30.0;0.0;60.0;40.0;10.0;20.0
388;Angola;2004 2nd quarter;20.0;20.0;10.0;;20.0;10.0;0.0;10.0
389;Angola;2004 3rd quarter;40.0;20.0;20.0;;40.0;20.0;0.0;20.0
390;Angola;2004 4th quarter;60.0;30.0;30.0;0.0;60.0;40.0;10.0;10.0
391;Angola;2004;180.0;90.0;90.0;0.0;180.0;100.0;30.0;60.0
392;Angola;2005 1st quarter;80.0;40.0;30.0;0.0;80.0;40.0;10.0;20.0
393;Angola;2005 2nd quarter;40.0;20.0;20.0;;40.0;20.0;0.0;20.0
394;Angola;2005 3rd quarter;50.0;30.0;30.0;;50.0;20.0;10.0;30.0
395;Angola;2005 4th quarter;60.0;30.0;20.0;;60.0;20.0;0.0;30.0
396;Angola;2005;220.0;120.0;100.0;0.0;220.0;100.0;20.0;100.0
397;Angola;2006 1st quarter;100.0;50.0;50.0;;100.0;50.0;10.0;50.0
398;Angola;2006 2nd quarter;50.0;30.0;20.0;;50.0;10.0;0.0;40.0
399;Angola;2006 3rd quarter;30.0;20.0;10.0;;30.0;10.0;0.0;20.0
400;Angola;2006 4th quarter;30.0;20.0;10.0;;30.0;10.0;0.0;10.0
401;Angola;2006;210.0;120.0;100.0;;210.0;80.0;10.0;120.0
402;Angola;2007 1st quarter;30.0;10.0;20.0;;30.0;10.0;0.0;20.0
403;Angola;2007 2nd quarter;20.0;10.0;10.0;;20.0;0.0;0.0;10.0
404;Angola;2007 3rd quarter;20.0;10.0;10.0;;20.0;0.0;0.0;10.0
405;Angola;2007 4th quarter;10.0;10.0;0.0;;10.0;0.0;0.0;10.0
406;Angola;2007;80.0;40.0;40.0;;80.0;20.0;10.0;50.0
407;Angola;2008 1st quarter;;;;;;;;
408;Armenia;1998 1st quarter;120.0;60.0;60.0;;120.0;30.0;10.0;70.0
409;Armenia;1998 2nd quarter;90.0;50.0;40.0;;90.0;30.0;10.0;60.0
410;Armenia;1998 3rd quarter;200.0;100.0;100.0;;200.0;60.0;10.0;120.0
411;Armenia;1998 4th quarter;300.0;180.0;120.0;;300.0;100.0;20.0;190.0
412;Armenia;1998;710.0;390.0;320.0;;710.0;220.0;50.0;440.0
413;Armenia;1999 1st quarter;310.0;170.0;130.0;;310.0;100.0;20.0;190.0
414;Armenia;1999 2nd quarter;220.0;150.0;70.0;0.0;220.0;60.0;10.0;160.0
415;Armenia;1999 3rd quarter;460.0;260.0;190.0;;460.0;150.0;20.0;290.0
416;Armenia;1999 4th quarter;270.0;160.0;110.0;0.0;270.0;80.0;10.0;180.0
417;Armenia;1999;1250.0;740.0;510.0;0.0;1250.0;380.0;60.0;820.0
418;Armenia;2000 1st quarter;310.0;160.0;150.0;;310.0;100.0;20.0;190.0
419;Armenia;2000 2nd quarter;170.0;90.0;80.0;0.0;170.0;70.0;10.0;90.0
420;Armenia;2000 3rd quarter;120.0;60.0;60.0;0.0;120.0;40.0;10.0;70.0
421;Armenia;2000 4th quarter;210.0;110.0;100.0;;210.0;50.0;10.0;150.0
422;Armenia;2000;810.0;420.0;390.0;0.0;810.0;270.0;40.0;500.0
423;Armenia;2001 1st quarter;170.0;90.0;80.0;;170.0;30.0;20.0;120.0
424;Armenia;2001 2nd quarter;130.0;60.0;70.0;0.0;130.0;40.0;10.0;80.0
425;Armenia;2001 3rd quarter;100.0;50.0;50.0;0.0;100.0;30.0;10.0;60.0
426;Armenia;2001 4th quarter;130.0;70.0;60.0;;130.0;50.0;10.0;80.0
427;Armenia;2001;530.0;270.0;250.0;0.0;530.0;150.0;40.0;340.0
428;Armenia;2002 1st quarter;140.0;70.0;70.0;0.0;140.0;40.0;10.0;90.0
429;Armenia;2002 2nd quarter;120.0;70.0;50.0;0.0;120.0;40.0;10.0;80.0
430;Armenia;2002 3rd quarter;100.0;50.0;60.0;;100.0;30.0;10.0;60.0
431;Armenia;2002 4th quarter;60.0;30.0;30.0;;60.0;10.0;10.0;40.0
432;Armenia;2002;420.0;220.0;200.0;0.0;420.0;120.0;30.0;270.0
433;Armenia;2003 1st quarter;60.0;30.0;20.0;0.0;60.0;10.0;0.0;40.0
434;Armenia;2003 2nd quarter;40.0;20.0;20.0;;40.0;10.0;0.0;30.0
435;Armenia;2003 3rd quarter;50.0;30.0;20.0;0.0;50.0;10.0;10.0;40.0
436;Armenia;2003 4th quarter;60.0;30.0;30.0;0.0;60.0;20.0;0.0;40.0
437;Armenia;2003;200.0;100.0;90.0;10.0;200.0;50.0;20.0;140.0
438;Armenia;2004 1st quarter;90.0;50.0;20.0;20.0;90.0;20.0;0.0;60.0
439;Armenia;2004 2nd quarter;50.0;30.0;20.0;;50.0;10.0;0.0;30.0
440;Armenia;2004 3rd quarter;50.0;30.0;30.0;;50.0;10.0;10.0;40.0
441;Armenia;2004 4th quarter;60.0;30.0;30.0;0.0;60.0;20.0;0.0;40.0
442;Armenia;2004;250.0;130.0;100.0;20.0;250.0;70.0;10.0;170.0
443;Armenia;2005 1st quarter;50.0;30.0;20.0;;50.0;10.0;;40.0
444;Armenia;2005 2nd quarter;40.0;20.0;20.0;;40.0;10.0;0.0;30.0
445;Armenia;2005 3rd quarter;50.0;20.0;20.0;;50.0;10.0;10.0;30.0
446;Armenia;2005 4th quarter;60.0;40.0;30.0;0.0;60.0;10.0;10.0;50.0
447;Armenia;2005;200.0;110.0;90.0;0.0;200.0;40.0;10.0;140.0
448;Armenia;2006 1st quarter;100.0;50.0;50.0;;100.0;20.0;10.0;70.0
449;Armenia;2006 2nd quarter;70.0;40.0;30.0;;70.0;20.0;10.0;50.0
450;Armenia;2006 3rd quarter;60.0;40.0;30.0;;60.0;20.0;10.0;40.0
451;Armenia;2006 4th quarter;40.0;30.0;20.0;;40.0;10.0;0.0;30.0
452;Armenia;2006;280.0;150.0;130.0;;280.0;60.0;30.0;190.0
453;Armenia;2007 1st quarter;60.0;30.0;20.0;;60.0;10.0;0.0;40.0
454;Armenia;2007 2nd quarter;20.0;20.0;10.0;;20.0;0.0;0.0;20.0
455;Armenia;2007 3rd quarter;30.0;20.0;10.0;;30.0;10.0;0.0;20.0
456;Armenia;2007 4th quarter;50.0;30.0;20.0;;50.0;10.0;0.0;30.0
457;Armenia;2007;150.0;90.0;60.0;;150.0;30.0;10.0;110.0
458;Armenia;2008 1st quarter;;;;;;;;
459;Azerbaijan;1998 1st quarter;120.0;70.0;50.0;;120.0;50.0;10.0;70.0
460;Azerbaijan;1998 2nd quarter;150.0;80.0;70.0;;150.0;50.0;10.0;90.0
461;Azerbaijan;1998 3rd quarter;280.0;130.0;150.0;;280.0;90.0;20.0;180.0
462;Azerbaijan;1998 4th quarter;730.0;370.0;360.0;;730.0;220.0;40.0;460.0
463;Azerbaijan;1998;1270.0;640.0;630.0;;1270.0;400.0;70.0;790.0
464;Azerbaijan;1999 1st quarter;460.0;240.0;210.0;0.0;460.0;150.0;20.0;290.0
465;Azerbaijan;1999 2nd quarter;490.0;260.0;230.0;;490.0;130.0;30.0;340.0
466;Azerbaijan;1999 3rd quarter;850.0;440.0;410.0;;850.0;240.0;40.0;580.0
467;Azerbaijan;1999 4th quarter;650.0;350.0;300.0;0.0;650.0;190.0;40.0;420.0
468;Azerbaijan;1999;2450.0;1300.0;1150.0;0.0;2450.0;700.0;130.0;1630.0
469;Azerbaijan;2000 1st quarter;490.0;250.0;240.0;;490.0;140.0;30.0;320.0
470;Azerbaijan;2000 2nd quarter;230.0;120.0;110.0;0.0;230.0;60.0;20.0;150.0
471;Azerbaijan;2000 3rd quarter;240.0;120.0;120.0;0.0;240.0;70.0;10.0;160.0
472;Azerbaijan;2000 4th quarter;200.0;100.0;100.0;;200.0;50.0;10.0;130.0
473;Azerbaijan;2000;1150.0;590.0;560.0;0.0;1150.0;310.0;80.0;760.0
474;Azerbaijan;2001 1st quarter;230.0;140.0;90.0;0.0;230.0;70.0;10.0;160.0
475;Azerbaijan;2001 2nd quarter;130.0;80.0;60.0;;130.0;40.0;10.0;90.0
476;Azerbaijan;2001 3rd quarter;150.0;70.0;80.0;;150.0;40.0;10.0;100.0
477;Azerbaijan;2001 4th quarter;130.0;80.0;50.0;0.0;130.0;30.0;10.0;80.0
478;Azerbaijan;2001;640.0;360.0;270.0;0.0;640.0;170.0;40.0;430.0
479;Azerbaijan;2002 1st quarter;120.0;70.0;50.0;0.0;120.0;40.0;10.0;80.0
480;Azerbaijan;2002 2nd quarter;80.0;40.0;40.0;0.0;80.0;20.0;0.0;70.0
481;Azerbaijan;2002 3rd quarter;70.0;30.0;40.0;0.0;70.0;20.0;0.0;50.0
482;Azerbaijan;2002 4th quarter;70.0;30.0;40.0;;70.0;20.0;10.0;40.0
483;Azerbaijan;2002;340.0;170.0;160.0;0.0;340.0;90.0;20.0;230.0
484;Azerbaijan;2003 1st quarter;50.0;30.0;20.0;;50.0;20.0;0.0;40.0
485;Azerbaijan;2003 2nd quarter;80.0;40.0;40.0;0.0;80.0;30.0;10.0;40.0
486;Azerbaijan;2003 3rd quarter;80.0;50.0;30.0;;80.0;10.0;10.0;60.0
487;Azerbaijan;2003 4th quarter;70.0;40.0;20.0;0.0;70.0;20.0;10.0;50.0
488;Azerbaijan;2003;280.0;160.0;110.0;10.0;280.0;70.0;20.0;180.0
489;Azerbaijan;2004 1st quarter;70.0;40.0;30.0;;70.0;20.0;0.0;50.0
490;Azerbaijan;2004 2nd quarter;60.0;40.0;20.0;;60.0;10.0;0.0;50.0
491;Azerbaijan;2004 3rd quarter;60.0;30.0;30.0;;60.0;20.0;10.0;40.0
492;Azerbaijan;2004 4th quarter;70.0;40.0;30.0;;70.0;20.0;0.0;40.0
493;Azerbaijan;2004;250.0;150.0;110.0;;250.0;60.0;10.0;180.0
494;Azerbaijan;2005 1st quarter;60.0;30.0;30.0;;60.0;20.0;0.0;40.0
495;Azerbaijan;2005 2nd quarter;80.0;40.0;40.0;;80.0;20.0;10.0;50.0
496;Azerbaijan;2005 3rd quarter;60.0;30.0;30.0;;60.0;20.0;0.0;40.0
497;Azerbaijan;2005 4th quarter;90.0;50.0;40.0;;90.0;20.0;10.0;70.0
498;Azerbaijan;2005;290.0;150.0;140.0;;290.0;70.0;20.0;200.0
499;Azerbaijan;2006 1st quarter;170.0;80.0;90.0;;170.0;50.0;10.0;120.0
500;Azerbaijan;2006 2nd quarter;110.0;60.0;50.0;;110.0;30.0;10.0;60.0
501;Azerbaijan;2006 3rd quarter;70.0;40.0;30.0;;70.0;10.0;0.0;50.0
502;Azerbaijan;2006 4th quarter;40.0;20.0;20.0;;40.0;10.0;0.0;30.0
503;Azerbaijan;2006;380.0;190.0;190.0;;380.0;100.0;20.0;260.0
504;Azerbaijan;2007 1st quarter;30.0;20.0;10.0;;30.0;10.0;0.0;30.0
505;Azerbaijan;2007 2nd quarter;20.0;10.0;10.0;;20.0;0.0;0.0;10.0
506;Azerbaijan;2007 3rd quarter;30.0;10.0;10.0;;30.0;0.0;0.0;20.0
507;Azerbaijan;2007 4th quarter;10.0;0.0;0.0;;10.0;0.0;;0.0
508;Azerbaijan;2007;80.0;40.0;40.0;;80.0;10.0;10.0;60.0
509;Azerbaijan;2008 1st quarter;;;;;;;;
510;Bosnia and Hercegovina;1998 1st quarter;630.0;360.0;280.0;;630.0;200.0;20.0;410.0
511;Bosnia and Hercegovina;1998 2nd quarter;770.0;430.0;340.0;0.0;770.0;250.0;20.0;500.0
512;Bosnia and Hercegovina;1998 3rd quarter;1240.0;670.0;570.0;;1240.0;440.0;40.0;750.0
513;Bosnia and Hercegovina;1998 4th quarter;1120.0;630.0;490.0;0.0;1120.0;340.0;50.0;730.0
514;Bosnia and Hercegovina;1998;3770.0;2080.0;1680.0;10.0;3770.0;1240.0;140.0;2400.0
515;Bosnia and Hercegovina;1999 1st quarter;340.0;190.0;150.0;0.0;340.0;110.0;10.0;210.0
516;Bosnia and Hercegovina;1999 2nd quarter;220.0;120.0;100.0;0.0;220.0;80.0;10.0;140.0
517;Bosnia and Hercegovina;1999 3rd quarter;320.0;170.0;150.0;0.0;320.0;100.0;10.0;210.0
518;Bosnia and Hercegovina;1999 4th quarter;300.0;170.0;120.0;0.0;300.0;70.0;10.0;210.0
519;Bosnia and Hercegovina;1999;1170.0;650.0;510.0;10.0;1170.0;360.0;40.0;760.0
520;Bosnia and Hercegovina;2000 1st quarter;350.0;190.0;150.0;10.0;350.0;130.0;10.0;210.0
521;Bosnia and Hercegovina;2000 2nd quarter;330.0;190.0;140.0;0.0;330.0;100.0;10.0;220.0
522;Bosnia and Hercegovina;2000 3rd quarter;500.0;260.0;240.0;;500.0;190.0;20.0;290.0
523;Bosnia and Hercegovina;2000 4th quarter;460.0;250.0;210.0;0.0;460.0;140.0;20.0;300.0
524;Bosnia and Hercegovina;2000;1640.0;890.0;730.0;10.0;1640.0;550.0;60.0;1030.0
525;Bosnia and Hercegovina;2001 1st quarter;540.0;290.0;240.0;0.0;540.0;190.0;10.0;340.0
526;Bosnia and Hercegovina;2001 2nd quarter;260.0;150.0;110.0;;260.0;80.0;10.0;170.0
527;Bosnia and Hercegovina;2001 3rd quarter;140.0;80.0;50.0;0.0;140.0;30.0;0.0;110.0
528;Bosnia and Hercegovina;2001 4th quarter;90.0;60.0;30.0;0.0;90.0;10.0;10.0;70.0
529;Bosnia and Hercegovina;2001;1030.0;580.0;440.0;10.0;1030.0;300.0;30.0;690.0
530;Bosnia and Hercegovina;2002 1st quarter;60.0;40.0;30.0;;60.0;20.0;0.0;40.0
531;Bosnia and Hercegovina;2002 2nd quarter;40.0;30.0;10.0;0.0;40.0;10.0;;30.0
532;Bosnia and Hercegovina;2002 3rd quarter;60.0;40.0;20.0;;60.0;10.0;0.0;40.0
533;Bosnia and Hercegovina;2002 4th quarter;60.0;30.0;30.0;;60.0;20.0;0.0;40.0
534;Bosnia and Hercegovina;2002;220.0;130.0;90.0;0.0;220.0;60.0;10.0;160.0
535;Bosnia and Hercegovina;2003 1st quarter;40.0;20.0;20.0;0.0;40.0;10.0;;30.0
536;Bosnia and Hercegovina;2003 2nd quarter;20.0;20.0;10.0;0.0;20.0;10.0;;10.0
537;Bosnia and Hercegovina;2003 3rd quarter;30.0;10.0;10.0;0.0;30.0;10.0;;20.0
538;Bosnia and Hercegovina;2003 4th quarter;20.0;10.0;0.0;0.0;20.0;0.0;0.0;10.0
539;Bosnia and Hercegovina;2003;100.0;60.0;40.0;10.0;100.0;30.0;0.0;70.0
540;Bosnia and Hercegovina;2004 1st quarter;20.0;10.0;10.0;;20.0;0.0;;10.0
541;Bosnia and Hercegovina;2004 2nd quarter;10.0;10.0;10.0;;10.0;0.0;0.0;10.0
542;Bosnia and Hercegovina;2004 3rd quarter;20.0;10.0;0.0;;20.0;10.0;;10.0
543;Bosnia and Hercegovina;2004 4th quarter;10.0;10.0;10.0;;10.0;10.0;;10.0
544;Bosnia and Hercegovina;2004;60.0;40.0;20.0;;60.0;20.0;0.0;30.0
545;Bosnia and Hercegovina;2005 1st quarter;20.0;10.0;10.0;;20.0;0.0;0.0;20.0
546;Bosnia and Hercegovina;2005 2nd quarter;10.0;10.0;0.0;;10.0;0.0;;10.0
547;Bosnia and Hercegovina;2005 3rd quarter;10.0;10.0;0.0;;10.0;0.0;;10.0
548;Bosnia and Hercegovina;2005 4th quarter;60.0;20.0;30.0;;60.0;20.0;0.0;40.0
549;Bosnia and Hercegovina;2005;90.0;50.0;50.0;;90.0;30.0;0.0;70.0
550;Bosnia and Hercegovina;2006 1st quarter;50.0;30.0;30.0;;50.0;10.0;0.0;40.0
551;Bosnia and Hercegovina;2006 2nd quarter;30.0;10.0;20.0;;30.0;10.0;0.0;20.0
552;Bosnia and Hercegovina;2006 3rd quarter;30.0;20.0;10.0;;30.0;10.0;0.0;20.0
553;Bosnia and Hercegovina;2006 4th quarter;10.0;10.0;10.0;;10.0;0.0;;10.0
554;Bosnia and Hercegovina;2006;120.0;60.0;60.0;;120.0;30.0;10.0;80.0
555;Bosnia and Hercegovina;2007 1st quarter;0.0;0.0;0.0;;0.0;;;0.0
556;Bosnia and Hercegovina;2007 2nd quarter;0.0;0.0;0.0;;0.0;0.0;;0.0
557;Bosnia and Hercegovina;2007 3rd quarter;10.0;0.0;0.0;;10.0;0.0;;10.0
558;Bosnia and Hercegovina;2007 4th quarter;0.0;0.0;0.0;;0.0;0.0;;0.0
559;Bosnia and Hercegovina;2007;20.0;10.0;10.0;;20.0;10.0;;10.0
560;Bosnia and Hercegovina;2008 1st quarter;;;;;;;;
561;Bulgaria;1998 1st quarter;10.0;0.0;10.0;;10.0;0.0;;10.0
562;Bulgaria;1998 2nd quarter;10.0;10.0;0.0;;10.0;;;10.0
563;Bulgaria;1998 3rd quarter;20.0;10.0;10.0;;20.0;0.0;0.0;10.0
564;Bulgaria;1998 4th quarter;20.0;10.0;10.0;;20.0;10.0;;10.0
565;Bulgaria;1998;60.0;30.0;20.0;;60.0;10.0;0.0;40.0
566;Bulgaria;1999 1st quarter;10.0;0.0;0.0;;10.0;0.0;;10.0
567;Bulgaria;1999 2nd quarter;0.0;0.0;;;0.0;;;0.0
568;Bulgaria;1999 3rd quarter;10.0;0.0;0.0;0.0;10.0;0.0;;10.0
569;Bulgaria;1999 4th quarter;0.0;0.0;0.0;;0.0;;;0.0
570;Bulgaria;1999;20.0;10.0;10.0;0.0;20.0;0.0;;20.0
571;Bulgaria;2000 1st quarter;0.0;0.0;0.0;;0.0;;;0.0
572;Bulgaria;2000 2nd quarter;;;;;;;;
573;Bulgaria;2000 3rd quarter;10.0;10.0;0.0;;10.0;;;10.0
574;Bulgaria;2000 4th quarter;10.0;10.0;0.0;0.0;10.0;;;10.0
575;Bulgaria;2000;30.0;20.0;10.0;0.0;30.0;;;30.0
576;Bulgaria;2001 1st quarter;0.0;0.0;;0.0;0.0;;;0.0
577;Bulgaria;2001 2nd quarter;10.0;10.0;0.0;;10.0;0.0;;10.0
578;Bulgaria;2001 3rd quarter;10.0;10.0;0.0;;10.0;0.0;;10.0
579;Bulgaria;2001 4th quarter;10.0;10.0;0.0;;10.0;0.0;;10.0
580;Bulgaria;2001;30.0;20.0;10.0;0.0;30.0;0.0;;20.0
581;Bulgaria;2002 1st quarter;10.0;0.0;0.0;0.0;10.0;0.0;;10.0
582;Bulgaria;2002 2nd quarter;10.0;0.0;0.0;;10.0;0.0;0.0;0.0
583;Bulgaria;2002 3rd quarter;10.0;10.0;0.0;;10.0;0.0;;10.0
584;Bulgaria;2002 4th quarter;10.0;0.0;0.0;;10.0;;;10.0
585;Bulgaria;2002;30.0;20.0;10.0;0.0;30.0;0.0;0.0;20.0
586;Bulgaria;2003 1st quarter;10.0;0.0;0.0;;10.0;0.0;;10.0
587;Bulgaria;2003 2nd quarter;10.0;0.0;0.0;;10.0;0.0;;0.0
588;Bulgaria;2003 3rd quarter;10.0;0.0;0.0;;10.0;0.0;0.0;0.0
589;Bulgaria;2003 4th quarter;;;;;;;;
590;Bulgaria;2003;20.0;10.0;10.0;;20.0;0.0;0.0;10.0
591;Bulgaria;2004 1st quarter;0.0;0.0;;;0.0;;;0.0
592;Bulgaria;2004 2nd quarter;;;;;;;;
593;Bulgaria;2004 3rd quarter;;;;;;;;
594;Bulgaria;2004 4th quarter;0.0;0.0;;;0.0;;;0.0
595;Bulgaria;2004;0.0;0.0;;;0.0;;;0.0
596;Bulgaria;2005 1st quarter;0.0;0.0;;;0.0;;;0.0
597;Bulgaria;2005 2nd quarter;0.0;0.0;0.0;;0.0;;;0.0
598;Bulgaria;2005 3rd quarter;;;;;;;;
599;Bulgaria;2005 4th quarter;10.0;0.0;0.0;;10.0;;;10.0
600;Bulgaria;2005;10.0;0.0;10.0;;10.0;;;10.0
601;Bulgaria;2006 1st quarter;;;;;;;;
602;Bulgaria;2006 2nd quarter;10.0;0.0;10.0;;10.0;0.0;;0.0
603;Bulgaria;2006 3rd quarter;;;;;;;;
604;Bulgaria;2006 4th quarter;;;;;;;;
605;Bulgaria;2006;10.0;0.0;10.0;;10.0;0.0;;0.0
