ID;TypeArbeidsongeschiktheidsuitkering;MateVanArbeidsongeschiktheid;HoofdcategorieDiagnoseIndelingCAS;Perioden;Arbeidsongeschiktheidsuitkeringen_1
39;Totaal met of zonder uitkering;Totale mate van arbeidsongeschiktheid;Ziekten van het hartvaatstelsel en bloed;2018;39070
40;Totaal met of zonder uitkering;Totale mate van arbeidsongeschiktheid;Ziekten van het hartvaatstelsel en bloed;2019;39500
41;Totaal met of zonder uitkering;Totale mate van arbeidsongeschiktheid;Ziekten van het hartvaatstelsel en bloed;2020;38910
42;Totaal met of zonder uitkering;Totale mate van arbeidsongeschiktheid;Ziekten van het ademhalingsstelsel;2015;13920
43;Totaal met of zonder uitkering;Totale mate van arbeidsongeschiktheid;Ziekten van het ademhalingsstelsel;2016;14170
44;Totaal met of zonder uitkering;Totale mate van arbeidsongeschiktheid;Ziekten van het ademhalingsstelsel;2017;14410
45;Totaal met of zonder uitkering;Totale mate van arbeidsongeschiktheid;Ziekten van het ademhalingsstelsel;2018;14780
46;Totaal met of zonder uitkering;Totale mate van arbeidsongeschiktheid;Ziekten van het ademhalingsstelsel;2019;15120
47;Totaal met of zonder uitkering;Totale mate van arbeidsongeschiktheid;Ziekten van het ademhalingsstelsel;2020;15160
48;Totaal met of zonder uitkering;Totale mate van arbeidsongeschiktheid;Ziekten van het spijsverteringsstelsel;2015;17490
49;Totaal met of zonder uitkering;Totale mate van arbeidsongeschiktheid;Ziekten van het spijsverteringsstelsel;2016;17780
50;Totaal met of zonder uitkering;Totale mate van arbeidsongeschiktheid;Ziekten van het spijsverteringsstelsel;2017;18210
51;Totaal met of zonder uitkering;Totale mate van arbeidsongeschiktheid;Ziekten van het spijsverteringsstelsel;2018;18660
52;Totaal met of zonder uitkering;Totale mate van arbeidsongeschiktheid;Ziekten van het spijsverteringsstelsel;2019;19040
53;Totaal met of zonder uitkering;Totale mate van arbeidsongeschiktheid;Ziekten van het spijsverteringsstelsel;2020;19070
54;Totaal met of zonder uitkering;Totale mate van arbeidsongeschiktheid;Ziekten van huid en subcutis;2015;3430
55;Totaal met of zonder uitkering;Totale mate van arbeidsongeschiktheid;Ziekten van huid en subcutis;2016;3380
56;Totaal met of zonder uitkering;Totale mate van arbeidsongeschiktheid;Ziekten van huid en subcutis;2017;3350
57;Totaal met of zonder uitkering;Totale mate van arbeidsongeschiktheid;Ziekten van huid en subcutis;2018;3360
58;Totaal met of zonder uitkering;Totale mate van arbeidsongeschiktheid;Ziekten van huid en subcutis;2019;3320
59;Totaal met of zonder uitkering;Totale mate van arbeidsongeschiktheid;Ziekten van huid en subcutis;2020;3250
60;Totaal met of zonder uitkering;Totale mate van arbeidsongeschiktheid;Ziekten van het urogenitaal stelsel;2015;16390
61;Totaal met of zonder uitkering;Totale mate van arbeidsongeschiktheid;Ziekten van het urogenitaal stelsel;2016;16750
62;Totaal met of zonder uitkering;Totale mate van arbeidsongeschiktheid;Ziekten van het urogenitaal stelsel;2017;17290
63;Totaal met of zonder uitkering;Totale mate van arbeidsongeschiktheid;Ziekten van het urogenitaal stelsel;2018;18020
64;Totaal met of zonder uitkering;Totale mate van arbeidsongeschiktheid;Ziekten van het urogenitaal stelsel;2019;18660
65;Totaal met of zonder uitkering;Totale mate van arbeidsongeschiktheid;Ziekten van het urogenitaal stelsel;2020;18960
66;Totaal met of zonder uitkering;Totale mate van arbeidsongeschiktheid;Ziekte bij zwangerschap en bevalling;2015;1950
67;Totaal met of zonder uitkering;Totale mate van arbeidsongeschiktheid;Ziekte bij zwangerschap en bevalling;2016;1980
68;Totaal met of zonder uitkering;Totale mate van arbeidsongeschiktheid;Ziekte bij zwangerschap en bevalling;2017;1980
69;Totaal met of zonder uitkering;Totale mate van arbeidsongeschiktheid;Ziekte bij zwangerschap en bevalling;2018;2050
70;Totaal met of zonder uitkering;Totale mate van arbeidsongeschiktheid;Ziekte bij zwangerschap en bevalling;2019;2070
71;Totaal met of zonder uitkering;Totale mate van arbeidsongeschiktheid;Ziekte bij zwangerschap en bevalling;2020;2130
72;Totaal met of zonder uitkering;Totale mate van arbeidsongeschiktheid;Medische oorzaak onbekend;2015;9650
73;Totaal met of zonder uitkering;Totale mate van arbeidsongeschiktheid;Medische oorzaak onbekend;2016;12040
74;Totaal met of zonder uitkering;Totale mate van arbeidsongeschiktheid;Medische oorzaak onbekend;2017;15030
75;Totaal met of zonder uitkering;Totale mate van arbeidsongeschiktheid;Medische oorzaak onbekend;2018;18580
76;Totaal met of zonder uitkering;Totale mate van arbeidsongeschiktheid;Medische oorzaak onbekend;2019;23190
77;Totaal met of zonder uitkering;Totale mate van arbeidsongeschiktheid;Medische oorzaak onbekend;2020;29280
78;Totaal met of zonder uitkering;Gedeeltelijk arbeidsongeschikt;Totaal;2015;159400
79;Totaal met of zonder uitkering;Gedeeltelijk arbeidsongeschikt;Totaal;2016;154310
80;Totaal met of zonder uitkering;Gedeeltelijk arbeidsongeschikt;Totaal;2017;149410
81;Totaal met of zonder uitkering;Gedeeltelijk arbeidsongeschikt;Totaal;2018;136600
82;Totaal met of zonder uitkering;Gedeeltelijk arbeidsongeschikt;Totaal;2019;132860
83;Totaal met of zonder uitkering;Gedeeltelijk arbeidsongeschikt;Totaal;2020;129170
84;Totaal met of zonder uitkering;Gedeeltelijk arbeidsongeschikt;Algemene en endocriene ziekten;2015;10190
85;Totaal met of zonder uitkering;Gedeeltelijk arbeidsongeschikt;Algemene en endocriene ziekten;2016;9300
86;Totaal met of zonder uitkering;Gedeeltelijk arbeidsongeschikt;Algemene en endocriene ziekten;2017;8520
87;Totaal met of zonder uitkering;Gedeeltelijk arbeidsongeschikt;Algemene en endocriene ziekten;2018;7650
88;Totaal met of zonder uitkering;Gedeeltelijk arbeidsongeschikt;Algemene en endocriene ziekten;2019;7080
89;Totaal met of zonder uitkering;Gedeeltelijk arbeidsongeschikt;Algemene en endocriene ziekten;2020;6380
90;Totaal met of zonder uitkering;Gedeeltelijk arbeidsongeschikt;Psychische stoornissen;2015;47830
91;Totaal met of zonder uitkering;Gedeeltelijk arbeidsongeschikt;Psychische stoornissen;2016;47820
92;Totaal met of zonder uitkering;Gedeeltelijk arbeidsongeschikt;Psychische stoornissen;2017;47610
93;Totaal met of zonder uitkering;Gedeeltelijk arbeidsongeschikt;Psychische stoornissen;2018;46600
94;Totaal met of zonder uitkering;Gedeeltelijk arbeidsongeschikt;Psychische stoornissen;2019;46900
95;Totaal met of zonder uitkering;Gedeeltelijk arbeidsongeschikt;Psychische stoornissen;2020;46410
96;Totaal met of zonder uitkering;Gedeeltelijk arbeidsongeschikt;Ontwikkelingsstoornissen;2015;11480
97;Totaal met of zonder uitkering;Gedeeltelijk arbeidsongeschikt;Ontwikkelingsstoornissen;2016;10590
98;Totaal met of zonder uitkering;Gedeeltelijk arbeidsongeschikt;Ontwikkelingsstoornissen;2017;10090
99;Totaal met of zonder uitkering;Gedeeltelijk arbeidsongeschikt;Ontwikkelingsstoornissen;2018;3580
100;Totaal met of zonder uitkering;Gedeeltelijk arbeidsongeschikt;Ontwikkelingsstoornissen;2019;3230
101;Totaal met of zonder uitkering;Gedeeltelijk arbeidsongeschikt;Ontwikkelingsstoornissen;2020;5360
102;Totaal met of zonder uitkering;Gedeeltelijk arbeidsongeschikt;Ziekten van het bot- en spierstelsel;2015;53930
103;Totaal met of zonder uitkering;Gedeeltelijk arbeidsongeschikt;Ziekten van het bot- en spierstelsel;2016;51540
104;Totaal met of zonder uitkering;Gedeeltelijk arbeidsongeschikt;Ziekten van het bot- en spierstelsel;2017;48870
105;Totaal met of zonder uitkering;Gedeeltelijk arbeidsongeschikt;Ziekten van het bot- en spierstelsel;2018;45980
106;Totaal met of zonder uitkering;Gedeeltelijk arbeidsongeschikt;Ziekten van het bot- en spierstelsel;2019;43610
107;Totaal met of zonder uitkering;Gedeeltelijk arbeidsongeschikt;Ziekten van het bot- en spierstelsel;2020;40280
108;Totaal met of zonder uitkering;Gedeeltelijk arbeidsongeschikt;Ziekten van het zenuwstelsel, oog en oor;2015;12820
109;Totaal met of zonder uitkering;Gedeeltelijk arbeidsongeschikt;Ziekten van het zenuwstelsel, oog en oor;2016;12550
110;Totaal met of zonder uitkering;Gedeeltelijk arbeidsongeschikt;Ziekten van het zenuwstelsel, oog en oor;2017;12300
111;Totaal met of zonder uitkering;Gedeeltelijk arbeidsongeschikt;Ziekten van het zenuwstelsel, oog en oor;2018;11540
112;Totaal met of zonder uitkering;Gedeeltelijk arbeidsongeschikt;Ziekten van het zenuwstelsel, oog en oor;2019;11320
113;Totaal met of zonder uitkering;Gedeeltelijk arbeidsongeschikt;Ziekten van het zenuwstelsel, oog en oor;2020;11090
114;Totaal met of zonder uitkering;Gedeeltelijk arbeidsongeschikt;Ziekten van het hartvaatstelsel en bloed;2015;9120
115;Totaal met of zonder uitkering;Gedeeltelijk arbeidsongeschikt;Ziekten van het hartvaatstelsel en bloed;2016;8760
116;Totaal met of zonder uitkering;Gedeeltelijk arbeidsongeschikt;Ziekten van het hartvaatstelsel en bloed;2017;8500
117;Totaal met of zonder uitkering;Gedeeltelijk arbeidsongeschikt;Ziekten van het hartvaatstelsel en bloed;2018;8040
118;Totaal met of zonder uitkering;Gedeeltelijk arbeidsongeschikt;Ziekten van het hartvaatstelsel en bloed;2019;7830
119;Totaal met of zonder uitkering;Gedeeltelijk arbeidsongeschikt;Ziekten van het hartvaatstelsel en bloed;2020;7310
120;Totaal met of zonder uitkering;Gedeeltelijk arbeidsongeschikt;Ziekten van het ademhalingsstelsel;2015;2960
121;Totaal met of zonder uitkering;Gedeeltelijk arbeidsongeschikt;Ziekten van het ademhalingsstelsel;2016;2860
122;Totaal met of zonder uitkering;Gedeeltelijk arbeidsongeschikt;Ziekten van het ademhalingsstelsel;2017;2800
123;Totaal met of zonder uitkering;Gedeeltelijk arbeidsongeschikt;Ziekten van het ademhalingsstelsel;2018;2720
124;Totaal met of zonder uitkering;Gedeeltelijk arbeidsongeschikt;Ziekten van het ademhalingsstelsel;2019;2600
125;Totaal met of zonder uitkering;Gedeeltelijk arbeidsongeschikt;Ziekten van het ademhalingsstelsel;2020;2440
126;Totaal met of zonder uitkering;Gedeeltelijk arbeidsongeschikt;Ziekten van het spijsverteringsstelsel;2015;4730
127;Totaal met of zonder uitkering;Gedeeltelijk arbeidsongeschikt;Ziekten van het spijsverteringsstelsel;2016;4660
128;Totaal met of zonder uitkering;Gedeeltelijk arbeidsongeschikt;Ziekten van het spijsverteringsstelsel;2017;4580
129;Totaal met of zonder uitkering;Gedeeltelijk arbeidsongeschikt;Ziekten van het spijsverteringsstelsel;2018;4450
130;Totaal met of zonder uitkering;Gedeeltelijk arbeidsongeschikt;Ziekten van het spijsverteringsstelsel;2019;4400
131;Totaal met of zonder uitkering;Gedeeltelijk arbeidsongeschikt;Ziekten van het spijsverteringsstelsel;2020;4220
132;Totaal met of zonder uitkering;Gedeeltelijk arbeidsongeschikt;Ziekten van huid en subcutis;2015;840
133;Totaal met of zonder uitkering;Gedeeltelijk arbeidsongeschikt;Ziekten van huid en subcutis;2016;800
134;Totaal met of zonder uitkering;Gedeeltelijk arbeidsongeschikt;Ziekten van huid en subcutis;2017;760
135;Totaal met of zonder uitkering;Gedeeltelijk arbeidsongeschikt;Ziekten van huid en subcutis;2018;710
136;Totaal met of zonder uitkering;Gedeeltelijk arbeidsongeschikt;Ziekten van huid en subcutis;2019;660
137;Totaal met of zonder uitkering;Gedeeltelijk arbeidsongeschikt;Ziekten van huid en subcutis;2020;600
138;Totaal met of zonder uitkering;Gedeeltelijk arbeidsongeschikt;Ziekten van het urogenitaal stelsel;2015;4080
139;Totaal met of zonder uitkering;Gedeeltelijk arbeidsongeschikt;Ziekten van het urogenitaal stelsel;2016;4070
140;Totaal met of zonder uitkering;Gedeeltelijk arbeidsongeschikt;Ziekten van het urogenitaal stelsel;2017;4080
141;Totaal met of zonder uitkering;Gedeeltelijk arbeidsongeschikt;Ziekten van het urogenitaal stelsel;2018;4080
142;Totaal met of zonder uitkering;Gedeeltelijk arbeidsongeschikt;Ziekten van het urogenitaal stelsel;2019;4040
143;Totaal met of zonder uitkering;Gedeeltelijk arbeidsongeschikt;Ziekten van het urogenitaal stelsel;2020;3900
144;Totaal met of zonder uitkering;Gedeeltelijk arbeidsongeschikt;Ziekte bij zwangerschap en bevalling;2015;690
145;Totaal met of zonder uitkering;Gedeeltelijk arbeidsongeschikt;Ziekte bij zwangerschap en bevalling;2016;690
146;Totaal met of zonder uitkering;Gedeeltelijk arbeidsongeschikt;Ziekte bij zwangerschap en bevalling;2017;690
147;Totaal met of zonder uitkering;Gedeeltelijk arbeidsongeschikt;Ziekte bij zwangerschap en bevalling;2018;680
148;Totaal met of zonder uitkering;Gedeeltelijk arbeidsongeschikt;Ziekte bij zwangerschap en bevalling;2019;670
149;Totaal met of zonder uitkering;Gedeeltelijk arbeidsongeschikt;Ziekte bij zwangerschap en bevalling;2020;650
150;Totaal met of zonder uitkering;Gedeeltelijk arbeidsongeschikt;Medische oorzaak onbekend;2015;730
151;Totaal met of zonder uitkering;Gedeeltelijk arbeidsongeschikt;Medische oorzaak onbekend;2016;670
152;Totaal met of zonder uitkering;Gedeeltelijk arbeidsongeschikt;Medische oorzaak onbekend;2017;630
153;Totaal met of zonder uitkering;Gedeeltelijk arbeidsongeschikt;Medische oorzaak onbekend;2018;560
154;Totaal met of zonder uitkering;Gedeeltelijk arbeidsongeschikt;Medische oorzaak onbekend;2019;540
155;Totaal met of zonder uitkering;Gedeeltelijk arbeidsongeschikt;Medische oorzaak onbekend;2020;530
156;Totaal met of zonder uitkering;Volledig arbeidsongeschikt;Totaal;2015;648900
157;Totaal met of zonder uitkering;Volledig arbeidsongeschikt;Totaal;2016;652400
158;Totaal met of zonder uitkering;Volledig arbeidsongeschikt;Totaal;2017;657810
159;Totaal met of zonder uitkering;Volledig arbeidsongeschikt;Totaal;2018;659940
160;Totaal met of zonder uitkering;Volledig arbeidsongeschikt;Totaal;2019;672450
161;Totaal met of zonder uitkering;Volledig arbeidsongeschikt;Totaal;2020;680850
162;Totaal met of zonder uitkering;Volledig arbeidsongeschikt;Algemene en endocriene ziekten;2015;39080
163;Totaal met of zonder uitkering;Volledig arbeidsongeschikt;Algemene en endocriene ziekten;2016;37230
164;Totaal met of zonder uitkering;Volledig arbeidsongeschikt;Algemene en endocriene ziekten;2017;35400
165;Totaal met of zonder uitkering;Volledig arbeidsongeschikt;Algemene en endocriene ziekten;2018;33490
166;Totaal met of zonder uitkering;Volledig arbeidsongeschikt;Algemene en endocriene ziekten;2019;32320
167;Totaal met of zonder uitkering;Volledig arbeidsongeschikt;Algemene en endocriene ziekten;2020;30530
168;Totaal met of zonder uitkering;Volledig arbeidsongeschikt;Psychische stoornissen;2015;295450
169;Totaal met of zonder uitkering;Volledig arbeidsongeschikt;Psychische stoornissen;2016;295240
170;Totaal met of zonder uitkering;Volledig arbeidsongeschikt;Psychische stoornissen;2017;295700
171;Totaal met of zonder uitkering;Volledig arbeidsongeschikt;Psychische stoornissen;2018;295580
172;Totaal met of zonder uitkering;Volledig arbeidsongeschikt;Psychische stoornissen;2019;297480
173;Totaal met of zonder uitkering;Volledig arbeidsongeschikt;Psychische stoornissen;2020;297860
174;Totaal met of zonder uitkering;Volledig arbeidsongeschikt;Ontwikkelingsstoornissen;2015;56480
175;Totaal met of zonder uitkering;Volledig arbeidsongeschikt;Ontwikkelingsstoornissen;2016;57400
176;Totaal met of zonder uitkering;Volledig arbeidsongeschikt;Ontwikkelingsstoornissen;2017;57670
177;Totaal met of zonder uitkering;Volledig arbeidsongeschikt;Ontwikkelingsstoornissen;2018;57870
178;Totaal met of zonder uitkering;Volledig arbeidsongeschikt;Ontwikkelingsstoornissen;2019;59240
179;Totaal met of zonder uitkering;Volledig arbeidsongeschikt;Ontwikkelingsstoornissen;2020;62190
180;Totaal met of zonder uitkering;Volledig arbeidsongeschikt;Ziekten van het bot- en spierstelsel;2015;112520
181;Totaal met of zonder uitkering;Volledig arbeidsongeschikt;Ziekten van het bot- en spierstelsel;2016;112240
182;Totaal met of zonder uitkering;Volledig arbeidsongeschikt;Ziekten van het bot- en spierstelsel;2017;112510
183;Totaal met of zonder uitkering;Volledig arbeidsongeschikt;Ziekten van het bot- en spierstelsel;2018;111270
184;Totaal met of zonder uitkering;Volledig arbeidsongeschikt;Ziekten van het bot- en spierstelsel;2019;113180
185;Totaal met of zonder uitkering;Volledig arbeidsongeschikt;Ziekten van het bot- en spierstelsel;2020;112130
186;Totaal met of zonder uitkering;Volledig arbeidsongeschikt;Ziekten van het zenuwstelsel, oog en oor;2015;67250
187;Totaal met of zonder uitkering;Volledig arbeidsongeschikt;Ziekten van het zenuwstelsel, oog en oor;2016;68280
188;Totaal met of zonder uitkering;Volledig arbeidsongeschikt;Ziekten van het zenuwstelsel, oog en oor;2017;69580
189;Totaal met of zonder uitkering;Volledig arbeidsongeschikt;Ziekten van het zenuwstelsel, oog en oor;2018;69850
190;Totaal met of zonder uitkering;Volledig arbeidsongeschikt;Ziekten van het zenuwstelsel, oog en oor;2019;71240
191;Totaal met of zonder uitkering;Volledig arbeidsongeschikt;Ziekten van het zenuwstelsel, oog en oor;2020;71940
192;Totaal met of zonder uitkering;Volledig arbeidsongeschikt;Ziekten van het hartvaatstelsel en bloed;2015;29340
193;Totaal met of zonder uitkering;Volledig arbeidsongeschikt;Ziekten van het hartvaatstelsel en bloed;2016;29680
194;Totaal met of zonder uitkering;Volledig arbeidsongeschikt;Ziekten van het hartvaatstelsel en bloed;2017;30280
195;Totaal met of zonder uitkering;Volledig arbeidsongeschikt;Ziekten van het hartvaatstelsel en bloed;2018;30380
196;Totaal met of zonder uitkering;Volledig arbeidsongeschikt;Ziekten van het hartvaatstelsel en bloed;2019;31120
197;Totaal met of zonder uitkering;Volledig arbeidsongeschikt;Ziekten van het hartvaatstelsel en bloed;2020;31170
198;Totaal met of zonder uitkering;Volledig arbeidsongeschikt;Ziekten van het ademhalingsstelsel;2015;10950
199;Totaal met of zonder uitkering;Volledig arbeidsongeschikt;Ziekten van het ademhalingsstelsel;2016;11310
200;Totaal met of zonder uitkering;Volledig arbeidsongeschikt;Ziekten van het ademhalingsstelsel;2017;11610
201;Totaal met of zonder uitkering;Volledig arbeidsongeschikt;Ziekten van het ademhalingsstelsel;2018;11940
202;Totaal met of zonder uitkering;Volledig arbeidsongeschikt;Ziekten van het ademhalingsstelsel;2019;12420
203;Totaal met of zonder uitkering;Volledig arbeidsongeschikt;Ziekten van het ademhalingsstelsel;2020;12650
204;Totaal met of zonder uitkering;Volledig arbeidsongeschikt;Ziekten van het spijsverteringsstelsel;2015;12760
205;Totaal met of zonder uitkering;Volledig arbeidsongeschikt;Ziekten van het spijsverteringsstelsel;2016;13120
206;Totaal met of zonder uitkering;Volledig arbeidsongeschikt;Ziekten van het spijsverteringsstelsel;2017;13630
207;Totaal met of zonder uitkering;Volledig arbeidsongeschikt;Ziekten van het spijsverteringsstelsel;2018;13960
208;Totaal met of zonder uitkering;Volledig arbeidsongeschikt;Ziekten van het spijsverteringsstelsel;2019;14430
209;Totaal met of zonder uitkering;Volledig arbeidsongeschikt;Ziekten van het spijsverteringsstelsel;2020;14700
210;Totaal met of zonder uitkering;Volledig arbeidsongeschikt;Ziekten van huid en subcutis;2015;2580
211;Totaal met of zonder uitkering;Volledig arbeidsongeschikt;Ziekten van huid en subcutis;2016;2580
212;Totaal met of zonder uitkering;Volledig arbeidsongeschikt;Ziekten van huid en subcutis;2017;2590
213;Totaal met of zonder uitkering;Volledig arbeidsongeschikt;Ziekten van huid en subcutis;2018;2610
214;Totaal met of zonder uitkering;Volledig arbeidsongeschikt;Ziekten van huid en subcutis;2019;2610
215;Totaal met of zonder uitkering;Volledig arbeidsongeschikt;Ziekten van huid en subcutis;2020;2620
216;Totaal met of zonder uitkering;Volledig arbeidsongeschikt;Ziekten van het urogenitaal stelsel;2015;12310
217;Totaal met of zonder uitkering;Volledig arbeidsongeschikt;Ziekten van het urogenitaal stelsel;2016;12680
218;Totaal met of zonder uitkering;Volledig arbeidsongeschikt;Ziekten van het urogenitaal stelsel;2017;13210
219;Totaal met of zonder uitkering;Volledig arbeidsongeschikt;Ziekten van het urogenitaal stelsel;2018;13750
220;Totaal met of zonder uitkering;Volledig arbeidsongeschikt;Ziekten van het urogenitaal stelsel;2019;14460
221;Totaal met of zonder uitkering;Volledig arbeidsongeschikt;Ziekten van het urogenitaal stelsel;2020;14920
222;Totaal met of zonder uitkering;Volledig arbeidsongeschikt;Ziekte bij zwangerschap en bevalling;2015;1260
223;Totaal met of zonder uitkering;Volledig arbeidsongeschikt;Ziekte bij zwangerschap en bevalling;2016;1290
224;Totaal met of zonder uitkering;Volledig arbeidsongeschikt;Ziekte bij zwangerschap en bevalling;2017;1300
225;Totaal met of zonder uitkering;Volledig arbeidsongeschikt;Ziekte bij zwangerschap en bevalling;2018;1350
226;Totaal met of zonder uitkering;Volledig arbeidsongeschikt;Ziekte bij zwangerschap en bevalling;2019;1390
227;Totaal met of zonder uitkering;Volledig arbeidsongeschikt;Ziekte bij zwangerschap en bevalling;2020;1460
228;Totaal met of zonder uitkering;Volledig arbeidsongeschikt;Medische oorzaak onbekend;2015;8910
229;Totaal met of zonder uitkering;Volledig arbeidsongeschikt;Medische oorzaak onbekend;2016;11360
230;Totaal met of zonder uitkering;Volledig arbeidsongeschikt;Medische oorzaak onbekend;2017;14350
231;Totaal met of zonder uitkering;Volledig arbeidsongeschikt;Medische oorzaak onbekend;2018;17900
232;Totaal met of zonder uitkering;Volledig arbeidsongeschikt;Medische oorzaak onbekend;2019;22560
233;Totaal met of zonder uitkering;Volledig arbeidsongeschikt;Medische oorzaak onbekend;2020;28690
234;Totaal met of zonder uitkering;Onbekend;Totaal;2015;320
235;Totaal met of zonder uitkering;Onbekend;Totaal;2016;200
236;Totaal met of zonder uitkering;Onbekend;Totaal;2017;230
237;Totaal met of zonder uitkering;Onbekend;Totaal;2018;15430
238;Totaal met of zonder uitkering;Onbekend;Totaal;2019;13050
239;Totaal met of zonder uitkering;Onbekend;Totaal;2020;5580
240;Totaal met of zonder uitkering;Onbekend;Algemene en endocriene ziekten;2015;20
241;Totaal met of zonder uitkering;Onbekend;Algemene en endocriene ziekten;2016;10
242;Totaal met of zonder uitkering;Onbekend;Algemene en endocriene ziekten;2017;10
243;Totaal met of zonder uitkering;Onbekend;Algemene en endocriene ziekten;2018;520
244;Totaal met of zonder uitkering;Onbekend;Algemene en endocriene ziekten;2019;420
245;Totaal met of zonder uitkering;Onbekend;Algemene en endocriene ziekten;2020;270
246;Totaal met of zonder uitkering;Onbekend;Psychische stoornissen;2015;130
247;Totaal met of zonder uitkering;Onbekend;Psychische stoornissen;2016;100
248;Totaal met of zonder uitkering;Onbekend;Psychische stoornissen;2017;90
249;Totaal met of zonder uitkering;Onbekend;Psychische stoornissen;2018;2940
250;Totaal met of zonder uitkering;Onbekend;Psychische stoornissen;2019;2530
251;Totaal met of zonder uitkering;Onbekend;Psychische stoornissen;2020;1570
252;Totaal met of zonder uitkering;Onbekend;Ontwikkelingsstoornissen;2015;20
253;Totaal met of zonder uitkering;Onbekend;Ontwikkelingsstoornissen;2016;10
