ID;Regions;Periods;BusinessRelatedOvernightStays_1
129;Nederland;2019 September;2000
130;Nederland;2019 3rd quarter;5490
131;Nederland;2019 October;2070
132;Nederland;2019 November;1740
133;Nederland;2019 December;1360
134;Nederland;2019 4th quarter;5180
135;Nederland;2019;21060
136;Nederland;2020 January;1480
137;Nederland;2020 February;1510
138;Nederland;2020 March;730
139;Nederland;2020 1st quarter;3720
140;Nederland;2020 April;230
141;Nederland;2020 May;270
142;Nederland;2020 June;490
143;Nederland;2020 2nd quarter;990
144;Nederland;2020 July;600
145;Nederland;2020 August;650
146;Nederland;2020 September;720
147;Nederland;2020 3rd quarter;1970
148;Nederland;2020 October;510
149;Nederland;2020 November;410
150;Nederland;2020 December;340
151;Nederland;2020 4th quarter;1270
152;Nederland;2020;7940
153;Nederland;2021 January;280
154;Nederland;2021 February;330
155;Nederland;2021 March;390
156;Nederland;2021 1th quarter;1010
157;Nederland;2021 April;450
158;Nederland;2021 May;630
159;Nederland;2021 June;740
160;Nederland;2021 2nd quarter;1820
161;Nederland;2021 July;810
162;Nederland;2021 August;900
163;Nederland;2021 September;1100
164;Nederland;2021 3rd quarter;2800
165;Nederland;2021 October;1260
166;Nederland;2021 November;980
167;Nederland;2021 December;490
168;Nederland;2021 4th quarter;2730
169;Nederland;2021;8350
170;Nederland;2022 January;480
171;Nederland;2022 February;780
172;Nederland;2022 March;1160
173;Nederland;2022 1th quarter;2420
174;Nederland;2022 April;1500
175;Nederland;2022 May;1670
176;Nederland;2022 June;1750
177;Nederland;2022 2nd quarter;4930
178;Nederland;2022 July;1450
179;Nederland;2022 August;1390
180;Nederland;2022 September;1760
181;Nederland;2022 3rd quarter;4590
182;Nederland;2022 October;1800
183;Nederland;2022 November;1530
184;Nederland;2022 December;1180
185;Nederland;2022 4th quarter;4500
186;Nederland;2022;16450
187;Nederland;2023 January;1120
188;Nederland;2023 February;1230
189;Nederland;2023 March;1530
190;Nederland;2023 1st quarter;3880
191;Nederland;2023 April;1610
192;Nederland;2023 May;1630
193;Nederland;2023 June;1620
194;Nederland;2023 2nd quarter;4860
195;Nederland;2023 July;1420
196;Nederland;2023 August;1380
197;Nederland;2023 September;1540
198;Nederland;2023 3rd quarter;4340
199;Nederland;2023 October;1670
200;Nederland;2023 November;1410
201;Nederland;2023 December;1130
202;Nederland;2023 4th quarter;4210
203;Nederland;2023;17300
204;Nederland;2024 January;1210
205;Nederland;2024 February;1220
206;Nederland;2024 March;1490
207;Nederland;2024 1st quarter;3920
208;Nederland;2024 April;1530
209;Nederland;2024 May;1680
210;Nederland;2024 June;1660
211;Nederland;2024 2nd quarter;4870
212;Nederland;2024 July;1400
213;Nederland;2024 August;1370
214;Nederland;2024 September;1680
215;Nederland;2024 3rd quarter;4480
216;Nederland;2024 October;1570
217;Nederland;2024 November;1540
218;Nederland;2024 December;1170
219;Nederland;2024 4th quarter;4280
220;Nederland;2024;17540
221;Nederland;2025 January;1210
222;Nederland;2025 February;1180
223;Noord-Nederland (LD);2012 January;70
224;Noord-Nederland (LD);2012 February;80
225;Noord-Nederland (LD);2012 March;100
226;Noord-Nederland (LD);2012 1st quarter;250
227;Noord-Nederland (LD);2012 April;100
228;Noord-Nederland (LD);2012 May;100
229;Noord-Nederland (LD);2012 June;100
230;Noord-Nederland (LD);2012 2nd quarter;290
231;Noord-Nederland (LD);2012 July;80
232;Noord-Nederland (LD);2012 August;100
233;Noord-Nederland (LD);2012 September;100
234;Noord-Nederland (LD);2012 3rd quarter;280
235;Noord-Nederland (LD);2012 October;100
236;Noord-Nederland (LD);2012 November;80
237;Noord-Nederland (LD);2012 December;60
238;Noord-Nederland (LD);2012 4th quarter;240
239;Noord-Nederland (LD);2012;1060
240;Noord-Nederland (LD);2013 January;70
241;Noord-Nederland (LD);2013 February;70
242;Noord-Nederland (LD);2013 March;90
243;Noord-Nederland (LD);2013 1st quarter;230
244;Noord-Nederland (LD);2013 April;90
245;Noord-Nederland (LD);2013 May;100
246;Noord-Nederland (LD);2013 June;100
247;Noord-Nederland (LD);2013 2nd quarter;290
248;Noord-Nederland (LD);2013 July;70
249;Noord-Nederland (LD);2013 August;90
250;Noord-Nederland (LD);2013 September;100
251;Noord-Nederland (LD);2013 3rd quarter;250
252;Noord-Nederland (LD);2013 October;90
253;Noord-Nederland (LD);2013 November;70
254;Noord-Nederland (LD);2013 December;60
255;Noord-Nederland (LD);2013 4th quarter;220
256;Noord-Nederland (LD);2013;990
257;Noord-Nederland (LD);2014 January;60
258;Noord-Nederland (LD);2014 February;70
259;Noord-Nederland (LD);2014 March;90
260;Noord-Nederland (LD);2014 1st quarter;220
261;Noord-Nederland (LD);2014 April;90
262;Noord-Nederland (LD);2014 May;100
263;Noord-Nederland (LD);2014 June;100
264;Noord-Nederland (LD);2014 2nd quarter;290
265;Noord-Nederland (LD);2014 July;80
266;Noord-Nederland (LD);2014 August;90
267;Noord-Nederland (LD);2014 September;100
268;Noord-Nederland (LD);2014 3rd quarter;260
269;Noord-Nederland (LD);2014 October;90
270;Noord-Nederland (LD);2014 November;90
271;Noord-Nederland (LD);2014 December;60
272;Noord-Nederland (LD);2014 4th quarter;240
273;Noord-Nederland (LD);2014;1010
274;Noord-Nederland (LD);2015 January;60
275;Noord-Nederland (LD);2015 February;60
276;Noord-Nederland (LD);2015 March;70
277;Noord-Nederland (LD);2015 1st quarter;200
278;Noord-Nederland (LD);2015 April;90
279;Noord-Nederland (LD);2015 May;100
280;Noord-Nederland (LD);2015 June;110
281;Noord-Nederland (LD);2015 2nd quarter;300
282;Noord-Nederland (LD);2015 July;80
283;Noord-Nederland (LD);2015 August;90
284;Noord-Nederland (LD);2015 September;100
285;Noord-Nederland (LD);2015 3rd quarter;270
286;Noord-Nederland (LD);2015 October;100
287;Noord-Nederland (LD);2015 November;80
288;Noord-Nederland (LD);2015 December;60
289;Noord-Nederland (LD);2015 4th quarter;230
290;Noord-Nederland (LD);2015;1010
291;Noord-Nederland (LD);2016 January;80
292;Noord-Nederland (LD);2016 February;80
293;Noord-Nederland (LD);2016 March;90
294;Noord-Nederland (LD);2016 1st quarter;250
295;Noord-Nederland (LD);2016 April;110
296;Noord-Nederland (LD);2016 May;110
297;Noord-Nederland (LD);2016 June;120
298;Noord-Nederland (LD);2016 2nd quarter;340
299;Noord-Nederland (LD);2016 July;90
300;Noord-Nederland (LD);2016 August;90
301;Noord-Nederland (LD);2016 September;110
302;Noord-Nederland (LD);2016 3rd quarter;290
303;Noord-Nederland (LD);2016 October;110
304;Noord-Nederland (LD);2016 November;90
305;Noord-Nederland (LD);2016 December;70
306;Noord-Nederland (LD);2016 4th quarter;270
307;Noord-Nederland (LD);2016;1140
308;Noord-Nederland (LD);2017 January;80
309;Noord-Nederland (LD);2017 February;60
310;Noord-Nederland (LD);2017 March;90
311;Noord-Nederland (LD);2017 1st quarter;240
312;Noord-Nederland (LD);2017 April;100
313;Noord-Nederland (LD);2017 May;100
314;Noord-Nederland (LD);2017 June;110
315;Noord-Nederland (LD);2017 2nd quarter;310
316;Noord-Nederland (LD);2017 July;90
317;Noord-Nederland (LD);2017 August;100
318;Noord-Nederland (LD);2017 September;100
319;Noord-Nederland (LD);2017 3rd quarter;290
320;Noord-Nederland (LD);2017 October;100
321;Noord-Nederland (LD);2017 November;90
322;Noord-Nederland (LD);2017 December;70
323;Noord-Nederland (LD);2017 4th quarter;250
324;Noord-Nederland (LD);2017;1080
325;Noord-Nederland (LD);2018 January;80
326;Noord-Nederland (LD);2018 February;70
327;Noord-Nederland (LD);2018 March;90
328;Noord-Nederland (LD);2018 1st quarter;250
329;Noord-Nederland (LD);2018 April;110
330;Noord-Nederland (LD);2018 May;130
331;Noord-Nederland (LD);2018 June;130
332;Noord-Nederland (LD);2018 2nd quarter;370
333;Noord-Nederland (LD);2018 July;100
334;Noord-Nederland (LD);2018 August;110
335;Noord-Nederland (LD);2018 September;110
336;Noord-Nederland (LD);2018 3rd quarter;330
337;Noord-Nederland (LD);2018 October;120
338;Noord-Nederland (LD);2018 November;100
339;Noord-Nederland (LD);2018 December;70
340;Noord-Nederland (LD);2018 4th quarter;290
341;Noord-Nederland (LD);2018;1230
342;Noord-Nederland (LD);2019 January;80
343;Noord-Nederland (LD);2019 February;70
344;Noord-Nederland (LD);2019 March;100
345;Noord-Nederland (LD);2019 1st quarter;250
346;Noord-Nederland (LD);2019 April;110
347;Noord-Nederland (LD);2019 May;110
348;Noord-Nederland (LD);2019 June;110
349;Noord-Nederland (LD);2019 2nd quarter;330
350;Noord-Nederland (LD);2019 July;110
351;Noord-Nederland (LD);2019 August;120
352;Noord-Nederland (LD);2019 September;110
353;Noord-Nederland (LD);2019 3rd quarter;340
354;Noord-Nederland (LD);2019 October;100
355;Noord-Nederland (LD);2019 November;90
356;Noord-Nederland (LD);2019 December;70
357;Noord-Nederland (LD);2019 4th quarter;260
358;Noord-Nederland (LD);2019;1170
359;Noord-Nederland (LD);2020 January;90
360;Noord-Nederland (LD);2020 February;90
361;Noord-Nederland (LD);2020 March;50
362;Noord-Nederland (LD);2020 1st quarter;220
363;Noord-Nederland (LD);2020 April;30
364;Noord-Nederland (LD);2020 May;30
365;Noord-Nederland (LD);2020 June;50
366;Noord-Nederland (LD);2020 2nd quarter;110
367;Noord-Nederland (LD);2020 July;60
368;Noord-Nederland (LD);2020 August;60
369;Noord-Nederland (LD);2020 September;80
370;Noord-Nederland (LD);2020 3rd quarter;210
371;Noord-Nederland (LD);2020 October;60
372;Noord-Nederland (LD);2020 November;50
373;Noord-Nederland (LD);2020 December;40
374;Noord-Nederland (LD);2020 4th quarter;140
375;Noord-Nederland (LD);2020;680
376;Noord-Nederland (LD);2021 January;30
377;Noord-Nederland (LD);2021 February;40
378;Noord-Nederland (LD);2021 March;50
379;Noord-Nederland (LD);2021 1th quarter;110
380;Noord-Nederland (LD);2021 April;50
381;Noord-Nederland (LD);2021 May;70
382;Noord-Nederland (LD);2021 June;80
383;Noord-Nederland (LD);2021 2nd quarter;210
384;Noord-Nederland (LD);2021 July;90
385;Noord-Nederland (LD);2021 August;80
386;Noord-Nederland (LD);2021 September;100
387;Noord-Nederland (LD);2021 3rd quarter;280
388;Noord-Nederland (LD);2021 October;100
389;Noord-Nederland (LD);2021 November;80
390;Noord-Nederland (LD);2021 December;50
391;Noord-Nederland (LD);2021 4th quarter;230
392;Noord-Nederland (LD);2021;830
393;Noord-Nederland (LD);2022 January;60
394;Noord-Nederland (LD);2022 February;60
395;Noord-Nederland (LD);2022 March;100
396;Noord-Nederland (LD);2022 1th quarter;210
397;Noord-Nederland (LD);2022 April;110
398;Noord-Nederland (LD);2022 May;120
399;Noord-Nederland (LD);2022 June;130
400;Noord-Nederland (LD);2022 2nd quarter;360
401;Noord-Nederland (LD);2022 July;100
402;Noord-Nederland (LD);2022 August;100
403;Noord-Nederland (LD);2022 September;120
404;Noord-Nederland (LD);2022 3rd quarter;320
405;Noord-Nederland (LD);2022 October;120
406;Noord-Nederland (LD);2022 November;110
407;Noord-Nederland (LD);2022 December;90
408;Noord-Nederland (LD);2022 4th quarter;320
409;Noord-Nederland (LD);2022;1210
410;Noord-Nederland (LD);2023 January;70
411;Noord-Nederland (LD);2023 February;80
412;Noord-Nederland (LD);2023 March;90
413;Noord-Nederland (LD);2023 1st quarter;240
414;Noord-Nederland (LD);2023 April;100
415;Noord-Nederland (LD);2023 May;100
416;Noord-Nederland (LD);2023 June;110
417;Noord-Nederland (LD);2023 2nd quarter;300
418;Noord-Nederland (LD);2023 July;110
419;Noord-Nederland (LD);2023 August;90
420;Noord-Nederland (LD);2023 September;100
421;Noord-Nederland (LD);2023 3rd quarter;300
422;Noord-Nederland (LD);2023 October;100
423;Noord-Nederland (LD);2023 November;90
424;Noord-Nederland (LD);2023 December;80
425;Noord-Nederland (LD);2023 4th quarter;260
426;Noord-Nederland (LD);2023;1110
427;Noord-Nederland (LD);2024 January;100
428;Noord-Nederland (LD);2024 February;100
429;Noord-Nederland (LD);2024 March;120
430;Noord-Nederland (LD);2024 1st quarter;320
431;Noord-Nederland (LD);2024 April;100
432;Noord-Nederland (LD);2024 May;120
433;Noord-Nederland (LD);2024 June;130
434;Noord-Nederland (LD);2024 2nd quarter;350
435;Noord-Nederland (LD);2024 July;110
436;Noord-Nederland (LD);2024 August;110
437;Noord-Nederland (LD);2024 September;120
438;Noord-Nederland (LD);2024 3rd quarter;340
439;Noord-Nederland (LD);2024 October;120
440;Noord-Nederland (LD);2024 November;120
441;Noord-Nederland (LD);2024 December;80
442;Noord-Nederland (LD);2024 4th quarter;320
443;Noord-Nederland (LD);2024;1330
444;Noord-Nederland (LD);2025 January;80
445;Noord-Nederland (LD);2025 February;90
446;Oost-Nederland (LD);2012 January;130
447;Oost-Nederland (LD);2012 February;130
448;Oost-Nederland (LD);2012 March;160
449;Oost-Nederland (LD);2012 1st quarter;430
450;Oost-Nederland (LD);2012 April;180
451;Oost-Nederland (LD);2012 May;180
452;Oost-Nederland (LD);2012 June;180
453;Oost-Nederland (LD);2012 2nd quarter;540
454;Oost-Nederland (LD);2012 July;140
455;Oost-Nederland (LD);2012 August;150
456;Oost-Nederland (LD);2012 September;200
457;Oost-Nederland (LD);2012 3rd quarter;490
458;Oost-Nederland (LD);2012 October;180
459;Oost-Nederland (LD);2012 November;170
460;Oost-Nederland (LD);2012 December;130
461;Oost-Nederland (LD);2012 4th quarter;480
462;Oost-Nederland (LD);2012;1930
463;Oost-Nederland (LD);2013 January;110
464;Oost-Nederland (LD);2013 February;110
465;Oost-Nederland (LD);2013 March;140
466;Oost-Nederland (LD);2013 1st quarter;360
467;Oost-Nederland (LD);2013 April;150
468;Oost-Nederland (LD);2013 May;170
469;Oost-Nederland (LD);2013 June;160
470;Oost-Nederland (LD);2013 2nd quarter;480
471;Oost-Nederland (LD);2013 July;130
472;Oost-Nederland (LD);2013 August;140
473;Oost-Nederland (LD);2013 September;160
474;Oost-Nederland (LD);2013 3rd quarter;430
475;Oost-Nederland (LD);2013 October;170
476;Oost-Nederland (LD);2013 November;150
477;Oost-Nederland (LD);2013 December;110
478;Oost-Nederland (LD);2013 4th quarter;420
479;Oost-Nederland (LD);2013;1690
480;Oost-Nederland (LD);2014 January;110
481;Oost-Nederland (LD);2014 February;100
482;Oost-Nederland (LD);2014 March;150
483;Oost-Nederland (LD);2014 1st quarter;360
484;Oost-Nederland (LD);2014 April;140
485;Oost-Nederland (LD);2014 May;160
486;Oost-Nederland (LD);2014 June;150
487;Oost-Nederland (LD);2014 2nd quarter;460
488;Oost-Nederland (LD);2014 July;110
489;Oost-Nederland (LD);2014 August;130
490;Oost-Nederland (LD);2014 September;170
491;Oost-Nederland (LD);2014 3rd quarter;420
492;Oost-Nederland (LD);2014 October;170
493;Oost-Nederland (LD);2014 November;150
494;Oost-Nederland (LD);2014 December;110
495;Oost-Nederland (LD);2014 4th quarter;420
496;Oost-Nederland (LD);2014;1660
497;Oost-Nederland (LD);2015 January;120
498;Oost-Nederland (LD);2015 February;130
499;Oost-Nederland (LD);2015 March;150
500;Oost-Nederland (LD);2015 1st quarter;390
501;Oost-Nederland (LD);2015 April;170
502;Oost-Nederland (LD);2015 May;180
503;Oost-Nederland (LD);2015 June;170
504;Oost-Nederland (LD);2015 2nd quarter;520
505;Oost-Nederland (LD);2015 July;140
506;Oost-Nederland (LD);2015 August;150
507;Oost-Nederland (LD);2015 September;180
508;Oost-Nederland (LD);2015 3rd quarter;470
509;Oost-Nederland (LD);2015 October;180
510;Oost-Nederland (LD);2015 November;160
511;Oost-Nederland (LD);2015 December;130
512;Oost-Nederland (LD);2015 4th quarter;480
513;Oost-Nederland (LD);2015;1850
514;Oost-Nederland (LD);2016 January;130
515;Oost-Nederland (LD);2016 February;140
516;Oost-Nederland (LD);2016 March;180
517;Oost-Nederland (LD);2016 1st quarter;450
518;Oost-Nederland (LD);2016 April;190
519;Oost-Nederland (LD);2016 May;200
520;Oost-Nederland (LD);2016 June;180
521;Oost-Nederland (LD);2016 2nd quarter;570
522;Oost-Nederland (LD);2016 July;170
523;Oost-Nederland (LD);2016 August;150
524;Oost-Nederland (LD);2016 September;180
525;Oost-Nederland (LD);2016 3rd quarter;510
526;Oost-Nederland (LD);2016 October;200
527;Oost-Nederland (LD);2016 November;160
528;Oost-Nederland (LD);2016 December;140
529;Oost-Nederland (LD);2016 4th quarter;490
530;Oost-Nederland (LD);2016;2020
531;Oost-Nederland (LD);2017 January;130
532;Oost-Nederland (LD);2017 February;130
533;Oost-Nederland (LD);2017 March;160
534;Oost-Nederland (LD);2017 1st quarter;430
535;Oost-Nederland (LD);2017 April;190
536;Oost-Nederland (LD);2017 May;200
537;Oost-Nederland (LD);2017 June;200
538;Oost-Nederland (LD);2017 2nd quarter;590
539;Oost-Nederland (LD);2017 July;180
540;Oost-Nederland (LD);2017 August;170
541;Oost-Nederland (LD);2017 September;200
542;Oost-Nederland (LD);2017 3rd quarter;550
543;Oost-Nederland (LD);2017 October;210
544;Oost-Nederland (LD);2017 November;170
545;Oost-Nederland (LD);2017 December;130
546;Oost-Nederland (LD);2017 4th quarter;520
547;Oost-Nederland (LD);2017;2090
548;Oost-Nederland (LD);2018 January;160
549;Oost-Nederland (LD);2018 February;160
550;Oost-Nederland (LD);2018 March;190
551;Oost-Nederland (LD);2018 1st quarter;510
552;Oost-Nederland (LD);2018 April;210
553;Oost-Nederland (LD);2018 May;220
554;Oost-Nederland (LD);2018 June;210
555;Oost-Nederland (LD);2018 2nd quarter;640
556;Oost-Nederland (LD);2018 July;190
557;Oost-Nederland (LD);2018 August;170
558;Oost-Nederland (LD);2018 September;230
559;Oost-Nederland (LD);2018 3rd quarter;580
560;Oost-Nederland (LD);2018 October;220
561;Oost-Nederland (LD);2018 November;190
562;Oost-Nederland (LD);2018 December;140
563;Oost-Nederland (LD);2018 4th quarter;550
564;Oost-Nederland (LD);2018;2280
565;Oost-Nederland (LD);2019 January;140
566;Oost-Nederland (LD);2019 February;150
567;Oost-Nederland (LD);2019 March;180
568;Oost-Nederland (LD);2019 1st quarter;470
569;Oost-Nederland (LD);2019 April;210
570;Oost-Nederland (LD);2019 May;220
571;Oost-Nederland (LD);2019 June;230
572;Oost-Nederland (LD);2019 2nd quarter;650
573;Oost-Nederland (LD);2019 July;190
574;Oost-Nederland (LD);2019 August;190
575;Oost-Nederland (LD);2019 September;230
576;Oost-Nederland (LD);2019 3rd quarter;610
577;Oost-Nederland (LD);2019 October;240
578;Oost-Nederland (LD);2019 November;220
579;Oost-Nederland (LD);2019 December;150
580;Oost-Nederland (LD);2019 4th quarter;600
581;Oost-Nederland (LD);2019;2340
582;Oost-Nederland (LD);2020 January;160
583;Oost-Nederland (LD);2020 February;170
584;Oost-Nederland (LD);2020 March;90
585;Oost-Nederland (LD);2020 1st quarter;420
586;Oost-Nederland (LD);2020 April;30
587;Oost-Nederland (LD);2020 May;40
588;Oost-Nederland (LD);2020 June;80
589;Oost-Nederland (LD);2020 2nd quarter;150
590;Oost-Nederland (LD);2020 July;70
591;Oost-Nederland (LD);2020 August;90
592;Oost-Nederland (LD);2020 September;110
593;Oost-Nederland (LD);2020 3rd quarter;270
594;Oost-Nederland (LD);2020 October;80
595;Oost-Nederland (LD);2020 November;70
596;Oost-Nederland (LD);2020 December;40
597;Oost-Nederland (LD);2020 4th quarter;190
598;Oost-Nederland (LD);2020;1040
599;Oost-Nederland (LD);2021 January;40
600;Oost-Nederland (LD);2021 February;50
601;Oost-Nederland (LD);2021 March;70
602;Oost-Nederland (LD);2021 1th quarter;160
603;Oost-Nederland (LD);2021 April;80
604;Oost-Nederland (LD);2021 May;110
605;Oost-Nederland (LD);2021 June;130
606;Oost-Nederland (LD);2021 2nd quarter;320
607;Oost-Nederland (LD);2021 July;120
608;Oost-Nederland (LD);2021 August;140
609;Oost-Nederland (LD);2021 September;180
610;Oost-Nederland (LD);2021 3rd quarter;440
611;Oost-Nederland (LD);2021 October;200
612;Oost-Nederland (LD);2021 November;140
613;Oost-Nederland (LD);2021 December;70
614;Oost-Nederland (LD);2021 4th quarter;410
615;Oost-Nederland (LD);2021;1320
616;Oost-Nederland (LD);2022 January;70
617;Oost-Nederland (LD);2022 February;110
618;Oost-Nederland (LD);2022 March;150
619;Oost-Nederland (LD);2022 1th quarter;330
620;Oost-Nederland (LD);2022 April;180
621;Oost-Nederland (LD);2022 May;200
622;Oost-Nederland (LD);2022 June;200
623;Oost-Nederland (LD);2022 2nd quarter;580
624;Oost-Nederland (LD);2022 July;160
625;Oost-Nederland (LD);2022 August;170
626;Oost-Nederland (LD);2022 September;200
627;Oost-Nederland (LD);2022 3rd quarter;520
628;Oost-Nederland (LD);2022 October;210
629;Oost-Nederland (LD);2022 November;180
630;Oost-Nederland (LD);2022 December;140
631;Oost-Nederland (LD);2022 4th quarter;540
632;Oost-Nederland (LD);2022;1980
633;Oost-Nederland (LD);2023 January;170
634;Oost-Nederland (LD);2023 February;180
635;Oost-Nederland (LD);2023 March;220
636;Oost-Nederland (LD);2023 1st quarter;570
637;Oost-Nederland (LD);2023 April;220
638;Oost-Nederland (LD);2023 May;240
639;Oost-Nederland (LD);2023 June;230
640;Oost-Nederland (LD);2023 2nd quarter;700
641;Oost-Nederland (LD);2023 July;180
642;Oost-Nederland (LD);2023 August;180
643;Oost-Nederland (LD);2023 September;220
644;Oost-Nederland (LD);2023 3rd quarter;570
645;Oost-Nederland (LD);2023 October;230
646;Oost-Nederland (LD);2023 November;200
647;Oost-Nederland (LD);2023 December;160
648;Oost-Nederland (LD);2023 4th quarter;590
649;Oost-Nederland (LD);2023;2430
650;Oost-Nederland (LD);2024 January;160
651;Oost-Nederland (LD);2024 February;170
652;Oost-Nederland (LD);2024 March;180
653;Oost-Nederland (LD);2024 1st quarter;510
654;Oost-Nederland (LD);2024 April;210
655;Oost-Nederland (LD);2024 May;220
656;Oost-Nederland (LD);2024 June;220
657;Oost-Nederland (LD);2024 2nd quarter;650
658;Oost-Nederland (LD);2024 July;180
659;Oost-Nederland (LD);2024 August;180
660;Oost-Nederland (LD);2024 September;220
661;Oost-Nederland (LD);2024 3rd quarter;580
662;Oost-Nederland (LD);2024 October;210
663;Oost-Nederland (LD);2024 November;210
664;Oost-Nederland (LD);2024 December;150
665;Oost-Nederland (LD);2024 4th quarter;570
666;Oost-Nederland (LD);2024;2310
667;Oost-Nederland (LD);2025 January;160
668;Oost-Nederland (LD);2025 February;150
669;West-Nederland (LD);2012 January;670
670;West-Nederland (LD);2012 February;650
671;West-Nederland (LD);2012 March;820
672;West-Nederland (LD);2012 1st quarter;2140
673;West-Nederland (LD);2012 April;1020
674;West-Nederland (LD);2012 May;1020
675;West-Nederland (LD);2012 June;950
676;West-Nederland (LD);2012 2nd quarter;2990
677;West-Nederland (LD);2012 July;800
678;West-Nederland (LD);2012 August;840
679;West-Nederland (LD);2012 September;1000
680;West-Nederland (LD);2012 3rd quarter;2640
681;West-Nederland (LD);2012 October;950
682;West-Nederland (LD);2012 November;840
683;West-Nederland (LD);2012 December;630
684;West-Nederland (LD);2012 4th quarter;2420
685;West-Nederland (LD);2012;10190
686;West-Nederland (LD);2013 January;690
687;West-Nederland (LD);2013 February;660
688;West-Nederland (LD);2013 March;850
689;West-Nederland (LD);2013 1st quarter;2200
690;West-Nederland (LD);2013 April;1010
691;West-Nederland (LD);2013 May;1070
692;West-Nederland (LD);2013 June;990
693;West-Nederland (LD);2013 2nd quarter;3070
694;West-Nederland (LD);2013 July;870
695;West-Nederland (LD);2013 August;980
696;West-Nederland (LD);2013 September;1090
697;West-Nederland (LD);2013 3rd quarter;2930
