ID;Doodsoorzaak;Leeftijd;Perioden;TotaalOverledenen_1;TotaalZonderMBLHandelwijze_2;PlotselingEnOnverwachtOverleden_3;NietPlotselingOnverwachtOverleden_4;TotaalMetMBLHandelwijze_5;NISRekeningHoudendMetOverlijden_6;PSBRekeningHoudendMetOverlijden_7;PSBOverlijdenMedeDoel_8;NISOverlijdenUitdrukkelijkDoel_9;TotaalToedienenMiddel_10;Euthanasie_11;HulpBijZelfdoding_12;LevensbeeindigendHandZonderVerzoek_13
27;Ziekten van ademhalingsorganen;17 tot 65 jaar;2005;1057.0;532.0;296.0;236.0;525.0;154.0;261.0;0.0;102.0;8.0;8.0;0.0;0.0
28;Ziekten van ademhalingsorganen;65 tot 80 jaar;2005;4309.0;2495.0;1276.0;1219.0;1814.0;305.0;1300.0;0.0;176.0;33.0;26.0;7.0;0.0
29;Ziekten van ademhalingsorganen;>=80 jaar;2005;8917.0;4282.0;1811.0;2471.0;4635.0;718.0;2895.0;0.0;1014.0;8.0;8.0;0.0;0.0
30;Ziekten van zenuwstelsel;Alle leeftijden;2005;3492.0;1568.0;825.0;743.0;1924.0;538.0;837.0;32.0;335.0;182.0;146.0;5.0;31.0
31;Ziekten van zenuwstelsel;0 jaar;2005;;;;;;;;;;;;;
32;Ziekten van zenuwstelsel;1 tot 17 jaar;2005;8.0;0.0;0.0;0.0;8.0;0.0;0.0;0.0;8.0;0.0;0.0;0.0;0.0
33;Ziekten van zenuwstelsel;17 tot 65 jaar;2005;742.0;299.0;166.0;133.0;443.0;78.0;171.0;0.0;117.0;77.0;72.0;5.0;0.0
34;Ziekten van zenuwstelsel;65 tot 80 jaar;2005;749.0;245.0;129.0;116.0;504.0;157.0;227.0;0.0;88.0;32.0;32.0;0.0;0.0
35;Ziekten van zenuwstelsel;>=80 jaar;2005;1995.0;1026.0;531.0;495.0;969.0;303.0;439.0;32.0;122.0;73.0;42.0;0.0;31.0
36;Overige/onbekende doodsoorzaken;Alle leeftijden;2005;35538.0;21073.0;13811.0;7262.0;14465.0;3727.0;7100.0;446.0;2860.0;332.0;38.0;0.0;294.0
37;Overige/onbekende doodsoorzaken;0 jaar;2005;650.0;276.0;117.0;159.0;374.0;128.0;33.0;16.0;131.0;66.0;0.0;0.0;66.0
38;Overige/onbekende doodsoorzaken;1 tot 17 jaar;2005;229.0;194.0;187.0;7.0;35.0;8.0;8.0;0.0;19.0;0.0;0.0;0.0;0.0
39;Overige/onbekende doodsoorzaken;17 tot 65 jaar;2005;6241.0;5105.0;4481.0;624.0;1136.0;178.0;443.0;60.0;394.0;61.0;6.0;0.0;55.0
40;Overige/onbekende doodsoorzaken;65 tot 80 jaar;2005;8393.0;4629.0;2799.0;1830.0;3764.0;888.0;1886.0;51.0;819.0;120.0;14.0;0.0;106.0
41;Overige/onbekende doodsoorzaken;>=80 jaar;2005;20025.0;10869.0;6227.0;4642.0;9156.0;2526.0;4729.0;318.0;1497.0;86.0;19.0;0.0;67.0
