ID;Geslacht;Leeftijd;Herkomstgroepering;Perioden;InstroomWWInclHerinstroom_1;HerinstroomWW_2
25;Totaal mannen en vrouwen;Totaal leeftijd;Westerse allochtoon;2005 2e kwartaal;8380;2400
26;Totaal mannen en vrouwen;Totaal leeftijd;Westerse allochtoon;2005 3e kwartaal;7220;2150
27;Totaal mannen en vrouwen;Totaal leeftijd;Westerse allochtoon;2005 4e kwartaal;7350;2230
28;Totaal mannen en vrouwen;Totaal leeftijd;Westerse allochtoon;2006 1e kwartaal;8670;2710
29;Totaal mannen en vrouwen;Totaal leeftijd;Westerse allochtoon;2006 2e kwartaal;6750;1930
30;Totaal mannen en vrouwen;Totaal leeftijd;Westerse allochtoon;2006 3e kwartaal;6260;1920
31;Totaal mannen en vrouwen;Totaal leeftijd;Westerse allochtoon;2006 4e kwartaal;6550;2170
32;Totaal mannen en vrouwen;Totaal leeftijd;Westerse allochtoon;2007 1e kwartaal;6800;2080
33;Totaal mannen en vrouwen;Totaal leeftijd;Westerse allochtoon;2007 2e kwartaal;5630;1780
34;Totaal mannen en vrouwen;Totaal leeftijd;Westerse allochtoon;2007 3e kwartaal;5330;1550
35;Totaal mannen en vrouwen;Totaal leeftijd;Westerse allochtoon;2007 4e kwartaal;5820;1790
36;Totaal mannen en vrouwen;Totaal leeftijd;Niet-westerse allochtoon;2005 1e kwartaal;14570;4180
37;Totaal mannen en vrouwen;Totaal leeftijd;Niet-westerse allochtoon;2005 2e kwartaal;12990;3680
38;Totaal mannen en vrouwen;Totaal leeftijd;Niet-westerse allochtoon;2005 3e kwartaal;10580;3160
39;Totaal mannen en vrouwen;Totaal leeftijd;Niet-westerse allochtoon;2005 4e kwartaal;12010;3600
40;Totaal mannen en vrouwen;Totaal leeftijd;Niet-westerse allochtoon;2006 1e kwartaal;14070;4410
41;Totaal mannen en vrouwen;Totaal leeftijd;Niet-westerse allochtoon;2006 2e kwartaal;11240;3170
42;Totaal mannen en vrouwen;Totaal leeftijd;Niet-westerse allochtoon;2006 3e kwartaal;9410;2910
43;Totaal mannen en vrouwen;Totaal leeftijd;Niet-westerse allochtoon;2006 4e kwartaal;11030;3530
44;Totaal mannen en vrouwen;Totaal leeftijd;Niet-westerse allochtoon;2007 1e kwartaal;11410;3380
45;Totaal mannen en vrouwen;Totaal leeftijd;Niet-westerse allochtoon;2007 2e kwartaal;9090;2720
46;Totaal mannen en vrouwen;Totaal leeftijd;Niet-westerse allochtoon;2007 3e kwartaal;8680;2430
47;Totaal mannen en vrouwen;Totaal leeftijd;Niet-westerse allochtoon;2007 4e kwartaal;10220;2830
48;Totaal mannen en vrouwen;Jonger dan 25 jaar;Totaal herkomstgroepering;2005 1e kwartaal;13740;2740
49;Totaal mannen en vrouwen;Jonger dan 25 jaar;Totaal herkomstgroepering;2005 2e kwartaal;9890;1730
50;Totaal mannen en vrouwen;Jonger dan 25 jaar;Totaal herkomstgroepering;2005 3e kwartaal;8120;1500
51;Totaal mannen en vrouwen;Jonger dan 25 jaar;Totaal herkomstgroepering;2005 4e kwartaal;8660;1670
52;Totaal mannen en vrouwen;Jonger dan 25 jaar;Totaal herkomstgroepering;2006 1e kwartaal;9660;2230
53;Totaal mannen en vrouwen;Jonger dan 25 jaar;Totaal herkomstgroepering;2006 2e kwartaal;6400;1190
54;Totaal mannen en vrouwen;Jonger dan 25 jaar;Totaal herkomstgroepering;2006 3e kwartaal;5220;980
55;Totaal mannen en vrouwen;Jonger dan 25 jaar;Totaal herkomstgroepering;2006 4e kwartaal;5900;1270
56;Totaal mannen en vrouwen;Jonger dan 25 jaar;Totaal herkomstgroepering;2007 1e kwartaal;6500;1290
57;Totaal mannen en vrouwen;Jonger dan 25 jaar;Totaal herkomstgroepering;2007 2e kwartaal;4150;670
58;Totaal mannen en vrouwen;Jonger dan 25 jaar;Totaal herkomstgroepering;2007 3e kwartaal;4140;650
59;Totaal mannen en vrouwen;Jonger dan 25 jaar;Totaal herkomstgroepering;2007 4e kwartaal;4410;720
60;Totaal mannen en vrouwen;Jonger dan 25 jaar;Autochtoon;2005 1e kwartaal;10570;2190
61;Totaal mannen en vrouwen;Jonger dan 25 jaar;Autochtoon;2005 2e kwartaal;7270;1330
62;Totaal mannen en vrouwen;Jonger dan 25 jaar;Autochtoon;2005 3e kwartaal;6120;1110
63;Totaal mannen en vrouwen;Jonger dan 25 jaar;Autochtoon;2005 4e kwartaal;6400;1270
64;Totaal mannen en vrouwen;Jonger dan 25 jaar;Autochtoon;2006 1e kwartaal;7330;1790
65;Totaal mannen en vrouwen;Jonger dan 25 jaar;Autochtoon;2006 2e kwartaal;4540;860
66;Totaal mannen en vrouwen;Jonger dan 25 jaar;Autochtoon;2006 3e kwartaal;3820;740
67;Totaal mannen en vrouwen;Jonger dan 25 jaar;Autochtoon;2006 4e kwartaal;4290;950
68;Totaal mannen en vrouwen;Jonger dan 25 jaar;Autochtoon;2007 1e kwartaal;4860;990
69;Totaal mannen en vrouwen;Jonger dan 25 jaar;Autochtoon;2007 2e kwartaal;2900;470
70;Totaal mannen en vrouwen;Jonger dan 25 jaar;Autochtoon;2007 3e kwartaal;3030;490
71;Totaal mannen en vrouwen;Jonger dan 25 jaar;Autochtoon;2007 4e kwartaal;3120;540
72;Totaal mannen en vrouwen;Jonger dan 25 jaar;Westerse allochtoon;2005 1e kwartaal;1000;170
73;Totaal mannen en vrouwen;Jonger dan 25 jaar;Westerse allochtoon;2005 2e kwartaal;750;120
74;Totaal mannen en vrouwen;Jonger dan 25 jaar;Westerse allochtoon;2005 3e kwartaal;580;110
75;Totaal mannen en vrouwen;Jonger dan 25 jaar;Westerse allochtoon;2005 4e kwartaal;630;130
76;Totaal mannen en vrouwen;Jonger dan 25 jaar;Westerse allochtoon;2006 1e kwartaal;640;140
77;Totaal mannen en vrouwen;Jonger dan 25 jaar;Westerse allochtoon;2006 2e kwartaal;490;90
78;Totaal mannen en vrouwen;Jonger dan 25 jaar;Westerse allochtoon;2006 3e kwartaal;380;70
79;Totaal mannen en vrouwen;Jonger dan 25 jaar;Westerse allochtoon;2006 4e kwartaal;410;90
80;Totaal mannen en vrouwen;Jonger dan 25 jaar;Westerse allochtoon;2007 1e kwartaal;460;90
81;Totaal mannen en vrouwen;Jonger dan 25 jaar;Westerse allochtoon;2007 2e kwartaal;360;70
82;Totaal mannen en vrouwen;Jonger dan 25 jaar;Westerse allochtoon;2007 3e kwartaal;320;50
83;Totaal mannen en vrouwen;Jonger dan 25 jaar;Westerse allochtoon;2007 4e kwartaal;350;60
84;Totaal mannen en vrouwen;Jonger dan 25 jaar;Niet-westerse allochtoon;2005 1e kwartaal;2180;390
85;Totaal mannen en vrouwen;Jonger dan 25 jaar;Niet-westerse allochtoon;2005 2e kwartaal;1870;280
86;Totaal mannen en vrouwen;Jonger dan 25 jaar;Niet-westerse allochtoon;2005 3e kwartaal;1420;280
87;Totaal mannen en vrouwen;Jonger dan 25 jaar;Niet-westerse allochtoon;2005 4e kwartaal;1630;270
88;Totaal mannen en vrouwen;Jonger dan 25 jaar;Niet-westerse allochtoon;2006 1e kwartaal;1690;300
89;Totaal mannen en vrouwen;Jonger dan 25 jaar;Niet-westerse allochtoon;2006 2e kwartaal;1370;240
90;Totaal mannen en vrouwen;Jonger dan 25 jaar;Niet-westerse allochtoon;2006 3e kwartaal;1020;170
91;Totaal mannen en vrouwen;Jonger dan 25 jaar;Niet-westerse allochtoon;2006 4e kwartaal;1210;230
92;Totaal mannen en vrouwen;Jonger dan 25 jaar;Niet-westerse allochtoon;2007 1e kwartaal;1170;220
93;Totaal mannen en vrouwen;Jonger dan 25 jaar;Niet-westerse allochtoon;2007 2e kwartaal;900;130
94;Totaal mannen en vrouwen;Jonger dan 25 jaar;Niet-westerse allochtoon;2007 3e kwartaal;790;110
95;Totaal mannen en vrouwen;Jonger dan 25 jaar;Niet-westerse allochtoon;2007 4e kwartaal;950;110
96;Totaal mannen en vrouwen;25 tot 35 jaar;Totaal herkomstgroepering;2005 1e kwartaal;28670;7950
97;Totaal mannen en vrouwen;25 tot 35 jaar;Totaal herkomstgroepering;2005 2e kwartaal;22890;5920
98;Totaal mannen en vrouwen;25 tot 35 jaar;Totaal herkomstgroepering;2005 3e kwartaal;19210;5110
99;Totaal mannen en vrouwen;25 tot 35 jaar;Totaal herkomstgroepering;2005 4e kwartaal;20090;5610
100;Totaal mannen en vrouwen;25 tot 35 jaar;Totaal herkomstgroepering;2006 1e kwartaal;22920;6860
101;Totaal mannen en vrouwen;25 tot 35 jaar;Totaal herkomstgroepering;2006 2e kwartaal;16990;4350
102;Totaal mannen en vrouwen;25 tot 35 jaar;Totaal herkomstgroepering;2006 3e kwartaal;14680;4000
103;Totaal mannen en vrouwen;25 tot 35 jaar;Totaal herkomstgroepering;2006 4e kwartaal;15940;4670
104;Totaal mannen en vrouwen;25 tot 35 jaar;Totaal herkomstgroepering;2007 1e kwartaal;17140;4540
105;Totaal mannen en vrouwen;25 tot 35 jaar;Totaal herkomstgroepering;2007 2e kwartaal;12160;2880
106;Totaal mannen en vrouwen;25 tot 35 jaar;Totaal herkomstgroepering;2007 3e kwartaal;11930;2780
107;Totaal mannen en vrouwen;25 tot 35 jaar;Totaal herkomstgroepering;2007 4e kwartaal;12850;3070
108;Totaal mannen en vrouwen;25 tot 35 jaar;Autochtoon;2005 1e kwartaal;20350;5690
109;Totaal mannen en vrouwen;25 tot 35 jaar;Autochtoon;2005 2e kwartaal;15600;3940
110;Totaal mannen en vrouwen;25 tot 35 jaar;Autochtoon;2005 3e kwartaal;13180;3520
111;Totaal mannen en vrouwen;25 tot 35 jaar;Autochtoon;2005 4e kwartaal;13640;3880
112;Totaal mannen en vrouwen;25 tot 35 jaar;Autochtoon;2006 1e kwartaal;15830;4900
113;Totaal mannen en vrouwen;25 tot 35 jaar;Autochtoon;2006 2e kwartaal;11160;2900
114;Totaal mannen en vrouwen;25 tot 35 jaar;Autochtoon;2006 3e kwartaal;9860;2660
115;Totaal mannen en vrouwen;25 tot 35 jaar;Autochtoon;2006 4e kwartaal;10510;3180
116;Totaal mannen en vrouwen;25 tot 35 jaar;Autochtoon;2007 1e kwartaal;11630;3150
117;Totaal mannen en vrouwen;25 tot 35 jaar;Autochtoon;2007 2e kwartaal;7850;1850
118;Totaal mannen en vrouwen;25 tot 35 jaar;Autochtoon;2007 3e kwartaal;7670;1850
119;Totaal mannen en vrouwen;25 tot 35 jaar;Autochtoon;2007 4e kwartaal;8020;1970
120;Totaal mannen en vrouwen;25 tot 35 jaar;Westerse allochtoon;2005 1e kwartaal;2840;710
121;Totaal mannen en vrouwen;25 tot 35 jaar;Westerse allochtoon;2005 2e kwartaal;2420;650
122;Totaal mannen en vrouwen;25 tot 35 jaar;Westerse allochtoon;2005 3e kwartaal;1990;530
123;Totaal mannen en vrouwen;25 tot 35 jaar;Westerse allochtoon;2005 4e kwartaal;2060;520
124;Totaal mannen en vrouwen;25 tot 35 jaar;Westerse allochtoon;2006 1e kwartaal;2250;610
125;Totaal mannen en vrouwen;25 tot 35 jaar;Westerse allochtoon;2006 2e kwartaal;1840;450
126;Totaal mannen en vrouwen;25 tot 35 jaar;Westerse allochtoon;2006 3e kwartaal;1530;410
127;Totaal mannen en vrouwen;25 tot 35 jaar;Westerse allochtoon;2006 4e kwartaal;1690;440
128;Totaal mannen en vrouwen;25 tot 35 jaar;Westerse allochtoon;2007 1e kwartaal;1670;430
129;Totaal mannen en vrouwen;25 tot 35 jaar;Westerse allochtoon;2007 2e kwartaal;1350;320
130;Totaal mannen en vrouwen;25 tot 35 jaar;Westerse allochtoon;2007 3e kwartaal;1340;300
131;Totaal mannen en vrouwen;25 tot 35 jaar;Westerse allochtoon;2007 4e kwartaal;1370;320
132;Totaal mannen en vrouwen;25 tot 35 jaar;Niet-westerse allochtoon;2005 1e kwartaal;5480;1540
133;Totaal mannen en vrouwen;25 tot 35 jaar;Niet-westerse allochtoon;2005 2e kwartaal;4870;1330
134;Totaal mannen en vrouwen;25 tot 35 jaar;Niet-westerse allochtoon;2005 3e kwartaal;4040;1060
135;Totaal mannen en vrouwen;25 tot 35 jaar;Niet-westerse allochtoon;2005 4e kwartaal;4400;1210
136;Totaal mannen en vrouwen;25 tot 35 jaar;Niet-westerse allochtoon;2006 1e kwartaal;4840;1350
137;Totaal mannen en vrouwen;25 tot 35 jaar;Niet-westerse allochtoon;2006 2e kwartaal;3980;1000
138;Totaal mannen en vrouwen;25 tot 35 jaar;Niet-westerse allochtoon;2006 3e kwartaal;3290;930
139;Totaal mannen en vrouwen;25 tot 35 jaar;Niet-westerse allochtoon;2006 4e kwartaal;3740;1050
140;Totaal mannen en vrouwen;25 tot 35 jaar;Niet-westerse allochtoon;2007 1e kwartaal;3840;950
141;Totaal mannen en vrouwen;25 tot 35 jaar;Niet-westerse allochtoon;2007 2e kwartaal;2960;710
142;Totaal mannen en vrouwen;25 tot 35 jaar;Niet-westerse allochtoon;2007 3e kwartaal;2930;640
143;Totaal mannen en vrouwen;25 tot 35 jaar;Niet-westerse allochtoon;2007 4e kwartaal;3460;780
144;Totaal mannen en vrouwen;35 tot 45 jaar;Totaal herkomstgroepering;2005 1e kwartaal;25990;7660
145;Totaal mannen en vrouwen;35 tot 45 jaar;Totaal herkomstgroepering;2005 2e kwartaal;21620;6060
146;Totaal mannen en vrouwen;35 tot 45 jaar;Totaal herkomstgroepering;2005 3e kwartaal;19250;5670
147;Totaal mannen en vrouwen;35 tot 45 jaar;Totaal herkomstgroepering;2005 4e kwartaal;20120;6200
148;Totaal mannen en vrouwen;35 tot 45 jaar;Totaal herkomstgroepering;2006 1e kwartaal;25240;8200
149;Totaal mannen en vrouwen;35 tot 45 jaar;Totaal herkomstgroepering;2006 2e kwartaal;18770;5210
150;Totaal mannen en vrouwen;35 tot 45 jaar;Totaal herkomstgroepering;2006 3e kwartaal;17080;5160
151;Totaal mannen en vrouwen;35 tot 45 jaar;Totaal herkomstgroepering;2006 4e kwartaal;18370;6110
152;Totaal mannen en vrouwen;35 tot 45 jaar;Totaal herkomstgroepering;2007 1e kwartaal;19280;5890
153;Totaal mannen en vrouwen;35 tot 45 jaar;Totaal herkomstgroepering;2007 2e kwartaal;14730;4200
154;Totaal mannen en vrouwen;35 tot 45 jaar;Totaal herkomstgroepering;2007 3e kwartaal;14840;4120
155;Totaal mannen en vrouwen;35 tot 45 jaar;Totaal herkomstgroepering;2007 4e kwartaal;15680;4660
156;Totaal mannen en vrouwen;35 tot 45 jaar;Autochtoon;2005 1e kwartaal;18530;5370
157;Totaal mannen en vrouwen;35 tot 45 jaar;Autochtoon;2005 2e kwartaal;15050;3990
158;Totaal mannen en vrouwen;35 tot 45 jaar;Autochtoon;2005 3e kwartaal;13610;3750
159;Totaal mannen en vrouwen;35 tot 45 jaar;Autochtoon;2005 4e kwartaal;14050;4200
160;Totaal mannen en vrouwen;35 tot 45 jaar;Autochtoon;2006 1e kwartaal;17770;5620
161;Totaal mannen en vrouwen;35 tot 45 jaar;Autochtoon;2006 2e kwartaal;12940;3440
162;Totaal mannen en vrouwen;35 tot 45 jaar;Autochtoon;2006 3e kwartaal;11920;3410
163;Totaal mannen en vrouwen;35 tot 45 jaar;Autochtoon;2006 4e kwartaal;12570;4080
164;Totaal mannen en vrouwen;35 tot 45 jaar;Autochtoon;2007 1e kwartaal;13320;4000
165;Totaal mannen en vrouwen;35 tot 45 jaar;Autochtoon;2007 2e kwartaal;9860;2720
166;Totaal mannen en vrouwen;35 tot 45 jaar;Autochtoon;2007 3e kwartaal;10030;2650
167;Totaal mannen en vrouwen;35 tot 45 jaar;Autochtoon;2007 4e kwartaal;10390;3010
168;Totaal mannen en vrouwen;35 tot 45 jaar;Westerse allochtoon;2005 1e kwartaal;2880;820
169;Totaal mannen en vrouwen;35 tot 45 jaar;Westerse allochtoon;2005 2e kwartaal;2480;730
170;Totaal mannen en vrouwen;35 tot 45 jaar;Westerse allochtoon;2005 3e kwartaal;2250;720
171;Totaal mannen en vrouwen;35 tot 45 jaar;Westerse allochtoon;2005 4e kwartaal;2160;660
172;Totaal mannen en vrouwen;35 tot 45 jaar;Westerse allochtoon;2006 1e kwartaal;2640;880
173;Totaal mannen en vrouwen;35 tot 45 jaar;Westerse allochtoon;2006 2e kwartaal;2080;630
174;Totaal mannen en vrouwen;35 tot 45 jaar;Westerse allochtoon;2006 3e kwartaal;1950;630
175;Totaal mannen en vrouwen;35 tot 45 jaar;Westerse allochtoon;2006 4e kwartaal;2040;690
176;Totaal mannen en vrouwen;35 tot 45 jaar;Westerse allochtoon;2007 1e kwartaal;2060;600
177;Totaal mannen en vrouwen;35 tot 45 jaar;Westerse allochtoon;2007 2e kwartaal;1720;490
178;Totaal mannen en vrouwen;35 tot 45 jaar;Westerse allochtoon;2007 3e kwartaal;1750;510
179;Totaal mannen en vrouwen;35 tot 45 jaar;Westerse allochtoon;2007 4e kwartaal;1800;530
180;Totaal mannen en vrouwen;35 tot 45 jaar;Niet-westerse allochtoon;2005 1e kwartaal;4580;1470
181;Totaal mannen en vrouwen;35 tot 45 jaar;Niet-westerse allochtoon;2005 2e kwartaal;4100;1340
182;Totaal mannen en vrouwen;35 tot 45 jaar;Niet-westerse allochtoon;2005 3e kwartaal;3380;1200
183;Totaal mannen en vrouwen;35 tot 45 jaar;Niet-westerse allochtoon;2005 4e kwartaal;3910;1350
184;Totaal mannen en vrouwen;35 tot 45 jaar;Niet-westerse allochtoon;2006 1e kwartaal;4830;1700
185;Totaal mannen en vrouwen;35 tot 45 jaar;Niet-westerse allochtoon;2006 2e kwartaal;3750;1150
186;Totaal mannen en vrouwen;35 tot 45 jaar;Niet-westerse allochtoon;2006 3e kwartaal;3200;1120
187;Totaal mannen en vrouwen;35 tot 45 jaar;Niet-westerse allochtoon;2006 4e kwartaal;3770;1340
188;Totaal mannen en vrouwen;35 tot 45 jaar;Niet-westerse allochtoon;2007 1e kwartaal;3900;1300
189;Totaal mannen en vrouwen;35 tot 45 jaar;Niet-westerse allochtoon;2007 2e kwartaal;3150;1000
190;Totaal mannen en vrouwen;35 tot 45 jaar;Niet-westerse allochtoon;2007 3e kwartaal;3060;970
191;Totaal mannen en vrouwen;35 tot 45 jaar;Niet-westerse allochtoon;2007 4e kwartaal;3490;1120
192;Totaal mannen en vrouwen;45 tot 55 jaar;Totaal herkomstgroepering;2005 1e kwartaal;18510;5730
193;Totaal mannen en vrouwen;45 tot 55 jaar;Totaal herkomstgroepering;2005 2e kwartaal;14840;4310
194;Totaal mannen en vrouwen;45 tot 55 jaar;Totaal herkomstgroepering;2005 3e kwartaal;13290;3970
195;Totaal mannen en vrouwen;45 tot 55 jaar;Totaal herkomstgroepering;2005 4e kwartaal;13950;4780
196;Totaal mannen en vrouwen;45 tot 55 jaar;Totaal herkomstgroepering;2006 1e kwartaal;18520;6520
197;Totaal mannen en vrouwen;45 tot 55 jaar;Totaal herkomstgroepering;2006 2e kwartaal;13390;3990
198;Totaal mannen en vrouwen;45 tot 55 jaar;Totaal herkomstgroepering;2006 3e kwartaal;12880;4080
199;Totaal mannen en vrouwen;45 tot 55 jaar;Totaal herkomstgroepering;2006 4e kwartaal;14410;5350
200;Totaal mannen en vrouwen;45 tot 55 jaar;Totaal herkomstgroepering;2007 1e kwartaal;15620;5270
201;Totaal mannen en vrouwen;45 tot 55 jaar;Totaal herkomstgroepering;2007 2e kwartaal;12040;4180
202;Totaal mannen en vrouwen;45 tot 55 jaar;Totaal herkomstgroepering;2007 3e kwartaal;11270;3770
203;Totaal mannen en vrouwen;45 tot 55 jaar;Totaal herkomstgroepering;2007 4e kwartaal;12860;4580
204;Totaal mannen en vrouwen;45 tot 55 jaar;Autochtoon;2005 1e kwartaal;14360;4390
205;Totaal mannen en vrouwen;45 tot 55 jaar;Autochtoon;2005 2e kwartaal;11220;3120
206;Totaal mannen en vrouwen;45 tot 55 jaar;Autochtoon;2005 3e kwartaal;10170;2920
207;Totaal mannen en vrouwen;45 tot 55 jaar;Autochtoon;2005 4e kwartaal;10580;3540
208;Totaal mannen en vrouwen;45 tot 55 jaar;Autochtoon;2006 1e kwartaal;14230;4960
209;Totaal mannen en vrouwen;45 tot 55 jaar;Autochtoon;2006 2e kwartaal;10050;2840
210;Totaal mannen en vrouwen;45 tot 55 jaar;Autochtoon;2006 3e kwartaal;9760;2990
211;Totaal mannen en vrouwen;45 tot 55 jaar;Autochtoon;2006 4e kwartaal;10860;3980
212;Totaal mannen en vrouwen;45 tot 55 jaar;Autochtoon;2007 1e kwartaal;11740;3910
213;Totaal mannen en vrouwen;45 tot 55 jaar;Autochtoon;2007 2e kwartaal;8890;2950
214;Totaal mannen en vrouwen;45 tot 55 jaar;Autochtoon;2007 3e kwartaal;8340;2720
215;Totaal mannen en vrouwen;45 tot 55 jaar;Autochtoon;2007 4e kwartaal;9460;3410
216;Totaal mannen en vrouwen;45 tot 55 jaar;Westerse allochtoon;2005 1e kwartaal;2250;700
217;Totaal mannen en vrouwen;45 tot 55 jaar;Westerse allochtoon;2005 2e kwartaal;1860;610
218;Totaal mannen en vrouwen;45 tot 55 jaar;Westerse allochtoon;2005 3e kwartaal;1670;540
219;Totaal mannen en vrouwen;45 tot 55 jaar;Westerse allochtoon;2005 4e kwartaal;1660;610
220;Totaal mannen en vrouwen;45 tot 55 jaar;Westerse allochtoon;2006 1e kwartaal;2060;710
221;Totaal mannen en vrouwen;45 tot 55 jaar;Westerse allochtoon;2006 2e kwartaal;1570;500
222;Totaal mannen en vrouwen;45 tot 55 jaar;Westerse allochtoon;2006 3e kwartaal;1580;530
223;Totaal mannen en vrouwen;45 tot 55 jaar;Westerse allochtoon;2006 4e kwartaal;1620;610
224;Totaal mannen en vrouwen;45 tot 55 jaar;Westerse allochtoon;2007 1e kwartaal;1770;600
225;Totaal mannen en vrouwen;45 tot 55 jaar;Westerse allochtoon;2007 2e kwartaal;1420;530
226;Totaal mannen en vrouwen;45 tot 55 jaar;Westerse allochtoon;2007 3e kwartaal;1320;460
227;Totaal mannen en vrouwen;45 tot 55 jaar;Westerse allochtoon;2007 4e kwartaal;1480;530
228;Totaal mannen en vrouwen;45 tot 55 jaar;Niet-westerse allochtoon;2005 1e kwartaal;1910;630
229;Totaal mannen en vrouwen;45 tot 55 jaar;Niet-westerse allochtoon;2005 2e kwartaal;1770;580
230;Totaal mannen en vrouwen;45 tot 55 jaar;Niet-westerse allochtoon;2005 3e kwartaal;1460;510
231;Totaal mannen en vrouwen;45 tot 55 jaar;Niet-westerse allochtoon;2005 4e kwartaal;1710;630
232;Totaal mannen en vrouwen;45 tot 55 jaar;Niet-westerse allochtoon;2006 1e kwartaal;2230;850
233;Totaal mannen en vrouwen;45 tot 55 jaar;Niet-westerse allochtoon;2006 2e kwartaal;1770;650
234;Totaal mannen en vrouwen;45 tot 55 jaar;Niet-westerse allochtoon;2006 3e kwartaal;1550;560
235;Totaal mannen en vrouwen;45 tot 55 jaar;Niet-westerse allochtoon;2006 4e kwartaal;1930;750
236;Totaal mannen en vrouwen;45 tot 55 jaar;Niet-westerse allochtoon;2007 1e kwartaal;2120;760
237;Totaal mannen en vrouwen;45 tot 55 jaar;Niet-westerse allochtoon;2007 2e kwartaal;1730;700
238;Totaal mannen en vrouwen;45 tot 55 jaar;Niet-westerse allochtoon;2007 3e kwartaal;1610;590
239;Totaal mannen en vrouwen;45 tot 55 jaar;Niet-westerse allochtoon;2007 4e kwartaal;1920;640
240;Totaal mannen en vrouwen;55 tot 65 jaar;Totaal herkomstgroepering;2005 1e kwartaal;8460;2700
241;Totaal mannen en vrouwen;55 tot 65 jaar;Totaal herkomstgroepering;2005 2e kwartaal;6900;2170
242;Totaal mannen en vrouwen;55 tot 65 jaar;Totaal herkomstgroepering;2005 3e kwartaal;5650;1720
243;Totaal mannen en vrouwen;55 tot 65 jaar;Totaal herkomstgroepering;2005 4e kwartaal;6260;2270
244;Totaal mannen en vrouwen;55 tot 65 jaar;Totaal herkomstgroepering;2006 1e kwartaal;8930;3480
245;Totaal mannen en vrouwen;55 tot 65 jaar;Totaal herkomstgroepering;2006 2e kwartaal;5790;1780
246;Totaal mannen en vrouwen;55 tot 65 jaar;Totaal herkomstgroepering;2006 3e kwartaal;5940;1800
247;Totaal mannen en vrouwen;55 tot 65 jaar;Totaal herkomstgroepering;2006 4e kwartaal;6260;2580
248;Totaal mannen en vrouwen;55 tot 65 jaar;Totaal herkomstgroepering;2007 1e kwartaal;6230;2430
249;Totaal mannen en vrouwen;55 tot 65 jaar;Totaal herkomstgroepering;2007 2e kwartaal;5870;2890
250;Totaal mannen en vrouwen;55 tot 65 jaar;Totaal herkomstgroepering;2007 3e kwartaal;4790;1790
251;Totaal mannen en vrouwen;55 tot 65 jaar;Totaal herkomstgroepering;2007 4e kwartaal;6070;2640
252;Totaal mannen en vrouwen;55 tot 65 jaar;Autochtoon;2005 1e kwartaal;7000;2190
253;Totaal mannen en vrouwen;55 tot 65 jaar;Autochtoon;2005 2e kwartaal;5640;1740
