ID;Persoonskenmerken;Marges;CaribischNederland;Perioden;Rokers_1;ZwareRokersOnderBevolking_2;ZwareRokersOnderRokers_3;DagelijkseRokers_4;SigarettenPerDagPerPersoonBevolking_5;SigarettenPerDagPerRoker_6;DrinktGeenAlcohol_7;ZwareDrinker_8;OvermatigeDrinker_9;VoldoenAanRichtlijnAlcoholgebruik_10;PerPersoon_11;PerDrinker_12;OpgegevenLengte_13;KleinerDan160Cm_14;k_160Tot170Cm_15;k_170Tot180Cm_16;GroterOfGelijk180Cm_17;OpgegevenGewicht_18;LichterDan60Kg_19;k_60Tot70Kg_20;k_70Tot80Kg_21;k_80Tot90Kg_22;ZwaarderOfGelijk90Kg_23;Ondergewicht_24;NormaalGewicht_25;Overgewicht_26;MatigOvergewicht_27;ErnstigOvergewicht_28;GebruikAnticonceptiepil15Tot50Jaar_29
10;Totaal personen;Waarde;Saba;2017/2018;20.0;4.8;;13.1;1.8;;28.6;10.6;7.2;;0.9;1.3;167.2;27.7;25.0;27.2;20.1;79.4;16.5;20.1;22.5;22.0;18.9;2.2;32.4;65.3;33.9;31.5;29.4
11;Totaal personen;Waarde;Saba;2021;14.1;2.6;;8.6;1.2;;39.4;6.3;5.8;48.8;0.6;1.0;165.8;34.2;29.3;22.1;14.5;80.7;14.6;16.5;25.1;17.7;26.1;;27.5;70.8;32.3;38.5;30.9
12;Totaal personen;Betrouwbaarheidsmarge;Caribisch Nederland;2013;2.4;0.8;5.3;2.0;0.2;1.1;3.1;2.2;1.8;;0.1;0.2;0.7;2.3;3.0;3.1;2.7;1.3;2.4;2.6;2.8;2.7;2.7;1.0;3.2;3.3;3.2;3.0;4.6
13;Totaal personen;Betrouwbaarheidsmarge;Caribisch Nederland;2017/2018;1.7;0.9;5.5;1.5;0.2;1.0;;1.4;1.1;;0.1;0.1;;;;;;;;;;;;;;;;;4.2
14;Totaal personen;Betrouwbaarheidsmarge;Caribisch Nederland;2021;1.7;0.6;5.1;1.5;0.2;1.3;2.7;1.6;1.3;2.7;0.1;0.1;0.7;2.6;2.9;2.7;2.2;1.2;1.6;2.3;2.7;2.6;2.7;0.5;2.6;2.6;3.0;3.1;4.7
15;Totaal personen;Betrouwbaarheidsmarge;Bonaire;2013;2.8;0.9;5.5;2.4;0.3;1.1;3.5;2.5;1.9;;0.1;0.2;0.8;2.6;3.4;3.5;2.8;1.4;2.8;2.9;3.2;3.0;2.9;1.0;3.6;3.6;3.6;3.2;5.0
16;Totaal personen;Betrouwbaarheidsmarge;Bonaire;2017/2018;2.2;1.0;6.5;2.0;0.3;1.2;3.1;1.8;1.4;;0.1;0.1;0.7;2.4;3.1;3.0;2.3;1.3;2.3;2.6;2.8;2.5;2.6;0.8;3.1;3.2;3.1;3.0;5.2
17;Totaal personen;Betrouwbaarheidsmarge;Bonaire;2021;2.5;0.9;6.4;2.3;0.2;1.2;3.7;2.6;2.1;3.8;0.1;0.2;0.8;2.9;3.8;3.5;3.0;1.4;2.2;3.1;3.5;3.2;3.2;;3.4;3.5;3.9;3.7;5.9
18;Totaal personen;Betrouwbaarheidsmarge;Sint-Eustatius;2013;5.9;;;5.4;0.6;;9.2;7.2;6.2;;0.5;0.8;2.3;6.9;8.8;9.8;9.8;5.2;7.2;8.4;8.4;8.7;9.7;;11.4;11.5;10.4;10.3;
19;Totaal personen;Betrouwbaarheidsmarge;Sint-Eustatius;2017/2018;3.3;1.9;;2.8;0.2;;;3.2;2.4;;0.2;0.4;;;;;;;;;;;;;;;;;9.4
20;Totaal personen;Betrouwbaarheidsmarge;Sint-Eustatius;2021;2.6;0.7;;2.1;0.2;;3.9;1.8;1.8;3.5;0.1;0.3;1.6;6.2;6.3;5.3;4.0;3.1;1.6;3.3;4.9;5.8;6.2;;3.1;3.1;5.0;5.6;8.5
21;Totaal personen;Betrouwbaarheidsmarge;Saba;2013;7.3;4.6;;5.6;1.1;;8.1;5.4;5.2;;0.4;0.6;2.5;7.1;7.8;8.6;7.4;3.6;7.3;7.1;8.1;6.9;7.6;4.7;9.0;9.2;8.6;8.8;
22;Totaal personen;Betrouwbaarheidsmarge;Saba;2017/2018;4.9;2.7;;4.2;0.7;;5.6;3.8;3.2;;0.2;0.3;1.6;5.9;5.8;5.9;5.3;2.5;4.9;5.3;5.6;5.5;5.2;2.0;6.5;6.6;6.5;6.4;9.8
23;Totaal personen;Betrouwbaarheidsmarge;Saba;2021;4.5;2.0;;3.7;0.6;;6.4;3.2;3.0;6.6;0.1;0.2;1.7;7.3;6.9;6.5;5.0;3.0;5.3;5.8;6.8;6.0;6.8;;7.2;7.4;7.5;7.9;12.3
24;Geslacht: mannen;Waarde;Caribisch Nederland;2013;20.6;1.9;10.0;13.0;1.5;7.7;26.1;19.3;11.8;;1.3;1.7;174.3;5.2;20.7;44.3;29.8;82.3;8.9;18.0;27.4;23.2;22.5;2.6;35.2;62.1;38.6;23.5;
25;Geslacht: mannen;Waarde;Caribisch Nederland;2017/2018;21.2;5.0;25.6;15.8;1.8;9.7;;13.3;7.2;;0.9;1.7;;;;;;;;;;;;;;;;;
26;Geslacht: mannen;Waarde;Caribisch Nederland;2021;15.8;2.1;13.1;11.6;1.1;9.3;43.8;12.0;8.2;49.9;0.9;1.7;172.1;12.1;25.3;34.8;27.8;88.2;2.6;9.8;28.7;26.2;32.6;;19.6;80.4;37.8;42.6;
27;Geslacht: mannen;Waarde;Bonaire;2013;22.0;;;14.0;1.4;6.7;25.4;18.8;10.5;;1.2;1.6;173.7;3.9;22.3;47.6;26.2;81.0;9.0;18.1;29.5;23.9;19.5;2.4;34.0;63.6;42.3;21.3;
28;Geslacht: mannen;Waarde;Bonaire;2017/2018;20.9;4.0;20.6;16.2;1.9;9.6;45.3;11.9;6.2;;0.8;1.5;173.5;4.9;22.1;45.4;27.7;82.6;6.1;20.5;25.9;22.5;25.0;1.4;36.4;62.2;36.3;25.9;
29;Geslacht: mannen;Waarde;Bonaire;2021;17.5;2.1;11.9;14.9;1.3;8.7;34.3;18.2;10.9;40.4;1.2;1.9;174.3;4.6;25.3;38.3;31.8;85.5;2.5;12.4;32.7;26.4;25.9;;24.5;75.5;45.5;30.1;
30;Geslacht: mannen;Waarde;Sint-Eustatius;2013;11.7;;;8.9;1.1;;28.3;23.7;16.1;;1.4;;;;18.9;29.9;42.2;;;17.9;21.4;19.8;31.4;;42.5;53.1;20.9;32.3;
31;Geslacht: mannen;Waarde;Sint-Eustatius;2017/2018;18.7;5.4;;13.0;0.8;;;17.0;8.8;;0.9;2.0;;;;;;;;;;;;;;;;;
32;Geslacht: mannen;Waarde;Sint-Eustatius;2021;11.5;1.4;;7.3;0.6;;69.4;4.7;4.1;75.1;0.4;1.5;166.9;25.0;31.6;27.8;15.5;96.1;;5.3;17.7;28.6;48.4;;4.7;95.3;14.7;80.6;
33;Geslacht: mannen;Waarde;Saba;2013;27.6;10.8;;13.3;3.2;;28.1;15.4;14.2;;1.4;1.9;175.8;9.4;9.5;39.7;41.4;86.4;;17.1;19.0;22.8;34.4;;34.9;62.7;32.3;30.4;
34;Geslacht: mannen;Waarde;Saba;2017/2018;26.4;8.6;;18.3;2.9;;22.0;13.8;8.8;;1.4;1.8;173.2;14.0;14.6;32.9;38.4;86.2;;13.4;29.6;25.8;28.3;;28.2;70.0;38.2;31.8;
35;Geslacht: mannen;Waarde;Saba;2021;18.2;;;9.2;1.4;;27.6;5.5;6.7;36.6;0.9;1.2;170.6;24.1;17.2;30.1;28.6;87.7;7.1;5.6;28.7;21.8;36.8;;18.7;81.3;36.2;45.1;
36;Geslacht: mannen;Betrouwbaarheidsmarge;Caribisch Nederland;2013;3.7;1.2;5.9;3.2;0.4;1.3;4.0;3.8;3.0;;0.2;0.3;1.0;2.1;3.8;4.7;4.4;1.7;2.7;3.6;4.3;4.0;4.0;1.5;4.6;4.7;4.7;4.1;
37;Geslacht: mannen;Betrouwbaarheidsmarge;Caribisch Nederland;2017/2018;2.8;1.5;6.7;2.5;0.3;1.2;;2.3;1.8;;0.1;0.2;;;;;;;;;;;;;;;;;
38;Geslacht: mannen;Betrouwbaarheidsmarge;Caribisch Nederland;2021;2.8;1.1;6.4;2.5;0.3;1.7;3.8;2.6;2.2;3.9;0.1;0.2;0.9;2.9;3.8;4.2;3.9;1.9;1.4;2.6;4.0;3.8;4.1;;3.5;3.5;4.4;4.5;
39;Geslacht: mannen;Betrouwbaarheidsmarge;Bonaire;2013;4.4;;;3.7;0.4;1.3;4.5;4.2;3.2;;0.2;0.2;1.1;2.1;4.4;5.3;4.7;1.8;2.9;4.0;4.9;4.5;4.2;1.5;5.0;5.1;5.2;4.4;
40;Geslacht: mannen;Betrouwbaarheidsmarge;Bonaire;2017/2018;3.5;1.7;8.0;3.2;0.4;1.5;4.3;2.8;2.1;;0.1;0.2;1.0;1.9;3.7;4.5;4.0;1.7;2.1;3.6;3.9;3.7;3.8;1.1;4.4;4.4;4.4;4.0;
41;Geslacht: mannen;Betrouwbaarheidsmarge;Bonaire;2021;4.1;1.5;8.2;3.8;0.4;1.5;5.1;4.4;3.5;5.3;0.2;0.3;1.0;2.5;4.9;5.4;5.2;2.0;1.7;3.7;5.2;4.9;4.8;;4.8;4.8;5.6;5.2;
42;Geslacht: mannen;Betrouwbaarheidsmarge;Sint-Eustatius;2013;9.0;;;8.5;1.0;;12.0;11.8;10.4;;0.9;;;;11.9;13.3;14.8;;;12.0;12.4;12.4;13.3;;16.1;16.0;13.8;14.5;
43;Geslacht: mannen;Betrouwbaarheidsmarge;Sint-Eustatius;2017/2018;5.5;3.2;;4.7;0.4;;;5.3;4.0;;0.3;0.5;;;;;;;;;;;;;;;;;
44;Geslacht: mannen;Betrouwbaarheidsmarge;Sint-Eustatius;2021;4.4;1.4;;3.5;0.3;;6.1;2.7;2.8;5.9;0.1;0.3;2.2;7.9;8.7;8.2;6.6;5.3;;4.1;6.8;8.2;9.0;;3.9;3.9;6.9;7.7;
45;Geslacht: mannen;Betrouwbaarheidsmarge;Saba;2013;10.9;7.9;;8.1;1.9;;10.9;9.1;8.8;;0.8;1.0;2.4;7.0;7.3;12.2;12.1;4.8;;9.5;9.9;10.5;11.7;;12.2;12.3;11.8;11.8;
46;Geslacht: mannen;Betrouwbaarheidsmarge;Saba;2017/2018;7.7;5.0;;6.8;1.3;;7.3;6.1;5.0;;0.4;0.5;2.0;6.5;6.6;8.8;9.1;2.9;;6.4;8.6;8.2;8.5;;8.6;8.8;9.3;8.9;
47;Geslacht: mannen;Betrouwbaarheidsmarge;Saba;2021;7.0;;;5.3;1.1;;8.4;4.0;4.2;8.9;0.2;0.3;2.6;9.6;7.5;10.1;9.4;4.2;5.4;5.3;10.3;9.3;10.8;;9.2;9.2;10.9;11.5;
48;Geslacht: vrouwen;Waarde;Caribisch Nederland;2013;9.8;1.6;;7.1;0.8;;52.6;3.5;3.0;;0.3;0.7;164.4;25.5;45.7;24.9;3.8;75.6;26.6;21.6;17.7;15.9;18.2;2.4;37.9;59.7;29.0;30.7;19.1
49;Geslacht: vrouwen;Waarde;Caribisch Nederland;2017/2018;9.0;1.3;16.3;5.8;0.6;7.3;;5.6;3.8;;0.3;0.9;;;;;;;;;;;;;;;;;31.3
50;Geslacht: vrouwen;Waarde;Caribisch Nederland;2021;6.8;0.7;11.0;5.6;0.5;;64.8;5.1;4.4;73.1;0.3;0.9;162.4;36.0;47.7;13.8;2.5;78.3;14.8;23.1;22.0;19.4;20.7;1.3;24.7;74.0;31.5;42.6;29.3
51;Geslacht: vrouwen;Waarde;Bonaire;2013;9.2;1.6;;7.2;0.8;;53.2;3.4;3.1;;0.3;0.7;163.9;26.9;47.8;21.7;3.5;75.0;27.8;22.0;16.3;16.8;17.0;1.8;39.5;58.7;27.8;30.9;16.7
52;Geslacht: vrouwen;Waarde;Bonaire;2017/2018;9.3;1.4;;6.1;0.7;;59.0;5.4;3.8;;0.4;0.9;163.5;28.8;49.8;18.5;3.0;75.6;23.9;22.5;23.8;13.9;16.0;1.9;33.4;64.7;33.3;31.4;27.0
53;Geslacht: vrouwen;Waarde;Bonaire;2021;7.6;0.7;;6.6;0.5;;56.1;5.8;5.5;65.7;0.4;0.9;163.6;30.5;53.5;14.0;2.0;76.1;17.1;27.1;22.5;16.7;16.7;;27.6;71.3;37.1;34.2;23.0
54;Geslacht: vrouwen;Waarde;Sint-Eustatius;2013;9.1;;;;;;60.2;;;;0.2;;167.8;;;;;82.0;;;;;;;;;;;
55;Geslacht: vrouwen;Waarde;Sint-Eustatius;2017/2018;5.0;;;3.3;;;;4.9;2.7;;0.3;;;;;;;;;;;;;;;;;;44.1
56;Geslacht: vrouwen;Waarde;Sint-Eustatius;2021;3.3;;;2.4;;;88.1;2.4;2.2;93.8;0.1;;160.0;45.3;37.2;12.6;4.9;87.2;3.2;9.9;20.7;31.2;35.0;;6.4;93.6;16.7;77.0;38.1
57;Geslacht: vrouwen;Waarde;Saba;2013;15.1;;;8.7;1.2;;36.1;;;;0.4;;163.1;27.9;38.6;31.2;;72.2;26.1;19.0;31.9;12.0;11.0;;28.5;63.8;29.2;34.6;
58;Geslacht: vrouwen;Waarde;Saba;2017/2018;13.5;;;7.9;0.6;;35.3;7.4;5.7;;0.4;0.7;161.1;41.6;35.5;21.4;;72.6;30.2;26.9;15.4;18.1;9.5;;37.0;60.2;29.1;31.2;29.4
59;Geslacht: vrouwen;Waarde;Saba;2021;10.1;;;8.1;0.9;;51.1;7.1;4.9;60.9;0.3;0.7;161.3;43.6;40.7;14.5;;74.6;21.3;26.1;21.9;14.1;16.7;;35.7;61.0;28.6;32.4;30.9
60;Geslacht: vrouwen;Betrouwbaarheidsmarge;Caribisch Nederland;2013;2.6;1.2;;2.3;0.3;;4.4;1.7;1.5;;0.1;0.1;0.8;3.9;4.4;3.9;1.7;2.0;4.0;3.6;3.4;3.4;3.6;1.4;4.5;4.5;4.2;4.2;4.6
61;Geslacht: vrouwen;Betrouwbaarheidsmarge;Caribisch Nederland;2017/2018;2.0;0.8;9.1;1.6;0.2;1.5;;1.6;1.3;;0.1;0.1;;;;;;;;;;;;;;;;;4.2
62;Geslacht: vrouwen;Betrouwbaarheidsmarge;Caribisch Nederland;2021;1.9;0.6;8.1;1.7;0.2;;3.6;1.7;1.6;3.4;0.1;0.1;0.7;4.1;4.3;3.0;1.3;1.5;3.0;3.6;3.5;3.3;3.5;1.0;3.8;3.9;4.1;4.4;4.7
63;Geslacht: vrouwen;Betrouwbaarheidsmarge;Bonaire;2013;3.0;1.5;;2.7;0.3;;5.0;2.0;1.8;;0.1;0.1;0.9;4.5;5.0;4.1;1.9;2.0;4.6;4.1;3.7;3.8;3.8;1.4;5.0;5.0;4.5;4.7;5.0
64;Geslacht: vrouwen;Betrouwbaarheidsmarge;Bonaire;2017/2018;2.6;1.1;;2.1;0.3;;4.4;2.0;1.7;;0.1;0.2;0.8;4.2;4.6;3.6;1.6;1.9;3.9;3.8;3.9;3.2;3.4;1.3;4.5;4.6;4.5;4.4;5.2
65;Geslacht: vrouwen;Betrouwbaarheidsmarge;Bonaire;2021;2.6;0.7;;2.5;0.2;;5.2;2.5;2.3;4.9;0.1;0.2;0.8;5.0;5.4;3.8;1.5;1.8;4.0;4.9;4.4;4.0;4.1;;4.9;5.0;5.4;5.3;5.9
66;Geslacht: vrouwen;Betrouwbaarheidsmarge;Sint-Eustatius;2013;7.3;;;;;;12.0;;;;0.1;;2.4;;;;;8.7;;;;;;;;;;;
67;Geslacht: vrouwen;Betrouwbaarheidsmarge;Sint-Eustatius;2017/2018;3.2;;;2.6;;;;3.2;2.4;;0.2;;;;;;;;;;;;;;;;;;9.4
68;Geslacht: vrouwen;Betrouwbaarheidsmarge;Sint-Eustatius;2021;2.5;;;2.1;;;4.3;2.2;2.1;3.3;0.1;;2.1;9.2;9.0;6.2;4.0;2.6;3.2;5.2;7.1;8.1;8.5;;4.7;4.7;7.2;8.2;8.5
69;Geslacht: vrouwen;Betrouwbaarheidsmarge;Saba;2013;9.6;;;8.0;1.1;;11.9;;;;0.2;;3.5;11.8;12.6;11.6;;4.4;12.6;10.7;12.8;8.2;7.6;;13.0;13.6;12.4;13.0;
70;Geslacht: vrouwen;Betrouwbaarheidsmarge;Saba;2017/2018;6.0;;;4.7;0.4;;8.4;4.6;4.1;;0.2;0.2;1.9;9.3;9.1;7.8;;3.5;8.7;8.4;6.8;7.3;5.5;;9.7;9.8;9.1;9.3;9.8
71;Geslacht: vrouwen;Betrouwbaarheidsmarge;Saba;2021;5.7;;;5.2;0.6;;9.2;5.1;4.3;9.2;0.1;0.2;1.7;10.7;10.6;7.7;;3.7;8.6;9.4;8.9;7.7;7.9;;10.8;11.1;10.4;10.5;12.3
72;Leeftijd: 15 tot 25 jaar;Waarde;Caribisch Nederland;2013;10.3;;;5.3;0.7;;44.6;8.0;6.1;;0.7;1.3;169.8;12.1;37.5;30.3;20.2;70.2;39.0;23.4;15.3;11.8;10.5;5.1;61.0;33.8;20.3;13.5;21.0
73;Leeftijd: 15 tot 25 jaar;Waarde;Caribisch Nederland;2017/2018;9.1;1.8;;4.5;0.2;;;5.6;2.3;;0.4;0.8;;;;;;;;;;;;;;;;;33.9
74;Leeftijd: 15 tot 25 jaar;Waarde;Caribisch Nederland;2021;8.4;;;5.4;0.5;;65.2;6.5;3.9;73.3;0.4;1.1;164.3;36.0;28.9;24.3;10.8;75.2;19.7;18.4;32.5;14.2;15.3;;35.2;63.3;29.4;33.9;20.5
75;Leeftijd: 15 tot 25 jaar;Waarde;Bonaire;2013;6.3;;;3.9;0.6;;47.3;8.7;8.0;;0.8;1.5;168.5;11.8;45.1;30.4;12.7;69.0;42.4;21.6;15.2;12.9;8.0;5.9;63.7;30.4;17.9;12.5;18.1
76;Leeftijd: 15 tot 25 jaar;Waarde;Bonaire;2017/2018;8.8;;;4.9;0.4;;60.9;5.9;;;0.4;;168.2;18.3;36.8;34.9;10.0;67.9;38.1;25.4;17.7;11.3;7.5;4.2;58.7;37.1;21.2;15.9;32.0
77;Leeftijd: 15 tot 25 jaar;Waarde;Bonaire;2021;6.8;;;6.8;;;60.6;9.1;5.4;70.2;0.5;;169.0;19.8;31.3;32.5;16.4;74.4;20.4;21.3;31.7;13.1;13.6;;44.7;55.3;33.6;21.7;
78;Leeftijd: 15 tot 25 jaar;Waarde;Sint-Eustatius;2013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
79;Leeftijd: 15 tot 25 jaar;Waarde;Sint-Eustatius;2017/2018;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
80;Leeftijd: 15 tot 25 jaar;Waarde;Sint-Eustatius;2021;;;;;;;84.8;;;91.8;;;;;;;;;;;;;;;;;;;
81;Leeftijd: 15 tot 25 jaar;Waarde;Saba;2013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
82;Leeftijd: 15 tot 25 jaar;Waarde;Saba;2017/2018;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
83;Leeftijd: 15 tot 25 jaar;Waarde;Saba;2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
84;Leeftijd: 15 tot 25 jaar;Betrouwbaarheidsmarge;Caribisch Nederland;2013;4.8;;;3.8;0.5;;7.6;4.3;3.8;;0.3;0.4;1.7;5.4;7.4;6.9;6.9;3.3;7.8;6.5;5.7;5.2;5.3;3.4;7.7;7.5;6.2;5.8;9.5
85;Leeftijd: 15 tot 25 jaar;Betrouwbaarheidsmarge;Caribisch Nederland;2017/2018;3.7;1.8;;2.7;0.2;;;3.0;1.9;;0.1;0.2;;;;;;;;;;;;;;;;;8.8
86;Leeftijd: 15 tot 25 jaar;Betrouwbaarheidsmarge;Caribisch Nederland;2021;4.5;;;3.7;0.4;;7.6;4.3;3.1;7.1;0.2;0.6;2.4;8.9;8.3;8.2;6.1;3.2;7.3;7.0;8.7;6.9;6.5;;9.2;9.3;8.7;9.2;8.2
87;Leeftijd: 15 tot 25 jaar;Betrouwbaarheidsmarge;Bonaire;2013;4.7;;;3.8;0.6;;8.9;5.5;5.1;;0.3;0.6;1.6;6.3;8.9;8.1;6.3;3.9;8.8;7.1;6.6;6.5;5.9;4.3;8.7;8.5;6.9;6.7;10.9
88;Leeftijd: 15 tot 25 jaar;Betrouwbaarheidsmarge;Bonaire;2017/2018;4.8;;;3.7;0.4;;8.3;4.0;;;0.1;;1.6;7.0;8.7;8.6;5.4;2.7;8.8;7.9;6.9;5.7;4.8;3.8;9.3;9.1;7.7;6.9;11.8
89;Leeftijd: 15 tot 25 jaar;Betrouwbaarheidsmarge;Bonaire;2021;5.9;;;5.9;;;11.2;7.2;5.2;10.3;0.4;;2.6;9.6;10.9;11.4;9.3;4.1;9.2;9.7;11.1;8.8;8.1;;12.3;12.3;11.6;10.5;
90;Leeftijd: 15 tot 25 jaar;Betrouwbaarheidsmarge;Sint-Eustatius;2013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
91;Leeftijd: 15 tot 25 jaar;Betrouwbaarheidsmarge;Sint-Eustatius;2017/2018;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
92;Leeftijd: 15 tot 25 jaar;Betrouwbaarheidsmarge;Sint-Eustatius;2021;;;;;;;9.8;;;7.8;;;;;;;;;;;;;;;;;;;
93;Leeftijd: 15 tot 25 jaar;Betrouwbaarheidsmarge;Saba;2013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
94;Leeftijd: 15 tot 25 jaar;Betrouwbaarheidsmarge;Saba;2017/2018;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
95;Leeftijd: 15 tot 25 jaar;Betrouwbaarheidsmarge;Saba;2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
96;Leeftijd: 25 tot 45 jaar;Waarde;Caribisch Nederland;2013;18.4;2.3;13.4;12.7;1.3;8.1;29.8;16.9;9.2;;0.9;1.3;169.3;13.7;34.3;36.2;15.7;79.6;14.9;22.1;23.3;20.0;19.7;2.0;38.4;59.6;33.6;26.0;21.2
97;Leeftijd: 25 tot 45 jaar;Waarde;Caribisch Nederland;2017/2018;18.9;4.2;23.2;13.0;1.6;8.9;;12.5;5.2;;0.7;1.2;;;;;;;;;;;;;;;;;33.0
98;Leeftijd: 25 tot 45 jaar;Waarde;Caribisch Nederland;2021;11.9;1.2;10.2;8.3;0.7;;49.0;8.8;6.4;55.7;0.7;1.3;167.6;25.8;35.7;23.9;14.7;85.0;6.5;15.7;23.5;26.2;28.1;;20.0;79.7;35.7;43.9;34.6
99;Leeftijd: 25 tot 45 jaar;Waarde;Bonaire;2013;20.0;;;14.4;1.3;;28.1;15.2;6.9;;0.8;1.2;169.4;11.9;36.4;36.8;14.9;78.7;15.1;23.8;22.9;20.7;17.5;1.8;38.5;59.7;34.8;25.0;17.4
100;Leeftijd: 25 tot 45 jaar;Waarde;Bonaire;2017/2018;17.8;4.1;23.8;13.1;1.6;9.4;44.3;11.2;3.7;;0.6;1.1;168.2;16.2;36.1;32.6;15.2;79.8;9.4;22.5;31.1;16.8;20.1;1.3;33.2;65.5;38.5;26.9;27.7
101;Leeftijd: 25 tot 45 jaar;Waarde;Bonaire;2021;12.6;1.3;;10.3;0.8;;41.9;13.4;8.2;49.2;0.9;1.5;168.8;19.9;39.5;24.1;16.5;83.3;6.6;17.6;26.1;25.1;24.7;;21.1;78.5;42.4;36.1;26.1
102;Leeftijd: 25 tot 45 jaar;Waarde;Sint-Eustatius;2013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
103;Leeftijd: 25 tot 45 jaar;Waarde;Sint-Eustatius;2017/2018;14.6;;;9.9;0.7;;;15.5;6.8;;0.7;1.4;;;;;;;;;;;;;;;;;52.5
104;Leeftijd: 25 tot 45 jaar;Waarde;Sint-Eustatius;2021;9.6;;;6.5;0.5;;71.9;3.8;4.5;79.3;0.3;;164.1;40.1;30.2;17.1;12.5;91.2;;8.1;17.2;34.0;38.1;;9.2;90.8;15.8;75.0;46.2
105;Leeftijd: 25 tot 45 jaar;Waarde;Saba;2013;24.0;11.8;;13.9;;;17.8;15.2;14.0;;;;;24.8;28.0;26.9;20.3;;;;;;;;;;;;
106;Leeftijd: 25 tot 45 jaar;Waarde;Saba;2017/2018;28.8;6.4;;17.4;2.6;;20.5;13.3;8.4;;1.0;1.2;170.1;22.4;21.4;26.4;29.8;79.7;16.1;23.7;13.7;24.6;21.9;;36.3;60.2;28.9;31.2;
