ID;Geslacht;Leeftijd;Onderwijssoort;Herkomstland;GeboortelandOuders;Perioden;Leerlingen_1;VoortijdigSchoolverlaters_2;NietVoortijdigSchoolverlaters_3;VoortijdigSchoolverlatersPercentage_4
14;Totaal mannen en vrouwen;Totaal leeftijd;Totaal onderwijs;Totaal;Geboren in Nederland;2015/'16;1284000.0;23770.0;1260230.0;2.0
15;Totaal mannen en vrouwen;Totaal leeftijd;Totaal onderwijs;Totaal;Geboren in Nederland;2016/'17;1287100.0;24330.0;1262780.0;2.0
16;Totaal mannen en vrouwen;Totaal leeftijd;Totaal onderwijs;Totaal;Geboren in Nederland;2017/'18;1277560.0;26050.0;1251510.0;2.0
17;Totaal mannen en vrouwen;Totaal leeftijd;Totaal onderwijs;Totaal;Geboren in Nederland;2018/'19;1261570.0;27040.0;1234530.0;2.0
18;Totaal mannen en vrouwen;Totaal leeftijd;Totaal onderwijs;Totaal;Geboren in Nederland;2019/20;1241170.0;22630.0;1218540.0;2.0
19;Totaal mannen en vrouwen;Totaal leeftijd;Totaal onderwijs;Totaal;Geboren in Nederland;2020/'21;1219590.0;24840.0;1194750.0;2.0
20;Totaal mannen en vrouwen;Totaal leeftijd;Totaal onderwijs;Totaal;Geboren in Nederland;2021/'22;1202080.0;31260.0;1170820.0;3.0
21;Totaal mannen en vrouwen;Totaal leeftijd;Totaal onderwijs;Totaal;Geboren in Nederland;2022/'23;1176560.0;29660.0;1146900.0;3.0
22;Totaal mannen en vrouwen;Totaal leeftijd;Totaal onderwijs;Totaal;Geboren in NL, ouders in NL;2012/'13;1015050.0;19310.0;995740.0;2.0
23;Totaal mannen en vrouwen;Totaal leeftijd;Totaal onderwijs;Totaal;Geboren in NL, ouders in NL;2013/'14;1020470.0;17590.0;1002880.0;2.0
24;Totaal mannen en vrouwen;Totaal leeftijd;Totaal onderwijs;Totaal;Geboren in NL, ouders in NL;2014/'15;1025830.0;16710.0;1009130.0;2.0
25;Totaal mannen en vrouwen;Totaal leeftijd;Totaal onderwijs;Totaal;Geboren in NL, ouders in NL;2015/'16;1029110.0;16330.0;1012780.0;2.0
26;Totaal mannen en vrouwen;Totaal leeftijd;Totaal onderwijs;Totaal;Geboren in NL, ouders in NL;2016/'17;1026480.0;16710.0;1009770.0;2.0
27;Totaal mannen en vrouwen;Totaal leeftijd;Totaal onderwijs;Totaal;Geboren in NL, ouders in NL;2017/'18;1013170.0;17920.0;995260.0;2.0
28;Totaal mannen en vrouwen;Totaal leeftijd;Totaal onderwijs;Totaal;Geboren in NL, ouders in NL;2018/'19;995350.0;18650.0;976690.0;2.0
29;Totaal mannen en vrouwen;Totaal leeftijd;Totaal onderwijs;Totaal;Geboren in NL, ouders in NL;2019/20;974610.0;15720.0;958890.0;2.0
30;Totaal mannen en vrouwen;Totaal leeftijd;Totaal onderwijs;Totaal;Geboren in NL, ouders in NL;2020/'21;953340.0;17320.0;936020.0;2.0
31;Totaal mannen en vrouwen;Totaal leeftijd;Totaal onderwijs;Totaal;Geboren in NL, ouders in NL;2021/'22;935720.0;21660.0;914060.0;2.0
32;Totaal mannen en vrouwen;Totaal leeftijd;Totaal onderwijs;Totaal;Geboren in NL, ouders in NL;2022/'23;914000.0;20260.0;893740.0;2.0
33;Totaal mannen en vrouwen;Totaal leeftijd;Totaal onderwijs;Totaal;Geboren in NL, ouder(s) buiten NL;2012/'13;237670.0;8280.0;229390.0;3.0
34;Totaal mannen en vrouwen;Totaal leeftijd;Totaal onderwijs;Totaal;Geboren in NL, ouder(s) buiten NL;2013/'14;243560.0;8000.0;235560.0;3.0
35;Totaal mannen en vrouwen;Totaal leeftijd;Totaal onderwijs;Totaal;Geboren in NL, ouder(s) buiten NL;2014/'15;249880.0;7800.0;242080.0;3.0
36;Totaal mannen en vrouwen;Totaal leeftijd;Totaal onderwijs;Totaal;Geboren in NL, ouder(s) buiten NL;2015/'16;254890.0;7440.0;247450.0;3.0
37;Totaal mannen en vrouwen;Totaal leeftijd;Totaal onderwijs;Totaal;Geboren in NL, ouder(s) buiten NL;2016/'17;260630.0;7620.0;253010.0;3.0
38;Totaal mannen en vrouwen;Totaal leeftijd;Totaal onderwijs;Totaal;Geboren in NL, ouder(s) buiten NL;2017/'18;264390.0;8130.0;256260.0;3.0
39;Totaal mannen en vrouwen;Totaal leeftijd;Totaal onderwijs;Totaal;Geboren in NL, ouder(s) buiten NL;2018/'19;266220.0;8380.0;257840.0;3.0
40;Totaal mannen en vrouwen;Totaal leeftijd;Totaal onderwijs;Totaal;Geboren in NL, ouder(s) buiten NL;2019/20;266560.0;6910.0;259650.0;3.0
41;Totaal mannen en vrouwen;Totaal leeftijd;Totaal onderwijs;Totaal;Geboren in NL, ouder(s) buiten NL;2020/'21;266250.0;7530.0;258730.0;3.0
42;Totaal mannen en vrouwen;Totaal leeftijd;Totaal onderwijs;Totaal;Geboren in NL, ouder(s) buiten NL;2021/'22;266360.0;9600.0;256760.0;4.0
43;Totaal mannen en vrouwen;Totaal leeftijd;Totaal onderwijs;Totaal;Geboren in NL, ouder(s) buiten NL;2022/'23;262570.0;9400.0;253160.0;4.0
44;Totaal mannen en vrouwen;Totaal leeftijd;Totaal onderwijs;Totaal;Geboren buiten Nederland;2012/'13;68480.0;3710.0;64770.0;5.0
45;Totaal mannen en vrouwen;Totaal leeftijd;Totaal onderwijs;Totaal;Geboren buiten Nederland;2013/'14;67020.0;3730.0;63290.0;6.0
46;Totaal mannen en vrouwen;Totaal leeftijd;Totaal onderwijs;Totaal;Geboren buiten Nederland;2014/'15;65850.0;3610.0;62250.0;5.0
47;Totaal mannen en vrouwen;Totaal leeftijd;Totaal onderwijs;Totaal;Geboren buiten Nederland;2015/'16;66280.0;3590.0;62690.0;5.0
48;Totaal mannen en vrouwen;Totaal leeftijd;Totaal onderwijs;Totaal;Geboren buiten Nederland;2016/'17;70070.0;4040.0;66030.0;6.0
49;Totaal mannen en vrouwen;Totaal leeftijd;Totaal onderwijs;Totaal;Geboren buiten Nederland;2017/'18;74080.0;4210.0;69870.0;6.0
50;Totaal mannen en vrouwen;Totaal leeftijd;Totaal onderwijs;Totaal;Geboren buiten Nederland;2018/'19;77140.0;4440.0;72700.0;6.0
51;Totaal mannen en vrouwen;Totaal leeftijd;Totaal onderwijs;Totaal;Geboren buiten Nederland;2019/20;80680.0;3730.0;76940.0;5.0
52;Totaal mannen en vrouwen;Totaal leeftijd;Totaal onderwijs;Totaal;Geboren buiten Nederland;2020/'21;83980.0;3950.0;80030.0;5.0
53;Totaal mannen en vrouwen;Totaal leeftijd;Totaal onderwijs;Totaal;Geboren buiten Nederland;2021/'22;88950.0;4580.0;84370.0;5.0
54;Totaal mannen en vrouwen;Totaal leeftijd;Totaal onderwijs;Totaal;Geboren buiten Nederland;2022/'23;100640.0;5770.0;94870.0;6.0
55;Totaal mannen en vrouwen;Totaal leeftijd;Totaal onderwijs;Nederland;Totaal;2012/'13;1015050.0;19310.0;995740.0;2.0
56;Totaal mannen en vrouwen;Totaal leeftijd;Totaal onderwijs;Nederland;Totaal;2013/'14;1020470.0;17590.0;1002880.0;2.0
57;Totaal mannen en vrouwen;Totaal leeftijd;Totaal onderwijs;Nederland;Totaal;2014/'15;1025830.0;16710.0;1009130.0;2.0
58;Totaal mannen en vrouwen;Totaal leeftijd;Totaal onderwijs;Nederland;Totaal;2015/'16;1029110.0;16330.0;1012780.0;2.0
59;Totaal mannen en vrouwen;Totaal leeftijd;Totaal onderwijs;Nederland;Totaal;2016/'17;1026480.0;16710.0;1009770.0;2.0
60;Totaal mannen en vrouwen;Totaal leeftijd;Totaal onderwijs;Nederland;Totaal;2017/'18;1013170.0;17920.0;995260.0;2.0
61;Totaal mannen en vrouwen;Totaal leeftijd;Totaal onderwijs;Nederland;Totaal;2018/'19;995350.0;18650.0;976690.0;2.0
62;Totaal mannen en vrouwen;Totaal leeftijd;Totaal onderwijs;Nederland;Totaal;2019/20;974610.0;15720.0;958890.0;2.0
63;Totaal mannen en vrouwen;Totaal leeftijd;Totaal onderwijs;Nederland;Totaal;2020/'21;953340.0;17320.0;936020.0;2.0
64;Totaal mannen en vrouwen;Totaal leeftijd;Totaal onderwijs;Nederland;Totaal;2021/'22;935720.0;21660.0;914060.0;2.0
65;Totaal mannen en vrouwen;Totaal leeftijd;Totaal onderwijs;Nederland;Totaal;2022/'23;914000.0;20260.0;893740.0;2.0
66;Totaal mannen en vrouwen;Totaal leeftijd;Totaal onderwijs;Nederland;Geboren in Nederland;2012/'13;1015050.0;19310.0;995740.0;2.0
67;Totaal mannen en vrouwen;Totaal leeftijd;Totaal onderwijs;Nederland;Geboren in Nederland;2013/'14;1020470.0;17590.0;1002880.0;2.0
68;Totaal mannen en vrouwen;Totaal leeftijd;Totaal onderwijs;Nederland;Geboren in Nederland;2014/'15;1025830.0;16710.0;1009130.0;2.0
69;Totaal mannen en vrouwen;Totaal leeftijd;Totaal onderwijs;Nederland;Geboren in Nederland;2015/'16;1029110.0;16330.0;1012780.0;2.0
70;Totaal mannen en vrouwen;Totaal leeftijd;Totaal onderwijs;Nederland;Geboren in Nederland;2016/'17;1026480.0;16710.0;1009770.0;2.0
71;Totaal mannen en vrouwen;Totaal leeftijd;Totaal onderwijs;Nederland;Geboren in Nederland;2017/'18;1013170.0;17920.0;995260.0;2.0
72;Totaal mannen en vrouwen;Totaal leeftijd;Totaal onderwijs;Nederland;Geboren in Nederland;2018/'19;995350.0;18650.0;976690.0;2.0
73;Totaal mannen en vrouwen;Totaal leeftijd;Totaal onderwijs;Nederland;Geboren in Nederland;2019/20;974610.0;15720.0;958890.0;2.0
74;Totaal mannen en vrouwen;Totaal leeftijd;Totaal onderwijs;Nederland;Geboren in Nederland;2020/'21;953340.0;17320.0;936020.0;2.0
75;Totaal mannen en vrouwen;Totaal leeftijd;Totaal onderwijs;Nederland;Geboren in Nederland;2021/'22;935720.0;21660.0;914060.0;2.0
76;Totaal mannen en vrouwen;Totaal leeftijd;Totaal onderwijs;Nederland;Geboren in Nederland;2022/'23;914000.0;20260.0;893740.0;2.0
77;Totaal mannen en vrouwen;Totaal leeftijd;Totaal onderwijs;Nederland;Geboren in NL, ouders in NL;2012/'13;1015050.0;19310.0;995740.0;2.0
78;Totaal mannen en vrouwen;Totaal leeftijd;Totaal onderwijs;Nederland;Geboren in NL, ouders in NL;2013/'14;1020470.0;17590.0;1002880.0;2.0
79;Totaal mannen en vrouwen;Totaal leeftijd;Totaal onderwijs;Nederland;Geboren in NL, ouders in NL;2014/'15;1025830.0;16710.0;1009130.0;2.0
80;Totaal mannen en vrouwen;Totaal leeftijd;Totaal onderwijs;Nederland;Geboren in NL, ouders in NL;2015/'16;1029110.0;16330.0;1012780.0;2.0
81;Totaal mannen en vrouwen;Totaal leeftijd;Totaal onderwijs;Nederland;Geboren in NL, ouders in NL;2016/'17;1026480.0;16710.0;1009770.0;2.0
82;Totaal mannen en vrouwen;Totaal leeftijd;Totaal onderwijs;Nederland;Geboren in NL, ouders in NL;2017/'18;1013170.0;17920.0;995260.0;2.0
83;Totaal mannen en vrouwen;Totaal leeftijd;Totaal onderwijs;Nederland;Geboren in NL, ouders in NL;2018/'19;995350.0;18650.0;976690.0;2.0
84;Totaal mannen en vrouwen;Totaal leeftijd;Totaal onderwijs;Nederland;Geboren in NL, ouders in NL;2019/20;974610.0;15720.0;958890.0;2.0
85;Totaal mannen en vrouwen;Totaal leeftijd;Totaal onderwijs;Nederland;Geboren in NL, ouders in NL;2020/'21;953340.0;17320.0;936020.0;2.0
86;Totaal mannen en vrouwen;Totaal leeftijd;Totaal onderwijs;Nederland;Geboren in NL, ouders in NL;2021/'22;935720.0;21660.0;914060.0;2.0
87;Totaal mannen en vrouwen;Totaal leeftijd;Totaal onderwijs;Nederland;Geboren in NL, ouders in NL;2022/'23;914000.0;20260.0;893740.0;2.0
88;Totaal mannen en vrouwen;Totaal leeftijd;Totaal onderwijs;Nederland;Geboren in NL, ouder(s) buiten NL;2012/'13;;;;
89;Totaal mannen en vrouwen;Totaal leeftijd;Totaal onderwijs;Nederland;Geboren in NL, ouder(s) buiten NL;2013/'14;;;;
90;Totaal mannen en vrouwen;Totaal leeftijd;Totaal onderwijs;Nederland;Geboren in NL, ouder(s) buiten NL;2014/'15;;;;
91;Totaal mannen en vrouwen;Totaal leeftijd;Totaal onderwijs;Nederland;Geboren in NL, ouder(s) buiten NL;2015/'16;;;;
92;Totaal mannen en vrouwen;Totaal leeftijd;Totaal onderwijs;Nederland;Geboren in NL, ouder(s) buiten NL;2016/'17;;;;
93;Totaal mannen en vrouwen;Totaal leeftijd;Totaal onderwijs;Nederland;Geboren in NL, ouder(s) buiten NL;2017/'18;;;;
94;Totaal mannen en vrouwen;Totaal leeftijd;Totaal onderwijs;Nederland;Geboren in NL, ouder(s) buiten NL;2018/'19;;;;
95;Totaal mannen en vrouwen;Totaal leeftijd;Totaal onderwijs;Nederland;Geboren in NL, ouder(s) buiten NL;2019/20;;;;
96;Totaal mannen en vrouwen;Totaal leeftijd;Totaal onderwijs;Nederland;Geboren in NL, ouder(s) buiten NL;2020/'21;;;;
97;Totaal mannen en vrouwen;Totaal leeftijd;Totaal onderwijs;Nederland;Geboren in NL, ouder(s) buiten NL;2021/'22;;;;
98;Totaal mannen en vrouwen;Totaal leeftijd;Totaal onderwijs;Nederland;Geboren in NL, ouder(s) buiten NL;2022/'23;;;;
99;Totaal mannen en vrouwen;Totaal leeftijd;Totaal onderwijs;Nederland;Geboren buiten Nederland;2012/'13;;;;
100;Totaal mannen en vrouwen;Totaal leeftijd;Totaal onderwijs;Nederland;Geboren buiten Nederland;2013/'14;;;;
101;Totaal mannen en vrouwen;Totaal leeftijd;Totaal onderwijs;Nederland;Geboren buiten Nederland;2014/'15;;;;
102;Totaal mannen en vrouwen;Totaal leeftijd;Totaal onderwijs;Nederland;Geboren buiten Nederland;2015/'16;;;;
103;Totaal mannen en vrouwen;Totaal leeftijd;Totaal onderwijs;Nederland;Geboren buiten Nederland;2016/'17;;;;
104;Totaal mannen en vrouwen;Totaal leeftijd;Totaal onderwijs;Nederland;Geboren buiten Nederland;2017/'18;;;;
105;Totaal mannen en vrouwen;Totaal leeftijd;Totaal onderwijs;Nederland;Geboren buiten Nederland;2018/'19;;;;
106;Totaal mannen en vrouwen;Totaal leeftijd;Totaal onderwijs;Nederland;Geboren buiten Nederland;2019/20;;;;
107;Totaal mannen en vrouwen;Totaal leeftijd;Totaal onderwijs;Nederland;Geboren buiten Nederland;2020/'21;;;;
108;Totaal mannen en vrouwen;Totaal leeftijd;Totaal onderwijs;Nederland;Geboren buiten Nederland;2021/'22;;;;
109;Totaal mannen en vrouwen;Totaal leeftijd;Totaal onderwijs;Nederland;Geboren buiten Nederland;2022/'23;;;;
110;Totaal mannen en vrouwen;Totaal leeftijd;Totaal onderwijs;Europa (exclusief Nederland);Totaal;2012/'13;64360.0;2030.0;62340.0;3.0
111;Totaal mannen en vrouwen;Totaal leeftijd;Totaal onderwijs;Europa (exclusief Nederland);Totaal;2013/'14;66400.0;2020.0;64390.0;3.0
112;Totaal mannen en vrouwen;Totaal leeftijd;Totaal onderwijs;Europa (exclusief Nederland);Totaal;2014/'15;68600.0;1990.0;66610.0;3.0
113;Totaal mannen en vrouwen;Totaal leeftijd;Totaal onderwijs;Europa (exclusief Nederland);Totaal;2015/'16;70610.0;1990.0;68620.0;3.0
114;Totaal mannen en vrouwen;Totaal leeftijd;Totaal onderwijs;Europa (exclusief Nederland);Totaal;2016/'17;72510.0;2080.0;70430.0;3.0
115;Totaal mannen en vrouwen;Totaal leeftijd;Totaal onderwijs;Europa (exclusief Nederland);Totaal;2017/'18;74220.0;2300.0;71920.0;3.0
116;Totaal mannen en vrouwen;Totaal leeftijd;Totaal onderwijs;Europa (exclusief Nederland);Totaal;2018/'19;75720.0;2220.0;73510.0;3.0
117;Totaal mannen en vrouwen;Totaal leeftijd;Totaal onderwijs;Europa (exclusief Nederland);Totaal;2019/20;77740.0;1920.0;75820.0;2.0
118;Totaal mannen en vrouwen;Totaal leeftijd;Totaal onderwijs;Europa (exclusief Nederland);Totaal;2020/'21;79490.0;2190.0;77300.0;3.0
119;Totaal mannen en vrouwen;Totaal leeftijd;Totaal onderwijs;Europa (exclusief Nederland);Totaal;2021/'22;81760.0;2740.0;79020.0;3.0
120;Totaal mannen en vrouwen;Totaal leeftijd;Totaal onderwijs;Europa (exclusief Nederland);Totaal;2022/'23;88970.0;3310.0;85660.0;4.0
121;Totaal mannen en vrouwen;Totaal leeftijd;Totaal onderwijs;Europa (exclusief Nederland);Geboren in Nederland;2012/'13;44780.0;1160.0;43620.0;3.0
122;Totaal mannen en vrouwen;Totaal leeftijd;Totaal onderwijs;Europa (exclusief Nederland);Geboren in Nederland;2013/'14;46630.0;1120.0;45510.0;2.0
123;Totaal mannen en vrouwen;Totaal leeftijd;Totaal onderwijs;Europa (exclusief Nederland);Geboren in Nederland;2014/'15;48560.0;1140.0;47420.0;2.0
124;Totaal mannen en vrouwen;Totaal leeftijd;Totaal onderwijs;Europa (exclusief Nederland);Geboren in Nederland;2015/'16;50070.0;1100.0;48970.0;2.0
125;Totaal mannen en vrouwen;Totaal leeftijd;Totaal onderwijs;Europa (exclusief Nederland);Geboren in Nederland;2016/'17;51520.0;1170.0;50350.0;2.0
126;Totaal mannen en vrouwen;Totaal leeftijd;Totaal onderwijs;Europa (exclusief Nederland);Geboren in Nederland;2017/'18;52530.0;1360.0;51170.0;3.0
127;Totaal mannen en vrouwen;Totaal leeftijd;Totaal onderwijs;Europa (exclusief Nederland);Geboren in Nederland;2018/'19;53110.0;1310.0;51800.0;2.0
128;Totaal mannen en vrouwen;Totaal leeftijd;Totaal onderwijs;Europa (exclusief Nederland);Geboren in Nederland;2019/20;53640.0;1130.0;52510.0;2.0
129;Totaal mannen en vrouwen;Totaal leeftijd;Totaal onderwijs;Europa (exclusief Nederland);Geboren in Nederland;2020/'21;53940.0;1270.0;52680.0;2.0
130;Totaal mannen en vrouwen;Totaal leeftijd;Totaal onderwijs;Europa (exclusief Nederland);Geboren in Nederland;2021/'22;54780.0;1590.0;53190.0;3.0
131;Totaal mannen en vrouwen;Totaal leeftijd;Totaal onderwijs;Europa (exclusief Nederland);Geboren in Nederland;2022/'23;55340.0;1550.0;53790.0;3.0
132;Totaal mannen en vrouwen;Totaal leeftijd;Totaal onderwijs;Europa (exclusief Nederland);Geboren in NL, ouders in NL;2012/'13;;;;
133;Totaal mannen en vrouwen;Totaal leeftijd;Totaal onderwijs;Europa (exclusief Nederland);Geboren in NL, ouders in NL;2013/'14;;;;
134;Totaal mannen en vrouwen;Totaal leeftijd;Totaal onderwijs;Europa (exclusief Nederland);Geboren in NL, ouders in NL;2014/'15;;;;
135;Totaal mannen en vrouwen;Totaal leeftijd;Totaal onderwijs;Europa (exclusief Nederland);Geboren in NL, ouders in NL;2015/'16;;;;
136;Totaal mannen en vrouwen;Totaal leeftijd;Totaal onderwijs;Europa (exclusief Nederland);Geboren in NL, ouders in NL;2016/'17;;;;
137;Totaal mannen en vrouwen;Totaal leeftijd;Totaal onderwijs;Europa (exclusief Nederland);Geboren in NL, ouders in NL;2017/'18;;;;
138;Totaal mannen en vrouwen;Totaal leeftijd;Totaal onderwijs;Europa (exclusief Nederland);Geboren in NL, ouders in NL;2018/'19;;;;
139;Totaal mannen en vrouwen;Totaal leeftijd;Totaal onderwijs;Europa (exclusief Nederland);Geboren in NL, ouders in NL;2019/20;;;;
140;Totaal mannen en vrouwen;Totaal leeftijd;Totaal onderwijs;Europa (exclusief Nederland);Geboren in NL, ouders in NL;2020/'21;;;;
141;Totaal mannen en vrouwen;Totaal leeftijd;Totaal onderwijs;Europa (exclusief Nederland);Geboren in NL, ouders in NL;2021/'22;;;;
142;Totaal mannen en vrouwen;Totaal leeftijd;Totaal onderwijs;Europa (exclusief Nederland);Geboren in NL, ouders in NL;2022/'23;;;;
143;Totaal mannen en vrouwen;Totaal leeftijd;Totaal onderwijs;Europa (exclusief Nederland);Geboren in NL, ouder(s) buiten NL;2012/'13;44780.0;1160.0;43620.0;3.0
144;Totaal mannen en vrouwen;Totaal leeftijd;Totaal onderwijs;Europa (exclusief Nederland);Geboren in NL, ouder(s) buiten NL;2013/'14;46630.0;1120.0;45510.0;2.0
145;Totaal mannen en vrouwen;Totaal leeftijd;Totaal onderwijs;Europa (exclusief Nederland);Geboren in NL, ouder(s) buiten NL;2014/'15;48560.0;1140.0;47420.0;2.0
146;Totaal mannen en vrouwen;Totaal leeftijd;Totaal onderwijs;Europa (exclusief Nederland);Geboren in NL, ouder(s) buiten NL;2015/'16;50070.0;1100.0;48970.0;2.0
147;Totaal mannen en vrouwen;Totaal leeftijd;Totaal onderwijs;Europa (exclusief Nederland);Geboren in NL, ouder(s) buiten NL;2016/'17;51520.0;1170.0;50350.0;2.0
148;Totaal mannen en vrouwen;Totaal leeftijd;Totaal onderwijs;Europa (exclusief Nederland);Geboren in NL, ouder(s) buiten NL;2017/'18;52530.0;1360.0;51170.0;3.0
149;Totaal mannen en vrouwen;Totaal leeftijd;Totaal onderwijs;Europa (exclusief Nederland);Geboren in NL, ouder(s) buiten NL;2018/'19;53110.0;1310.0;51800.0;2.0
150;Totaal mannen en vrouwen;Totaal leeftijd;Totaal onderwijs;Europa (exclusief Nederland);Geboren in NL, ouder(s) buiten NL;2019/20;53640.0;1130.0;52510.0;2.0
151;Totaal mannen en vrouwen;Totaal leeftijd;Totaal onderwijs;Europa (exclusief Nederland);Geboren in NL, ouder(s) buiten NL;2020/'21;53940.0;1270.0;52680.0;2.0
152;Totaal mannen en vrouwen;Totaal leeftijd;Totaal onderwijs;Europa (exclusief Nederland);Geboren in NL, ouder(s) buiten NL;2021/'22;54780.0;1590.0;53190.0;3.0
153;Totaal mannen en vrouwen;Totaal leeftijd;Totaal onderwijs;Europa (exclusief Nederland);Geboren in NL, ouder(s) buiten NL;2022/'23;55340.0;1550.0;53790.0;3.0
154;Totaal mannen en vrouwen;Totaal leeftijd;Totaal onderwijs;Europa (exclusief Nederland);Geboren buiten Nederland;2012/'13;19580.0;860.0;18720.0;4.0
155;Totaal mannen en vrouwen;Totaal leeftijd;Totaal onderwijs;Europa (exclusief Nederland);Geboren buiten Nederland;2013/'14;19770.0;900.0;18880.0;5.0
156;Totaal mannen en vrouwen;Totaal leeftijd;Totaal onderwijs;Europa (exclusief Nederland);Geboren buiten Nederland;2014/'15;20040.0;850.0;19200.0;4.0
157;Totaal mannen en vrouwen;Totaal leeftijd;Totaal onderwijs;Europa (exclusief Nederland);Geboren buiten Nederland;2015/'16;20550.0;890.0;19650.0;4.0
158;Totaal mannen en vrouwen;Totaal leeftijd;Totaal onderwijs;Europa (exclusief Nederland);Geboren buiten Nederland;2016/'17;21000.0;920.0;20080.0;4.0
159;Totaal mannen en vrouwen;Totaal leeftijd;Totaal onderwijs;Europa (exclusief Nederland);Geboren buiten Nederland;2017/'18;21690.0;950.0;20750.0;4.0
160;Totaal mannen en vrouwen;Totaal leeftijd;Totaal onderwijs;Europa (exclusief Nederland);Geboren buiten Nederland;2018/'19;22610.0;900.0;21710.0;4.0
161;Totaal mannen en vrouwen;Totaal leeftijd;Totaal onderwijs;Europa (exclusief Nederland);Geboren buiten Nederland;2019/20;24100.0;800.0;23300.0;3.0
162;Totaal mannen en vrouwen;Totaal leeftijd;Totaal onderwijs;Europa (exclusief Nederland);Geboren buiten Nederland;2020/'21;25540.0;920.0;24620.0;4.0
163;Totaal mannen en vrouwen;Totaal leeftijd;Totaal onderwijs;Europa (exclusief Nederland);Geboren buiten Nederland;2021/'22;26980.0;1150.0;25830.0;4.0
164;Totaal mannen en vrouwen;Totaal leeftijd;Totaal onderwijs;Europa (exclusief Nederland);Geboren buiten Nederland;2022/'23;33630.0;1760.0;31870.0;5.0
165;Totaal mannen en vrouwen;Totaal leeftijd;Totaal onderwijs;Turkije;Totaal;2012/'13;48180.0;2040.0;46140.0;4.0
166;Totaal mannen en vrouwen;Totaal leeftijd;Totaal onderwijs;Turkije;Totaal;2013/'14;47640.0;1990.0;45660.0;4.0
167;Totaal mannen en vrouwen;Totaal leeftijd;Totaal onderwijs;Turkije;Totaal;2014/'15;46830.0;1850.0;44980.0;4.0
168;Totaal mannen en vrouwen;Totaal leeftijd;Totaal onderwijs;Turkije;Totaal;2015/'16;45900.0;1660.0;44240.0;4.0
169;Totaal mannen en vrouwen;Totaal leeftijd;Totaal onderwijs;Turkije;Totaal;2016/'17;45390.0;1610.0;43780.0;4.0
170;Totaal mannen en vrouwen;Totaal leeftijd;Totaal onderwijs;Turkije;Totaal;2017/'18;44580.0;1550.0;43030.0;3.0
171;Totaal mannen en vrouwen;Totaal leeftijd;Totaal onderwijs;Turkije;Totaal;2018/'19;43740.0;1570.0;42170.0;4.0
172;Totaal mannen en vrouwen;Totaal leeftijd;Totaal onderwijs;Turkije;Totaal;2019/20;42850.0;1300.0;41560.0;3.0
173;Totaal mannen en vrouwen;Totaal leeftijd;Totaal onderwijs;Turkije;Totaal;2020/'21;41670.0;1330.0;40340.0;3.0
174;Totaal mannen en vrouwen;Totaal leeftijd;Totaal onderwijs;Turkije;Totaal;2021/'22;40800.0;1560.0;39240.0;4.0
175;Totaal mannen en vrouwen;Totaal leeftijd;Totaal onderwijs;Turkije;Totaal;2022/'23;39600.0;1590.0;38010.0;4.0
