ID;Geslacht;Leeftijd;Geboortegeneratie;TotaalMetPartner_1;BeideWerkzaam_2;ZelfWerkzaamPartnerNietWerkzaam_3;ZelfNietWerkzaamPartnerWerkzaam_4;BeideNietWerkzaam_5;TotaalZonderPartner_6;Werkzaam_7;NietWerkzaam_8;AandeelVanTotaalArbeidsuren_9;TotaalAantalArbeidsuren_10;Totaal_11;BeideKleineParttimeBaan_12;KleineParttimeBaanEnGroteParttime_13;KleineParttimeBaanEnFulltimeBaan_14;BeideGroteParttimeBaan_15;GroteParttimeBaanEnFulltimeBaan_16;BeidePartnersFulltimeBaan_17;Totaal_18;EenKleineParttimeBaan_19;EenGroteParttimeBaan_20;EenFulltimeBaan_21;BeidePartnersNietWerkzaam_22;Werkzaam_23;NietWerkzaam_24
13;Mannen;20 jaar;1990 tot 1995;1.3;;;;;98.7;60.9;37.7;50.8;47.2;;;;;;;;;;;;;61.8;38.2
14;Mannen;20 jaar;1995 tot 2000;1.0;;;;;99.0;63.3;35.7;57.6;43.9;;;;;;;;;;;;;63.9;36.1
15;Mannen;21 jaar;1925 tot 1930;;;;;;;;;;;;;;;;;;;;;;;;
16;Mannen;21 jaar;1930 tot 1935;;;;;;;;;;;;;;;;;;;;;;;;
17;Mannen;21 jaar;1935 tot 1940;;;;;;;;;;;;;;;;;;;;;;;;
18;Mannen;21 jaar;1940 tot 1945;;;;;;;;;;;;;;;;;;;;;;;;
19;Mannen;21 jaar;1945 tot 1950;;;;;;;;;;;;;;;;;;;;;;;;
20;Mannen;21 jaar;1950 tot 1955;;;;;;;;;;;;;;;;;;;;;;;;
21;Mannen;21 jaar;1955 tot 1960;;;;;;;;;;;;;;;;;;;;;;;;
22;Mannen;21 jaar;1960 tot 1965;;;;;;;;;;;;;;;;;;;;;;;;
23;Mannen;21 jaar;1965 tot 1970;;;;;;;;;;;;;;;;;;;;;;;;
24;Mannen;21 jaar;1970 tot 1975;9.0;4.9;1.7;1.0;1.3;91.0;59.5;31.5;56.7;68.4;54.7;;;4.5;;15.8;30.0;30.5;;6.3;21.6;14.7;65.4;34.6
25;Mannen;21 jaar;1975 tot 1980;6.4;;;;;93.6;69.0;24.6;59.0;62.5;;;;;;;;;;;;;73.7;26.3
26;Mannen;21 jaar;1980 tot 1985;5.1;3.3;0.8;0.6;0.4;94.9;67.9;27.0;56.3;61.1;64.0;;4.0;7.3;3.1;25.7;20.3;28.4;4.9;8.9;14.6;7.6;71.6;28.4
27;Mannen;21 jaar;1985 tot 1990;3.6;2.4;0.6;0.4;0.2;96.4;68.6;27.8;57.2;54.4;66.6;4.3;10.0;5.3;6.7;26.3;14.0;28.8;6.9;9.4;12.5;4.6;71.2;28.8
28;Mannen;21 jaar;1990 tot 1995;3.3;;;;;96.7;62.5;34.2;55.2;54.1;;;;;;;;;;;;;64.6;35.4
29;Mannen;21 jaar;1995 tot 2000;;;;;;;;;;;;;;;;;;;;;;;;
30;Mannen;22 jaar;1925 tot 1930;;;;;;;;;;;;;;;;;;;;;;;;
31;Mannen;22 jaar;1930 tot 1935;;;;;;;;;;;;;;;;;;;;;;;;
32;Mannen;22 jaar;1935 tot 1940;;;;;;;;;;;;;;;;;;;;;;;;
33;Mannen;22 jaar;1940 tot 1945;;;;;;;;;;;;;;;;;;;;;;;;
34;Mannen;22 jaar;1945 tot 1950;;;;;;;;;;;;;;;;;;;;;;;;
35;Mannen;22 jaar;1950 tot 1955;;;;;;;;;;;;;;;;;;;;;;;;
36;Mannen;22 jaar;1955 tot 1960;;;;;;;;;;;;;;;;;;;;;;;;
37;Mannen;22 jaar;1960 tot 1965;;;;;;;;;;;;;;;;;;;;;;;;
38;Mannen;22 jaar;1965 tot 1970;;;;;;;;;;;;;;;;;;;;;;;;
39;Mannen;22 jaar;1970 tot 1975;14.4;9.0;2.4;1.5;1.4;85.6;59.4;26.2;55.6;69.1;63.0;;2.1;5.1;2.3;20.4;32.5;27.1;3.0;5.3;18.4;9.8;69.4;30.6
40;Mannen;22 jaar;1975 tot 1980;11.3;8.4;1.6;0.7;0.5;88.7;69.6;19.2;57.8;64.5;74.3;;6.3;6.4;5.1;26.4;29.5;20.9;;4.3;15.0;4.8;78.4;21.6
41;Mannen;22 jaar;1980 tot 1985;9.4;6.5;1.5;0.9;0.5;90.6;66.9;23.7;57.7;63.2;69.6;1.4;3.2;7.6;6.0;25.6;25.8;25.3;3.7;6.2;15.4;5.1;73.8;26.2
42;Mannen;22 jaar;1985 tot 1990;8.7;5.8;1.6;0.8;0.5;91.3;65.3;26.0;58.5;58.1;66.7;4.1;6.1;5.5;7.8;28.2;15.0;27.7;4.3;8.5;14.9;5.6;71.5;28.5
43;Mannen;22 jaar;1990 tot 1995;6.2;3.8;1.3;0.4;0.7;93.8;64.2;29.5;60.9;55.4;60.9;;6.7;7.9;10.4;23.8;9.9;27.9;4.9;6.8;16.2;11.1;68.5;31.5
44;Mannen;22 jaar;1995 tot 2000;;;;;;;;;;;;;;;;;;;;;;;;
45;Mannen;23 jaar;1925 tot 1930;;;;;;;;;;;;;;;;;;;;;;;;
46;Mannen;23 jaar;1930 tot 1935;;;;;;;;;;;;;;;;;;;;;;;;
47;Mannen;23 jaar;1935 tot 1940;;;;;;;;;;;;;;;;;;;;;;;;
48;Mannen;23 jaar;1940 tot 1945;;;;;;;;;;;;;;;;;;;;;;;;
49;Mannen;23 jaar;1945 tot 1950;;;;;;;;;;;;;;;;;;;;;;;;
50;Mannen;23 jaar;1950 tot 1955;;;;;;;;;;;;;;;;;;;;;;;;
51;Mannen;23 jaar;1955 tot 1960;;;;;;;;;;;;;;;;;;;;;;;;
52;Mannen;23 jaar;1960 tot 1965;;;;;;;;;;;;;;;;;;;;;;;;
53;Mannen;23 jaar;1965 tot 1970;27.0;18.6;4.7;1.1;2.6;73.0;54.8;18.2;59.6;73.9;68.9;;;;;19.8;44.4;21.5;;;17.7;9.6;75.1;24.9
54;Mannen;23 jaar;1970 tot 1975;24.1;15.7;4.1;2.3;2.0;75.9;56.2;19.7;56.3;69.7;65.0;1.1;2.0;5.0;2.0;20.3;34.9;26.7;2.6;4.5;19.4;8.3;74.1;25.9
55;Mannen;23 jaar;1975 tot 1980;18.3;14.2;2.4;0.9;0.7;81.7;64.1;17.6;59.2;66.9;77.8;1.4;2.8;6.3;3.8;31.6;32.0;18.4;1.6;3.4;13.4;3.8;78.5;21.5
56;Mannen;23 jaar;1980 tot 1985;16.2;11.2;3.0;1.2;0.9;83.8;62.4;21.3;60.6;65.5;68.8;1.5;3.7;5.7;4.6;26.6;26.7;25.8;2.1;5.6;18.1;5.4;74.5;25.5
57;Mannen;23 jaar;1985 tot 1990;15.7;10.8;2.7;1.2;0.9;84.3;60.4;23.9;59.6;60.1;68.9;2.0;5.5;7.0;7.2;30.3;16.8;25.3;3.7;7.4;14.2;5.8;71.6;28.4
58;Mannen;23 jaar;1990 tot 1995;11.8;8.0;2.3;0.9;0.6;88.2;61.9;26.3;61.0;59.7;68.2;2.9;5.2;7.5;8.0;29.1;15.6;26.9;2.9;6.4;17.7;4.9;70.2;29.8
59;Mannen;23 jaar;1995 tot 2000;;;;;;;;;;;;;;;;;;;;;;;;
60;Mannen;24 jaar;1925 tot 1930;;;;;;;;;;;;;;;;;;;;;;;;
61;Mannen;24 jaar;1930 tot 1935;;;;;;;;;;;;;;;;;;;;;;;;
62;Mannen;24 jaar;1935 tot 1940;;;;;;;;;;;;;;;;;;;;;;;;
63;Mannen;24 jaar;1940 tot 1945;;;;;;;;;;;;;;;;;;;;;;;;
64;Mannen;24 jaar;1945 tot 1950;;;;;;;;;;;;;;;;;;;;;;;;
65;Mannen;24 jaar;1950 tot 1955;;;;;;;;;;;;;;;;;;;;;;;;
66;Mannen;24 jaar;1955 tot 1960;;;;;;;;;;;;;;;;;;;;;;;;
67;Mannen;24 jaar;1960 tot 1965;;;;;;;;;;;;;;;;;;;;;;;;
68;Mannen;24 jaar;1965 tot 1970;37.1;26.4;5.8;2.6;2.3;62.9;47.0;15.9;57.3;72.2;71.1;;;5.2;1.5;19.3;43.4;22.6;;3.5;18.3;6.2;74.8;25.2
69;Mannen;24 jaar;1970 tot 1975;32.8;23.1;5.4;2.3;1.9;67.2;51.4;15.9;58.6;70.9;70.5;;1.1;5.7;2.3;24.5;36.9;23.5;2.0;4.0;17.2;5.9;76.4;23.6
70;Mannen;24 jaar;1975 tot 1980;29.6;21.7;5.1;1.8;1.0;70.4;56.3;14.1;60.1;68.9;73.4;1.0;2.1;5.9;2.2;26.4;35.8;23.4;1.9;2.9;18.6;3.3;80.0;20.0
71;Mannen;24 jaar;1980 tot 1985;24.9;18.2;4.2;1.5;0.9;75.1;57.9;17.2;61.1;67.0;73.2;0.8;2.2;7.2;3.7;31.4;27.9;23.0;2.0;4.6;16.5;3.7;77.1;22.9
72;Mannen;24 jaar;1985 tot 1990;22.4;16.4;3.4;1.7;1.0;77.6;56.6;21.0;58.5;64.4;73.0;1.2;3.5;5.9;6.0;35.1;21.4;22.7;1.8;6.3;14.6;4.3;73.0;27.0
73;Mannen;24 jaar;1990 tot 1995;18.4;13.3;2.7;1.3;1.0;81.6;59.3;22.3;58.5;62.8;72.5;1.5;5.2;7.1;7.3;31.2;20.2;21.9;2.6;6.9;12.4;5.7;72.6;27.4
74;Mannen;24 jaar;1995 tot 2000;;;;;;;;;;;;;;;;;;;;;;;;
75;Mannen;25 jaar;1925 tot 1930;;;;;;;;;;;;;;;;;;;;;;;;
76;Mannen;25 jaar;1930 tot 1935;;;;;;;;;;;;;;;;;;;;;;;;
77;Mannen;25 jaar;1935 tot 1940;;;;;;;;;;;;;;;;;;;;;;;;
78;Mannen;25 jaar;1940 tot 1945;;;;;;;;;;;;;;;;;;;;;;;;
79;Mannen;25 jaar;1945 tot 1950;;;;;;;;;;;;;;;;;;;;;;;;
80;Mannen;25 jaar;1950 tot 1955;;;;;;;;;;;;;;;;;;;;;;;;
81;Mannen;25 jaar;1955 tot 1960;;;;;;;;;;;;;;;;;;;;;;;;
82;Mannen;25 jaar;1960 tot 1965;;;;;;;;;;;;;;;;;;;;;;;;
83;Mannen;25 jaar;1965 tot 1970;46.1;32.4;8.2;2.5;3.1;53.9;42.6;11.3;60.3;73.4;70.2;;;3.0;1.0;22.9;42.4;23.1;1.0;2.2;19.8;6.7;79.0;21.0
84;Mannen;25 jaar;1970 tot 1975;43.3;32.4;6.7;2.3;1.9;56.7;46.3;10.3;59.8;71.3;74.9;;1.1;4.9;1.6;26.4;40.5;20.7;0.9;3.1;16.5;4.5;81.8;18.2
85;Mannen;25 jaar;1975 tot 1980;35.8;28.1;5.2;1.6;1.0;64.2;53.2;11.0;59.9;68.7;78.3;0.6;1.8;7.1;3.0;30.4;35.5;18.9;1.2;2.8;14.9;2.7;82.9;17.1
86;Mannen;25 jaar;1980 tot 1985;33.9;26.2;5.6;1.2;1.0;66.1;55.6;10.4;61.5;67.8;77.3;0.6;2.0;6.4;4.1;32.6;31.7;19.9;1.3;2.9;15.8;2.8;84.2;15.8
87;Mannen;25 jaar;1985 tot 1990;32.1;23.9;4.8;2.1;1.3;67.9;51.1;16.8;59.3;66.0;74.5;0.8;3.2;5.6;5.6;34.8;24.5;21.4;1.8;5.2;14.4;4.2;75.3;24.7
88;Mannen;25 jaar;1990 tot 1995;25.5;19.8;3.4;1.3;0.9;74.5;57.2;17.3;60.1;66.9;77.7;0.6;2.6;5.5;6.6;36.0;26.5;18.6;1.7;4.6;12.3;3.7;76.8;23.2
89;Mannen;25 jaar;1995 tot 2000;;;;;;;;;;;;;;;;;;;;;;;;
90;Mannen;26 jaar;1925 tot 1930;;;;;;;;;;;;;;;;;;;;;;;;
91;Mannen;26 jaar;1930 tot 1935;;;;;;;;;;;;;;;;;;;;;;;;
92;Mannen;26 jaar;1935 tot 1940;;;;;;;;;;;;;;;;;;;;;;;;
93;Mannen;26 jaar;1940 tot 1945;;;;;;;;;;;;;;;;;;;;;;;;
94;Mannen;26 jaar;1945 tot 1950;;;;;;;;;;;;;;;;;;;;;;;;
95;Mannen;26 jaar;1950 tot 1955;;;;;;;;;;;;;;;;;;;;;;;;
96;Mannen;26 jaar;1955 tot 1960;;;;;;;;;;;;;;;;;;;;;;;;
97;Mannen;26 jaar;1960 tot 1965;;;;;;;;;;;;;;;;;;;;;;;;
98;Mannen;26 jaar;1965 tot 1970;54.4;38.8;10.5;2.5;2.6;45.6;36.5;9.1;61.8;73.0;71.3;;0.7;3.7;1.2;24.9;40.9;23.9;0.8;3.4;19.6;4.8;80.1;19.9
99;Mannen;26 jaar;1970 tot 1975;49.1;38.7;7.5;1.7;1.2;50.9;43.1;7.7;60.4;72.8;78.7;;;4.3;1.6;28.0;44.3;18.9;;1.7;16.3;2.4;84.8;15.2
100;Mannen;26 jaar;1975 tot 1980;43.4;33.6;7.2;1.5;1.1;56.6;47.3;9.3;61.8;69.7;77.5;;0.8;4.7;3.2;33.8;34.5;20.0;0.8;2.4;16.8;2.6;83.5;16.5
101;Mannen;26 jaar;1980 tot 1985;44.2;35.5;6.6;1.2;0.9;55.8;47.5;8.3;61.6;69.1;80.2;0.4;0.9;5.5;4.3;35.8;33.4;17.7;0.8;2.5;14.4;2.0;85.1;14.9
102;Mannen;26 jaar;1985 tot 1990;40.5;31.5;5.6;2.1;1.2;59.5;45.3;14.3;60.6;67.1;77.9;;1.8;6.4;5.6;37.4;26.5;19.0;1.2;4.4;13.3;3.1;76.0;24.0
103;Mannen;26 jaar;1990 tot 1995;;;;;;;;;;;;;;;;;;;;;;;;
104;Mannen;26 jaar;1995 tot 2000;;;;;;;;;;;;;;;;;;;;;;;;
105;Mannen;27 jaar;1925 tot 1930;;;;;;;;;;;;;;;;;;;;;;;;
106;Mannen;27 jaar;1930 tot 1935;;;;;;;;;;;;;;;;;;;;;;;;
107;Mannen;27 jaar;1935 tot 1940;;;;;;;;;;;;;;;;;;;;;;;;
108;Mannen;27 jaar;1940 tot 1945;;;;;;;;;;;;;;;;;;;;;;;;
109;Mannen;27 jaar;1945 tot 1950;;;;;;;;;;;;;;;;;;;;;;;;
110;Mannen;27 jaar;1950 tot 1955;;;;;;;;;;;;;;;;;;;;;;;;
111;Mannen;27 jaar;1955 tot 1960;;;;;;;;;;;;;;;;;;;;;;;;
112;Mannen;27 jaar;1960 tot 1965;;;;;;;;;;;;;;;;;;;;;;;;
113;Mannen;27 jaar;1965 tot 1970;60.3;44.4;10.9;2.5;2.6;39.7;33.0;6.7;61.8;73.2;73.5;;0.7;4.2;1.6;26.5;40.8;22.2;0.6;2.3;19.1;4.2;83.2;16.8
114;Mannen;27 jaar;1970 tot 1975;55.4;43.8;8.3;1.9;1.4;44.6;38.7;5.8;60.8;72.8;79.0;;0.4;4.4;1.7;29.0;43.6;18.5;;2.1;16.0;2.4;86.9;13.1
115;Mannen;27 jaar;1975 tot 1980;51.9;40.9;8.1;1.8;1.1;48.1;41.4;6.7;61.5;70.8;78.9;;0.7;4.3;2.9;35.6;35.2;19.0;0.7;2.3;16.0;2.2;86.1;13.9
116;Mannen;27 jaar;1980 tot 1985;51.2;41.6;6.4;1.9;1.3;48.8;41.3;7.5;59.9;69.7;81.2;;1.1;4.3;4.6;37.1;34.2;16.2;0.6;2.9;12.7;2.6;84.7;15.3
117;Mannen;27 jaar;1985 tot 1990;47.3;37.3;6.5;2.2;1.2;52.7;41.3;11.3;60.6;68.7;78.9;0.4;1.5;4.9;5.6;37.7;28.9;18.5;0.8;4.4;13.3;2.6;78.5;21.5
118;Mannen;27 jaar;1990 tot 1995;;;;;;;;;;;;;;;;;;;;;;;;
119;Mannen;27 jaar;1995 tot 2000;;;;;;;;;;;;;;;;;;;;;;;;
120;Mannen;28 jaar;1925 tot 1930;;;;;;;;;;;;;;;;;;;;;;;;
121;Mannen;28 jaar;1930 tot 1935;;;;;;;;;;;;;;;;;;;;;;;;
122;Mannen;28 jaar;1935 tot 1940;;;;;;;;;;;;;;;;;;;;;;;;
123;Mannen;28 jaar;1940 tot 1945;;;;;;;;;;;;;;;;;;;;;;;;
124;Mannen;28 jaar;1945 tot 1950;;;;;;;;;;;;;;;;;;;;;;;;
125;Mannen;28 jaar;1950 tot 1955;;;;;;;;;;;;;;;;;;;;;;;;
126;Mannen;28 jaar;1955 tot 1960;;;;;;;;;;;;;;;;;;;;;;;;
127;Mannen;28 jaar;1960 tot 1965;69.8;48.8;16.1;1.8;3.1;30.2;25.4;4.8;65.4;72.5;69.9;;;4.2;;24.4;39.4;25.7;;1.8;23.7;4.4;84.0;16.0
128;Mannen;28 jaar;1965 tot 1970;65.7;48.1;12.9;2.0;2.7;34.3;28.0;6.3;64.0;72.0;73.2;;0.4;4.9;2.0;29.0;37.0;22.7;0.6;2.0;20.0;4.1;81.6;18.4
129;Mannen;28 jaar;1970 tot 1975;61.6;49.6;9.1;1.6;1.2;38.4;33.7;4.8;61.8;71.4;80.6;;0.7;4.1;2.4;33.5;39.9;17.4;;1.6;15.6;2.0;87.5;12.5
130;Mannen;28 jaar;1975 tot 1980;58.0;45.8;9.3;1.6;1.3;42.0;36.2;5.8;62.2;70.6;79.1;;0.7;4.0;3.7;35.6;34.9;18.7;0.3;2.3;16.2;2.2;86.1;13.9
131;Mannen;28 jaar;1980 tot 1985;55.3;44.6;7.7;2.1;1.0;44.7;37.1;7.6;61.0;69.8;80.6;;0.9;4.2;4.0;38.8;32.6;17.7;0.9;3.5;13.3;1.8;83.0;17.0
132;Mannen;28 jaar;1985 tot 1990;51.9;42.3;7.0;1.9;0.7;48.1;37.9;10.2;61.0;69.3;81.5;;1.4;4.4;5.5;40.7;29.4;17.1;0.7;3.3;13.2;1.3;78.8;21.2
133;Mannen;28 jaar;1990 tot 1995;;;;;;;;;;;;;;;;;;;;;;;;
134;Mannen;28 jaar;1995 tot 2000;;;;;;;;;;;;;;;;;;;;;;;;
135;Mannen;29 jaar;1925 tot 1930;;;;;;;;;;;;;;;;;;;;;;;;
136;Mannen;29 jaar;1930 tot 1935;;;;;;;;;;;;;;;;;;;;;;;;
137;Mannen;29 jaar;1935 tot 1940;;;;;;;;;;;;;;;;;;;;;;;;
138;Mannen;29 jaar;1940 tot 1945;;;;;;;;;;;;;;;;;;;;;;;;
139;Mannen;29 jaar;1945 tot 1950;;;;;;;;;;;;;;;;;;;;;;;;
140;Mannen;29 jaar;1950 tot 1955;;;;;;;;;;;;;;;;;;;;;;;;
141;Mannen;29 jaar;1955 tot 1960;;;;;;;;;;;;;;;;;;;;;;;;
142;Mannen;29 jaar;1960 tot 1965;69.6;46.8;18.2;2.2;2.5;30.4;24.9;5.4;67.6;71.1;67.2;;;5.6;1.6;27.7;31.8;29.2;;2.0;26.7;3.6;82.2;17.8
143;Mannen;29 jaar;1965 tot 1970;68.8;50.7;13.9;1.8;2.3;31.2;25.7;5.5;65.1;71.5;73.7;;0.4;5.5;1.9;29.5;36.3;22.9;0.3;2.2;20.2;3.4;82.5;17.5
144;Mannen;29 jaar;1970 tot 1975;66.1;52.1;11.0;1.9;1.1;33.9;29.5;4.4;63.1;70.5;78.8;;0.3;4.2;2.7;37.1;34.5;19.5;;2.2;17.0;1.7;87.0;13.0
145;Mannen;29 jaar;1975 tot 1980;61.4;49.1;9.5;1.9;1.0;38.6;33.9;4.8;62.6;70.2;80.0;;0.4;4.2;3.9;39.2;32.2;18.5;0.4;2.0;16.0;1.6;87.7;12.3
146;Mannen;29 jaar;1980 tot 1985;61.2;49.7;7.8;2.5;1.2;38.8;32.6;6.1;60.4;69.6;81.1;;0.8;4.0;4.6;39.6;31.9;16.9;0.5;2.9;13.4;2.0;84.2;15.8
147;Mannen;29 jaar;1985 tot 1990;56.4;46.2;7.4;1.9;1.0;43.6;35.4;8.2;60.9;69.9;81.9;;0.9;4.2;5.2;40.5;31.2;16.4;0.4;3.2;12.8;1.7;81.2;18.8
148;Mannen;29 jaar;1990 tot 1995;;;;;;;;;;;;;;;;;;;;;;;;
149;Mannen;29 jaar;1995 tot 2000;;;;;;;;;;;;;;;;;;;;;;;;
150;Mannen;30 jaar;1925 tot 1930;;;;;;;;;;;;;;;;;;;;;;;;
151;Mannen;30 jaar;1930 tot 1935;;;;;;;;;;;;;;;;;;;;;;;;
152;Mannen;30 jaar;1935 tot 1940;;;;;;;;;;;;;;;;;;;;;;;;
153;Mannen;30 jaar;1940 tot 1945;;;;;;;;;;;;;;;;;;;;;;;;
154;Mannen;30 jaar;1945 tot 1950;;;;;;;;;;;;;;;;;;;;;;;;
155;Mannen;30 jaar;1950 tot 1955;;;;;;;;;;;;;;;;;;;;;;;;
156;Mannen;30 jaar;1955 tot 1960;;;;;;;;;;;;;;;;;;;;;;;;
157;Mannen;30 jaar;1960 tot 1965;72.6;47.5;20.4;1.8;2.9;27.4;21.7;5.7;69.9;70.2;65.4;;;6.4;2.5;28.1;28.1;30.6;0.5;2.4;27.6;4.0;79.3;20.7
158;Mannen;30 jaar;1965 tot 1970;71.4;51.5;15.8;1.7;2.4;28.6;24.0;4.6;66.7;70.5;72.2;;0.5;6.2;2.5;31.8;31.4;24.5;0.3;1.7;22.3;3.3;83.9;16.1
159;Mannen;30 jaar;1970 tot 1975;67.4;51.6;12.2;1.6;1.9;32.6;28.4;4.2;65.4;69.3;76.7;;0.2;5.2;3.3;39.3;28.6;20.5;0.3;1.9;18.2;2.8;87.1;12.9
160;Mannen;30 jaar;1975 tot 1980;65.2;52.2;10.5;1.5;1.1;34.8;30.8;4.0;63.7;69.9;80.0;;0.5;3.6;3.9;42.6;29.3;18.4;0.3;2.3;15.8;1.7;88.5;11.5
161;Mannen;30 jaar;1980 tot 1985;63.4;51.4;8.4;2.5;1.0;36.6;29.7;6.9;61.0;69.6;81.1;;0.9;3.7;5.1;42.3;29.0;17.2;0.5;3.4;13.4;1.7;81.2;18.8
162;Mannen;30 jaar;1985 tot 1990;59.0;48.9;6.9;1.8;1.5;41.0;33.9;7.1;60.4;70.0;82.8;;0.7;3.1;6.2;43.4;29.4;14.7;0.3;2.9;11.5;2.5;82.8;17.2
163;Mannen;30 jaar;1990 tot 1995;;;;;;;;;;;;;;;;;;;;;;;;
164;Mannen;30 jaar;1995 tot 2000;;;;;;;;;;;;;;;;;;;;;;;;
165;Mannen;31 jaar;1925 tot 1930;;;;;;;;;;;;;;;;;;;;;;;;
166;Mannen;31 jaar;1930 tot 1935;;;;;;;;;;;;;;;;;;;;;;;;
167;Mannen;31 jaar;1935 tot 1940;;;;;;;;;;;;;;;;;;;;;;;;
168;Mannen;31 jaar;1940 tot 1945;;;;;;;;;;;;;;;;;;;;;;;;
169;Mannen;31 jaar;1945 tot 1950;;;;;;;;;;;;;;;;;;;;;;;;
170;Mannen;31 jaar;1950 tot 1955;;;;;;;;;;;;;;;;;;;;;;;;
171;Mannen;31 jaar;1955 tot 1960;;;;;;;;;;;;;;;;;;;;;;;;
172;Mannen;31 jaar;1960 tot 1965;74.0;46.2;22.9;1.9;3.0;26.0;21.5;4.6;71.9;69.1;62.4;;0.4;7.7;2.1;28.3;23.9;33.4;0.5;2.4;30.5;4.1;82.4;17.6
173;Mannen;31 jaar;1965 tot 1970;74.3;55.1;15.5;1.8;2.0;25.7;21.6;4.1;66.7;69.6;74.1;;0.3;6.1;3.5;34.3;29.9;23.2;0.2;2.1;20.8;2.6;84.1;15.9
174;Mannen;31 jaar;1970 tot 1975;71.0;53.9;12.6;2.6;2.0;29.0;25.0;4.0;65.3;68.2;75.9;;0.5;5.7;3.6;41.2;24.9;21.3;0.5;3.1;17.7;2.8;86.3;13.7
175;Mannen;31 jaar;1975 tot 1980;67.5;55.3;9.5;1.4;1.3;32.5;28.6;3.9;63.2;70.1;81.9;;0.4;3.0;4.5;45.2;28.6;16.2;;2.0;14.1;2.0;88.0;12.0
176;Mannen;31 jaar;1980 tot 1985;66.6;53.2;10.0;2.0;1.3;33.4;26.9;6.5;62.8;69.1;79.9;;0.7;3.6;4.4;45.4;25.6;18.1;0.5;3.1;14.6;2.0;80.7;19.3
177;Mannen;31 jaar;1985 tot 1990;;;;;;;;;;;;;;;;;;;;;;;;
178;Mannen;31 jaar;1990 tot 1995;;;;;;;;;;;;;;;;;;;;;;;;
179;Mannen;31 jaar;1995 tot 2000;;;;;;;;;;;;;;;;;;;;;;;;
180;Mannen;32 jaar;1925 tot 1930;;;;;;;;;;;;;;;;;;;;;;;;
181;Mannen;32 jaar;1930 tot 1935;;;;;;;;;;;;;;;;;;;;;;;;
182;Mannen;32 jaar;1935 tot 1940;;;;;;;;;;;;;;;;;;;;;;;;
183;Mannen;32 jaar;1940 tot 1945;;;;;;;;;;;;;;;;;;;;;;;;
184;Mannen;32 jaar;1945 tot 1950;;;;;;;;;;;;;;;;;;;;;;;;
185;Mannen;32 jaar;1950 tot 1955;;;;;;;;;;;;;;;;;;;;;;;;
186;Mannen;32 jaar;1955 tot 1960;;;;;;;;;;;;;;;;;;;;;;;;
187;Mannen;32 jaar;1960 tot 1965;76.5;48.2;23.9;1.9;2.4;23.5;18.9;4.7;72.4;68.2;63.1;;0.4;8.2;2.3;31.0;21.4;33.8;0.4;2.4;30.9;3.2;80.2;19.8
188;Mannen;32 jaar;1965 tot 1970;74.1;54.4;16.1;1.5;2.0;25.9;22.3;3.6;68.6;67.7;73.5;;0.6;7.5;3.0;38.5;23.8;23.8;0.5;2.4;20.9;2.7;86.1;13.9
189;Mannen;32 jaar;1970 tot 1975;72.9;55.2;14.1;2.1;1.5;27.1;23.0;4.1;66.6;67.5;75.7;;0.5;5.5;4.8;43.8;21.1;22.2;0.2;2.7;19.3;2.1;84.8;15.2
