ID;Functies;Perioden;OverdrachtenTotaal_1;OverdrachtenBedrijven_2;OverdrachtenCentraleOverheid_3;OverdrachtenDecentraleOverheid_4;OverdrachtenSocVerzekeringsinst_5;OverdrachtenHuishoudens_6;OverdrachtenIZWHuishoudens_7;OverdrachtenBuitenland_8;OverdrachtenOnverdeeld_9
26;Openbare orde en veiligheid;2005;4535;102;40;4359;0;16;0;15;2
27;Openbare orde en veiligheid;2006;4856;102;35;4672;0;18;12;15;2
28;Openbare orde en veiligheid;2007;5147;118;37;4936;0;25;14;15;3
29;Openbare orde en veiligheid;2008;5628;112;35;5408;0;25;14;30;4
30;Openbare orde en veiligheid;2009;5753;120;39;5523;0;31;19;18;3
31;Openbare orde en veiligheid;2010*;5884;123;37;5654;0;28;23;17;2
32;Economische aangelegenheden;2003;10933;1545;2579;6788;0;-265;4;156;126
33;Economische aangelegenheden;2004;10213;981;2645;6582;0;-273;5;140;133
34;Economische aangelegenheden;2005;10425;716;2509;7295;0;-249;5;102;48
35;Economische aangelegenheden;2006;10288;484;2532;6878;0;140;6;96;152
36;Economische aangelegenheden;2007;10848;1253;2389;7189;-2;-252;6;112;154
37;Economische aangelegenheden;2008;10654;1224;2163;7248;0;-293;13;123;176
38;Economische aangelegenheden;2009;15372;4099;2227;7894;362;-352;7;156;980
39;Economische aangelegenheden;2010*;16075;3017;4358;7527;404;-359;10;116;1002
40;Milieubescherming;2003;443;40;6;255;0;0;125;8;10
41;Milieubescherming;2004;583;129;-1;318;0;0;117;9;12
42;Milieubescherming;2005;452;43;-2;260;0;0;129;14;7
43;Milieubescherming;2006;544;61;-1;297;0;0;150;12;24
44;Milieubescherming;2007;718;153;0;453;1;30;56;5;19
45;Milieubescherming;2008;714;91;6;513;0;15;56;6;26
46;Milieubescherming;2009;1063;153;15;789;0;10;62;14;21
47;Milieubescherming;2010*;761;161;3;493;0;12;62;7;23
48;Huisvesting en gemeenschapsvoorzieningen;2003;813;56;6;621;0;126;1;0;3
49;Huisvesting en gemeenschapsvoorzieningen;2004;935;8;14;757;0;154;1;0;1
50;Huisvesting en gemeenschapsvoorzieningen;2005;796;8;14;721;0;48;1;1;3
51;Huisvesting en gemeenschapsvoorzieningen;2006;752;45;12;664;0;28;1;0;2
52;Huisvesting en gemeenschapsvoorzieningen;2007;594;7;13;557;0;15;1;1;1
53;Huisvesting en gemeenschapsvoorzieningen;2008;913;1;13;897;0;0;1;1;1
54;Huisvesting en gemeenschapsvoorzieningen;2009;1461;16;11;1432;0;0;1;0;1
55;Huisvesting en gemeenschapsvoorzieningen;2010*;545;0;13;531;0;0;2;0;0
56;Volksgezondheid;2003;7333;32;209;203;6823;28;39;0;0
57;Volksgezondheid;2004;8897;53;201;180;8433;0;31;0;0
58;Volksgezondheid;2005;8708;87;189;219;8196;0;11;6;0
59;Volksgezondheid;2006;7370;45;382;219;6713;0;3;9;0
60;Volksgezondheid;2007;7790;687;396;275;6416;0;6;9;0
61;Volksgezondheid;2008;8499;871;432;272;6908;0;6;11;0
62;Volksgezondheid;2009;8780;966;341;415;7050;0;6;2;0
63;Volksgezondheid;2010*;14623;979;361;400;12859;0;15;8;0
64;Recreatie, cultuur en religie;2003;1622;202;0;400;0;4;1003;2;10
65;Recreatie, cultuur en religie;2004;1607;224;0;369;0;5;997;2;9
66;Recreatie, cultuur en religie;2005;1650;229;0;413;0;6;1001;2;0
67;Recreatie, cultuur en religie;2006;1657;248;1;432;0;4;944;27;0
68;Recreatie, cultuur en religie;2007;1638;246;12;466;0;4;908;2;0
69;Recreatie, cultuur en religie;2008;1816;273;20;491;0;4;1027;2;0
70;Recreatie, cultuur en religie;2009;1788;285;45;431;0;3;1022;3;0
71;Recreatie, cultuur en religie;2010*;1834;312;45;447;0;3;1026;1;0
72;Onderwijs;2003;20507;0;1306;17039;0;2105;39;18;0
73;Onderwijs;2004;21313;0;1297;17617;0;2341;46;12;0
74;Onderwijs;2005;21963;0;1432;18131;0;2314;78;9;0
75;Onderwijs;2006;23138;0;1458;19242;0;2338;90;10;0
76;Onderwijs;2007;23818;0;1508;20105;0;2197;0;9;0
77;Onderwijs;2008;25265;0;1602;21041;0;2614;0;8;0
78;Onderwijs;2009;26717;0;1598;22602;0;2366;0;16;135
79;Onderwijs;2010*;26470;0;799;23152;0;2367;0;9;143
80;Sociale bescherming;2003;19597;0;65;7568;4861;7047;31;25;1
81;Sociale bescherming;2004;19484;0;80;7899;4227;7223;25;29;1
82;Sociale bescherming;2005;21123;0;76;7193;5665;8135;21;33;1
83;Sociale bescherming;2006;25858;0;222;6844;7226;11532;4;30;0
84;Sociale bescherming;2007;29426;1;224;6859;8594;13652;60;36;0
85;Sociale bescherming;2008;29994;1;265;6876;6563;16181;76;34;-1
86;Sociale bescherming;2009;35616;26;261;7246;9806;18158;86;34;0
87;Sociale bescherming;2010*;38161;27;216;7413;11152;19239;82;33;0
