ID;EmployeeWithWithoutRegistration;EmployeeCharacteristics;SectorBranchesSIC2008;JobCharacteristics;MigrationBackgroundNationality;Periods;JobsEmployeesFromAbroad_1
32;Total jobs;Total employees;A-U All economic activities;Total;Total;2016 3rd quarter;788.0
33;Total jobs;Total employees;A-U All economic activities;Total;Total;2016 4th quarter;792.8
34;Total jobs;Total employees;A-U All economic activities;Total;Total;2016;769.7
35;Total jobs;Total employees;A-U All economic activities;Total;Total;2017 1st quarter;784.2
36;Total jobs;Total employees;A-U All economic activities;Total;Total;2017 2nd quarter;832.0
37;Total jobs;Total employees;A-U All economic activities;Total;Total;2017 3rd quarter;860.1
38;Total jobs;Total employees;A-U All economic activities;Total;Total;2017 4th quarter;875.0
39;Total jobs;Total employees;A-U All economic activities;Total;Total;2017;838.1
40;Total jobs;Total employees;A-U All economic activities;Total;Africa;2010 1st quarter;85.7
41;Total jobs;Total employees;A-U All economic activities;Total;Africa;2010 2nd quarter;87.7
42;Total jobs;Total employees;A-U All economic activities;Total;Africa;2010 3rd quarter;87.8
43;Total jobs;Total employees;A-U All economic activities;Total;Africa;2010 4th quarter;87.2
44;Total jobs;Total employees;A-U All economic activities;Total;Africa;2010;87.1
45;Total jobs;Total employees;A-U All economic activities;Total;Africa;2011 1st quarter;85.5
46;Total jobs;Total employees;A-U All economic activities;Total;Africa;2011 2nd quarter;87.2
47;Total jobs;Total employees;A-U All economic activities;Total;Africa;2011 3rd quarter;86.7
48;Total jobs;Total employees;A-U All economic activities;Total;Africa;2011 4th quarter;86.0
49;Total jobs;Total employees;A-U All economic activities;Total;Africa;2011;86.4
50;Total jobs;Total employees;A-U All economic activities;Total;Africa;2012 1st quarter;84.0
51;Total jobs;Total employees;A-U All economic activities;Total;Africa;2012 2nd quarter;85.2
52;Total jobs;Total employees;A-U All economic activities;Total;Africa;2012 3rd quarter;84.4
53;Total jobs;Total employees;A-U All economic activities;Total;Africa;2012 4th quarter;83.4
54;Total jobs;Total employees;A-U All economic activities;Total;Africa;2012;84.3
55;Total jobs;Total employees;A-U All economic activities;Total;Africa;2013 1st quarter;81.7
56;Total jobs;Total employees;A-U All economic activities;Total;Africa;2013 2nd quarter;81.9
57;Total jobs;Total employees;A-U All economic activities;Total;Africa;2013 3rd quarter;81.3
58;Total jobs;Total employees;A-U All economic activities;Total;Africa;2013 4th quarter;80.4
59;Total jobs;Total employees;A-U All economic activities;Total;Africa;2013;81.3
60;Total jobs;Total employees;A-U All economic activities;Total;Africa;2014 1st quarter;78.3
61;Total jobs;Total employees;A-U All economic activities;Total;Africa;2014 2nd quarter;79.7
62;Total jobs;Total employees;A-U All economic activities;Total;Africa;2014 3rd quarter;80.3
63;Total jobs;Total employees;A-U All economic activities;Total;Africa;2014 4th quarter;80.7
64;Total jobs;Total employees;A-U All economic activities;Total;Africa;2014;79.8
65;Total jobs;Total employees;A-U All economic activities;Total;Africa;2015 1st quarter;79.4
66;Total jobs;Total employees;A-U All economic activities;Total;Africa;2015 2nd quarter;80.8
67;Total jobs;Total employees;A-U All economic activities;Total;Africa;2015 3rd quarter;81.5
68;Total jobs;Total employees;A-U All economic activities;Total;Africa;2015 4th quarter;82.2
69;Total jobs;Total employees;A-U All economic activities;Total;Africa;2015;81.0
70;Total jobs;Total employees;A-U All economic activities;Total;Africa;2016 1st quarter;80.7
71;Total jobs;Total employees;A-U All economic activities;Total;Africa;2016 2nd quarter;82.8
72;Total jobs;Total employees;A-U All economic activities;Total;Africa;2016 3rd quarter;84.1
73;Total jobs;Total employees;A-U All economic activities;Total;Africa;2016 4th quarter;85.7
74;Total jobs;Total employees;A-U All economic activities;Total;Africa;2016;83.4
75;Total jobs;Total employees;A-U All economic activities;Total;Africa;2017 1st quarter;85.5
76;Total jobs;Total employees;A-U All economic activities;Total;Africa;2017 2nd quarter;88.2
77;Total jobs;Total employees;A-U All economic activities;Total;Africa;2017 3rd quarter;90.5
78;Total jobs;Total employees;A-U All economic activities;Total;Africa;2017 4th quarter;93.1
79;Total jobs;Total employees;A-U All economic activities;Total;Africa;2017;89.3
80;Total jobs;Total employees;A-U All economic activities;Total;America;2010 1st quarter;126.2
81;Total jobs;Total employees;A-U All economic activities;Total;America;2010 2nd quarter;128.3
82;Total jobs;Total employees;A-U All economic activities;Total;America;2010 3rd quarter;128.9
83;Total jobs;Total employees;A-U All economic activities;Total;America;2010 4th quarter;128.5
84;Total jobs;Total employees;A-U All economic activities;Total;America;2010;128.0
85;Total jobs;Total employees;A-U All economic activities;Total;America;2011 1st quarter;125.6
86;Total jobs;Total employees;A-U All economic activities;Total;America;2011 2nd quarter;127.5
87;Total jobs;Total employees;A-U All economic activities;Total;America;2011 3rd quarter;127.5
88;Total jobs;Total employees;A-U All economic activities;Total;America;2011 4th quarter;126.5
89;Total jobs;Total employees;A-U All economic activities;Total;America;2011;126.8
90;Total jobs;Total employees;A-U All economic activities;Total;America;2012 1st quarter;123.3
91;Total jobs;Total employees;A-U All economic activities;Total;America;2012 2nd quarter;124.4
92;Total jobs;Total employees;A-U All economic activities;Total;America;2012 3rd quarter;123.6
93;Total jobs;Total employees;A-U All economic activities;Total;America;2012 4th quarter;122.3
94;Total jobs;Total employees;A-U All economic activities;Total;America;2012;123.4
95;Total jobs;Total employees;A-U All economic activities;Total;America;2013 1st quarter;119.8
96;Total jobs;Total employees;A-U All economic activities;Total;America;2013 2nd quarter;119.3
97;Total jobs;Total employees;A-U All economic activities;Total;America;2013 3rd quarter;117.8
98;Total jobs;Total employees;A-U All economic activities;Total;America;2013 4th quarter;116.9
99;Total jobs;Total employees;A-U All economic activities;Total;America;2013;118.4
100;Total jobs;Total employees;A-U All economic activities;Total;America;2014 1st quarter;113.2
101;Total jobs;Total employees;A-U All economic activities;Total;America;2014 2nd quarter;114.6
102;Total jobs;Total employees;A-U All economic activities;Total;America;2014 3rd quarter;115.3
103;Total jobs;Total employees;A-U All economic activities;Total;America;2014 4th quarter;115.7
104;Total jobs;Total employees;A-U All economic activities;Total;America;2014;114.7
105;Total jobs;Total employees;A-U All economic activities;Total;America;2015 1st quarter;113.8
106;Total jobs;Total employees;A-U All economic activities;Total;America;2015 2nd quarter;115.7
107;Total jobs;Total employees;A-U All economic activities;Total;America;2015 3rd quarter;116.6
108;Total jobs;Total employees;A-U All economic activities;Total;America;2015 4th quarter;117.6
109;Total jobs;Total employees;A-U All economic activities;Total;America;2015;115.9
110;Total jobs;Total employees;A-U All economic activities;Total;America;2016 1st quarter;115.1
111;Total jobs;Total employees;A-U All economic activities;Total;America;2016 2nd quarter;118.2
112;Total jobs;Total employees;A-U All economic activities;Total;America;2016 3rd quarter;119.9
113;Total jobs;Total employees;A-U All economic activities;Total;America;2016 4th quarter;121.6
114;Total jobs;Total employees;A-U All economic activities;Total;America;2016;118.7
115;Total jobs;Total employees;A-U All economic activities;Total;America;2017 1st quarter;120.6
116;Total jobs;Total employees;A-U All economic activities;Total;America;2017 2nd quarter;124.5
117;Total jobs;Total employees;A-U All economic activities;Total;America;2017 3rd quarter;127.1
118;Total jobs;Total employees;A-U All economic activities;Total;America;2017 4th quarter;129.9
119;Total jobs;Total employees;A-U All economic activities;Total;America;2017;125.5
120;Total jobs;Total employees;A-U All economic activities;Total;Asia;2010 1st quarter;98.2
121;Total jobs;Total employees;A-U All economic activities;Total;Asia;2010 2nd quarter;99.8
122;Total jobs;Total employees;A-U All economic activities;Total;Asia;2010 3rd quarter;99.9
123;Total jobs;Total employees;A-U All economic activities;Total;Asia;2010 4th quarter;100.3
124;Total jobs;Total employees;A-U All economic activities;Total;Asia;2010;99.6
125;Total jobs;Total employees;A-U All economic activities;Total;Asia;2011 1st quarter;99.4
126;Total jobs;Total employees;A-U All economic activities;Total;Asia;2011 2nd quarter;101.8
127;Total jobs;Total employees;A-U All economic activities;Total;Asia;2011 3rd quarter;101.6
128;Total jobs;Total employees;A-U All economic activities;Total;Asia;2011 4th quarter;101.9
129;Total jobs;Total employees;A-U All economic activities;Total;Asia;2011;101.2
130;Total jobs;Total employees;A-U All economic activities;Total;Asia;2012 1st quarter;101.1
131;Total jobs;Total employees;A-U All economic activities;Total;Asia;2012 2nd quarter;102.7
132;Total jobs;Total employees;A-U All economic activities;Total;Asia;2012 3rd quarter;101.9
133;Total jobs;Total employees;A-U All economic activities;Total;Asia;2012 4th quarter;101.7
134;Total jobs;Total employees;A-U All economic activities;Total;Asia;2012;101.8
135;Total jobs;Total employees;A-U All economic activities;Total;Asia;2013 1st quarter;101.0
136;Total jobs;Total employees;A-U All economic activities;Total;Asia;2013 2nd quarter;101.7
137;Total jobs;Total employees;A-U All economic activities;Total;Asia;2013 3rd quarter;100.8
138;Total jobs;Total employees;A-U All economic activities;Total;Asia;2013 4th quarter;100.7
139;Total jobs;Total employees;A-U All economic activities;Total;Asia;2013;101.1
140;Total jobs;Total employees;A-U All economic activities;Total;Asia;2014 1st quarter;99.3
141;Total jobs;Total employees;A-U All economic activities;Total;Asia;2014 2nd quarter;101.0
142;Total jobs;Total employees;A-U All economic activities;Total;Asia;2014 3rd quarter;101.2
143;Total jobs;Total employees;A-U All economic activities;Total;Asia;2014 4th quarter;102.3
144;Total jobs;Total employees;A-U All economic activities;Total;Asia;2014;100.9
145;Total jobs;Total employees;A-U All economic activities;Total;Asia;2015 1st quarter;101.8
146;Total jobs;Total employees;A-U All economic activities;Total;Asia;2015 2nd quarter;103.8
147;Total jobs;Total employees;A-U All economic activities;Total;Asia;2015 3rd quarter;104.6
148;Total jobs;Total employees;A-U All economic activities;Total;Asia;2015 4th quarter;106.3
149;Total jobs;Total employees;A-U All economic activities;Total;Asia;2015;104.1
150;Total jobs;Total employees;A-U All economic activities;Total;Asia;2016 1st quarter;105.8
151;Total jobs;Total employees;A-U All economic activities;Total;Asia;2016 2nd quarter;108.8
152;Total jobs;Total employees;A-U All economic activities;Total;Asia;2016 3rd quarter;110.8
153;Total jobs;Total employees;A-U All economic activities;Total;Asia;2016 4th quarter;113.6
154;Total jobs;Total employees;A-U All economic activities;Total;Asia;2016;109.8
155;Total jobs;Total employees;A-U All economic activities;Total;Asia;2017 1st quarter;114.4
156;Total jobs;Total employees;A-U All economic activities;Total;Asia;2017 2nd quarter;118.8
157;Total jobs;Total employees;A-U All economic activities;Total;Asia;2017 3rd quarter;122.0
158;Total jobs;Total employees;A-U All economic activities;Total;Asia;2017 4th quarter;126.8
159;Total jobs;Total employees;A-U All economic activities;Total;Asia;2017;120.5
160;Total jobs;Total employees;A-U All economic activities;Total;Europe (excluding Dutch background);2010 1st quarter;335.9
161;Total jobs;Total employees;A-U All economic activities;Total;Europe (excluding Dutch background);2010 2nd quarter;362.0
162;Total jobs;Total employees;A-U All economic activities;Total;Europe (excluding Dutch background);2010 3rd quarter;374.4
163;Total jobs;Total employees;A-U All economic activities;Total;Europe (excluding Dutch background);2010 4th quarter;371.1
164;Total jobs;Total employees;A-U All economic activities;Total;Europe (excluding Dutch background);2010;361.0
165;Total jobs;Total employees;A-U All economic activities;Total;Europe (excluding Dutch background);2011 1st quarter;365.0
166;Total jobs;Total employees;A-U All economic activities;Total;Europe (excluding Dutch background);2011 2nd quarter;391.1
167;Total jobs;Total employees;A-U All economic activities;Total;Europe (excluding Dutch background);2011 3rd quarter;398.7
168;Total jobs;Total employees;A-U All economic activities;Total;Europe (excluding Dutch background);2011 4th quarter;387.0
169;Total jobs;Total employees;A-U All economic activities;Total;Europe (excluding Dutch background);2011;385.5
170;Total jobs;Total employees;A-U All economic activities;Total;Europe (excluding Dutch background);2012 1st quarter;378.0
171;Total jobs;Total employees;A-U All economic activities;Total;Europe (excluding Dutch background);2012 2nd quarter;401.0
172;Total jobs;Total employees;A-U All economic activities;Total;Europe (excluding Dutch background);2012 3rd quarter;406.0
173;Total jobs;Total employees;A-U All economic activities;Total;Europe (excluding Dutch background);2012 4th quarter;393.7
174;Total jobs;Total employees;A-U All economic activities;Total;Europe (excluding Dutch background);2012;394.7
175;Total jobs;Total employees;A-U All economic activities;Total;Europe (excluding Dutch background);2013 1st quarter;379.3
176;Total jobs;Total employees;A-U All economic activities;Total;Europe (excluding Dutch background);2013 2nd quarter;398.5
177;Total jobs;Total employees;A-U All economic activities;Total;Europe (excluding Dutch background);2013 3rd quarter;403.8
178;Total jobs;Total employees;A-U All economic activities;Total;Europe (excluding Dutch background);2013 4th quarter;394.6
179;Total jobs;Total employees;A-U All economic activities;Total;Europe (excluding Dutch background);2013;394.1
180;Total jobs;Total employees;A-U All economic activities;Total;Europe (excluding Dutch background);2014 1st quarter;381.7
181;Total jobs;Total employees;A-U All economic activities;Total;Europe (excluding Dutch background);2014 2nd quarter;408.2
182;Total jobs;Total employees;A-U All economic activities;Total;Europe (excluding Dutch background);2014 3rd quarter;418.2
183;Total jobs;Total employees;A-U All economic activities;Total;Europe (excluding Dutch background);2014 4th quarter;409.5
184;Total jobs;Total employees;A-U All economic activities;Total;Europe (excluding Dutch background);2014;404.5
185;Total jobs;Total employees;A-U All economic activities;Total;Europe (excluding Dutch background);2015 1st quarter;402.3
186;Total jobs;Total employees;A-U All economic activities;Total;Europe (excluding Dutch background);2015 2nd quarter;429.8
187;Total jobs;Total employees;A-U All economic activities;Total;Europe (excluding Dutch background);2015 3rd quarter;442.5
188;Total jobs;Total employees;A-U All economic activities;Total;Europe (excluding Dutch background);2015 4th quarter;437.1
189;Total jobs;Total employees;A-U All economic activities;Total;Europe (excluding Dutch background);2015;428.1
190;Total jobs;Total employees;A-U All economic activities;Total;Europe (excluding Dutch background);2016 1st quarter;424.3
191;Total jobs;Total employees;A-U All economic activities;Total;Europe (excluding Dutch background);2016 2nd quarter;455.4
192;Total jobs;Total employees;A-U All economic activities;Total;Europe (excluding Dutch background);2016 3rd quarter;470.0
193;Total jobs;Total employees;A-U All economic activities;Total;Europe (excluding Dutch background);2016 4th quarter;468.5
194;Total jobs;Total employees;A-U All economic activities;Total;Europe (excluding Dutch background);2016;454.6
195;Total jobs;Total employees;A-U All economic activities;Total;Europe (excluding Dutch background);2017 1st quarter;460.3
196;Total jobs;Total employees;A-U All economic activities;Total;Europe (excluding Dutch background);2017 2nd quarter;497.0
197;Total jobs;Total employees;A-U All economic activities;Total;Europe (excluding Dutch background);2017 3rd quarter;516.9
198;Total jobs;Total employees;A-U All economic activities;Total;Europe (excluding Dutch background);2017 4th quarter;521.5
199;Total jobs;Total employees;A-U All economic activities;Total;Europe (excluding Dutch background);2017;499.1
200;Total jobs;Total employees;A-U All economic activities;Total;GIPS countries (European Union);2010 1st quarter;27.0
201;Total jobs;Total employees;A-U All economic activities;Total;GIPS countries (European Union);2010 2nd quarter;28.1
202;Total jobs;Total employees;A-U All economic activities;Total;GIPS countries (European Union);2010 3rd quarter;28.0
203;Total jobs;Total employees;A-U All economic activities;Total;GIPS countries (European Union);2010 4th quarter;28.6
204;Total jobs;Total employees;A-U All economic activities;Total;GIPS countries (European Union);2010;27.9
205;Total jobs;Total employees;A-U All economic activities;Total;GIPS countries (European Union);2011 1st quarter;28.4
206;Total jobs;Total employees;A-U All economic activities;Total;GIPS countries (European Union);2011 2nd quarter;29.6
207;Total jobs;Total employees;A-U All economic activities;Total;GIPS countries (European Union);2011 3rd quarter;29.8
208;Total jobs;Total employees;A-U All economic activities;Total;GIPS countries (European Union);2011 4th quarter;30.4
209;Total jobs;Total employees;A-U All economic activities;Total;GIPS countries (European Union);2011;29.5
210;Total jobs;Total employees;A-U All economic activities;Total;GIPS countries (European Union);2012 1st quarter;30.6
211;Total jobs;Total employees;A-U All economic activities;Total;GIPS countries (European Union);2012 2nd quarter;32.1
212;Total jobs;Total employees;A-U All economic activities;Total;GIPS countries (European Union);2012 3rd quarter;32.0
213;Total jobs;Total employees;A-U All economic activities;Total;GIPS countries (European Union);2012 4th quarter;32.5
214;Total jobs;Total employees;A-U All economic activities;Total;GIPS countries (European Union);2012;31.8
215;Total jobs;Total employees;A-U All economic activities;Total;GIPS countries (European Union);2013 1st quarter;32.4
216;Total jobs;Total employees;A-U All economic activities;Total;GIPS countries (European Union);2013 2nd quarter;33.8
217;Total jobs;Total employees;A-U All economic activities;Total;GIPS countries (European Union);2013 3rd quarter;33.7
218;Total jobs;Total employees;A-U All economic activities;Total;GIPS countries (European Union);2013 4th quarter;34.3
219;Total jobs;Total employees;A-U All economic activities;Total;GIPS countries (European Union);2013;33.6
220;Total jobs;Total employees;A-U All economic activities;Total;GIPS countries (European Union);2014 1st quarter;34.4
221;Total jobs;Total employees;A-U All economic activities;Total;GIPS countries (European Union);2014 2nd quarter;36.1
222;Total jobs;Total employees;A-U All economic activities;Total;GIPS countries (European Union);2014 3rd quarter;36.1
223;Total jobs;Total employees;A-U All economic activities;Total;GIPS countries (European Union);2014 4th quarter;37.0
224;Total jobs;Total employees;A-U All economic activities;Total;GIPS countries (European Union);2014;35.9
225;Total jobs;Total employees;A-U All economic activities;Total;GIPS countries (European Union);2015 1st quarter;37.3
226;Total jobs;Total employees;A-U All economic activities;Total;GIPS countries (European Union);2015 2nd quarter;39.3
227;Total jobs;Total employees;A-U All economic activities;Total;GIPS countries (European Union);2015 3rd quarter;39.3
228;Total jobs;Total employees;A-U All economic activities;Total;GIPS countries (European Union);2015 4th quarter;39.9
229;Total jobs;Total employees;A-U All economic activities;Total;GIPS countries (European Union);2015;38.9
230;Total jobs;Total employees;A-U All economic activities;Total;GIPS countries (European Union);2016 1st quarter;39.6
231;Total jobs;Total employees;A-U All economic activities;Total;GIPS countries (European Union);2016 2nd quarter;41.6
232;Total jobs;Total employees;A-U All economic activities;Total;GIPS countries (European Union);2016 3rd quarter;41.9
233;Total jobs;Total employees;A-U All economic activities;Total;GIPS countries (European Union);2016 4th quarter;43.2
234;Total jobs;Total employees;A-U All economic activities;Total;GIPS countries (European Union);2016;41.6
235;Total jobs;Total employees;A-U All economic activities;Total;GIPS countries (European Union);2017 1st quarter;43.4
236;Total jobs;Total employees;A-U All economic activities;Total;GIPS countries (European Union);2017 2nd quarter;46.1
237;Total jobs;Total employees;A-U All economic activities;Total;GIPS countries (European Union);2017 3rd quarter;46.6
238;Total jobs;Total employees;A-U All economic activities;Total;GIPS countries (European Union);2017 4th quarter;48.9
239;Total jobs;Total employees;A-U All economic activities;Total;GIPS countries (European Union);2017;46.3
240;Total jobs;Total employees;A-U All economic activities;Total;Middle and Eastern European EU countries;2010 1st quarter;106.1
241;Total jobs;Total employees;A-U All economic activities;Total;Middle and Eastern European EU countries;2010 2nd quarter;126.2
242;Total jobs;Total employees;A-U All economic activities;Total;Middle and Eastern European EU countries;2010 3rd quarter;140.0
243;Total jobs;Total employees;A-U All economic activities;Total;Middle and Eastern European EU countries;2010 4th quarter;135.0
244;Total jobs;Total employees;A-U All economic activities;Total;Middle and Eastern European EU countries;2010;127.0
245;Total jobs;Total employees;A-U All economic activities;Total;Middle and Eastern European EU countries;2011 1st quarter;131.0
246;Total jobs;Total employees;A-U All economic activities;Total;Middle and Eastern European EU countries;2011 2nd quarter;151.6
247;Total jobs;Total employees;A-U All economic activities;Total;Middle and Eastern European EU countries;2011 3rd quarter;162.1
248;Total jobs;Total employees;A-U All economic activities;Total;Middle and Eastern European EU countries;2011 4th quarter;150.2
249;Total jobs;Total employees;A-U All economic activities;Total;Middle and Eastern European EU countries;2011;148.8
250;Total jobs;Total employees;A-U All economic activities;Total;Middle and Eastern European EU countries;2012 1st quarter;144.9
251;Total jobs;Total employees;A-U All economic activities;Total;Middle and Eastern European EU countries;2012 2nd quarter;164.6
252;Total jobs;Total employees;A-U All economic activities;Total;Middle and Eastern European EU countries;2012 3rd quarter;173.8
253;Total jobs;Total employees;A-U All economic activities;Total;Middle and Eastern European EU countries;2012 4th quarter;162.0
254;Total jobs;Total employees;A-U All economic activities;Total;Middle and Eastern European EU countries;2012;161.4
255;Total jobs;Total employees;A-U All economic activities;Total;Middle and Eastern European EU countries;2013 1st quarter;151.1
256;Total jobs;Total employees;A-U All economic activities;Total;Middle and Eastern European EU countries;2013 2nd quarter;167.9
257;Total jobs;Total employees;A-U All economic activities;Total;Middle and Eastern European EU countries;2013 3rd quarter;177.4
258;Total jobs;Total employees;A-U All economic activities;Total;Middle and Eastern European EU countries;2013 4th quarter;168.1
259;Total jobs;Total employees;A-U All economic activities;Total;Middle and Eastern European EU countries;2013;166.2
260;Total jobs;Total employees;A-U All economic activities;Total;Middle and Eastern European EU countries;2014 1st quarter;159.6
261;Total jobs;Total employees;A-U All economic activities;Total;Middle and Eastern European EU countries;2014 2nd quarter;182.0
262;Total jobs;Total employees;A-U All economic activities;Total;Middle and Eastern European EU countries;2014 3rd quarter;193.8
263;Total jobs;Total employees;A-U All economic activities;Total;Middle and Eastern European EU countries;2014 4th quarter;183.0
264;Total jobs;Total employees;A-U All economic activities;Total;Middle and Eastern European EU countries;2014;179.7
265;Total jobs;Total employees;A-U All economic activities;Total;Middle and Eastern European EU countries;2015 1st quarter;177.3
266;Total jobs;Total employees;A-U All economic activities;Total;Middle and Eastern European EU countries;2015 2nd quarter;199.6
267;Total jobs;Total employees;A-U All economic activities;Total;Middle and Eastern European EU countries;2015 3rd quarter;213.8
268;Total jobs;Total employees;A-U All economic activities;Total;Middle and Eastern European EU countries;2015 4th quarter;205.6
269;Total jobs;Total employees;A-U All economic activities;Total;Middle and Eastern European EU countries;2015;199.2
270;Total jobs;Total employees;A-U All economic activities;Total;Middle and Eastern European EU countries;2016 1st quarter;194.2
271;Total jobs;Total employees;A-U All economic activities;Total;Middle and Eastern European EU countries;2016 2nd quarter;219.2
272;Total jobs;Total employees;A-U All economic activities;Total;Middle and Eastern European EU countries;2016 3rd quarter;234.6
273;Total jobs;Total employees;A-U All economic activities;Total;Middle and Eastern European EU countries;2016 4th quarter;227.9
274;Total jobs;Total employees;A-U All economic activities;Total;Middle and Eastern European EU countries;2016;219.0
275;Total jobs;Total employees;A-U All economic activities;Total;Middle and Eastern European EU countries;2017 1st quarter;219.3
276;Total jobs;Total employees;A-U All economic activities;Total;Middle and Eastern European EU countries;2017 2nd quarter;248.0
277;Total jobs;Total employees;A-U All economic activities;Total;Middle and Eastern European EU countries;2017 3rd quarter;267.5
278;Total jobs;Total employees;A-U All economic activities;Total;Middle and Eastern European EU countries;2017 4th quarter;264.7
279;Total jobs;Total employees;A-U All economic activities;Total;Middle and Eastern European EU countries;2017;250.0
280;Total jobs;Total employees;A-U All economic activities;Total;European Union (excluding Dutch backg...;2010 1st quarter;255.3
281;Total jobs;Total employees;A-U All economic activities;Total;European Union (excluding Dutch backg...;2010 2nd quarter;279.8
282;Total jobs;Total employees;A-U All economic activities;Total;European Union (excluding Dutch backg...;2010 3rd quarter;293.5
283;Total jobs;Total employees;A-U All economic activities;Total;European Union (excluding Dutch backg...;2010 4th quarter;289.3
284;Total jobs;Total employees;A-U All economic activities;Total;European Union (excluding Dutch backg...;2010;279.6
285;Total jobs;Total employees;A-U All economic activities;Total;European Union (excluding Dutch backg...;2011 1st quarter;283.3
286;Total jobs;Total employees;A-U All economic activities;Total;European Union (excluding Dutch backg...;2011 2nd quarter;308.0
287;Total jobs;Total employees;A-U All economic activities;Total;European Union (excluding Dutch backg...;2011 3rd quarter;317.3
288;Total jobs;Total employees;A-U All economic activities;Total;European Union (excluding Dutch backg...;2011 4th quarter;305.3
289;Total jobs;Total employees;A-U All economic activities;Total;European Union (excluding Dutch backg...;2011;303.6
290;Total jobs;Total employees;A-U All economic activities;Total;European Union (excluding Dutch backg...;2012 1st quarter;297.3
291;Total jobs;Total employees;A-U All economic activities;Total;European Union (excluding Dutch backg...;2012 2nd quarter;319.3
292;Total jobs;Total employees;A-U All economic activities;Total;European Union (excluding Dutch backg...;2012 3rd quarter;325.9
293;Total jobs;Total employees;A-U All economic activities;Total;European Union (excluding Dutch backg...;2012 4th quarter;313.5
294;Total jobs;Total employees;A-U All economic activities;Total;European Union (excluding Dutch backg...;2012;314.0
295;Total jobs;Total employees;A-U All economic activities;Total;European Union (excluding Dutch backg...;2013 1st quarter;300.0
296;Total jobs;Total employees;A-U All economic activities;Total;European Union (excluding Dutch backg...;2013 2nd quarter;318.7
297;Total jobs;Total employees;A-U All economic activities;Total;European Union (excluding Dutch backg...;2013 3rd quarter;326.1
298;Total jobs;Total employees;A-U All economic activities;Total;European Union (excluding Dutch backg...;2013 4th quarter;317.2
299;Total jobs;Total employees;A-U All economic activities;Total;European Union (excluding Dutch backg...;2013;315.6
300;Total jobs;Total employees;A-U All economic activities;Total;European Union (excluding Dutch backg...;2014 1st quarter;305.3
301;Total jobs;Total employees;A-U All economic activities;Total;European Union (excluding Dutch backg...;2014 2nd quarter;330.7
302;Total jobs;Total employees;A-U All economic activities;Total;European Union (excluding Dutch backg...;2014 3rd quarter;341.6
303;Total jobs;Total employees;A-U All economic activities;Total;European Union (excluding Dutch backg...;2014 4th quarter;332.1
304;Total jobs;Total employees;A-U All economic activities;Total;European Union (excluding Dutch backg...;2014;327.5
305;Total jobs;Total employees;A-U All economic activities;Total;European Union (excluding Dutch backg...;2015 1st quarter;325.2
