ID;Geslacht;Persoonskenmerken;Perioden;PersonenInBezitVanAuto_1;PersonenInBezitVanAuto_2;PersonenInBezitVanMotor_3;PersonenInBezitVanMotor_4
20;Totaal mannen en vrouwen;Leeftijd: 35 tot 45 jaar;2012;1365000;58.2;129500;5.5
21;Totaal mannen en vrouwen;Leeftijd: 35 tot 45 jaar;2013;1329900;58.2;121200;5.3
22;Totaal mannen en vrouwen;Leeftijd: 35 tot 45 jaar;2014;1286700;57.8;113300;5.1
23;Totaal mannen en vrouwen;Leeftijd: 35 tot 45 jaar;2015;1242800;57.5;105400;4.9
24;Totaal mannen en vrouwen;Leeftijd: 45 tot 55 jaar;2010;1434400;58.6;160000;6.5
25;Totaal mannen en vrouwen;Leeftijd: 45 tot 55 jaar;2011;1461800;59.1;165600;6.7
26;Totaal mannen en vrouwen;Leeftijd: 45 tot 55 jaar;2012;1488100;59.6;168700;6.8
27;Totaal mannen en vrouwen;Leeftijd: 45 tot 55 jaar;2013;1505800;60.0;168800;6.7
28;Totaal mannen en vrouwen;Leeftijd: 45 tot 55 jaar;2014;1513300;60.2;166200;6.6
29;Totaal mannen en vrouwen;Leeftijd: 45 tot 55 jaar;2015;1526200;60.3;163400;6.5
30;Totaal mannen en vrouwen;Leeftijd: 55 tot 65 jaar;2010;1175700;55.0;77200;3.6
31;Totaal mannen en vrouwen;Leeftijd: 55 tot 65 jaar;2011;1203900;55.3;84300;3.9
32;Totaal mannen en vrouwen;Leeftijd: 55 tot 65 jaar;2012;1204300;55.8;90000;4.2
33;Totaal mannen en vrouwen;Leeftijd: 55 tot 65 jaar;2013;1206600;56.1;95900;4.5
34;Totaal mannen en vrouwen;Leeftijd: 55 tot 65 jaar;2014;1214400;56.4;101800;4.7
35;Totaal mannen en vrouwen;Leeftijd: 55 tot 65 jaar;2015;1232100;56.6;107900;5.0
36;Totaal mannen en vrouwen;Leeftijd: 65 tot 75 jaar;2010;704400;51.0;18400;1.3
37;Totaal mannen en vrouwen;Leeftijd: 65 tot 75 jaar;2011;732100;51.8;20600;1.5
38;Totaal mannen en vrouwen;Leeftijd: 65 tot 75 jaar;2012;794700;52.7;24100;1.6
39;Totaal mannen en vrouwen;Leeftijd: 65 tot 75 jaar;2013;849600;53.3;27500;1.7
40;Totaal mannen en vrouwen;Leeftijd: 65 tot 75 jaar;2014;891000;53.8;30700;1.9
41;Totaal mannen en vrouwen;Leeftijd: 65 tot 75 jaar;2015;926200;54.1;33400;1.9
42;Totaal mannen en vrouwen;Leeftijd: 75 jaar of ouder;2010;376000;36.4;2500;0.2
43;Totaal mannen en vrouwen;Leeftijd: 75 jaar of ouder;2011;395400;37.5;2900;0.3
44;Totaal mannen en vrouwen;Leeftijd: 75 jaar of ouder;2012;415400;38.4;3400;0.3
45;Totaal mannen en vrouwen;Leeftijd: 75 jaar of ouder;2013;435000;39.3;3900;0.3
46;Totaal mannen en vrouwen;Leeftijd: 75 jaar of ouder;2014;458100;40.7;4300;0.4
47;Totaal mannen en vrouwen;Leeftijd: 75 jaar of ouder;2015;483000;41.5;4800;0.4
48;Totaal mannen en vrouwen;Leeftijd: 18 tot 20 jaar;2010;28800;7.0;1100;0.3
49;Totaal mannen en vrouwen;Leeftijd: 18 tot 20 jaar;2011;28100;6.9;1100;0.3
50;Totaal mannen en vrouwen;Leeftijd: 18 tot 20 jaar;2012;25900;6.4;1100;0.3
51;Totaal mannen en vrouwen;Leeftijd: 18 tot 20 jaar;2013;23700;5.9;1300;0.3
52;Totaal mannen en vrouwen;Leeftijd: 18 tot 20 jaar;2014;21800;5.5;1000;0.3
53;Totaal mannen en vrouwen;Leeftijd: 18 tot 20 jaar;2015;22100;5.6;500;0.1
54;Totaal mannen en vrouwen;Leeftijd: 20 tot 25 jaar;2010;266700;26.6;18600;1.9
55;Totaal mannen en vrouwen;Leeftijd: 20 tot 25 jaar;2011;271500;26.5;19300;1.9
56;Totaal mannen en vrouwen;Leeftijd: 20 tot 25 jaar;2012;265800;25.6;20200;1.9
57;Totaal mannen en vrouwen;Leeftijd: 20 tot 25 jaar;2013;255300;24.4;21300;2.0
58;Totaal mannen en vrouwen;Leeftijd: 20 tot 25 jaar;2014;241000;22.9;21100;2.0
59;Totaal mannen en vrouwen;Leeftijd: 20 tot 25 jaar;2015;239100;22.6;19100;1.8
60;Totaal mannen en vrouwen;Leeftijd: 25 tot 30 jaar;2010;470200;47.4;35100;3.5
61;Totaal mannen en vrouwen;Leeftijd: 25 tot 30 jaar;2011;466000;46.9;35600;3.6
62;Totaal mannen en vrouwen;Leeftijd: 25 tot 30 jaar;2012;465400;46.4;36300;3.6
63;Totaal mannen en vrouwen;Leeftijd: 25 tot 30 jaar;2013;466300;45.9;37400;3.7
64;Totaal mannen en vrouwen;Leeftijd: 25 tot 30 jaar;2014;463800;45.2;38900;3.8
65;Totaal mannen en vrouwen;Leeftijd: 25 tot 30 jaar;2015;467100;44.9;40100;3.9
66;Totaal mannen en vrouwen;Leeftijd: 30 tot 35 jaar;2010;538200;54.2;45800;4.6
67;Totaal mannen en vrouwen;Leeftijd: 30 tot 35 jaar;2011;537500;53.9;44400;4.5
68;Totaal mannen en vrouwen;Leeftijd: 30 tot 35 jaar;2012;539100;53.8;43500;4.3
69;Totaal mannen en vrouwen;Leeftijd: 30 tot 35 jaar;2013;536600;53.5;42400;4.2
70;Totaal mannen en vrouwen;Leeftijd: 30 tot 35 jaar;2014;527600;52.9;41500;4.2
71;Totaal mannen en vrouwen;Leeftijd: 30 tot 35 jaar;2015;528300;52.7;41300;4.1
72;Totaal mannen en vrouwen;Leeftijd: 35 tot 40 jaar;2010;671600;57.2;64100;5.5
73;Totaal mannen en vrouwen;Leeftijd: 35 tot 40 jaar;2011;634500;57.0;59000;5.3
74;Totaal mannen en vrouwen;Leeftijd: 35 tot 40 jaar;2012;607100;57.0;54300;5.1
75;Totaal mannen en vrouwen;Leeftijd: 35 tot 40 jaar;2013;581600;56.8;49900;4.9
76;Totaal mannen en vrouwen;Leeftijd: 35 tot 40 jaar;2014;565300;56.4;46800;4.7
77;Totaal mannen en vrouwen;Leeftijd: 35 tot 40 jaar;2015;557600;56.2;44600;4.5
78;Totaal mannen en vrouwen;Leeftijd: 40 tot 45 jaar;2010;756600;58.7;81300;6.3
79;Totaal mannen en vrouwen;Leeftijd: 40 tot 45 jaar;2011;758300;58.9;78300;6.1
80;Totaal mannen en vrouwen;Leeftijd: 40 tot 45 jaar;2012;758000;59.2;75200;5.9
81;Totaal mannen en vrouwen;Leeftijd: 40 tot 45 jaar;2013;748200;59.3;71300;5.7
82;Totaal mannen en vrouwen;Leeftijd: 40 tot 45 jaar;2014;721400;59.0;66500;5.4
83;Totaal mannen en vrouwen;Leeftijd: 40 tot 45 jaar;2015;685200;58.7;60900;5.2
84;Totaal mannen en vrouwen;Leeftijd: 45 tot 50 jaar;2010;755800;59.1;89000;7.0
85;Totaal mannen en vrouwen;Leeftijd: 45 tot 50 jaar;2011;767000;59.5;89800;7.0
86;Totaal mannen en vrouwen;Leeftijd: 45 tot 50 jaar;2012;773200;60.0;88600;6.9
87;Totaal mannen en vrouwen;Leeftijd: 45 tot 50 jaar;2013;774800;60.4;85800;6.7
88;Totaal mannen en vrouwen;Leeftijd: 45 tot 50 jaar;2014;769600;60.4;81500;6.4
89;Totaal mannen en vrouwen;Leeftijd: 45 tot 50 jaar;2015;770500;60.4;78000;6.1
90;Totaal mannen en vrouwen;Leeftijd: 50 tot 55 jaar;2010;678600;58.0;71100;6.1
91;Totaal mannen en vrouwen;Leeftijd: 50 tot 55 jaar;2011;694800;58.5;75800;6.4
92;Totaal mannen en vrouwen;Leeftijd: 50 tot 55 jaar;2012;714900;59.2;80200;6.6
93;Totaal mannen en vrouwen;Leeftijd: 50 tot 55 jaar;2013;731000;59.6;83000;6.8
94;Totaal mannen en vrouwen;Leeftijd: 50 tot 55 jaar;2014;743700;59.9;84700;6.8
95;Totaal mannen en vrouwen;Leeftijd: 50 tot 55 jaar;2015;755700;60.1;85400;6.8
96;Totaal mannen en vrouwen;Leeftijd: 55 tot 60 jaar;2010;599900;55.8;47700;4.4
97;Totaal mannen en vrouwen;Leeftijd: 55 tot 60 jaar;2011;608900;56.3;51600;4.8
98;Totaal mannen en vrouwen;Leeftijd: 55 tot 60 jaar;2012;623200;56.9;55500;5.1
99;Totaal mannen en vrouwen;Leeftijd: 55 tot 60 jaar;2013;633900;57.3;59200;5.3
100;Totaal mannen en vrouwen;Leeftijd: 55 tot 60 jaar;2014;645600;57.6;62900;5.6
101;Totaal mannen en vrouwen;Leeftijd: 55 tot 60 jaar;2015;660600;57.9;66200;5.8
102;Totaal mannen en vrouwen;Leeftijd: 60 tot 65 jaar;2010;575700;54.2;29600;2.8
103;Totaal mannen en vrouwen;Leeftijd: 60 tot 65 jaar;2011;594900;54.3;32700;3.0
104;Totaal mannen en vrouwen;Leeftijd: 60 tot 65 jaar;2012;581100;54.7;34500;3.2
105;Totaal mannen en vrouwen;Leeftijd: 60 tot 65 jaar;2013;572700;54.9;36700;3.5
106;Totaal mannen en vrouwen;Leeftijd: 60 tot 65 jaar;2014;568800;55.0;38900;3.8
107;Totaal mannen en vrouwen;Leeftijd: 60 tot 65 jaar;2015;571500;55.2;41700;4.0
108;Totaal mannen en vrouwen;Leeftijd: 65 tot 70 jaar;2010;404500;52.6;13000;1.7
109;Totaal mannen en vrouwen;Leeftijd: 65 tot 70 jaar;2011;418400;53.4;14500;1.9
110;Totaal mannen en vrouwen;Leeftijd: 65 tot 70 jaar;2012;468900;54.1;17300;2.0
111;Totaal mannen en vrouwen;Leeftijd: 65 tot 70 jaar;2013;509000;54.5;19800;2.1
112;Totaal mannen en vrouwen;Leeftijd: 65 tot 70 jaar;2014;533400;54.6;22000;2.3
113;Totaal mannen en vrouwen;Leeftijd: 65 tot 70 jaar;2015;548900;54.6;23700;2.4
114;Totaal mannen en vrouwen;Leeftijd: 70 tot 75 jaar;2010;299900;49.1;5400;0.9
115;Totaal mannen en vrouwen;Leeftijd: 70 tot 75 jaar;2011;313700;49.9;6100;1.0
116;Totaal mannen en vrouwen;Leeftijd: 70 tot 75 jaar;2012;325800;50.8;6800;1.1
117;Totaal mannen en vrouwen;Leeftijd: 70 tot 75 jaar;2013;340600;51.7;7700;1.2
118;Totaal mannen en vrouwen;Leeftijd: 70 tot 75 jaar;2014;357600;52.6;8600;1.3
119;Totaal mannen en vrouwen;Leeftijd: 70 tot 75 jaar;2015;377300;53.4;9700;1.4
120;Totaal mannen en vrouwen;Leeftijd: 75 tot 80 jaar;2010;212000;44.1;1900;0.4
121;Totaal mannen en vrouwen;Leeftijd: 75 tot 80 jaar;2011;219300;45.3;2200;0.5
122;Totaal mannen en vrouwen;Leeftijd: 75 tot 80 jaar;2012;227800;46.3;2500;0.5
123;Totaal mannen en vrouwen;Leeftijd: 75 tot 80 jaar;2013;235000;47.2;2900;0.6
124;Totaal mannen en vrouwen;Leeftijd: 75 tot 80 jaar;2014;247100;48.3;3200;0.6
125;Totaal mannen en vrouwen;Leeftijd: 75 tot 80 jaar;2015;259000;49.0;3500;0.7
126;Totaal mannen en vrouwen;Leeftijd: 80 tot 85 jaar;2010;115800;35.7;500;0.1
127;Totaal mannen en vrouwen;Leeftijd: 80 tot 85 jaar;2011;123400;37.0;600;0.2
128;Totaal mannen en vrouwen;Leeftijd: 80 tot 85 jaar;2012;130300;38.1;700;0.2
129;Totaal mannen en vrouwen;Leeftijd: 80 tot 85 jaar;2013;138100;39.2;800;0.2
130;Totaal mannen en vrouwen;Leeftijd: 80 tot 85 jaar;2014;144600;40.8;1000;0.3
131;Totaal mannen en vrouwen;Leeftijd: 80 tot 85 jaar;2015;152100;41.7;1100;0.3
132;Totaal mannen en vrouwen;Leeftijd: 85 jaar of ouder;2010;48200;21.0;100;0.0
133;Totaal mannen en vrouwen;Leeftijd: 85 jaar of ouder;2011;52800;22.2;100;0.0
134;Totaal mannen en vrouwen;Leeftijd: 85 jaar of ouder;2012;57300;23.0;100;0.1
135;Totaal mannen en vrouwen;Leeftijd: 85 jaar of ouder;2013;61900;24.0;200;0.1
136;Totaal mannen en vrouwen;Leeftijd: 85 jaar of ouder;2014;66400;25.8;200;0.1
137;Totaal mannen en vrouwen;Leeftijd: 85 jaar of ouder;2015;72000;26.4;200;0.1
138;Totaal mannen en vrouwen;Herkomst: autochtoon;2010;5455100;52.8;455200;4.4
139;Totaal mannen en vrouwen;Herkomst: autochtoon;2011;5503400;53.1;460600;4.4
140;Totaal mannen en vrouwen;Herkomst: autochtoon;2012;5552600;53.4;464700;4.5
141;Totaal mannen en vrouwen;Herkomst: autochtoon;2013;5582500;53.6;466200;4.5
142;Totaal mannen en vrouwen;Herkomst: autochtoon;2014;5584400;53.6;464500;4.5
143;Totaal mannen en vrouwen;Herkomst: autochtoon;2015;5610700;53.7;460500;4.4
144;Totaal mannen en vrouwen;Herkomst: westerse allochtoon;2010;545200;43.6;39200;3.1
145;Totaal mannen en vrouwen;Herkomst: westerse allochtoon;2011;549100;43.2;39800;3.1
146;Totaal mannen en vrouwen;Herkomst: westerse allochtoon;2012;558400;43.1;40300;3.1
147;Totaal mannen en vrouwen;Herkomst: westerse allochtoon;2013;565000;43.1;40700;3.1
148;Totaal mannen en vrouwen;Herkomst: westerse allochtoon;2014;568100;42.9;40800;3.1
149;Totaal mannen en vrouwen;Herkomst: westerse allochtoon;2015;576700;42.7;40900;3.0
150;Totaal mannen en vrouwen;Herkomst: niet-westerse allochtoon;2010;422400;33.3;9800;0.8
151;Totaal mannen en vrouwen;Herkomst: niet-westerse allochtoon;2011;436500;33.3;10700;0.8
152;Totaal mannen en vrouwen;Herkomst: niet-westerse allochtoon;2012;452700;33.6;11700;0.9
153;Totaal mannen en vrouwen;Herkomst: niet-westerse allochtoon;2013;461400;33.5;12700;0.9
154;Totaal mannen en vrouwen;Herkomst: niet-westerse allochtoon;2014;465000;33.1;13500;1.0
155;Totaal mannen en vrouwen;Herkomst: niet-westerse allochtoon;2015;479400;33.3;14400;1.0
156;Totaal mannen en vrouwen;Werknemer;2010;3986700;60.4;367800;5.6
157;Totaal mannen en vrouwen;Werknemer;2011;3958000;60.7;366600;5.6
158;Totaal mannen en vrouwen;Werknemer;2012;3985300;61.1;367700;5.6
159;Totaal mannen en vrouwen;Werknemer;2013;3968700;61.3;364400;5.6
160;Totaal mannen en vrouwen;Werknemer;2014;3903300;61.4;357800;5.6
161;Totaal mannen en vrouwen;Werknemer;2015;3897700;61.5;353100;5.6
162;Totaal mannen en vrouwen;Zelfstandige;2010;566600;60.4;72000;7.7
163;Totaal mannen en vrouwen;Zelfstandige;2011;581500;60.0;73800;7.6
164;Totaal mannen en vrouwen;Zelfstandige;2012;599200;60.2;75400;7.6
165;Totaal mannen en vrouwen;Zelfstandige;2013;619200;60.3;77000;7.5
166;Totaal mannen en vrouwen;Zelfstandige;2014;633000;60.0;77900;7.4
167;Totaal mannen en vrouwen;Zelfstandige;2015;618400;60.1;75700;7.4
168;Totaal mannen en vrouwen;Uitkeringsontvanger;2010;358500;34.7;19500;1.9
169;Totaal mannen en vrouwen;Uitkeringsontvanger;2011;385500;35.4;22300;2.0
170;Totaal mannen en vrouwen;Uitkeringsontvanger;2012;385000;34.7;22400;2.0
171;Totaal mannen en vrouwen;Uitkeringsontvanger;2013;397500;34.7;23800;2.1
172;Totaal mannen en vrouwen;Uitkeringsontvanger;2014;430900;35.3;26600;2.2
173;Totaal mannen en vrouwen;Uitkeringsontvanger;2015;452000;35.3;27800;2.2
174;Totaal mannen en vrouwen;Pensioenontvanger;2010;1243100;46.7;29600;1.1
175;Totaal mannen en vrouwen;Pensioenontvanger;2011;1296100;47.2;32900;1.2
176;Totaal mannen en vrouwen;Pensioenontvanger;2012;1334600;47.7;35300;1.3
177;Totaal mannen en vrouwen;Pensioenontvanger;2013;1371400;48.1;37400;1.3
178;Totaal mannen en vrouwen;Pensioenontvanger;2014;1400100;48.8;39000;1.4
179;Totaal mannen en vrouwen;Pensioenontvanger;2015;1433200;49.1;41100;1.4
180;Totaal mannen en vrouwen;Student;2010;99700;11.9;8500;1.0
181;Totaal mannen en vrouwen;Student;2011;109600;12.5;9000;1.0
182;Totaal mannen en vrouwen;Student;2012;107300;11.9;9700;1.1
183;Totaal mannen en vrouwen;Student;2013;102500;11.2;10500;1.1
184;Totaal mannen en vrouwen;Student;2014;97800;10.5;10600;1.1
185;Totaal mannen en vrouwen;Student;2015;104800;10.9;9900;1.0
186;Totaal mannen en vrouwen;Overig niet-actief/zonder inkomen;2010;168200;21.4;6800;0.9
187;Totaal mannen en vrouwen;Overig niet-actief/zonder inkomen;2011;158200;21.1;6500;0.9
188;Totaal mannen en vrouwen;Overig niet-actief/zonder inkomen;2012;152200;21.3;6200;0.9
189;Totaal mannen en vrouwen;Overig niet-actief/zonder inkomen;2013;149700;21.2;6400;0.9
190;Totaal mannen en vrouwen;Overig niet-actief/zonder inkomen;2014;152500;21.6;6900;1.0
191;Totaal mannen en vrouwen;Overig niet-actief/zonder inkomen;2015;160800;22.5;8300;1.2
192;Mannen;Totaal;2010;4126900;65.2;441800;7.0
193;Mannen;Totaal;2011;4144100;65.1;447900;7.0
194;Mannen;Totaal;2012;4171800;65.0;452800;7.1
195;Mannen;Totaal;2013;4182800;64.8;455100;7.1
196;Mannen;Totaal;2014;4172600;64.5;454700;7.0
197;Mannen;Totaal;2015;4186800;64.2;452700;6.9
198;Mannen;Leeftijd: 18 tot 25 jaar;2010;177700;24.9;16800;2.4
199;Mannen;Leeftijd: 18 tot 25 jaar;2011;179300;24.7;17500;2.4
200;Mannen;Leeftijd: 18 tot 25 jaar;2012;172900;23.7;18300;2.5
201;Mannen;Leeftijd: 18 tot 25 jaar;2013;164500;22.4;19400;2.6
202;Mannen;Leeftijd: 18 tot 25 jaar;2014;155000;21.1;19000;2.6
203;Mannen;Leeftijd: 18 tot 25 jaar;2015;154400;21.0;16800;2.3
204;Mannen;Leeftijd: 25 tot 35 jaar;2010;593400;59.7;66700;6.7
205;Mannen;Leeftijd: 25 tot 35 jaar;2011;587700;58.9;66000;6.6
206;Mannen;Leeftijd: 25 tot 35 jaar;2012;585300;58.3;66000;6.6
207;Mannen;Leeftijd: 25 tot 35 jaar;2013;582300;57.6;66100;6.5
208;Mannen;Leeftijd: 25 tot 35 jaar;2014;573800;56.6;66900;6.6
209;Mannen;Leeftijd: 25 tot 35 jaar;2015;574500;56.1;68000;6.6
210;Mannen;Leeftijd: 35 tot 45 jaar;2010;872000;70.5;123600;10.0
211;Mannen;Leeftijd: 35 tot 45 jaar;2011;844000;70.2;116600;9.7
212;Mannen;Leeftijd: 35 tot 45 jaar;2012;823300;70.2;109700;9.4
213;Mannen;Leeftijd: 35 tot 45 jaar;2013;799000;70.1;102400;9.0
214;Mannen;Leeftijd: 35 tot 45 jaar;2014;770100;69.5;95700;8.6
215;Mannen;Leeftijd: 35 tot 45 jaar;2015;740800;69.0;89100;8.3
216;Mannen;Leeftijd: 45 tot 55 jaar;2010;898500;73.0;141900;11.5
217;Mannen;Leeftijd: 45 tot 55 jaar;2011;908000;73.0;146200;11.7
218;Mannen;Leeftijd: 45 tot 55 jaar;2012;918500;73.3;148400;11.8
219;Mannen;Leeftijd: 45 tot 55 jaar;2013;923700;73.3;147900;11.7
220;Mannen;Leeftijd: 45 tot 55 jaar;2014;922700;73.1;145200;11.5
221;Mannen;Leeftijd: 45 tot 55 jaar;2015;925000;72.8;142600;11.2
222;Mannen;Leeftijd: 55 tot 65 jaar;2010;806900;75.2;72700;6.8
223;Mannen;Leeftijd: 55 tot 65 jaar;2011;817800;75.0;79100;7.3
224;Mannen;Leeftijd: 55 tot 65 jaar;2012;810000;75.0;84000;7.8
225;Mannen;Leeftijd: 55 tot 65 jaar;2013;803800;74.7;89200;8.3
226;Mannen;Leeftijd: 55 tot 65 jaar;2014;800800;74.4;94400;8.8
227;Mannen;Leeftijd: 55 tot 65 jaar;2015;804300;74.1;99700;9.2
228;Mannen;Leeftijd: 65 tot 75 jaar;2010;511600;76.6;17800;2.7
229;Mannen;Leeftijd: 65 tot 75 jaar;2011;528200;77.0;19800;2.9
230;Mannen;Leeftijd: 65 tot 75 jaar;2012;569700;77.4;23200;3.1
231;Mannen;Leeftijd: 65 tot 75 jaar;2013;604700;77.6;26400;3.4
232;Mannen;Leeftijd: 65 tot 75 jaar;2014;630700;77.7;29400;3.6
233;Mannen;Leeftijd: 65 tot 75 jaar;2015;652300;77.7;32000;3.8
234;Mannen;Leeftijd: 75 jaar of ouder;2010;266800;65.2;2400;0.6
235;Mannen;Leeftijd: 75 jaar of ouder;2011;279100;66.1;2800;0.7
236;Mannen;Leeftijd: 75 jaar of ouder;2012;292300;66.8;3200;0.7
237;Mannen;Leeftijd: 75 jaar of ouder;2013;304700;67.5;3700;0.8
238;Mannen;Leeftijd: 75 jaar of ouder;2014;319500;68.6;4200;0.9
239;Mannen;Leeftijd: 75 jaar of ouder;2015;335400;68.9;4600;0.9
240;Mannen;Leeftijd: 18 tot 20 jaar;2010;19800;9.5;1000;0.5
241;Mannen;Leeftijd: 18 tot 20 jaar;2011;19100;9.2;1000;0.5
242;Mannen;Leeftijd: 18 tot 20 jaar;2012;17500;8.5;1000;0.5
243;Mannen;Leeftijd: 18 tot 20 jaar;2013;16000;7.8;1100;0.6
244;Mannen;Leeftijd: 18 tot 20 jaar;2014;14700;7.2;900;0.4
245;Mannen;Leeftijd: 18 tot 20 jaar;2015;15000;7.4;500;0.2
246;Mannen;Leeftijd: 20 tot 25 jaar;2010;157900;31.2;15800;3.1
247;Mannen;Leeftijd: 20 tot 25 jaar;2011;160200;31.0;16500;3.2
248;Mannen;Leeftijd: 20 tot 25 jaar;2012;155400;29.6;17300;3.3
249;Mannen;Leeftijd: 20 tot 25 jaar;2013;148600;28.1;18300;3.5
250;Mannen;Leeftijd: 20 tot 25 jaar;2014;140200;26.5;18100;3.4
251;Mannen;Leeftijd: 20 tot 25 jaar;2015;139500;26.1;16300;3.1
252;Mannen;Leeftijd: 25 tot 30 jaar;2010;273400;54.9;28800;5.8
253;Mannen;Leeftijd: 25 tot 30 jaar;2011;270000;54.1;29300;5.9
254;Mannen;Leeftijd: 25 tot 30 jaar;2012;267800;53.1;30000;6.0
255;Mannen;Leeftijd: 25 tot 30 jaar;2013;267000;52.3;31000;6.1
256;Mannen;Leeftijd: 25 tot 30 jaar;2014;263600;51.1;32300;6.3
257;Mannen;Leeftijd: 25 tot 30 jaar;2015;263800;50.5;33500;6.4
258;Mannen;Leeftijd: 30 tot 35 jaar;2010;320100;64.5;37900;7.6
259;Mannen;Leeftijd: 30 tot 35 jaar;2011;317800;63.8;36700;7.4
260;Mannen;Leeftijd: 30 tot 35 jaar;2012;317400;63.5;36000;7.2
261;Mannen;Leeftijd: 30 tot 35 jaar;2013;315300;63.0;35100;7.0
262;Mannen;Leeftijd: 30 tot 35 jaar;2014;310200;62.2;34600;6.9
263;Mannen;Leeftijd: 30 tot 35 jaar;2015;310700;61.9;34500;6.9
264;Mannen;Leeftijd: 35 tot 40 jaar;2010;406600;69.3;54000;9.2
265;Mannen;Leeftijd: 35 tot 40 jaar;2011;381900;68.8;49700;9.0
266;Mannen;Leeftijd: 35 tot 40 jaar;2012;364300;68.7;45600;8.6
267;Mannen;Leeftijd: 35 tot 40 jaar;2013;348700;68.5;41800;8.2
268;Mannen;Leeftijd: 35 tot 40 jaar;2014;337800;67.7;39300;7.9
269;Mannen;Leeftijd: 35 tot 40 jaar;2015;332200;67.2;37500;7.6
270;Mannen;Leeftijd: 40 tot 45 jaar;2010;465400;71.5;69600;10.7
271;Mannen;Leeftijd: 40 tot 45 jaar;2011;462100;71.4;66800;10.3
272;Mannen;Leeftijd: 40 tot 45 jaar;2012;458900;71.4;64100;10.0
273;Mannen;Leeftijd: 40 tot 45 jaar;2013;450300;71.3;60600;9.6
274;Mannen;Leeftijd: 40 tot 45 jaar;2014;432300;70.9;56400;9.3
275;Mannen;Leeftijd: 40 tot 45 jaar;2015;408700;70.4;51700;8.9
276;Mannen;Leeftijd: 45 tot 50 jaar;2010;468400;72.7;77800;12.1
277;Mannen;Leeftijd: 45 tot 50 jaar;2011;471800;72.7;78200;12.0
278;Mannen;Leeftijd: 45 tot 50 jaar;2012;473400;73.0;76800;11.8
279;Mannen;Leeftijd: 45 tot 50 jaar;2013;471700;73.0;74200;11.5
280;Mannen;Leeftijd: 45 tot 50 jaar;2014;465700;72.7;70300;11.0
281;Mannen;Leeftijd: 45 tot 50 jaar;2015;463300;72.4;67200;10.5
282;Mannen;Leeftijd: 50 tot 55 jaar;2010;430100;73.4;64100;10.9
283;Mannen;Leeftijd: 50 tot 55 jaar;2011;436200;73.3;68000;11.4
284;Mannen;Leeftijd: 50 tot 55 jaar;2012;445100;73.6;71600;11.8
285;Mannen;Leeftijd: 50 tot 55 jaar;2013;452000;73.6;73700;12.0
286;Mannen;Leeftijd: 50 tot 55 jaar;2014;457000;73.5;74900;12.0
287;Mannen;Leeftijd: 50 tot 55 jaar;2015;461700;73.2;75400;12.0
288;Mannen;Leeftijd: 55 tot 60 jaar;2010;401100;74.3;44400;8.2
289;Mannen;Leeftijd: 55 tot 60 jaar;2011;402100;74.2;47900;8.8
290;Mannen;Leeftijd: 55 tot 60 jaar;2012;407200;74.2;51200;9.3
291;Mannen;Leeftijd: 55 tot 60 jaar;2013;410000;74.1;54400;9.8
292;Mannen;Leeftijd: 55 tot 60 jaar;2014;413400;73.9;57600;10.3
293;Mannen;Leeftijd: 55 tot 60 jaar;2015;418700;73.6;60400;10.6
