ID;BedrijfstakkenBranchesSBI2008;Perioden;ArbeidskostenPerGewerktUur_1;ArbeidskostenPerVoltijdeenheid_2;TotaalOpbouwArbeidskosten_3;Lonen_4;DirectLoonEnBijzondereBeloningen_5;SocialePremies_6;OverigeKosten_7
39;D Energievoorziening;2012;49.47;84.8;100;74.3;66.2;22.1;3.6
40;E Waterbedrijven en afvalbeheer;2008;29.4;55.9;100;74.4;64.5;22.3;3.2
41;E Waterbedrijven en afvalbeheer;2009;29.89;57.1;100;75.0;65.2;21.9;3.0
42;E Waterbedrijven en afvalbeheer;2010;31.34;58.9;100;75.2;65.4;22.0;2.8
43;E Waterbedrijven en afvalbeheer;2011;31.61;60.1;100;75.3;65.5;22.1;2.6
44;E Waterbedrijven en afvalbeheer;2012;33.45;61.5;100;74.9;65.4;22.7;2.4
45;F Bouwnijverheid;2008;29.76;52.9;100;77.2;65.5;20.5;2.3
46;F Bouwnijverheid;2009;30.81;55.6;100;77.7;65.9;20.1;2.2
47;F Bouwnijverheid;2010;31.45;55.8;100;77.2;65.4;20.7;2.1
48;F Bouwnijverheid;2011;31.71;57.1;100;77.0;65.2;21.1;2.0
49;F Bouwnijverheid;2012;32.84;58.6;100;76.5;64.9;21.6;1.9
50;G-N Commerciële dienstverlening;2008;28.66;50.2;100;78.5;67.7;18.3;3.2
51;G-N Commerciële dienstverlening;2009;29.31;52.0;100;78.7;67.8;18.3;3.0
52;G-N Commerciële dienstverlening;2010;29.9;52.8;100;78.5;67.5;18.8;2.8
53;G-N Commerciële dienstverlening;2011;30.6;54.7;100;78.6;67.5;18.9;2.6
54;G-N Commerciële dienstverlening;2012;31.37;55.8;100;78.2;67.2;19.5;2.4
55;G-I Handel, vervoer en horeca;2008;24.54;43.3;100;78.1;67.6;19.1;2.7
56;G-I Handel, vervoer en horeca;2009;25.02;44.9;100;78.5;67.5;18.9;2.6
57;G-I Handel, vervoer en horeca;2010;25.6;45.8;100;78.4;66.9;19.2;2.4
58;G-I Handel, vervoer en horeca;2011;26.05;47.2;100;78.4;66.4;19.3;2.3
59;G-I Handel, vervoer en horeca;2012;26.71;48.2;100;78.1;65.8;19.8;2.1
60;G Handel;2008;24.91;43.4;100;78.4;67.5;18.6;3.0
61;G Handel;2009;25.47;44.9;100;79.0;67.5;18.3;2.8
62;G Handel;2010;26.29;46.0;100;78.9;67.1;18.5;2.6
63;G Handel;2011;26.9;47.6;100;79.0;66.7;18.7;2.4
64;G Handel;2012;27.69;48.7;100;78.6;66.0;19.2;2.2
65;H Vervoer en opslag;2008;26.91;50.7;100;77.3;67.9;20.7;2.0
66;H Vervoer en opslag;2009;27.28;52.3;100;77.3;67.6;20.7;2.0
67;H Vervoer en opslag;2010;27.61;53.5;100;76.9;67.0;21.1;2.0
68;H Vervoer en opslag;2011;27.98;55.3;100;76.7;66.6;21.3;2.0
69;H Vervoer en opslag;2012;28.53;56.8;100;76.2;65.9;21.8;2.0
70;I Horeca;2008;17.4;28.8;100;78.8;68.3;18.1;3.1
71;I Horeca;2009;17.62;30.2;100;79.2;67.2;17.8;3.0
72;I Horeca;2010;17.8;30.6;100;79.6;65.9;17.7;2.8
73;I Horeca;2011;17.87;31.1;100;79.8;64.6;17.6;2.6
74;I Horeca;2012;18.04;31.2;100;80.1;63.5;17.5;2.4
75;J Informatie en communicatie;2008;37.87;65.6;100;79.3;67.5;17.6;3.1
76;J Informatie en communicatie;2009;38.55;67.5;100;79.4;67.9;17.9;2.8
77;J Informatie en communicatie;2010;39.27;69.1;100;79.4;68.3;18.2;2.4
78;J Informatie en communicatie;2011;39.89;70.9;100;79.8;69.0;18.1;2.1
79;J Informatie en communicatie;2012;40.36;71.4;100;79.7;69.4;18.6;1.7
80;K Financiële dienstverlening;2008;48.09;80.3;100;75.5;64.7;20.4;4.1
81;K Financiële dienstverlening;2009;48.43;81.3;100;74.7;64.6;21.4;3.9
82;K Financiële dienstverlening;2010;51.17;85.7;100;73.5;63.9;22.8;3.7
83;K Financiële dienstverlening;2011;53.03;89.6;100;73.6;64.3;22.9;3.5
84;K Financiële dienstverlening;2012;54.73;91.7;100;72.9;64.2;23.7;3.4
85;L Verhuur en handel van onroerend goed;2008;34.63;57.4;100;78.7;67.2;17.3;4.0
86;L Verhuur en handel van onroerend goed;2009;34.99;58.3;100;78.7;67.5;17.4;3.9
87;L Verhuur en handel van onroerend goed;2010;35.84;59.4;100;78.7;67.8;17.6;3.7
88;L Verhuur en handel van onroerend goed;2011;36.28;60.6;100;78.7;68.0;17.7;3.6
89;L Verhuur en handel van onroerend goed;2012;37.8;62.9;100;78.5;68.2;18.1;3.4
90;M-N Zakelijke dienstverlening;2008;27.72;49.0;100;79.9;69.1;16.7;3.4
91;M-N Zakelijke dienstverlening;2009;28.64;51.1;100;80.2;69.4;16.7;3.1
92;M-N Zakelijke dienstverlening;2010;28.88;51.1;100;80.2;69.4;16.9;2.9
93;M-N Zakelijke dienstverlening;2011;29.8;53.2;100;80.3;69.6;17.0;2.7
94;M-N Zakelijke dienstverlening;2012;30.55;54.2;100;79.9;69.4;17.6;2.4
95;M Specialistische zakelijke diensten;2008;37.68;65.6;100;80.8;69.5;15.7;3.5
96;M Specialistische zakelijke diensten;2009;38.19;66.8;100;81.0;70.0;15.7;3.3
97;M Specialistische zakelijke diensten;2010;39.32;68.6;100;80.9;70.2;15.9;3.1
98;M Specialistische zakelijke diensten;2011;40.79;72.1;100;81.1;70.6;16.0;2.9
99;M Specialistische zakelijke diensten;2012;41.67;73.4;100;80.6;70.7;16.7;2.7
100;N Verhuur en overige zakelijke diensten;2008;20.38;36.5;100;78.8;68.5;18.1;3.1
101;N Verhuur en overige zakelijke diensten;2009;20.78;37.6;100;79.1;68.5;18.0;2.9
102;N Verhuur en overige zakelijke diensten;2010;20.89;37.4;100;79.0;68.1;18.3;2.6
103;N Verhuur en overige zakelijke diensten;2011;21.6;38.9;100;79.3;68.2;18.4;2.3
104;N Verhuur en overige zakelijke diensten;2012;22.26;39.6;100;79.0;67.7;18.9;2.1
105;O-U Niet-commerciële dienstverlening;2008;32.96;50.8;100;73.9;64.7;22.5;3.6
106;O-U Niet-commerciële dienstverlening;2009;33.89;53.2;100;74.0;64.7;22.6;3.4
107;O-U Niet-commerciële dienstverlening;2010;34.73;54.2;100;74.2;64.9;22.5;3.2
108;O-U Niet-commerciële dienstverlening;2011;35.0;55.1;100;74.4;65.1;22.5;3.1
109;O-U Niet-commerciële dienstverlening;2012;36.3;56.9;100;73.8;64.8;23.3;2.9
110;O-Q Overheid en zorg;2008;33.73;51.7;100;73.6;64.4;22.7;3.7
111;O-Q Overheid en zorg;2009;34.64;54.1;100;73.6;64.5;22.9;3.5
112;O-Q Overheid en zorg;2010;35.47;55.0;100;73.9;64.7;22.8;3.3
113;O-Q Overheid en zorg;2011;35.69;55.8;100;74.1;64.9;22.8;3.1
114;O-Q Overheid en zorg;2012;37.0;57.6;100;73.5;64.7;23.6;2.9
115;O Openbaar bestuur en overheidsdiensten;2008;38.95;61.8;100;69.8;62.0;25.9;4.3
116;O Openbaar bestuur en overheidsdiensten;2009;39.86;64.5;100;69.3;61.7;26.8;3.9
117;O Openbaar bestuur en overheidsdiensten;2010;40.1;64.9;100;70.3;62.8;26.1;3.6
118;O Openbaar bestuur en overheidsdiensten;2011;39.39;64.1;100;72.1;64.6;24.6;3.3
119;O Openbaar bestuur en overheidsdiensten;2012;42.27;68.2;100;70.0;63.2;27.1;2.9
120;P Onderwijs;2008;36.58;56.2;100;73.6;63.6;22.0;4.4
121;P Onderwijs;2009;38.18;59.1;100;74.2;64.3;21.8;3.9
122;P Onderwijs;2010;39.15;59.8;100;74.6;64.8;22.0;3.5
123;P Onderwijs;2011;40.1;61.7;100;74.0;64.4;23.0;3.0
124;P Onderwijs;2012;40.93;62.2;100;73.9;64.6;23.5;2.6
125;Q Gezondheids- en welzijnszorg;2008;29.38;44.1;100;76.4;66.7;20.7;2.9
126;Q Gezondheids- en welzijnszorg;2009;29.95;46.0;100;76.3;66.5;20.7;3.0
127;Q Gezondheids- en welzijnszorg;2010;31.0;47.3;100;76.2;66.3;20.7;3.0
128;Q Gezondheids- en welzijnszorg;2011;31.44;48.5;100;76.1;66.1;20.8;3.1
129;Q Gezondheids- en welzijnszorg;2012;32.57;50.3;100;75.7;65.8;21.2;3.1
130;R-U Cultuur, recreatie, overige diensten;2008;26.42;42.9;100;78.2;67.8;19.5;2.4
131;R-U Cultuur, recreatie, overige diensten;2009;27.43;45.2;100;78.1;67.5;19.4;2.4
132;R-U Cultuur, recreatie, overige diensten;2010;28.22;46.6;100;77.9;67.0;19.6;2.5
133;R-U Cultuur, recreatie, overige diensten;2011;28.77;48.0;100;77.7;66.6;19.7;2.6
134;R-U Cultuur, recreatie, overige diensten;2012;29.87;49.5;100;77.1;65.9;20.3;2.6
135;R Cultuur, sport en recreatie;2008;26.97;44.5;100;78.6;68.4;18.8;2.6
136;R Cultuur, sport en recreatie;2009;27.69;46.3;100;78.4;68.0;19.0;2.6
137;R Cultuur, sport en recreatie;2010;28.0;46.9;100;78.4;67.7;19.0;2.6
138;R Cultuur, sport en recreatie;2011;28.39;48.1;100;78.4;67.4;19.0;2.6
139;R Cultuur, sport en recreatie;2012;29.34;49.5;100;78.2;67.1;19.2;2.6
140;S Overige dienstverlening;2008;26.01;41.8;100;77.8;67.4;19.9;2.2
141;S Overige dienstverlening;2009;27.23;44.4;100;78.1;67.3;19.6;2.3
142;S Overige dienstverlening;2010;28.42;46.4;100;77.5;66.5;20.0;2.4
143;S Overige dienstverlening;2011;29.1;48.0;100;77.2;65.9;20.3;2.5
144;S Overige dienstverlening;2012;30.28;49.6;100;76.2;64.9;21.2;2.6
