ID;LocalIntergovOrganisationsTasks;Periods;Revenues_1;Expenditures_2;Balance_3
114;Public parks and (open-air) recreation;2020;78;67;11
115;Public parks and (open-air) recreation;2021;131;134;-3
116;Total social welfare;2018;4439;4320;119
117;Total social welfare;2019;4179;4104;75
118;Total social welfare;2020;4589;4428;161
119;Total social welfare;2021;4291;4194;97
120;General provisions including district ..;2018;66;65;0
121;General provisions including district ..;2019;74;75;-1
122;General provisions including district ..;2020;93;87;5
123;General provisions including district ..;2021;104;103;1
124;Income arrangements;2018;1162;1165;-3
125;Income arrangements;2019;1086;1069;17
126;Income arrangements;2020;1336;1318;18
127;Income arrangements;2021;1158;1140;19
128;Participation;2018;2335;2219;116
129;Participation;2019;2126;2022;104
130;Participation;2020;2174;2026;149
131;Participation;2021;1994;1886;108
132;Individual provision of employment;2018;27;37;-11
133;Individual provision of employment;2019;39;34;5
134;Individual provision of employment;2020;53;30;23
135;Individual provision of employment;2021;21;27;-6
136;Individual services 18+;2018;220;210;10
137;Individual services 18+;2019;174;208;-34
138;Individual services 18+;2020;194;224;-30
139;Individual services 18+;2021;236;301;-66
140;Individual services 18-;2018;465;450;15
141;Individual services 18-;2019;500;489;12
142;Individual services 18-;2020;518;504;14
143;Individual services 18-;2021;617;479;138
144;Escalated care 18+;2018;52;51;1
145;Escalated care 18+;2019;40;59;-19
146;Escalated care 18+;2020;59;74;-16
147;Escalated care 18+;2021;46;71;-25
148;Escalated care 18-;2018;113;123;-10
149;Escalated care 18-;2019;141;148;-8
150;Escalated care 18-;2020;163;165;-1
151;Escalated care 18-;2021;115;186;-71
152;Total public health and environment;2018;1645;1527;118
153;Total public health and environment;2019;1741;1605;137
154;Total public health and environment;2020;2211;2067;144
155;Total public health and environment;2021;3399;3193;206
156;Public health;2018;846;766;81
157;Public health;2019;914;814;99
158;Public health;2020;1363;1272;91
159;Public health;2021;2440;2364;76
160;Sewerage;2018;9;11;-2
161;Sewerage;2019;8;8;1
162;Sewerage;2020;13;12;1
163;Sewerage;2021;14;14;1
164;Waste;2018;309;289;21
165;Waste;2019;322;303;19
166;Waste;2020;334;307;27
167;Waste;2021;375;336;39
168;Environmental protection and cemeteries;2018;480;462;18
169;Environmental protection and cemeteries;2019;498;480;18
170;Environmental protection and cemeteries;2020;501;476;25
171;Environmental protection and cemeteries;2021;569;479;90
172;Total public housing, urban planning a..;2018;130;139;-9
173;Total public housing, urban planning a..;2019;132;142;-9
174;Total public housing, urban planning a..;2020;137;140;-4
175;Total public housing, urban planning a..;2021;181;173;8
176;Land exploitation (non-business areas);2018;57;56;1
177;Land exploitation (non-business areas);2019;56;56;0
178;Land exploitation (non-business areas);2020;34;33;0
179;Land exploitation (non-business areas);2021;44;37;6
180;Urban planning, public housing and con..;2018;73;83;-9
181;Urban planning, public housing and con..;2019;76;86;-10
182;Urban planning, public housing and con..;2020;103;107;-4
183;Urban planning, public housing and con..;2021;137;136;1
