ID;EmployeeResidentNonResident;EmployeeCharacteristics;SectorBranchesSIC2008;JobCharacteristics;MigrationBackground;Periods;JobsForeignBornEmployees_1
54;Total jobs;Total employees;A-U All economic activities;Total;Total;2020;962.7
55;Total jobs;Total employees;A-U All economic activities;Total;Africa;2010 1st quarter;82.0
56;Total jobs;Total employees;A-U All economic activities;Total;Africa;2010 2nd quarter;83.7
57;Total jobs;Total employees;A-U All economic activities;Total;Africa;2010 3rd quarter;83.8
58;Total jobs;Total employees;A-U All economic activities;Total;Africa;2010 4th quarter;83.1
59;Total jobs;Total employees;A-U All economic activities;Total;Africa;2010;83.2
60;Total jobs;Total employees;A-U All economic activities;Total;Africa;2011 1st quarter;81.4
61;Total jobs;Total employees;A-U All economic activities;Total;Africa;2011 2nd quarter;82.9
62;Total jobs;Total employees;A-U All economic activities;Total;Africa;2011 3rd quarter;82.4
63;Total jobs;Total employees;A-U All economic activities;Total;Africa;2011 4th quarter;81.6
64;Total jobs;Total employees;A-U All economic activities;Total;Africa;2011;82.1
65;Total jobs;Total employees;A-U All economic activities;Total;Africa;2012 1st quarter;79.6
66;Total jobs;Total employees;A-U All economic activities;Total;Africa;2012 2nd quarter;80.6
67;Total jobs;Total employees;A-U All economic activities;Total;Africa;2012 3rd quarter;79.9
68;Total jobs;Total employees;A-U All economic activities;Total;Africa;2012 4th quarter;78.8
69;Total jobs;Total employees;A-U All economic activities;Total;Africa;2012;79.7
70;Total jobs;Total employees;A-U All economic activities;Total;Africa;2013 1st quarter;76.4
71;Total jobs;Total employees;A-U All economic activities;Total;Africa;2013 2nd quarter;76.7
72;Total jobs;Total employees;A-U All economic activities;Total;Africa;2013 3rd quarter;76.2
73;Total jobs;Total employees;A-U All economic activities;Total;Africa;2013 4th quarter;75.4
74;Total jobs;Total employees;A-U All economic activities;Total;Africa;2013;76.2
75;Total jobs;Total employees;A-U All economic activities;Total;Africa;2014 1st quarter;73.6
76;Total jobs;Total employees;A-U All economic activities;Total;Africa;2014 2nd quarter;74.8
77;Total jobs;Total employees;A-U All economic activities;Total;Africa;2014 3rd quarter;75.3
78;Total jobs;Total employees;A-U All economic activities;Total;Africa;2014 4th quarter;75.4
79;Total jobs;Total employees;A-U All economic activities;Total;Africa;2014;74.8
80;Total jobs;Total employees;A-U All economic activities;Total;Africa;2015 1st quarter;74.1
81;Total jobs;Total employees;A-U All economic activities;Total;Africa;2015 2nd quarter;75.3
82;Total jobs;Total employees;A-U All economic activities;Total;Africa;2015 3rd quarter;75.9
83;Total jobs;Total employees;A-U All economic activities;Total;Africa;2015 4th quarter;76.2
84;Total jobs;Total employees;A-U All economic activities;Total;Africa;2015;75.4
85;Total jobs;Total employees;A-U All economic activities;Total;Africa;2016 1st quarter;74.9
86;Total jobs;Total employees;A-U All economic activities;Total;Africa;2016 2nd quarter;76.7
87;Total jobs;Total employees;A-U All economic activities;Total;Africa;2016 3rd quarter;77.8
88;Total jobs;Total employees;A-U All economic activities;Total;Africa;2016 4th quarter;79.2
89;Total jobs;Total employees;A-U All economic activities;Total;Africa;2016;77.2
90;Total jobs;Total employees;A-U All economic activities;Total;Africa;2017 1st quarter;78.9
91;Total jobs;Total employees;A-U All economic activities;Total;Africa;2017 2nd quarter;81.3
92;Total jobs;Total employees;A-U All economic activities;Total;Africa;2017 3rd quarter;83.4
93;Total jobs;Total employees;A-U All economic activities;Total;Africa;2017 4th quarter;85.6
94;Total jobs;Total employees;A-U All economic activities;Total;Africa;2017;82.4
95;Total jobs;Total employees;A-U All economic activities;Total;Africa;2018 1st quarter;85.6
96;Total jobs;Total employees;A-U All economic activities;Total;Africa;2018 2nd quarter;88.7
97;Total jobs;Total employees;A-U All economic activities;Total;Africa;2018 3rd quarter;90.8
98;Total jobs;Total employees;A-U All economic activities;Total;Africa;2018 4th quarter;93.6
99;Total jobs;Total employees;A-U All economic activities;Total;Africa;2018;89.7
100;Total jobs;Total employees;A-U All economic activities;Total;Africa;2019 1st quarter;93.4
101;Total jobs;Total employees;A-U All economic activities;Total;Africa;2019 2nd quarter;96.1
102;Total jobs;Total employees;A-U All economic activities;Total;Africa;2019 3rd quarter;97.7
103;Total jobs;Total employees;A-U All economic activities;Total;Africa;2019 4th quarter;100.1
104;Total jobs;Total employees;A-U All economic activities;Total;Africa;2019;96.9
105;Total jobs;Total employees;A-U All economic activities;Total;Africa;2020 1st quarter;99.8
106;Total jobs;Total employees;A-U All economic activities;Total;Africa;2020 2nd quarter;95.4
107;Total jobs;Total employees;A-U All economic activities;Total;Africa;2020 3rd quarter;96.8
108;Total jobs;Total employees;A-U All economic activities;Total;Africa;2020 4th quarter;97.3
109;Total jobs;Total employees;A-U All economic activities;Total;Africa;2020;97.4
110;Total jobs;Total employees;A-U All economic activities;Total;America;2010 1st quarter;118.0
111;Total jobs;Total employees;A-U All economic activities;Total;America;2010 2nd quarter;119.7
112;Total jobs;Total employees;A-U All economic activities;Total;America;2010 3rd quarter;120.1
113;Total jobs;Total employees;A-U All economic activities;Total;America;2010 4th quarter;119.6
114;Total jobs;Total employees;A-U All economic activities;Total;America;2010;119.4
115;Total jobs;Total employees;A-U All economic activities;Total;America;2011 1st quarter;116.9
116;Total jobs;Total employees;A-U All economic activities;Total;America;2011 2nd quarter;118.4
117;Total jobs;Total employees;A-U All economic activities;Total;America;2011 3rd quarter;118.2
118;Total jobs;Total employees;A-U All economic activities;Total;America;2011 4th quarter;117.2
119;Total jobs;Total employees;A-U All economic activities;Total;America;2011;117.7
120;Total jobs;Total employees;A-U All economic activities;Total;America;2012 1st quarter;114.1
121;Total jobs;Total employees;A-U All economic activities;Total;America;2012 2nd quarter;114.9
122;Total jobs;Total employees;A-U All economic activities;Total;America;2012 3rd quarter;114.1
123;Total jobs;Total employees;A-U All economic activities;Total;America;2012 4th quarter;112.8
124;Total jobs;Total employees;A-U All economic activities;Total;America;2012;114.0
125;Total jobs;Total employees;A-U All economic activities;Total;America;2013 1st quarter;109.6
126;Total jobs;Total employees;A-U All economic activities;Total;America;2013 2nd quarter;109.1
127;Total jobs;Total employees;A-U All economic activities;Total;America;2013 3rd quarter;107.9
128;Total jobs;Total employees;A-U All economic activities;Total;America;2013 4th quarter;107.1
129;Total jobs;Total employees;A-U All economic activities;Total;America;2013;108.4
130;Total jobs;Total employees;A-U All economic activities;Total;America;2014 1st quarter;104.0
131;Total jobs;Total employees;A-U All economic activities;Total;America;2014 2nd quarter;105.1
132;Total jobs;Total employees;A-U All economic activities;Total;America;2014 3rd quarter;105.4
133;Total jobs;Total employees;A-U All economic activities;Total;America;2014 4th quarter;105.6
134;Total jobs;Total employees;A-U All economic activities;Total;America;2014;105.0
135;Total jobs;Total employees;A-U All economic activities;Total;America;2015 1st quarter;103.7
136;Total jobs;Total employees;A-U All economic activities;Total;America;2015 2nd quarter;105.1
137;Total jobs;Total employees;A-U All economic activities;Total;America;2015 3rd quarter;105.7
138;Total jobs;Total employees;A-U All economic activities;Total;America;2015 4th quarter;106.3
139;Total jobs;Total employees;A-U All economic activities;Total;America;2015;105.2
140;Total jobs;Total employees;A-U All economic activities;Total;America;2016 1st quarter;104.1
141;Total jobs;Total employees;A-U All economic activities;Total;America;2016 2nd quarter;106.6
142;Total jobs;Total employees;A-U All economic activities;Total;America;2016 3rd quarter;108.0
143;Total jobs;Total employees;A-U All economic activities;Total;America;2016 4th quarter;109.4
144;Total jobs;Total employees;A-U All economic activities;Total;America;2016;107.1
145;Total jobs;Total employees;A-U All economic activities;Total;America;2017 1st quarter;108.4
146;Total jobs;Total employees;A-U All economic activities;Total;America;2017 2nd quarter;111.7
147;Total jobs;Total employees;A-U All economic activities;Total;America;2017 3rd quarter;113.9
148;Total jobs;Total employees;A-U All economic activities;Total;America;2017 4th quarter;116.3
149;Total jobs;Total employees;A-U All economic activities;Total;America;2017;112.6
150;Total jobs;Total employees;A-U All economic activities;Total;America;2018 1st quarter;115.9
151;Total jobs;Total employees;A-U All economic activities;Total;America;2018 2nd quarter;119.7
152;Total jobs;Total employees;A-U All economic activities;Total;America;2018 3rd quarter;122.1
153;Total jobs;Total employees;A-U All economic activities;Total;America;2018 4th quarter;124.9
154;Total jobs;Total employees;A-U All economic activities;Total;America;2018;120.7
155;Total jobs;Total employees;A-U All economic activities;Total;America;2019 1st quarter;124.0
156;Total jobs;Total employees;A-U All economic activities;Total;America;2019 2nd quarter;127.8
157;Total jobs;Total employees;A-U All economic activities;Total;America;2019 3rd quarter;129.2
158;Total jobs;Total employees;A-U All economic activities;Total;America;2019 4th quarter;131.5
159;Total jobs;Total employees;A-U All economic activities;Total;America;2019;128.2
160;Total jobs;Total employees;A-U All economic activities;Total;America;2020 1st quarter;130.7
161;Total jobs;Total employees;A-U All economic activities;Total;America;2020 2nd quarter;126.1
162;Total jobs;Total employees;A-U All economic activities;Total;America;2020 3rd quarter;127.5
163;Total jobs;Total employees;A-U All economic activities;Total;America;2020 4th quarter;129.4
164;Total jobs;Total employees;A-U All economic activities;Total;America;2020;128.4
165;Total jobs;Total employees;A-U All economic activities;Total;Asia;2010 1st quarter;83.3
166;Total jobs;Total employees;A-U All economic activities;Total;Asia;2010 2nd quarter;84.7
167;Total jobs;Total employees;A-U All economic activities;Total;Asia;2010 3rd quarter;84.7
168;Total jobs;Total employees;A-U All economic activities;Total;Asia;2010 4th quarter;84.9
169;Total jobs;Total employees;A-U All economic activities;Total;Asia;2010;84.4
170;Total jobs;Total employees;A-U All economic activities;Total;Asia;2011 1st quarter;84.0
171;Total jobs;Total employees;A-U All economic activities;Total;Asia;2011 2nd quarter;86.2
172;Total jobs;Total employees;A-U All economic activities;Total;Asia;2011 3rd quarter;86.0
173;Total jobs;Total employees;A-U All economic activities;Total;Asia;2011 4th quarter;86.2
174;Total jobs;Total employees;A-U All economic activities;Total;Asia;2011;85.6
175;Total jobs;Total employees;A-U All economic activities;Total;Asia;2012 1st quarter;85.4
176;Total jobs;Total employees;A-U All economic activities;Total;Asia;2012 2nd quarter;86.9
177;Total jobs;Total employees;A-U All economic activities;Total;Asia;2012 3rd quarter;86.2
178;Total jobs;Total employees;A-U All economic activities;Total;Asia;2012 4th quarter;85.9
179;Total jobs;Total employees;A-U All economic activities;Total;Asia;2012;86.1
180;Total jobs;Total employees;A-U All economic activities;Total;Asia;2013 1st quarter;84.8
181;Total jobs;Total employees;A-U All economic activities;Total;Asia;2013 2nd quarter;85.5
182;Total jobs;Total employees;A-U All economic activities;Total;Asia;2013 3rd quarter;85.1
183;Total jobs;Total employees;A-U All economic activities;Total;Asia;2013 4th quarter;85.1
184;Total jobs;Total employees;A-U All economic activities;Total;Asia;2013;85.1
185;Total jobs;Total employees;A-U All economic activities;Total;Asia;2014 1st quarter;84.1
186;Total jobs;Total employees;A-U All economic activities;Total;Asia;2014 2nd quarter;85.4
187;Total jobs;Total employees;A-U All economic activities;Total;Asia;2014 3rd quarter;85.6
188;Total jobs;Total employees;A-U All economic activities;Total;Asia;2014 4th quarter;86.5
189;Total jobs;Total employees;A-U All economic activities;Total;Asia;2014;85.4
190;Total jobs;Total employees;A-U All economic activities;Total;Asia;2015 1st quarter;86.2
191;Total jobs;Total employees;A-U All economic activities;Total;Asia;2015 2nd quarter;88.0
192;Total jobs;Total employees;A-U All economic activities;Total;Asia;2015 3rd quarter;88.7
193;Total jobs;Total employees;A-U All economic activities;Total;Asia;2015 4th quarter;90.2
194;Total jobs;Total employees;A-U All economic activities;Total;Asia;2015;88.3
195;Total jobs;Total employees;A-U All economic activities;Total;Asia;2016 1st quarter;89.9
196;Total jobs;Total employees;A-U All economic activities;Total;Asia;2016 2nd quarter;92.7
197;Total jobs;Total employees;A-U All economic activities;Total;Asia;2016 3rd quarter;94.6
198;Total jobs;Total employees;A-U All economic activities;Total;Asia;2016 4th quarter;97.2
199;Total jobs;Total employees;A-U All economic activities;Total;Asia;2016;93.6
200;Total jobs;Total employees;A-U All economic activities;Total;Asia;2017 1st quarter;98.1
201;Total jobs;Total employees;A-U All economic activities;Total;Asia;2017 2nd quarter;102.2
202;Total jobs;Total employees;A-U All economic activities;Total;Asia;2017 3rd quarter;105.3
203;Total jobs;Total employees;A-U All economic activities;Total;Asia;2017 4th quarter;109.8
204;Total jobs;Total employees;A-U All economic activities;Total;Asia;2017;103.9
205;Total jobs;Total employees;A-U All economic activities;Total;Asia;2018 1st quarter;111.6
206;Total jobs;Total employees;A-U All economic activities;Total;Asia;2018 2nd quarter;117.1
207;Total jobs;Total employees;A-U All economic activities;Total;Asia;2018 3rd quarter;121.3
208;Total jobs;Total employees;A-U All economic activities;Total;Asia;2018 4th quarter;127.0
209;Total jobs;Total employees;A-U All economic activities;Total;Asia;2018;119.3
210;Total jobs;Total employees;A-U All economic activities;Total;Asia;2019 1st quarter;129.1
211;Total jobs;Total employees;A-U All economic activities;Total;Asia;2019 2nd quarter;134.5
212;Total jobs;Total employees;A-U All economic activities;Total;Asia;2019 3rd quarter;137.7
213;Total jobs;Total employees;A-U All economic activities;Total;Asia;2019 4th quarter;142.4
214;Total jobs;Total employees;A-U All economic activities;Total;Asia;2019;136.0
215;Total jobs;Total employees;A-U All economic activities;Total;Asia;2020 1st quarter;143.3
216;Total jobs;Total employees;A-U All economic activities;Total;Asia;2020 2nd quarter;137.6
217;Total jobs;Total employees;A-U All economic activities;Total;Asia;2020 3rd quarter;139.6
218;Total jobs;Total employees;A-U All economic activities;Total;Asia;2020 4th quarter;141.0
219;Total jobs;Total employees;A-U All economic activities;Total;Asia;2020;140.4
220;Total jobs;Total employees;A-U All economic activities;Total;Europe (excluding Dutch background);2010 1st quarter;345.3
221;Total jobs;Total employees;A-U All economic activities;Total;Europe (excluding Dutch background);2010 2nd quarter;373.6
222;Total jobs;Total employees;A-U All economic activities;Total;Europe (excluding Dutch background);2010 3rd quarter;387.1
223;Total jobs;Total employees;A-U All economic activities;Total;Europe (excluding Dutch background);2010 4th quarter;382.7
224;Total jobs;Total employees;A-U All economic activities;Total;Europe (excluding Dutch background);2010;372.3
225;Total jobs;Total employees;A-U All economic activities;Total;Europe (excluding Dutch background);2011 1st quarter;373.6
226;Total jobs;Total employees;A-U All economic activities;Total;Europe (excluding Dutch background);2011 2nd quarter;401.4
227;Total jobs;Total employees;A-U All economic activities;Total;Europe (excluding Dutch background);2011 3rd quarter;409.4
228;Total jobs;Total employees;A-U All economic activities;Total;Europe (excluding Dutch background);2011 4th quarter;396.2
229;Total jobs;Total employees;A-U All economic activities;Total;Europe (excluding Dutch background);2011;395.3
230;Total jobs;Total employees;A-U All economic activities;Total;Europe (excluding Dutch background);2012 1st quarter;384.9
231;Total jobs;Total employees;A-U All economic activities;Total;Europe (excluding Dutch background);2012 2nd quarter;408.4
232;Total jobs;Total employees;A-U All economic activities;Total;Europe (excluding Dutch background);2012 3rd quarter;413.7
233;Total jobs;Total employees;A-U All economic activities;Total;Europe (excluding Dutch background);2012 4th quarter;400.5
234;Total jobs;Total employees;A-U All economic activities;Total;Europe (excluding Dutch background);2012;401.9
235;Total jobs;Total employees;A-U All economic activities;Total;Europe (excluding Dutch background);2013 1st quarter;377.8
236;Total jobs;Total employees;A-U All economic activities;Total;Europe (excluding Dutch background);2013 2nd quarter;399.6
237;Total jobs;Total employees;A-U All economic activities;Total;Europe (excluding Dutch background);2013 3rd quarter;407.4
238;Total jobs;Total employees;A-U All economic activities;Total;Europe (excluding Dutch background);2013 4th quarter;399.1
239;Total jobs;Total employees;A-U All economic activities;Total;Europe (excluding Dutch background);2013;396.1
240;Total jobs;Total employees;A-U All economic activities;Total;Europe (excluding Dutch background);2014 1st quarter;387.0
241;Total jobs;Total employees;A-U All economic activities;Total;Europe (excluding Dutch background);2014 2nd quarter;413.5
242;Total jobs;Total employees;A-U All economic activities;Total;Europe (excluding Dutch background);2014 3rd quarter;423.8
243;Total jobs;Total employees;A-U All economic activities;Total;Europe (excluding Dutch background);2014 4th quarter;414.3
244;Total jobs;Total employees;A-U All economic activities;Total;Europe (excluding Dutch background);2014;409.8
245;Total jobs;Total employees;A-U All economic activities;Total;Europe (excluding Dutch background);2015 1st quarter;406.1
246;Total jobs;Total employees;A-U All economic activities;Total;Europe (excluding Dutch background);2015 2nd quarter;434.0
247;Total jobs;Total employees;A-U All economic activities;Total;Europe (excluding Dutch background);2015 3rd quarter;447.4
248;Total jobs;Total employees;A-U All economic activities;Total;Europe (excluding Dutch background);2015 4th quarter;441.3
249;Total jobs;Total employees;A-U All economic activities;Total;Europe (excluding Dutch background);2015;432.3
250;Total jobs;Total employees;A-U All economic activities;Total;Europe (excluding Dutch background);2016 1st quarter;427.4
251;Total jobs;Total employees;A-U All economic activities;Total;Europe (excluding Dutch background);2016 2nd quarter;458.8
252;Total jobs;Total employees;A-U All economic activities;Total;Europe (excluding Dutch background);2016 3rd quarter;473.8
253;Total jobs;Total employees;A-U All economic activities;Total;Europe (excluding Dutch background);2016 4th quarter;471.6
254;Total jobs;Total employees;A-U All economic activities;Total;Europe (excluding Dutch background);2016;458.0
255;Total jobs;Total employees;A-U All economic activities;Total;Europe (excluding Dutch background);2017 1st quarter;463.5
256;Total jobs;Total employees;A-U All economic activities;Total;Europe (excluding Dutch background);2017 2nd quarter;500.8
257;Total jobs;Total employees;A-U All economic activities;Total;Europe (excluding Dutch background);2017 3rd quarter;520.9
258;Total jobs;Total employees;A-U All economic activities;Total;Europe (excluding Dutch background);2017 4th quarter;525.3
259;Total jobs;Total employees;A-U All economic activities;Total;Europe (excluding Dutch background);2017;502.8
260;Total jobs;Total employees;A-U All economic activities;Total;Europe (excluding Dutch background);2018 1st quarter;517.4
261;Total jobs;Total employees;A-U All economic activities;Total;Europe (excluding Dutch background);2018 2nd quarter;553.8
262;Total jobs;Total employees;A-U All economic activities;Total;Europe (excluding Dutch background);2018 3rd quarter;574.3
263;Total jobs;Total employees;A-U All economic activities;Total;Europe (excluding Dutch background);2018 4th quarter;578.3
264;Total jobs;Total employees;A-U All economic activities;Total;Europe (excluding Dutch background);2018;556.2
265;Total jobs;Total employees;A-U All economic activities;Total;Europe (excluding Dutch background);2019 1st quarter;563.6
266;Total jobs;Total employees;A-U All economic activities;Total;Europe (excluding Dutch background);2019 2nd quarter;593.5
267;Total jobs;Total employees;A-U All economic activities;Total;Europe (excluding Dutch background);2019 3rd quarter;608.4
268;Total jobs;Total employees;A-U All economic activities;Total;Europe (excluding Dutch background);2019 4th quarter;608.2
269;Total jobs;Total employees;A-U All economic activities;Total;Europe (excluding Dutch background);2019;593.6
270;Total jobs;Total employees;A-U All economic activities;Total;Europe (excluding Dutch background);2020 1st quarter;591.3
271;Total jobs;Total employees;A-U All economic activities;Total;Europe (excluding Dutch background);2020 2nd quarter;576.9
272;Total jobs;Total employees;A-U All economic activities;Total;Europe (excluding Dutch background);2020 3rd quarter;604.0
273;Total jobs;Total employees;A-U All economic activities;Total;Europe (excluding Dutch background);2020 4th quarter;598.3
274;Total jobs;Total employees;A-U All economic activities;Total;Europe (excluding Dutch background);2020;592.7
275;Total jobs;Total employees;A-U All economic activities;Total;GIPS countries (European Union);2010 1st quarter;25.6
276;Total jobs;Total employees;A-U All economic activities;Total;GIPS countries (European Union);2010 2nd quarter;26.6
277;Total jobs;Total employees;A-U All economic activities;Total;GIPS countries (European Union);2010 3rd quarter;26.5
278;Total jobs;Total employees;A-U All economic activities;Total;GIPS countries (European Union);2010 4th quarter;27.0
279;Total jobs;Total employees;A-U All economic activities;Total;GIPS countries (European Union);2010;26.4
280;Total jobs;Total employees;A-U All economic activities;Total;GIPS countries (European Union);2011 1st quarter;26.9
281;Total jobs;Total employees;A-U All economic activities;Total;GIPS countries (European Union);2011 2nd quarter;28.1
282;Total jobs;Total employees;A-U All economic activities;Total;GIPS countries (European Union);2011 3rd quarter;28.3
283;Total jobs;Total employees;A-U All economic activities;Total;GIPS countries (European Union);2011 4th quarter;28.9
284;Total jobs;Total employees;A-U All economic activities;Total;GIPS countries (European Union);2011;28.0
285;Total jobs;Total employees;A-U All economic activities;Total;GIPS countries (European Union);2012 1st quarter;29.2
286;Total jobs;Total employees;A-U All economic activities;Total;GIPS countries (European Union);2012 2nd quarter;30.7
287;Total jobs;Total employees;A-U All economic activities;Total;GIPS countries (European Union);2012 3rd quarter;30.7
288;Total jobs;Total employees;A-U All economic activities;Total;GIPS countries (European Union);2012 4th quarter;31.0
289;Total jobs;Total employees;A-U All economic activities;Total;GIPS countries (European Union);2012;30.4
290;Total jobs;Total employees;A-U All economic activities;Total;GIPS countries (European Union);2013 1st quarter;30.3
291;Total jobs;Total employees;A-U All economic activities;Total;GIPS countries (European Union);2013 2nd quarter;31.9
292;Total jobs;Total employees;A-U All economic activities;Total;GIPS countries (European Union);2013 3rd quarter;32.0
293;Total jobs;Total employees;A-U All economic activities;Total;GIPS countries (European Union);2013 4th quarter;32.7
294;Total jobs;Total employees;A-U All economic activities;Total;GIPS countries (European Union);2013;31.7
295;Total jobs;Total employees;A-U All economic activities;Total;GIPS countries (European Union);2014 1st quarter;33.0
296;Total jobs;Total employees;A-U All economic activities;Total;GIPS countries (European Union);2014 2nd quarter;34.5
297;Total jobs;Total employees;A-U All economic activities;Total;GIPS countries (European Union);2014 3rd quarter;34.5
298;Total jobs;Total employees;A-U All economic activities;Total;GIPS countries (European Union);2014 4th quarter;35.3
299;Total jobs;Total employees;A-U All economic activities;Total;GIPS countries (European Union);2014;34.3
300;Total jobs;Total employees;A-U All economic activities;Total;GIPS countries (European Union);2015 1st quarter;35.6
301;Total jobs;Total employees;A-U All economic activities;Total;GIPS countries (European Union);2015 2nd quarter;37.5
302;Total jobs;Total employees;A-U All economic activities;Total;GIPS countries (European Union);2015 3rd quarter;37.6
303;Total jobs;Total employees;A-U All economic activities;Total;GIPS countries (European Union);2015 4th quarter;38.1
304;Total jobs;Total employees;A-U All economic activities;Total;GIPS countries (European Union);2015;37.2
305;Total jobs;Total employees;A-U All economic activities;Total;GIPS countries (European Union);2016 1st quarter;37.8
306;Total jobs;Total employees;A-U All economic activities;Total;GIPS countries (European Union);2016 2nd quarter;39.7
307;Total jobs;Total employees;A-U All economic activities;Total;GIPS countries (European Union);2016 3rd quarter;39.9
308;Total jobs;Total employees;A-U All economic activities;Total;GIPS countries (European Union);2016 4th quarter;41.2
309;Total jobs;Total employees;A-U All economic activities;Total;GIPS countries (European Union);2016;39.7
310;Total jobs;Total employees;A-U All economic activities;Total;GIPS countries (European Union);2017 1st quarter;41.5
311;Total jobs;Total employees;A-U All economic activities;Total;GIPS countries (European Union);2017 2nd quarter;44.1
312;Total jobs;Total employees;A-U All economic activities;Total;GIPS countries (European Union);2017 3rd quarter;44.6
313;Total jobs;Total employees;A-U All economic activities;Total;GIPS countries (European Union);2017 4th quarter;46.7
314;Total jobs;Total employees;A-U All economic activities;Total;GIPS countries (European Union);2017;44.2
315;Total jobs;Total employees;A-U All economic activities;Total;GIPS countries (European Union);2018 1st quarter;47.7
316;Total jobs;Total employees;A-U All economic activities;Total;GIPS countries (European Union);2018 2nd quarter;50.5
317;Total jobs;Total employees;A-U All economic activities;Total;GIPS countries (European Union);2018 3rd quarter;51.1
318;Total jobs;Total employees;A-U All economic activities;Total;GIPS countries (European Union);2018 4th quarter;53.9
319;Total jobs;Total employees;A-U All economic activities;Total;GIPS countries (European Union);2018;50.8
