ID;BindingArbeidsmarkt;Geslacht;Persoonskenmerken;Perioden;AantalPersonen_1;GemiddeldPersoonlijkPrimairInkomen_2;GemiddeldPersoonlijkOverdrachtsinkomen_3;GemiddeldPersoonlijkInkomen_4;GemiddeldGestandaardiseerdInkomen_5;AantalPersonenMetInkomen_6;GemiddeldPersoonlijkPrimairInkomen_7;GemiddeldPersoonlijkOverdrachtsinkomen_8;GemiddeldPersoonlijkInkomen_9;GemiddeldGestandaardiseerdInkomen_10
128;Totaal bevolking (15 tot 65 jaar);1100;Overig lid huishouden;2005;1880.0;9.5;1.3;9.3;23.2;1551.0;10.9;1.5;10.7;23.6
129;Totaal bevolking (15 tot 65 jaar);1100;Overig lid huishouden;2006;1879.0;9.9;1.4;9.8;24.3;1573.0;11.3;1.6;11.1;24.7
130;Totaal bevolking (15 tot 65 jaar);1100;Overig lid huishouden;2007;1888.0;10.2;1.4;10.1;26.2;1611.0;11.4;1.5;11.3;26.5
131;Totaal bevolking (15 tot 65 jaar);1100;Overig lid huishouden;2008;1888.0;10.6;1.3;10.4;26.8;1534.0;11.7;1.5;11.6;27.0
132;Totaal bevolking (15 tot 65 jaar);1100;Overig lid huishouden;2009;1913.0;10.2;1.5;10.3;26.3;1524.0;11.0;1.4;11.0;27.6
133;Totaal bevolking (15 tot 65 jaar);1100;Overig lid huishouden;2010;1902.0;9.1;1.5;9.3;25.8;1587.0;10.7;1.8;11.1;26.4
134;Totaal bevolking (15 tot 65 jaar);1100;Overig lid huishouden;2011;1928.0;9.5;1.6;9.8;26.3;1636.0;11.1;1.9;11.4;26.9
135;Totaal bevolking (15 tot 65 jaar);1100;Overig lid huishouden;2012;1963.0;9.5;1.6;9.7;26.3;1657.0;11.1;1.9;11.4;26.9
136;Totaal bevolking (15 tot 65 jaar);3000;Totaal persoonskenmerken;2005;5517.0;35.4;4.4;32.2;22.5;5193.0;36.4;4.6;33.1;22.5
137;Totaal bevolking (15 tot 65 jaar);3000;Totaal persoonskenmerken;2006;5517.0;36.9;4.5;33.9;23.6;5210.0;37.9;4.6;34.8;23.8
138;Totaal bevolking (15 tot 65 jaar);3000;Totaal persoonskenmerken;2007;5521.0;38.8;4.3;35.8;25.7;5227.0;39.8;4.4;36.7;25.8
139;Totaal bevolking (15 tot 65 jaar);3000;Totaal persoonskenmerken;2008;5533.0;40.3;4.3;37.3;26.1;5019.0;41.2;4.4;38.2;26.3
140;Totaal bevolking (15 tot 65 jaar);3000;Totaal persoonskenmerken;2009;5537.0;40.2;4.4;37.6;26.2;5047.0;43.3;4.2;39.8;27.3
141;Totaal bevolking (15 tot 65 jaar);3000;Totaal persoonskenmerken;2010;5533.0;40.0;4.6;37.3;25.9;5239.0;41.5;4.8;38.7;26.1
142;Totaal bevolking (15 tot 65 jaar);3000;Totaal persoonskenmerken;2011;5517.0;40.4;4.6;37.5;25.9;5250.0;41.9;4.7;38.9;26.2
143;Totaal bevolking (15 tot 65 jaar);3000;Totaal persoonskenmerken;2012;5519.0;40.9;4.5;37.5;26.0;5236.0;42.4;4.7;38.9;26.2
144;Totaal bevolking (15 tot 65 jaar);3000;Leeftijd: 15 tot 25 jaar;2005;983.0;8.7;1.2;8.6;21.7;821.0;9.9;1.4;9.8;21.8
145;Totaal bevolking (15 tot 65 jaar);3000;Leeftijd: 15 tot 25 jaar;2006;987.0;9.3;1.3;9.3;22.9;833.0;10.5;1.5;10.5;23.1
146;Totaal bevolking (15 tot 65 jaar);3000;Leeftijd: 15 tot 25 jaar;2007;994.0;9.7;1.3;9.7;24.5;857.0;10.8;1.4;10.8;24.7
147;Totaal bevolking (15 tot 65 jaar);3000;Leeftijd: 15 tot 25 jaar;2008;1005.0;10.1;1.3;10.1;25.1;828.0;11.2;1.4;11.1;25.1
148;Totaal bevolking (15 tot 65 jaar);3000;Leeftijd: 15 tot 25 jaar;2009;1013.0;9.4;1.5;9.7;24.7;824.0;10.2;1.4;10.3;26.2
149;Totaal bevolking (15 tot 65 jaar);3000;Leeftijd: 15 tot 25 jaar;2010;1017.0;8.6;1.5;9.0;24.2;858.0;10.1;1.8;10.5;24.4
150;Totaal bevolking (15 tot 65 jaar);3000;Leeftijd: 15 tot 25 jaar;2011;1020.0;8.8;1.6;9.2;24.6;871.0;10.1;1.8;10.6;24.9
151;Totaal bevolking (15 tot 65 jaar);3000;Leeftijd: 15 tot 25 jaar;2012;1027.0;8.6;1.6;9.1;24.8;872.0;10.0;1.8;10.5;25.1
152;Totaal bevolking (15 tot 65 jaar);3000;Leeftijd: 25 tot 45 jaar;2005;2389.0;41.7;1.7;34.6;21.1;2295.0;42.0;1.7;34.8;21.1
153;Totaal bevolking (15 tot 65 jaar);3000;Leeftijd: 25 tot 45 jaar;2006;2350.0;44.2;1.4;36.7;22.5;2259.0;44.5;1.4;37.0;22.6
154;Totaal bevolking (15 tot 65 jaar);3000;Leeftijd: 25 tot 45 jaar;2007;2310.0;46.0;1.3;38.7;24.1;2216.0;46.3;1.3;39.0;24.2
155;Totaal bevolking (15 tot 65 jaar);3000;Leeftijd: 25 tot 45 jaar;2008;2276.0;47.7;1.2;40.5;24.7;2061.0;48.1;1.2;40.8;24.8
156;Totaal bevolking (15 tot 65 jaar);3000;Leeftijd: 25 tot 45 jaar;2009;2240.0;47.4;1.5;40.8;24.8;2058.0;50.4;1.2;42.9;25.4
157;Totaal bevolking (15 tot 65 jaar);3000;Leeftijd: 25 tot 45 jaar;2010;2201.0;47.2;1.9;40.6;24.7;2124.0;47.9;1.9;41.2;24.9
158;Totaal bevolking (15 tot 65 jaar);3000;Leeftijd: 25 tot 45 jaar;2011;2169.0;46.9;2.0;40.4;24.7;2111.0;47.6;2.1;41.0;24.8
159;Totaal bevolking (15 tot 65 jaar);3000;Leeftijd: 25 tot 45 jaar;2012;2160.0;46.9;2.3;40.2;24.8;2093.0;47.6;2.3;40.9;24.9
160;Totaal bevolking (15 tot 65 jaar);3000;Leeftijd: 45 tot 65 jaar;2005;2145.0;40.3;8.9;40.1;24.3;2077.0;40.7;8.9;40.5;24.4
161;Totaal bevolking (15 tot 65 jaar);3000;Leeftijd: 45 tot 65 jaar;2006;2181.0;41.3;9.1;41.6;25.2;2118.0;41.6;9.2;42.0;25.2
