ID;Geslacht;TypeZelfstandige;ArbeidsmarktpositiePeiljaar;Persoonskenmerken;BedrijfstakkenBranchesSBI2008;Peiljaar;Perioden;StartendeZelfstandigen_1
111;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;B Delfstoffenwinning;4 jaar na startjaar;2015;
112;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;B Delfstoffenwinning;5 jaar na startjaar;2008;0.0
113;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;B Delfstoffenwinning;5 jaar na startjaar;2009;0.0
114;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;B Delfstoffenwinning;5 jaar na startjaar;2010;0.0
115;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;B Delfstoffenwinning;5 jaar na startjaar;2011;0.0
116;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;B Delfstoffenwinning;5 jaar na startjaar;2012;
117;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;B Delfstoffenwinning;5 jaar na startjaar;2013;
118;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;B Delfstoffenwinning;5 jaar na startjaar;2014;
119;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;B Delfstoffenwinning;5 jaar na startjaar;2015;
120;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;C Industrie;1 jaar na startjaar;2008;3.0
121;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;C Industrie;1 jaar na startjaar;2009;2.4
122;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;C Industrie;1 jaar na startjaar;2010;3.2
123;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;C Industrie;1 jaar na startjaar;2011;3.7
124;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;C Industrie;1 jaar na startjaar;2012;3.2
125;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;C Industrie;1 jaar na startjaar;2013;3.2
126;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;C Industrie;1 jaar na startjaar;2014;3.5
127;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;C Industrie;1 jaar na startjaar;2015;4.0
128;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;C Industrie;2 jaar na startjaar;2008;3.0
129;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;C Industrie;2 jaar na startjaar;2009;2.4
130;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;C Industrie;2 jaar na startjaar;2010;3.2
131;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;C Industrie;2 jaar na startjaar;2011;3.7
132;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;C Industrie;2 jaar na startjaar;2012;3.2
133;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;C Industrie;2 jaar na startjaar;2013;3.2
134;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;C Industrie;2 jaar na startjaar;2014;3.5
135;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;C Industrie;2 jaar na startjaar;2015;
136;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;C Industrie;3 jaar na startjaar;2008;3.0
137;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;C Industrie;3 jaar na startjaar;2009;2.4
138;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;C Industrie;3 jaar na startjaar;2010;3.2
139;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;C Industrie;3 jaar na startjaar;2011;3.7
140;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;C Industrie;3 jaar na startjaar;2012;3.2
141;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;C Industrie;3 jaar na startjaar;2013;3.2
142;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;C Industrie;3 jaar na startjaar;2014;
143;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;C Industrie;3 jaar na startjaar;2015;
144;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;C Industrie;4 jaar na startjaar;2008;3.0
145;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;C Industrie;4 jaar na startjaar;2009;2.4
146;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;C Industrie;4 jaar na startjaar;2010;3.2
147;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;C Industrie;4 jaar na startjaar;2011;3.7
148;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;C Industrie;4 jaar na startjaar;2012;3.2
149;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;C Industrie;4 jaar na startjaar;2013;
150;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;C Industrie;4 jaar na startjaar;2014;
151;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;C Industrie;4 jaar na startjaar;2015;
152;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;C Industrie;5 jaar na startjaar;2008;3.0
153;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;C Industrie;5 jaar na startjaar;2009;2.4
154;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;C Industrie;5 jaar na startjaar;2010;3.2
155;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;C Industrie;5 jaar na startjaar;2011;3.7
156;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;C Industrie;5 jaar na startjaar;2012;
157;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;C Industrie;5 jaar na startjaar;2013;
158;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;C Industrie;5 jaar na startjaar;2014;
159;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;C Industrie;5 jaar na startjaar;2015;
160;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;D Energievoorziening;1 jaar na startjaar;2008;0.0
161;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;D Energievoorziening;1 jaar na startjaar;2009;0.0
162;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;D Energievoorziening;1 jaar na startjaar;2010;0.0
163;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;D Energievoorziening;1 jaar na startjaar;2011;0.0
164;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;D Energievoorziening;1 jaar na startjaar;2012;0.0
165;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;D Energievoorziening;1 jaar na startjaar;2013;0.1
166;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;D Energievoorziening;1 jaar na startjaar;2014;0.1
167;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;D Energievoorziening;1 jaar na startjaar;2015;0.2
168;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;D Energievoorziening;2 jaar na startjaar;2008;0.0
169;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;D Energievoorziening;2 jaar na startjaar;2009;0.0
170;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;D Energievoorziening;2 jaar na startjaar;2010;0.0
171;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;D Energievoorziening;2 jaar na startjaar;2011;0.0
172;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;D Energievoorziening;2 jaar na startjaar;2012;0.0
173;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;D Energievoorziening;2 jaar na startjaar;2013;0.1
174;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;D Energievoorziening;2 jaar na startjaar;2014;0.1
175;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;D Energievoorziening;2 jaar na startjaar;2015;
176;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;D Energievoorziening;3 jaar na startjaar;2008;0.0
177;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;D Energievoorziening;3 jaar na startjaar;2009;0.0
178;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;D Energievoorziening;3 jaar na startjaar;2010;0.0
179;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;D Energievoorziening;3 jaar na startjaar;2011;0.0
180;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;D Energievoorziening;3 jaar na startjaar;2012;0.0
181;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;D Energievoorziening;3 jaar na startjaar;2013;0.1
182;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;D Energievoorziening;3 jaar na startjaar;2014;
183;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;D Energievoorziening;3 jaar na startjaar;2015;
184;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;D Energievoorziening;4 jaar na startjaar;2008;0.0
185;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;D Energievoorziening;4 jaar na startjaar;2009;0.0
186;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;D Energievoorziening;4 jaar na startjaar;2010;0.0
187;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;D Energievoorziening;4 jaar na startjaar;2011;0.0
188;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;D Energievoorziening;4 jaar na startjaar;2012;0.0
189;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;D Energievoorziening;4 jaar na startjaar;2013;
190;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;D Energievoorziening;4 jaar na startjaar;2014;
191;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;D Energievoorziening;4 jaar na startjaar;2015;
192;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;D Energievoorziening;5 jaar na startjaar;2008;0.0
193;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;D Energievoorziening;5 jaar na startjaar;2009;0.0
194;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;D Energievoorziening;5 jaar na startjaar;2010;0.0
195;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;D Energievoorziening;5 jaar na startjaar;2011;0.0
196;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;D Energievoorziening;5 jaar na startjaar;2012;
197;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;D Energievoorziening;5 jaar na startjaar;2013;
198;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;D Energievoorziening;5 jaar na startjaar;2014;
199;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;D Energievoorziening;5 jaar na startjaar;2015;
200;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;E Waterbedrijven en afvalbeheer;1 jaar na startjaar;2008;0.0
201;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;E Waterbedrijven en afvalbeheer;1 jaar na startjaar;2009;0.1
202;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;E Waterbedrijven en afvalbeheer;1 jaar na startjaar;2010;0.1
203;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;E Waterbedrijven en afvalbeheer;1 jaar na startjaar;2011;0.1
204;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;E Waterbedrijven en afvalbeheer;1 jaar na startjaar;2012;0.1
205;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;E Waterbedrijven en afvalbeheer;1 jaar na startjaar;2013;0.1
206;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;E Waterbedrijven en afvalbeheer;1 jaar na startjaar;2014;0.1
207;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;E Waterbedrijven en afvalbeheer;1 jaar na startjaar;2015;0.2
208;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;E Waterbedrijven en afvalbeheer;2 jaar na startjaar;2008;0.0
209;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;E Waterbedrijven en afvalbeheer;2 jaar na startjaar;2009;0.1
210;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;E Waterbedrijven en afvalbeheer;2 jaar na startjaar;2010;0.1
211;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;E Waterbedrijven en afvalbeheer;2 jaar na startjaar;2011;0.1
212;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;E Waterbedrijven en afvalbeheer;2 jaar na startjaar;2012;0.1
213;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;E Waterbedrijven en afvalbeheer;2 jaar na startjaar;2013;0.1
214;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;E Waterbedrijven en afvalbeheer;2 jaar na startjaar;2014;0.1
215;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;E Waterbedrijven en afvalbeheer;2 jaar na startjaar;2015;
216;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;E Waterbedrijven en afvalbeheer;3 jaar na startjaar;2008;0.0
217;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;E Waterbedrijven en afvalbeheer;3 jaar na startjaar;2009;0.1
218;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;E Waterbedrijven en afvalbeheer;3 jaar na startjaar;2010;0.1
219;Totaal mannen en vrouwen;Totaal;Totaal;Totaal personen;E Waterbedrijven en afvalbeheer;3 jaar na startjaar;2011;0.1
