ID;Geslacht;Opleidingsclusters;Perioden;TotaalAantalStudenten_1;Na3Jaar_2;Na4Jaar_3;Na5Jaar_4;Na6Jaar_5;Na7Jaar_6;Na8Jaar_7;Na9Jaar_8;Na3Jaar_9;Na4Jaar_10;Na5Jaar_11;Na6Jaar_12;Na7Jaar_13;Na8Jaar_14;Na9Jaar_15;Na3Jaar_16;Na4Jaar_17;Na5Jaar_18;Na6Jaar_19;Na7Jaar_20;Na8Jaar_21;Na9Jaar_22;Na3Jaar_23;Na4Jaar_24;Na5Jaar_25;Na6Jaar_26;Na7Jaar_27;Na8Jaar_28;Na9Jaar_29;Na3Jaar_30;Na4Jaar_31;Na5Jaar_32;Na6Jaar_33;Na7Jaar_34;Na8Jaar_35;Na9Jaar_36;Na1Jaar_37;Na2Jaar_38;Na3Jaar_39;Na4Jaar_40;Na5Jaar_41;Na6Jaar_42;Na7Jaar_43;Na8Jaar_44;InJaar2_45;InJaar3_46;InJaar4_47;InJaar5_48;InJaar6_49;InJaar7_50;InJaar8_51;InJaar9_52;InJaar2_53;InJaar3_54;InJaar4_55;InJaar5_56;InJaar6_57;InJaar7_58;InJaar8_59;InJaar9_60;InJaar2_61;InJaar3_62;InJaar4_63;InJaar5_64;InJaar6_65;InJaar7_66;InJaar8_67;InJaar9_68;InJaar2_69;InJaar3_70;InJaar4_71;InJaar5_72;InJaar6_73;InJaar7_74;InJaar8_75;InJaar9_76;InJaar2_77;InJaar3_78;InJaar4_79;InJaar5_80;InJaar6_81;InJaar7_82;InJaar8_83;InJaar9_84
10;Totaal mannen en vrouwen;0;Cohort 2005;1260.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;32.0;;;;;;;;64.0;;;;;;;;60.0;;;;;;;;60.0;;;;;;;;0.0;;;;;;;;3.0;;;;;;;
11;Totaal mannen en vrouwen;1;Cohort 1995;180.0;20.0;29.0;45.0;52.0;53.0;55.0;57.0;13.0;22.0;38.0;45.0;46.0;47.0;48.0;13.0;22.0;38.0;45.0;46.0;47.0;48.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.0;7.0;7.0;7.0;7.0;8.0;9.0;23.0;27.0;33.0;38.0;41.0;40.0;39.0;39.0;72.0;62.0;48.0;33.0;14.0;8.0;8.0;7.0;70.0;57.0;44.0;30.0;14.0;7.0;6.0;3.0;70.0;57.0;44.0;30.0;14.0;7.0;6.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;5.0;4.0;2.0;1.0;2.0;3.0;3.0
12;Totaal mannen en vrouwen;1;Cohort 1996;200.0;15.0;25.0;38.0;42.0;46.0;53.0;55.0;6.0;14.0;28.0;32.0;35.0;41.0;42.0;6.0;14.0;28.0;32.0;35.0;41.0;42.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.0;11.0;10.0;10.0;10.0;12.0;13.0;25.0;33.0;38.0;40.0;41.0;41.0;39.0;40.0;69.0;57.0;46.0;35.0;21.0;16.0;15.0;7.0;65.0;54.0;42.0;32.0;20.0;15.0;12.0;4.0;65.0;53.0;42.0;32.0;19.0;15.0;12.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;3.0;4.0;3.0;1.0;1.0;2.0;2.0
13;Totaal mannen en vrouwen;1;Cohort 1997;220.0;17.0;29.0;42.0;50.0;55.0;57.0;60.0;8.0;19.0;32.0;40.0;43.0;46.0;47.0;8.0;19.0;32.0;39.0;42.0;45.0;46.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;9.0;10.0;10.0;10.0;12.0;11.0;13.0;25.0;32.0;35.0;37.0;37.0;36.0;36.0;36.0;72.0;59.0;48.0;35.0;22.0;14.0;10.0;7.0;67.0;53.0;45.0;32.0;18.0;11.0;7.0;5.0;66.0;53.0;43.0;30.0;16.0;10.0;6.0;4.0;1.0;1.0;1.0;2.0;2.0;1.0;1.0;1.0;5.0;5.0;4.0;3.0;4.0;3.0;2.0;2.0
14;Totaal mannen en vrouwen;1;Cohort 1998;280.0;16.0;30.0;40.0;46.0;48.0;50.0;;9.0;20.0;30.0;36.0;37.0;39.0;;9.0;20.0;30.0;36.0;37.0;38.0;;0.0;0.0;0.0;0.0;0.0;1.0;;8.0;9.0;10.0;10.0;11.0;11.0;;26.0;36.0;38.0;41.0;39.0;41.0;41.0;40.0;70.0;56.0;45.0;30.0;21.0;13.0;11.0;10.0;65.0;49.0;40.0;28.0;17.0;10.0;7.0;5.0;64.0;49.0;39.0;26.0;16.0;9.0;6.0;5.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;4.0;7.0;5.0;2.0;4.0;3.0;4.0;5.0
15;Totaal mannen en vrouwen;1;Cohort 1999;330.0;19.0;32.0;40.0;46.0;51.0;;;14.0;26.0;33.0;39.0;44.0;;;14.0;26.0;33.0;39.0;44.0;;;0.0;0.0;0.0;0.0;0.0;;;5.0;6.0;7.0;7.0;8.0;;;28.0;35.0;39.0;39.0;38.0;40.0;38.0;;69.0;55.0;42.0;29.0;22.0;14.0;10.0;;67.0;52.0;38.0;25.0;18.0;10.0;7.0;;67.0;52.0;38.0;25.0;18.0;9.0;6.0;;0.0;0.0;0.0;0.0;0.0;0.0;1.0;;2.0;3.0;4.0;4.0;5.0;4.0;3.0;
16;Totaal mannen en vrouwen;1;Cohort 2000;290.0;21.0;31.0;42.0;51.0;;;;12.0;22.0;33.0;41.0;;;;12.0;21.0;32.0;40.0;;;;0.0;0.0;0.0;0.0;;;;9.0;9.0;9.0;10.0;;;;25.0;33.0;33.0;35.0;36.0;35.0;;;70.0;56.0;47.0;34.0;22.0;14.0;;;66.0;53.0;43.0;31.0;19.0;12.0;;;66.0;53.0;43.0;31.0;19.0;11.0;;;0.0;0.0;0.0;0.0;0.0;0.0;;;5.0;3.0;3.0;3.0;3.0;3.0;;
17;Totaal mannen en vrouwen;1;Cohort 2001;290.0;19.0;31.0;45.0;;;;;12.0;23.0;37.0;;;;;12.0;23.0;36.0;;;;;0.0;0.0;0.0;;;;;7.0;8.0;8.0;;;;;25.0;33.0;36.0;40.0;40.0;;;;73.0;62.0;44.0;30.0;15.0;;;;69.0;57.0;42.0;27.0;14.0;;;;68.0;57.0;41.0;27.0;13.0;;;;0.0;1.0;1.0;0.0;0.0;;;;4.0;5.0;2.0;2.0;1.0;;;
18;Totaal mannen en vrouwen;1;Cohort 2002;340.0;24.0;42.0;;;;;;17.0;34.0;;;;;;17.0;34.0;;;;;;0.0;0.0;;;;;;7.0;8.0;;;;;;27.0;31.0;34.0;35.0;;;;;70.0;61.0;42.0;23.0;;;;;63.0;55.0;38.0;21.0;;;;;62.0;54.0;37.0;20.0;;;;;1.0;1.0;1.0;1.0;;;;;7.0;7.0;4.0;2.0;;;;
19;Totaal mannen en vrouwen;1;Cohort 2003;310.0;39.0;;;;;;;35.0;;;;;;;35.0;;;;;;;0.0;;;;;;;4.0;;;;;;;27.0;35.0;35.0;;;;;;69.0;47.0;26.0;;;;;;64.0;43.0;21.0;;;;;;64.0;42.0;20.0;;;;;;0.0;1.0;1.0;;;;;;4.0;4.0;5.0;;;;;
20;Totaal mannen en vrouwen;1;Cohort 2004;220.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;31.0;41.0;;;;;;;64.0;42.0;;;;;;;58.0;36.0;;;;;;;57.0;35.0;;;;;;;1.0;0.0;;;;;;;7.0;6.0;;;;;;
21;Totaal mannen en vrouwen;1;Cohort 2005;190.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;34.0;;;;;;;;63.0;;;;;;;;59.0;;;;;;;;59.0;;;;;;;;0.0;;;;;;;;5.0;;;;;;;
22;Totaal mannen en vrouwen;2;Cohort 1995;330.0;11.0;17.0;20.0;26.0;32.0;36.0;38.0;7.0;11.0;15.0;20.0;27.0;30.0;32.0;7.0;11.0;14.0;19.0;26.0;29.0;31.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;5.0;6.0;5.0;6.0;6.0;6.0;6.0;24.0;35.0;41.0;44.0;46.0;49.0;50.0;50.0;73.0;57.0;47.0;39.0;34.0;25.0;17.0;14.0;70.0;55.0;45.0;37.0;32.0;24.0;16.0;12.0;70.0;54.0;44.0;36.0;31.0;23.0;16.0;12.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;3.0;2.0;2.0;2.0;2.0;1.0;1.0;2.0
23;Totaal mannen en vrouwen;2;Cohort 1996;290.0;14.0;16.0;22.0;28.0;34.0;38.0;39.0;8.0;10.0;14.0;21.0;27.0;30.0;31.0;7.0;9.0;13.0;19.0;25.0;28.0;29.0;1.0;1.0;1.0;2.0;2.0;2.0;2.0;6.0;7.0;7.0;7.0;7.0;8.0;8.0;27.0;38.0;44.0;46.0;51.0;52.0;54.0;55.0;71.0;53.0;42.0;38.0;28.0;20.0;12.0;7.0;65.0;49.0;40.0;35.0;26.0;19.0;11.0;7.0;64.0;48.0;40.0;35.0;26.0;19.0;11.0;7.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;7.0;4.0;2.0;3.0;2.0;1.0;1.0;1.0
24;Totaal mannen en vrouwen;2;Cohort 1997;330.0;8.0;13.0;19.0;27.0;32.0;37.0;40.0;6.0;10.0;14.0;22.0;27.0;32.0;35.0;4.0;9.0;13.0;21.0;25.0;31.0;33.0;1.0;1.0;1.0;1.0;1.0;1.0;2.0;2.0;4.0;4.0;4.0;5.0;5.0;5.0;31.0;38.0;43.0;46.0;49.0;50.0;51.0;52.0;68.0;59.0;49.0;40.0;32.0;24.0;17.0;11.0;66.0;55.0;46.0;39.0;31.0;22.0;15.0;10.0;65.0;54.0;45.0;38.0;30.0;21.0;14.0;9.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;3.0;4.0;3.0;1.0;1.0;1.0;2.0;1.0
25;Totaal mannen en vrouwen;2;Cohort 1998;350.0;9.0;15.0;20.0;29.0;36.0;39.0;;5.0;10.0;15.0;23.0;30.0;33.0;;4.0;9.0;14.0;22.0;27.0;30.0;;1.0;1.0;1.0;2.0;2.0;3.0;;3.0;5.0;5.0;6.0;6.0;7.0;;25.0;34.0;39.0;43.0;43.0;45.0;45.0;47.0;74.0;61.0;53.0;43.0;38.0;26.0;19.0;14.0;69.0;58.0;49.0;41.0;35.0;23.0;16.0;12.0;68.0;55.0;48.0;39.0;33.0;22.0;16.0;12.0;2.0;3.0;2.0;2.0;2.0;1.0;1.0;0.0;4.0;3.0;3.0;2.0;3.0;3.0;3.0;2.0
26;Totaal mannen en vrouwen;2;Cohort 1999;400.0;9.0;13.0;18.0;24.0;29.0;;;5.0;8.0;12.0;18.0;23.0;;;4.0;8.0;11.0;16.0;20.0;;;0.0;0.0;1.0;2.0;2.0;;;5.0;5.0;6.0;6.0;6.0;;;34.0;43.0;47.0;51.0;55.0;57.0;58.0;;63.0;52.0;44.0;35.0;27.0;19.0;13.0;;58.0;47.0;41.0;32.0;25.0;17.0;12.0;;57.0;45.0;38.0;30.0;23.0;16.0;10.0;;1.0;2.0;2.0;2.0;2.0;1.0;1.0;;5.0;5.0;3.0;3.0;2.0;2.0;2.0;
27;Totaal mannen en vrouwen;2;Cohort 2000;380.0;8.0;12.0;18.0;27.0;;;;3.0;6.0;12.0;20.0;;;;3.0;6.0;12.0;20.0;;;;0.0;0.0;0.0;0.0;;;;5.0;6.0;6.0;7.0;;;;29.0;38.0;42.0;45.0;47.0;49.0;;;70.0;58.0;50.0;42.0;35.0;24.0;;;65.0;54.0;47.0;40.0;32.0;22.0;;;65.0;53.0;46.0;39.0;32.0;21.0;;;0.0;1.0;1.0;0.0;0.0;0.0;;;5.0;5.0;3.0;3.0;3.0;2.0;;
28;Totaal mannen en vrouwen;2;Cohort 2001;390.0;8.0;14.0;21.0;;;;;5.0;10.0;17.0;;;;;5.0;10.0;17.0;;;;;0.0;0.0;0.0;;;;;3.0;4.0;5.0;;;;;33.0;44.0;48.0;53.0;55.0;;;;65.0;50.0;44.0;33.0;24.0;;;;62.0;49.0;40.0;30.0;22.0;;;;62.0;48.0;39.0;28.0;21.0;;;;1.0;1.0;1.0;2.0;2.0;;;;3.0;2.0;4.0;4.0;2.0;;;
29;Totaal mannen en vrouwen;2;Cohort 2002;440.0;11.0;20.0;;;;;;7.0;15.0;;;;;;7.0;15.0;;;;;;0.0;0.0;;;;;;4.0;5.0;;;;;;29.0;40.0;45.0;48.0;;;;;67.0;54.0;44.0;32.0;;;;;63.0;50.0;41.0;27.0;;;;;63.0;49.0;40.0;27.0;;;;;0.0;1.0;0.0;0.0;;;;;4.0;4.0;3.0;5.0;;;;
30;Totaal mannen en vrouwen;2;Cohort 2003;410.0;10.0;;;;;;;5.0;;;;;;;4.0;;;;;;;0.0;;;;;;;5.0;;;;;;;32.0;43.0;49.0;;;;;;64.0;52.0;41.0;;;;;;59.0;48.0;38.0;;;;;;59.0;47.0;37.0;;;;;;0.0;1.0;1.0;;;;;;5.0;4.0;3.0;;;;;
31;Totaal mannen en vrouwen;2;Cohort 2004;390.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;34.0;43.0;;;;;;;64.0;52.0;;;;;;;60.0;47.0;;;;;;;59.0;46.0;;;;;;;1.0;1.0;;;;;;;3.0;5.0;;;;;;
32;Totaal mannen en vrouwen;2;Cohort 2005;370.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;28.0;;;;;;;;67.0;;;;;;;;62.0;;;;;;;;61.0;;;;;;;;1.0;;;;;;;;5.0;;;;;;;
33;Totaal mannen en vrouwen;3;Cohort 1995;1060.0;9.0;15.0;21.0;27.0;32.0;35.0;39.0;5.0;10.0;16.0;22.0;26.0;30.0;33.0;5.0;10.0;16.0;22.0;26.0;30.0;32.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;5.0;5.0;5.0;5.0;6.0;6.0;28.0;41.0;46.0;50.0;52.0;54.0;54.0;54.0;67.0;52.0;44.0;35.0;28.0;19.0;14.0;10.0;64.0;50.0;43.0;33.0;26.0;17.0;13.0;9.0;64.0;50.0;42.0;32.0;25.0;17.0;12.0;8.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;2.0;2.0;2.0;2.0;2.0;1.0;2.0;2.0
34;Totaal mannen en vrouwen;3;Cohort 1996;1080.0;8.0;13.0;21.0;27.0;32.0;35.0;38.0;4.0;9.0;16.0;23.0;28.0;31.0;34.0;4.0;9.0;16.0;22.0;28.0;31.0;33.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;4.0;4.0;5.0;4.0;4.0;4.0;4.0;28.0;41.0;47.0;49.0;50.0;52.0;55.0;55.0;68.0;54.0;45.0;37.0;29.0;21.0;13.0;10.0;65.0;52.0;43.0;36.0;27.0;19.0;12.0;10.0;65.0;51.0;42.0;36.0;26.0;19.0;12.0;9.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;3.0;2.0;2.0;1.0;2.0;1.0;1.0;1.0
35;Totaal mannen en vrouwen;3;Cohort 1997;1010.0;8.0;14.0;19.0;25.0;30.0;34.0;37.0;3.0;8.0;13.0;19.0;23.0;27.0;30.0;3.0;7.0;13.0;19.0;23.0;27.0;29.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;5.0;6.0;6.0;6.0;7.0;7.0;7.0;31.0;43.0;48.0;52.0;54.0;54.0;54.0;56.0;67.0;53.0;43.0;34.0;27.0;21.0;16.0;10.0;64.0;49.0;41.0;32.0;25.0;19.0;15.0;9.0;63.0;49.0;40.0;32.0;25.0;18.0;14.0;9.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;3.0;3.0;3.0;2.0;2.0;2.0;2.0;1.0
36;Totaal mannen en vrouwen;3;Cohort 1998;1170.0;7.0;13.0;21.0;28.0;34.0;37.0;;4.0;9.0;17.0;25.0;30.0;33.0;;4.0;9.0;17.0;24.0;30.0;33.0;;0.0;0.0;0.0;0.0;0.0;0.0;;4.0;4.0;4.0;4.0;4.0;4.0;;32.0;42.0;47.0;50.0;52.0;52.0;53.0;54.0;67.0;55.0;46.0;37.0;28.0;19.0;13.0;9.0;64.0;53.0;44.0;35.0;26.0;18.0;12.0;8.0;64.0;52.0;43.0;35.0;25.0;18.0;12.0;8.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;2.0;2.0;2.0;2.0;2.0;1.0;1.0;1.0
37;Totaal mannen en vrouwen;3;Cohort 1999;1250.0;7.0;13.0;21.0;26.0;32.0;;;3.0;8.0;15.0;21.0;27.0;;;3.0;8.0;15.0;21.0;27.0;;;0.0;0.0;0.0;0.0;0.0;;;4.0;5.0;5.0;5.0;5.0;;;33.0;43.0;49.0;52.0;54.0;55.0;57.0;;65.0;53.0;44.0;35.0;25.0;19.0;11.0;;62.0;51.0;41.0;33.0;24.0;17.0;10.0;;61.0;50.0;41.0;32.0;23.0;17.0;10.0;;1.0;1.0;1.0;1.0;1.0;1.0;0.0;;3.0;2.0;2.0;2.0;1.0;1.0;1.0;
38;Totaal mannen en vrouwen;3;Cohort 2000;1220.0;8.0;17.0;23.0;30.0;;;;4.0;12.0;18.0;25.0;;;;4.0;12.0;18.0;25.0;;;;0.0;0.0;0.0;0.0;;;;4.0;5.0;5.0;5.0;;;;31.0;41.0;46.0;50.0;51.0;53.0;;;66.0;54.0;46.0;34.0;26.0;17.0;;;64.0;52.0;44.0;32.0;25.0;16.0;;;64.0;51.0;43.0;32.0;24.0;15.0;;;0.0;1.0;0.0;0.0;0.0;0.0;;;2.0;2.0;2.0;2.0;2.0;2.0;;
39;Totaal mannen en vrouwen;3;Cohort 2001;1140.0;6.0;12.0;21.0;;;;;3.0;8.0;16.0;;;;;3.0;8.0;16.0;;;;;0.0;0.0;0.0;;;;;4.0;4.0;5.0;;;;;34.0;46.0;50.0;52.0;55.0;;;;64.0;51.0;44.0;36.0;24.0;;;;61.0;49.0;42.0;34.0;22.0;;;;61.0;48.0;41.0;34.0;22.0;;;;1.0;1.0;0.0;0.0;0.0;;;;3.0;3.0;2.0;2.0;2.0;;;
40;Totaal mannen en vrouwen;3;Cohort 2002;1040.0;9.0;19.0;;;;;;5.0;14.0;;;;;;5.0;14.0;;;;;;0.0;0.0;;;;;;4.0;4.0;;;;;;31.0;41.0;47.0;52.0;;;;;66.0;54.0;44.0;30.0;;;;;64.0;53.0;42.0;28.0;;;;;63.0;52.0;41.0;27.0;;;;;1.0;1.0;1.0;1.0;;;;;2.0;2.0;2.0;2.0;;;;
41;Totaal mannen en vrouwen;3;Cohort 2003;830.0;12.0;;;;;;;7.0;;;;;;;7.0;;;;;;;0.0;;;;;;;5.0;;;;;;;29.0;39.0;47.0;;;;;;68.0;56.0;41.0;;;;;;66.0;52.0;38.0;;;;;;65.0;52.0;37.0;;;;;;0.0;0.0;0.0;;;;;;3.0;4.0;4.0;;;;;
42;Totaal mannen en vrouwen;3;Cohort 2004;670.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;27.0;39.0;;;;;;;70.0;55.0;;;;;;;67.0;52.0;;;;;;;66.0;51.0;;;;;;;1.0;1.0;;;;;;;3.0;3.0;;;;;;
43;Totaal mannen en vrouwen;3;Cohort 2005;600.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;34.0;;;;;;;;63.0;;;;;;;;60.0;;;;;;;;60.0;;;;;;;;0.0;;;;;;;;2.0;;;;;;;
44;Totaal mannen en vrouwen;4;Cohort 1995;50.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45;Totaal mannen en vrouwen;4;Cohort 1996;30.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46;Totaal mannen en vrouwen;4;Cohort 1997;40.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
47;Totaal mannen en vrouwen;4;Cohort 1998;30.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
48;Totaal mannen en vrouwen;4;Cohort 1999;40.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
