ID;Achtergrondkenmerken;Perioden;TotaalPersonen50Tot75Jaar_1;ParticiperendOpDeArbeidsmarkt_2;GestoptMetWerken_3;NooitGewerkt_4;VUTPrePensioen_5;GeenVUTPrePensioen_6;k_65Tot75Jarigen_7
73;Westerse allochtonen;2007;460.0;217.0;124.0;119.0;39.0;290.0;131.0
74;Westerse allochtonen;2008;451.0;222.0;128.0;101.0;38.0;282.0;131.0
75;Westerse allochtonen;2009;475.0;236.0;131.0;108.0;37.0;300.0;138.0
76;Niet-westerse allochtonen;2006;180.0;91.0;30.0;59.0;11.0;141.0;28.0
77;Niet-westerse allochtonen;2007;195.0;97.0;30.0;68.0;12.0;158.0;25.0
78;Niet-westerse allochtonen;2008;205.0;108.0;33.0;64.0;9.0;162.0;34.0
79;Niet-westerse allochtonen;2009;223.0;109.0;41.0;73.0;10.0;178.0;35.0
80;Herkomst: onbekend;2006;;;;;;;
81;Herkomst: onbekend;2007;;;;;;;
82;Herkomst: onbekend;2008;;;;;;;
83;Herkomst: onbekend;2009;;;;;;;
