ID;CharacteristicsHouseholdsAndPersons;CaribbeanNetherlands;Periods;MedianDevelopmentPurchasingPower_1;PersonsWithPurchasingPowerDecrease_2
41;Total persons;Saba;2020;4.7;32.0
42;Total persons;Saba;2021;1.2;45.0
43;Total persons;Saba;2022;-1.6;56.0
44;Type: Single person household;Caribbean Netherlands;2012;2.9;39.0
45;Type: Single person household;Caribbean Netherlands;2013;1.2;41.0
46;Type: Single person household;Caribbean Netherlands;2014;0.6;42.0
47;Type: Single person household;Caribbean Netherlands;2015;2.5;34.0
48;Type: Single person household;Caribbean Netherlands;2016;1.1;46.0
49;Type: Single person household;Caribbean Netherlands;2017;1.7;40.0
50;Type: Single person household;Caribbean Netherlands;2018;-1.7;55.0
51;Type: Single person household;Caribbean Netherlands;2019;1.7;44.0
52;Type: Single person household;Caribbean Netherlands;2020;5.5;30.0
53;Type: Single person household;Caribbean Netherlands;2021;0.4;48.0
54;Type: Single person household;Caribbean Netherlands;2022;-2.3;58.0
55;Type: Single person household;Bonaire;2012;2.9;39.0
56;Type: Single person household;Bonaire;2013;0.7;42.0
57;Type: Single person household;Bonaire;2014;0.7;41.0
58;Type: Single person household;Bonaire;2015;2.5;34.0
59;Type: Single person household;Bonaire;2016;0.6;48.0
60;Type: Single person household;Bonaire;2017;0.7;42.0
61;Type: Single person household;Bonaire;2018;-2.4;57.0
62;Type: Single person household;Bonaire;2019;1.3;46.0
63;Type: Single person household;Bonaire;2020;6.1;29.0
64;Type: Single person household;Bonaire;2021;0.4;49.0
65;Type: Single person household;Bonaire;2022;-2.4;58.0
66;Type: Single person household;St. Eustatius;2012;5.4;41.0
67;Type: Single person household;St. Eustatius;2013;2.1;40.0
68;Type: Single person household;St. Eustatius;2014;-0.9;57.0
69;Type: Single person household;St. Eustatius;2015;4.5;28.0
70;Type: Single person household;St. Eustatius;2016;2.0;39.0
71;Type: Single person household;St. Eustatius;2017;6.5;32.0
72;Type: Single person household;St. Eustatius;2018;2.4;42.0
73;Type: Single person household;St. Eustatius;2019;3.0;44.0
74;Type: Single person household;St. Eustatius;2020;3.5;36.0
75;Type: Single person household;St. Eustatius;2021;0.6;37.0
76;Type: Single person household;St. Eustatius;2022;-1.3;55.0
77;Type: Single person household;Saba;2012;3.2;31.0
78;Type: Single person household;Saba;2013;2.1;35.0
79;Type: Single person household;Saba;2014;2.0;39.0
80;Type: Single person household;Saba;2015;2.2;32.0
81;Type: Single person household;Saba;2016;5.3;32.0
82;Type: Single person household;Saba;2017;2.5;33.0
83;Type: Single person household;Saba;2018;-1.8;57.0
84;Type: Single person household;Saba;2019;4.2;30.0
85;Type: Single person household;Saba;2020;4.2;29.0
86;Type: Single person household;Saba;2021;0.3;49.0
87;Type: Single person household;Saba;2022;-3.5;65.0
88;Type: Multi person household;Caribbean Netherlands;2012;3.7;42.0
89;Type: Multi person household;Caribbean Netherlands;2013;2.1;44.0
90;Type: Multi person household;Caribbean Netherlands;2014;2.1;44.0
91;Type: Multi person household;Caribbean Netherlands;2015;5.0;36.0
92;Type: Multi person household;Caribbean Netherlands;2016;3.2;41.0
93;Type: Multi person household;Caribbean Netherlands;2017;2.1;42.0
94;Type: Multi person household;Caribbean Netherlands;2018;0.4;49.0
95;Type: Multi person household;Caribbean Netherlands;2019;4.7;37.0
96;Type: Multi person household;Caribbean Netherlands;2020;5.2;37.0
97;Type: Multi person household;Caribbean Netherlands;2021;1.9;43.0
98;Type: Multi person household;Caribbean Netherlands;2022;-4.2;60.0
99;Type: Multi person household;Bonaire;2012;3.4;43.0
100;Type: Multi person household;Bonaire;2013;1.7;45.0
101;Type: Multi person household;Bonaire;2014;2.2;44.0
102;Type: Multi person household;Bonaire;2015;5.1;36.0
103;Type: Multi person household;Bonaire;2016;3.0;42.0
104;Type: Multi person household;Bonaire;2017;2.0;43.0
105;Type: Multi person household;Bonaire;2018;-0.1;50.0
106;Type: Multi person household;Bonaire;2019;4.2;38.0
107;Type: Multi person household;Bonaire;2020;5.5;36.0
108;Type: Multi person household;Bonaire;2021;2.0;44.0
109;Type: Multi person household;Bonaire;2022;-4.5;61.0
110;Type: Multi person household;St. Eustatius;2012;4.4;41.0
111;Type: Multi person household;St. Eustatius;2013;3.1;41.0
112;Type: Multi person household;St. Eustatius;2014;1.5;47.0
113;Type: Multi person household;St. Eustatius;2015;4.7;38.0
114;Type: Multi person household;St. Eustatius;2016;2.5;43.0
115;Type: Multi person household;St. Eustatius;2017;4.1;41.0
116;Type: Multi person household;St. Eustatius;2018;3.9;37.0
117;Type: Multi person household;St. Eustatius;2019;7.4;33.0
118;Type: Multi person household;St. Eustatius;2020;2.4;46.0
119;Type: Multi person household;St. Eustatius;2021;1.8;40.0
120;Type: Multi person household;St. Eustatius;2022;-3.7;58.0
121;Type: Multi person household;Saba;2012;4.8;37.0
122;Type: Multi person household;Saba;2013;3.9;38.0
123;Type: Multi person household;Saba;2014;3.3;38.0
124;Type: Multi person household;Saba;2015;3.9;34.0
125;Type: Multi person household;Saba;2016;6.4;30.0
126;Type: Multi person household;Saba;2017;1.6;42.0
127;Type: Multi person household;Saba;2018;0.5;48.0
128;Type: Multi person household;Saba;2019;5.7;30.0
129;Type: Multi person household;Saba;2020;5.1;33.0
130;Type: Multi person household;Saba;2021;1.5;44.0
131;Type: Multi person household;Saba;2022;-1.3;54.0
132;Type: One-parent family;Caribbean Netherlands;2012;5.8;37.0
133;Type: One-parent family;Caribbean Netherlands;2013;3.9;39.0
134;Type: One-parent family;Caribbean Netherlands;2014;4.0;38.0
135;Type: One-parent family;Caribbean Netherlands;2015;6.9;32.0
136;Type: One-parent family;Caribbean Netherlands;2016;6.0;33.0
137;Type: One-parent family;Caribbean Netherlands;2017;3.3;36.0
138;Type: One-parent family;Caribbean Netherlands;2018;2.6;43.0
139;Type: One-parent family;Caribbean Netherlands;2019;8.8;30.0
140;Type: One-parent family;Caribbean Netherlands;2020;8.6;29.0
141;Type: One-parent family;Caribbean Netherlands;2021;3.5;38.0
142;Type: One-parent family;Caribbean Netherlands;2022;-1.8;54.0
143;Type: One-parent family;Bonaire;2012;5.6;39.0
144;Type: One-parent family;Bonaire;2013;4.4;39.0
145;Type: One-parent family;Bonaire;2014;5.5;37.0
146;Type: One-parent family;Bonaire;2015;7.6;31.0
147;Type: One-parent family;Bonaire;2016;5.6;34.0
148;Type: One-parent family;Bonaire;2017;3.2;36.0
149;Type: One-parent family;Bonaire;2018;1.5;45.0
150;Type: One-parent family;Bonaire;2019;8.8;31.0
151;Type: One-parent family;Bonaire;2020;9.2;27.0
152;Type: One-parent family;Bonaire;2021;3.9;38.0
153;Type: One-parent family;Bonaire;2022;-1.7;53.0
154;Type: One-parent family;St. Eustatius;2012;9.9;33.0
155;Type: One-parent family;St. Eustatius;2013;2.2;41.0
156;Type: One-parent family;St. Eustatius;2014;0.7;45.0
157;Type: One-parent family;St. Eustatius;2015;3.2;38.0
158;Type: One-parent family;St. Eustatius;2016;5.6;30.0
159;Type: One-parent family;St. Eustatius;2017;4.1;35.0
160;Type: One-parent family;St. Eustatius;2018;8.6;31.0
161;Type: One-parent family;St. Eustatius;2019;8.9;30.0
162;Type: One-parent family;St. Eustatius;2020;5.6;35.0
163;Type: One-parent family;St. Eustatius;2021;3.3;37.0
164;Type: One-parent family;St. Eustatius;2022;-3.1;55.0
165;Type: One-parent family;Saba;2012;8.7;24.0
166;Type: One-parent family;Saba;2013;1.8;41.0
167;Type: One-parent family;Saba;2014;3.8;39.0
168;Type: One-parent family;Saba;2015;5.1;33.0
169;Type: One-parent family;Saba;2016;8.8;25.0
170;Type: One-parent family;Saba;2017;1.8;37.0
171;Type: One-parent family;Saba;2018;1.4;46.0
172;Type: One-parent family;Saba;2019;8.1;22.0
173;Type: One-parent family;Saba;2020;7.7;29.0
174;Type: One-parent family;Saba;2021;1.0;47.0
175;Type: One-parent family;Saba;2022;-1.0;56.0
176;Type: One-parent, all children < 18 yrs;Caribbean Netherlands;2012;9.9;32.0
177;Type: One-parent, all children < 18 yrs;Caribbean Netherlands;2013;3.8;40.0
178;Type: One-parent, all children < 18 yrs;Caribbean Netherlands;2014;5.5;37.0
179;Type: One-parent, all children < 18 yrs;Caribbean Netherlands;2015;8.2;26.0
180;Type: One-parent, all children < 18 yrs;Caribbean Netherlands;2016;8.6;26.0
181;Type: One-parent, all children < 18 yrs;Caribbean Netherlands;2017;4.1;33.0
182;Type: One-parent, all children < 18 yrs;Caribbean Netherlands;2018;3.4;40.0
183;Type: One-parent, all children < 18 yrs;Caribbean Netherlands;2019;10.2;24.0
184;Type: One-parent, all children < 18 yrs;Caribbean Netherlands;2020;10.8;21.0
185;Type: One-parent, all children < 18 yrs;Caribbean Netherlands;2021;4.8;32.0
186;Type: One-parent, all children < 18 yrs;Caribbean Netherlands;2022;-3.0;57.0
187;Type: One-parent, all children < 18 yrs;Bonaire;2012;9.4;33.0
188;Type: One-parent, all children < 18 yrs;Bonaire;2013;4.7;37.0
189;Type: One-parent, all children < 18 yrs;Bonaire;2014;6.9;35.0
190;Type: One-parent, all children < 18 yrs;Bonaire;2015;8.6;24.0
191;Type: One-parent, all children < 18 yrs;Bonaire;2016;7.7;27.0
192;Type: One-parent, all children < 18 yrs;Bonaire;2017;4.3;34.0
193;Type: One-parent, all children < 18 yrs;Bonaire;2018;1.7;43.0
194;Type: One-parent, all children < 18 yrs;Bonaire;2019;10.6;25.0
195;Type: One-parent, all children < 18 yrs;Bonaire;2020;11.5;21.0
196;Type: One-parent, all children < 18 yrs;Bonaire;2021;5.1;32.0
197;Type: One-parent, all children < 18 yrs;Bonaire;2022;-2.8;58.0
198;Type: One-parent, all children < 18 yrs;St. Eustatius;2012;10.8;31.0
199;Type: One-parent, all children < 18 yrs;St. Eustatius;2013;0.8;50.0
200;Type: One-parent, all children < 18 yrs;St. Eustatius;2014;0.4;44.0
201;Type: One-parent, all children < 18 yrs;St. Eustatius;2015;7.4;29.0
202;Type: One-parent, all children < 18 yrs;St. Eustatius;2016;8.0;24.0
203;Type: One-parent, all children < 18 yrs;St. Eustatius;2017;3.4;33.0
204;Type: One-parent, all children < 18 yrs;St. Eustatius;2018;9.0;27.0
205;Type: One-parent, all children < 18 yrs;St. Eustatius;2019;7.3;27.0
206;Type: One-parent, all children < 18 yrs;St. Eustatius;2020;7.9;23.0
207;Type: One-parent, all children < 18 yrs;St. Eustatius;2021;4.0;32.0
208;Type: One-parent, all children < 18 yrs;St. Eustatius;2022;-3.6;60.0
209;Type: One-parent, all children < 18 yrs;Saba;2012;;
210;Type: One-parent, all children < 18 yrs;Saba;2013;;
211;Type: One-parent, all children < 18 yrs;Saba;2014;;
212;Type: One-parent, all children < 18 yrs;Saba;2015;;
213;Type: One-parent, all children < 18 yrs;Saba;2016;;
214;Type: One-parent, all children < 18 yrs;Saba;2017;;
215;Type: One-parent, all children < 18 yrs;Saba;2018;;
216;Type: One-parent, all children < 18 yrs;Saba;2019;11.8;12.0
217;Type: One-parent, all children < 18 yrs;Saba;2020;11.1;21.0
218;Type: One-parent, all children < 18 yrs;Saba;2021;2.2;38.0
219;Type: One-parent, all children < 18 yrs;Saba;2022;0.3;49.0
220;Type: One-parent, at least 1 child >= 18;Caribbean Netherlands;2012;2.9;43.0
221;Type: One-parent, at least 1 child >= 18;Caribbean Netherlands;2013;4.2;39.0
222;Type: One-parent, at least 1 child >= 18;Caribbean Netherlands;2014;3.4;40.0
223;Type: One-parent, at least 1 child >= 18;Caribbean Netherlands;2015;4.9;38.0
224;Type: One-parent, at least 1 child >= 18;Caribbean Netherlands;2016;2.9;39.0
225;Type: One-parent, at least 1 child >= 18;Caribbean Netherlands;2017;2.2;39.0
226;Type: One-parent, at least 1 child >= 18;Caribbean Netherlands;2018;2.0;45.0
227;Type: One-parent, at least 1 child >= 18;Caribbean Netherlands;2019;6.6;36.0
228;Type: One-parent, at least 1 child >= 18;Caribbean Netherlands;2020;5.6;36.0
229;Type: One-parent, at least 1 child >= 18;Caribbean Netherlands;2021;1.8;44.0
230;Type: One-parent, at least 1 child >= 18;Caribbean Netherlands;2022;-0.5;51.0
231;Type: One-parent, at least 1 child >= 18;Bonaire;2012;2.0;46.0
232;Type: One-parent, at least 1 child >= 18;Bonaire;2013;3.9;41.0
233;Type: One-parent, at least 1 child >= 18;Bonaire;2014;3.8;39.0
234;Type: One-parent, at least 1 child >= 18;Bonaire;2015;5.7;38.0
235;Type: One-parent, at least 1 child >= 18;Bonaire;2016;3.2;39.0
236;Type: One-parent, at least 1 child >= 18;Bonaire;2017;2.0;39.0
237;Type: One-parent, at least 1 child >= 18;Bonaire;2018;1.2;47.0
238;Type: One-parent, at least 1 child >= 18;Bonaire;2019;6.3;36.0
239;Type: One-parent, at least 1 child >= 18;Bonaire;2020;7.0;34.0
240;Type: One-parent, at least 1 child >= 18;Bonaire;2021;2.2;43.0
241;Type: One-parent, at least 1 child >= 18;Bonaire;2022;0.1;50.0
242;Type: One-parent, at least 1 child >= 18;St. Eustatius;2012;7.7;35.0
243;Type: One-parent, at least 1 child >= 18;St. Eustatius;2013;4.0;31.0
244;Type: One-parent, at least 1 child >= 18;St. Eustatius;2014;1.0;45.0
245;Type: One-parent, at least 1 child >= 18;St. Eustatius;2015;0.9;46.0
246;Type: One-parent, at least 1 child >= 18;St. Eustatius;2016;1.2;38.0
247;Type: One-parent, at least 1 child >= 18;St. Eustatius;2017;5.1;38.0
248;Type: One-parent, at least 1 child >= 18;St. Eustatius;2018;7.3;35.0
249;Type: One-parent, at least 1 child >= 18;St. Eustatius;2019;11.1;34.0
250;Type: One-parent, at least 1 child >= 18;St. Eustatius;2020;2.7;47.0
251;Type: One-parent, at least 1 child >= 18;St. Eustatius;2021;1.6;41.0
252;Type: One-parent, at least 1 child >= 18;St. Eustatius;2022;-0.5;51.0
253;Type: One-parent, at least 1 child >= 18;Saba;2012;;
254;Type: One-parent, at least 1 child >= 18;Saba;2013;;
255;Type: One-parent, at least 1 child >= 18;Saba;2014;;
256;Type: One-parent, at least 1 child >= 18;Saba;2015;;
257;Type: One-parent, at least 1 child >= 18;Saba;2016;;
258;Type: One-parent, at least 1 child >= 18;Saba;2017;;
259;Type: One-parent, at least 1 child >= 18;Saba;2018;;
260;Type: One-parent, at least 1 child >= 18;Saba;2019;;
261;Type: One-parent, at least 1 child >= 18;Saba;2020;;
262;Type: One-parent, at least 1 child >= 18;Saba;2021;-2.8;56.0
263;Type: One-parent, at least 1 child >= 18;Saba;2022;-2.8;62.0
264;Type: Couple, total;Caribbean Netherlands;2012;3.5;42.0
265;Type: Couple, total;Caribbean Netherlands;2013;2.2;43.0
266;Type: Couple, total;Caribbean Netherlands;2014;2.3;43.0
267;Type: Couple, total;Caribbean Netherlands;2015;4.6;35.0
268;Type: Couple, total;Caribbean Netherlands;2016;2.7;41.0
269;Type: Couple, total;Caribbean Netherlands;2017;2.3;41.0
270;Type: Couple, total;Caribbean Netherlands;2018;0.1;49.0
271;Type: Couple, total;Caribbean Netherlands;2019;4.3;38.0
272;Type: Couple, total;Caribbean Netherlands;2020;4.7;37.0
273;Type: Couple, total;Caribbean Netherlands;2021;2.3;42.0
274;Type: Couple, total;Caribbean Netherlands;2022;-4.7;62.0
275;Type: Couple, total;Bonaire;2012;3.1;43.0
276;Type: Couple, total;Bonaire;2013;1.9;44.0
277;Type: Couple, total;Bonaire;2014;2.6;42.0
278;Type: Couple, total;Bonaire;2015;4.5;35.0
279;Type: Couple, total;Bonaire;2016;2.5;42.0
280;Type: Couple, total;Bonaire;2017;2.2;41.0
281;Type: Couple, total;Bonaire;2018;-0.2;51.0
282;Type: Couple, total;Bonaire;2019;3.8;39.0
283;Type: Couple, total;Bonaire;2020;5.1;36.0
284;Type: Couple, total;Bonaire;2021;2.5;42.0
285;Type: Couple, total;Bonaire;2022;-5.1;63.0
286;Type: Couple, total;St. Eustatius;2012;4.2;43.0
287;Type: Couple, total;St. Eustatius;2013;2.2;41.0
288;Type: Couple, total;St. Eustatius;2014;1.1;48.0
289;Type: Couple, total;St. Eustatius;2015;6.0;33.0
290;Type: Couple, total;St. Eustatius;2016;1.4;46.0
291;Type: Couple, total;St. Eustatius;2017;4.0;41.0
292;Type: Couple, total;St. Eustatius;2018;3.5;38.0
293;Type: Couple, total;St. Eustatius;2019;7.2;35.0
294;Type: Couple, total;St. Eustatius;2020;1.1;49.0
295;Type: Couple, total;St. Eustatius;2021;1.4;43.0
296;Type: Couple, total;St. Eustatius;2022;-3.1;59.0
297;Type: Couple, total;Saba;2012;5.3;35.0
298;Type: Couple, total;Saba;2013;4.0;36.0
299;Type: Couple, total;Saba;2014;2.6;40.0
300;Type: Couple, total;Saba;2015;3.0;34.0
301;Type: Couple, total;Saba;2016;5.6;33.0
302;Type: Couple, total;Saba;2017;1.5;42.0
303;Type: Couple, total;Saba;2018;-0.2;50.0
304;Type: Couple, total;Saba;2019;5.3;31.0
305;Type: Couple, total;Saba;2020;3.8;36.0
306;Type: Couple, total;Saba;2021;2.0;40.0
307;Type: Couple, total;Saba;2022;-0.9;53.0
308;Type: Couple, no children;Caribbean Netherlands;2012;1.7;46.0
309;Type: Couple, no children;Caribbean Netherlands;2013;0.7;45.0
310;Type: Couple, no children;Caribbean Netherlands;2014;0.4;47.0
311;Type: Couple, no children;Caribbean Netherlands;2015;2.5;38.0
312;Type: Couple, no children;Caribbean Netherlands;2016;0.5;48.0
313;Type: Couple, no children;Caribbean Netherlands;2017;0.3;45.0
314;Type: Couple, no children;Caribbean Netherlands;2018;-2.0;56.0
315;Type: Couple, no children;Caribbean Netherlands;2019;1.3;45.0
316;Type: Couple, no children;Caribbean Netherlands;2020;4.3;37.0
317;Type: Couple, no children;Caribbean Netherlands;2021;0.9;46.0
318;Type: Couple, no children;Caribbean Netherlands;2022;-5.6;66.0
319;Type: Couple, no children;Bonaire;2012;2.0;46.0
320;Type: Couple, no children;Bonaire;2013;0.6;45.0
321;Type: Couple, no children;Bonaire;2014;0.4;47.0
322;Type: Couple, no children;Bonaire;2015;2.5;38.0
323;Type: Couple, no children;Bonaire;2016;0.2;49.0
324;Type: Couple, no children;Bonaire;2017;0.1;45.0
325;Type: Couple, no children;Bonaire;2018;-2.2;58.0
326;Type: Couple, no children;Bonaire;2019;1.1;46.0
327;Type: Couple, no children;Bonaire;2020;4.4;38.0
328;Type: Couple, no children;Bonaire;2021;1.2;46.0
329;Type: Couple, no children;Bonaire;2022;-5.8;66.0
330;Type: Couple, no children;St. Eustatius;2012;0.5;50.0
331;Type: Couple, no children;St. Eustatius;2013;0.1;48.0
332;Type: Couple, no children;St. Eustatius;2014;-1.1;54.0
333;Type: Couple, no children;St. Eustatius;2015;4.2;35.0
334;Type: Couple, no children;St. Eustatius;2016;0.8;47.0
335;Type: Couple, no children;St. Eustatius;2017;3.1;43.0
336;Type: Couple, no children;St. Eustatius;2018;2.9;42.0
337;Type: Couple, no children;St. Eustatius;2019;2.3;46.0
338;Type: Couple, no children;St. Eustatius;2020;2.1;43.0
339;Type: Couple, no children;St. Eustatius;2021;0.9;42.0
340;Type: Couple, no children;St. Eustatius;2022;-4.5;66.0
341;Type: Couple, no children;Saba;2012;0.6;48.0
342;Type: Couple, no children;Saba;2013;1.5;45.0
343;Type: Couple, no children;Saba;2014;1.1;44.0
344;Type: Couple, no children;Saba;2015;1.6;40.0
345;Type: Couple, no children;Saba;2016;3.1;38.0
346;Type: Couple, no children;Saba;2017;0.6;44.0
347;Type: Couple, no children;Saba;2018;-2.5;55.0
348;Type: Couple, no children;Saba;2019;2.7;36.0
349;Type: Couple, no children;Saba;2020;5.2;27.0
350;Type: Couple, no children;Saba;2021;-1.7;61.0
351;Type: Couple, no children;Saba;2022;-4.1;63.0
352;Type: Couple, with child(ren);Caribbean Netherlands;2012;5.1;41.0
353;Type: Couple, with child(ren);Caribbean Netherlands;2013;3.1;42.0
354;Type: Couple, with child(ren);Caribbean Netherlands;2014;3.7;41.0
355;Type: Couple, with child(ren);Caribbean Netherlands;2015;6.0;34.0
356;Type: Couple, with child(ren);Caribbean Netherlands;2016;4.0;38.0
357;Type: Couple, with child(ren);Caribbean Netherlands;2017;3.5;40.0
358;Type: Couple, with child(ren);Caribbean Netherlands;2018;1.2;46.0
359;Type: Couple, with child(ren);Caribbean Netherlands;2019;6.0;34.0
360;Type: Couple, with child(ren);Caribbean Netherlands;2020;4.9;37.0
361;Type: Couple, with child(ren);Caribbean Netherlands;2021;3.2;40.0
362;Type: Couple, with child(ren);Caribbean Netherlands;2022;-4.1;60.0
363;Type: Couple, with child(ren);Bonaire;2012;4.7;42.0
364;Type: Couple, with child(ren);Bonaire;2013;2.8;43.0
365;Type: Couple, with child(ren);Bonaire;2014;4.3;40.0
366;Type: Couple, with child(ren);Bonaire;2015;5.9;34.0
367;Type: Couple, with child(ren);Bonaire;2016;4.1;38.0
368;Type: Couple, with child(ren);Bonaire;2017;3.7;39.0
369;Type: Couple, with child(ren);Bonaire;2018;0.8;48.0
370;Type: Couple, with child(ren);Bonaire;2019;5.6;35.0
371;Type: Couple, with child(ren);Bonaire;2020;5.4;35.0
372;Type: Couple, with child(ren);Bonaire;2021;3.3;41.0
373;Type: Couple, with child(ren);Bonaire;2022;-4.6;61.0
374;Type: Couple, with child(ren);St. Eustatius;2012;5.6;41.0
375;Type: Couple, with child(ren);St. Eustatius;2013;4.0;39.0
376;Type: Couple, with child(ren);St. Eustatius;2014;1.6;46.0
377;Type: Couple, with child(ren);St. Eustatius;2015;8.7;32.0
378;Type: Couple, with child(ren);St. Eustatius;2016;1.8;46.0
379;Type: Couple, with child(ren);St. Eustatius;2017;4.1;41.0
380;Type: Couple, with child(ren);St. Eustatius;2018;4.8;37.0
381;Type: Couple, with child(ren);St. Eustatius;2019;9.1;30.0
382;Type: Couple, with child(ren);St. Eustatius;2020;-0.9;51.0
383;Type: Couple, with child(ren);St. Eustatius;2021;1.8;43.0
384;Type: Couple, with child(ren);St. Eustatius;2022;-3.0;56.0
385;Type: Couple, with child(ren);Saba;2012;7.8;30.0
386;Type: Couple, with child(ren);Saba;2013;5.1;32.0
387;Type: Couple, with child(ren);Saba;2014;3.3;38.0
388;Type: Couple, with child(ren);Saba;2015;5.2;31.0
389;Type: Couple, with child(ren);Saba;2016;7.8;30.0
390;Type: Couple, with child(ren);Saba;2017;1.7;41.0
391;Type: Couple, with child(ren);Saba;2018;0.5;47.0
392;Type: Couple, with child(ren);Saba;2019;7.3;29.0
393;Type: Couple, with child(ren);Saba;2020;3.5;40.0
394;Type: Couple, with child(ren);Saba;2021;4.0;32.0
395;Type: Couple, with child(ren);Saba;2022;0.5;49.0
396;Type: Couple, all children < 18 yrs;Caribbean Netherlands;2012;4.5;41.0
397;Type: Couple, all children < 18 yrs;Caribbean Netherlands;2013;3.6;40.0
398;Type: Couple, all children < 18 yrs;Caribbean Netherlands;2014;4.0;41.0
399;Type: Couple, all children < 18 yrs;Caribbean Netherlands;2015;6.1;33.0
400;Type: Couple, all children < 18 yrs;Caribbean Netherlands;2016;4.1;37.0
401;Type: Couple, all children < 18 yrs;Caribbean Netherlands;2017;3.4;40.0
402;Type: Couple, all children < 18 yrs;Caribbean Netherlands;2018;0.9;47.0
403;Type: Couple, all children < 18 yrs;Caribbean Netherlands;2019;6.6;31.0
404;Type: Couple, all children < 18 yrs;Caribbean Netherlands;2020;5.1;35.0
405;Type: Couple, all children < 18 yrs;Caribbean Netherlands;2021;3.2;39.0
406;Type: Couple, all children < 18 yrs;Caribbean Netherlands;2022;-4.7;61.0
407;Type: Couple, all children < 18 yrs;Bonaire;2012;3.6;42.0
408;Type: Couple, all children < 18 yrs;Bonaire;2013;3.1;42.0
409;Type: Couple, all children < 18 yrs;Bonaire;2014;4.6;40.0
410;Type: Couple, all children < 18 yrs;Bonaire;2015;6.2;34.0
411;Type: Couple, all children < 18 yrs;Bonaire;2016;4.1;38.0
412;Type: Couple, all children < 18 yrs;Bonaire;2017;3.7;39.0
413;Type: Couple, all children < 18 yrs;Bonaire;2018;0.9;47.0
414;Type: Couple, all children < 18 yrs;Bonaire;2019;6.1;32.0
415;Type: Couple, all children < 18 yrs;Bonaire;2020;5.4;33.0
416;Type: Couple, all children < 18 yrs;Bonaire;2021;3.4;40.0
417;Type: Couple, all children < 18 yrs;Bonaire;2022;-5.4;63.0
418;Type: Couple, all children < 18 yrs;St. Eustatius;2012;6.1;37.0
419;Type: Couple, all children < 18 yrs;St. Eustatius;2013;5.1;33.0
420;Type: Couple, all children < 18 yrs;St. Eustatius;2014;1.6;47.0
421;Type: Couple, all children < 18 yrs;St. Eustatius;2015;9.0;30.0
422;Type: Couple, all children < 18 yrs;St. Eustatius;2016;3.2;41.0
423;Type: Couple, all children < 18 yrs;St. Eustatius;2017;3.6;42.0
424;Type: Couple, all children < 18 yrs;St. Eustatius;2018;3.4;40.0
425;Type: Couple, all children < 18 yrs;St. Eustatius;2019;8.7;29.0
426;Type: Couple, all children < 18 yrs;St. Eustatius;2020;1.5;47.0
427;Type: Couple, all children < 18 yrs;St. Eustatius;2021;1.6;44.0
428;Type: Couple, all children < 18 yrs;St. Eustatius;2022;-3.0;56.0
429;Type: Couple, all children < 18 yrs;Saba;2012;5.3;34.0
430;Type: Couple, all children < 18 yrs;Saba;2013;5.8;28.0
431;Type: Couple, all children < 18 yrs;Saba;2014;3.1;40.0
432;Type: Couple, all children < 18 yrs;Saba;2015;2.8;37.0
433;Type: Couple, all children < 18 yrs;Saba;2016;6.8;26.0
434;Type: Couple, all children < 18 yrs;Saba;2017;0.7;44.0
