ID;Persoonskenmerken;Marges;CaribischNederland;Perioden;GeenGodsdienst_1;RoomsKatholiek_2;Pinkstergemeente_3;Protestant_4;Adventist_5;Methodist_6;Evangelisch_7;Anglicaans_8;Islam_9;Jehova_10;Hindoeisme_11;Anders_12;EenKeerPerWeekOfVaker_13;TweeTotDrieKeerPerMaand_14;EenKeerPerMaand_15;MinderDanEenKeerPerMaand_16;ZeldenOfNooit_17
15;Totaal persoonskenmerken;Betrouwbaarheidsmarge;Bonaire;2013;2.3;3.3;1.7;1.1;0.7;;1.5;;;0.8;0.6;1.1;3.4;2.5;2.4;2.5;3.5
16;Totaal persoonskenmerken;Betrouwbaarheidsmarge;Bonaire;2017/2018;2.4;3.1;1.5;1.0;0.9;;1.0;;;0.9;0.5;1.2;3.1;2.1;2.3;2.5;3.3
17;Totaal persoonskenmerken;Betrouwbaarheidsmarge;Bonaire;2021;2.5;3.5;1.5;1.3;1.0;;1.7;0.4;;0.8;;1.6;3.4;2.2;2.5;2.3;3.8
18;Totaal persoonskenmerken;Betrouwbaarheidsmarge;Sint-Eustatius;2013;6.4;7.2;3.5;;6.4;7.0;;3.4;;;;5.4;8.4;4.9;5.2;6.9;9.2
19;Totaal persoonskenmerken;Betrouwbaarheidsmarge;Sint-Eustatius;2017/2018;3.7;4.4;2.7;;3.9;4.6;;1.6;;1.3;;1.6;5.3;3.9;3.0;3.2;5.4
20;Totaal persoonskenmerken;Betrouwbaarheidsmarge;Sint-Eustatius;2021;3.8;3.9;1.6;;3.6;4.0;1.4;1.2;;1.0;;1.3;4.8;3.2;2.6;3.1;5.2
21;Totaal persoonskenmerken;Betrouwbaarheidsmarge;Saba;2013;6.1;8.0;2.9;2.7;;;3.0;4.4;3.8;;;4.9;7.7;6.3;5.0;5.2;8.7
22;Totaal persoonskenmerken;Betrouwbaarheidsmarge;Saba;2017/2018;5.3;6.1;;;1.5;;1.7;3.3;;;1.7;4.2;5.4;4.8;4.4;4.0;7.1
23;Totaal persoonskenmerken;Betrouwbaarheidsmarge;Saba;2021;4.8;6.0;3.0;;2.2;;1.8;3.4;;;;2.9;6.1;4.7;3.4;4.5;6.5
24;Geslacht: mannen;Percentage;Caribisch Nederland;2013;14.4;60.1;3.9;2.0;4.2;3.8;1.9;1.7;1.0;0.7;0.6;5.7;21.0;11.0;12.0;14.8;41.2
25;Geslacht: mannen;Percentage;Caribisch Nederland;2017/2018;22.7;46.4;5.1;1.8;5.2;7.3;1.5;1.9;0.7;1.6;1.0;4.9;21.6;9.1;11.3;13.5;44.6
26;Geslacht: mannen;Percentage;Caribisch Nederland;2021;21.8;46.4;4.3;2.1;5.4;7.9;3.2;2.9;;1.2;0.5;4.0;20.6;9.4;8.0;9.2;52.9
27;Geslacht: mannen;Percentage;Bonaire;2013;12.9;71.0;4.9;2.6;1.4;;2.3;;;0.9;;3.1;21.9;13.3;11.9;13.6;39.4
28;Geslacht: mannen;Percentage;Bonaire;2017/2018;22.3;57.7;5.7;2.4;2.1;;2.0;;0.9;1.7;1.1;3.9;21.7;9.2;12.2;15.1;41.9
29;Geslacht: mannen;Percentage;Bonaire;2021;16.7;61.0;5.0;3.7;1.2;;4.9;;;1.2;;4.5;22.5;8.4;9.8;8.8;50.5
30;Geslacht: mannen;Percentage;Sint-Eustatius;2013;17.7;22.9;;;17.7;21.4;;5.1;;;;13.4;;;;;
31;Geslacht: mannen;Percentage;Sint-Eustatius;2017/2018;20.7;20.8;5.9;;15.2;29.5;;2.6;;2.4;;2.6;27.7;9.3;7.8;10.0;45.2
32;Geslacht: mannen;Percentage;Sint-Eustatius;2021;31.6;20.5;3.0;;13.3;25.3;;2.1;;1.7;;;17.3;9.5;6.3;7.7;59.2
33;Geslacht: mannen;Percentage;Saba;2013;21.1;43.5;;;;;;8.9;9.6;;;12.0;18.3;9.9;11.0;15.8;45.0
34;Geslacht: mannen;Percentage;Saba;2017/2018;27.7;39.0;;;;;;8.8;;;;12.1;10.8;8.6;13.3;12.1;55.2
35;Geslacht: mannen;Percentage;Saba;2021;19.9;47.5;4.3;;4.5;;;11.3;;;;7.5;19.2;12.6;4.4;12.5;51.3
36;Geslacht: mannen;Betrouwbaarheidsmarge;Caribisch Nederland;2013;2.9;4.0;1.6;1.2;1.6;1.6;1.1;1.1;0.8;0.7;0.6;1.9;3.6;2.8;2.9;3.2;4.4
37;Geslacht: mannen;Betrouwbaarheidsmarge;Caribisch Nederland;2017/2018;2.9;3.4;1.5;0.9;1.5;1.8;0.8;0.9;0.6;0.9;0.7;1.5;3.2;2.2;2.5;2.6;3.9
38;Geslacht: mannen;Betrouwbaarheidsmarge;Caribisch Nederland;2021;2.9;3.5;1.5;1.0;1.6;1.9;1.3;1.2;;0.8;0.5;1.4;3.3;2.4;2.2;2.3;4.0
39;Geslacht: mannen;Betrouwbaarheidsmarge;Bonaire;2013;3.2;4.4;2.1;1.5;1.1;;1.4;;;0.9;;1.7;4.3;3.5;3.4;3.5;5.1
40;Geslacht: mannen;Betrouwbaarheidsmarge;Bonaire;2017/2018;3.6;4.3;2.0;1.3;1.3;;1.2;;0.8;1.1;0.9;1.7;4.1;2.8;3.2;3.5;4.9
41;Geslacht: mannen;Betrouwbaarheidsmarge;Bonaire;2021;3.7;4.8;2.2;1.9;1.1;;2.1;;;1.1;;2.0;4.5;3.0;3.2;3.1;5.4
42;Geslacht: mannen;Betrouwbaarheidsmarge;Sint-Eustatius;2013;8.7;9.5;;;8.7;9.3;;5.0;;;;7.8;;;;;
43;Geslacht: mannen;Betrouwbaarheidsmarge;Sint-Eustatius;2017/2018;5.8;5.8;3.4;;5.1;6.5;;2.3;;2.2;;2.3;7.2;4.6;4.3;4.8;7.9
44;Geslacht: mannen;Betrouwbaarheidsmarge;Sint-Eustatius;2021;6.1;5.3;2.2;;4.4;5.7;;1.9;;1.7;;;6.0;4.6;3.8;4.2;7.8
45;Geslacht: mannen;Betrouwbaarheidsmarge;Saba;2013;9.4;11.4;;;;;;6.5;6.8;;;7.4;10.0;7.7;8.1;9.4;12.9
46;Geslacht: mannen;Betrouwbaarheidsmarge;Saba;2017/2018;7.8;8.5;;;;;;5.0;;;;5.7;6.4;5.8;7.0;6.7;10.3
47;Geslacht: mannen;Betrouwbaarheidsmarge;Saba;2021;6.9;8.6;3.5;;3.6;;;5.4;;;;4.5;7.6;6.4;4.0;6.4;9.7
48;Geslacht: vrouwen;Percentage;Caribisch Nederland;2013;12.1;56.5;8.4;2.7;3.4;3.7;5.7;1.2;;1.8;0.9;3.3;39.1;12.7;10.0;11.7;26.5
49;Geslacht: vrouwen;Percentage;Caribisch Nederland;2017/2018;14.4;51.9;6.6;2.4;5.8;6.4;2.8;1.7;;1.9;;5.7;32.4;14.2;10.7;12.7;30.0
50;Geslacht: vrouwen;Percentage;Caribisch Nederland;2021;14.6;48.0;5.2;1.7;9.5;7.4;5.2;1.7;;1.0;0.4;5.4;34.4;11.3;11.5;11.5;31.2
51;Geslacht: vrouwen;Percentage;Bonaire;2013;11.0;65.1;8.7;2.7;0.9;;7.0;;;2.0;;1.6;39.7;11.4;11.9;12.6;24.4
52;Geslacht: vrouwen;Percentage;Bonaire;2017/2018;14.8;61.8;7.4;3.4;1.7;;3.7;;;2.5;;4.4;31.6;11.7;12.6;16.0;28.0
53;Geslacht: vrouwen;Percentage;Bonaire;2021;13.5;59.5;4.8;2.9;2.9;;7.1;;;1.6;;7.2;29.6;9.7;15.2;11.4;34.1
54;Geslacht: vrouwen;Percentage;Sint-Eustatius;2013;16.6;25.0;7.8;;15.6;21.3;;;;;;8.3;40.8;14.8;;11.9;30.1
55;Geslacht: vrouwen;Percentage;Sint-Eustatius;2017/2018;8.6;26.9;8.7;;20.7;27.5;;2.6;;;;2.7;39.6;18.4;7.5;8.6;26.0
56;Geslacht: vrouwen;Percentage;Sint-Eustatius;2021;12.2;26.2;3.5;;24.7;24.2;3.7;;;;;2.7;40.8;11.4;7.0;10.9;29.9
57;Geslacht: vrouwen;Percentage;Saba;2013;13.0;40.5;6.8;4.9;;;;7.5;;;;8.6;32.3;19.6;6.7;;37.7
58;Geslacht: vrouwen;Percentage;Saba;2017/2018;20.8;48.4;;;;;;6.8;;;;14.9;24.3;17.7;8.1;5.4;44.6
59;Geslacht: vrouwen;Percentage;Saba;2021;20.9;52.5;9.0;;2.8;;2.6;6.6;;;;4.9;37.0;15.9;8.8;12.8;25.5
60;Geslacht: vrouwen;Betrouwbaarheidsmarge;Caribisch Nederland;2013;2.9;4.4;2.4;1.4;1.6;1.6;2.0;0.9;;1.2;0.8;1.6;4.6;3.1;2.8;3.0;4.1
61;Geslacht: vrouwen;Betrouwbaarheidsmarge;Caribisch Nederland;2017/2018;2.5;3.5;1.7;1.1;1.6;1.7;1.2;0.9;;1.0;;1.6;3.6;2.6;2.4;2.5;3.5
62;Geslacht: vrouwen;Betrouwbaarheidsmarge;Caribisch Nederland;2021;2.6;3.6;1.6;0.9;2.1;1.9;1.6;0.9;;0.7;0.4;1.6;3.7;2.5;2.5;2.5;3.6
63;Geslacht: vrouwen;Betrouwbaarheidsmarge;Bonaire;2013;3.2;4.9;2.9;1.6;0.9;;2.6;;;1.4;;1.3;5.3;3.4;3.5;3.6;4.7
64;Geslacht: vrouwen;Betrouwbaarheidsmarge;Bonaire;2017/2018;3.2;4.4;2.4;1.6;1.2;;1.7;;;1.4;;1.8;4.5;3.1;3.2;3.6;4.4
65;Geslacht: vrouwen;Betrouwbaarheidsmarge;Bonaire;2021;3.5;5.0;2.2;1.7;1.7;;2.6;;;1.3;;2.6;5.0;3.3;4.0;3.5;5.2
66;Geslacht: vrouwen;Betrouwbaarheidsmarge;Sint-Eustatius;2013;9.6;11.2;6.9;;9.4;10.6;;;;;;7.1;13.9;10.0;;9.2;13.0
67;Geslacht: vrouwen;Betrouwbaarheidsmarge;Sint-Eustatius;2017/2018;4.2;6.6;4.2;;6.1;6.7;;2.4;;;;2.4;7.7;6.1;4.1;4.4;6.9
68;Geslacht: vrouwen;Betrouwbaarheidsmarge;Sint-Eustatius;2021;4.3;5.8;2.4;;5.7;5.6;2.5;;;;;2.1;6.9;4.5;3.6;4.4;6.4
69;Geslacht: vrouwen;Betrouwbaarheidsmarge;Saba;2013;7.7;11.2;5.8;4.9;;;;6.0;;;;6.4;11.5;9.7;6.1;;11.9
70;Geslacht: vrouwen;Betrouwbaarheidsmarge;Saba;2017/2018;7.1;8.8;;;;;;4.4;;;;6.3;8.4;7.5;5.4;4.5;9.8
71;Geslacht: vrouwen;Betrouwbaarheidsmarge;Saba;2021;6.8;8.3;4.7;;2.8;;2.6;4.1;;;;3.6;9.0;6.8;5.3;6.2;8.1
72;Leeftijd: 15 tot 45 jaar;Percentage;Caribisch Nederland;2013;15.7;55.2;6.7;1.5;3.9;3.8;4.4;1.5;1.4;1.4;;3.9;25.4;11.1;9.2;13.2;41.2
73;Leeftijd: 15 tot 45 jaar;Percentage;Caribisch Nederland;2017/2018;21.6;47.8;5.5;1.6;4.2;7.1;1.8;2.2;0.7;1.9;;5.1;20.3;11.7;11.6;14.0;42.3
74;Leeftijd: 15 tot 45 jaar;Percentage;Caribisch Nederland;2021;21.3;44.0;5.5;1.9;6.2;7.8;3.9;2.4;;;;5.8;19.4;10.2;11.9;10.5;48.1
75;Leeftijd: 15 tot 45 jaar;Percentage;Bonaire;2013;14.9;63.8;7.4;1.5;1.6;;5.4;;;1.8;;2.7;27.0;11.9;9.6;12.8;38.7
76;Leeftijd: 15 tot 45 jaar;Percentage;Bonaire;2017/2018;20.6;58.9;7.3;2.0;1.4;;2.4;;;2.3;;4.0;22.7;9.7;12.0;16.6;39.1
77;Leeftijd: 15 tot 45 jaar;Percentage;Bonaire;2021;17.8;55.8;6.7;3.0;1.9;;5.0;;;1.0;;7.6;22.5;8.5;14.0;8.9;46.2
78;Leeftijd: 15 tot 45 jaar;Percentage;Sint-Eustatius;2013;18.1;31.0;;;14.9;21.1;;;;;;;17.6;8.1;7.4;17.7;49.2
79;Leeftijd: 15 tot 45 jaar;Percentage;Sint-Eustatius;2017/2018;19.6;24.8;4.4;;13.7;30.9;;2.7;;;;;21.8;15.1;9.1;9.9;44.1
80;Leeftijd: 15 tot 45 jaar;Percentage;Sint-Eustatius;2021;26.5;24.9;2.5;;14.9;25.3;2.0;;;;;;14.5;11.8;10.5;12.5;50.7
81;Leeftijd: 15 tot 45 jaar;Percentage;Saba;2013;17.5;35.7;4.4;;;;4.4;7.2;8.8;;;11.0;26.0;10.0;9.2;9.4;45.4
82;Leeftijd: 15 tot 45 jaar;Percentage;Saba;2017/2018;27.3;39.2;;;;;;8.7;;;;12.7;10.1;14.6;13.6;10.4;51.4
83;Leeftijd: 15 tot 45 jaar;Percentage;Saba;2021;22.4;42.4;7.2;;3.9;;4.0;10.3;;;;8.0;17.8;12.6;8.0;12.1;49.5
84;Leeftijd: 15 tot 45 jaar;Betrouwbaarheidsmarge;Caribisch Nederland;2013;3.1;4.2;2.1;1.0;1.6;1.6;1.7;1.0;1.0;1.0;;1.6;4.0;2.9;2.6;3.1;4.5
85;Leeftijd: 15 tot 45 jaar;Betrouwbaarheidsmarge;Caribisch Nederland;2017/2018;2.9;3.5;1.6;0.9;1.4;1.8;0.9;1.0;0.6;0.9;;1.5;3.2;2.5;2.5;2.7;3.9
86;Leeftijd: 15 tot 45 jaar;Betrouwbaarheidsmarge;Caribisch Nederland;2021;3.0;3.7;1.7;1.0;1.8;2.0;1.4;1.1;;;;1.7;3.3;2.5;2.7;2.6;4.2
87;Leeftijd: 15 tot 45 jaar;Betrouwbaarheidsmarge;Bonaire;2013;3.5;4.8;2.6;1.2;1.2;;2.3;;;1.3;;1.6;4.8;3.5;3.2;3.6;5.3
88;Leeftijd: 15 tot 45 jaar;Betrouwbaarheidsmarge;Bonaire;2017/2018;3.7;4.5;2.4;1.3;1.1;;1.4;;;1.4;;1.8;4.3;3.0;3.3;3.8;5.0
89;Leeftijd: 15 tot 45 jaar;Betrouwbaarheidsmarge;Bonaire;2021;4.0;5.2;2.6;1.8;1.4;;2.3;;;1.0;;2.7;4.8;3.2;4.0;3.3;5.7
90;Leeftijd: 15 tot 45 jaar;Betrouwbaarheidsmarge;Sint-Eustatius;2013;9.2;11.0;;;8.5;9.7;;;;;;;10.1;7.2;6.9;10.1;13.2
91;Leeftijd: 15 tot 45 jaar;Betrouwbaarheidsmarge;Sint-Eustatius;2017/2018;6.0;6.5;3.1;;5.2;7.0;;2.4;;;;;6.9;6.0;4.8;5.0;8.3
92;Leeftijd: 15 tot 45 jaar;Betrouwbaarheidsmarge;Sint-Eustatius;2021;6.0;5.9;2.1;;4.8;5.9;1.9;;;;;;5.6;5.1;4.9;5.3;8.0
93;Leeftijd: 15 tot 45 jaar;Betrouwbaarheidsmarge;Saba;2013;7.7;9.7;4.2;;;;4.2;5.3;5.8;;;6.4;9.8;6.7;6.4;6.5;11.1
94;Leeftijd: 15 tot 45 jaar;Betrouwbaarheidsmarge;Saba;2017/2018;7.3;8.0;;;;;;4.6;;;;5.4;5.8;6.8;6.6;5.9;9.6
95;Leeftijd: 15 tot 45 jaar;Betrouwbaarheidsmarge;Saba;2021;7.1;8.4;4.4;;3.3;;3.3;5.2;;;;4.6;7.4;6.4;5.2;6.3;9.7
96;Leeftijd: 45 jaar of ouder;Percentage;Caribisch Nederland;2013;10.8;61.8;5.3;3.3;3.8;3.7;2.8;1.3;;0.9;0.8;5.3;33.9;12.5;13.0;13.4;27.3
97;Leeftijd: 45 jaar of ouder;Percentage;Caribisch Nederland;2017/2018;16.0;50.3;6.0;2.5;6.6;6.6;2.5;1.5;;1.7;0.7;5.5;33.0;11.7;10.5;12.3;32.6
98;Leeftijd: 45 jaar of ouder;Percentage;Caribisch Nederland;2021;15.5;50.1;4.0;2.0;8.5;7.5;4.5;2.3;;1.4;0.5;3.7;34.6;10.6;8.0;10.3;36.5
99;Leeftijd: 45 jaar of ouder;Percentage;Bonaire;2013;9.1;72.7;5.9;3.9;;;3.5;;;1.1;1.0;2.1;33.5;12.8;14.1;13.4;26.2
100;Leeftijd: 45 jaar of ouder;Percentage;Bonaire;2017/2018;17.0;60.5;5.6;3.6;2.4;;3.2;;;1.9;;4.3;30.0;11.2;12.8;14.8;31.3
101;Leeftijd: 45 jaar of ouder;Percentage;Bonaire;2021;12.9;64.2;3.4;3.6;2.1;;6.8;;;1.8;;4.2;28.8;9.5;11.2;11.1;39.4
102;Leeftijd: 45 jaar of ouder;Percentage;Sint-Eustatius;2013;16.4;16.3;;;18.9;21.6;;;;;;18.3;39.4;;9.4;14.7;30.1
103;Leeftijd: 45 jaar of ouder;Percentage;Sint-Eustatius;2017/2018;10.8;22.7;9.8;;21.5;26.5;;2.6;;;;3.6;43.4;12.9;6.5;8.8;28.5
104;Leeftijd: 45 jaar of ouder;Percentage;Sint-Eustatius;2021;18.2;21.8;3.9;;22.4;24.3;2.4;2.0;;1.6;;2.4;43.0;9.6;3.7;7.1;36.7
105;Leeftijd: 45 jaar of ouder;Percentage;Saba;2013;16.0;53.1;;;;;;9.9;;;;9.0;25.0;23.6;8.0;9.6;33.9
106;Leeftijd: 45 jaar of ouder;Percentage;Saba;2017/2018;20.1;49.7;;;;;;6.6;;;;14.6;27.2;11.8;7.0;6.4;47.6
107;Leeftijd: 45 jaar of ouder;Percentage;Saba;2021;18.5;57.5;6.2;;3.4;;;7.4;;;;4.3;38.6;16.0;5.5;13.2;26.8
108;Leeftijd: 45 jaar of ouder;Betrouwbaarheidsmarge;Caribisch Nederland;2013;2.7;4.2;1.9;1.5;1.6;1.6;1.4;1.0;;0.8;0.8;1.9;4.3;3.0;3.1;3.1;4.1
109;Leeftijd: 45 jaar of ouder;Betrouwbaarheidsmarge;Caribisch Nederland;2017/2018;2.5;3.4;1.6;1.1;1.7;1.7;1.1;0.8;;0.9;0.6;1.5;3.5;2.4;2.3;2.5;3.5
110;Leeftijd: 45 jaar of ouder;Betrouwbaarheidsmarge;Caribisch Nederland;2021;2.5;3.5;1.4;1.0;2.0;1.8;1.5;1.0;;0.8;0.5;1.3;3.6;2.4;2.1;2.3;3.7
111;Leeftijd: 45 jaar of ouder;Betrouwbaarheidsmarge;Bonaire;2013;2.8;4.4;2.3;1.9;;;1.8;;;1.0;1.0;1.4;4.9;3.5;3.6;3.5;4.6
112;Leeftijd: 45 jaar of ouder;Betrouwbaarheidsmarge;Bonaire;2017/2018;3.2;4.2;2.0;1.6;1.3;;1.5;;;1.2;;1.7;4.3;3.0;3.2;3.4;4.4
113;Leeftijd: 45 jaar of ouder;Betrouwbaarheidsmarge;Bonaire;2021;3.3;4.7;1.7;1.8;1.4;;2.5;;;1.3;;2.0;4.7;3.1;3.3;3.3;5.1
114;Leeftijd: 45 jaar of ouder;Betrouwbaarheidsmarge;Sint-Eustatius;2013;9.0;9.0;;;9.5;10.1;;;;;;9.4;13.1;;7.8;9.4;12.3
115;Leeftijd: 45 jaar of ouder;Betrouwbaarheidsmarge;Sint-Eustatius;2017/2018;4.4;5.9;4.2;;5.8;6.3;;2.3;;;;2.6;7.4;5.0;3.7;4.3;6.8
116;Leeftijd: 45 jaar of ouder;Betrouwbaarheidsmarge;Sint-Eustatius;2021;4.9;5.3;2.5;;5.3;5.4;2.0;1.8;;1.6;;1.9;7.0;4.2;2.6;3.6;6.8
117;Leeftijd: 45 jaar of ouder;Betrouwbaarheidsmarge;Saba;2013;9.9;13.4;;;;;;8.1;;;;7.7;12.7;12.5;8.0;8.6;13.9
118;Leeftijd: 45 jaar of ouder;Betrouwbaarheidsmarge;Saba;2017/2018;7.6;9.5;;;;;;4.7;;;;6.7;9.4;6.9;5.4;5.2;10.6
119;Leeftijd: 45 jaar of ouder;Betrouwbaarheidsmarge;Saba;2021;6.5;8.3;4.1;;3.0;;;4.4;;;;3.4;9.2;6.9;4.3;6.4;8.3
120;Leeftijd: 15 tot 25 jaar;Percentage;Caribisch Nederland;2013;20.5;49.2;7.5;;2.9;;5.5;;3.5;;;4.5;31.4;11.5;10.5;12.6;34.1
121;Leeftijd: 15 tot 25 jaar;Percentage;Caribisch Nederland;2017/2018;15.3;54.8;6.7;;4.2;5.9;;4.2;;;;5.0;22.6;13.7;11.5;11.0;41.2
122;Leeftijd: 15 tot 25 jaar;Percentage;Caribisch Nederland;2021;18.6;43.5;3.5;2.1;8.5;10.4;2.9;2.6;;;;6.7;20.8;8.8;10.8;11.1;48.6
123;Leeftijd: 15 tot 25 jaar;Percentage;Bonaire;2013;14.8;59.8;7.9;;;;8.2;;;;;;32.4;12.0;11.8;14.4;29.4
124;Leeftijd: 15 tot 25 jaar;Percentage;Bonaire;2017/2018;15.4;65.3;8.1;;;;;;;;;4.5;24.6;9.4;13.0;10.8;42.3
125;Leeftijd: 15 tot 25 jaar;Percentage;Bonaire;2021;18.7;55.9;;;;;4.7;;;;;11.1;27.8;9.6;8.3;;49.2
126;Leeftijd: 15 tot 25 jaar;Percentage;Sint-Eustatius;2013;;;;;;;;;;;;;;;;;
127;Leeftijd: 15 tot 25 jaar;Percentage;Sint-Eustatius;2017/2018;;;;;;;;;;;;;;;;;
128;Leeftijd: 15 tot 25 jaar;Percentage;Sint-Eustatius;2021;18.5;24.6;;;19.0;29.7;;;;;;;;;;;
129;Leeftijd: 15 tot 25 jaar;Percentage;Saba;2013;;;;;;;;;;;;;;;;;
130;Leeftijd: 15 tot 25 jaar;Percentage;Saba;2017/2018;;;;;;;;;;;;;;;;;
131;Leeftijd: 15 tot 25 jaar;Percentage;Saba;2021;;;;;;;;;;;;;;;;;
132;Leeftijd: 15 tot 25 jaar;Betrouwbaarheidsmarge;Caribisch Nederland;2013;6.2;7.7;4.0;;2.6;;3.5;;2.8;;;3.2;8.0;5.5;5.3;5.7;8.2
133;Leeftijd: 15 tot 25 jaar;Betrouwbaarheidsmarge;Caribisch Nederland;2017/2018;4.7;6.5;3.3;;2.6;3.1;;2.6;;;;2.9;6.0;4.9;4.6;4.5;7.0
134;Leeftijd: 15 tot 25 jaar;Betrouwbaarheidsmarge;Caribisch Nederland;2021;5.8;7.4;2.7;2.1;4.2;4.6;2.5;2.4;;;;3.7;6.7;4.7;5.2;5.2;8.3
135;Leeftijd: 15 tot 25 jaar;Betrouwbaarheidsmarge;Bonaire;2013;6.6;9.2;5.0;;;;5.1;;;;;;9.5;6.6;6.5;7.1;9.3
136;Leeftijd: 15 tot 25 jaar;Betrouwbaarheidsmarge;Bonaire;2017/2018;6.2;8.1;4.7;;;;;;;;;3.5;8.0;5.4;6.2;5.8;9.2
137;Leeftijd: 15 tot 25 jaar;Betrouwbaarheidsmarge;Bonaire;2021;8.3;10.5;;;;;4.5;;;;;6.6;10.5;6.9;6.5;;11.7
138;Leeftijd: 15 tot 25 jaar;Betrouwbaarheidsmarge;Sint-Eustatius;2013;;;;;;;;;;;;;;;;;
139;Leeftijd: 15 tot 25 jaar;Betrouwbaarheidsmarge;Sint-Eustatius;2017/2018;;;;;;;;;;;;;;;;;
140;Leeftijd: 15 tot 25 jaar;Betrouwbaarheidsmarge;Sint-Eustatius;2021;10.3;11.4;;;10.4;12.1;;;;;;;;;;;
141;Leeftijd: 15 tot 25 jaar;Betrouwbaarheidsmarge;Saba;2013;;;;;;;;;;;;;;;;;
142;Leeftijd: 15 tot 25 jaar;Betrouwbaarheidsmarge;Saba;2017/2018;;;;;;;;;;;;;;;;;
143;Leeftijd: 15 tot 25 jaar;Betrouwbaarheidsmarge;Saba;2021;;;;;;;;;;;;;;;;;
144;Leeftijd: 25 tot 45 jaar;Percentage;Caribisch Nederland;2013;13.7;57.7;6.3;1.4;4.3;4.8;3.9;1.6;;1.4;;3.7;23.0;11.0;8.6;13.4;44.0
145;Leeftijd: 25 tot 45 jaar;Percentage;Caribisch Nederland;2017/2018;24.1;45.1;5.0;1.7;4.2;7.5;2.4;1.4;1.0;2.2;;5.1;19.3;10.9;11.7;15.3;42.8
146;Leeftijd: 25 tot 45 jaar;Percentage;Caribisch Nederland;2021;22.2;44.2;6.2;1.8;5.4;7.0;4.2;2.3;;0.7;;5.5;18.9;10.6;12.3;10.3;47.9
147;Leeftijd: 25 tot 45 jaar;Percentage;Bonaire;2013;15.0;65.4;7.2;;1.7;;4.4;;;2.0;;2.5;24.9;11.9;8.7;12.1;42.4
148;Leeftijd: 25 tot 45 jaar;Percentage;Bonaire;2017/2018;22.7;56.4;7.0;2.1;;;3.1;;;2.5;;3.8;21.9;9.8;11.6;19.1;37.7
