ID;Geslacht;Kenmerken;Perioden;EenOfMeerDelictenTotaal_1;MeerDanEenDelictsoort_2;GeweldsdelictenTotaal_3;VechtpartijInOpenbaar_4;VerwondingMetMesOfAnderWapen_5;MishandelingMetLetsel_6;Bedreiging_7;VermogensdelictenTotaal_8;DiefstaldelictenTotaal_9;Fietsdiefstal_10;DiefstalOpSchoolOfWerkTotaal_11;DiefstalOpSchool_12;DiefstalOpWerk_13;Winkeldiefstal_14;PrijsjesVerwisselen_15;Heling_16;VandalismedelictenTotaal_17;OpzettelijkeVernieling_18;Graffiti_19;Brandstichting_20;Zwartrijden_21;RijdenOnderInvloed_22;Wapenbezit_23
10;Mannen en vrouwen;Lft. cat. 1: 18-24 jaar;2001;55.4;26.8;12.5;9.5;0.5;2.9;4.1;26.5;15.6;5.3;9.5;6.9;3.2;4.7;7.5;12.1;12.6;11.1;3.0;0.8;32.4;12.4;8.6
11;Mannen en vrouwen;Lft. cat. 1: 18-24 jaar;2003;55.1;27.1;13.8;9.8;0.6;3.8;5.7;23.0;14.2;5.9;7.9;4.7;4.0;4.7;4.5;10.8;14.6;13.2;2.4;1.1;33.7;12.7;8.1
12;Mannen en vrouwen;Lft. cat. 1: 25-29 jaar;1997;37.7;13.5;4.4;2.7;0.1;1.4;1.5;16.6;7.5;1.6;4.3;1.1;3.2;2.9;5.3;7.5;3.5;3.3;0.1;0.5;14.3;16.6;6.0
13;Mannen en vrouwen;Lft. cat. 1: 25-29 jaar;2001;39.3;12.6;4.7;2.6;0.0;1.3;1.8;11.4;4.2;1.4;1.9;0.1;1.9;1.6;3.9;5.4;3.1;2.4;0.6;0.6;21.9;14.4;3.8
14;Mannen en vrouwen;Lft. cat. 1: 25-29 jaar;2003;39.6;13.8;6.3;3.7;0.3;1.0;3.5;14.9;7.9;1.8;5.0;1.5;3.6;2.5;4.5;6.5;4.7;4.4;0.9;0.0;16.1;15.8;5.3
15;Mannen en vrouwen;Opleidingsniveau: basisonderwijs;1997;48.9;28.8;19.2;14.0;2.0;6.5;6.4;27.8;18.4;3.7;7.2;6.3;1.3;12.5;11.4;10.1;23.9;18.5;8.8;2.7;19.9;10.7;15.5
16;Mannen en vrouwen;Opleidingsniveau: basisonderwijs;2001;52.6;28.5;20.6;13.3;0.9;6.5;8.6;25.9;17.7;4.1;9.6;8.8;1.5;8.3;9.6;7.6;23.3;18.1;10.4;3.1;24.0;13.2;10.4
17;Mannen en vrouwen;Opleidingsniveau: basisonderwijs;2003;50.2;28.2;20.7;13.8;1.7;6.4;8.8;23.5;17.9;5.6;9.8;9.1;1.0;9.3;7.4;6.0;25.4;19.0;10.7;3.2;21.1;13.9;11.4
18;Mannen en vrouwen;Opleidingsniveau: vbo;1997;46.5;22.2;14.5;9.4;0.0;4.7;4.5;25.7;12.6;3.1;7.6;4.6;3.3;4.8;8.4;10.4;10.3;7.7;3.3;1.1;17.3;14.6;13.1
19;Mannen en vrouwen;Opleidingsniveau: vbo;2001;53.1;27.7;17.2;11.8;0.7;4.6;8.5;23.9;13.6;3.2;7.6;4.5;3.7;5.7;6.5;9.6;14.5;11.9;2.9;2.3;25.4;14.4;12.1
20;Mannen en vrouwen;Opleidingsniveau: vbo;2003;52.1;29.2;19.8;15.1;0.8;5.4;7.9;26.3;16.0;7.1;7.8;4.3;3.9;5.8;6.3;11.0;15.9;14.5;4.6;1.5;23.2;17.1;10.1
21;Mannen en vrouwen;Opleidingsniveau: mavo;1997;51.3;28.7;11.5;9.0;0.3;3.1;3.3;29.3;19.2;4.5;11.2;9.7;2.7;11.5;9.9;12.7;21.0;17.3;8.2;0.6;29.9;10.3;13.1
22;Mannen en vrouwen;Opleidingsniveau: mavo;2001;56.7;29.0;18.3;13.4;0.8;5.4;7.3;28.4;19.5;6.0;12.7;9.8;3.7;9.7;6.2;13.2;20.3;18.0;6.0;1.7;32.9;7.2;8.4
23;Mannen en vrouwen;Opleidingsniveau: mavo;2003;59.7;31.9;16.6;12.5;0.3;3.2;6.9;29.7;19.8;5.7;11.6;10.0;2.1;8.0;6.7;11.4;21.5;20.0;3.3;1.4;39.0;10.1;9.8
24;Mannen en vrouwen;Opleidingsniveau: havo, mbo, vwo;1997;46.4;17.5;7.5;5.2;0.1;1.9;2.3;21.8;11.7;4.7;6.2;3.4;2.9;3.7;6.7;9.1;6.4;5.4;1.4;0.5;21.0;13.5;8.0
25;Mannen en vrouwen;Opleidingsniveau: havo, mbo, vwo;2001;48.0;21.2;8.0;6.0;0.3;1.6;2.6;20.8;11.5;4.4;6.0;4.1;2.2;3.6;6.5;9.0;8.1;7.3;1.5;0.5;26.1;14.8;6.6
26;Mannen en vrouwen;Opleidingsniveau: havo, mbo, vwo;2003;48.6;21.8;9.8;6.4;0.4;2.0;4.5;19.4;11.0;3.9;6.2;2.7;4.1;3.3;4.8;8.8;10.2;8.9;2.3;0.7;25.1;16.3;6.9
27;Mannen en vrouwen;Opleidingsniveau: hbo, universiteit;1997;39.4;15.7;1.2;0.3;0.0;0.0;0.9;15.2;7.5;1.1;5.9;1.7;4.5;2.4;5.3;6.4;4.8;4.8;0.4;0.0;25.7;10.3;3.0
28;Mannen en vrouwen;Opleidingsniveau: hbo, universiteit;2001;45.3;14.5;2.3;2.2;0.0;0.6;0.0;13.2;5.8;1.2;3.6;1.8;2.0;1.6;4.7;6.1;4.5;3.2;1.3;0.8;31.6;13.0;2.5
29;Mannen en vrouwen;Opleidingsniveau: hbo, universiteit;2003;41.7;12.5;3.0;2.1;0.0;0.2;0.9;13.5;9.3;1.4;7.3;3.6;3.8;2.7;2.0;5.6;5.6;4.7;1.0;0.0;27.4;9.9;2.7
30;Mannen en vrouwen;Soc.-ec. groep: hogere leidinggevenden;1997;40.4;12.8;2.6;1.2;0.0;0.5;1.4;15.4;6.7;1.6;3.6;0.3;3.3;2.0;4.3;8.9;2.5;2.2;0.0;0.8;22.3;13.9;6.3
31;Mannen en vrouwen;Soc.-ec. groep: hogere leidinggevenden;2001;46.7;16.7;3.7;2.3;0.0;0.8;1.4;14.7;6.9;2.1;3.0;0.5;2.5;2.6;5.3;6.0;4.8;4.1;0.8;0.3;29.8;16.5;4.4
32;Mannen en vrouwen;Soc.-ec. groep: hogere leidinggevenden;2003;;;;;;;;;;;;;;;;;;;;;;;
33;Mannen en vrouwen;Soc.-ec. groep: overige hoofdarbeid;1997;38.2;13.5;5.3;3.0;0.0;2.1;1.8;18.3;7.2;2.6;3.3;1.1;2.2;3.0;7.5;8.1;5.1;4.2;1.4;0.6;18.2;10.8;6.4
34;Mannen en vrouwen;Soc.-ec. groep: overige hoofdarbeid;2001;45.4;17.7;8.3;5.4;0.0;2.2;3.8;17.9;9.6;3.2;5.5;3.6;2.1;2.9;5.1;7.5;6.9;5.9;1.6;0.9;26.7;11.5;5.3
35;Mannen en vrouwen;Soc.-ec. groep: overige hoofdarbeid;2003;;;;;;;;;;;;;;;;;;;;;;;
36;Mannen en vrouwen;Soc.-ec. groep: kleine zelfstandigen;1997;;;;;;;;;;;;;;;;;;;;;;;
37;Mannen en vrouwen;Soc.-ec. groep: kleine zelfstandigen;2001;;;;;;;;;;;;;;;;;;;;;;;
38;Mannen en vrouwen;Soc.-ec. groep: kleine zelfstandigen;2003;;;;;;;;;;;;;;;;;;;;;;;
39;Mannen en vrouwen;Soc.-ec. groep: geschoolde handarbeid;1997;52.6;23.1;13.7;10.8;0.0;2.4;4.0;23.2;16.9;5.3;13.1;5.2;7.9;4.9;5.8;9.7;8.9;8.4;1.3;0.0;18.7;18.7;11.6
40;Mannen en vrouwen;Soc.-ec. groep: geschoolde handarbeid;2001;45.2;23.2;11.9;9.4;0.3;2.7;3.9;21.9;11.2;4.8;6.5;2.7;4.9;3.0;3.8;12.2;8.4;7.7;1.5;0.4;17.4;19.2;6.2
41;Mannen en vrouwen;Soc.-ec. groep: geschoolde handarbeid;2003;;;;;;;;;;;;;;;;;;;;;;;
42;Mannen en vrouwen;Soc.-ec. groep: half/onges. handarbeid;1997;50.5;26.4;17.5;12.8;0.8;7.8;4.7;23.7;14.1;5.8;6.6;3.4;3.3;7.4;7.0;12.1;14.0;11.3;4.4;1.2;20.3;20.8;13.2
43;Mannen en vrouwen;Soc.-ec. groep: half/onges. handarbeid;2001;61.1;35.4;21.2;15.6;1.5;5.4;8.6;29.7;16.3;6.5;10.3;6.7;4.5;5.3;8.2;16.0;20.2;17.2;4.8;2.0;30.8;21.3;12.1
44;Mannen en vrouwen;Soc.-ec. groep: half/onges. handarbeid;2003;;;;;;;;;;;;;;;;;;;;;;;
45;Mannen en vrouwen;Soc.-ec. groep: werkloze beroepsbevolk.;1997;52.4;32.2;16.9;12.8;0.7;4.3;8.0;34.2;22.3;5.3;11.0;8.8;4.6;11.4;9.6;11.9;17.2;11.9;8.6;2.4;28.6;6.0;13.5
46;Mannen en vrouwen;Soc.-ec. groep: werkloze beroepsbevolk.;2001;55.0;25.1;13.4;12.3;1.5;4.1;5.1;28.1;16.0;3.6;9.0;7.7;3.7;10.1;16.3;9.7;13.4;10.5;7.8;2.6;31.1;3.9;13.6
47;Mannen en vrouwen;Soc.-ec. groep: werkloze beroepsbevolk.;2003;59.7;32.8;19.6;18.4;0.8;4.4;8.7;30.5;20.1;8.1;11.1;6.6;5.5;7.8;5.2;13.1;24.2;20.9;7.3;4.1;38.4;7.6;10.6
48;Mannen en vrouwen;Soc.-ec. groep: onderwijs volgend;1997;58.3;30.2;12.7;9.6;0.7;2.5;4.1;32.2;21.3;5.8;12.2;10.6;2.7;10.4;11.9;11.2;20.9;16.7;7.6;1.5;31.9;8.2;13.9
49;Mannen en vrouwen;Soc.-ec. groep: onderwijs volgend;2001;57.2;28.8;16.2;12.6;0.5;4.3;5.1;27.6;19.9;5.8;12.2;10.6;2.1;8.7;7.9;10.3;18.8;16.1;6.6;1.7;35.0;5.8;9.6
50;Mannen en vrouwen;Soc.-ec. groep: onderwijs volgend;2003;57.0;29.9;16.2;10.5;0.8;3.6;7.3;26.8;18.1;5.4;11.5;9.9;2.1;6.8;7.0;9.4;21.2;18.3;6.5;2.6;36.0;7.2;10.2
51;Mannen en vrouwen;Soc.-ec. groep: arbeidsongeschikt;1997;;;;;;;;;;;;;;;;;;;;;;;
52;Mannen en vrouwen;Soc.-ec. groep: arbeidsongeschikt;2001;;;;;;;;;;;;;;;;;;;;;;;
53;Mannen en vrouwen;Soc.-ec. groep: arbeidsongeschikt;2003;;;;;;;;;;;;;;;;;;;;;;;
54;Mannen en vrouwen;Soc.-ec.groep:VUT/pensioen 58-64 jarigen;1997;;;;;;;;;;;;;;;;;;;;;;;
55;Mannen en vrouwen;Soc.-ec.groep:VUT/pensioen 58-64 jarigen;2001;;;;;;;;;;;;;;;;;;;;;;;
56;Mannen en vrouwen;Soc.-ec.groep:VUT/pensioen 58-64 jarigen;2003;;;;;;;;;;;;;;;;;;;;;;;
57;Mannen en vrouwen;Soc.-ec. groep: verzorgt hh. m. minderj.;1997;15.8;8.9;2.1;2.1;0.0;0.0;1.0;11.1;1.9;0.7;0.0;0.0;0.0;1.1;3.2;7.9;1.0;1.0;0.0;0.0;7.0;4.4;6.2
58;Mannen en vrouwen;Soc.-ec. groep: verzorgt hh. m. minderj.;2001;19.3;2.9;0.0;0.0;0.0;0.0;0.0;13.0;4.7;0.0;0.0;0.0;0.0;4.7;5.5;3.8;3.4;3.4;0.0;0.0;5.9;0.0;1.1
59;Mannen en vrouwen;Soc.-ec. groep: verzorgt hh. m. minderj.;2003;33.8;7.1;6.0;2.5;1.1;1.1;3.5;17.6;8.3;1.1;3.4;3.4;1.1;5.0;5.9;10.5;3.8;3.8;0.0;0.0;9.7;1.1;4.7
60;Mannen en vrouwen;Soc.-ec. groep: overige sociale groep;1997;;;;;;;;;;;;;;;;;;;;;;;
61;Mannen en vrouwen;Soc.-ec. groep: overige sociale groep;2001;;;;;;;;;;;;;;;;;;;;;;;
62;Mannen en vrouwen;Soc.-ec. groep: overige sociale groep;2003;;;;;;;;;;;;;;;;;;;;;;;
63;Mannen en vrouwen;Hh.-samenstelling: éénpersoonshuishouden;1997;55.8;22.8;9.0;6.0;0.3;1.8;3.3;22.5;11.3;5.2;6.4;2.5;4.1;3.2;6.7;10.6;9.1;7.6;1.7;1.1;34.8;13.8;7.2
64;Mannen en vrouwen;Hh.-samenstelling: éénpersoonshuishouden;2001;55.2;25.9;9.4;5.8;0.3;3.0;4.8;23.2;14.3;5.0;9.1;4.0;5.6;3.0;7.1;10.4;9.0;6.8;2.7;1.3;34.7;15.8;9.2
65;Mannen en vrouwen;Hh.-samenstelling: éénpersoonshuishouden;2003;50.6;22.5;5.8;2.1;0.3;0.9;3.4;23.0;14.5;4.5;8.4;5.2;3.2;4.8;4.7;9.4;7.9;6.8;1.6;0.0;31.1;13.2;6.8
66;Mannen en vrouwen;Hh.-samenstelling: lid van éénoudergezin;1997;65.4;39.9;19.1;14.9;1.9;5.5;8.8;36.0;23.5;7.7;11.1;8.8;3.7;15.8;15.7;12.6;25.7;18.2;12.6;2.6;34.3;12.8;16.2
67;Mannen en vrouwen;Hh.-samenstelling: lid van éénoudergezin;2001;67.1;34.8;21.9;13.8;1.2;8.5;8.0;33.2;21.2;4.8;12.1;10.9;1.6;9.5;12.1;9.9;24.3;20.5;8.6;4.3;37.6;12.2;13.9
68;Mannen en vrouwen;Hh.-samenstelling: lid van éénoudergezin;2003;61.9;34.5;22.3;13.8;2.5;7.5;10.5;30.8;20.1;9.9;7.5;6.1;2.3;10.5;9.2;12.0;22.4;17.3;8.9;3.9;35.6;12.3;12.4
69;Mannen en vrouwen;Hh.-samenstelling: lid paar z. kinderen;1997;35.4;9.9;3.3;1.9;0.0;1.2;1.2;17.0;7.7;1.7;5.2;1.7;3.5;2.9;6.9;6.0;2.5;2.5;0.4;0.2;11.1;14.1;4.9
70;Mannen en vrouwen;Hh.-samenstelling: lid paar z. kinderen;2001;37.3;11.5;3.5;2.5;0.2;0.3;1.3;14.7;5.4;1.8;2.8;0.9;2.1;1.5;6.0;5.7;3.2;2.6;0.5;0.2;18.3;13.1;3.6
71;Mannen en vrouwen;Hh.-samenstelling: lid paar z. kinderen;2003;38.6;13.0;4.9;3.5;0.0;0.4;2.1;13.8;7.9;1.7;5.5;1.2;4.5;2.1;3.9;5.2;5.4;4.7;1.4;0.2;18.2;14.2;4.8
72;Mannen en vrouwen;Hh.-samenstelling: lid paar met kinderen;1997;45.1;23.7;12.9;9.1;0.7;3.8;3.8;25.1;16.1;3.7;7.8;6.5;1.9;8.7;8.2;9.9;16.5;13.4;5.5;1.2;20.7;10.3;12.3
73;Mannen en vrouwen;Hh.-samenstelling: lid paar met kinderen;2001;49.9;25.0;15.1;11.0;0.5;4.1;5.9;22.3;14.6;3.8;8.2;7.1;1.7;7.1;6.4;8.6;17.2;14.1;6.0;1.8;25.9;12.3;7.9
74;Mannen en vrouwen;Hh.-samenstelling: lid paar met kinderen;2003;49.2;25.0;15.9;11.6;0.6;3.9;6.4;21.3;14.5;4.0;8.8;6.9;2.3;5.9;5.3;7.4;19.1;15.8;5.6;1.8;24.2;14.6;8.4
75;Mannen en vrouwen;Zeer sterk stedelijk;1997;56.1;27.2;9.5;5.0;0.6;4.3;3.3;26.3;12.9;4.0;7.1;4.1;3.3;5.9;8.7;14.1;12.2;8.5;4.5;0.9;38.4;9.4;13.5
76;Mannen en vrouwen;Zeer sterk stedelijk;2001;64.5;28.5;12.6;7.0;0.5;3.8;5.1;26.3;16.6;5.1;7.8;5.6;2.2;8.1;8.1;12.1;13.2;10.7;4.0;1.6;48.9;10.5;7.8
77;Mannen en vrouwen;Zeer sterk stedelijk;2003;62.0;27.9;12.2;7.7;0.4;3.0;6.0;25.5;15.9;3.1;9.0;5.5;4.2;8.1;6.7;10.6;12.2;9.1;4.6;1.4;46.9;10.4;8.5
78;Mannen en vrouwen;Sterk stedelijk;1997;47.7;23.1;11.6;9.2;0.7;2.9;3.2;24.1;13.2;3.2;6.0;4.2;2.1;7.8;9.4;10.6;11.9;9.5;3.8;0.8;24.5;10.7;12.5
79;Mannen en vrouwen;Sterk stedelijk;2001;49.6;22.3;14.3;11.0;0.8;3.6;5.8;23.2;14.9;4.0;8.1;5.6;3.0;6.3;7.0;7.6;13.0;10.8;5.5;1.5;25.0;10.5;8.3
80;Mannen en vrouwen;Sterk stedelijk;2003;48.2;23.1;13.0;8.3;1.1;3.4;5.7;21.4;14.2;4.9;8.1;6.0;2.3;5.3;5.3;8.0;14.2;11.6;4.8;1.7;24.5;12.0;9.2
81;Mannen en vrouwen;Matig stedelijk;1997;45.0;22.2;11.4;8.6;0.8;2.8;4.3;25.3;15.1;4.2;6.5;4.9;1.8;8.0;9.3;8.0;13.8;12.0;4.1;1.7;19.7;12.8;11.2
82;Mannen en vrouwen;Matig stedelijk;2001;47.5;24.0;12.9;9.3;0.4;3.7;5.1;22.5;12.7;2.8;8.0;6.2;2.6;4.8;7.0;8.9;13.2;10.4;4.4;1.6;23.4;13.9;6.2
83;Mannen en vrouwen;Matig stedelijk;2003;46.9;23.5;14.6;10.6;0.7;5.0;6.8;20.7;13.1;5.5;7.6;5.2;2.9;4.3;6.0;8.3;17.7;14.8;4.8;1.7;20.5;15.9;7.7
84;Mannen en vrouwen;Weinig stedelijk;1997;41.3;17.6;10.7;7.8;0.5;3.5;3.4;22.3;14.3;3.1;7.9;6.0;2.5;7.0;8.2;7.7;13.9;11.3;4.7;0.4;13.8;11.9;7.0
85;Mannen en vrouwen;Weinig stedelijk;2001;43.7;22.0;11.9;7.6;0.4;3.5;4.8;18.3;10.6;4.1;6.1;5.4;1.4;4.3;6.8;7.4;17.1;13.5;5.9;2.0;18.2;16.7;7.4
86;Mannen en vrouwen;Weinig stedelijk;2003;44.5;21.6;12.3;8.7;0.6;2.1;4.9;19.8;13.7;4.6;7.8;5.8;2.3;6.0;4.4;6.3;18.3;15.9;4.9;1.0;17.5;18.4;5.9
87;Mannen en vrouwen;Niet stedelijk;1997;41.8;20.9;11.4;7.8;0.3;3.1;3.6;21.3;15.2;4.2;9.5;6.2;4.3;6.8;4.9;7.3;14.6;12.3;5.2;1.7;13.8;19.5;8.2
88;Mannen en vrouwen;Niet stedelijk;2001;46.1;22.5;12.4;9.5;0.4;3.3;5.0;20.6;12.9;2.9;8.9;7.3;1.8;4.3;5.2;8.1;14.7;13.5;3.2;1.4;21.0;17.0;9.5
89;Mannen en vrouwen;Niet stedelijk;2003;45.6;23.3;15.8;12.4;0.2;3.4;5.4;18.9;13.3;3.0;8.9;6.1;3.2;4.3;4.4;5.9;16.3;13.4;4.0;2.1;20.6;14.6;8.5
90;Mannen en vrouwen;Eigen woning;1997;44.5;20.8;10.3;7.2;0.4;2.6;3.2;23.4;14.6;3.2;7.8;6.1;2.2;7.7;7.1;8.6;14.0;11.4;4.4;0.9;19.2;14.0;9.6
91;Mannen en vrouwen;Eigen woning;2001;47.7;23.3;12.8;9.4;0.3;3.3;4.9;21.6;13.4;3.7;7.7;6.3;1.9;6.0;6.9;8.4;14.7;12.0;5.0;1.6;23.5;14.8;7.0
92;Mannen en vrouwen;Eigen woning;2003;46.3;22.2;12.8;9.2;0.4;3.1;4.7;19.2;13.4;3.7;8.1;5.9;2.4;5.2;4.9;6.2;16.3;13.8;4.6;1.4;22.5;15.2;6.6
93;Mannen en vrouwen;Geen eigen woning;1997;48.3;23.7;11.8;8.5;0.8;4.1;4.0;24.5;13.5;4.3;6.7;3.8;3.3;6.5;9.6;10.6;12.2;9.8;4.4;1.2;25.1;11.0;11.7
94;Mannen en vrouwen;Geen eigen woning;2001;53.8;24.5;13.2;8.5;0.8;4.0;5.6;23.1;13.9;4.0;7.7;5.3;2.8;5.1;7.0;9.1;13.5;11.1;4.5;1.6;32.0;11.5;9.0
95;Mannen en vrouwen;Geen eigen woning;2003;54.0;26.1;14.2;9.1;1.1;3.7;7.2;24.5;15.1;5.3;8.3;5.4;3.5;6.4;6.2;10.6;14.6;11.6;4.8;1.7;30.9;12.6;10.1
96;Mannen en vrouwen;Eengezinswoning, vrijstaande woning;1997;45.5;23.0;12.2;9.0;0.6;3.5;4.0;25.2;15.8;3.6;8.1;6.3;2.4;8.5;8.8;9.0;14.8;12.1;5.3;1.2;19.1;13.4;10.7
97;Mannen en vrouwen;Eengezinswoning, vrijstaande woning;2001;48.1;24.2;14.4;10.3;0.6;3.7;5.7;22.0;13.8;4.0;8.0;6.5;2.1;6.0;6.9;8.4;15.5;12.8;5.2;1.8;23.0;13.9;7.7
98;Mannen en vrouwen;Eengezinswoning, vrijstaande woning;2003;47.6;23.9;14.4;10.4;0.8;3.7;5.8;20.9;14.2;4.2;8.4;6.1;2.7;5.6;5.1;7.2;17.4;14.5;5.2;1.5;22.6;14.7;8.2
99;Mannen en vrouwen;Flat, etage-, portiekwoning;1997;48.4;20.3;8.6;4.9;0.6;3.1;2.4;20.2;9.4;3.7;4.7;1.8;2.9;4.0;7.0;10.7;8.6;6.6;2.1;0.8;29.7;11.3;11.2
100;Mannen en vrouwen;Flat, etage-, portiekwoning;2001;55.3;21.2;8.5;4.6;0.4;3.2;3.3;21.5;11.4;3.0;5.8;3.7;2.5;4.2;6.9;8.2;10.2;7.6;3.2;1.6;38.0;12.3;6.3
101;Mannen en vrouwen;Flat, etage-, portiekwoning;2003;52.9;23.1;11.1;6.8;0.3;2.9;5.7;22.2;13.4;4.0;7.2;4.0;3.8;6.9;6.2;10.1;10.7;8.3;3.3;1.7;33.3;13.9;7.4
102;Mannen en vrouwen;Ander woningtype;1997;46.3;19.6;7.4;6.2;0.0;1.7;2.9;23.7;13.7;4.7;8.1;4.5;4.5;5.2;7.3;10.6;13.2;10.9;3.1;1.2;22.2;9.7;6.9
103;Mannen en vrouwen;Ander woningtype;2001;57.6;26.3;10.1;7.9;0.0;2.9;5.7;26.9;18.4;5.4;11.1;6.6;4.4;5.3;7.2;14.4;12.6;10.9;4.6;0.0;38.6;11.3;14.3
104;Mannen en vrouwen;Ander woningtype;2003;59.8;24.2;7.6;2.9;0.0;1.1;4.3;24.4;15.0;8.0;9.1;7.4;1.7;2.1;5.6;8.7;11.7;10.0;2.7;0.4;40.2;8.2;7.7
105;Mannen en vrouwen;Lft. cat. 2: 0-14 jaar;1997;39.8;22.4;14.9;9.9;1.5;4.7;4.2;23.5;16.2;1.0;6.1;6.1;0.2;12.2;10.1;5.5;21.2;17.3;7.3;1.4;13.2;;9.7
106;Mannen en vrouwen;Lft. cat. 2: 0-14 jaar;2001;46.2;24.6;16.9;9.3;0.6;5.3;8.0;21.5;14.5;1.0;8.3;8.3;0.3;7.7;7.8;4.6;24.9;18.2;10.8;3.7;17.4;;7.7
107;Mannen en vrouwen;Lft. cat. 2: 0-14 jaar;2003;40.2;20.3;14.1;9.3;0.9;3.9;5.5;16.5;13.3;1.6;7.7;7.4;0.4;7.8;5.9;1.5;22.6;15.5;9.2;2.6;13.8;;6.6
108;Mannen en vrouwen;Lft. cat. 2: 15-24 jaar;1997;53.8;27.7;14.2;10.6;0.7;4.1;4.7;28.8;17.9;5.8;9.6;7.4;3.0;8.6;9.7;12.0;17.4;13.7;6.4;1.4;29.4;8.5;13.8
109;Mannen en vrouwen;Lft. cat. 2: 15-24 jaar;2001;57.7;30.0;16.6;12.7;0.8;4.4;6.3;28.7;18.8;6.1;11.0;8.6;3.1;7.3;8.4;11.9;17.5;15.1;5.4;1.6;32.8;12.4;10.1
110;Mannen en vrouwen;Lft. cat. 2: 15-24 jaar;2003;57.4;30.2;16.9;12.1;0.8;4.4;7.0;26.3;17.6;6.6;10.1;7.5;3.3;6.7;5.7;10.6;19.3;16.7;5.3;2.0;34.8;12.7;9.9
111;Mannen en vrouwen;Lft. cat. 2: 15-19 jaar;1997;60.1;34.4;18.8;14.2;0.7;5.1;6.2;34.6;23.8;6.4;13.2;11.8;2.9;13.5;12.4;13.2;27.7;21.0;11.5;2.1;32.1;2.7;18.6
112;Mannen en vrouwen;Lft. cat. 2: 15-19 jaar;2001;64.6;37.1;23.8;18.1;1.2;6.8;9.8;34.1;24.8;8.4;14.4;11.7;3.7;11.0;8.9;13.3;25.4;22.1;8.5;2.6;38.3;6.1;11.8
113;Mannen en vrouwen;Lft. cat. 2: 15-19 jaar;2003;63.2;36.2;23.0;16.8;1.0;6.0;9.9;32.0;22.8;8.4;13.0;10.9;2.7;9.5;7.2;10.7;26.8;22.9;8.6;3.3;38.5;8.4;12.4
