ID;Geslacht;Leeftijd;Afstudeerrichting;Herkomstgroepering;Peilmoment;BedrijfstakkenBranchesSBI93;Perioden;LoonVanWerknemersTotaal_1;LoonVanWerknemersVoltijd_2;LoonVanWerknemersTotaal_3;LoonVanWerknemersVoltijd_4;LoonVanWerknemersTotaal_5;LoonVanWerknemersVoltijd_6;LoonVanWerknemersTotaal_7;LoonVanWerknemersVoltijd_8;LoonVanWerknemersTotaal_9;LoonVanWerknemersVoltijd_10;LoonVanWerknemersTotaal_11;LoonVanWerknemersVoltijd_12;LoonVanWerknemersTotaal_13;LoonVanWerknemersVoltijd_14;LoonVanWerknemersTotaal_15;LoonVanWerknemersVoltijd_16
59;Totaal mannen en vrouwen;0;0;0;Één jaar na afstuderen;0;Cohort 2007/'08;;;;;;;;;;;;;;;;
60;Totaal mannen en vrouwen;0;0;0;Één jaar na afstuderen;1;Cohort 2004/'05;2.1;2.4;2.1;2.3;2.1;2.3;;;2.0;2.6;;;2.0;2.6;;
61;Totaal mannen en vrouwen;0;0;0;Één jaar na afstuderen;1;Cohort 2005/'06;2.1;2.5;2.1;2.5;2.1;2.5;;;2.1;2.8;;;2.1;2.8;2.8;2.8
62;Totaal mannen en vrouwen;0;0;0;Één jaar na afstuderen;1;Cohort 2006/'07;2.4;2.7;2.4;2.6;2.4;2.6;;;2.4;2.9;3.1;3.1;2.4;2.9;2.7;2.7
63;Totaal mannen en vrouwen;0;0;0;Één jaar na afstuderen;1;Cohort 2007/'08;;;;;;;;;;;;;;;;
64;Totaal mannen en vrouwen;0;0;0;Één jaar na afstuderen;2;Cohort 2004/'05;2.5;2.6;2.3;2.4;2.3;2.4;0.7;;2.9;2.9;2.7;2.8;2.9;2.9;3.1;3.1
65;Totaal mannen en vrouwen;0;0;0;Één jaar na afstuderen;2;Cohort 2005/'06;2.6;2.7;2.5;2.5;2.5;2.5;0.7;;2.9;3.0;2.2;2.5;2.9;3.0;3.4;3.4
66;Totaal mannen en vrouwen;0;0;0;Één jaar na afstuderen;2;Cohort 2006/'07;2.8;2.8;2.6;2.7;2.6;2.7;1.9;;3.1;3.1;2.8;2.9;3.1;3.2;3.6;3.6
67;Totaal mannen en vrouwen;0;0;0;Één jaar na afstuderen;2;Cohort 2007/'08;;;;;;;;;;;;;;;;
68;Totaal mannen en vrouwen;0;0;0;Één jaar na afstuderen;3;Cohort 2004/'05;2.2;2.4;2.0;2.3;2.1;2.3;1.3;2.7;2.5;2.8;2.0;2.7;2.5;2.8;2.8;2.9
69;Totaal mannen en vrouwen;0;0;0;Één jaar na afstuderen;3;Cohort 2005/'06;2.3;2.5;2.2;2.4;2.2;2.4;1.6;2.4;2.7;3.0;2.3;3.0;2.7;2.9;3.1;3.2
70;Totaal mannen en vrouwen;0;0;0;Één jaar na afstuderen;3;Cohort 2006/'07;2.4;2.7;2.3;2.5;2.3;2.5;1.3;;2.8;3.1;2.3;2.9;2.8;3.1;3.3;3.4
71;Totaal mannen en vrouwen;0;0;0;Één jaar na afstuderen;3;Cohort 2007/'08;;;;;;;;;;;;;;;;
72;Totaal mannen en vrouwen;0;0;0;Één jaar na afstuderen;4;Cohort 2004/'05;1.6;2.1;1.6;2.1;1.6;2.1;0.7;;1.6;2.3;1.4;2.0;1.6;2.3;1.1;
73;Totaal mannen en vrouwen;0;0;0;Één jaar na afstuderen;4;Cohort 2005/'06;1.7;2.1;1.7;2.1;1.7;2.1;1.0;;1.6;2.5;1.3;2.1;1.7;2.6;0.1;
74;Totaal mannen en vrouwen;0;0;0;Één jaar na afstuderen;4;Cohort 2006/'07;1.7;2.2;1.7;2.1;1.7;2.1;0.9;;1.6;2.5;1.5;2.2;1.6;2.5;;
75;Totaal mannen en vrouwen;0;0;0;Één jaar na afstuderen;4;Cohort 2007/'08;;;;;;;;;;;;;;;;
76;Totaal mannen en vrouwen;0;0;0;Één jaar na afstuderen;5;Cohort 2004/'05;2.2;2.4;2.0;2.2;2.0;2.2;0.5;;2.5;2.7;2.1;2.5;2.5;2.7;1.1;
77;Totaal mannen en vrouwen;0;0;0;Één jaar na afstuderen;5;Cohort 2005/'06;2.3;2.5;2.1;2.3;2.2;2.3;1.0;;2.6;2.9;1.9;2.4;2.7;2.9;1.7;2.8
78;Totaal mannen en vrouwen;0;0;0;Één jaar na afstuderen;5;Cohort 2006/'07;2.5;2.6;2.3;2.4;2.3;2.4;0.4;;2.8;3.1;2.5;3.2;2.9;3.1;;
79;Totaal mannen en vrouwen;0;0;0;Één jaar na afstuderen;5;Cohort 2007/'08;;;;;;;;;;;;;;;;
80;Totaal mannen en vrouwen;0;0;0;Één jaar na afstuderen;6;Cohort 2004/'05;2.7;2.8;2.3;2.4;2.3;2.4;1.8;2.8;3.1;3.2;3.4;3.8;3.1;3.2;3.0;1.8
81;Totaal mannen en vrouwen;0;0;0;Één jaar na afstuderen;6;Cohort 2005/'06;3.0;3.0;2.5;2.6;2.5;2.6;2.3;2.5;3.4;3.5;3.4;3.4;3.4;3.5;3.5;
82;Totaal mannen en vrouwen;0;0;0;Één jaar na afstuderen;6;Cohort 2006/'07;3.1;3.2;2.7;2.8;2.7;2.7;8.3;8.3;3.6;3.7;3.2;3.4;3.6;3.7;3.3;3.5
83;Totaal mannen en vrouwen;0;0;0;Één jaar na afstuderen;6;Cohort 2007/'08;;;;;;;;;;;;;;;;
84;Totaal mannen en vrouwen;0;0;0;Één jaar na afstuderen;7;Cohort 2004/'05;2.5;2.5;2.2;2.3;2.3;2.3;1.9;2.2;2.7;2.8;2.4;2.7;2.7;2.8;2.7;2.9
85;Totaal mannen en vrouwen;0;0;0;Één jaar na afstuderen;7;Cohort 2005/'06;2.6;2.7;2.4;2.5;2.4;2.5;2.0;2.5;2.8;2.9;2.4;2.7;2.8;2.9;2.7;2.9
86;Totaal mannen en vrouwen;0;0;0;Één jaar na afstuderen;7;Cohort 2006/'07;2.7;2.8;2.5;2.6;2.5;2.6;2.2;2.7;2.9;3.0;2.8;3.0;3.0;3.0;2.8;2.9
87;Totaal mannen en vrouwen;0;0;0;Één jaar na afstuderen;7;Cohort 2007/'08;;;;;;;;;;;;;;;;
88;Totaal mannen en vrouwen;0;0;0;Één jaar na afstuderen;8;Cohort 2004/'05;1.9;2.4;1.9;2.3;1.9;2.3;1.0;;2.0;2.5;1.5;2.2;2.0;2.5;2.1;2.4
89;Totaal mannen en vrouwen;0;0;0;Één jaar na afstuderen;8;Cohort 2005/'06;2.1;2.5;2.1;2.5;2.1;2.5;1.7;2.3;2.2;2.6;1.8;2.5;2.2;2.6;2.2;3.5
90;Totaal mannen en vrouwen;0;0;0;Één jaar na afstuderen;8;Cohort 2006/'07;2.2;2.6;2.1;2.5;2.1;2.5;1.1;1.9;2.2;2.8;2.0;2.7;2.2;2.7;2.5;4.6
91;Totaal mannen en vrouwen;0;0;0;Één jaar na afstuderen;8;Cohort 2007/'08;;;;;;;;;;;;;;;;
92;Totaal mannen en vrouwen;0;0;0;Één jaar na afstuderen;9;Cohort 2004/'05;2.5;2.6;2.3;2.4;2.3;2.4;1.8;2.4;2.7;2.8;3.0;3.2;2.6;2.7;3.5;3.7
93;Totaal mannen en vrouwen;0;0;0;Één jaar na afstuderen;9;Cohort 2005/'06;2.6;2.7;2.3;2.4;2.3;2.4;2.1;4.0;2.8;2.8;2.7;2.8;2.7;2.8;3.4;3.5
94;Totaal mannen en vrouwen;0;0;0;Één jaar na afstuderen;9;Cohort 2006/'07;2.7;2.8;2.4;2.5;2.4;2.5;2.0;2.1;2.9;3.0;2.7;2.9;2.9;2.9;3.8;4.0
95;Totaal mannen en vrouwen;0;0;0;Één jaar na afstuderen;9;Cohort 2007/'08;;;;;;;;;;;;;;;;
96;Totaal mannen en vrouwen;0;0;0;Één jaar na afstuderen;M Onderwijs;Cohort 2004/'05;2.1;2.4;2.1;2.4;2.1;2.4;2.1;2.5;2.2;2.3;2.0;2.5;2.2;2.3;2.3;2.4
97;Totaal mannen en vrouwen;0;0;0;Één jaar na afstuderen;M Onderwijs;Cohort 2005/'06;2.2;2.5;2.2;2.5;2.2;2.5;2.2;2.5;2.3;2.5;2.3;2.5;2.3;2.5;2.4;2.5
98;Totaal mannen en vrouwen;0;0;0;Één jaar na afstuderen;M Onderwijs;Cohort 2006/'07;2.3;2.6;2.2;2.6;2.2;2.6;2.3;2.6;2.3;2.5;2.2;2.6;2.3;2.5;2.3;2.4
99;Totaal mannen en vrouwen;0;0;0;Één jaar na afstuderen;M Onderwijs;Cohort 2007/'08;;;;;;;;;;;;;;;;
100;Totaal mannen en vrouwen;0;0;0;Één jaar na afstuderen;N Gezondheids- en welzijnszorg;Cohort 2004/'05;2.2;2.7;1.9;2.3;1.9;2.3;1.3;2.3;2.6;2.9;2.2;3.2;2.2;2.5;3.1;3.2
101;Totaal mannen en vrouwen;0;0;0;Één jaar na afstuderen;N Gezondheids- en welzijnszorg;Cohort 2005/'06;2.3;2.7;2.0;2.4;2.0;2.4;1.5;2.4;2.6;3.0;1.9;2.3;2.3;2.6;3.2;3.3
102;Totaal mannen en vrouwen;0;0;0;Één jaar na afstuderen;N Gezondheids- en welzijnszorg;Cohort 2006/'07;2.3;2.8;2.1;2.4;2.1;2.4;1.7;2.4;2.7;3.1;2.0;2.6;2.4;2.7;3.3;3.4
103;Totaal mannen en vrouwen;0;0;0;Één jaar na afstuderen;N Gezondheids- en welzijnszorg;Cohort 2007/'08;;;;;;;;;;;;;;;;
104;Totaal mannen en vrouwen;0;0;0;Één jaar na afstuderen;9000e Milieu, cultuur, recreatie en ..;Cohort 2004/'05;2.0;2.4;1.8;2.2;1.8;2.2;1.6;2.9;2.3;2.6;2.0;3.1;2.2;2.6;2.6;2.7
105;Totaal mannen en vrouwen;0;0;0;Één jaar na afstuderen;9000e Milieu, cultuur, recreatie en ..;Cohort 2005/'06;2.2;2.6;2.0;2.4;2.0;2.4;1.6;3.3;2.4;2.7;2.3;2.9;2.3;2.7;2.8;2.9
106;Totaal mannen en vrouwen;0;0;0;Één jaar na afstuderen;9000e Milieu, cultuur, recreatie en ..;Cohort 2006/'07;2.2;2.5;2.0;2.4;2.0;2.4;1.9;2.9;2.4;2.7;2.1;2.4;2.4;2.7;2.7;2.8
107;Totaal mannen en vrouwen;0;0;0;Één jaar na afstuderen;9000e Milieu, cultuur, recreatie en ..;Cohort 2007/'08;;;;;;;;;;;;;;;;
108;Totaal mannen en vrouwen;0;0;0;Één jaar na afstuderen;Onbekend;Cohort 2004/'05;2.2;2.6;2.1;2.6;2.1;2.6;;;2.6;2.6;;;2.6;2.6;;
109;Totaal mannen en vrouwen;0;0;0;Één jaar na afstuderen;Onbekend;Cohort 2005/'06;1.0;1.9;1.6;2.8;1.6;2.8;;;0.7;1.0;;;0.7;1.0;;
110;Totaal mannen en vrouwen;0;0;0;Één jaar na afstuderen;Onbekend;Cohort 2006/'07;2.2;2.6;2.1;2.6;2.1;2.6;;;2.6;2.5;;;2.6;2.5;;
111;Totaal mannen en vrouwen;0;0;0;Één jaar na afstuderen;Onbekend;Cohort 2007/'08;;;;;;;;;;;;;;;;
112;Totaal mannen en vrouwen;0;0;0;Twee jaar na afstuderen;0;Cohort 2004/'05;2.6;2.9;2.4;2.6;2.4;2.6;2.1;2.6;2.9;3.1;2.6;3.1;2.9;3.1;3.2;3.3
113;Totaal mannen en vrouwen;0;0;0;Twee jaar na afstuderen;0;Cohort 2005/'06;2.8;3.0;2.5;2.8;2.5;2.8;2.3;2.7;3.1;3.3;2.7;3.1;3.1;3.3;3.3;3.4
114;Totaal mannen en vrouwen;0;0;0;Twee jaar na afstuderen;0;Cohort 2006/'07;;;;;;;;;;;;;;;;
115;Totaal mannen en vrouwen;0;0;0;Twee jaar na afstuderen;0;Cohort 2007/'08;;;;;;;;;;;;;;;;
116;Totaal mannen en vrouwen;0;0;0;Twee jaar na afstuderen;1;Cohort 2004/'05;2.4;2.6;2.4;2.6;2.4;2.6;;;2.6;3.1;;;2.6;3.2;2.7;2.7
117;Totaal mannen en vrouwen;0;0;0;Twee jaar na afstuderen;1;Cohort 2005/'06;2.6;2.9;2.5;2.8;2.5;2.8;;;2.8;3.0;1.6;;2.9;3.0;2.4;2.8
118;Totaal mannen en vrouwen;0;0;0;Twee jaar na afstuderen;1;Cohort 2006/'07;;;;;;;;;;;;;;;;
119;Totaal mannen en vrouwen;0;0;0;Twee jaar na afstuderen;1;Cohort 2007/'08;;;;;;;;;;;;;;;;
120;Totaal mannen en vrouwen;0;0;0;Twee jaar na afstuderen;2;Cohort 2004/'05;2.9;2.9;2.7;2.7;2.7;2.7;1.6;;3.3;3.3;2.9;3.1;3.3;3.3;3.9;3.9
121;Totaal mannen en vrouwen;0;0;0;Twee jaar na afstuderen;2;Cohort 2005/'06;3.0;3.1;2.8;2.9;2.8;2.9;1.6;;3.4;3.5;2.7;2.7;3.4;3.5;4.1;4.1
122;Totaal mannen en vrouwen;0;0;0;Twee jaar na afstuderen;2;Cohort 2006/'07;;;;;;;;;;;;;;;;
123;Totaal mannen en vrouwen;0;0;0;Twee jaar na afstuderen;2;Cohort 2007/'08;;;;;;;;;;;;;;;;
124;Totaal mannen en vrouwen;0;0;0;Twee jaar na afstuderen;3;Cohort 2004/'05;2.6;2.8;2.5;2.6;2.5;2.6;2.3;2.9;3.0;3.3;2.3;2.8;3.0;3.3;3.4;3.5
125;Totaal mannen en vrouwen;0;0;0;Twee jaar na afstuderen;3;Cohort 2005/'06;2.8;2.9;2.6;2.7;2.6;2.7;2.3;2.7;3.2;3.4;2.7;3.1;3.2;3.4;3.7;3.9
126;Totaal mannen en vrouwen;0;0;0;Twee jaar na afstuderen;3;Cohort 2006/'07;;;;;;;;;;;;;;;;
127;Totaal mannen en vrouwen;0;0;0;Twee jaar na afstuderen;3;Cohort 2007/'08;;;;;;;;;;;;;;;;
128;Totaal mannen en vrouwen;0;0;0;Twee jaar na afstuderen;4;Cohort 2004/'05;1.9;2.3;1.9;2.2;1.9;2.2;;;1.9;2.6;1.4;2.1;2.0;2.7;1.4;
129;Totaal mannen en vrouwen;0;0;0;Twee jaar na afstuderen;4;Cohort 2005/'06;2.0;2.4;2.0;2.4;2.0;2.4;0.4;;1.9;2.7;1.2;2.3;2.1;2.7;;
