ID;AlleSectoren;Perioden;TotaalWerknemers_1;Voltijdwerknemers_2;Deeltijdwerknemers_3;Mannen_4;Vrouwen_5;GemiddeldContractueelLoon_6;GemiddeldeLeeftijdWerknemers_7
57;Provinciale overheid;2000;12.9;8.9;4.0;8.5;4.4;2729.0;44.5
58;Provinciale overheid;2001;13.4;9.0;4.4;8.7;4.7;2873.0;44.6
59;Provinciale overheid;2002;13.8;9.1;4.7;8.8;5.0;2995.0;44.6
60;Provinciale overheid;2003;13.6;8.7;4.9;8.6;5.1;3131.0;44.7
61;Provinciale overheid;2004;13.3;8.4;4.9;8.3;5.0;3250.0;45.1
62;Provinciale overheid;2005;13.0;7.8;5.1;7.9;5.1;3235.0;44.8
63;Waterschappen;1997;9.0;7.3;1.7;7.0;1.9;2230.0;42.1
64;Waterschappen;1998;9.1;7.4;1.8;7.1;2.0;2321.0;42.5
65;Waterschappen;1999;9.1;7.2;1.8;7.0;2.1;2350.0;42.7
66;Waterschappen;2000;9.3;7.0;2.3;7.1;2.2;2473.0;43.0
67;Waterschappen;2001;9.9;7.1;2.8;7.5;2.4;2679.0;43.5
68;Waterschappen;2002;10.3;7.2;3.1;7.8;2.5;2879.0;44.0
69;Waterschappen;2003;10.5;7.4;3.1;7.9;2.6;2983.0;44.1
70;Waterschappen;2004;10.5;7.5;3.1;7.8;2.7;3001.0;44.2
71;Waterschappen;2005;10.5;7.4;3.0;7.8;2.7;3038.0;44.5
72;Gemeenschappelijke regelingen;1997;17.0;10.8;6.2;10.5;6.5;2332.0;42.5
73;Gemeenschappelijke regelingen;1998;16.6;10.8;5.8;10.0;6.5;2423.0;42.9
74;Gemeenschappelijke regelingen;1999;16.8;10.5;6.3;9.7;7.1;2484.0;43.0
75;Gemeenschappelijke regelingen;2000;17.0;9.9;7.1;9.6;7.4;2583.0;43.4
76;Gemeenschappelijke regelingen;2001;17.5;9.9;7.6;9.8;7.7;2698.0;43.4
77;Gemeenschappelijke regelingen;2002;19.5;10.6;8.8;10.3;9.1;2884.0;43.1
78;Gemeenschappelijke regelingen;2003;19.7;10.4;9.3;10.3;9.4;2863.0;43.5
79;Gemeenschappelijke regelingen;2004;19.6;10.1;9.5;10.1;9.5;2935.0;43.9
80;Gemeenschappelijke regelingen;2005;18.8;9.8;9.0;9.7;9.1;2977.0;44.0
81;Academische ziekenhuizen;1997;39.5;18.8;20.8;13.4;26.2;2036.0;38.1
82;Academische ziekenhuizen;1998;41.7;20.1;21.6;13.8;27.9;2116.0;38.4
83;Academische ziekenhuizen;1999;43.6;21.8;21.8;14.3;29.3;2279.0;38.6
84;Academische ziekenhuizen;2000;45.5;22.6;22.9;15.1;30.4;2436.0;39.0
85;Academische ziekenhuizen;2001;49.7;24.1;25.6;16.6;33.0;2652.0;39.3
86;Academische ziekenhuizen;2002;52.2;24.9;27.3;17.3;34.9;2767.0;39.4
87;Academische ziekenhuizen;2003;53.8;25.4;28.3;17.7;36.1;2905.0;39.6
88;Academische ziekenhuizen;2004;56.8;27.0;29.8;18.9;37.9;2969.0;39.9
89;Academische ziekenhuizen;2005;57.7;27.0;30.7;18.9;38.7;2986.0;40.1
90;Politie;1997;46.6;40.3;6.4;35.4;11.2;2255.0;39.8
91;Politie;1998;47.3;40.9;6.4;35.5;11.9;2312.0;40.2
92;Politie;1999;48.3;41.5;6.8;35.5;12.8;2385.0;40.4
93;Politie;2000;51.0;43.1;7.9;36.7;14.3;2438.0;40.6
94;Politie;2001;53.4;44.6;8.8;37.6;15.8;2515.0;40.5
95;Politie;2002;;;;;;;
96;Politie;2003;;;;;;;
97;Politie;2004;;;;;;;
98;Politie;2005;;;;;;;
