ID;EconomicActivityNCEA2008;Regions;Periods;NumberOfLocalUnits_1
65;A-U All economic activities;Zuid-Holland (PV);2006;156785
66;A-U All economic activities;Zuid-Holland (PV);2007;165120
67;A-U All economic activities;Zuid-Holland (PV);2008;173085
68;A-U All economic activities;Zuid-Holland (PV);2009;183885
69;A-U All economic activities;Zuid-Holland (PV);2010;188815
70;A-U All economic activities;Zeeland (PV);2006;19950
71;A-U All economic activities;Zeeland (PV);2007;20620
72;A-U All economic activities;Zeeland (PV);2008;21030
73;A-U All economic activities;Zeeland (PV);2009;21660
74;A-U All economic activities;Zeeland (PV);2010;22090
75;A-U All economic activities;Noord-Brabant (PV);2006;126855
76;A-U All economic activities;Noord-Brabant (PV);2007;133095
77;A-U All economic activities;Noord-Brabant (PV);2008;140010
78;A-U All economic activities;Noord-Brabant (PV);2009;147250
79;A-U All economic activities;Noord-Brabant (PV);2010;149915
80;A-U All economic activities;Limburg (PV);2006;51285
81;A-U All economic activities;Limburg (PV);2007;53310
82;A-U All economic activities;Limburg (PV);2008;54560
83;A-U All economic activities;Limburg (PV);2009;56550
84;A-U All economic activities;Limburg (PV);2010;57355
85;A-U All economic activities;Oost-Groningen (CR);2006;6465
86;A-U All economic activities;Oost-Groningen (CR);2007;6785
87;A-U All economic activities;Oost-Groningen (CR);2008;6980
88;A-U All economic activities;Oost-Groningen (CR);2009;7335
89;A-U All economic activities;Oost-Groningen (CR);2010;7430
90;A-U All economic activities;Delfzijl en omgeving (CR);2006;2105
91;A-U All economic activities;Delfzijl en omgeving (CR);2007;2160
92;A-U All economic activities;Delfzijl en omgeving (CR);2008;2235
93;A-U All economic activities;Delfzijl en omgeving (CR);2009;2340
94;A-U All economic activities;Delfzijl en omgeving (CR);2010;2315
95;A-U All economic activities;Overig Groningen (CR);2006;16235
96;A-U All economic activities;Overig Groningen (CR);2007;17125
97;A-U All economic activities;Overig Groningen (CR);2008;17775
98;A-U All economic activities;Overig Groningen (CR);2009;18780
99;A-U All economic activities;Overig Groningen (CR);2010;19250
100;A-U All economic activities;Noord-Friesland (CR);2006;15935
101;A-U All economic activities;Noord-Friesland (CR);2007;16825
102;A-U All economic activities;Noord-Friesland (CR);2008;17335
103;A-U All economic activities;Noord-Friesland (CR);2009;18275
104;A-U All economic activities;Noord-Friesland (CR);2010;18720
105;A-U All economic activities;Zuidwest-Friesland (CR);2006;6610
106;A-U All economic activities;Zuidwest-Friesland (CR);2007;6860
107;A-U All economic activities;Zuidwest-Friesland (CR);2008;7030
108;A-U All economic activities;Zuidwest-Friesland (CR);2009;7355
109;A-U All economic activities;Zuidwest-Friesland (CR);2010;7440
110;A-U All economic activities;Zuidoost-Friesland (CR);2006;10845
111;A-U All economic activities;Zuidoost-Friesland (CR);2007;11330
112;A-U All economic activities;Zuidoost-Friesland (CR);2008;11765
113;A-U All economic activities;Zuidoost-Friesland (CR);2009;12320
114;A-U All economic activities;Zuidoost-Friesland (CR);2010;12640
115;A-U All economic activities;Noord-Drenthe (CR);2006;8590
116;A-U All economic activities;Noord-Drenthe (CR);2007;9090
117;A-U All economic activities;Noord-Drenthe (CR);2008;9440
118;A-U All economic activities;Noord-Drenthe (CR);2009;9850
119;A-U All economic activities;Noord-Drenthe (CR);2010;10085
120;A-U All economic activities;Zuidoost-Drenthe (CR);2006;7985
121;A-U All economic activities;Zuidoost-Drenthe (CR);2007;8495
122;A-U All economic activities;Zuidoost-Drenthe (CR);2008;8760
123;A-U All economic activities;Zuidoost-Drenthe (CR);2009;9205
124;A-U All economic activities;Zuidoost-Drenthe (CR);2010;9220
125;A-U All economic activities;Zuidwest-Drenthe (CR);2006;6945
126;A-U All economic activities;Zuidwest-Drenthe (CR);2007;7340
127;A-U All economic activities;Zuidwest-Drenthe (CR);2008;7565
128;A-U All economic activities;Zuidwest-Drenthe (CR);2009;7930
129;A-U All economic activities;Zuidwest-Drenthe (CR);2010;8100
130;A-U All economic activities;Noord-Overijssel (CR);2006;17510
131;A-U All economic activities;Noord-Overijssel (CR);2007;18190
132;A-U All economic activities;Noord-Overijssel (CR);2008;19010
133;A-U All economic activities;Noord-Overijssel (CR);2009;19985
134;A-U All economic activities;Noord-Overijssel (CR);2010;20390
135;A-U All economic activities;Zuidwest-Overijssel (CR);2006;6570
136;A-U All economic activities;Zuidwest-Overijssel (CR);2007;6875
137;A-U All economic activities;Zuidwest-Overijssel (CR);2008;7225
138;A-U All economic activities;Zuidwest-Overijssel (CR);2009;7595
139;A-U All economic activities;Zuidwest-Overijssel (CR);2010;7765
140;A-U All economic activities;Twente (CR);2006;28810
141;A-U All economic activities;Twente (CR);2007;29960
142;A-U All economic activities;Twente (CR);2008;30770
143;A-U All economic activities;Twente (CR);2009;32240
144;A-U All economic activities;Twente (CR);2010;32755
145;A-U All economic activities;Veluwe (CR);2006;33370
146;A-U All economic activities;Veluwe (CR);2007;34825
147;A-U All economic activities;Veluwe (CR);2008;36250
148;A-U All economic activities;Veluwe (CR);2009;38130
149;A-U All economic activities;Veluwe (CR);2010;38940
150;A-U All economic activities;Achterhoek (CR);2006;21795
151;A-U All economic activities;Achterhoek (CR);2007;22505
152;A-U All economic activities;Achterhoek (CR);2008;23010
153;A-U All economic activities;Achterhoek (CR);2009;23945
154;A-U All economic activities;Achterhoek (CR);2010;24240
155;A-U All economic activities;Arnhem/Nijmegen (CR);2006;29915
156;A-U All economic activities;Arnhem/Nijmegen (CR);2007;31445
157;A-U All economic activities;Arnhem/Nijmegen (CR);2008;33035
158;A-U All economic activities;Arnhem/Nijmegen (CR);2009;35045
159;A-U All economic activities;Arnhem/Nijmegen (CR);2010;35940
160;A-U All economic activities;Zuidwest-Gelderland (CR);2006;15005
161;A-U All economic activities;Zuidwest-Gelderland (CR);2007;15700
162;A-U All economic activities;Zuidwest-Gelderland (CR);2008;16475
163;A-U All economic activities;Zuidwest-Gelderland (CR);2009;17140
164;A-U All economic activities;Zuidwest-Gelderland (CR);2010;17405
165;A-U All economic activities;Utrecht (CR);2006;61825
166;A-U All economic activities;Utrecht (CR);2007;65085
167;A-U All economic activities;Utrecht (CR);2008;68615
168;A-U All economic activities;Utrecht (CR);2009;73285
169;A-U All economic activities;Utrecht (CR);2010;75680
170;A-U All economic activities;Kop van Noord-Holland (CR);2006;19395
171;A-U All economic activities;Kop van Noord-Holland (CR);2007;20165
172;A-U All economic activities;Kop van Noord-Holland (CR);2008;21035
173;A-U All economic activities;Kop van Noord-Holland (CR);2009;22085
174;A-U All economic activities;Kop van Noord-Holland (CR);2010;22360
175;A-U All economic activities;Alkmaar en omgeving (CR);2006;10850
176;A-U All economic activities;Alkmaar en omgeving (CR);2007;11395
177;A-U All economic activities;Alkmaar en omgeving (CR);2008;11875
178;A-U All economic activities;Alkmaar en omgeving (CR);2009;12580
179;A-U All economic activities;Alkmaar en omgeving (CR);2010;12925
180;A-U All economic activities;IJmond (CR);2006;8210
181;A-U All economic activities;IJmond (CR);2007;8705
182;A-U All economic activities;IJmond (CR);2008;9075
183;A-U All economic activities;IJmond (CR);2009;9550
184;A-U All economic activities;IJmond (CR);2010;9805
185;A-U All economic activities;Agglomeratie Haarlem (CR);2006;10995
186;A-U All economic activities;Agglomeratie Haarlem (CR);2007;11620
187;A-U All economic activities;Agglomeratie Haarlem (CR);2008;12170
188;A-U All economic activities;Agglomeratie Haarlem (CR);2009;12925
189;A-U All economic activities;Agglomeratie Haarlem (CR);2010;13355
190;A-U All economic activities;Zaanstreek (CR);2006;6815
191;A-U All economic activities;Zaanstreek (CR);2007;7115
192;A-U All economic activities;Zaanstreek (CR);2008;7425
193;A-U All economic activities;Zaanstreek (CR);2009;7950
194;A-U All economic activities;Zaanstreek (CR);2010;8200
195;A-U All economic activities;Groot-Amsterdam (CR);2006;70530
196;A-U All economic activities;Groot-Amsterdam (CR);2007;73985
197;A-U All economic activities;Groot-Amsterdam (CR);2008;77150
198;A-U All economic activities;Groot-Amsterdam (CR);2009;81740
199;A-U All economic activities;Groot-Amsterdam (CR);2010;84305
200;A-U All economic activities;Het Gooi en Vechtstreek (CR);2006;14920
201;A-U All economic activities;Het Gooi en Vechtstreek (CR);2007;16005
202;A-U All economic activities;Het Gooi en Vechtstreek (CR);2008;16930
203;A-U All economic activities;Het Gooi en Vechtstreek (CR);2009;17755
204;A-U All economic activities;Het Gooi en Vechtstreek (CR);2010;18020
205;A-U All economic activities;Agglomeratie Leiden en Bollenstreek (CR);2006;17525
206;A-U All economic activities;Agglomeratie Leiden en Bollenstreek (CR);2007;18530
207;A-U All economic activities;Agglomeratie Leiden en Bollenstreek (CR);2008;19460
208;A-U All economic activities;Agglomeratie Leiden en Bollenstreek (CR);2009;21070
209;A-U All economic activities;Agglomeratie Leiden en Bollenstreek (CR);2010;21515
210;A-U All economic activities;Agglomeratie 's-Gravenhage (CR);2006;33755
211;A-U All economic activities;Agglomeratie 's-Gravenhage (CR);2007;35675
212;A-U All economic activities;Agglomeratie 's-Gravenhage (CR);2008;37755
213;A-U All economic activities;Agglomeratie 's-Gravenhage (CR);2009;41270
214;A-U All economic activities;Agglomeratie 's-Gravenhage (CR);2010;43165
215;A-U All economic activities;Delft en Westland (CR);2006;11685
216;A-U All economic activities;Delft en Westland (CR);2007;12290
217;A-U All economic activities;Delft en Westland (CR);2008;12620
218;A-U All economic activities;Delft en Westland (CR);2009;13265
219;A-U All economic activities;Delft en Westland (CR);2010;13450
220;A-U All economic activities;Oost-Zuid-Holland (CR);2006;17300
221;A-U All economic activities;Oost-Zuid-Holland (CR);2007;18050
222;A-U All economic activities;Oost-Zuid-Holland (CR);2008;18635
223;A-U All economic activities;Oost-Zuid-Holland (CR);2009;18735
224;A-U All economic activities;Oost-Zuid-Holland (CR);2010;17705
225;A-U All economic activities;Groot-Rijnmond (CR);2006;57930
226;A-U All economic activities;Groot-Rijnmond (CR);2007;61490
227;A-U All economic activities;Groot-Rijnmond (CR);2008;64695
228;A-U All economic activities;Groot-Rijnmond (CR);2009;68450
229;A-U All economic activities;Groot-Rijnmond (CR);2010;71545
230;A-U All economic activities;Zuidoost-Zuid-Holland (CR);2006;18590
231;A-U All economic activities;Zuidoost-Zuid-Holland (CR);2007;19090
232;A-U All economic activities;Zuidoost-Zuid-Holland (CR);2008;19915
233;A-U All economic activities;Zuidoost-Zuid-Holland (CR);2009;21095
234;A-U All economic activities;Zuidoost-Zuid-Holland (CR);2010;21435
235;A-U All economic activities;Zeeuwsch-Vlaanderen (CR);2006;6025
236;A-U All economic activities;Zeeuwsch-Vlaanderen (CR);2007;6140
237;A-U All economic activities;Zeeuwsch-Vlaanderen (CR);2008;6170
238;A-U All economic activities;Zeeuwsch-Vlaanderen (CR);2009;6265
239;A-U All economic activities;Zeeuwsch-Vlaanderen (CR);2010;6310
240;A-U All economic activities;Overig Zeeland (CR);2006;13925
241;A-U All economic activities;Overig Zeeland (CR);2007;14480
242;A-U All economic activities;Overig Zeeland (CR);2008;14860
243;A-U All economic activities;Overig Zeeland (CR);2009;15395
244;A-U All economic activities;Overig Zeeland (CR);2010;15780
245;A-U All economic activities;West-Noord-Brabant (CR);2006;30865
246;A-U All economic activities;West-Noord-Brabant (CR);2007;32455
247;A-U All economic activities;West-Noord-Brabant (CR);2008;34290
248;A-U All economic activities;West-Noord-Brabant (CR);2009;36070
249;A-U All economic activities;West-Noord-Brabant (CR);2010;36500
250;A-U All economic activities;Midden-Noord-Brabant (CR);2006;22810
251;A-U All economic activities;Midden-Noord-Brabant (CR);2007;23760
252;A-U All economic activities;Midden-Noord-Brabant (CR);2008;24935
253;A-U All economic activities;Midden-Noord-Brabant (CR);2009;26275
254;A-U All economic activities;Midden-Noord-Brabant (CR);2010;26775
255;A-U All economic activities;Noordoost-Noord-Brabant (CR);2006;35170
256;A-U All economic activities;Noordoost-Noord-Brabant (CR);2007;36810
257;A-U All economic activities;Noordoost-Noord-Brabant (CR);2008;38705
258;A-U All economic activities;Noordoost-Noord-Brabant (CR);2009;40715
259;A-U All economic activities;Noordoost-Noord-Brabant (CR);2010;41630
260;A-U All economic activities;Zuidoost-Noord-Brabant (CR);2006;38010
261;A-U All economic activities;Zuidoost-Noord-Brabant (CR);2007;40070
262;A-U All economic activities;Zuidoost-Noord-Brabant (CR);2008;42080
263;A-U All economic activities;Zuidoost-Noord-Brabant (CR);2009;44190
264;A-U All economic activities;Zuidoost-Noord-Brabant (CR);2010;45010
265;A-U All economic activities;Noord-Limburg (CR);2006;13470
266;A-U All economic activities;Noord-Limburg (CR);2007;13940
267;A-U All economic activities;Noord-Limburg (CR);2008;14285
268;A-U All economic activities;Noord-Limburg (CR);2009;14765
269;A-U All economic activities;Noord-Limburg (CR);2010;14950
270;A-U All economic activities;Midden-Limburg (CR);2006;12220
271;A-U All economic activities;Midden-Limburg (CR);2007;12765
272;A-U All economic activities;Midden-Limburg (CR);2008;12920
273;A-U All economic activities;Midden-Limburg (CR);2009;13430
274;A-U All economic activities;Midden-Limburg (CR);2010;13730
275;A-U All economic activities;Zuid-Limburg (CR);2006;25595
276;A-U All economic activities;Zuid-Limburg (CR);2007;26610
277;A-U All economic activities;Zuid-Limburg (CR);2008;27350
278;A-U All economic activities;Zuid-Limburg (CR);2009;28350
279;A-U All economic activities;Zuid-Limburg (CR);2010;28675
280;A-U All economic activities;Flevoland (CR);2006;16210
281;A-U All economic activities;Flevoland (CR);2007;17495
282;A-U All economic activities;Flevoland (CR);2008;18915
283;A-U All economic activities;Flevoland (CR);2009;20280
284;A-U All economic activities;Flevoland (CR);2010;20755
285;A-U All economic activities;Groningen (GA);2006;8285
286;A-U All economic activities;Groningen (GA);2007;8825
287;A-U All economic activities;Groningen (GA);2008;9160
288;A-U All economic activities;Groningen (GA);2009;9705
289;A-U All economic activities;Groningen (GA);2010;9985
290;A-U All economic activities;Leeuwarden (GA);2006;3665
291;A-U All economic activities;Leeuwarden (GA);2007;3900
292;A-U All economic activities;Leeuwarden (GA);2008;3995
293;A-U All economic activities;Leeuwarden (GA);2009;4265
294;A-U All economic activities;Leeuwarden (GA);2010;4405
295;A-U All economic activities;Zwolle (GA);2006;4565
296;A-U All economic activities;Zwolle (GA);2007;4770
297;A-U All economic activities;Zwolle (GA);2008;5140
298;A-U All economic activities;Zwolle (GA);2009;5450
299;A-U All economic activities;Zwolle (GA);2010;5660
300;A-U All economic activities;Enschede (GA);2006;6025
301;A-U All economic activities;Enschede (GA);2007;6280
302;A-U All economic activities;Enschede (GA);2008;6390
303;A-U All economic activities;Enschede (GA);2009;6770
304;A-U All economic activities;Enschede (GA);2010;6895
305;A-U All economic activities;Apeldoorn (GA);2006;6980
306;A-U All economic activities;Apeldoorn (GA);2007;7240
307;A-U All economic activities;Apeldoorn (GA);2008;7455
308;A-U All economic activities;Apeldoorn (GA);2009;7805
309;A-U All economic activities;Apeldoorn (GA);2010;7980
310;A-U All economic activities;Arnhem (GA);2006;6155
311;A-U All economic activities;Arnhem (GA);2007;6505
312;A-U All economic activities;Arnhem (GA);2008;6915
313;A-U All economic activities;Arnhem (GA);2009;7520
314;A-U All economic activities;Arnhem (GA);2010;7725
315;A-U All economic activities;Nijmegen (GA);2006;6335
316;A-U All economic activities;Nijmegen (GA);2007;6605
317;A-U All economic activities;Nijmegen (GA);2008;6910
318;A-U All economic activities;Nijmegen (GA);2009;7335
319;A-U All economic activities;Nijmegen (GA);2010;7535
320;A-U All economic activities;Amersfoort (GA);2006;7670
321;A-U All economic activities;Amersfoort (GA);2007;8195
322;A-U All economic activities;Amersfoort (GA);2008;8625
323;A-U All economic activities;Amersfoort (GA);2009;9240
324;A-U All economic activities;Amersfoort (GA);2010;9615
325;A-U All economic activities;Utrecht (GA);2006;19455
326;A-U All economic activities;Utrecht (GA);2007;20390
327;A-U All economic activities;Utrecht (GA);2008;21855
328;A-U All economic activities;Utrecht (GA);2009;23670
329;A-U All economic activities;Utrecht (GA);2010;24575
330;A-U All economic activities;Amsterdam (GA);2006;58865
331;A-U All economic activities;Amsterdam (GA);2007;61480
332;A-U All economic activities;Amsterdam (GA);2008;63965
333;A-U All economic activities;Amsterdam (GA);2009;67835
334;A-U All economic activities;Amsterdam (GA);2010;70090
335;A-U All economic activities;Haarlem (GA);2006;9585
336;A-U All economic activities;Haarlem (GA);2007;10125
337;A-U All economic activities;Haarlem (GA);2008;10615
338;A-U All economic activities;Haarlem (GA);2009;11535
339;A-U All economic activities;Haarlem (GA);2010;11905
340;A-U All economic activities;Leiden (GA);2006;10045
341;A-U All economic activities;Leiden (GA);2007;10650
342;A-U All economic activities;Leiden (GA);2008;11165
343;A-U All economic activities;Leiden (GA);2009;11750
344;A-U All economic activities;Leiden (GA);2010;12010
345;A-U All economic activities;'s-Gravenhage (GA);2006;27885
346;A-U All economic activities;'s-Gravenhage (GA);2007;29410
347;A-U All economic activities;'s-Gravenhage (GA);2008;31015
348;A-U All economic activities;'s-Gravenhage (GA);2009;34020
349;A-U All economic activities;'s-Gravenhage (GA);2010;35615
350;A-U All economic activities;Rotterdam (GA);2006;40020
351;A-U All economic activities;Rotterdam (GA);2007;42195
352;A-U All economic activities;Rotterdam (GA);2008;44485
353;A-U All economic activities;Rotterdam (GA);2009;47350
354;A-U All economic activities;Rotterdam (GA);2010;48590
355;A-U All economic activities;Dordrecht (GA);2006;10635
356;A-U All economic activities;Dordrecht (GA);2007;10600
357;A-U All economic activities;Dordrecht (GA);2008;10965
358;A-U All economic activities;Dordrecht (GA);2009;11655
359;A-U All economic activities;Dordrecht (GA);2010;11865
360;A-U All economic activities;Breda (GA);2006;8315
361;A-U All economic activities;Breda (GA);2007;8940
362;A-U All economic activities;Breda (GA);2008;9500
363;A-U All economic activities;Breda (GA);2009;10085
364;A-U All economic activities;Breda (GA);2010;10265
365;A-U All economic activities;Tilburg (GA);2006;9070
366;A-U All economic activities;Tilburg (GA);2007;9410
367;A-U All economic activities;Tilburg (GA);2008;9905
368;A-U All economic activities;Tilburg (GA);2009;10620
369;A-U All economic activities;Tilburg (GA);2010;10915
370;A-U All economic activities;'s-Hertogenbosch (GA);2006;8710
371;A-U All economic activities;'s-Hertogenbosch (GA);2007;9280
372;A-U All economic activities;'s-Hertogenbosch (GA);2008;9775
373;A-U All economic activities;'s-Hertogenbosch (GA);2009;10380
374;A-U All economic activities;'s-Hertogenbosch (GA);2010;10790
375;A-U All economic activities;Eindhoven (GA);2006;14780
376;A-U All economic activities;Eindhoven (GA);2007;15755
377;A-U All economic activities;Eindhoven (GA);2008;16675
378;A-U All economic activities;Eindhoven (GA);2009;17700
379;A-U All economic activities;Eindhoven (GA);2010;18120
380;A-U All economic activities;Geleen/Sittard (GA);2006;5935
381;A-U All economic activities;Geleen/Sittard (GA);2007;6160
382;A-U All economic activities;Geleen/Sittard (GA);2008;6400
383;A-U All economic activities;Geleen/Sittard (GA);2009;6635
384;A-U All economic activities;Geleen/Sittard (GA);2010;6710
385;A-U All economic activities;Heerlen (GA);2006;7185
386;A-U All economic activities;Heerlen (GA);2007;7525
387;A-U All economic activities;Heerlen (GA);2008;7725
388;A-U All economic activities;Heerlen (GA);2009;8045
389;A-U All economic activities;Heerlen (GA);2010;8040
390;A-U All economic activities;Maastricht (GA);2006;5405
391;A-U All economic activities;Maastricht (GA);2007;5605
392;A-U All economic activities;Maastricht (GA);2008;5675
393;A-U All economic activities;Maastricht (GA);2009;5920
394;A-U All economic activities;Maastricht (GA);2010;6005
395;A-U All economic activities;Groningen (SG);2006;15275
396;A-U All economic activities;Groningen (SG);2007;16145
397;A-U All economic activities;Groningen (SG);2008;16715
398;A-U All economic activities;Groningen (SG);2009;17635
399;A-U All economic activities;Groningen (SG);2010;18150
400;A-U All economic activities;Leeuwarden (SG);2006;6700
401;A-U All economic activities;Leeuwarden (SG);2007;7090
402;A-U All economic activities;Leeuwarden (SG);2008;7235
403;A-U All economic activities;Leeuwarden (SG);2009;7670
404;A-U All economic activities;Leeuwarden (SG);2010;7885
405;A-U All economic activities;Zwolle (SG);2006;7585
406;A-U All economic activities;Zwolle (SG);2007;7930
407;A-U All economic activities;Zwolle (SG);2008;8335
408;A-U All economic activities;Zwolle (SG);2009;8795
409;A-U All economic activities;Zwolle (SG);2010;9075
410;A-U All economic activities;Enschede (SG);2006;13095
411;A-U All economic activities;Enschede (SG);2007;13635
412;A-U All economic activities;Enschede (SG);2008;13955
413;A-U All economic activities;Enschede (SG);2009;14690
414;A-U All economic activities;Enschede (SG);2010;14940
415;A-U All economic activities;Apeldoorn (SG);2006;10130
416;A-U All economic activities;Apeldoorn (SG);2007;10500
417;A-U All economic activities;Apeldoorn (SG);2008;10785
418;A-U All economic activities;Apeldoorn (SG);2009;11245
419;A-U All economic activities;Apeldoorn (SG);2010;11440
420;A-U All economic activities;Arnhem (SG);2006;15115
421;A-U All economic activities;Arnhem (SG);2007;15895
422;A-U All economic activities;Arnhem (SG);2008;16800
423;A-U All economic activities;Arnhem (SG);2009;18010
424;A-U All economic activities;Arnhem (SG);2010;18465
425;A-U All economic activities;Nijmegen (SG);2006;11780
426;A-U All economic activities;Nijmegen (SG);2007;12335
427;A-U All economic activities;Nijmegen (SG);2008;12905
428;A-U All economic activities;Nijmegen (SG);2009;13570
429;A-U All economic activities;Nijmegen (SG);2010;13930
430;A-U All economic activities;Amersfoort (SG);2006;13640
431;A-U All economic activities;Amersfoort (SG);2007;14480
432;A-U All economic activities;Amersfoort (SG);2008;15215
433;A-U All economic activities;Amersfoort (SG);2009;16125
434;A-U All economic activities;Amersfoort (SG);2010;16685
435;A-U All economic activities;Utrecht (SG);2006;28030
436;A-U All economic activities;Utrecht (SG);2007;29480
437;A-U All economic activities;Utrecht (SG);2008;31435
438;A-U All economic activities;Utrecht (SG);2009;33855
439;A-U All economic activities;Utrecht (SG);2010;35170
440;A-U All economic activities;Amsterdam (SG);2006;79035
441;A-U All economic activities;Amsterdam (SG);2007;83165
442;A-U All economic activities;Amsterdam (SG);2008;87075
443;A-U All economic activities;Amsterdam (SG);2009;92530
444;A-U All economic activities;Amsterdam (SG);2010;95370
445;A-U All economic activities;Haarlem (SG);2006;19205
446;A-U All economic activities;Haarlem (SG);2007;20325
447;A-U All economic activities;Haarlem (SG);2008;21245
448;A-U All economic activities;Haarlem (SG);2009;22475
449;A-U All economic activities;Haarlem (SG);2010;23160
450;A-U All economic activities;Leiden (SG);2006;14580
451;A-U All economic activities;Leiden (SG);2007;15420
452;A-U All economic activities;Leiden (SG);2008;16205
453;A-U All economic activities;Leiden (SG);2009;16945
454;A-U All economic activities;Leiden (SG);2010;17295
455;A-U All economic activities;'s-Gravenhage (SG);2006;45445
456;A-U All economic activities;'s-Gravenhage (SG);2007;47965
457;A-U All economic activities;'s-Gravenhage (SG);2008;50375
458;A-U All economic activities;'s-Gravenhage (SG);2009;54535
459;A-U All economic activities;'s-Gravenhage (SG);2010;56615
460;A-U All economic activities;Rotterdam (SG);2006;48380
461;A-U All economic activities;Rotterdam (SG);2007;50950
462;A-U All economic activities;Rotterdam (SG);2008;53685
463;A-U All economic activities;Rotterdam (SG);2009;56925
464;A-U All economic activities;Rotterdam (SG);2010;57155
465;A-U All economic activities;Dordrecht (SG);2006;12460
466;A-U All economic activities;Dordrecht (SG);2007;12590
467;A-U All economic activities;Dordrecht (SG);2008;13105
468;A-U All economic activities;Dordrecht (SG);2009;13980
469;A-U All economic activities;Dordrecht (SG);2010;14235
470;A-U All economic activities;Breda (SG);2006;15850
471;A-U All economic activities;Breda (SG);2007;16805
472;A-U All economic activities;Breda (SG);2008;17825
473;A-U All economic activities;Breda (SG);2009;18745
474;A-U All economic activities;Breda (SG);2010;19035
475;A-U All economic activities;Tilburg (SG);2006;13030
476;A-U All economic activities;Tilburg (SG);2007;13545
477;A-U All economic activities;Tilburg (SG);2008;14205
478;A-U All economic activities;Tilburg (SG);2009;15115
479;A-U All economic activities;Tilburg (SG);2010;15470
480;A-U All economic activities;'s-Hertogenbosch (SG);2006;10330
481;A-U All economic activities;'s-Hertogenbosch (SG);2007;10980
482;A-U All economic activities;'s-Hertogenbosch (SG);2008;11590
483;A-U All economic activities;'s-Hertogenbosch (SG);2009;12285
484;A-U All economic activities;'s-Hertogenbosch (SG);2010;12740
485;A-U All economic activities;Eindhoven (SG);2006;19270
486;A-U All economic activities;Eindhoven (SG);2007;20445
