ID;LeeftijdVanDeMoederOp31December;HerkomstlandMoeder;GeboortelandMoeder;Perioden;LevendGeborenKinderen_1
81;Totaal;Turkije;Totaal moeders;2021;6261.0
82;Totaal;Turkije;Totaal moeders;2022;5900.0
83;Totaal;Turkije;Totaal moeders;2023;5823.0
84;Totaal;Turkije;Moeder geboren in Nederland;2021;4415.0
85;Totaal;Turkije;Moeder geboren in Nederland;2022;4154.0
86;Totaal;Turkije;Moeder geboren in Nederland;2023;4146.0
87;Totaal;Turkije;Moeder geboren buiten Nederland;2021;1846.0
88;Totaal;Turkije;Moeder geboren buiten Nederland;2022;1746.0
89;Totaal;Turkije;Moeder geboren buiten Nederland;2023;1677.0
90;Totaal;Afrika (exclusief Marokko);Totaal moeders;2021;5716.0
91;Totaal;Afrika (exclusief Marokko);Totaal moeders;2022;5584.0
92;Totaal;Afrika (exclusief Marokko);Totaal moeders;2023;5705.0
93;Totaal;Afrika (exclusief Marokko);Moeder geboren in Nederland;2021;1244.0
94;Totaal;Afrika (exclusief Marokko);Moeder geboren in Nederland;2022;1240.0
95;Totaal;Afrika (exclusief Marokko);Moeder geboren in Nederland;2023;1236.0
96;Totaal;Afrika (exclusief Marokko);Moeder geboren buiten Nederland;2021;4472.0
97;Totaal;Afrika (exclusief Marokko);Moeder geboren buiten Nederland;2022;4344.0
98;Totaal;Afrika (exclusief Marokko);Moeder geboren buiten Nederland;2023;4469.0
99;Totaal;Amerika en Oceanië (ex. Suriname en N...;Totaal moeders;2021;3879.0
100;Totaal;Amerika en Oceanië (ex. Suriname en N...;Totaal moeders;2022;3765.0
101;Totaal;Amerika en Oceanië (ex. Suriname en N...;Totaal moeders;2023;3774.0
102;Totaal;Amerika en Oceanië (ex. Suriname en N...;Moeder geboren in Nederland;2021;1307.0
103;Totaal;Amerika en Oceanië (ex. Suriname en N...;Moeder geboren in Nederland;2022;1245.0
104;Totaal;Amerika en Oceanië (ex. Suriname en N...;Moeder geboren in Nederland;2023;1219.0
105;Totaal;Amerika en Oceanië (ex. Suriname en N...;Moeder geboren buiten Nederland;2021;2572.0
106;Totaal;Amerika en Oceanië (ex. Suriname en N...;Moeder geboren buiten Nederland;2022;2520.0
107;Totaal;Amerika en Oceanië (ex. Suriname en N...;Moeder geboren buiten Nederland;2023;2555.0
108;Totaal;Azië (exclusief Indonesië en Turkije);Totaal moeders;2021;10372.0
109;Totaal;Azië (exclusief Indonesië en Turkije);Totaal moeders;2022;10733.0
110;Totaal;Azië (exclusief Indonesië en Turkije);Totaal moeders;2023;11129.0
111;Totaal;Azië (exclusief Indonesië en Turkije);Moeder geboren in Nederland;2021;1377.0
112;Totaal;Azië (exclusief Indonesië en Turkije);Moeder geboren in Nederland;2022;1382.0
113;Totaal;Azië (exclusief Indonesië en Turkije);Moeder geboren in Nederland;2023;1469.0
114;Totaal;Azië (exclusief Indonesië en Turkije);Moeder geboren buiten Nederland;2021;8995.0
115;Totaal;Azië (exclusief Indonesië en Turkije);Moeder geboren buiten Nederland;2022;9351.0
116;Totaal;Azië (exclusief Indonesië en Turkije);Moeder geboren buiten Nederland;2023;9660.0
117;Totaal;Afrika;Totaal moeders;2021;13114.0
118;Totaal;Afrika;Totaal moeders;2022;12915.0
119;Totaal;Afrika;Totaal moeders;2023;12723.0
120;Totaal;Afrika;Moeder geboren in Nederland;2021;6053.0
121;Totaal;Afrika;Moeder geboren in Nederland;2022;6075.0
122;Totaal;Afrika;Moeder geboren in Nederland;2023;6041.0
123;Totaal;Afrika;Moeder geboren buiten Nederland;2021;7061.0
124;Totaal;Afrika;Moeder geboren buiten Nederland;2022;6840.0
125;Totaal;Afrika;Moeder geboren buiten Nederland;2023;6682.0
126;Totaal;Amerika;Totaal moeders;2021;10353.0
127;Totaal;Amerika;Totaal moeders;2022;10036.0
128;Totaal;Amerika;Totaal moeders;2023;9938.0
129;Totaal;Amerika;Moeder geboren in Nederland;2021;5574.0
130;Totaal;Amerika;Moeder geboren in Nederland;2022;5338.0
131;Totaal;Amerika;Moeder geboren in Nederland;2023;5267.0
132;Totaal;Amerika;Moeder geboren buiten Nederland;2021;4779.0
133;Totaal;Amerika;Moeder geboren buiten Nederland;2022;4698.0
134;Totaal;Amerika;Moeder geboren buiten Nederland;2023;4671.0
135;Totaal;Azië;Totaal moeders;2021;19201.0
136;Totaal;Azië;Totaal moeders;2022;18888.0
137;Totaal;Azië;Totaal moeders;2023;18931.0
138;Totaal;Azië;Moeder geboren in Nederland;2021;7994.0
139;Totaal;Azië;Moeder geboren in Nederland;2022;7411.0
140;Totaal;Azië;Moeder geboren in Nederland;2023;7290.0
141;Totaal;Azië;Moeder geboren buiten Nederland;2021;11207.0
142;Totaal;Azië;Moeder geboren buiten Nederland;2022;11477.0
143;Totaal;Azië;Moeder geboren buiten Nederland;2023;11641.0
144;Totaal;Oceanië;Totaal moeders;2021;503.0
145;Totaal;Oceanië;Totaal moeders;2022;445.0
146;Totaal;Oceanië;Totaal moeders;2023;470.0
147;Totaal;Oceanië;Moeder geboren in Nederland;2021;354.0
148;Totaal;Oceanië;Moeder geboren in Nederland;2022;318.0
149;Totaal;Oceanië;Moeder geboren in Nederland;2023;342.0
150;Totaal;Oceanië;Moeder geboren buiten Nederland;2021;149.0
151;Totaal;Oceanië;Moeder geboren buiten Nederland;2022;127.0
152;Totaal;Oceanië;Moeder geboren buiten Nederland;2023;128.0
153;Totaal;Europese Unie (exclusief Nederland);Totaal moeders;2021;13035.0
154;Totaal;Europese Unie (exclusief Nederland);Totaal moeders;2022;11898.0
155;Totaal;Europese Unie (exclusief Nederland);Totaal moeders;2023;11847.0
156;Totaal;Europese Unie (exclusief Nederland);Moeder geboren in Nederland;2021;2978.0
157;Totaal;Europese Unie (exclusief Nederland);Moeder geboren in Nederland;2022;2827.0
158;Totaal;Europese Unie (exclusief Nederland);Moeder geboren in Nederland;2023;2762.0
159;Totaal;Europese Unie (exclusief Nederland);Moeder geboren buiten Nederland;2021;10057.0
160;Totaal;Europese Unie (exclusief Nederland);Moeder geboren buiten Nederland;2022;9071.0
161;Totaal;Europese Unie (exclusief Nederland);Moeder geboren buiten Nederland;2023;9085.0
162;Totaal;België;Totaal moeders;2021;1214.0
163;Totaal;België;Totaal moeders;2022;1169.0
164;Totaal;België;Totaal moeders;2023;1096.0
165;Totaal;België;Moeder geboren in Nederland;2021;563.0
166;Totaal;België;Moeder geboren in Nederland;2022;576.0
167;Totaal;België;Moeder geboren in Nederland;2023;511.0
168;Totaal;België;Moeder geboren buiten Nederland;2021;651.0
169;Totaal;België;Moeder geboren buiten Nederland;2022;593.0
170;Totaal;België;Moeder geboren buiten Nederland;2023;585.0
171;Totaal;Duitsland;Totaal moeders;2021;2349.0
172;Totaal;Duitsland;Totaal moeders;2022;2119.0
173;Totaal;Duitsland;Totaal moeders;2023;2081.0
174;Totaal;Duitsland;Moeder geboren in Nederland;2021;1035.0
175;Totaal;Duitsland;Moeder geboren in Nederland;2022;967.0
176;Totaal;Duitsland;Moeder geboren in Nederland;2023;943.0
177;Totaal;Duitsland;Moeder geboren buiten Nederland;2021;1314.0
178;Totaal;Duitsland;Moeder geboren buiten Nederland;2022;1152.0
179;Totaal;Duitsland;Moeder geboren buiten Nederland;2023;1138.0
180;Totaal;Polen;Totaal moeders;2021;3647.0
181;Totaal;Polen;Totaal moeders;2022;3098.0
182;Totaal;Polen;Totaal moeders;2023;3034.0
183;Totaal;Polen;Moeder geboren in Nederland;2021;164.0
184;Totaal;Polen;Moeder geboren in Nederland;2022;155.0
185;Totaal;Polen;Moeder geboren in Nederland;2023;172.0
186;Totaal;Polen;Moeder geboren buiten Nederland;2021;3483.0
187;Totaal;Polen;Moeder geboren buiten Nederland;2022;2943.0
188;Totaal;Polen;Moeder geboren buiten Nederland;2023;2862.0
189;Totaal;Overig Europa;Totaal moeders;2021;9107.0
190;Totaal;Overig Europa;Totaal moeders;2022;8903.0
191;Totaal;Overig Europa;Totaal moeders;2023;9256.0
192;Totaal;Overig Europa;Moeder geboren in Nederland;2021;2118.0
193;Totaal;Overig Europa;Moeder geboren in Nederland;2022;1914.0
194;Totaal;Overig Europa;Moeder geboren in Nederland;2023;1956.0
195;Totaal;Overig Europa;Moeder geboren buiten Nederland;2021;6989.0
196;Totaal;Overig Europa;Moeder geboren buiten Nederland;2022;6989.0
197;Totaal;Overig Europa;Moeder geboren buiten Nederland;2023;7300.0
198;Totaal;Onbekend herkomstland;Totaal moeders;2021;0.0
199;Totaal;Onbekend herkomstland;Totaal moeders;2022;0.0
200;Totaal;Onbekend herkomstland;Totaal moeders;2023;0.0
201;Totaal;Onbekend herkomstland;Moeder geboren in Nederland;2021;0.0
202;Totaal;Onbekend herkomstland;Moeder geboren in Nederland;2022;0.0
203;Totaal;Onbekend herkomstland;Moeder geboren in Nederland;2023;0.0
204;Totaal;Onbekend herkomstland;Moeder geboren buiten Nederland;2021;0.0
205;Totaal;Onbekend herkomstland;Moeder geboren buiten Nederland;2022;0.0
206;Totaal;Onbekend herkomstland;Moeder geboren buiten Nederland;2023;0.0
207;15 jaar of jonger;Totaal;Totaal moeders;2021;7.0
208;15 jaar of jonger;Totaal;Totaal moeders;2022;21.0
209;15 jaar of jonger;Totaal;Totaal moeders;2023;9.0
210;15 jaar of jonger;Totaal;Moeder geboren in Nederland;2021;6.0
211;15 jaar of jonger;Totaal;Moeder geboren in Nederland;2022;17.0
212;15 jaar of jonger;Totaal;Moeder geboren in Nederland;2023;7.0
213;15 jaar of jonger;Totaal;Moeder geboren buiten Nederland;2021;1.0
214;15 jaar of jonger;Totaal;Moeder geboren buiten Nederland;2022;4.0
215;15 jaar of jonger;Totaal;Moeder geboren buiten Nederland;2023;2.0
216;15 jaar of jonger;Nederland;Totaal moeders;2021;4.0
217;15 jaar of jonger;Nederland;Totaal moeders;2022;14.0
218;15 jaar of jonger;Nederland;Totaal moeders;2023;6.0
219;15 jaar of jonger;Nederland;Moeder geboren in Nederland;2021;4.0
220;15 jaar of jonger;Nederland;Moeder geboren in Nederland;2022;14.0
221;15 jaar of jonger;Nederland;Moeder geboren in Nederland;2023;6.0
222;15 jaar of jonger;Nederland;Moeder geboren buiten Nederland;2021;
223;15 jaar of jonger;Nederland;Moeder geboren buiten Nederland;2022;
224;15 jaar of jonger;Nederland;Moeder geboren buiten Nederland;2023;
225;15 jaar of jonger;Buiten Nederland;Totaal moeders;2021;3.0
226;15 jaar of jonger;Buiten Nederland;Totaal moeders;2022;7.0
227;15 jaar of jonger;Buiten Nederland;Totaal moeders;2023;3.0
228;15 jaar of jonger;Buiten Nederland;Moeder geboren in Nederland;2021;2.0
229;15 jaar of jonger;Buiten Nederland;Moeder geboren in Nederland;2022;3.0
230;15 jaar of jonger;Buiten Nederland;Moeder geboren in Nederland;2023;1.0
231;15 jaar of jonger;Buiten Nederland;Moeder geboren buiten Nederland;2021;1.0
232;15 jaar of jonger;Buiten Nederland;Moeder geboren buiten Nederland;2022;4.0
233;15 jaar of jonger;Buiten Nederland;Moeder geboren buiten Nederland;2023;2.0
234;15 jaar of jonger;Europa (exclusief Nederland);Totaal moeders;2021;0.0
235;15 jaar of jonger;Europa (exclusief Nederland);Totaal moeders;2022;2.0
236;15 jaar of jonger;Europa (exclusief Nederland);Totaal moeders;2023;0.0
237;15 jaar of jonger;Europa (exclusief Nederland);Moeder geboren in Nederland;2021;0.0
238;15 jaar of jonger;Europa (exclusief Nederland);Moeder geboren in Nederland;2022;1.0
239;15 jaar of jonger;Europa (exclusief Nederland);Moeder geboren in Nederland;2023;0.0
240;15 jaar of jonger;Europa (exclusief Nederland);Moeder geboren buiten Nederland;2021;0.0
241;15 jaar of jonger;Europa (exclusief Nederland);Moeder geboren buiten Nederland;2022;1.0
242;15 jaar of jonger;Europa (exclusief Nederland);Moeder geboren buiten Nederland;2023;0.0
243;15 jaar of jonger;Buiten Europa;Totaal moeders;2021;3.0
244;15 jaar of jonger;Buiten Europa;Totaal moeders;2022;5.0
245;15 jaar of jonger;Buiten Europa;Totaal moeders;2023;3.0
246;15 jaar of jonger;Buiten Europa;Moeder geboren in Nederland;2021;2.0
247;15 jaar of jonger;Buiten Europa;Moeder geboren in Nederland;2022;2.0
248;15 jaar of jonger;Buiten Europa;Moeder geboren in Nederland;2023;1.0
249;15 jaar of jonger;Buiten Europa;Moeder geboren buiten Nederland;2021;1.0
250;15 jaar of jonger;Buiten Europa;Moeder geboren buiten Nederland;2022;3.0
251;15 jaar of jonger;Buiten Europa;Moeder geboren buiten Nederland;2023;2.0
252;15 jaar of jonger;Indonesië;Totaal moeders;2021;0.0
253;15 jaar of jonger;Indonesië;Totaal moeders;2022;0.0
254;15 jaar of jonger;Indonesië;Totaal moeders;2023;0.0
255;15 jaar of jonger;Indonesië;Moeder geboren in Nederland;2021;0.0
256;15 jaar of jonger;Indonesië;Moeder geboren in Nederland;2022;0.0
257;15 jaar of jonger;Indonesië;Moeder geboren in Nederland;2023;0.0
258;15 jaar of jonger;Indonesië;Moeder geboren buiten Nederland;2021;0.0
259;15 jaar of jonger;Indonesië;Moeder geboren buiten Nederland;2022;0.0
260;15 jaar of jonger;Indonesië;Moeder geboren buiten Nederland;2023;0.0
261;15 jaar of jonger;Marokko;Totaal moeders;2021;0.0
262;15 jaar of jonger;Marokko;Totaal moeders;2022;0.0
263;15 jaar of jonger;Marokko;Totaal moeders;2023;0.0
264;15 jaar of jonger;Marokko;Moeder geboren in Nederland;2021;0.0
265;15 jaar of jonger;Marokko;Moeder geboren in Nederland;2022;0.0
266;15 jaar of jonger;Marokko;Moeder geboren in Nederland;2023;0.0
267;15 jaar of jonger;Marokko;Moeder geboren buiten Nederland;2021;0.0
268;15 jaar of jonger;Marokko;Moeder geboren buiten Nederland;2022;0.0
269;15 jaar of jonger;Marokko;Moeder geboren buiten Nederland;2023;0.0
270;15 jaar of jonger;Nederlandse Cariben;Totaal moeders;2021;1.0
271;15 jaar of jonger;Nederlandse Cariben;Totaal moeders;2022;1.0
272;15 jaar of jonger;Nederlandse Cariben;Totaal moeders;2023;2.0
273;15 jaar of jonger;Nederlandse Cariben;Moeder geboren in Nederland;2021;1.0
274;15 jaar of jonger;Nederlandse Cariben;Moeder geboren in Nederland;2022;0.0
275;15 jaar of jonger;Nederlandse Cariben;Moeder geboren in Nederland;2023;1.0
276;15 jaar of jonger;Nederlandse Cariben;Moeder geboren buiten Nederland;2021;0.0
277;15 jaar of jonger;Nederlandse Cariben;Moeder geboren buiten Nederland;2022;1.0
278;15 jaar of jonger;Nederlandse Cariben;Moeder geboren buiten Nederland;2023;1.0
279;15 jaar of jonger;Suriname;Totaal moeders;2021;1.0
280;15 jaar of jonger;Suriname;Totaal moeders;2022;1.0
281;15 jaar of jonger;Suriname;Totaal moeders;2023;0.0
282;15 jaar of jonger;Suriname;Moeder geboren in Nederland;2021;1.0
283;15 jaar of jonger;Suriname;Moeder geboren in Nederland;2022;1.0
284;15 jaar of jonger;Suriname;Moeder geboren in Nederland;2023;0.0
285;15 jaar of jonger;Suriname;Moeder geboren buiten Nederland;2021;0.0
286;15 jaar of jonger;Suriname;Moeder geboren buiten Nederland;2022;0.0
287;15 jaar of jonger;Suriname;Moeder geboren buiten Nederland;2023;0.0
288;15 jaar of jonger;Turkije;Totaal moeders;2021;0.0
289;15 jaar of jonger;Turkije;Totaal moeders;2022;0.0
290;15 jaar of jonger;Turkije;Totaal moeders;2023;0.0
291;15 jaar of jonger;Turkije;Moeder geboren in Nederland;2021;0.0
292;15 jaar of jonger;Turkije;Moeder geboren in Nederland;2022;0.0
293;15 jaar of jonger;Turkije;Moeder geboren in Nederland;2023;0.0
294;15 jaar of jonger;Turkije;Moeder geboren buiten Nederland;2021;0.0
295;15 jaar of jonger;Turkije;Moeder geboren buiten Nederland;2022;0.0
296;15 jaar of jonger;Turkije;Moeder geboren buiten Nederland;2023;0.0
297;15 jaar of jonger;Afrika (exclusief Marokko);Totaal moeders;2021;1.0
298;15 jaar of jonger;Afrika (exclusief Marokko);Totaal moeders;2022;0.0
299;15 jaar of jonger;Afrika (exclusief Marokko);Totaal moeders;2023;0.0
300;15 jaar of jonger;Afrika (exclusief Marokko);Moeder geboren in Nederland;2021;0.0
301;15 jaar of jonger;Afrika (exclusief Marokko);Moeder geboren in Nederland;2022;0.0
302;15 jaar of jonger;Afrika (exclusief Marokko);Moeder geboren in Nederland;2023;0.0
303;15 jaar of jonger;Afrika (exclusief Marokko);Moeder geboren buiten Nederland;2021;1.0
304;15 jaar of jonger;Afrika (exclusief Marokko);Moeder geboren buiten Nederland;2022;0.0
305;15 jaar of jonger;Afrika (exclusief Marokko);Moeder geboren buiten Nederland;2023;0.0
306;15 jaar of jonger;Amerika en Oceanië (ex. Suriname en N...;Totaal moeders;2021;0.0
307;15 jaar of jonger;Amerika en Oceanië (ex. Suriname en N...;Totaal moeders;2022;1.0
308;15 jaar of jonger;Amerika en Oceanië (ex. Suriname en N...;Totaal moeders;2023;1.0
309;15 jaar of jonger;Amerika en Oceanië (ex. Suriname en N...;Moeder geboren in Nederland;2021;0.0
310;15 jaar of jonger;Amerika en Oceanië (ex. Suriname en N...;Moeder geboren in Nederland;2022;1.0
311;15 jaar of jonger;Amerika en Oceanië (ex. Suriname en N...;Moeder geboren in Nederland;2023;0.0
312;15 jaar of jonger;Amerika en Oceanië (ex. Suriname en N...;Moeder geboren buiten Nederland;2021;0.0
313;15 jaar of jonger;Amerika en Oceanië (ex. Suriname en N...;Moeder geboren buiten Nederland;2022;0.0
314;15 jaar of jonger;Amerika en Oceanië (ex. Suriname en N...;Moeder geboren buiten Nederland;2023;1.0
315;15 jaar of jonger;Azië (exclusief Indonesië en Turkije);Totaal moeders;2021;0.0
316;15 jaar of jonger;Azië (exclusief Indonesië en Turkije);Totaal moeders;2022;2.0
317;15 jaar of jonger;Azië (exclusief Indonesië en Turkije);Totaal moeders;2023;0.0
318;15 jaar of jonger;Azië (exclusief Indonesië en Turkije);Moeder geboren in Nederland;2021;0.0
319;15 jaar of jonger;Azië (exclusief Indonesië en Turkije);Moeder geboren in Nederland;2022;0.0
320;15 jaar of jonger;Azië (exclusief Indonesië en Turkije);Moeder geboren in Nederland;2023;0.0
321;15 jaar of jonger;Azië (exclusief Indonesië en Turkije);Moeder geboren buiten Nederland;2021;0.0
322;15 jaar of jonger;Azië (exclusief Indonesië en Turkije);Moeder geboren buiten Nederland;2022;2.0
323;15 jaar of jonger;Azië (exclusief Indonesië en Turkije);Moeder geboren buiten Nederland;2023;0.0
324;15 jaar of jonger;Afrika;Totaal moeders;2021;1.0
325;15 jaar of jonger;Afrika;Totaal moeders;2022;0.0
326;15 jaar of jonger;Afrika;Totaal moeders;2023;0.0
327;15 jaar of jonger;Afrika;Moeder geboren in Nederland;2021;0.0
328;15 jaar of jonger;Afrika;Moeder geboren in Nederland;2022;0.0
329;15 jaar of jonger;Afrika;Moeder geboren in Nederland;2023;0.0
330;15 jaar of jonger;Afrika;Moeder geboren buiten Nederland;2021;1.0
331;15 jaar of jonger;Afrika;Moeder geboren buiten Nederland;2022;0.0
332;15 jaar of jonger;Afrika;Moeder geboren buiten Nederland;2023;0.0
333;15 jaar of jonger;Amerika;Totaal moeders;2021;2.0
334;15 jaar of jonger;Amerika;Totaal moeders;2022;3.0
335;15 jaar of jonger;Amerika;Totaal moeders;2023;3.0
336;15 jaar of jonger;Amerika;Moeder geboren in Nederland;2021;2.0
337;15 jaar of jonger;Amerika;Moeder geboren in Nederland;2022;2.0
338;15 jaar of jonger;Amerika;Moeder geboren in Nederland;2023;1.0
339;15 jaar of jonger;Amerika;Moeder geboren buiten Nederland;2021;0.0
340;15 jaar of jonger;Amerika;Moeder geboren buiten Nederland;2022;1.0
341;15 jaar of jonger;Amerika;Moeder geboren buiten Nederland;2023;2.0
342;15 jaar of jonger;Azië;Totaal moeders;2021;0.0
343;15 jaar of jonger;Azië;Totaal moeders;2022;2.0
344;15 jaar of jonger;Azië;Totaal moeders;2023;0.0
345;15 jaar of jonger;Azië;Moeder geboren in Nederland;2021;0.0
346;15 jaar of jonger;Azië;Moeder geboren in Nederland;2022;0.0
347;15 jaar of jonger;Azië;Moeder geboren in Nederland;2023;0.0
348;15 jaar of jonger;Azië;Moeder geboren buiten Nederland;2021;0.0
349;15 jaar of jonger;Azië;Moeder geboren buiten Nederland;2022;2.0
350;15 jaar of jonger;Azië;Moeder geboren buiten Nederland;2023;0.0
351;15 jaar of jonger;Oceanië;Totaal moeders;2021;0.0
352;15 jaar of jonger;Oceanië;Totaal moeders;2022;0.0
353;15 jaar of jonger;Oceanië;Totaal moeders;2023;0.0
354;15 jaar of jonger;Oceanië;Moeder geboren in Nederland;2021;0.0
355;15 jaar of jonger;Oceanië;Moeder geboren in Nederland;2022;0.0
356;15 jaar of jonger;Oceanië;Moeder geboren in Nederland;2023;0.0
357;15 jaar of jonger;Oceanië;Moeder geboren buiten Nederland;2021;0.0
358;15 jaar of jonger;Oceanië;Moeder geboren buiten Nederland;2022;0.0
359;15 jaar of jonger;Oceanië;Moeder geboren buiten Nederland;2023;0.0
360;15 jaar of jonger;Europese Unie (exclusief Nederland);Totaal moeders;2021;0.0
361;15 jaar of jonger;Europese Unie (exclusief Nederland);Totaal moeders;2022;0.0
362;15 jaar of jonger;Europese Unie (exclusief Nederland);Totaal moeders;2023;0.0
363;15 jaar of jonger;Europese Unie (exclusief Nederland);Moeder geboren in Nederland;2021;0.0
364;15 jaar of jonger;Europese Unie (exclusief Nederland);Moeder geboren in Nederland;2022;0.0
365;15 jaar of jonger;Europese Unie (exclusief Nederland);Moeder geboren in Nederland;2023;0.0
366;15 jaar of jonger;Europese Unie (exclusief Nederland);Moeder geboren buiten Nederland;2021;0.0
367;15 jaar of jonger;Europese Unie (exclusief Nederland);Moeder geboren buiten Nederland;2022;0.0
368;15 jaar of jonger;Europese Unie (exclusief Nederland);Moeder geboren buiten Nederland;2023;0.0
369;15 jaar of jonger;België;Totaal moeders;2021;0.0
370;15 jaar of jonger;België;Totaal moeders;2022;0.0
371;15 jaar of jonger;België;Totaal moeders;2023;0.0
