ID;Zorgfinanciering;BatenVanFinancieringsvormenZorg;Zorgfuncties;Perioden;UitgavenGezondheidsEnWelzijnszorg_1
24;Totaal alle financieringsvormen;Totaal zorguitgaven;Totaal uitgaven zorg en welzijn;2022;127306
25;Totaal alle financieringsvormen;Totaal zorguitgaven;Totaal uitgaven gezondheidszorg;1998;30835
26;Totaal alle financieringsvormen;Totaal zorguitgaven;Totaal uitgaven gezondheidszorg;1999;32922
27;Totaal alle financieringsvormen;Totaal zorguitgaven;Totaal uitgaven gezondheidszorg;2000;34937
28;Totaal alle financieringsvormen;Totaal zorguitgaven;Totaal uitgaven gezondheidszorg;2001;38941
29;Totaal alle financieringsvormen;Totaal zorguitgaven;Totaal uitgaven gezondheidszorg;2002;43471
30;Totaal alle financieringsvormen;Totaal zorguitgaven;Totaal uitgaven gezondheidszorg;2003;46562
31;Totaal alle financieringsvormen;Totaal zorguitgaven;Totaal uitgaven gezondheidszorg;2004;48342
32;Totaal alle financieringsvormen;Totaal zorguitgaven;Totaal uitgaven gezondheidszorg;2005;50242
33;Totaal alle financieringsvormen;Totaal zorguitgaven;Totaal uitgaven gezondheidszorg;2006;53200
34;Totaal alle financieringsvormen;Totaal zorguitgaven;Totaal uitgaven gezondheidszorg;2007;56169
35;Totaal alle financieringsvormen;Totaal zorguitgaven;Totaal uitgaven gezondheidszorg;2008;60150
36;Totaal alle financieringsvormen;Totaal zorguitgaven;Totaal uitgaven gezondheidszorg;2009;62552
37;Totaal alle financieringsvormen;Totaal zorguitgaven;Totaal uitgaven gezondheidszorg;2010;65025
38;Totaal alle financieringsvormen;Totaal zorguitgaven;Totaal uitgaven gezondheidszorg;2011;66671
39;Totaal alle financieringsvormen;Totaal zorguitgaven;Totaal uitgaven gezondheidszorg;2012;68927
40;Totaal alle financieringsvormen;Totaal zorguitgaven;Totaal uitgaven gezondheidszorg;2013;70014
41;Totaal alle financieringsvormen;Totaal zorguitgaven;Totaal uitgaven gezondheidszorg;2014;71078
42;Totaal alle financieringsvormen;Totaal zorguitgaven;Totaal uitgaven gezondheidszorg;2015;71349
43;Totaal alle financieringsvormen;Totaal zorguitgaven;Totaal uitgaven gezondheidszorg;2016;73032
44;Totaal alle financieringsvormen;Totaal zorguitgaven;Totaal uitgaven gezondheidszorg;2017;74729
45;Totaal alle financieringsvormen;Totaal zorguitgaven;Totaal uitgaven gezondheidszorg;2018;77672
46;Totaal alle financieringsvormen;Totaal zorguitgaven;Totaal uitgaven gezondheidszorg;2019;82570
47;Totaal alle financieringsvormen;Totaal zorguitgaven;Totaal uitgaven gezondheidszorg;2020;89514
48;Totaal alle financieringsvormen;Totaal zorguitgaven;Totaal uitgaven gezondheidszorg;2021;96956
49;Totaal alle financieringsvormen;Totaal zorguitgaven;Totaal uitgaven gezondheidszorg;2022;96957
50;Totaal alle financieringsvormen;Totaal zorguitgaven;Totaal gezondheidsverwante uitgaven;1998;3214
51;Totaal alle financieringsvormen;Totaal zorguitgaven;Totaal gezondheidsverwante uitgaven;1999;3440
52;Totaal alle financieringsvormen;Totaal zorguitgaven;Totaal gezondheidsverwante uitgaven;2000;3741
53;Totaal alle financieringsvormen;Totaal zorguitgaven;Totaal gezondheidsverwante uitgaven;2001;4226
54;Totaal alle financieringsvormen;Totaal zorguitgaven;Totaal gezondheidsverwante uitgaven;2002;4849
55;Totaal alle financieringsvormen;Totaal zorguitgaven;Totaal gezondheidsverwante uitgaven;2003;5341
56;Totaal alle financieringsvormen;Totaal zorguitgaven;Totaal gezondheidsverwante uitgaven;2004;5651
57;Totaal alle financieringsvormen;Totaal zorguitgaven;Totaal gezondheidsverwante uitgaven;2005;6082
58;Totaal alle financieringsvormen;Totaal zorguitgaven;Totaal gezondheidsverwante uitgaven;2006;6150
59;Totaal alle financieringsvormen;Totaal zorguitgaven;Totaal gezondheidsverwante uitgaven;2007;6505
60;Totaal alle financieringsvormen;Totaal zorguitgaven;Totaal gezondheidsverwante uitgaven;2008;6429
61;Totaal alle financieringsvormen;Totaal zorguitgaven;Totaal gezondheidsverwante uitgaven;2009;7420
62;Totaal alle financieringsvormen;Totaal zorguitgaven;Totaal gezondheidsverwante uitgaven;2010;8063
63;Totaal alle financieringsvormen;Totaal zorguitgaven;Totaal gezondheidsverwante uitgaven;2011;8360
64;Totaal alle financieringsvormen;Totaal zorguitgaven;Totaal gezondheidsverwante uitgaven;2012;8755
65;Totaal alle financieringsvormen;Totaal zorguitgaven;Totaal gezondheidsverwante uitgaven;2013;8503
66;Totaal alle financieringsvormen;Totaal zorguitgaven;Totaal gezondheidsverwante uitgaven;2014;8609
67;Totaal alle financieringsvormen;Totaal zorguitgaven;Totaal gezondheidsverwante uitgaven;2015;9383
68;Totaal alle financieringsvormen;Totaal zorguitgaven;Totaal gezondheidsverwante uitgaven;2016;9317
69;Totaal alle financieringsvormen;Totaal zorguitgaven;Totaal gezondheidsverwante uitgaven;2017;9341
70;Totaal alle financieringsvormen;Totaal zorguitgaven;Totaal gezondheidsverwante uitgaven;2018;9852
71;Totaal alle financieringsvormen;Totaal zorguitgaven;Totaal gezondheidsverwante uitgaven;2019;10337
72;Totaal alle financieringsvormen;Totaal zorguitgaven;Totaal gezondheidsverwante uitgaven;2020;11199
73;Totaal alle financieringsvormen;Totaal zorguitgaven;Totaal gezondheidsverwante uitgaven;2021;11332
74;Totaal alle financieringsvormen;Totaal zorguitgaven;Totaal gezondheidsverwante uitgaven;2022;11637
75;Totaal alle financieringsvormen;Totaal zorguitgaven;Overige zorg en welzijn;1998;5329
76;Totaal alle financieringsvormen;Totaal zorguitgaven;Overige zorg en welzijn;1999;6034
77;Totaal alle financieringsvormen;Totaal zorguitgaven;Overige zorg en welzijn;2000;6682
78;Totaal alle financieringsvormen;Totaal zorguitgaven;Overige zorg en welzijn;2001;7601
79;Totaal alle financieringsvormen;Totaal zorguitgaven;Overige zorg en welzijn;2002;8344
80;Totaal alle financieringsvormen;Totaal zorguitgaven;Overige zorg en welzijn;2003;8985
81;Totaal alle financieringsvormen;Totaal zorguitgaven;Overige zorg en welzijn;2004;9012
82;Totaal alle financieringsvormen;Totaal zorguitgaven;Overige zorg en welzijn;2005;9100
83;Totaal alle financieringsvormen;Totaal zorguitgaven;Overige zorg en welzijn;2006;9145
84;Totaal alle financieringsvormen;Totaal zorguitgaven;Overige zorg en welzijn;2007;10039
85;Totaal alle financieringsvormen;Totaal zorguitgaven;Overige zorg en welzijn;2008;11125
86;Totaal alle financieringsvormen;Totaal zorguitgaven;Overige zorg en welzijn;2009;12325
87;Totaal alle financieringsvormen;Totaal zorguitgaven;Overige zorg en welzijn;2010;12703
88;Totaal alle financieringsvormen;Totaal zorguitgaven;Overige zorg en welzijn;2011;13093
89;Totaal alle financieringsvormen;Totaal zorguitgaven;Overige zorg en welzijn;2012;12938
90;Totaal alle financieringsvormen;Totaal zorguitgaven;Overige zorg en welzijn;2013;12435
91;Totaal alle financieringsvormen;Totaal zorguitgaven;Overige zorg en welzijn;2014;12240
92;Totaal alle financieringsvormen;Totaal zorguitgaven;Overige zorg en welzijn;2015;11593
93;Totaal alle financieringsvormen;Totaal zorguitgaven;Overige zorg en welzijn;2016;12493
94;Totaal alle financieringsvormen;Totaal zorguitgaven;Overige zorg en welzijn;2017;12902
95;Totaal alle financieringsvormen;Totaal zorguitgaven;Overige zorg en welzijn;2018;13509
96;Totaal alle financieringsvormen;Totaal zorguitgaven;Overige zorg en welzijn;2019;14522
97;Totaal alle financieringsvormen;Totaal zorguitgaven;Overige zorg en welzijn;2020;15670
98;Totaal alle financieringsvormen;Totaal zorguitgaven;Overige zorg en welzijn;2021;16507
99;Totaal alle financieringsvormen;Totaal zorguitgaven;Overige zorg en welzijn;2022;18711
100;Totaal alle financieringsvormen;Totaal opbrengsten zorgfinanciering;Totaal uitgaven zorg en welzijn;1998;38383
101;Totaal alle financieringsvormen;Totaal opbrengsten zorgfinanciering;Totaal uitgaven zorg en welzijn;1999;43456
102;Totaal alle financieringsvormen;Totaal opbrengsten zorgfinanciering;Totaal uitgaven zorg en welzijn;2000;46683
103;Totaal alle financieringsvormen;Totaal opbrengsten zorgfinanciering;Totaal uitgaven zorg en welzijn;2001;48133
104;Totaal alle financieringsvormen;Totaal opbrengsten zorgfinanciering;Totaal uitgaven zorg en welzijn;2002;52185
105;Totaal alle financieringsvormen;Totaal opbrengsten zorgfinanciering;Totaal uitgaven zorg en welzijn;2003;61557
106;Totaal alle financieringsvormen;Totaal opbrengsten zorgfinanciering;Totaal uitgaven zorg en welzijn;2004;64198
107;Totaal alle financieringsvormen;Totaal opbrengsten zorgfinanciering;Totaal uitgaven zorg en welzijn;2005;65486
108;Totaal alle financieringsvormen;Totaal opbrengsten zorgfinanciering;Totaal uitgaven zorg en welzijn;2006;66718
109;Totaal alle financieringsvormen;Totaal opbrengsten zorgfinanciering;Totaal uitgaven zorg en welzijn;2007;71643
110;Totaal alle financieringsvormen;Totaal opbrengsten zorgfinanciering;Totaal uitgaven zorg en welzijn;2008;77694
111;Totaal alle financieringsvormen;Totaal opbrengsten zorgfinanciering;Totaal uitgaven zorg en welzijn;2009;78278
112;Totaal alle financieringsvormen;Totaal opbrengsten zorgfinanciering;Totaal uitgaven zorg en welzijn;2010;82404
113;Totaal alle financieringsvormen;Totaal opbrengsten zorgfinanciering;Totaal uitgaven zorg en welzijn;2011;88422
114;Totaal alle financieringsvormen;Totaal opbrengsten zorgfinanciering;Totaal uitgaven zorg en welzijn;2012;90431
115;Totaal alle financieringsvormen;Totaal opbrengsten zorgfinanciering;Totaal uitgaven zorg en welzijn;2013;94062
116;Totaal alle financieringsvormen;Totaal opbrengsten zorgfinanciering;Totaal uitgaven zorg en welzijn;2014;89158
117;Totaal alle financieringsvormen;Totaal opbrengsten zorgfinanciering;Totaal uitgaven zorg en welzijn;2015;92989
118;Totaal alle financieringsvormen;Totaal opbrengsten zorgfinanciering;Totaal uitgaven zorg en welzijn;2016;93824
119;Totaal alle financieringsvormen;Totaal opbrengsten zorgfinanciering;Totaal uitgaven zorg en welzijn;2017;97597
120;Totaal alle financieringsvormen;Totaal opbrengsten zorgfinanciering;Totaal uitgaven zorg en welzijn;2018;101804
121;Totaal alle financieringsvormen;Totaal opbrengsten zorgfinanciering;Totaal uitgaven zorg en welzijn;2019;107194
122;Totaal alle financieringsvormen;Totaal opbrengsten zorgfinanciering;Totaal uitgaven zorg en welzijn;2020;117189
123;Totaal alle financieringsvormen;Totaal opbrengsten zorgfinanciering;Totaal uitgaven zorg en welzijn;2021;126448
124;Totaal alle financieringsvormen;Totaal opbrengsten zorgfinanciering;Totaal uitgaven zorg en welzijn;2022;130155
125;Totaal alle financieringsvormen;Totaal opbrengsten zorgfinanciering;Totaal uitgaven gezondheidszorg;1998;29954
126;Totaal alle financieringsvormen;Totaal opbrengsten zorgfinanciering;Totaal uitgaven gezondheidszorg;1999;33798
127;Totaal alle financieringsvormen;Totaal opbrengsten zorgfinanciering;Totaal uitgaven gezondheidszorg;2000;36222
128;Totaal alle financieringsvormen;Totaal opbrengsten zorgfinanciering;Totaal uitgaven gezondheidszorg;2001;36949
129;Totaal alle financieringsvormen;Totaal opbrengsten zorgfinanciering;Totaal uitgaven gezondheidszorg;2002;39840
130;Totaal alle financieringsvormen;Totaal opbrengsten zorgfinanciering;Totaal uitgaven gezondheidszorg;2003;46997
131;Totaal alle financieringsvormen;Totaal opbrengsten zorgfinanciering;Totaal uitgaven gezondheidszorg;2004;49076
132;Totaal alle financieringsvormen;Totaal opbrengsten zorgfinanciering;Totaal uitgaven gezondheidszorg;2005;50047
133;Totaal alle financieringsvormen;Totaal opbrengsten zorgfinanciering;Totaal uitgaven gezondheidszorg;2006;51529
134;Totaal alle financieringsvormen;Totaal opbrengsten zorgfinanciering;Totaal uitgaven gezondheidszorg;2007;55090
135;Totaal alle financieringsvormen;Totaal opbrengsten zorgfinanciering;Totaal uitgaven gezondheidszorg;2008;60485
136;Totaal alle financieringsvormen;Totaal opbrengsten zorgfinanciering;Totaal uitgaven gezondheidszorg;2009;59434
137;Totaal alle financieringsvormen;Totaal opbrengsten zorgfinanciering;Totaal uitgaven gezondheidszorg;2010;62403
138;Totaal alle financieringsvormen;Totaal opbrengsten zorgfinanciering;Totaal uitgaven gezondheidszorg;2011;67525
139;Totaal alle financieringsvormen;Totaal opbrengsten zorgfinanciering;Totaal uitgaven gezondheidszorg;2012;69909
140;Totaal alle financieringsvormen;Totaal opbrengsten zorgfinanciering;Totaal uitgaven gezondheidszorg;2013;73425
141;Totaal alle financieringsvormen;Totaal opbrengsten zorgfinanciering;Totaal uitgaven gezondheidszorg;2014;69542
142;Totaal alle financieringsvormen;Totaal opbrengsten zorgfinanciering;Totaal uitgaven gezondheidszorg;2015;71988
143;Totaal alle financieringsvormen;Totaal opbrengsten zorgfinanciering;Totaal uitgaven gezondheidszorg;2016;72338
144;Totaal alle financieringsvormen;Totaal opbrengsten zorgfinanciering;Totaal uitgaven gezondheidszorg;2017;75403
145;Totaal alle financieringsvormen;Totaal opbrengsten zorgfinanciering;Totaal uitgaven gezondheidszorg;2018;78481
146;Totaal alle financieringsvormen;Totaal opbrengsten zorgfinanciering;Totaal uitgaven gezondheidszorg;2019;82566
147;Totaal alle financieringsvormen;Totaal opbrengsten zorgfinanciering;Totaal uitgaven gezondheidszorg;2020;90346
148;Totaal alle financieringsvormen;Totaal opbrengsten zorgfinanciering;Totaal uitgaven gezondheidszorg;2021;98550
149;Totaal alle financieringsvormen;Totaal opbrengsten zorgfinanciering;Totaal uitgaven gezondheidszorg;2022;99462
150;Totaal alle financieringsvormen;Totaal opbrengsten zorgfinanciering;Totaal gezondheidsverwante uitgaven;1998;3136
151;Totaal alle financieringsvormen;Totaal opbrengsten zorgfinanciering;Totaal gezondheidsverwante uitgaven;1999;3635
152;Totaal alle financieringsvormen;Totaal opbrengsten zorgfinanciering;Totaal gezondheidsverwante uitgaven;2000;3772
153;Totaal alle financieringsvormen;Totaal opbrengsten zorgfinanciering;Totaal gezondheidsverwante uitgaven;2001;3631
154;Totaal alle financieringsvormen;Totaal opbrengsten zorgfinanciering;Totaal gezondheidsverwante uitgaven;2002;4089
155;Totaal alle financieringsvormen;Totaal opbrengsten zorgfinanciering;Totaal gezondheidsverwante uitgaven;2003;5609
156;Totaal alle financieringsvormen;Totaal opbrengsten zorgfinanciering;Totaal gezondheidsverwante uitgaven;2004;6153
157;Totaal alle financieringsvormen;Totaal opbrengsten zorgfinanciering;Totaal gezondheidsverwante uitgaven;2005;6393
158;Totaal alle financieringsvormen;Totaal opbrengsten zorgfinanciering;Totaal gezondheidsverwante uitgaven;2006;6122
159;Totaal alle financieringsvormen;Totaal opbrengsten zorgfinanciering;Totaal gezondheidsverwante uitgaven;2007;6563
160;Totaal alle financieringsvormen;Totaal opbrengsten zorgfinanciering;Totaal gezondheidsverwante uitgaven;2008;6143
161;Totaal alle financieringsvormen;Totaal opbrengsten zorgfinanciering;Totaal gezondheidsverwante uitgaven;2009;6616
162;Totaal alle financieringsvormen;Totaal opbrengsten zorgfinanciering;Totaal gezondheidsverwante uitgaven;2010;7400
163;Totaal alle financieringsvormen;Totaal opbrengsten zorgfinanciering;Totaal gezondheidsverwante uitgaven;2011;7872
164;Totaal alle financieringsvormen;Totaal opbrengsten zorgfinanciering;Totaal gezondheidsverwante uitgaven;2012;7645
165;Totaal alle financieringsvormen;Totaal opbrengsten zorgfinanciering;Totaal gezondheidsverwante uitgaven;2013;8087
166;Totaal alle financieringsvormen;Totaal opbrengsten zorgfinanciering;Totaal gezondheidsverwante uitgaven;2014;7390
167;Totaal alle financieringsvormen;Totaal opbrengsten zorgfinanciering;Totaal gezondheidsverwante uitgaven;2015;9497
168;Totaal alle financieringsvormen;Totaal opbrengsten zorgfinanciering;Totaal gezondheidsverwante uitgaven;2016;9074
169;Totaal alle financieringsvormen;Totaal opbrengsten zorgfinanciering;Totaal gezondheidsverwante uitgaven;2017;9369
170;Totaal alle financieringsvormen;Totaal opbrengsten zorgfinanciering;Totaal gezondheidsverwante uitgaven;2018;9897
171;Totaal alle financieringsvormen;Totaal opbrengsten zorgfinanciering;Totaal gezondheidsverwante uitgaven;2019;10196
172;Totaal alle financieringsvormen;Totaal opbrengsten zorgfinanciering;Totaal gezondheidsverwante uitgaven;2020;11285
173;Totaal alle financieringsvormen;Totaal opbrengsten zorgfinanciering;Totaal gezondheidsverwante uitgaven;2021;11476
174;Totaal alle financieringsvormen;Totaal opbrengsten zorgfinanciering;Totaal gezondheidsverwante uitgaven;2022;12073
175;Totaal alle financieringsvormen;Totaal opbrengsten zorgfinanciering;Overige zorg en welzijn;1998;5294
176;Totaal alle financieringsvormen;Totaal opbrengsten zorgfinanciering;Overige zorg en welzijn;1999;6023
177;Totaal alle financieringsvormen;Totaal opbrengsten zorgfinanciering;Overige zorg en welzijn;2000;6688
178;Totaal alle financieringsvormen;Totaal opbrengsten zorgfinanciering;Overige zorg en welzijn;2001;7552
179;Totaal alle financieringsvormen;Totaal opbrengsten zorgfinanciering;Overige zorg en welzijn;2002;8257
180;Totaal alle financieringsvormen;Totaal opbrengsten zorgfinanciering;Overige zorg en welzijn;2003;8950
181;Totaal alle financieringsvormen;Totaal opbrengsten zorgfinanciering;Overige zorg en welzijn;2004;8970
182;Totaal alle financieringsvormen;Totaal opbrengsten zorgfinanciering;Overige zorg en welzijn;2005;9045
183;Totaal alle financieringsvormen;Totaal opbrengsten zorgfinanciering;Overige zorg en welzijn;2006;9068
184;Totaal alle financieringsvormen;Totaal opbrengsten zorgfinanciering;Overige zorg en welzijn;2007;9991
185;Totaal alle financieringsvormen;Totaal opbrengsten zorgfinanciering;Overige zorg en welzijn;2008;11065
186;Totaal alle financieringsvormen;Totaal opbrengsten zorgfinanciering;Overige zorg en welzijn;2009;12228
187;Totaal alle financieringsvormen;Totaal opbrengsten zorgfinanciering;Overige zorg en welzijn;2010;12602
188;Totaal alle financieringsvormen;Totaal opbrengsten zorgfinanciering;Overige zorg en welzijn;2011;13023
189;Totaal alle financieringsvormen;Totaal opbrengsten zorgfinanciering;Overige zorg en welzijn;2012;12875
190;Totaal alle financieringsvormen;Totaal opbrengsten zorgfinanciering;Overige zorg en welzijn;2013;12549
191;Totaal alle financieringsvormen;Totaal opbrengsten zorgfinanciering;Overige zorg en welzijn;2014;12226
192;Totaal alle financieringsvormen;Totaal opbrengsten zorgfinanciering;Overige zorg en welzijn;2015;11504
193;Totaal alle financieringsvormen;Totaal opbrengsten zorgfinanciering;Overige zorg en welzijn;2016;12411
194;Totaal alle financieringsvormen;Totaal opbrengsten zorgfinanciering;Overige zorg en welzijn;2017;12825
195;Totaal alle financieringsvormen;Totaal opbrengsten zorgfinanciering;Overige zorg en welzijn;2018;13428
196;Totaal alle financieringsvormen;Totaal opbrengsten zorgfinanciering;Overige zorg en welzijn;2019;14433
197;Totaal alle financieringsvormen;Totaal opbrengsten zorgfinanciering;Overige zorg en welzijn;2020;15557
198;Totaal alle financieringsvormen;Totaal opbrengsten zorgfinanciering;Overige zorg en welzijn;2021;16423
199;Totaal alle financieringsvormen;Totaal opbrengsten zorgfinanciering;Overige zorg en welzijn;2022;18620
200;Totaal alle financieringsvormen;FS.1 Overdrachten van de overheid;Totaal uitgaven zorg en welzijn;1998;9076
201;Totaal alle financieringsvormen;FS.1 Overdrachten van de overheid;Totaal uitgaven zorg en welzijn;1999;9825
202;Totaal alle financieringsvormen;FS.1 Overdrachten van de overheid;Totaal uitgaven zorg en welzijn;2000;10424
203;Totaal alle financieringsvormen;FS.1 Overdrachten van de overheid;Totaal uitgaven zorg en welzijn;2001;13150
204;Totaal alle financieringsvormen;FS.1 Overdrachten van de overheid;Totaal uitgaven zorg en welzijn;2002;14583
205;Totaal alle financieringsvormen;FS.1 Overdrachten van de overheid;Totaal uitgaven zorg en welzijn;2003;16250
206;Totaal alle financieringsvormen;FS.1 Overdrachten van de overheid;Totaal uitgaven zorg en welzijn;2004;17546
207;Totaal alle financieringsvormen;FS.1 Overdrachten van de overheid;Totaal uitgaven zorg en welzijn;2005;18047
208;Totaal alle financieringsvormen;FS.1 Overdrachten van de overheid;Totaal uitgaven zorg en welzijn;2006;19488
209;Totaal alle financieringsvormen;FS.1 Overdrachten van de overheid;Totaal uitgaven zorg en welzijn;2007;22757
210;Totaal alle financieringsvormen;FS.1 Overdrachten van de overheid;Totaal uitgaven zorg en welzijn;2008;25201
211;Totaal alle financieringsvormen;FS.1 Overdrachten van de overheid;Totaal uitgaven zorg en welzijn;2009;27151
212;Totaal alle financieringsvormen;FS.1 Overdrachten van de overheid;Totaal uitgaven zorg en welzijn;2010;28208
213;Totaal alle financieringsvormen;FS.1 Overdrachten van de overheid;Totaal uitgaven zorg en welzijn;2011;29430
214;Totaal alle financieringsvormen;FS.1 Overdrachten van de overheid;Totaal uitgaven zorg en welzijn;2012;28776
215;Totaal alle financieringsvormen;FS.1 Overdrachten van de overheid;Totaal uitgaven zorg en welzijn;2013;27128
216;Totaal alle financieringsvormen;FS.1 Overdrachten van de overheid;Totaal uitgaven zorg en welzijn;2014;25721
217;Totaal alle financieringsvormen;FS.1 Overdrachten van de overheid;Totaal uitgaven zorg en welzijn;2015;30674
218;Totaal alle financieringsvormen;FS.1 Overdrachten van de overheid;Totaal uitgaven zorg en welzijn;2016;31115
219;Totaal alle financieringsvormen;FS.1 Overdrachten van de overheid;Totaal uitgaven zorg en welzijn;2017;31226
220;Totaal alle financieringsvormen;FS.1 Overdrachten van de overheid;Totaal uitgaven zorg en welzijn;2018;32628
221;Totaal alle financieringsvormen;FS.1 Overdrachten van de overheid;Totaal uitgaven zorg en welzijn;2019;36045
222;Totaal alle financieringsvormen;FS.1 Overdrachten van de overheid;Totaal uitgaven zorg en welzijn;2020;46538
223;Totaal alle financieringsvormen;FS.1 Overdrachten van de overheid;Totaal uitgaven zorg en welzijn;2021;51917
224;Totaal alle financieringsvormen;FS.1 Overdrachten van de overheid;Totaal uitgaven zorg en welzijn;2022;51441
225;Totaal alle financieringsvormen;FS.1 Overdrachten van de overheid;Totaal uitgaven gezondheidszorg;1998;4937
226;Totaal alle financieringsvormen;FS.1 Overdrachten van de overheid;Totaal uitgaven gezondheidszorg;1999;5126
227;Totaal alle financieringsvormen;FS.1 Overdrachten van de overheid;Totaal uitgaven gezondheidszorg;2000;5390
228;Totaal alle financieringsvormen;FS.1 Overdrachten van de overheid;Totaal uitgaven gezondheidszorg;2001;6972
229;Totaal alle financieringsvormen;FS.1 Overdrachten van de overheid;Totaal uitgaven gezondheidszorg;2002;7956
230;Totaal alle financieringsvormen;FS.1 Overdrachten van de overheid;Totaal uitgaven gezondheidszorg;2003;8908
231;Totaal alle financieringsvormen;FS.1 Overdrachten van de overheid;Totaal uitgaven gezondheidszorg;2004;10084
232;Totaal alle financieringsvormen;FS.1 Overdrachten van de overheid;Totaal uitgaven gezondheidszorg;2005;10091
233;Totaal alle financieringsvormen;FS.1 Overdrachten van de overheid;Totaal uitgaven gezondheidszorg;2006;11439
234;Totaal alle financieringsvormen;FS.1 Overdrachten van de overheid;Totaal uitgaven gezondheidszorg;2007;12147
235;Totaal alle financieringsvormen;FS.1 Overdrachten van de overheid;Totaal uitgaven gezondheidszorg;2008;13551
236;Totaal alle financieringsvormen;FS.1 Overdrachten van de overheid;Totaal uitgaven gezondheidszorg;2009;14186
237;Totaal alle financieringsvormen;FS.1 Overdrachten van de overheid;Totaal uitgaven gezondheidszorg;2010;14795
238;Totaal alle financieringsvormen;FS.1 Overdrachten van de overheid;Totaal uitgaven gezondheidszorg;2011;16009
239;Totaal alle financieringsvormen;FS.1 Overdrachten van de overheid;Totaal uitgaven gezondheidszorg;2012;16048
240;Totaal alle financieringsvormen;FS.1 Overdrachten van de overheid;Totaal uitgaven gezondheidszorg;2013;16111
241;Totaal alle financieringsvormen;FS.1 Overdrachten van de overheid;Totaal uitgaven gezondheidszorg;2014;14839
242;Totaal alle financieringsvormen;FS.1 Overdrachten van de overheid;Totaal uitgaven gezondheidszorg;2015;16929
243;Totaal alle financieringsvormen;FS.1 Overdrachten van de overheid;Totaal uitgaven gezondheidszorg;2016;16723
244;Totaal alle financieringsvormen;FS.1 Overdrachten van de overheid;Totaal uitgaven gezondheidszorg;2017;16334
245;Totaal alle financieringsvormen;FS.1 Overdrachten van de overheid;Totaal uitgaven gezondheidszorg;2018;16901
246;Totaal alle financieringsvormen;FS.1 Overdrachten van de overheid;Totaal uitgaven gezondheidszorg;2019;18985
247;Totaal alle financieringsvormen;FS.1 Overdrachten van de overheid;Totaal uitgaven gezondheidszorg;2020;26940
248;Totaal alle financieringsvormen;FS.1 Overdrachten van de overheid;Totaal uitgaven gezondheidszorg;2021;31842
249;Totaal alle financieringsvormen;FS.1 Overdrachten van de overheid;Totaal uitgaven gezondheidszorg;2022;29684
250;Totaal alle financieringsvormen;FS.1 Overdrachten van de overheid;Totaal gezondheidsverwante uitgaven;1998;147
251;Totaal alle financieringsvormen;FS.1 Overdrachten van de overheid;Totaal gezondheidsverwante uitgaven;1999;188
