ID;BedrijfstakkenBranchesSBI2008;Bedrijfsomvang;Perioden;BedrijvenMetOmzetstijging_1;BedrijvenMetOmzetdaling_2;BedrijvenMetOmzetStabiel_3;BedrijvenMetSnelleOmzetstijging_4;BedrijvenMetSnelleOmzetdaling_5
181;B Delfstoffenwinning;250 of meer werkzame personen;2004 2e kwartaal;;;;;
182;B Delfstoffenwinning;250 of meer werkzame personen;2004 3e kwartaal;;;;;
183;B Delfstoffenwinning;250 of meer werkzame personen;2004 4e kwartaal;;;;;
184;B Delfstoffenwinning;250 of meer werkzame personen;2005 1e kwartaal;;;;;
185;B Delfstoffenwinning;250 of meer werkzame personen;2005 2e kwartaal;;;;;
186;B Delfstoffenwinning;250 of meer werkzame personen;2005 3e kwartaal;;;;;
187;B Delfstoffenwinning;250 of meer werkzame personen;2005 4e kwartaal;;;;;
188;B Delfstoffenwinning;250 of meer werkzame personen;2006 1e kwartaal;;;;;
189;B Delfstoffenwinning;250 of meer werkzame personen;2006 2e kwartaal;;;;;
190;B Delfstoffenwinning;250 of meer werkzame personen;2006 3e kwartaal;;;;;
191;B Delfstoffenwinning;250 of meer werkzame personen;2006 4e kwartaal;;;;;
192;B Delfstoffenwinning;250 of meer werkzame personen;2007 1e kwartaal;;;;;
193;B Delfstoffenwinning;250 of meer werkzame personen;2007 2e kwartaal;;;;;
194;B Delfstoffenwinning;250 of meer werkzame personen;2007 3e kwartaal;;;;;
195;B Delfstoffenwinning;250 of meer werkzame personen;2007 4e kwartaal;;;;;
196;B Delfstoffenwinning;250 of meer werkzame personen;2008 1e kwartaal;;;;;
197;B Delfstoffenwinning;250 of meer werkzame personen;2008 2e kwartaal;;;;;
198;B Delfstoffenwinning;250 of meer werkzame personen;2008 3e kwartaal;;;;;
199;B Delfstoffenwinning;250 of meer werkzame personen;2008 4e kwartaal;;;;;
200;B Delfstoffenwinning;250 of meer werkzame personen;2009 1e kwartaal;;;;;
201;B Delfstoffenwinning;250 of meer werkzame personen;2009 2e kwartaal;;;;;
202;B Delfstoffenwinning;250 of meer werkzame personen;2009 3e kwartaal;;;;;
203;B Delfstoffenwinning;250 of meer werkzame personen;2009 4e kwartaal;;;;;
204;B Delfstoffenwinning;250 of meer werkzame personen;2010 1e kwartaal;;;;;
205;B Delfstoffenwinning;250 of meer werkzame personen;2010 2e kwartaal;;;;;
206;B Delfstoffenwinning;250 of meer werkzame personen;2010 3e kwartaal;;;;;
207;B Delfstoffenwinning;250 of meer werkzame personen;2010 4e kwartaal;;;;;
208;B Delfstoffenwinning;250 of meer werkzame personen;2011 1e kwartaal;;;;;
209;B Delfstoffenwinning;250 of meer werkzame personen;2011 2e kwartaal;;;;;
210;B Delfstoffenwinning;250 of meer werkzame personen;2011 3e kwartaal;;;;;
211;B Delfstoffenwinning;250 of meer werkzame personen;2011 4e kwartaal;;;;;
212;B Delfstoffenwinning;250 of meer werkzame personen;2012 1e kwartaal;;;;;
213;B Delfstoffenwinning;250 of meer werkzame personen;2012 2e kwartaal;;;;;
214;B Delfstoffenwinning;250 of meer werkzame personen;2012 3e kwartaal;;;;;
215;B Delfstoffenwinning;250 of meer werkzame personen;2012 4e kwartaal;;;;;
216;06 Winning van aardolie en aardgas;1 werkzame persoon;2004 1e kwartaal;;;;;
217;06 Winning van aardolie en aardgas;1 werkzame persoon;2004 2e kwartaal;;;;;
218;06 Winning van aardolie en aardgas;1 werkzame persoon;2004 3e kwartaal;;;;;
219;06 Winning van aardolie en aardgas;1 werkzame persoon;2004 4e kwartaal;;;;;
220;06 Winning van aardolie en aardgas;1 werkzame persoon;2005 1e kwartaal;;;;;
221;06 Winning van aardolie en aardgas;1 werkzame persoon;2005 2e kwartaal;;;;;
222;06 Winning van aardolie en aardgas;1 werkzame persoon;2005 3e kwartaal;;;;;
223;06 Winning van aardolie en aardgas;1 werkzame persoon;2005 4e kwartaal;;;;;
224;06 Winning van aardolie en aardgas;1 werkzame persoon;2006 1e kwartaal;;;;;
225;06 Winning van aardolie en aardgas;1 werkzame persoon;2006 2e kwartaal;;;;;
226;06 Winning van aardolie en aardgas;1 werkzame persoon;2006 3e kwartaal;;;;;
227;06 Winning van aardolie en aardgas;1 werkzame persoon;2006 4e kwartaal;;;;;
228;06 Winning van aardolie en aardgas;1 werkzame persoon;2007 1e kwartaal;;;;;
229;06 Winning van aardolie en aardgas;1 werkzame persoon;2007 2e kwartaal;;;;;
230;06 Winning van aardolie en aardgas;1 werkzame persoon;2007 3e kwartaal;;;;;
231;06 Winning van aardolie en aardgas;1 werkzame persoon;2007 4e kwartaal;;;;;
232;06 Winning van aardolie en aardgas;1 werkzame persoon;2008 1e kwartaal;;;;;
233;06 Winning van aardolie en aardgas;1 werkzame persoon;2008 2e kwartaal;;;;;
234;06 Winning van aardolie en aardgas;1 werkzame persoon;2008 3e kwartaal;;;;;
235;06 Winning van aardolie en aardgas;1 werkzame persoon;2008 4e kwartaal;;;;;
236;06 Winning van aardolie en aardgas;1 werkzame persoon;2009 1e kwartaal;;;;;
237;06 Winning van aardolie en aardgas;1 werkzame persoon;2009 2e kwartaal;;;;;
238;06 Winning van aardolie en aardgas;1 werkzame persoon;2009 3e kwartaal;;;;;
239;06 Winning van aardolie en aardgas;1 werkzame persoon;2009 4e kwartaal;;;;;
240;06 Winning van aardolie en aardgas;1 werkzame persoon;2010 1e kwartaal;;;;;
241;06 Winning van aardolie en aardgas;1 werkzame persoon;2010 2e kwartaal;;;;;
242;06 Winning van aardolie en aardgas;1 werkzame persoon;2010 3e kwartaal;;;;;
243;06 Winning van aardolie en aardgas;1 werkzame persoon;2010 4e kwartaal;;;;;
244;06 Winning van aardolie en aardgas;1 werkzame persoon;2011 1e kwartaal;;;;;
245;06 Winning van aardolie en aardgas;1 werkzame persoon;2011 2e kwartaal;;;;;
246;06 Winning van aardolie en aardgas;1 werkzame persoon;2011 3e kwartaal;;;;;
247;06 Winning van aardolie en aardgas;1 werkzame persoon;2011 4e kwartaal;;;;;
248;06 Winning van aardolie en aardgas;1 werkzame persoon;2012 1e kwartaal;;;;;
249;06 Winning van aardolie en aardgas;1 werkzame persoon;2012 2e kwartaal;;;;;
250;06 Winning van aardolie en aardgas;1 werkzame persoon;2012 3e kwartaal;;;;;
251;06 Winning van aardolie en aardgas;1 werkzame persoon;2012 4e kwartaal;;;;;
252;06 Winning van aardolie en aardgas;2 tot 10 werkzame personen;2004 1e kwartaal;;;;;
253;06 Winning van aardolie en aardgas;2 tot 10 werkzame personen;2004 2e kwartaal;;;;;
254;06 Winning van aardolie en aardgas;2 tot 10 werkzame personen;2004 3e kwartaal;;;;;
255;06 Winning van aardolie en aardgas;2 tot 10 werkzame personen;2004 4e kwartaal;;;;;
256;06 Winning van aardolie en aardgas;2 tot 10 werkzame personen;2005 1e kwartaal;;;;;
257;06 Winning van aardolie en aardgas;2 tot 10 werkzame personen;2005 2e kwartaal;;;;;
258;06 Winning van aardolie en aardgas;2 tot 10 werkzame personen;2005 3e kwartaal;;;;;
259;06 Winning van aardolie en aardgas;2 tot 10 werkzame personen;2005 4e kwartaal;;;;;
260;06 Winning van aardolie en aardgas;2 tot 10 werkzame personen;2006 1e kwartaal;;;;;
261;06 Winning van aardolie en aardgas;2 tot 10 werkzame personen;2006 2e kwartaal;;;;;
262;06 Winning van aardolie en aardgas;2 tot 10 werkzame personen;2006 3e kwartaal;;;;;
263;06 Winning van aardolie en aardgas;2 tot 10 werkzame personen;2006 4e kwartaal;;;;;
264;06 Winning van aardolie en aardgas;2 tot 10 werkzame personen;2007 1e kwartaal;;;;;
265;06 Winning van aardolie en aardgas;2 tot 10 werkzame personen;2007 2e kwartaal;;;;;
266;06 Winning van aardolie en aardgas;2 tot 10 werkzame personen;2007 3e kwartaal;;;;;
267;06 Winning van aardolie en aardgas;2 tot 10 werkzame personen;2007 4e kwartaal;;;;;
268;06 Winning van aardolie en aardgas;2 tot 10 werkzame personen;2008 1e kwartaal;;;;;
269;06 Winning van aardolie en aardgas;2 tot 10 werkzame personen;2008 2e kwartaal;;;;;
270;06 Winning van aardolie en aardgas;2 tot 10 werkzame personen;2008 3e kwartaal;;;;;
271;06 Winning van aardolie en aardgas;2 tot 10 werkzame personen;2008 4e kwartaal;;;;;
272;06 Winning van aardolie en aardgas;2 tot 10 werkzame personen;2009 1e kwartaal;;;;;
273;06 Winning van aardolie en aardgas;2 tot 10 werkzame personen;2009 2e kwartaal;;;;;
274;06 Winning van aardolie en aardgas;2 tot 10 werkzame personen;2009 3e kwartaal;;;;;
275;06 Winning van aardolie en aardgas;2 tot 10 werkzame personen;2009 4e kwartaal;;;;;
276;06 Winning van aardolie en aardgas;2 tot 10 werkzame personen;2010 1e kwartaal;;;;;
277;06 Winning van aardolie en aardgas;2 tot 10 werkzame personen;2010 2e kwartaal;;;;;
278;06 Winning van aardolie en aardgas;2 tot 10 werkzame personen;2010 3e kwartaal;;;;;
279;06 Winning van aardolie en aardgas;2 tot 10 werkzame personen;2010 4e kwartaal;;;;;
280;06 Winning van aardolie en aardgas;2 tot 10 werkzame personen;2011 1e kwartaal;;;;;
281;06 Winning van aardolie en aardgas;2 tot 10 werkzame personen;2011 2e kwartaal;;;;;
282;06 Winning van aardolie en aardgas;2 tot 10 werkzame personen;2011 3e kwartaal;;;;;
283;06 Winning van aardolie en aardgas;2 tot 10 werkzame personen;2011 4e kwartaal;;;;;
284;06 Winning van aardolie en aardgas;2 tot 10 werkzame personen;2012 1e kwartaal;;;;;
285;06 Winning van aardolie en aardgas;2 tot 10 werkzame personen;2012 2e kwartaal;;;;;
286;06 Winning van aardolie en aardgas;2 tot 10 werkzame personen;2012 3e kwartaal;;;;;
287;06 Winning van aardolie en aardgas;2 tot 10 werkzame personen;2012 4e kwartaal;;;;;
288;06 Winning van aardolie en aardgas;10 tot 50 werkzame personen;2004 1e kwartaal;;;;;
289;06 Winning van aardolie en aardgas;10 tot 50 werkzame personen;2004 2e kwartaal;;;;;
290;06 Winning van aardolie en aardgas;10 tot 50 werkzame personen;2004 3e kwartaal;;;;;
291;06 Winning van aardolie en aardgas;10 tot 50 werkzame personen;2004 4e kwartaal;;;;;
292;06 Winning van aardolie en aardgas;10 tot 50 werkzame personen;2005 1e kwartaal;;;;;
293;06 Winning van aardolie en aardgas;10 tot 50 werkzame personen;2005 2e kwartaal;;;;;
294;06 Winning van aardolie en aardgas;10 tot 50 werkzame personen;2005 3e kwartaal;;;;;
295;06 Winning van aardolie en aardgas;10 tot 50 werkzame personen;2005 4e kwartaal;;;;;
296;06 Winning van aardolie en aardgas;10 tot 50 werkzame personen;2006 1e kwartaal;;;;;
297;06 Winning van aardolie en aardgas;10 tot 50 werkzame personen;2006 2e kwartaal;;;;;
298;06 Winning van aardolie en aardgas;10 tot 50 werkzame personen;2006 3e kwartaal;;;;;
299;06 Winning van aardolie en aardgas;10 tot 50 werkzame personen;2006 4e kwartaal;;;;;
300;06 Winning van aardolie en aardgas;10 tot 50 werkzame personen;2007 1e kwartaal;;;;;
301;06 Winning van aardolie en aardgas;10 tot 50 werkzame personen;2007 2e kwartaal;;;;;
302;06 Winning van aardolie en aardgas;10 tot 50 werkzame personen;2007 3e kwartaal;;;;;
303;06 Winning van aardolie en aardgas;10 tot 50 werkzame personen;2007 4e kwartaal;;;;;
304;06 Winning van aardolie en aardgas;10 tot 50 werkzame personen;2008 1e kwartaal;;;;;
305;06 Winning van aardolie en aardgas;10 tot 50 werkzame personen;2008 2e kwartaal;;;;;
306;06 Winning van aardolie en aardgas;10 tot 50 werkzame personen;2008 3e kwartaal;;;;;
307;06 Winning van aardolie en aardgas;10 tot 50 werkzame personen;2008 4e kwartaal;;;;;
308;06 Winning van aardolie en aardgas;10 tot 50 werkzame personen;2009 1e kwartaal;;;;;
309;06 Winning van aardolie en aardgas;10 tot 50 werkzame personen;2009 2e kwartaal;;;;;
310;06 Winning van aardolie en aardgas;10 tot 50 werkzame personen;2009 3e kwartaal;;;;;
